849f97333a05a48121f1f12501009b7721ddeb12c5aecb1cce003c850bc5407d,93cf8ba1e94f0d4222248281e0b31f2c153161bab4d0a6be398f4e8b802b76c9,603c64f90d50f45df5663638d3caed402d12cdf7f1f22a39b34404769c3af80a,41c1e17b5a6291a13245051c11cf1393e3aa79cd9f913a626f5a15032d90dc0e,d06e68f4bf21e66fd3a61c753a07e17ba4b039adc8a01772c0ee8a1410a62603,0c1687fc993272aef0d7a0ad0bf429824002b377f479fddcc67d8f1219bc2914,4c0cf3dd1821facea8b88c10d5d23fbfb40bfd0a353bd33ffe51cf0de1f16182,44842f1f249c55d644c8b90194102af3808b42fe3285351dce5878fdc2905de4,6153bbe3aa16984093596ef648d813416b841ee7ae23fe1faefb1944a20496b8
"30000","21600","94002","4","","7500","4","","12"
"42000","21600","94002","5","","10500","4","","12"
"54000","21600","94002","6","","13500","4","","12"
"66000","21600","94002","7","","16500","4","","12"
"84000","21600","94002","8","","21000","4","","12"
"102000","21600","94002","9","","25500","4","","12"
"120000","21600","94002","10","","30000","4","","12"
"144000","21600","94002","11","","36000","4","","12"
"168000","21600","94002","12","","42000","4","","12"
"192000","21600","94002","13","","48000","4","","12"
"222000","21600","94002","14","","55500","4","","12"
"252000","21600","94002","15","","63000","4","","12"
"282000","21600","94002","16","","70500","4","","12"
"318000","21600","94002","17","","79500","4","","12"
"354000","21600","94002","18","","88500","4","","12"
"390000","21600","94002","19","","97500","4","","12"
"432000","21600","94002","20","","108000","4","","12"
"474000","21600","94002","21","","118500","4","","12"
"516000","21600","94002","22","","129000","4","","12"
"562000","21600","94002","23","","140500","4","","12"
"600000","21600","94002","24","","150000","4","","12"
"642000","21600","94002","25","","160500","4","","12"
"684000","21600","94002","26","","171000","4","","12"
"726000","21600","94002","27","","181500","4","","12"
"768000","21600","94002","28","","192000","4","","12"
"810000","21600","94002","29","","202500","4","","12"
"852000","21600","94002","30","","213000","4","","12"
"894000","21600","94002","31","","223500","4","","12"
"920000","21600","94002","32","","230000","4","","12"
"940000","21600","94002","33","","235000","4","","12"
"960000","21600","94002","34","","240000","4","","12"
"980000","21600","94002","35","","245000","4","","12"
"1000000","21600","94002","36","","250000","4","","12"
"1020000","21600","94002","37","","255000","4","","12"
"48","21600","93001","1","","12","5","","6"
"48","21600","93001","1","","12","6","","6"
"48","21600","93001","1","","12","7","","6"
"48","21600","93001","1","","12","8","","6"
"48","21600","93001","1","","12","11","","6"
"48","21600","93001","1","","12","12","","6"
"48","21600","93001","1","","12","19","","6"
"0","0","0","0","14999999999","1","23","4999999999","0"
"48","21600","93001","1","","12","25","","6"
"48","21600","93001","1","","12","28","","6"
"48","21600","93001","1","","12","30","","6"
