90a7c8f375faa32a34a0522bedf8d796605ad01542b0fedc2b6b84a7462e0b83,13ae21fc834fbca6f7e926f51b8878825ac5052f3ced2525dd36417b9c16214e,38ace2af347f89d3bbf12f78eedab1d61f3c69a25ff91aaa74e39135d47e8ba2,7d68b0986e1077c9a590dedb9cd2529d21f1e7e35ac8302585b5fb7aafc2414a,95bd1a06eee07be4278d40d2ca2f64341447df7e10e3021eef5356153f5ad777,808827ead1817f1cdf056e348f63669807418e2bd40f7a69b2f2d498c579910d
"1","0","2999193","50000","0","400071"
"1","0","2999194","50000","0","400081"
"4","0","3000","0","0","400091"
"6","0","-10","0","0","400092"
"14","0","109","2000","0","400101"
"2","0","40011","1","0","400111"
"1","0","2999205","50000","0","400121"
"1","0","2999204","10000","0","400131"
"1","0","2999207","5000","0","400141"
"14","1","2","400","25","500011"
"14","1","4","400","25","500012"
"12","0","0","0","0","500021"
"14","30","107","1","10000","500031"
"1","0","2999130","2500","0","500041"
"3","0","50005","1","0","500051"
"1","0","2999195","50000","0","500061"
"1","0","2999197","50000","0","500071"
"1","0","2999202","50000","0","500081"
"14","30","100","1","10000","500091"
"14","30","101","1","10000","500092"
"1","0","2999203","50000","0","500101"
"10","0","1","0","0","500111"
"9","0","1","0","0","500121"
"11","0","1","0","0","500131"
"1","0","2999206","50000","0","500141"
