b021d2465c26773b38bfbe8f6ff5043cdfcb704d7ec84fbe1250e932856a5b29,026b8f011d525042f7deaa275ad99f823fb23984dcd5138c22247bdab7dbd23b,8bac593e3888f91e493d052e7842f0ff11b20eb857fcdab0f2e3ca30e5ace153,3560af78d2c87478ae1be9fa9c712f5694a4a86d0559fdebf4fdced2338ea30b,4bbedce9f82952dd8f80a7bea0922909ede58059fc8672a57b255c0498e515ef,7ac47a596a3920a0e84b1e229847ccdcd23874543f212619e982d6b4a28d3445,004e50ed39a55eae9cce6c26ed421742ee79d5765327c2cffcdd6c67dcc32627,580b692fc80a0f0c319c7c2827c4b02bb6d7967b2c9d7d5d867a131a9be8d6b6,492921f5425ee95f35425771e0e4fe577dea8b83e74e285c053d4e2b93d5f8ac
"22","2","1","1","53002","1","1","7","15002"
"22","1","0","2","53002","0","1","7","15101"
"22","7","6","8","53003","-1","5","8","15201"
"22","7","6","4","53002","-1","5","8","15202"
"22","6","5","6","53003","5","4","8","15301"
"22","6","5","5","53002","5","4","8","15302"
"22","5","4","5","53003","4","3","8","15401"
"22","5","4","5","53002","4","3","8","15402"
"22","4","3","4","53003","3","3","8","15501"
"22","4","3","3","53002","3","3","8","15502"
"22","3","2","3","53003","2","2","8","15601"
"22","3","2","2","53002","2","2","8","15602"
"22","2","1","2","53003","1","1","8","15701"
"22","2","1","1","53002","1","1","8","15702"
"22","1","0","2","53002","0","1","8","15901"
"22","7","6","8","53003","-1","5","9","16001"
"22","7","6","4","53002","-1","5","9","16002"
"22","6","5","6","53003","5","4","9","16101"
"22","6","5","5","53002","5","4","9","16102"
"22","5","4","5","53003","4","3","9","16201"
"22","5","4","5","53002","4","3","9","16202"
"22","4","3","4","53003","3","3","9","16301"
"22","4","3","3","53002","3","3","9","16302"
"22","3","2","3","53003","2","2","9","16401"
"22","3","2","2","53002","2","2","9","16402"
"22","2","1","2","53003","1","1","9","16501"
"22","2","1","1","53002","1","1","9","16502"
"22","1","0","2","53002","0","1","9","16601"
"22","7","6","8","53003","-1","5","10","16701"
"22","7","6","4","53002","-1","5","10","16702"
"22","6","5","6","53003","5","4","10","16801"
"22","6","5","5","53002","5","4","10","16802"
"22","5","4","5","53003","4","3","10","16901"
"22","5","4","5","53002","4","3","10","16902"
"22","4","3","4","53003","3","3","10","17001"
"22","4","3","3","53002","3","3","10","17002"
"22","3","2","3","53003","2","2","10","17101"
"22","3","2","2","53002","2","2","10","17102"
"22","2","1","2","53003","1","1","10","17201"
"22","2","1","1","53002","1","1","10","17202"
"22","1","0","2","53002","0","1","10","17301"
"22","7","6","8","53003","-1","5","11","17401"
"22","7","6","4","53002","-1","5","11","17402"
"22","6","5","6","53003","5","4","11","17501"
"22","6","5","5","53002","5","4","11","17502"
"22","5","4","5","53003","4","3","11","17601"
"22","5","4","5","53002","4","3","11","17602"
"22","4","3","4","53003","3","3","11","17701"
"22","4","3","3","53002","3","3","11","17702"
"22","3","2","3","53003","2","2","11","17801"
"22","3","2","2","53002","2","2","11","17802"
"22","2","1","2","53003","1","1","11","17901"
"22","2","1","1","53002","1","1","11","17902"
"22","1","0","2","53002","0","1","11","18001"
