54ce4057cd4362f459d227e1d522f3c9d1df6479d774a441cda867cb97bcae1e,c5e4c2b768bec9c9b1df3642ec90006aee7d18a4b57163be77bf13e9d090fe52,cd1470f4289d3277599ae3c5547ad10a3d4bff2c98a616168be0cffc5da4ece5,d335e9661b42730330ce122db2887cbee00ffb50c583666380c0d648b57794b8,a4f28ba3677d203fe12830c5f4eb3749d8252463f64df11fd18c44325b38e3a8,1172084cdcae0046dff0710020aee6e3c926e76920c5d9209b0a7fdb65699376,9804b19e4c1830147928f44b5040e5d9b1c7233f3e8a17a2feea31a37ea0a302,e371290dc688859d272953157a34c67ea515724c3c4b3b43fd9554aa977f405a,25f4ff8ca3dfedecc1a85c9d9956168c2f05a299c8781c4288de9f443558f5ab,582624e4e73ba9f1063033d55dc7cd589efe1e61044ce7c805aba043fa0d1821
"6029","6030","33","6028","2","9360","3","2300010","3","700"
"6032","6033","33","6031","2","9360","5","2300011","3","700"
"6035","6036","33","6034","2","9360","7","2300012","3","700"
"6038","6039","33","6037","2","9360","3","2300013","3","700"
"6041","6042","33","6040","2","9360","5","2300014","3","700"
"6044","6045","33","6043","2","9360","7","2300015","3","700"
"6047","6048","33","6046","2","9360","3","2300016","3","700"
"6050","6051","33","6049","2","9360","5","2300017","3","700"
"6053","6054","33","6052","2","9360","7","2300018","3","700"
"6056","6057","34","6055","2","10590","3","2300019","3","575"
"6059","6060","34","6058","2","10590","5","2300020","3","575"
"6062","6063","34","6061","2","10590","7","2300021","3","575"
"6065","6066","34","6064","2","10590","3","2300022","3","575"
"6068","6069","34","6067","2","10590","5","2300023","3","575"
"6071","6072","34","6070","2","10590","7","2300024","3","575"
"6074","6075","34","6073","2","10590","3","2300025","3","575"
"6077","6078","34","6076","2","10590","5","2300026","3","575"
"6080","6081","34","6079","2","10590","7","2300027","3","575"
"6083","6084","34","6082","2","10590","3","2300028","3","575"
"6086","6087","34","6085","2","10590","5","2300029","3","575"
"6089","6090","34","6088","2","10590","7","2300030","3","575"
"7002","7003","39","7001","3","14280","1","3100001","1","340"
"7005","7006","39","7004","3","14280","1","3100002","1","340"
"7008","7009","39","7007","3","14280","1","3100003","1","340"
"7011","7012","39","7010","3","14280","1","3100004","1","340"
"7014","7015","39","7013","3","14280","1","3100005","1","340"
"7017","7018","39","7016","3","14280","1","3100006","1","340"
"7020","7021","36","7019","3","13050","1","3100007","1","375"
"7023","7024","36","7022","3","13050","1","3100008","1","375"
"7026","7027","36","7025","3","13050","1","3100009","1","375"
"7029","7030","36","7028","3","13050","1","3100010","1","375"
"8002","8003","41","8001","3","14280","1","3200001","2","340"
"8005","8006","41","8004","3","14280","1","3200002","2","340"
"8008","8009","41","8007","3","14280","1","3200003","2","340"
"8011","8012","41","8010","3","14280","1","3200004","2","340"
"8014","8015","41","8013","3","14280","1","3200005","2","340"
"8017","8018","41","8016","3","14280","1","3200006","2","340"
"8020","8021","41","8019","3","14280","1","3200007","2","340"
"8023","8024","41","8022","3","14280","1","3200008","2","340"
"8026","8027","41","8025","3","14280","1","3200009","2","340"
"8029","8030","41","8028","3","14280","1","3200010","2","340"
"8032","8033","41","8031","3","14280","1","3200011","2","340"
"8035","8036","41","8034","3","14280","1","3200012","2","340"
"8038","8039","38","8037","3","13050","1","3200013","2","375"
"8041","8042","38","8040","3","13050","1","3200014","2","375"
"8044","8045","38","8043","3","13050","1","3200015","2","375"
"8047","8048","38","8046","3","13050","1","3200016","2","375"
"8050","8051","38","8049","3","13050","1","3200017","2","375"
"8053","8054","38","8052","3","13050","1","3200018","2","375"
"8056","8057","38","8055","3","13050","1","3200019","2","375"
"8059","8060","38","8058","3","13050","1","3200020","2","375"
"9002","9003","40","9001","3","14280","1","3300001","3","340"
"9005","9006","40","9004","3","14280","1","3300002","3","340"
"9008","9009","40","9007","3","14280","1","3300003","3","340"
"9011","9012","40","9010","3","14280","1","3300004","3","340"
"9014","9015","40","9013","3","14280","1","3300005","3","340"
"9017","9018","40","9016","3","14280","1","3300006","3","340"
"9020","9021","40","9019","3","14280","1","3300007","3","340"
"9023","9024","40","9022","3","14280","1","3300008","3","340"
"9026","9027","40","9025","3","14280","1","3300009","3","340"
"9029","9030","40","9028","3","14280","1","3300010","3","340"
"9032","9033","40","9031","3","14280","1","3300011","3","340"
"9035","9036","40","9034","3","14280","1","3300012","3","340"
"9038","9039","40","9037","3","14280","1","3300013","3","340"
"9041","9042","40","9040","3","14280","1","3300014","3","340"
"9044","9045","40","9043","3","14280","1","3300015","3","340"
"9047","9048","40","9046","3","14280","1","3300016","3","340"
"9050","9051","40","9049","3","14280","1","3300017","3","340"
"9053","9054","40","9052","3","14280","1","3300018","3","340"
"9056","9057","39","9055","3","13050","1","3300019","3","375"
"9059","9060","39","9058","3","13050","1","3300020","3","375"
"9062","9063","39","9061","3","13050","1","3300021","3","375"
"9065","9066","39","9064","3","13050","1","3300022","3","375"
"9068","9069","39","9067","3","13050","1","3300023","3","375"
"9071","9072","39","9070","3","13050","1","3300024","3","375"
"9074","9075","39","9073","3","13050","1","3300025","3","375"
"9077","9078","39","9076","3","13050","1","3300026","3","375"
"9080","9081","39","9079","3","13050","1","3300027","3","375"
"9083","9084","39","9082","3","13050","1","3300028","3","375"
"9086","9087","39","9085","3","13050","1","3300029","3","375"
"9089","9090","39","9088","3","13050","1","3300030","3","375"
