87f146937646abe02649592cc65f5311461d9812e28b6adcfd1d88b3a4384e53,9ca1bf921db025f5f6568a899416633092d4e998c5ddd50dff2660700c5524c0,de503f3ce2a9ff121e6bda29ba3cd07dc648c1d5166735a3f2d7f2a8a9ea0bd0,5cec602654222bb3062cfe0635a9ace0883b355c7cbf240ec602697365489c76,8c2e61550fe06b3d7b83dcb7c2192a13b2945dae39a0c7a80d0d719d30944eab
"15.3","-6.3","3","1","30010215"
"15.9","-10.4","1","1","30010216"
"16.9","-11.6","3","1","30010217"
"15.9","-13","1","1","30010218"
"11.1","-11.6","2","1","30010219"
"11.1","-10.1","3","1","30010220"
"13.9","-14.3","3","1","30010221"
"15","-15.5","1","1","30010222"
"14.3","-17.3","3","1","30010223"
"15","-18.4","1","1","30010224"
"11.1","-17.8","1","1","30010225"
"11.1","-18.9","3","1","30010226"
"11","-21.6","1","1","30010227"
"9.7","-21.6","2","1","30010228"
"8.5","-21.6","1","1","30010229"
"7","-21.6","1","1","30010230"
"5.5","-21.7","3","1","30010231"
"4","-21.7","1","1","30010232"
"2.2","-20.4","3","1","30010233"
"6","-19.3","2","1","30010234"
"5.3","-18.2","2","1","30010235"
"6","-16.8","2","1","30010236"
"2.2","-11.8","1","1","30010237"
"7","-9.5","1","1","30010238"
"5.9","-9","3","1","30010239"
"4.9","-9.5","1","1","30010240"
"2.1","-10.3","3","1","30010241"
"2.1","-8.5","1","1","30010242"
"0.6","-18.7","1","1","30010243"
"5.2","-13.4","3","1","30010244"
"4","-12.6","3","1","30010245"
"-16.6","6","991004","1","30010246"
"-15.1","5.5","991002","1","30010247"
"12.3","-2.5","991002","1","30010251"
"11.7","-2.5","991001","1","30010252"
"12.2","-7.5","991002","1","30010253"
"11.8","-7.5","991001","1","30010254"
"11.4","-13.2","991001","1","30010255"
"12.7","-13.7","991003","1","30010256"
"6.5","-21.5","991001","1","30010257"
"6.8","-12.6","991002","1","30010259"
"5.2","-12.6","991001","1","30010260"
"-1.5","-11.5","991002","1","30010261"
"-2.5","-11.5","991001","1","30010262"
"6.4","-20.2","991004","1","30010263"
"-1.8","-16.6","991002","1","30010264"
"-2.2","-16.6","991001","1","30010265"
"-9.3","8.5","2","1","30010267"
"-12","-18.6","1","1","30010268"
"-10.1","-17.6","991002","1","30010269"
"-11.7","-17.7","991001","1","30010270"
"-14.3","-12.6","991003","1","30010271"
"-14.3","-11.2","991004","1","30010272"
"-13.9","-15.4","3","1","30010274"
"-13.8","-14.1","3","1","30010275"
"-12.2","-8.1","991003","1","30010276"
"-12.2","-7.7","991004","1","30010277"
"-15.3","-8.6","1","1","30010278"
"-19.9","-11.9","1","1","30010279"
"-19.9","-10.7","3","1","30010280"
"-19.9","-9.2","1","1","30010281"
"-19.9","-8","3","1","30010282"
"-18.6","-13.4","1","1","30010283"
"-16.2","-13.6","1","1","30010284"
"-14.9","-13.7","3","1","30010285"
"-12.9","-9.6","3","1","30010286"
"-11.7","-9.6","2","1","30010287"
"-10.4","-9.6","2","1","30010288"
"-7","-8.8","1","1","30010289"
"-1","-3.6","2","1","30010290"
"-1","-5","2","1","30010291"
"1.8","2.5","991002","1","30010292"
"0.5","2.5","991003","1","30010293"
"10.5","-22.7","2","2","30020001"
"9","-23","2","2","30020004"
"6","-23","2","2","30020005"
"7.5","-22.7","2","2","30020006"
"6.3","-19.1","991001","2","30020008"
"7.8","-19.1","991002","2","30020009"
"5.5","-21.5","2","2","30020010"
"13.5","-22.7","1","2","30020011"
"15","-23.5","3","2","30020012"
"17.1","-22.5","990001","2","30020013"
"16.3","-22.7","1","2","30020014"
"18.4","-22.7","3","2","30020015"
"19.7","-23.5","1","2","30020016"
"21.3","-22.7","3","2","30020017"
"10.5","-20","2","2","30020018"
"12.5","-19.8","1","2","30020019"
"15","-19.8","1","2","30020020"
"15","-15","1","2","30020024"
"18.6","-17.8","1","2","30020027"
"17.5","-19.8","1","2","30020029"
"15","-17","1","2","30020030"
"16","-16.4","3","2","30020031"
"4","-20.3","2","2","30020032"
"3.5","-18.9","2","2","30020033"
"4","-17.5","2","2","30020034"
"9","-15.7","2","2","30020035"
"-2","-23.8","2","2","30020043"
"-4","-23.8","2","2","30020044"
"-5","-23","1","2","30020045"
"-4","-19","2","2","30020047"
"-4","-17","2","2","30020048"
"-1.3","-15.7","1","2","30020050"
"-1.7","-13.4","2","2","30020051"
"-3.5","-13.5","2","2","30020052"
"-7","-13.1","2","2","30020053"
"-9.2","-13.6","2","2","30020054"
"-9","-14.9","2","2","30020055"
"-7","-21.1","1","2","30020056"
"-8.8","-22.7","1","2","30020062"
"-12","-22.7","1","2","30020063"
"-5","-21.1","3","2","30020065"
"-7","-23","3","2","30020066"
"-10.5","-23.2","3","2","30020067"
"-10","-16","2","2","30020068"
"-12","-15.3","2","2","30020069"
"-13.5","-18.1","2","2","30020070"
"-13.5","-16.4","2","2","30020071"
"-14.5","-22.7","3","2","30020072"
"-17.1","-22.7","3","2","30020073"
"-8.2","-19","991004","2","30020074"
"-16","-22.5","990001","2","30020076"
"-19.5","-22.7","1","2","30020077"
"-21.5","-22.7","1","2","30020078"
"-23.5","-22","3","2","30020079"
"-23.5","-20.2","3","2","30020080"
"-25","-18.8","1","2","30020083"
"-25","-17.6","3","2","30020084"
"-25","-16","3","2","30020085"
"-25","-14","1","2","30020086"
"-19.7","-16.1","2","2","30020087"
"-19.3","-14.8","2","2","30020088"
"-24.5","-12.7","3","2","30020089"
"-23.5","-11.5","1","2","30020090"
"-19.4","-13.1","3","2","30020091"
"-20","-11.5","1","2","30020092"
"-25","-9.6","3","2","30020093"
"-25","-8","1","2","30020094"
"-25","-6.2","3","2","30020095"
"-18.5","-9.4","2","2","30020096"
"-17","-8.5","2","2","30020097"
"-18.5","-7.4","2","2","30020098"
"-17","-6.8","2","2","30020099"
"-23.7","-4","1","2","30020100"
"-21.6","-2","1","2","30020101"
"-19.5","-2","1","2","30020102"
"-17.7","-2","1","2","30020103"
"-16.1","-3.4","3","2","30020104"
"-15","-4","3","2","30020105"
"-16.2","-10.8","3","2","30020106"
"-15","-11.3","3","2","30020107"
"-13.7","-10.8","3","2","30020108"
"-10.5","-6","1","2","30020109"
"-9.3","-5","1","2","30020110"
"-11.9","-5.1","3","2","30020111"
"-8.3","-6","3","2","30020112"
"-12","-10.4","3","2","30020113"
"-10.8","-11.8","1","2","30020114"
"-9","-11.8","1","2","30020115"
"-7","-10","3","2","30020116"
"3.9","-8","2","2","30020119"
"-4.9","-8.8","2","2","30020121"
"-4","-7.7","2","2","30020122"
"-3","-8.9","2","2","30020123"
"-14.2","-2.6","3","2","30020125"
"-14.2","-1","1","2","30020126"
"-13.1","0.2","3","2","30020127"
"-11.8","1.1","1","2","30020128"
"-7.4","1.2","1","2","30020131"
"-10.5","2.2","3","2","30020132"
"-8.5","2.2","3","2","30020133"
"-9.5","1.1","1","2","30020134"
"-6","0","3","2","30020135"
"-4.5","1.3","1","2","30020136"
"2.8","-1","1","2","30020141"
"0.4","-10.2","2","2","30020142"
"6.2","-2.8","1","2","30020143"
"8","-2.7","1","2","30020145"
"6.9","-4.3","1","2","30020146"
"3.8","0.9","3","2","30020147"
"6.2","0.9","3","2","30020148"
"8","0.5","3","2","30020149"
"10.4","0.5","3","2","30020150"
"8","-9.5","3","2","30020151"
"8.7","-8","3","2","30020152"
"3","-4.1","1","2","30020153"
"2.3","-12","2","2","30020154"
"3.8","-12.5","2","2","30020155"
"5.5","-12","2","2","30020156"
"11.9","-1.1","1","2","30020157"
"13","-2.5","1","2","30020158"
"13","-3.7","1","2","30020159"
"15","-3.5","3","2","30020160"
"15","-1.9","3","2","30020161"
"15","-9","2","2","30020162"
"16","-7.6","2","2","30020163"
"17","-9.1","2","2","30020164"
"18.1","-7.6","2","2","30020165"
"18.7","-9.1","2","2","30020166"
"16.5","-1.1","1","2","30020167"
"18.2","0","1","2","30020168"
"19.5","-0.8","1","2","30020169"
"21","1","3","2","30020170"
"23","1","3","2","30020171"
"10","-10","3","2","30020172"
"11.5","-10.8","3","2","30020173"
"13","-10","3","2","30020174"
"17.4","-11.3","1","2","30020176"
"16","-12","3","2","30020177"
"14.4","-11.3","1","2","30020178"
"10.1","-13.9","2","2","30020179"
"8.5","-13.2","2","2","30020180"
"-10.2","-9.2","991003","2","30020189"
"-10.2","-8.7","991004","2","30020190"
"2.8","-9.4","991003","2","30020193"
"2.8","-8.3","991004","2","30020194"
"9.9","-5.7","991001","2","30020197"
"10.3","-5.7","991002","2","30020198"
"16","-6.5","990001","2","30020199"
"11.8","-16.6","991001","2","30020204"
"12.2","-16.6","991002","2","30020205"
"-8.2","-20.6","991003","2","30020209"
"-11","-4.5","990001","2","30020213"
"-3.2","-2.11","991003","2","30020214"
"-3.2","-1.7","991004","2","30020215"
"-3","1.9","3","2","30020216"
"-1.2","1.2","1","2","30020217"
"1.3","0.9","3","2","30020218"
"-4.5","-6.1","2","2","30020219"
"-3.7","-4.7","2","2","30020220"
"-22.2","-15.2","991001","2","30020221"
"-21.8","-15.2","991002","2","30020222"
"-0.2","-18.6","991001","2","30020223"
"0.2","-18.6","991002","2","30020224"
"21.5","-8.6","991001","2","30020225"
"22.5","-8.6","991002","2","30020226"
"21.4","-16.6","991003","2","30020227"
"22.6","-15.3","991002","2","30020228"
"20.7","-4.1","991003","2","30020229"
"21","-3.6","991002","2","30020230"
"-15.7","-8","991003","2","30020231"
"-14.3","-7.3","991002","2","30020232"
"-22.7","-10.6","991001","2","30020233"
"-21.3","-10.6","991002","2","30020234"
"7","-23.6","11","3","30030001"
"16","-20.7","12","3","30030003"
"6.4","-21.8","13","3","30030005"
"8.4","-21.8","13","3","30030006"
"4","-21","11","3","30030007"
"1.6","-15.7","11","3","30030008"
"3.5","-16.7","11","3","30030009"
"1.5","-21.9","13","3","30030010"
"2.7","-23.7","13","3","30030011"
"-3","-23.7","13","3","30030012"
"-5.9","-22.8","12","3","30030018"
"-10.5","-21.6","11","3","30030019"
"-11.5","-19.7","13","3","30030020"
"-13.5","-19.7","13","3","30030021"
"-9.5","-19.7","13","3","30030022"
"-16.1","-23.8","12","3","30030023"
"-18.7","-23.8","11","3","30030024"
"-21","-21.8","11","3","30030025"
"-19.4","-16.1","12","3","30030027"
"-11.1","-3.8","13","3","30030036"
"-14.9","-3.7","13","3","30030037"
"-10.4","-11.7","12","3","30030043"
"-10.4","-13.6","12","3","30030044"
"-15.1","-4.8","12","3","30030045"
"-8.9","-8.4","13","3","30030046"
"-8.9","-4.7","13","3","30030048"
"-10.1","1.3","11","3","30030054"
"-5.1","-3.2","13","3","30030058"
"4.1","-6.3","12","3","30030062"
"13","-4","11","3","30030064"
"11.9","-2.6","11","3","30030065"
"15.3","-6.4","13","3","30030067"
"16.4","-9.7","13","3","30030068"
"18.8","-5.7","13","3","30030069"
"16","-23.8","11","3","30030073"
"17.9","-19.5","13","3","30030076"
"17.9","-17.8","13","3","30030077"
"21.4","-10.8","990002","3","30030079"
"5","-23.7","990001","3","30030080"
"-14.1","-9.4","990001","3","30030081"
"6.9","-9.6","990001","3","30030082"
"1.8","-13","11","3","30030083"
"8.5","-12.7","13","3","30030085"
"8.5","-16.7","13","3","30030086"
"11.5","-13.8","12","3","30030087"
"9.8","-13.7","12","3","30030088"
"-0.5","-3.7","13","3","30030089"
"0.6","-3.7","13","3","30030090"
"-6.5","-7.3","12","3","30030091"
"-5.4","-6.1","12","3","30030092"
"-6.5","-6.2","13","3","30030093"
"-5.5","-7.5","13","3","30030094"
"-11.1","-5.8","13","3","30030095"
"-11.1","-7.2","11","3","30030097"
"-20","-11.4","12","3","30030098"
"-20.1","-9.2","12","3","30030099"
"-17.5","-9.7","13","3","30030100"
"-15.5","-9.7","13","3","30030101"
"-17.5","-21.5","13","3","30030102"
"-16.1","-20.1","13","3","30030103"
"-17.5","-20.1","12","3","30030104"
"-2.1","-21.9","13","3","30030106"
"15.8","-18.6","11","3","30030107"
"18.8","-22.2","11","3","30030108"
"22.2","-15.8","12","3","30030109"
"20.1","-15.8","12","3","30030110"
"17.9","-15.8","12","3","30030111"
"16.8","-1.8","12","3","30030115"
"1","-10.6","11","3","30030116"
"2.5","-10.6","11","3","30030117"
"9","0.1","13","3","30030118"
"7.5","0.1","13","3","30030119"
"4.8","-0.6","11","3","30030120"
"19.4","-1.8","12","3","30030121"
"21.7","-1.8","12","3","30030122"
"20.5","-1.7","13","3","30030123"
"18.1","-1.7","13","3","30030124"
"15.7","1.2","11","3","30030125"
"18.5","0.3","13","3","30030126"
"20.1","0.3","13","3","30030127"
"21.5","0.3","13","3","30030128"
"20","-11.5","13","3","30030130"
"-4","-10.1","11","3","30030132"
"-8","-22.8","12","3","30030135"
"-13.2","-15.8","11","3","30030137"
"-11.2","-15.7","11","3","30030138"
"-4","-12","12","3","30030139"
"10.4","-16.7","13","3","30030140"
"-12.6","-21.6","11","3","30030141"
"-22","-16.4","11","3","30030144"
"-22","-18.7","11","3","30030145"
"-5.1","-1.9","13","3","30030146"
"-5.1","-0.4","13","3","30030147"
"-7","-0.8","11","3","30030148"
"-7","-2.4","11","3","30030149"
"13.6","1.3","11","3","30030150"
"8.5","-1.7","11","3","30030151"
"10","-2.6","11","3","30030152"
"13","-6.2","12","3","30030153"
"13.1","-9","13","3","30030154"
"13.1","-7.6","13","3","30030155"
"17.5","-5.8","12","3","30030156"
"20.1","-5.8","12","3","30030157"
"21.5","-5.6","11","3","30030158"
"23","-5.6","11","3","30030159"
"20","-12.8","12","3","30030160"
"5.5","-18.8","12","3","30030161"
"7.5","-18.7","11","3","30030162"
"9.5","-18.8","12","3","30030163"
"11.5","-18.6","11","3","30030164"
"12.5","-18.7","13","3","30030165"
"14.1","-18.7","13","3","30030166"
"-16.1","-21.3","12","3","30030167"
"-6","-14.8","13","3","30030168"
"-4.5","-14.8","12","3","30030169"
"-3","-14.8","13","3","30030170"
"-1.5","-14.8","12","3","30030171"
"-17.5","-16.6","11","3","30030172"
"-14.9","-16.6","11","3","30030174"
"-18.5","-6.9","11","3","30030175"
"-16.5","-6.9","11","3","30030176"
"-9.1","-6.6","12","3","30030177"
"-14.9","-6.1","13","3","30030178"
"-21.8","-20.6","13","3","30030179"
"-21.9","-14.9","13","3","30030180"
"10","-23.6","11","3","30030181"
"19","-15.7","13","3","30030182"
"21.1","-15.7","13","3","30030183"
"23.8","-11.8","11","3","30030184"
"23.8","-13.7","11","3","30030185"
"-8","-4.6","990001","4","30040001"
"-6.6","2.9","990002","4","30040002"
"11","-21.6","990001","4","30040003"
"-4","-21.6","990001","4","30040004"
"-9.8","-21.7","991001","4","30040005"
"-12.2","-16","991001","4","30040006"
"-11.8","-16","991002","4","30040007"
"-15.2","-12.6","991003","4","30040008"
"-15.2","-11.1","991004","4","30040009"
"-14.8","-8.7","991003","4","30040010"
"-14.8","-7.1","991004","4","30040011"
"-17.2","-1","991001","4","30040012"
"-16.8","-1","991002","4","30040013"
"-17.8","6","991004","4","30040015"
"-16.2","5.3","991002","4","30040016"
"-0.8","3.4","991003","4","30040019"
"0.8","3.9","991002","4","30040020"
"10.8","-2.7","991001","4","30040021"
"11.2","-2.7","991002","4","30040022"
"10.3","-6.1","991001","4","30040023"
"11.8","-6.1","991002","4","30040024"
"10.2","-13.1","991001","4","30040025"
"11.8","-13.7","991003","4","30040026"
"5.1","-21.7","991001","4","30040027"
"6.9","-20","991004","4","30040028"
"4.8","-11","991001","4","30040029"
"5.2","-11","991002","4","30040030"
"-3.2","-11.7","991001","4","30040031"
"-2.8","-11.7","991002","4","30040032"
"-3.8","-15.1","991001","4","30040033"
"-2.1","-15.1","991002","4","30040034"
"-11.2","-22","11","4","30040035"
"-10.1","-17.9","11","4","30040037"
"-7.4","-19","11","4","30040038"
"-15.6","-15.4","12","4","30040040"
"-8.4","-15.4","12","4","30040041"
"-10","-11.9","11","4","30040042"
"-13.6","-10.8","13","4","30040043"
"-16.9","-13.8","11","4","30040044"
"-19.2","-13.6","11","4","30040045"
"-19.7","-12.9","11","4","30040046"
"-21.3","-11","11","4","30040047"
"-21.3","-9.1","12","4","30040048"
"-18","-9","11","4","30040049"
"-18.7","-6.5","13","4","30040050"
"-16.4","-8.8","11","4","30040051"
"-12.4","-7.9","13","4","30040052"
"-11.5","-9.8","11","4","30040053"
"-9.5","-9.3","11","4","30040054"
"-6.2","-9.1","11","4","30040055"
"-7.4","-9","12","4","30040056"
"-4.6","-7.7","11","4","30040057"
"-7.3","-6.5","13","4","30040058"
"-9.1","-4.9","11","4","30040061"
"-16.5","-5.3","11","4","30040062"
"-10.5","-5","12","4","30040063"
"-12.5","-5","12","4","30040064"
"-14.5","-5","12","4","30040065"
"-18.3","-3.9","11","4","30040066"
"-19.4","-3","11","4","30040067"
"-18.2","-2.9","13","4","30040068"
"-18.4","0.4","11","4","30040069"
"-15.3","1.9","11","4","30040070"
"-17","1.9","12","4","30040071"
"-21.4","-0.5","11","4","30040072"
"-21.2","1.2","11","4","30040073"
"-21.5","2.9","11","4","30040074"
"-19.6","4.8","11","4","30040075"
"-15.6","4.4","13","4","30040076"
"-13","-2.7","13","4","30040077"
"-18.3","7.2","11","4","30040078"
"-16.9","8.9","11","4","30040079"
"-12.1","8.1","12","4","30040080"
"-14.7","9","11","4","30040081"
"-8.1","6.6","11","4","30040082"
"-8.3","4.2","11","4","30040083"
"-7.6","1.7","11","4","30040084"
"-7.6","-0.6","13","4","30040085"
"-3.9","2.1","12","4","30040088"
"-4","5","11","4","30040089"
"-6.8","8","11","4","30040090"
"-4.5","8.6","11","4","30040091"
"-3.6","8.1","11","4","30040092"
"-0.7","8","11","4","30040093"
"-1.3","4.9","12","4","30040094"
"-1.6","1.9","11","4","30040095"
"-0.3","0.1","13","4","30040096"
"0.8","0.1","11","4","30040097"
"7.1","1","11","4","30040099"
"4.4","0.9","13","4","30040100"
"5.8","0.9","11","4","30040101"
"2.2","5.1","11","4","30040102"
"8.7","0.8","11","4","30040106"
"12.8","5.4","11","4","30040108"
"10.5","6","12","4","30040109"
"13.4","2.9","11","4","30040110"
"13","0.8","11","4","30040111"
"11.1","-3.8","13","4","30040112"
"7.6","-2.4","11","4","30040113"
"8.1","-5.8","11","4","30040114"
"7.5","-4.5","12","4","30040115"
"14.2","-5.8","12","4","30040116"
"14.5","-2.9","13","4","30040117"
"8.8","-8.6","11","4","30040118"
"9.5","-10.6","13","4","30040119"
"13.7","-9.4","13","4","30040120"
"15","-10","11","4","30040121"
"15.5","-12.1","11","4","30040122"
"13.1","-14.7","11","4","30040123"
"12.8","-16.5","13","4","30040124"
"13.4","-17.8","13","4","30040125"
"8.5","-14.3","11","4","30040126"
"8.1","-16.4","11","4","30040127"
"9","-19","11","4","30040128"
"9","-12.1","11","4","30040129"
"9.7","-22.1","11","4","30040130"
"13","-22","11","4","30040131"
"12.7","-19.9","13","4","30040132"
"7.3","-22.1","12","4","30040133"
"3.7","-22.3","11","4","30040134"
"2.4","-22","11","4","30040135"
"0.5","-19.9","11","4","30040136"
"3.4","-19.4","13","4","30040137"
"4.7","-18.4","13","4","30040138"
"3.8","-17.5","13","4","30040139"
"0","-18","11","4","30040140"
"1","-15","11","4","30040141"
"2.3","-13.8","11","4","30040142"
"3.4","-13.1","12","4","30040143"
"1","-13","13","4","30040144"
"0.4","-10.9","13","4","30040145"
"5","-9.7","12","4","30040146"
"3.3","-9.3","13","4","30040147"
"0.4","-9.3","11","4","30040148"
"2","-6","11","4","30040149"
"3.4","-5.2","11","4","30040150"
"1.3","-4.5","13","4","30040151"
"-1","-3","11","4","30040154"
"-6.5","-11.3","11","4","30040155"
"-6.5","-13.8","12","4","30040156"
"-5.6","-17.1","12","4","30040157"
"-5.5","-18.6","11","4","30040158"
"-2.3","-22.4","11","4","30040159"
"-6.8","-22.2","12","4","30040160"
"-5","-22.5","11","4","30040161"
"-1.5","-20.2","13","4","30040162"
"-15.5","-18.8","11","4","30040163"
"-15","-21","11","4","30040164"
"-16","-20","13","4","30040165"
"4","5.8","11","4","30040166"
"9","6","11","4","30040167"
"7","6.4","13","4","30040168"
"5.2","6.2","13","4","30040169"
"1.5","-1","11","4","30040170"
"4.4","-2.3","13","4","30040171"
"2.8","-3.9","11","4","30040172"
"17.1","-22.5","990001","5","30050013"
"-8.2","-19","991004","5","30050074"
"-16","-22.5","990001","5","30050076"
"2.8","-9.4","991003","5","30050193"
"2.8","-8.3","991004","5","30050194"
"11.8","-16.6","991001","5","30050204"
"12.2","-16.6","991002","5","30050205"
"-8.2","-20.6","991003","5","30050209"
"-11","-4.5","990001","5","30050213"
"-6.4","1.7","991003","5","30050214"
"-6.4","2.2","991004","5","30050215"
"-22.2","-15.2","991001","5","30050221"
"-21.8","-15.2","991002","5","30050222"
"-0.2","-18.6","991001","5","30050223"
"0.2","-18.6","991002","5","30050224"
"-22.7","-10.6","991001","5","30050233"
"-21.3","-10.6","991002","5","30050234"
"12","-2.7","990001","5","30050235"
"-4.2","-16.7","991006","5","30050236"
"-5.7","-16.7","991006","5","30050237"
"-25.5","24.3","13","5","30050238"
"-25.2","24.5","11","5","30050239"
"8.2","-22.8","13","5","30050240"
"7.1","-22.7","11","5","30050241"
"5","-22.7","11","5","30050242"
"4.8","-21.5","13","5","30050243"
"6","-22.8","13","5","30050244"
"-25.4","24.4","12","5","30050245"
"4.5","-19.2","12","5","30050246"
"9","-17","13","5","30050247"
"9","-16","13","5","30050248"
"9","-18","13","5","30050249"
"2.9","-15.6","11","5","30050250"
"3","-17.8","11","5","30050251"
"7.5","-14.1","12","5","30050252"
"7.5","-11.9","12","5","30050253"
"5.4","-11.7","13","5","30050254"
"3.5","-11.7","13","5","30050255"
"1.5","-10.9","11","5","30050256"
"-0.5","-10.9","11","5","30050257"
"3.5","-14.4","12","5","30050258"
"1.5","-14.3","12","5","30050259"
"1.6","-21.3","12","5","30050260"
"1.6","-22.8","11","5","30050261"
"-0.5","-24","12","5","30050262"
"-2.7","-24","12","5","30050263"
"-4","-16","13","5","30050264"
"-5","-16","13","5","30050265"
"-6","-16","13","5","30050266"
"-4","-18","13","5","30050267"
"-5","-18","13","5","30050268"
"-6","-18","13","5","30050269"
"-7","-21","11","5","30050270"
"-5.5","-19.8","12","5","30050271"
"-9.3","-17.1","12","5","30050272"
"-10.6","-16.3","12","5","30050273"
"-12.2","-17.2","12","5","30050274"
"-10","-22","11","5","30050275"
"-12","-22","11","5","30050276"
"-14.4","-16.8","12","5","30050277"
"-16.6","-15.9","11","5","30050278"
"-19.5","-16","11","5","30050279"
"-18.1","-16","12","5","30050280"
"-19","-14","12","5","30050281"
"-17","-13","12","5","30050282"
"-16.6","-14.7","12","5","30050283"
"-24.1","-13.5","11","5","30050284"
"-24","-15.7","11","5","30050285"
"-23.5","-20.4","11","5","30050286"
"-23.5","-17.8","11","5","30050287"
"-20","-22","12","5","30050288"
"-22","-22","12","5","30050289"
"-23.2","-19.3","13","5","30050290"
"-23","-13","13","5","30050291"
"-23","-11.8","12","5","30050292"
"-23","-11","13","5","30050293"
"-20.1","-12.4","11","5","30050294"
"-20","-11","11","5","30050295"
"-19.3","-9.5","11","5","30050296"
"-19.3","-8.4","12","5","30050297"
"-19.1","-6.8","11","5","30050299"
"-20.4","-6.5","13","5","30050300"
"-19.2","-4.2","12","5","30050301"
"-20.6","-4.1","12","5","30050302"
"-23.4","-5.9","12","5","30050303"
"-23.4","-4.1","11","5","30050304"
"-23.4","-1.4","11","5","30050305"
