26e975be049021f249df9ce6c98b68d7fb846a33a4d47fe176db828d1af928c0,e7636b7b55755971bdb9891b715a8610920fb82276a281c5e2ef4b989fffc50a,2080b5959c6a343a78fda5b334aa42f9c4444757ee4f783fa116070ca65f4570,433549dc28156201e9a37428f1ddb511f1aa56c6e4e25801cace426df4915b9e,0f1e117429d98b7fbeb17a1bd23e866b6a2e75c92dc95b9d603972f8078a0749,a4d12acdb120488cd141ec60d4aaaab2531e15cf641dc0c4c564843f96063a7e,a980c7ef4d8fb6eaec7de51e3ba521fb8d5fee88265775edc61a52667bb22cdc,5ea2767b57a32f283fde5a7a086892ab9e7630491408be58e8f9accd2d28e998,693097c25575a3d0a160efcedae3b43f8d122c3b8991784e535c8e78f5be086d,b715597a67293ce58b09bc14d9a937a65b7890772ffcde67da4b9321ed890b37,61944e86aafa01eae106749344fcf108acd9c2a59ab5397c1b11c940fd22d75d
"17","1","0","17015","0","0.5","6","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！","122511","11","0"
"17","","","17016","","","","","0","91",""
"17","","","17017","0.2","","1","sjr_talk_idle","122511","3",""
"18","72","1","18001","1.65","sjr_talk_idle","100","122611","1","1","-194"
"18","-72","0","18002","1.65","sjr_talk_idle","100","122511","1","1","-194"
"18","","","18003","0.2","","1","sjr_talk_wish_surprise","122611","3",""
"18","0","","18004","","","0","vo_minigame_1010_top_talk_2_006","vo_minigame_1010","21",""
"18","1","0","18005","0","0.5","7","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…","122611","11","0"
"18","","","18006","","","","","0","91",""
"18","","","18007","0.2","","1","sjr_talk_idle","122611","3",""
"18","sjr_talk_arm_crossed_normal2_loop","0","18008","0.2","","0","sjr_talk_arm_crossed_normal2","122511","3","1"
"18","0","","18009","","","0","vo_minigame_1010_top_talk_2_007","vo_minigame_1010","21",""
"18","1","0","18010","0","0.5","7","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ","122511","11","0"
"18","","","18011","","","","","0","91",""
"18","","","18012","0.2","","1","sjr_talk_idle","122511","3",""
"19","72","1","19001","1.65","sjr_talk_idle","100","122611","1","1","-194"
"19","-72","0","19002","1.65","sjr_talk_idle","100","122411","1","1","-194"
"19","sjr_talk_idle_joy","0","19003","0.2","","0","sjr_talk_wave_hand","122611","3","1"
"19","0","","19004","","","0","vo_minigame_1010_top_talk_2_008","vo_minigame_1010","21",""
"19","1","0","19005","0","0.5","11","ヒヨリちゃん\n楽しんでる？","122611","11","0"
"19","","","19006","","","","","0","91",""
"19","","","19007","0.2","","1","sjr_talk_idle","122611","3",""
"19","sjr_talk_swing_joy2","0","19008","0.2","","0","sjr_talk_fun","122411","3","1"
"19","0","","19009","","","0","vo_minigame_1010_top_talk_2_009","vo_minigame_1010","21",""
"19","1","0","19010","0","0.5","8","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！","122411","11","0"
"19","","","19011","","","","","0","91",""
"19","","","19012","0.2","","1","sjr_talk_idle","122411","3",""
"19","","","19013","0.2","","1","sjr_talk_laugh","122611","3",""
"19","0","","19014","","","0","vo_minigame_1010_top_talk_2_010","vo_minigame_1010","21",""
"19","1","0","19015","0","0.5","8","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！","122611","11","0"
"19","","","19016","","","","","0","91",""
"19","","","19017","0.2","","1","sjr_talk_idle","122611","3",""
"20","72","1","20001","1.65","sjr_talk_idle","100","122611","1","1","-194"
"20","-72","0","20002","1.65","sjr_talk_idle","100","122411","1","1","-194"
"20","sjr_talk_guts2_loop","0","20003","0.2","","0","sjr_talk_guts2","122411","3","1"
"20","0","","20004","","","0","vo_minigame_1010_top_talk_2_011","vo_minigame_1010","21",""
"20","1","0","20005","0","0.5","9","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー","122411","11","0"
"20","","","20006","","","","","0","91",""
"20","","","20007","0.2","","1","sjr_talk_idle","122411","3",""
"20","sjr_talk_mouth_hidden_guru","0","20008","0.2","","0","sjr_talk_mouth_hidden_dere_guru","122611","3","1"
"20","0","","20009","","","0","vo_minigame_1010_top_talk_2_012","vo_minigame_1010","21",""
"20","1","0","20010","0","0.5","5","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…","122611","11","0"
"20","","","20011","","","","","0","91",""
"20","sjr_talk_shock_loop","0","20012","0.2","","0","sjr_talk_shock","122411","3","1"
"20","0","","20013","","","0","vo_minigame_1010_top_talk_2_013","vo_minigame_1010","21",""
"20","1","0","20014","0","0.5","17","わーっ！？\nユイちゃん！？\n目がグルグルだー！？","122411","11","0"
"20","","","20015","","","","","0","91",""
"20","","","20016","0.2","","1","sjr_talk_idle","122611","3",""
"20","","","20017","0.2","","1","sjr_talk_idle","122411","3",""
"21","72","1","21001","1.65","sjr_talk_idle","100","122611","1","1","-194"
"21","-72","0","21002","1.65","sjr_talk_idle","100","122411","1","1","-194"
"21","","","21003","0.2","","1","sjr_talk_worry_sad","122611","3",""
"21","0","","21004","","","0","vo_minigame_1010_top_talk_2_014","vo_minigame_1010","21",""
"21","1","0","21005","0","0.5","9","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？","122611","11","0"
"21","","","21006","","","","","0","91",""
"21","","","21007","0.2","","1","sjr_talk_idle","122611","3",""
"21","sjr_talk_guts2_joy_loop","0","21008","0.2","","0","sjr_talk_laugh_guts","122411","3","0"
"21","0","","21009","","","0","vo_minigame_1010_top_talk_2_015","vo_minigame_1010","21",""
"21","1","0","21010","0","0.5","6","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪","122411","11","0"
"21","","","21011","","","","","0","91",""
"21","","","21012","0.2","","1","sjr_talk_idle","122411","3",""
"22","72","1","22001","1.65","sjr_talk_idle","100","122511","1","1","-194"
"22","-72","0","22002","1.65","sjr_talk_idle","100","122411","1","1","-194"
"22","sjr_talk_arm_crossed_normal_loop","0","22003","0.2","","0","sjr_talk_arm_crossed_normal","122511","3","1"
"22","0","","22004","","","0","vo_minigame_1010_top_talk_2_016","vo_minigame_1010","21",""
"22","1","0","22005","0","0.5","7","相手がヒヨリとはいえ\n負けるつもりは\nないからね","122511","11","0"
"22","","","22006","","","","","0","91",""
"22","","","22007","0.2","","1","sjr_talk_idle","122511","3",""
"22","sjr_talk_guts_loop","0","22008","0.2","","0","sjr_talk_guts","122411","3","1"
"22","0","","22009","","","0","vo_minigame_1010_top_talk_2_017","vo_minigame_1010","21",""
"22","1","0","22010","0","0.5","8","レイさんが相手なら\nあたしだって\n全力全開だよ！","122411","11","0"
"22","","","22011","","","","","0","91",""
"22","","","22012","0.2","","1","sjr_talk_idle","122411","3",""
"23","72","1","23001","1.65","sjr_talk_idle","100","122511","1","1","-194"
"23","-72","0","23002","1.65","sjr_talk_idle","100","122411","1","1","-194"
"23","sjr_talk_eieio_loop","0","23003","0.2","","0","sjr_talk_fun_eieio","122411","3","1"
"23","0","","23004","","","0","vo_minigame_1010_top_talk_2_018","vo_minigame_1010","21",""
"23","1","0","23005","0","0.5","5","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！","122411","11","0"
"23","","","23006","","","","","0","91",""
"23","","","23007","0.2","","1","sjr_talk_idle","122411","3",""
"23","","","23008","0.2","","1","sjr_talk_mouth_hidden_sad","122511","3",""
"23","0","","23009","","","0","vo_minigame_1010_top_talk_2_019","vo_minigame_1010","21",""
"23","1","0","23010","0","0.5","7","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？","122511","11","0"
"23","","","23011","","","","","0","91",""
"23","","","23012","0.2","","1","sjr_talk_idle","122511","3",""
"23","sjr_talk_arm_opened_guru","0","23013","0.2","","0","sjr_talk_arm_opened_joy_guru","122411","3","1"
"23","0","","23014","","","0","vo_minigame_1010_top_talk_2_020","vo_minigame_1010","21",""
"23","1","0","23015","0","0.5","5","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？","122411","11","0"
"23","","","23016","","","","","0","91",""
"23","","","23017","0.2","","1","sjr_talk_idle","122411","3",""
"24","72","1","24001","1.65","sjr_talk_idle","100","122511","1","1","-194"
"24","-72","0","24002","1.65","sjr_talk_idle","100","122411","1","1","-194"
"24","","","24003","0.2","","1","sjr_talk_mouth_hidden_sad","122411","3",""
"24","0","","24004","","","0","vo_minigame_1010_top_talk_2_021","vo_minigame_1010","21",""
"24","1","0","24005","0","1","7","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…","122411","11","0"
"24","","","24006","","","","","0","91",""
"24","","","24007","0.2","","1","sjr_talk_idle","122411","3",""
"24","sjr_talk_arm_crossed_joy_loop","0","24008","0.2","","0","sjr_talk_arm_crossed_normal_joy","122511","3","0"
"24","0","","24009","","","0","vo_minigame_1010_top_talk_2_022","vo_minigame_1010","21",""
"24","1","0","24010","0","0.5","5","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね","122511","11","0"
"24","","","24011","","","","","0","91",""
"24","","","24012","0.2","","1","sjr_talk_idle","122511","3",""
"24","","","24013","0.2","","1","sjr_talk_laugh","122411","3",""
"24","0","","24014","","","0","vo_minigame_1010_top_talk_2_023","vo_minigame_1010","21",""
"24","1","0","24015","0","0.5","7","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪","122411","11","0"
"24","","","24016","","","","","0","91",""
"24","","","24017","0.2","","1","sjr_talk_idle","122411","3",""
