3c814dfc8bfc30a25ef93a9b704d21d749b7dc1394c8122533cceb47a1cab5c6,9265ae48d25ccf63ca772eea967ab2c21e1222274797104b4827cccbffb85842,ae693823e10bf0a790e4795103a3296c3084625d3eda5e6ed106e98e0e570927,c2b952a4fe26c9f13a5af7e31d75af47aa9a4b7acdd2d5d540db0c6e3f21ad3f,fe566203a3ce0719a39f9bd5fed2aeec8c8ac8eb2c18e2b3d3b0b3c88094a4ea,5fef879c179a9718f6e8d3e1610431ebd04448c18dd8ca1316584e0bf64b0f61,eebc4f223e447fe797b918f1a005341bd0802349721a4e3ee47064319fb1baab,25a5b2d0022070b594a6e8490ca399829b5f4d7893ff8bbc1fe0cadbac82b8bf,06a5d5c1c13f036df39e9621914c4ebe94e461dc1e0570d44842c8ff7af18b09,c66c6f3aabfe1c466c0c5abe49bb2d636344f9e34c20f7e9be40b2705ca2dd22,53208276a3c32da3e8cd9cbe85ab679350c8f42e065367d18cb76cd92e0edd4f
"4814017","","1","93","","","","","4814","",""
"4814018","wac_birthday_reaction_03","100411","3","0.2","1","0.2","0","4814","wac_birthday_reaction_02",""
"4814019","","0.1","93","","","","","4814","",""
"4814020","wac_birthday_reaction_04","103611","3","0.2","1","0.2","0","4814","wac_birthday_reaction_01",""
"4814021","","0.3","93","","","","","4814","",""
"4814022","","102011","3","0.2","","","1","4814","wac_birthday_run_01",""
"4814023","3","102011","2","","","","-70","4814","0",""
"4814024","","2.5","93","","","","","4814","",""
"4814025","","602","32","","","","","4814","1",""
"4814026","","0.6","93","","","","","4814","",""
"4814027","","600","32","","","","","4814","0",""
"4814028","","611","32","","","","","4814","0",""
"4814029","","604","32","","","","","4814","0",""
"4814030","","701","32","","","","","4814","1",""
"4814031","0.01","901","33","","","","0","4814","0",""
"4814032","wac_birthday_wish_02","102011","3","0.2","1","0.2","0","4814","wac_birthday_blowout_02",""
"4814033","0.01","102011","2","","","","-330","4814","-200",""
"4814034","","103611","3","0.2","","","1","4814","wac_birthday_idle_doya",""
"4814035","0.01","103611","2","","","","-320","4814","180",""
"4814036","","100411","3","0.2","","","1","4814","wac_birthday_idle_kyapi",""
"4814037","0.01","100411","2","","","","-340","4814","320",""
"4814038","","0","93","","","","","4814","",""
"4814039","","800","32","","","","","4814","1",""
"4814040","","0.7","93","","","","","4814","",""
"4814041","","702","32","","","","","4814","1",""
"4814042","","0.5","93","","","","","4814","",""
"4814043","","se_common","23","","","","0","4814","se_sys_login_birthday_blow_candle",""
"4814044","","701","32","","","","","4814","0",""
"4814045","","0.4","93","","","","","4814","",""
"4814046","","se_common","23","","","","0","4814","se_sys_login_birthday_cracker",""
"4814047","","700","32","","","","","4814","1",""
"4814048","","se_common","23","","","","0","4814","se_sys_login_birthday_calendar_applause",""
"4814049","wac_birthday_idle_doya","103611","3","0.2","1","0.2","0","4814","wac_birthday_clap",""
"4814050","","0.1","93","","","","","4814","",""
"4814051","wac_birthday_idle_kyapi","100411","3","0.2","1","0.2","0","4814","wac_birthday_clap",""
"4814052","","2","93","","","","","4814","",""
"4814053","","1","131","","","","","4814","",""
"4814054","0","vo_wac_04814","21","","","","0","4814","vo_wac_04814_000",""
"4814055","1","102011","11","0","1","0","10","4814","わあ～、ケーキだ～！\nお店屋さんで売ってるのより\nおっきい……！　すごいすごい♪","0.5"
"4814056","","0","91","","","","","4814","",""
"4814057","","102011","3","0.2","","","1","4814","wac_birthday_idle_smile",""
"4814058","","103611","3","0.2","","","1","4814","wac_birthday_talk_doya",""
"4814059","0","vo_wac_04814","21","","","","0","4814","vo_wac_04814_001",""
"4814060","1","103611","11","0","1","0","10","4814","こっそり作っておいたの！\nミソギがイタズラしてきて\n大変だったけど……\nミミ、お誕生日おめでとう♪","0.5"
"4814061","","0","91","","","","","4814","",""
"4814062","","103611","3","0.2","","","1","4814","wac_birthday_idle_doya",""
"4814063","","102011","3","0.2","","","1","4814","wac_birthday_talk_smile",""
"4814064","0","vo_wac_04814","21","","","","0","4814","vo_wac_04814_002",""
"4814065","1","102011","11","0","1","0","10","4814","えへへ、ふたりともありがとう～\nおとうさんとおかあさん、みんなからも\nケーキがもらえるなんて夢みたい……","0.5"
"4814066","","0","91","","","","","4814","",""
"4814067","","102011","3","0.2","","","1","4814","wac_birthday_talk_kyapi",""
"4814068","0","vo_wac_04814","21","","","","0","4814","vo_wac_04814_003",""
"4814069","1","102011","11","0","1","0","10","4814","ミミ、とっても幸せだよ～♪\nおにいちゃんもありがとう！\nみんなのお誕生日がきたら、ミミも\nぜ～ったいおいわいするからね♪","0.5"
"4814070","","0","91","","","","","4814","",""
"4814071","","0","22","","","","","4814","",""
"5014001","","bgm_M321","25","","","","","5014","bgm_M321_2C",""
"5014002","-1000","1","1","2","-70","0","250","5014","100211","wac_birthday_idle_normal"
"5014003","230","1","1","2","-270","1","256","5014","100311","wac_birthday_idle_normal"
"5014004","410","1","1","2","-310","1","257","5014","100111","wac_birthday_idle_smile"
"5014005","","100211","13","","","","","5014","300",""
"5014006","","100311","13","","","","","5014","300",""
"5014007","0","600","31","1","1","","0","5014","600",""
"5014008","0","602","31","0","1","","0","5014","602",""
"5014009","0","603","31","0","1","","0","5014","603",""
"5014010","60","604","31","1","1","","30","5014","604",""
"5014011","0","611","31","1","1","","0","5014","611",""
"5014012","0","700","31","0","1","","0","5014","700",""
"5014013","0","701","31","0","1","","0","5014","701",""
"5014014","0","702","31","0","1","","0","5014","702",""
"5014015","0","800","31","0","1","","0","5014","800",""
"5014016","60","902","31","1","1","","30","5014","902",""
"5014017","","1","93","","","","","5014","",""
"5014018","wac_birthday_reaction_03","100111","3","0.2","1","0.2","0","5014","wac_birthday_reaction_02",""
"5014019","","0.1","93","","","","","5014","",""
"5014020","wac_birthday_reaction_04","100311","3","0.2","1","0.2","0","5014","wac_birthday_reaction_01",""
"5014021","","0.3","93","","","","","5014","",""
"5014022","","100211","3","0.2","","","1","5014","wac_birthday_run_01",""
"5014023","3","100211","2","","","","-70","5014","0",""
"5014024","","2.5","93","","","","","5014","",""
"5014025","","602","32","","","","","5014","1",""
"5014026","","0.6","93","","","","","5014","",""
"5014027","","600","32","","","","","5014","0",""
"5014028","","611","32","","","","","5014","0",""
"5014029","","604","32","","","","","5014","0",""
"5014030","","701","32","","","","","5014","1",""
"5014031","0.01","902","33","","","","0","5014","0",""
"5014032","wac_birthday_wish_04","100211","3","0.2","1","0.2","0","5014","wac_birthday_blowout_01",""
"5014033","0.01","100211","2","","","","-330","5014","-200",""
"5014034","","100311","3","0.2","","","1","5014","wac_birthday_idle_normal",""
"5014035","0.01","100311","2","","","","-320","5014","180",""
"5014036","","100111","3","0.2","","","1","5014","wac_birthday_idle_smile",""
"5014037","0.01","100111","2","","","","-340","5014","320",""
"5014038","","0","93","","","","","5014","",""
"5014039","","800","32","","","","","5014","1",""
"5014040","","0.7","93","","","","","5014","",""
"5014041","","702","32","","","","","5014","1",""
"5014042","","0.5","93","","","","","5014","",""
"5014043","","se_common","23","","","","0","5014","se_sys_login_birthday_blow_candle",""
"5014044","","701","32","","","","","5014","0",""
"5014045","","0.4","93","","","","","5014","",""
"5014046","","se_common","23","","","","0","5014","se_sys_login_birthday_cracker",""
"5014047","","700","32","","","","","5014","1",""
"5014048","","se_common","23","","","","0","5014","se_sys_login_birthday_calendar_applause",""
"5014049","wac_birthday_idle_normal","100311","3","0.2","1","0.2","0","5014","wac_birthday_clap",""
"5014050","","0.1","93","","","","","5014","",""
"5014051","wac_birthday_idle_smile","100111","3","0.2","1","0.2","0","5014","wac_birthday_clap",""
"5014052","","2","93","","","","","5014","",""
"5014053","","1","131","","","","","5014","",""
"5014054","0","vo_wac_05014","21","","","","0","5014","vo_wac_05014_000",""
"5014055","1","100211","11","0","1","0","10","5014","この誕生日ケーキ、わたしにっ！？\nあっ、ありがとう……！\n……もしかしてこれ、\nふたりで手作りしてくれたの？","0.5"
"5014056","","0","91","","","","","5014","",""
"5014057","","100211","3","0.2","","","1","5014","wac_birthday_idle_wish",""
"5014058","","100311","3","0.2","","","1","5014","wac_birthday_talk_normal",""
"5014059","0","vo_wac_05014","21","","","","0","5014","vo_wac_05014_001",""
"5014060","1","100311","11","0","1","0","10","5014","うん。私とヒヨリで作ったんだ。\nユイにはいつだって助けられてるから\nせめてものお返しだよ。\n……誕生日おめでとう。ユイ。","0.5"
"5014061","","0","91","","","","","5014","",""
"5014062","","100311","3","0.2","","","1","5014","wac_birthday_idle_normal",""
"5014063","","100211","3","0.2","","","1","5014","wac_birthday_talk_sad",""
"5014064","0","vo_wac_05014","21","","","","0","5014","vo_wac_05014_002",""
"5014065","1","100211","11","0","1","0","10","5014","そ、そんな……わたしだって、いつも\n助けられてばっかりで……ご、ごめん！\nせっかくお祝いしてもらってるのに\nうれしくて泣いちゃいそう……！","0.5"
"5014066","","0","91","","","","","5014","",""
"5014067","","100211","3","0.2","","","1","5014","wac_birthday_talk_smile",""
"5014068","0","vo_wac_05014","21","","","","0","5014","vo_wac_05014_003",""
"5014069","1","100211","11","0","1","0","10","5014","騎士クンも、本当にありがとうね。\nみんなに祝福してもらえて\nわたし、最高に幸せだよ……！\n大事に味わって食べるね！","0.5"
"5014070","","0","91","","","","","5014","",""
"5014071","","0","22","","","","","5014","",""
"5214001","","bgm_M321","25","","","","","5214","bgm_M321_2C",""
"5214002","-1000","1","1","2","-70","0","250","5214","105511","wac_birthday_idle_normal"
"5214003","170","1","1","2","-260","1","256","5214","105311","wac_birthday_idle_doya"
"5214004","270","1","1","2","-310","1","259","5214","104511","wac_birthday_idle_normal"
"5214005","410","1","1","2","-270","1","257","5214","100811","wac_birthday_idle_wish"
"5214006","510","1","1","2","-310","1","258","5214","103011","wac_birthday_idle_kyapi"
"5214007","","105511","13","","","","","5214","300",""
"5214008","","105311","13","","","","","5214","300",""
"5214009","0","600","31","1","1","","0","5214","600",""
"5214010","0","602","31","0","1","","0","5214","602",""
"5214011","0","603","31","0","1","","0","5214","603",""
"5214012","60","604","31","1","1","","30","5214","604",""
"5214013","0","611","31","1","1","","0","5214","611",""
"5214014","0","700","31","0","1","","0","5214","700",""
"5214015","0","701","31","0","1","","0","5214","701",""
"5214016","0","702","31","0","1","","0","5214","702",""
"5214017","0","800","31","0","1","","0","5214","800",""
"5214018","60","903","31","1","1","","30","5214","903",""
"5214019","","1","93","","","","","5214","",""
"5214020","wac_birthday_reaction_03","104511","3","0.2","1","0.2","0","5214","wac_birthday_reaction_05",""
"5214021","wac_birthday_reaction_03","105311","3","0.2","1","0.2","0","5214","wac_birthday_reaction_01",""
"5214022","","0.1","93","","","","","5214","",""
"5214023","wac_birthday_reaction_04","100811","3","0.2","1","0.2","0","5214","wac_birthday_reaction_01",""
"5214024","wac_birthday_reaction_03","103011","3","0.2","1","0.2","0","5214","wac_birthday_reaction_02",""
"5214025","","0.3","93","","","","","5214","",""
"5214026","","105511","3","0.2","","","1","5214","wac_birthday_run_01",""
"5214027","3","105511","2","","","","-70","5214","0",""
"5214028","","2.5","93","","","","","5214","",""
"5214029","","602","32","","","","","5214","1",""
"5214030","","0.6","93","","","","","5214","",""
"5214031","","600","32","","","","","5214","0",""
"5214032","","611","32","","","","","5214","0",""
"5214033","","604","32","","","","","5214","0",""
"5214034","","701","32","","","","","5214","1",""
"5214035","0.01","903","33","","","","0","5214","0",""
"5214036","wac_birthday_wish_04","105511","3","0.2","1","0.2","0","5214","wac_birthday_blowout_03",""
"5214037","0.01","105511","2","","","","-330","5214","-200",""
"5214038","","105311","3","0.2","","","1","5214","wac_birthday_idle_doya",""
"5214039","0.01","105311","2","","","","-320","5214","150",""
"5214040","","104511","3","0.2","","","1","5214","wac_birthday_idle_normal",""
"5214041","0.01","104511","2","","","","-360","5214","260",""
"5214042","","100811","3","0.2","","","1","5214","wac_birthday_idle_wish",""
"5214043","0.01","100811","2","","","","-320","5214","400",""
"5214044","","103011","3","0.2","","","1","5214","wac_birthday_idle_kyapi",""
"5214045","0.01","103011","2","","","","-340","5214","500",""
"5214046","","0","93","","","","","5214","",""
"5214047","","800","32","","","","","5214","1",""
"5214048","","0.7","93","","","","","5214","",""
"5214049","","702","32","","","","","5214","1",""
"5214050","","0.5","93","","","","","5214","",""
"5214051","","se_common","23","","","","0","5214","se_sys_login_birthday_blow_candle",""
"5214052","","701","32","","","","","5214","0",""
"5214053","","0.4","93","","","","","5214","",""
"5214054","","se_common","23","","","","0","5214","se_sys_login_birthday_cracker",""
"5214055","","700","32","","","","","5214","1",""
"5214056","","se_common","23","","","","0","5214","se_sys_login_birthday_calendar_applause",""
"5214057","wac_birthday_idle_doya","105311","3","0.2","1","0.2","0","5214","wac_birthday_clap",""
"5214058","wac_birthday_idle_wish","100811","3","0.2","1","0.2","0","5214","wac_birthday_clap_to_wish",""
"5214059","","0.1","93","","","","","5214","",""
"5214060","wac_birthday_idle_normal","104511","3","0.2","1","0.2","0","5214","wac_birthday_clap",""
"5214061","","0.1","93","","","","","5214","",""
"5214062","wac_birthday_idle_kyapi","103011","3","0.2","1","0.2","0","5214","wac_birthday_clap",""
"5214063","","2","93","","","","","5214","",""
"5214064","","1","131","","","","","5214","",""
"5214065","0","vo_wac_05214","21","","","","0","5214","vo_wac_05214_000",""
"5214066","1","105511","11","0","1","0","10","5214","わぁ、お誕生日ケーキですか？\nおめでとうございます～\nいったい誰の……えっ、わ、私！？\n誕生日、覚えててくれたんですか……？","0.5"
"5214067","","0","91","","","","","5214","",""
"5214068","","105511","3","0.2","","","1","5214","wac_birthday_idle_wish",""
"5214069","","105311","3","0.2","","","1","5214","wac_birthday_talk_smile",""
"5214070","0","vo_wac_05214","21","","","","0","5214","vo_wac_05214_001",""
"5214071","1","105311","11","0","1","0","10","5214","忘れるはずがないだろう！\nアユミは我がギルドの数少ない良心……\nいや、重要な存在なのだからな！\n盛大に祝福させてくれ！　おめでとう！","0.5"
"5214072","","0","91","","","","","5214","",""
"5214073","","105311","3","0.2","","","1","5214","wac_birthday_idle_doya",""
"5214074","","105511","3","0.2","","","1","5214","wac_birthday_talk_wish",""
"5214075","0","vo_wac_05214","21","","","","0","5214","vo_wac_05214_002",""
"5214076","1","105511","11","0","1","0","10","5214","え、えっと……\nこれ、夢じゃないですよね？\nほっぺをつねっても……いひゃい！\nやっぱり夢じゃないれす！","0.5"
"5214077","","0","91","","","","","5214","",""
"5214078","","105511","3","0.2","","","1","5214","wac_birthday_talk_smile",""
"5214079","0","vo_wac_05214","21","","","","0","5214","vo_wac_05214_003",""
"5214080","1","105511","11","0","1","0","10","5214","うぅっ……あっ、ありがとうございます！\n先輩にもお祝いしてもらえて\nとってもうれしいです！\nえへへ、大切にいただきますね……♪","0.5"
"5214081","","0","91","","","","","5214","",""
"5214082","","0","22","","","","","5214","",""
"5514001","","bgm_M321","25","","","","","5514","bgm_M321_2C",""
"5514002","-1000","1","1","2","-70","0","250","5514","101611","wac_birthday_idle_normal"
"5514003","230","1","1","2","-270","1","256","5514","105011","wac_birthday_idle_normal"
"5514004","410","1","1","2","-310","1","257","5514","101811","wac_birthday_idle_smile"
"5514005","","101611","13","","","","","5514","300",""
"5514006","","105011","13","","","","","5514","300",""
"5514007","0","600","31","1","1","","0","5514","600",""
"5514008","0","602","31","0","1","","0","5514","602",""
"5514009","0","603","31","0","1","","0","5514","603",""
"5514010","60","604","31","1","1","","30","5514","604",""
"5514011","0","611","31","1","1","","0","5514","611",""
"5514012","0","700","31","0","1","","0","5514","700",""
"5514013","0","701","31","0","1","","0","5514","701",""
"5514014","0","702","31","0","1","","0","5514","702",""
"5514015","0","800","31","0","1","","0","5514","800",""
"5514016","60","904","31","1","1","","30","5514","904",""
"5514017","","1","93","","","","","5514","",""
"5514018","wac_birthday_reaction_04","101811","3","0.2","1","0.2","0","5514","wac_birthday_reaction_01",""
"5514019","","0.1","93","","","","","5514","",""
"5514020","wac_birthday_reaction_03","105011","3","0.2","1","0.2","0","5514","wac_birthday_reaction_05",""
"5514021","","0.3","93","","","","","5514","",""
"5514022","","101611","3","0.2","","","1","5514","wac_birthday_run_01",""
"5514023","3","101611","2","","","","-70","5514","0",""
"5514024","","2.5","93","","","","","5514","",""
"5514025","","602","32","","","","","5514","1",""
"5514026","","0.6","93","","","","","5514","",""
"5514027","","600","32","","","","","5514","0",""
"5514028","","611","32","","","","","5514","0",""
"5514029","","604","32","","","","","5514","0",""
"5514030","","701","32","","","","","5514","1",""
"5514031","0.01","904","33","","","","0","5514","0",""
"5514032","wac_birthday_wish_03","101611","3","0.2","1","0.2","0","5514","wac_birthday_blowout_02",""
"5514033","0.01","101611","2","","","","-330","5514","-200",""
"5514034","","105011","3","0.2","","","1","5514","wac_birthday_idle_smile",""
"5514035","0.01","105011","2","","","","-320","5514","180",""
"5514036","","101811","3","0.2","","","1","5514","wac_birthday_idle_wish",""
"5514037","0.01","101811","2","","","","-340","5514","320",""
"5514038","","0","93","","","","","5514","",""
"5514039","","800","32","","","","","5514","1",""
"5514040","","0.7","93","","","","","5514","",""
"5514041","","702","32","","","","","5514","1",""
"5514042","","0.5","93","","","","","5514","",""
"5514043","","se_common","23","","","","0","5514","se_sys_login_birthday_blow_candle",""
"5514044","","701","32","","","","","5514","0",""
"5514045","","0.4","93","","","","","5514","",""
"5514046","","se_common","23","","","","0","5514","se_sys_login_birthday_cracker",""
"5514047","","700","32","","","","","5514","1",""
"5514048","","se_common","23","","","","0","5514","se_sys_login_birthday_calendar_applause",""
"5514049","wac_birthday_idle_smile","105011","3","0.2","1","0.2","0","5514","wac_birthday_clap",""
"5514050","","0.1","93","","","","","5514","",""
"5514051","wac_birthday_idle_wish","101811","3","0.2","1","0.2","0","5514","wac_birthday_clap_to_wish",""
"5514052","","2","93","","","","","5514","",""
"5514053","","1","131","","","","","5514","",""
"5514054","0","vo_wac_05514","21","","","","0","5514","vo_wac_05514_000",""
"5514055","1","101611","11","0","1","0","10","5514","わわ、これってうちの誕生日ケーキ？\nこんなのあるなんて聞いてないし～！\nオニ感激なんだけど！？","0.5"
"5514056","","0","91","","","","","5514","",""
"5514057","","101611","3","0.2","","","1","5514","wac_birthday_idle_kyapi",""
"5514058","","105011","3","0.2","","","1","5514","wac_birthday_talk_smile",""
"5514059","0","vo_wac_05514","21","","","","0","5514","vo_wac_05514_001",""
"5514060","1","105011","11","0","1","0","10","5514","フフン、感謝しなさいよね～\nアタシとイオちゃんで徹夜して作っ……いや！\n大して苦労はしなかったけど！\nえっと……誕生日おめでと、スズナ。","0.5"
"5514061","","0","91","","","","","5514","",""
"5514062","","105011","3","0.2","","","1","5514","wac_birthday_idle_smile",""
"5514063","","101611","3","0.2","","","1","5514","wac_birthday_talk_smile",""
"5514064","0","vo_wac_05514","21","","","","0","5514","vo_wac_05514_002",""
"5514065","1","101611","11","0","1","0","10","5514","あはは、うん、ありがとっ！\nそれでミサキっちとちゃんイオ\n朝から甘～い匂いしてたんだね～","0.5"
"5514066","","0","91","","","","","5514","",""
"5514067","","101611","3","0.2","","","1","5514","wac_birthday_talk_kyapi",""
"5514068","0","vo_wac_05514","21","","","","0","5514","vo_wac_05514_003",""
"5514069","1","101611","11","0","1","0","10","5514","やっぱ持つべきものは\n友達だし……♪\nよーし、みんなでパーティーしよー！\nもちヒデサイも一緒だからね！","0.5"
"5514070","","0","91","","","","","5514","",""
"5514071","","0","22","","","","","5514","",""
"6214001","","bgm_M321","25","","","","","6214","bgm_M321_2C",""
"6214002","-1000","1","1","2","-70","0","250","6214","106731","wac_birthday_idle_normal"
"6214003","230","1","1","2","-270","1","256","6214","106611","wac_birthday_idle_doya"
"6214004","410","1","1","2","-310","1","257","6214","106511","wac_birthday_idle_normal"
"6214005","","106731","13","","","","","6214","300",""
"6214006","","106611","13","","","","","6214","300",""
"6214007","0","600","31","1","1","","0","6214","600",""
"6214008","0","602","31","0","1","","0","6214","602",""
"6214009","0","603","31","0","1","","0","6214","603",""
"6214010","60","604","31","1","1","","30","6214","604",""
"6214011","0","611","31","1","1","","0","6214","611",""
"6214012","0","700","31","0","1","","0","6214","700",""
"6214013","0","701","31","0","1","","0","6214","701",""
"6214014","0","702","31","0","1","","0","6214","702",""
"6214015","0","800","31","0","1","","0","6214","800",""
"6214016","60","905","31","1","1","","30","6214","905",""
"6214017","","1","93","","","","","6214","",""
"6214018","wac_birthday_reaction_03","106511","3","0.2","1","0.2","0","6214","wac_birthday_reaction_02",""
"6214019","","0.1","93","","","","","6214","",""
"6214020","wac_birthday_reaction_03","106611","3","0.2","1","0.2","0","6214","wac_birthday_reaction_01",""
"6214021","","0.3","93","","","","","6214","",""
"6214022","","106731","3","0.2","","","1","6214","wac_birthday_run_01",""
"6214023","3","106731","2","","","","-70","6214","0",""
"6214024","","2.5","93","","","","","6214","",""
"6214025","","602","32","","","","","6214","1",""
"6214026","","0.6","93","","","","","6214","",""
"6214027","","600","32","","","","","6214","0",""
