8f809d04e8f5ba2927808d036fd6ed851ce1e0436136b3ef2bf3331acb533eec,f43387758500759fd4cae7984654e135b580fe213c2c4dc20b1b07de348fd4e1,e94a008f0d04ac346649e0313a8769bc299fc2596a0f46a7982d2f314ebc3d8b,3c444e59fd4911f15736bb2d6dba854cd3fd9b1114f55b7178e7cfd97cab48a7,c16ea58075e0bdd25454496dbddcb6ef86b0052fa40e9ef0646d971697e441e8,f4dc91d714f65d8b58081cdaabca7ffd71a12ce12f7c6c9d2ff794686f788884,f20fb1fe216ffa4b5fbedaef1042f110e062ad97c4ad42cc020b2bbb082dc943,5d688bc29a50945ce0efadf4123aab0993c025beed2011a5c50d366383b5d56b,161dbf52ded2119992ede8b8258b1021d6aa527923fd64b8fbf7c9af048041df,8f9bcc317ba7639f286f5f2eecf734eeb680f14af7d49d1aed9203358ea75014,70f2ae0315f8516d70b5535e924d0ac93144dfab8a160db18a93fc6725ff414e,3103cb38a01520ee371f16b9cf9d6be4001e69bf3bb517a51c70f6e11c6a3c2d,e6fc0862123b8c6e558f7578da9daaffffbd7d443f94318ad42b2a0d7793faa9
"21","","","21","アマノジャクハート！","2018-11-19 15:00:00","あまのじゃくはーと","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-05/1436280052?app=itunes","1500","","1054007","A2001336697/","18"
"22","","","22","不穏な空気と立ち向かう闘志","2018-11-19 15:00:00","ふおんなくうきとたちむかうとうし","","1000","","-1","","20"
"23","","","23","ツインピッグス","2018-11-19 15:00:00","ついんぴっぐす","","1000","","-1","","20"
"24","","","24","ヴァンパイアハンターwithイリヤ","2018-11-19 15:00:00","ヴぁんぱいあはんたーうぃずいりや","","1000","","-1","","20"
"25","","","25","ガルグ","2018-11-19 15:00:00","がるぐ","","1000","","-1","","20"
"26","","","26","Peaceful*ちゃんぷるー","2018-11-19 15:00:00","ぴーすふるちゃんぷるー","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","1500","","-1","A2001552686/","20"
"27","","","27","レサトパルト","2018-11-19 15:00:00","れさとぱると","","1000","","-1","","20"
"28","","","28","トワイライトブレイカーズ","2018-11-19 15:00:00","とわいらいとぶれいかーず","","1000","","-1","","20"
"29","","","29","オラム","2018-11-19 15:00:00","おらむ","","1000","","-1","","20"
"30","","","30","サイツヨでしょ、でしょ？","2018-11-19 15:00:00","さいつよでしょでしょ","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","1500","","-1","A2001502066/","20"
"31","","","31","氷海の地","2018-11-19 15:00:00","ひょうかいのち","","1000","","-1","","20"
"32","","","32","氷と雪の世界","2018-12-19 15:00:00","こおりとゆきのせかい","","1000","","-1","","20"
"33","","","33","爽やかな風","2018-12-19 15:00:00","さわやかなかぜ","","1000","","-1","","20"
"34","","","34","カルキノス","2018-12-19 15:00:00","かるきのす","","1000","","-1","","20"
"35","","","35","デンジャラスバカンス！渚のグルメプリンセス","2018-12-19 15:00:00","でんじゃらすばかんすなぎさのぐるめぷりんせす","","1000","","-1","","20"
"36","","","36","テンタパス","2018-12-19 15:00:00","てんたぱす","","1000","","-1","","20"
"37","","","37","えがおのマイホーム","2018-12-19 15:00:00","えがおのまいほーむ","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-02/1361483195?app=itunes","1500","","-1","A2001197334/","20"
"38","","","38","サジタリウス","2018-12-19 15:00:00","さじたりうす","","1000","","-1","","20"
"39","","","39","忘却のキャロル","2018-12-19 15:00:00","ぼうきゃくのきゃろる","","1000","","-1","","20"
"40","","","40","フォギー","2018-12-19 15:00:00","ふぉぎー","","1000","","-1","","20"
"41","","","41","Ding Dong Holy Night♪","2018-12-19 15:00:00","でぃんどんほーりーないと","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-07/1450772144?app=itunes","1500","","-1","A2001411119/","20"
"42","","","42","険しき乾荒原","2019-01-18 15:00:00","けわしきかんこうげん","","1000","","-1","","20"
"43","","","43","オルレオン","2019-01-18 15:00:00","おるれおん","","1000","","-1","","20"
"44","","","44","タマキとミフユの無人島0ルピ生活","2019-01-18 15:00:00","たまきとみふゆのむじんとうぜろるぴせいかつ","","1000","","-1","","20"
"45","","","45","島クジラ","2019-01-18 15:00:00","しまくじら","","1000","","-1","","20"
"46","","","46","キンキラ☆ハピネス！","2019-01-18 15:00:00","きんきらはぴねす","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","1500","","-1","A2001372582/","18"
"47","","","47","新たな船出","2019-01-18 15:00:00","あらたなふなで","","1000","","-1","","20"
"48","","","48","アルゲティ","2019-01-18 15:00:00","あるげてぃ","","1000","","-1","","20"
"49","","","49","新春トゥインクルクライシス！","2019-01-18 15:00:00","しんしゅんとぅいんくるくらいしす","","1000","","-1","","20"
"50","","","50","邪餅神ガミィ","2019-01-18 15:00:00","じゃへいしんがみぃ","","1000","","-1","","20"
"51","","","51","TwinkleStars","2019-01-18 15:00:00","とぅいんくるすたーず","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes","1500","","-1","A2001612987/","20"
"52","","","52","酷熱の砂漠","2019-02-15 15:00:00","こくねつのさばく","","1000","","-1","","20"
"53","","","53","メデューサ","2019-02-15 15:00:00","めでゅーさ","","1000","","-1","","20"
"54","","","54","黒鉄の亡霊（ナイトメア）","2019-02-15 15:00:00","くろがねのないとめあ","","1000","","-1","","20"
"55","","","55","リビングメイル","2019-02-15 15:00:00","りびんぐめいる","","1000","","-1","","20"
"56","","","56","Aloofness Code","2019-02-15 15:00:00","あるーふねすこーど","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-06/1444266694?app=itunes","1500","","-1","A2001372582/","20"
"57","","","57","Absolute Secret","2019-02-15 15:00:00","あぶそりゅーとしーくれっと","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-lost-princess-%E3%82%88%E3%81%86%E3%81%93%E3%81%9D%E7%BE%8E%E9%A3%9F%E6%AE%BF%E3%81%B8/1458052782?app=itunes","1500","","2008015","A2001452543/","20"
"58","","","58","アクアリオス","2019-02-15 15:00:00","あくありおす","","1000","","-1","","20"
"59","","","59","バトルオブバレンタイン！想いぶつかるスウィートバトル","2019-02-15 15:00:00","ばとるおぶばれんたいんおもいぶつかるすうぃーとばとる","","1000","","-1","","20"
"60","","","60","アグリーラブリー","2019-02-15 15:00:00","あぐりーらぶりー","","1000","","-1","","20"
"61","","","61","SUPER CHOCOLATE","2019-02-15 15:00:00","すーぱーちょこれーと","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-08/1465192235?app=itunes","1500","","-1","A2001502066/","20"
"62","","","62","砂海の中のオアシス","2019-03-19 15:00:00","さかいのなかのおあしす","","1000","","-1","","20"
"63","","","63","不思議な森","2019-03-19 15:00:00","ふしぎなもり","","1000","","-1","","20"
"64","","","64","トルペドン","2019-03-19 15:00:00","とるぺどん","","1000","","-1","","20"
"65","","","65","王都の名探偵　嘆きの追跡者（ストーカー）","2019-03-19 15:00:00","おうとのめいたんていなげきのすとーかー","","1000","","-1","","20"
"66","","","66","嘆きの女神","2019-03-19 15:00:00","なげきのめがみ","","1000","","-1","","20"
"67","","","67","未解決な想い","2019-03-19 15:00:00","みかいけつなおもい","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-09/1474199447?app=itunes","1500","","-1","A2001552686/","20"
"68","","","68","ロボリマ来襲！王都滅亡までのカウントダウン","2019-04-19 15:00:00","ろぼりまらいしゅうおうとめつぼうまでのかうんとだうん","","1000","","-1","","20"
"69","","","69","ロボリマ","2019-04-19 15:00:00","ろぼりま","","1000","","-1","","20"
"70","","","70","ロボリマ~終焉~","2019-04-19 15:00:00","ろぼりましゅうえん","","1000","","-1","","20"
"71","","","71","アストルムに咲く双輪の華","2019-04-19 15:00:00","あすとるむにさくそうりんのはな","","1000","","-1","","20"
"72","","","72","コア・ギガース","2019-04-19 15:00:00","こあぎがーす","","1000","","-1","","20"
"73","","","73","Crossing Destiny","2019-04-19 15:00:00","くろっしんぐでぃすてぃにー","","1500","","-1","","20"
"74","","","74","岩峰に潜むもの","2019-05-17 15:00:00","がんほうにひそむもの","","1000","","-1","","20"
"75","","","75","ショーグン道中記　白翼のサムライ","2019-05-17 15:00:00","しょーぐんどうちゅうきはくよくのさむらい","","1000","","-1","","20"
"76","","","76","アクダイカン","2019-05-17 15:00:00","あくだいかん","","1000","","-1","","20"
"77","","","77","白翼のグローリエ","2019-05-17 15:00:00","はくよくのぐろーりえ","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-10/1483895284?app=itunes","1500","","-1","A2001612987/","20"
"78","","","78","火山の麓","2019-06-18 15:00:00","かざんのふもと","","1000","","-1","","20"
"79","","","79","厳烈なる荒地","2019-06-18 15:00:00","げんれつなるあれち","","1000","","-1","","20"
"80","","","80","怠惰の狂人","2019-06-18 15:00:00","たいだのきょうじん","","1000","","-1","","20"
"81","","","81","鼓の音響く森","2019-07-18 15:00:00","つづみのおとひびくもり","","1000","","-1","","20"
"82","","","82","スズナレインボーステージ！","2019-07-18 15:00:00","すずなれいんぼーすてーじ","","1000","","-1","","20"
"83","","","83","雨神様","2019-07-18 15:00:00","あまがみさま","","1000","","-1","","20"
"84","","","84","背伸びFirst Kiss","2019-07-18 15:00:00","せのびふぁーすときす","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes","1500","","-1","A2001629618/","20"
"85","","","85","お兄ちゃん争奪！　シズルのお手伝い","2019-08-15 15:00:00","おにいちゃんそうだつしずるのおてつだい","","1000","","-1","","20"
"86","","","86","お兄ちゃん争奪！　エリコのお手伝い","2019-08-15 15:00:00","おにいちゃんそうだつえりこのおてつだい","","1000","","-1","","20"
"87","","","87","真夏のマホマホ王国 波打ち際のソウルサマー！","2019-08-15 15:00:00","まなつのまほまほおうこくなみうちぎわのそうるさまー","","1000","","-1","","20"
"88","","","88","マジムン","2019-08-15 15:00:00","まじむん","","1000","","-1","","20"
"89","","","89","We Are Golden","2019-08-15 15:00:00","うぃーあーごーるでん","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-11/1488880119?app=itunes","1500","","-1","A2001629618/","20"
"90","","","90","クウカ大回転","2019-09-16 15:00:00","くうかだいかいてん","","1000","","-1","","20"
"91","","","91","森の臆病者と聖なる学舎の異端児","2019-09-16 15:00:00","もりのぼっちとせいなるがくしゃのりせえんぬ","","1000","","-1","","20"
"92","","","92","オオドクマンドラゴラ","2019-09-16 15:00:00","おおどくまんどらごら","","1000","","-1","","20"
"93","","","93","なかよしセンセーション","2019-09-16 15:00:00","なかよしせんせーしょん","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes","1500","","-1","A2001640446/","20"
"94","","","94","不穏の根を踏み越えて","2019-10-16 15:00:00","ふおんのねをふみこえて","","1000","","-1","","20"
"95","","","95","カオリのマブイ式空手道場","2019-10-16 15:00:00","かおりのまぶいしきからてどうじょう","","1000","","-1","","20"
"96","","","96","リトル・ブレイブ・ハロウィンナイト！","2019-10-16 15:00:00","りとるぶれいぶはろうぃんないと","","1000","","-1","","20"
"97","","","97","ファントムバロン","2019-10-16 15:00:00","ふぁんとむばろん","","1000","","-1","","20"
"98","","","98","トリックホリック","2019-10-16 15:00:00","とりっくほりっく","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-12/1491288056?app=itunes","1500","","-1","A2001640446/","20"
"99","","","94","泥濘む森の先へ","2019-11-15 15:00:00","ぬかるむもりのさきへ","","1000","","-1","","20"
"100","","","95","大激戦！しりとりドラゴンズ","2019-11-15 15:00:00","だいげきせんしりとりどらごんず","","1000","","-1","","20"
"101","","","96","ドラゴンエクスプローラーズ","2019-11-15 15:00:00","どらごんえくすぷろーらーず","","1000","","-1","","20"
"102","","","97","ドラゴンもどき","2019-11-15 15:00:00","どらごんもどき","","1000","","-1","","20"
"103","","","98","in flames","2019-11-15 15:00:00","いんふれいむず","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-14/1509394849?app=itunes","1500","","-1","A2001716909/","20"
"104","","","104","新たなる力への試練","2019-12-20 15:00:00","あらたなるちからへのちょうせん","","1000","","-1","","20"
"105","","","105","プレゼントパニック！　ランドソルのサンタたち","2019-12-20 15:00:00","ぷれぜんとぱにっくらんどそるのさんたたち","","1000","","-1","","20"
"106","","","106","トナカイ・ヴェンデッタ","2019-12-20 15:00:00","となかいヴぇんでった","","1000","","-1","","20"
"107","","","107","Call Me Darling！","2019-12-20 15:00:00","こーるみーだーりん","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-14/1509394849?app=itunes","1500","","-1","A2001716909/","20"
"108","","","108","王都終末決戦","2020-01-16 15:00:00","おうとしゅうまつけっせん","","1000","","2015007","","20"
"109","","","109","皇帝に仕えし僕との戦い","2020-01-16 15:00:00","こうていにつかえししもべとのたたかい","","1000","","2015007","","20"
"110","","","110","神たる者との決戦","2020-01-16 15:00:00","かみたるものとのけっせん","","1000","","2015007","","20"
"111","","","111","激走！　ランドソルギルドレース","2020-01-16 15:00:00","げきそうらんどそるぎるどれーす","","1000","","-1","","20"
"112","","","112","山神様","2020-01-16 15:00:00","やまがみさま","","1000","","-1","","20"
"113","","","113","SAI＊KOUスタートダッシュ","2020-01-16 15:00:00","さいこうすたーとだっしゅ","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-15/1515061876?app=itunes","1500","","-1","A2001734667/","20"
"114","","","114","大海を望んで","2020-01-16 15:00:00","たいかいをのぞんで","","1000","","-1","","20"
"115","","","115","魔法少女　二人はミスティ＆ピュアリー","2020-02-15 15:00:00","まほうしょうじょふたりはみすてぃあんどぴゅありー","","1000","","-1","","20"
"116","","","116","アンチビースト","2020-02-15 15:00:00","あんちびーすと","","1000","","-1","","20"
"117","","","117","木もれびモンタージュ","2020-02-15 15:00:00","こもれびもんたーじゅ","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-15/1515061876?app=itunes","1500","","-1","A2001734667/","20"
"118","","","118","アイドルを目指して！","2020-03-13 15:00:00","あいどるをめざして","","1000","","-1","","20"
"119","","","119","思い出の足跡","2020-03-13 15:00:00","おもいでのあしあと","","1000","","-1","","20"
"120","","","120","プリンセスナイト","2020-03-13 15:00:00","ぷりんせすないと","","1000","","-1","","20"
"121","","","121","授けの財団と聖なる学舎の異端児","2020-04-15 15:00:00","さずけのえんじぇるとせいなるがくしゃのりせえんぬ","","1000","","-1","","20"
"122","","","122","なかよしＸ","2020-04-15 15:00:00","なかよしえっくす","","1000","","-1","","20"
"123","","","123","青春スピナー","2020-04-15 15:00:00","せいしゅんすぴなー","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-16/1518961426?app=itunes","1500","","-1","A2001772609/","20"
"124","","","124","密林の影に待つは","2020-04-15 15:00:00","みつりんのかげにまつは","","1000","","-1","","20"
"125","","","125","Mirage Game","2020-04-15 15:00:00","みらーじゅげーむ","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-13-ep/1503292819?app=itunes","1500","","2101001","A2001693583/","20"
"126","","","126","Yes！ Precious Harmony！","2020-04-15 15:00:00","いえすぷれしゃすはーもにー","%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-13-ep/1503292819?app=itunes","1500","","2101014","A2001693583/","20"
"127","","","127","チュウチュウパニック！　チーズお守り大作戦！","2020-05-15 15:00:00","ちゅうちゅうぱにっくちーずおまもりだいさくせん","","1000","","-1","","20"
"128","","","128","まきばの四農士　貧乏牧場奮闘記！","2020-05-15 15:00:00","まきばのよんのうしびんぼうぼくじょうふんとうき","","1000","","-1","","20"
"129","","","129","忍びの頭領ハンゾウ","2020-05-15 15:00:00","しのびのとうりょうはんぞう","","1000","","-1","","20"
"130","","","130","Heartful Place","2020-05-15 15:00:00","はーとふるぷれいす","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-16/1518961426?app=itunes","1500","","-1","A2001772609/","20"
"131","","","131","不思議の国のリノ　小さなアリスと希望の絵本","2020-06-17 15:00:00","ふしぎのくにのにのちいさなありすときぼうのえほん","","1000","","-1","","20"
"132","","","132","黒の王ジャバウォック","2020-06-17 15:00:00","くろのおうじゃばうぉっく","","1000","","-1","","20"
"133","","","133","フェアリーテイルは夢の中","2020-06-17 15:00:00","ふぇありーているはゆめのなか","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-17-ep/1528301186?app=itunes","1500","","-1","A2001823541/","20"
"134","","","134","幽幽たる森","2020-06-17 15:00:00","ゆうゆうたるもり","","1000","","-1","","20"
"135","","","135","七夕剣客旅情譚　天に流れる夏の恋","2020-07-15 15:00:00","たなばたけんきゃくりょじょうたんてんにながれるなつのこい","","1000","","-1","","20"
"136","","","136","覚醒・浮気星","2020-07-15 15:00:00","かくせいうわきぼし","","1000","","-1","","20"
"137","","","137","黄昏太平旅路唄","2020-07-15 15:00:00","たそがれたいへいたびじうた","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-17-ep/1528301186?app=itunes","1500","","-1","A2001823541/","20"
"138","","","138","ミサトサマーエール！　夢追う真夏のナイン","2020-08-15 15:00:00","みさとさまーえーるゆめおうまなつのないん","","1000","","-1","","20"
"139","","","139","渚の暴君・鮫吉","2020-08-15 15:00:00","なぎさのぼうくんさめきち","","1000","","-1","","20"
"140","","","140","猛訓打撃道！　ミサトのホームランドリル","2020-08-15 15:00:00","もうくんだげきどうみさとのほーむらんどりる","","1000","","-1","","20"
"141","","","141","目指せホームラン！","2020-08-15 15:00:00","めざせほーむらん","","1000","","-1","","20"
"142","","","142","ひと夏の思い出","2020-08-15 15:00:00","ひとなつのおもいで","","1000","","-1","","20"
"143","","","143","あの夏のメモリー","2020-08-15 15:00:00","あのなつのめもりー","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-18-ep/1536515990?app=itunes","1500","","-1","A2001871533/","20"
"144","","","144","清らかなる川音","2020-08-15 15:00:00","きよらかなるかわおと","","1000","","-1","","20"
"145","","","145","ハッピー・チェンジ・エンジェルズ","2020-09-19 15:00:00","はっぴーちぇんじえんじぇるず","","1000","","-1","","20"
"146","","","146","暴走のイノセントボウ","2020-09-19 15:00:00","ぼうそうのいのせんとぼう","","1000","","-1","","20"
"147","","","147","ねぇねぇPlease！","2020-09-19 15:00:00","ねぇねぇぷりーず","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-18-ep/1536515990?app=itunes","1500","","-1","A2001871533/","20"
"148","","","148","響け！絶叫！ハロウィンゴーストフェスティバル","2020-10-15 15:00:00","ひびけぜっきょうはろうぃんごーすとふぇすてぃばる","","1000","","-1","","20"
"149","","","149","叫怖のゴーストファーザー","2020-10-15 15:00:00","きょうふのごーすとふぁーざー","","1000","","-1","","20"
"150","","","150","Paradox","2020-10-15 15:00:00","ぱらどっくす","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-19/1545283347?app=itunes","1500","","-1","A2001927869/","20"
"151","","","151","魔法提督ラブリー★モニカ　レッツゴー！マジカルカルテット！","2020-11-21 15:00:00","まほうていとくらぶりーもにかれっつごーまじかるかるてっと","","1000","","-1","","20"
"152","","","152","アンチビースト de M","2020-11-21 15:00:00","あんちびーすとどえむ","","1000","","-1","","20"
"153","","","153","輝け！ラブリー★ドリーミー","2020-11-21 15:00:00","かがやけらぶりーどりーみー","https://music.apple.com/jp/album/%E3%83%97%E3%83%AA%E3%83%B3%E3%82%BB%E3%82%B9%E3%82%B3%E3%83%8D%E3%82%AF%E3%83%88-re-dive-priconne-character-song-19/1545283347?app=itunes","1500","","-1","A2001927869/","20"
