907fad2ee87327e1f7b3b6946cfde839d3b33398f7c3ec9c9ca2a02d73315a57,b4a7de63af766431bce4a2d3ae8e684fe20c00d799a6a9cefc9840cb10f8479e,866f3ab18c31960fac3098bd4bcbc53ea6ddb955931f95cf9f7771dde83c298e,3f28a1e7294ea408ec5d382e579969636499f96a11996a2295b3f7e6bf68e572,095d817c4734483a05a4558c406da000333d669e3c9d86cbc7aa60f9c2da8d29,0e1994da694e78c30f092af857ca7ff4b8002329dc442c920fb4d740b62bda19,8d103d909c525e402eb185d54d99bfb2a0354f961d878280c00565d13210e988,44ef8a92a4caa5f424170ab93a465eb75d9e114db712bc2c2d860942a11b510a,283340f9a4f7cea23fa8f0e7f9b762b375a6fc2ff15fff69cde1e53794884507,6e77b7b0065464bc73f1df3db3abaad602de53da4818bd9d53719de72444c085,15dc1b739e7a6b5a36000f0f2bb36e5b10b0272b77050b6b41bde064fa6377bb,a058c07aa678a4e6c67062f2bfd667265af3476bfe45a7303dfc3b8a56f61f88
"100700201","1007002","0","4","0","1","0","0","1","0","0","0.8"
"100700202","1007002","0","2","0","2","vo_svd","0","0","vo_svd_0201","0","0"
"100700203","1007002","152","1","1","3","0","0.865","0","0","0","0"
"100700204","1007002","0","4","0","4","0","0","1","0","0","1.516"
"100700205","1007002","314","1","1","5","0","1.013","0","0","152","0"
"100700206","1007002","0","4","0","6","0","0","1","0","0","0.973"
"100700207","1007002","158","1","2","7","0","0.755","0","0","0","0"
"100700208","1007002","0","4","0","8","0","0","1","0","0","2.018"
"100700209","1007002","0","2","0","9","vo_svd","0","0","vo_svd_0202","0","0"
"100700210","1007002","132","1","3","10","0","0.541","0","0","0","0"
"100700211","1007002","0","4","0","11","0","0","1","0","0","0.517"
"100700212","1007002","299","1","3","12","0","0.992","0","0","132","0"
"100700213","1007002","0","4","0","13","0","0","1","0","0","0.792"
"100700214","1007002","132","1","4","14","0","0.751","0","0","0","0"
"100700215","1007002","0","4","0","15","0","0","1","0","0","1.887"
"100700216","1007002","0","2","0","16","vo_svd","0","0","vo_svd_0203","0","0"
"100700217","1007002","441","1","4","17","0","1.482","0","0","132","0"
"100700218","1007002","0","4","0","18","0","0","1","0","0","0.858"
"100700219","1007002","255","1","5","19","0","1.255","0","0","0","0"
"100700220","1007002","0","4","0","20","0","0","1","0","0","2.752"
"100700221","1007002","0","2","0","21","vo_svd","0","0","vo_svd_0204","0","0"
"100700222","1007002","336","1","6","22","0","1.827","0","0","0","0"
"100700223","1007002","0","4","0","23","0","0","1","0","0","1.654"
"100700224","1007002","364","1","7","24","0","1.773","0","0","0","0"
"100700225","1007002","0","4","0","25","0","0","1","0","0","2.5"
"100700301","1007003","0","4","0","1","0","0","1","0","0","0.8"
"100700302","1007003","0","2","0","2","vo_svd","0","0","vo_svd_0301","0","0"
"100700303","1007003","185","1","1","3","0","1.205","0","0","0","0"
"100700304","1007003","0","4","0","4","0","0","1","0","0","1.739"
"100700305","1007003","355","1","1","5","0","1.278","0","0","185","0"
"100700306","1007003","0","4","0","6","0","0","1","0","0","0.687"
"100700307","1007003","132","1","2","7","0","0.735","0","0","0","0"
"100700308","1007003","0","4","0","8","0","0","1","0","0","2.357"
"100700309","1007003","0","2","0","9","vo_svd","0","0","vo_svd_0302","0","0"
"100700310","1007003","364","1","2","10","0","1.542","0","0","132","0"
"100700311","1007003","0","4","0","11","0","0","1","0","0","1.9"
"100700312","1007003","336","1","3","12","0","1.82","0","0","0","0"
"100700313","1007003","0","4","0","13","0","0","1","0","0","1.754"
"100700314","1007003","255","1","4","14","0","1.133","0","0","0","0"
"100700315","1007003","0","4","0","15","0","0","1","0","0","2.697"
"100700316","1007003","0","2","0","16","vo_svd","0","0","vo_svd_0303","0","0"
"100700317","1007003","336","1","5","17","0","1.827","0","0","0","0"
"100700318","1007003","0","4","0","18","0","0","1","0","0","2.182"
"100700319","1007003","275","1","6","19","0","1.186","0","0","0","0"
"100700320","1007003","0","4","0","20","0","0","1","0","0","2.842"
"100700321","1007003","0","2","0","21","vo_svd","0","0","vo_svd_0304","0","0"
"100700322","1007003","336","1","7","22","0","2.067","0","0","0","0"
"100700323","1007003","0","4","0","23","0","0","1","0","0","1.844"
"100700324","1007003","364","1","8","24","0","2.068","0","0","0","0"
"100700325","1007003","0","4","0","25","0","0","1","0","0","2.5"
"100700401","1007004","0","4","0","1","0","0","1","0","0","0.8"
"100700402","1007004","0","2","0","2","vo_svd","0","0","vo_svd_0401","0","0"
"100700403","1007004","201","1","1","3","0","1.105","0","0","0","0"
"100700404","1007004","0","4","0","4","0","0","1","0","0","1.504"
"100700405","1007004","313","1","1","5","0","0.62","0","0","201","0"
"100700406","1007004","0","4","0","6","0","0","1","0","0","0.554"
"100700407","1007004","165","1","2","7","0","0.728","0","0","0","0"
"100700408","1007004","0","4","0","8","0","0","1","0","0","2.154"
"100700409","1007004","0","2","0","9","vo_svd","0","0","vo_svd_0402","0","0"
"100700410","1007004","334","1","2","10","0","1.051","0","0","165","0"
"100700411","1007004","0","4","0","11","0","0","1","0","0","0.915"
"100700412","1007004","161","1","3","12","0","0.927","0","0","0","0"
"100700413","1007004","0","4","0","13","0","0","1","0","0","1.701"
"100700414","1007004","311","1","3","14","0","0.905","0","0","161","0"
"100700415","1007004","0","4","0","15","0","0","1","0","0","0.816"
"100700416","1007004","329","1","4","16","0","1.249","0","0","0","0"
"100700417","1007004","0","4","0","17","0","0","1","0","0","1.252"
"100700418","1007004","268","1","5","18","0","0.987","0","0","0","0"
"100700419","1007004","0","4","0","19","0","0","1","0","0","2.864"
"100700420","1007004","0","2","0","20","vo_svd","0","0","vo_svd_0403","0","0"
"100700421","1007004","336","1","6","21","0","2.056","0","0","0","0"
"100700422","1007004","0","4","0","22","0","0","1","0","0","1.844"
"100700423","1007004","364","1","7","23","0","1.963","0","0","0","0"
"100700424","1007004","0","4","0","24","0","0","1","0","0","2.5"
"100700501","1007005","0","4","0","1","0","0","1","0","0","0.8"
"100700502","1007005","0","2","0","2","vo_svd","0","0","vo_svd_0501","0","0"
"100700503","1007005","329","1","1","3","0","1.741","0","0","0","0"
"100700504","1007005","0","4","0","4","0","0","1","0","0","2.972"
"100700505","1007005","0","2","0","5","vo_svd","0","0","vo_svd_0502","0","0"
"100700506","1007005","320","1","2","6","0","1.539","0","0","0","0"
"100700507","1007005","0","4","0","7","0","0","1","0","0","1.258"
"100700508","1007005","175","1","3","8","0","0.762","0","0","0","0"
"100700509","1007005","0","4","0","9","0","0","1","0","0","2.583"
"100700510","1007005","0","2","0","10","vo_svd","0","0","vo_svd_0503","0","0"
"100700511","1007005","336","1","4","11","0","2.131","0","0","0","0"
"100700512","1007005","0","4","0","12","0","0","1","0","0","2.924"
"100700513","1007005","329","1","5","13","0","1.868","0","0","0","0"
"100700514","1007005","0","4","0","14","0","0","1","0","0","3.266"
"100700515","1007005","0","2","0","15","vo_svd","0","0","vo_svd_0504","0","0"
"100700516","1007005","275","1","6","16","0","1.269","0","0","0","0"
"100700517","1007005","0","4","0","17","0","0","1","0","0","2.653"
"100700518","1007005","0","2","0","18","vo_svd","0","0","vo_svd_0505","0","0"
"100700519","1007005","336","1","7","19","0","2.056","0","0","0","0"
"100700520","1007005","0","4","0","20","0","0","1","0","0","1.844"
"100700521","1007005","364","1","8","21","0","1.965","0","0","0","0"
"100700522","1007005","0","4","0","22","0","0","1","0","0","2.5"
"100700601","1007006","0","4","0","1","0","0","1","0","0","0.8"
"100700602","1007006","0","2","0","2","vo_svd","0","0","vo_svd_0601","0","0"
"100700603","1007006","336","1","1","3","0","1.875","0","0","0","0"
"100700604","1007006","0","4","0","4","0","0","1","0","0","3.353"
"100700605","1007006","0","2","0","5","vo_svd","0","0","vo_svd_0602","0","0"
"100700606","1007006","336","1","2","6","0","1.734","0","0","0","0"
"100700607","1007006","0","4","0","7","0","0","1","0","0","1.665"
"100700608","1007006","219","1","3","8","0","1.035","0","0","0","0"
"100700609","1007006","0","4","0","9","0","0","1","0","0","1.893"
"100700610","1007006","354","1","3","10","0","0.821","0","0","248","0"
"100700611","1007006","0","4","0","11","0","0","1","0","0","0.664"
"100700612","1007006","275","1","4","12","0","1.361","0","0","0","0"
"100700613","1007006","0","4","0","13","0","0","1","0","0","1.108"
"100700614","1007006","259","1","5","14","0","1.269","0","0","0","0"
"100700615","1007006","0","4","0","15","0","0","1","0","0","3.112"
"100700616","1007006","0","2","0","16","vo_svd","0","0","vo_svd_0603","0","0"
"100700617","1007006","336","1","6","17","0","2.056","0","0","0","0"
"100700618","1007006","0","4","0","18","0","0","1","0","0","1.844"
"100700619","1007006","364","1","7","19","0","1.965","0","0","0","0"
"100700620","1007006","0","4","0","20","0","0","1","0","0","2.5"
"100700701","1007007","0","4","0","1","0","0","1","0","0","0.8"
"100700702","1007007","0","2","0","2","vo_svd","0","0","vo_svd_0701","0","0"
"100700703","1007007","132","1","1","3","0","0.926","0","0","0","0"
"100700704","1007007","0","4","0","4","0","0","1","0","0","1.549"
"100700705","1007007","345","1","1","5","0","1.457","0","0","132","0"
"100700706","1007007","0","4","0","6","0","0","1","0","0","1.228"
"100700707","1007007","168","1","2","7","0","0.762","0","0","0","0"
"100700708","1007007","0","4","0","8","0","0","1","0","0","2.221"
"100700709","1007007","0","2","0","9","vo_svd","0","0","vo_svd_0702","0","0"
"100700710","1007007","347","1","2","10","0","0.969","0","0","168","0"
"100700711","1007007","0","4","0","11","0","0","1","0","0","0.747"
"100700712","1007007","336","1","3","12","0","2.085","0","0","0","0"
"100700713","1007007","0","4","0","13","0","0","1","0","0","2.932"
"100700714","1007007","275","1","4","14","0","1.436","0","0","0","0"
"100700715","1007007","0","4","0","15","0","0","1","0","0","2.164"
"100700716","1007007","356","1","5","16","0","1.928","0","0","0","0"
"100700717","1007007","0","4","0","17","0","0","1","0","0","1.673"
"100700718","1007007","259","1","6","18","0","1.269","0","0","0","0"
"100700719","1007007","0","4","0","19","0","0","1","0","0","3.156"
"100700720","1007007","0","2","0","20","vo_svd","0","0","vo_svd_0703","0","0"
"100700721","1007007","336","1","7","21","0","2.077","0","0","0","0"
"100700722","1007007","0","4","0","22","0","0","1","0","0","1.841"
"100700723","1007007","364","1","8","23","0","1.965","0","0","0","0"
"100700724","1007007","0","4","0","24","0","0","0","0","0","2.5"
"100700801","1007008","0","4","0","1","0","0","1","0","0","0.8"
"100700802","1007008","0","2","0","2","vo_svd","0","0","vo_svd_0801","0","0"
"100700803","1007008","356","1","1","3","0","2.027","0","0","0","0"
"100700804","1007008","0","4","0","4","0","0","1","0","0","3.309"
"100700805","1007008","0","2","0","5","vo_svd","0","0","vo_svd_0802","0","0"
"100700806","1007008","336","1","2","6","0","1.879","0","0","0","0"
"100700807","1007008","0","4","0","7","0","0","1","0","0","3.041"
"100700808","1007008","0","2","0","8","vo_svd","0","0","vo_svd_0803","0","0"
"100700809","1007008","336","1","3","9","0","1.848","0","0","0","0"
"100700810","1007008","0","4","0","10","0","0","1","0","0","1.437"
"100700811","1007008","168","1","4","11","0","0.796","0","0","0","0"
"100700812","1007008","0","4","0","12","","0","1","","0","2.532"
"100700813","1007008","0","2","0","13","vo_svd","0","0","vo_svd_0804","0","0"
"100700814","1007008","101","1","5","14","0","1.002","0","0","0","0"
"100700815","1007008","0","4","0","15","0","0","1","0","0","2.164"
"100700816","1007008","299","1","5","16","0","1.574","0","0","101","0"
"100700817","1007008","0","4","0","17","0","0","1","0","0","2.164"
"100700818","1007008","259","1","6","18","0","1.269","0","0","0","0"
"100700819","1007008","0","4","0","19","0","0","1","0","0","2.5"
"100700901","1007009","0","4","0","1","0","0","1","0","0","0.8"
"100700902","1007009","0","2","0","2","vo_svd","0","0","vo_svd_0901","0","0"
"100700903","1007009","356","1","1","3","0","2.285","0","0","0","0"
"100700904","1007009","0","4","0","4","0","0","1","0","0","2.031"
"100700905","1007009","215","1","2","5","0","1.362","0","0","0","0"
"100700906","1007009","0","4","0","6","0","0","1","0","0","2.479"
"100700907","1007009","0","2","0","7","vo_svd","0","0","vo_svd_0902","0","0"
"100700908","1007009","356","1","3","8","0","2.004","0","0","0","0"
"100700909","1007009","0","4","0","9","0","0","1","0","0","1.804"
"100700910","1007009","266","1","4","10","0","2.026","0","0","0","0"
"100700911","1007009","0","4","0","11","0","0","1","0","0","2.473"
"100700912","1007009","338","1","4","12","0","0.518","0","0","266","0"
"100700913","1007009","0","4","0","13","0","0","1","0","0","0.556"
"100700914","1007009","336","1","5","14","0","2.021","0","0","0","0"
"100700915","1007009","0","4","0","15","0","0","1","0","0","1.713"
"100700916","1007009","250","1","6","16","0","1.513","0","0","0","0"
"100700917","1007009","0","4","0","17","0","0","1","0","0","1.981"
"100700918","1007009","0","2","0","18","vo_svd","0","0","vo_svd_0903","0","0"
"100700919","1007009","279","1","7","19","0","1.672","0","0","0","0"
"100700920","1007009","0","4","0","20","0","0","1","0","0","1.924"
"100700921","1007009","338","1","7","21","0","0.796","0","0","279","0"
"100700922","1007009","0","4","0","22","","0","1","","0","1.832"
"100700923","1007009","0","2","0","23","vo_svd","0","0","vo_svd_0904","0","0"
"100700924","1007009","96","1","8","24","0","0.703","0","0","0","0"
"100700925","1007009","0","4","0","25","0","0","1","0","0","1.523"
"100700926","1007009","0","2","0","26","vo_svd","0","0","vo_svd_0905","0","0"
"100700927","1007009","218","1","8","27","0","1.198","0","0","96","0"
"100700928","1007009","0","4","0","28","0","0","1","0","0","1.764"
"100700929","1007009","0","2","0","29","vo_svd","0","0","vo_svd_0906","0","0"
"100700930","1007009","336","1","9","30","0","2.335","0","0","0","0"
"100700931","1007009","0","4","0","31","0","0","1","0","0","3.423"
"100700932","1007009","0","2","0","32","vo_svd","0","0","vo_svd_0907","0","0"
"100700933","1007009","69","1","10","33","0","0.682","0","0","0","0"
"100700934","1007009","0","4","0","34","0","0","1","0","0","1.357"
"100700935","1007009","336","1","10","35","0","2.106","0","0","69","0"
"100700936","1007009","0","4","0","36","0","0","1","0","0","1.43"
"100700937","1007009","336","1","11","37","0","2.283","0","0","0","0"
"100700938","1007009","0","4","0","38","0","0","1","0","0","2.989"
"100700939","1007009","0","2","0","39","vo_svd","0","0","vo_svd_0908","0","0"
"100700940","1007009","322","1","12","40","0","1.978","0","0","0","0"
"100700941","1007009","0","4","0","41","0","0","1","0","0","1"
"100701001","1007010","0","4","0","1","0","0","1","0","0","0.8"
"100701002","1007010","0","2","0","2","vo_svd","0","0","vo_svd_1001","0","0"
"100701003","1007010","356","1","1","3","0","2.705","0","0","0","0"
"100701004","1007010","0","4","0","4","0","0","1","0","0","3.154"
"100701005","1007010","96","1","2","5","0","0.918","0","0","0","0"
"100701006","1007010","0","4","0","6","0","0","1","0","0","1.231"
"100701007","1007010","356","1","2","7","0","1.672","0","0","96","0"
"100701008","1007010","0","4","0","8","0","0","1","0","0","3.307"
"100701009","1007010","0","2","0","9","vo_svd","0","0","vo_svd_1002","0","0"
"100701010","1007010","131","1","3","10","0","0.835","0","0","0","0"
"100701011","1007010","0","4","0","11","0","0","1","0","0","1.164"
"100701012","1007010","336","1","3","12","0","1.623","0","0","131","0"
"100701013","1007010","0","4","0","13","0","0","1","0","0","1.712"
"100701014","1007010","356","1","4","14","0","2.294","0","0","0","0"
"100701015","1007010","0","4","0","15","0","0","1","0","0","2.186"
"100701016","1007010","322","1","5","16","0","2.184","0","0","0","0"
"100701017","1007010","0","4","0","17","0","0","1","0","0","3.034"
"100701018","1007010","0","2","0","18","vo_svd","0","0","vo_svd_1003","0","0"
"100701019","1007010","356","1","6","19","0","2.704","0","0","0","0"
"100701020","1007010","0","4","0","20","0","0","1","0","0","2.522"
"100701021","1007010","162","1","7","21","0","1.005","0","0","0","0"
"100701022","1007010","0","4","0","22","0","0","1","0","0","2.617"
"100701023","1007010","0","2","0","23","vo_svd","0","0","vo_svd_1004","0","0"
"100701024","1007010","131","1","8","24","0","0.975","0","0","0","0"
"100701025","1007010","0","4","0","25","0","0","1","0","0","1.202"
"100701026","1007010","291","1","8","26","0","1.214","0","0","131","0"
"100701027","1007010","0","4","0","27","0","0","1","0","0","1.187"
"100701028","1007010","345","1","9","28","0","2.043","0","0","0","0"
"100701029","1007010","0","4","0","29","0","0","1","0","0","3.356"
"100701030","1007010","0","2","0","30","vo_svd","0","0","vo_svd_1005","0","0"
"100701031","1007010","155","1","10","31","0","1.862","0","0","0","0"
"100701032","1007010","0","4","0","32","0","0","1","0","0","2.285"
"100701033","1007010","0","2","0","33","vo_svd","0","0","vo_svd_1006","0","0"
"100701034","1007010","85","1","11","34","0","0.682","0","0","0","0"
"100701035","1007010","0","4","0","35","0","0","1","0","0","1.529"
"100701036","1007010","220","1","11","36","0","1.042","0","0","85","0"
"100701037","1007010","0","4","0","37","0","0","1","0","0","2.384"
"100701038","1007010","0","2","0","38","vo_svd","0","0","vo_svd_1007","0","0"
"100701039","1007010","100","1","12","39","0","1.106","0","0","0","0"
"100701040","1007010","0","4","0","40","0","0","1","0","0","1.891"
"100701041","1007010","289","1","12","41","0","1.322","0","0","100","0"
"100701042","1007010","0","4","0","42","0","0","1","0","0","1"
