4ce2be5183a510ddc5fe0cf87c4d472fd7f3c98eb813374a499cd2b395092577,fe709392bc4d8532db8f8e1755bbbf808c0aa9a0b25e82fa38e8bff647c0934d,f665e4d20096a133ad46e9c86b81d9d0ebbd3a53a01ad9fcd954af4b9187621d,926695ace53869fa1bae335b8a684ee57e64111bff4a8365438d4f87cfc83f57,5cdf5a5e667af5868d90b96ee5b2ff1aa6d711978011aca649d307a6bece298f,7ac5a0ed35f1fa952605a7560a445508a76aa0329b455ec4bce9b44aa42df350,a587d8a8a0f9748fe4120d375571b75453281ccce9e9c13ac9d68ff2db24e377,3dffd5848ffe5db188f44ff554987c23c0703ef79c55f15d8950ece485a17a44,861a4c92d40a0a0eacf6a7950f4a4f8b896a4d4b366abf4d5d2c975f0322abd6,ef7d327d7db5ad843bfb9f776224fe4f61e451b836e0c05d6a42a966e316b8f3
"4021","4020","30","10590","3","575","4019","2","1","2100007"
"4024","4023","30","10590","5","575","4022","2","1","2100008"
"4027","4026","30","10590","7","575","4025","2","1","2100009"
"4030","4029","30","10590","3","575","4028","2","1","2100010"
"5003","5002","33","9360","3","700","5001","2","2","2200001"
"5006","5005","33","9360","5","700","5004","2","2","2200002"
"5009","5008","33","9360","7","700","5007","2","2","2200003"
"5012","5011","33","9360","3","700","5010","2","2","2200004"
"5015","5014","33","9360","5","700","5013","2","2","2200005"
"5018","5017","33","9360","7","700","5016","2","2","2200006"
"5021","5020","33","9360","3","700","5019","2","2","2200007"
"5024","5023","33","9360","5","700","5022","2","2","2200008"
"5027","5026","33","9360","7","700","5025","2","2","2200009"
"5030","5029","33","9360","3","700","5028","2","2","2200010"
"5033","5032","33","9360","5","700","5031","2","2","2200011"
"5036","5035","33","9360","7","700","5034","2","2","2200012"
"5039","5038","34","10590","3","575","5037","2","2","2200013"
"5042","5041","34","10590","5","575","5040","2","2","2200014"
"5045","5044","34","10590","7","575","5043","2","2","2200015"
"5048","5047","34","10590","3","575","5046","2","2","2200016"
"5051","5050","34","10590","5","575","5049","2","2","2200017"
"5054","5053","34","10590","7","575","5052","2","2","2200018"
"5057","5056","34","10590","5","575","5055","2","2","2200019"
"5060","5059","34","10590","7","575","5058","2","2","2200020"
"6003","6002","33","9360","3","700","6001","2","3","2300001"
"6006","6005","33","9360","5","700","6004","2","3","2300002"
"6009","6008","33","9360","7","700","6007","2","3","2300003"
"6012","6011","33","9360","3","700","6010","2","3","2300004"
"6015","6014","33","9360","5","700","6013","2","3","2300005"
"6018","6017","33","9360","7","700","6016","2","3","2300006"
"6021","6020","33","9360","3","700","6019","2","3","2300007"
"6024","6023","33","9360","5","700","6022","2","3","2300008"
"6027","6026","33","9360","7","700","6025","2","3","2300009"
"6030","6029","33","9360","3","700","6028","2","3","2300010"
"6033","6032","33","9360","5","700","6031","2","3","2300011"
"6036","6035","33","9360","7","700","6034","2","3","2300012"
"6039","6038","33","9360","3","700","6037","2","3","2300013"
"6042","6041","33","9360","5","700","6040","2","3","2300014"
"6045","6044","33","9360","7","700","6043","2","3","2300015"
"6048","6047","33","9360","3","700","6046","2","3","2300016"
"6051","6050","33","9360","5","700","6049","2","3","2300017"
"6054","6053","33","9360","7","700","6052","2","3","2300018"
"6057","6056","34","10590","3","575","6055","2","3","2300019"
"6060","6059","34","10590","5","575","6058","2","3","2300020"
"6063","6062","34","10590","7","575","6061","2","3","2300021"
"6066","6065","34","10590","3","575","6064","2","3","2300022"
"6069","6068","34","10590","5","575","6067","2","3","2300023"
"6072","6071","34","10590","7","575","6070","2","3","2300024"
"6075","6074","34","10590","3","575","6073","2","3","2300025"
"6078","6077","34","10590","5","575","6076","2","3","2300026"
"6081","6080","34","10590","7","575","6079","2","3","2300027"
"6084","6083","34","10590","3","575","6082","2","3","2300028"
"6087","6086","34","10590","5","575","6085","2","3","2300029"
"6090","6089","34","10590","7","575","6088","2","3","2300030"
"7003","7002","39","14280","1","340","7001","3","1","3100001"
"7006","7005","39","14280","1","340","7004","3","1","3100002"
"7009","7008","39","14280","1","340","7007","3","1","3100003"
"7012","7011","39","14280","1","340","7010","3","1","3100004"
"7015","7014","39","14280","1","340","7013","3","1","3100005"
"7018","7017","39","14280","1","340","7016","3","1","3100006"
"7021","7020","36","13050","1","375","7019","3","1","3100007"
"7024","7023","36","13050","1","375","7022","3","1","3100008"
"7027","7026","36","13050","1","375","7025","3","1","3100009"
"7030","7029","36","13050","1","375","7028","3","1","3100010"
"8003","8002","41","14280","1","340","8001","3","2","3200001"
"8006","8005","41","14280","1","340","8004","3","2","3200002"
"8009","8008","41","14280","1","340","8007","3","2","3200003"
"8012","8011","41","14280","1","340","8010","3","2","3200004"
"8015","8014","41","14280","1","340","8013","3","2","3200005"
"8018","8017","41","14280","1","340","8016","3","2","3200006"
"8021","8020","41","14280","1","340","8019","3","2","3200007"
"8024","8023","41","14280","1","340","8022","3","2","3200008"
"8027","8026","41","14280","1","340","8025","3","2","3200009"
"8030","8029","41","14280","1","340","8028","3","2","3200010"
"8033","8032","41","14280","1","340","8031","3","2","3200011"
"8036","8035","41","14280","1","340","8034","3","2","3200012"
"8039","8038","38","13050","1","375","8037","3","2","3200013"
"8042","8041","38","13050","1","375","8040","3","2","3200014"
"8045","8044","38","13050","1","375","8043","3","2","3200015"
"8048","8047","38","13050","1","375","8046","3","2","3200016"
"8051","8050","38","13050","1","375","8049","3","2","3200017"
"8054","8053","38","13050","1","375","8052","3","2","3200018"
"8057","8056","38","13050","1","375","8055","3","2","3200019"
"8060","8059","38","13050","1","375","8058","3","2","3200020"
"9003","9002","40","14280","1","340","9001","3","3","3300001"
"9006","9005","40","14280","1","340","9004","3","3","3300002"
"9009","9008","40","14280","1","340","9007","3","3","3300003"
"9012","9011","40","14280","1","340","9010","3","3","3300004"
"9015","9014","40","14280","1","340","9013","3","3","3300005"
"9018","9017","40","14280","1","340","9016","3","3","3300006"
"9021","9020","40","14280","1","340","9019","3","3","3300007"
"9024","9023","40","14280","1","340","9022","3","3","3300008"
"9027","9026","40","14280","1","340","9025","3","3","3300009"
"9030","9029","40","14280","1","340","9028","3","3","3300010"
"9033","9032","40","14280","1","340","9031","3","3","3300011"
"9036","9035","40","14280","1","340","9034","3","3","3300012"
"9039","9038","40","14280","1","340","9037","3","3","3300013"
"9042","9041","40","14280","1","340","9040","3","3","3300014"
"9045","9044","40","14280","1","340","9043","3","3","3300015"
"9048","9047","40","14280","1","340","9046","3","3","3300016"
"9051","9050","40","14280","1","340","9049","3","3","3300017"
"9054","9053","40","14280","1","340","9052","3","3","3300018"
"9057","9056","39","13050","1","375","9055","3","3","3300019"
"9060","9059","39","13050","1","375","9058","3","3","3300020"
"9063","9062","39","13050","1","375","9061","3","3","3300021"
"9066","9065","39","13050","1","375","9064","3","3","3300022"
"9069","9068","39","13050","1","375","9067","3","3","3300023"
"9072","9071","39","13050","1","375","9070","3","3","3300024"
"9075","9074","39","13050","1","375","9073","3","3","3300025"
"9078","9077","39","13050","1","375","9076","3","3","3300026"
"9081","9080","39","13050","1","375","9079","3","3","3300027"
"9084","9083","39","13050","1","375","9082","3","3","3300028"
"9087","9086","39","13050","1","375","9085","3","3","3300029"
"9090","9089","39","13050","1","375","9088","3","3","3300030"
