ec3b253880f136dbd557a0a118e507c90158cfebc4c5b0db3eaff5064053b05b,5fa30b53638ac712c39accbfb7ef6ce45ee511270244318888e4f3641da4cb65,03f98c7fda4b195c5ddcd73479c1f346f253245b043849876c743a3cf367c3b5,2d5b258201cfd1e248ac1549575838e2522cbc738a2fc256329c29b0a9f19e56,7cc785921af82ebce3b392c41aa61e2badf25cb126100a059c47a1468b042432,ccb8242ef698887cda2f1877f30fe66057fe53ce78dae717b5f748aded8e9128,64245b2eb445ad9ca1f6f5e7cafecff11cea48c73f5a87ea67a07095281de3e1,979612b6b85593b47bfaf9cadc3ebc3bdd0c2aff50af36d43a8e67ff6032ae5c,c25305f875c458f4a27f9d834b439d83076ffc3626abe266f97a532ebffffb2e,4ed8e175c92d6983235d2cf6d8e32e9165eeb3b255cd5bdeec9ad0dc83fdd565,460dbdf3bb914896272c866ca1b6d1e7f3e9c4d56aee8d4b253383c5a8bc850f
"122511","11","1","6004","6","0","1","0","0","6","こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ"
"0","91","","6005","","","","","","6",""
"122511","3","","6006","1","","","0.2","","6","sjr_talk_idle"
"1","1","40","7001","100","-194","sjr_talk_idle","1.65","1","7","122511"
"122511","3","","7002","1","","","0.2","","7","sjr_talk_mouth_hidden2_shy"
"vo_minigame_1010","21","0","7003","0","","","","","7","vo_minigame_1010_top_talk_1_007"
"122511","11","1","7004","6","0","1","0","0","7","この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…"
"0","91","","7005","","","","","","7",""
"122511","3","","7006","1","","","0.2","","7","sjr_talk_idle"
"1","1","40","8001","100","-194","sjr_talk_idle","1.65","1","8","122511"
"122511","3","","8002","1","","","0.2","","8","sjr_talk_mouth_hidden"
"vo_minigame_1010","21","0","8003","0","","","","","8","vo_minigame_1010_top_talk_1_008"
"122511","11","1","8004","6","0","1","0","0","8","へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！"
"0","91","","8005","","","","","","8",""
"122511","3","","8006","1","","","0.2","","8","sjr_talk_idle"
"1","1","40","9001","100","-194","sjr_talk_idle","1.65","1","9","122511"
"122511","3","","9002","1","","","0.2","","9","sjr_talk_stepback_surprise"
"vo_minigame_1010","21","0","9003","0","","","","","9","vo_minigame_1010_top_talk_1_009"
"122511","11","1","9004","6","0","1","0","0","9","コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな"
"0","91","","9005","","","","","","9",""
"122511","3","","9006","1","","","0.2","","9","sjr_talk_idle"
"1","1","40","10001","100","-194","sjr_talk_idle","1.65","1","10","122511"
"122511","3","","10002","1","","","0.2","","10","sjr_talk_thinking_blink"
"vo_minigame_1010","21","0","10003","0","","","","","10","vo_minigame_1010_top_talk_1_010"
"122511","11","1","10004","5","0","1","0","0","10","ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か"
"0","91","","10005","","","","","","10",""
"122511","3","","10006","1","","","0.2","","10","sjr_talk_idle"
"1","1","40","11001","100","-194","sjr_talk_idle","1.65","1","11","122411"
"122411","3","sjr_talk_eieio_loop","11002","0","1","","0.2","0","11","sjr_talk_eieio"
"vo_minigame_1010","21","0","11003","0","","","","","11","vo_minigame_1010_top_talk_1_011"
"122411","11","1","11004","6","0","1","0","0","11","準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！"
"0","91","","11005","","","","","","11",""
"122411","3","","11006","1","","","0.2","","11","sjr_talk_idle"
"1","1","40","12001","100","-194","sjr_talk_idle","1.65","1","12","122411"
"122411","3","","12002","1","","","0.2","","12","sjr_talk_arm_opened_wink"
"vo_minigame_1010","21","0","12003","0","","","","","12","vo_minigame_1010_top_talk_1_012"
"122411","11","1","12004","6","0","1","0","0","12","えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！"
"0","91","","12005","","","","","","12",""
"122411","3","","12006","1","","","0.2","","12","sjr_talk_idle"
"1","1","40","13001","100","-194","sjr_talk_idle","1.65","1","13","122411"
"122411","3","sjr_talk_doya_loop","13002","0","1","","0.2","0","13","sjr_talk_doya"
"vo_minigame_1010","21","0","13003","0","","","","","13","vo_minigame_1010_top_talk_1_013"
"122411","11","1","13004","8","0","1","0","0","13","あ、困ってる人\nはっけーん！\n困った時はお互い\nさまさまっ♪"
"0","91","","13005","","","","","","13",""
"122411","3","","13006","1","","","0.2","","13","sjr_talk_idle"
"1","1","40","14001","100","-194","sjr_talk_idle","1.65","1","14","122411"
"122411","3","sjr_talk_swing_joy","14002","0","1","","0.2","0","14","sjr_talk_watch_arm_opened"
"vo_minigame_1010","21","0","14003","0","","","","","14","vo_minigame_1010_top_talk_1_014"
"122411","11","1","14004","7","0","1","0","0","14","どのコースを\n走ろうかなー♪\nどれもおもしろそー！\nウズウズしてきたー！"
"0","91","","14005","","","","","","14",""
"122411","3","","14006","1","","","0.2","","14","sjr_talk_idle"
"1","1","40","15001","100","-194","sjr_talk_idle","1.65","1","15","122411"
"122411","3","","15002","1","","","0.2","","15","sjr_talk_wish_doya"
"vo_minigame_1010","21","0","15003","0","","","","","15","vo_minigame_1010_top_talk_1_015"
"122411","11","1","15004","7","0","1","0","0","15","ユイちゃんとレイさん\n二人と一緒に\n競い合いたいな！"
"0","91","","15005","","","","","","15",""
"122411","3","","15006","1","","","0.2","","15","sjr_talk_idle"
"1","1","72","16001","100","-194","sjr_talk_idle","1.65","1","16","122611"
"1","1","-72","16002","100","-194","sjr_talk_idle","1.65","0","16","122511"
"122611","3","","16003","1","","","0.2","","16","sjr_talk_wish_doya"
"vo_minigame_1010","21","0","16004","0","","","","","16","vo_minigame_1010_top_talk_2_001"
"122611","11","1","16005","5","0","1","0","0","16","レイちゃん\nお互い全力で走ろうね\nわたし本気で挑むから"
"0","91","","16006","","","","","","16",""
"122611","3","","16007","1","","","0.2","","16","sjr_talk_idle"
"122511","3","sjr_talk_arm_crossed_joy_loop","16008","0","1","","0.2","0","16","sjr_talk_arm_crossed_normal_joy"
"vo_minigame_1010","21","0","16009","0","","","","","16","vo_minigame_1010_top_talk_2_002"
"122511","11","1","16010","6","0","0.5","0","0","16","ユイ…言うように\nなったじゃないか\nふふっ、だったら私も\nその意気に応えよう"
"0","91","","16011","","","","","","16",""
"122511","3","","16012","1","","","0.2","","16","sjr_talk_idle"
"1","1","72","17001","100","-194","sjr_talk_idle","1.65","1","17","122611"
"1","1","-72","17002","100","-194","sjr_talk_idle","1.65","0","17","122511"
"122511","3","","17003","1","","","0.2","","17","sjr_talk_worry_shy"
"vo_minigame_1010","21","0","17004","0","","","","","17","vo_minigame_1010_top_talk_2_003"
"122511","11","1","17005","6","0","0.5","0","0","17","ねぇユイ\n水着で走るのって\nちょっと…"
"0","91","","17006","","","","","","17",""
"122511","3","","17007","1","","","0.2","","17","sjr_talk_idle"
"122611","3","","17008","1","","","0.2","","17","sjr_talk_wish_shy"
"vo_minigame_1010","21","0","17009","0","","","","","17","vo_minigame_1010_top_talk_2_004"
"122611","11","1","17010","5","0","0.5","0","0","17","うん、恥ずかしいよね\n騎士クンに\n見られてると思うと…\n…うぅ～～～！"
"0","91","","17011","","","","","","17",""
"122611","3","","17012","1","","","0.2","","17","sjr_talk_idle"
"122511","3","sjr_talk_thinking_light","17013","0","1","","0.2","0","17","sjr_talk_thinking_blink_light"
"vo_minigame_1010","21","0","17014","0","","","","","17","vo_minigame_1010_top_talk_2_005"
"122511","11","1","17015","6","0","0.5","0","0","17","いや、待てよ…\nユイは恥ずかしい時\n逃げ足が速くなる…\nそれを利用すれば…！"
"0","91","","17016","","","","","","17",""
"122511","3","","17017","1","","","0.2","","17","sjr_talk_idle"
"1","1","72","18001","100","-194","sjr_talk_idle","1.65","1","18","122611"
"1","1","-72","18002","100","-194","sjr_talk_idle","1.65","0","18","122511"
"122611","3","","18003","1","","","0.2","","18","sjr_talk_wish_surprise"
"vo_minigame_1010","21","0","18004","0","","","","","18","vo_minigame_1010_top_talk_2_006"
"122611","11","1","18005","7","0","0.5","0","0","18","なんだかすごいコース\nばかりだね…\nどうやって\n作ったんだろう…"
"0","91","","18006","","","","","","18",""
"122611","3","","18007","1","","","0.2","","18","sjr_talk_idle"
"122511","3","sjr_talk_arm_crossed_normal2_loop","18008","0","1","","0.2","0","18","sjr_talk_arm_crossed_normal2"
"vo_minigame_1010","21","0","18009","0","","","","","18","vo_minigame_1010_top_talk_2_007"
"122511","11","1","18010","7","0","0.5","0","0","18","気にしちゃダメだよ\nこういう時は素直に\n楽しむのが一番さ"
"0","91","","18011","","","","","","18",""
"122511","3","","18012","1","","","0.2","","18","sjr_talk_idle"
"1","1","72","19001","100","-194","sjr_talk_idle","1.65","1","19","122611"
"1","1","-72","19002","100","-194","sjr_talk_idle","1.65","0","19","122411"
"122611","3","sjr_talk_idle_joy","19003","0","1","","0.2","0","19","sjr_talk_wave_hand"
"vo_minigame_1010","21","0","19004","0","","","","","19","vo_minigame_1010_top_talk_2_008"
"122611","11","1","19005","11","0","0.5","0","0","19","ヒヨリちゃん\n楽しんでる？"
"0","91","","19006","","","","","","19",""
"122611","3","","19007","1","","","0.2","","19","sjr_talk_idle"
"122411","3","sjr_talk_swing_joy2","19008","0","1","","0.2","0","19","sjr_talk_fun"
"vo_minigame_1010","21","0","19009","0","","","","","19","vo_minigame_1010_top_talk_2_009"
"122411","11","1","19010","8","0","0.5","0","0","19","もっちろん！\nこんな面白いこと\n楽しまないと\nもったいないよー！"
"0","91","","19011","","","","","","19",""
"122411","3","","19012","1","","","0.2","","19","sjr_talk_idle"
"122611","3","","19013","1","","","0.2","","19","sjr_talk_laugh"
"vo_minigame_1010","21","0","19014","0","","","","","19","vo_minigame_1010_top_talk_2_010"
"122611","11","1","19015","8","0","0.5","0","0","19","そうだね\nふふっ、わたしも\nヒヨリちゃんを\n見習わないと…！"
"0","91","","19016","","","","","","19",""
"122611","3","","19017","1","","","0.2","","19","sjr_talk_idle"
"1","1","72","20001","100","-194","sjr_talk_idle","1.65","1","20","122611"
"1","1","-72","20002","100","-194","sjr_talk_idle","1.65","0","20","122411"
"122411","3","sjr_talk_guts2_loop","20003","0","1","","0.2","0","20","sjr_talk_guts2"
"vo_minigame_1010","21","0","20004","0","","","","","20","vo_minigame_1010_top_talk_2_011"
"122411","11","1","20005","9","0","0.5","0","0","20","ユイちゃんっ！\nさっきの走りは\nすごかったね！\n追いつけなかったよー"
"0","91","","20006","","","","","","20",""
"122411","3","","20007","1","","","0.2","","20","sjr_talk_idle"
"122611","3","sjr_talk_mouth_hidden_guru","20008","0","1","","0.2","0","20","sjr_talk_mouth_hidden_dere_guru"
"vo_minigame_1010","21","0","20009","0","","","","","20","vo_minigame_1010_top_talk_2_012"
"122611","11","1","20010","5","0","0.5","0","0","20","夢中で走ってたら\nなんだか\n気持ちよくなって…\nふふ、ふふふ…"
"0","91","","20011","","","","","","20",""
"122411","3","sjr_talk_shock_loop","20012","0","1","","0.2","0","20","sjr_talk_shock"
"vo_minigame_1010","21","0","20013","0","","","","","20","vo_minigame_1010_top_talk_2_013"
"122411","11","1","20014","17","0","0.5","0","0","20","わーっ！？\nユイちゃん！？\n目がグルグルだー！？"
"0","91","","20015","","","","","","20",""
"122611","3","","20016","1","","","0.2","","20","sjr_talk_idle"
"122411","3","","20017","1","","","0.2","","20","sjr_talk_idle"
"1","1","72","21001","100","-194","sjr_talk_idle","1.65","1","21","122611"
"1","1","-72","21002","100","-194","sjr_talk_idle","1.65","0","21","122411"
"122611","3","","21003","1","","","0.2","","21","sjr_talk_worry_sad"
"vo_minigame_1010","21","0","21004","0","","","","","21","vo_minigame_1010_top_talk_2_014"
"122611","11","1","21005","9","0","0.5","0","0","21","ヒヨリちゃん、ずっと\n走ってるけど大丈夫？\n水分補給はちゃんと\nしなくちゃダメだよ？"
"0","91","","21006","","","","","","21",""
"122611","3","","21007","1","","","0.2","","21","sjr_talk_idle"
"122411","3","sjr_talk_guts2_joy_loop","21008","0","0","","0.2","0","21","sjr_talk_laugh_guts"
"vo_minigame_1010","21","0","21009","0","","","","","21","vo_minigame_1010_top_talk_2_015"
"122411","11","1","21010","6","0","0.5","0","0","21","心配性だなぁ\nユイちゃんはー\nあ、だったら一緒に\nかき氷食べに行こー♪"
"0","91","","21011","","","","","","21",""
"122411","3","","21012","1","","","0.2","","21","sjr_talk_idle"
"1","1","72","22001","100","-194","sjr_talk_idle","1.65","1","22","122511"
"1","1","-72","22002","100","-194","sjr_talk_idle","1.65","0","22","122411"
"122511","3","sjr_talk_arm_crossed_normal_loop","22003","0","1","","0.2","0","22","sjr_talk_arm_crossed_normal"
"vo_minigame_1010","21","0","22004","0","","","","","22","vo_minigame_1010_top_talk_2_016"
"122511","11","1","22005","7","0","0.5","0","0","22","相手がヒヨリとはいえ\n負けるつもりは\nないからね"
"0","91","","22006","","","","","","22",""
"122511","3","","22007","1","","","0.2","","22","sjr_talk_idle"
"122411","3","sjr_talk_guts_loop","22008","0","1","","0.2","0","22","sjr_talk_guts"
"vo_minigame_1010","21","0","22009","0","","","","","22","vo_minigame_1010_top_talk_2_017"
"122411","11","1","22010","8","0","0.5","0","0","22","レイさんが相手なら\nあたしだって\n全力全開だよ！"
"0","91","","22011","","","","","","22",""
"122411","3","","22012","1","","","0.2","","22","sjr_talk_idle"
"1","1","72","23001","100","-194","sjr_talk_idle","1.65","1","23","122511"
"1","1","-72","23002","100","-194","sjr_talk_idle","1.65","0","23","122411"
"122411","3","sjr_talk_eieio_loop","23003","0","1","","0.2","0","23","sjr_talk_fun_eieio"
"vo_minigame_1010","21","0","23004","0","","","","","23","vo_minigame_1010_top_talk_2_018"
"122411","11","1","23005","5","0","0.5","0","0","23","夏と言えばかき氷！\nシロップはー……\n禁断の全部混ぜだー！"
"0","91","","23006","","","","","","23",""
"122411","3","","23007","1","","","0.2","","23","sjr_talk_idle"
"122511","3","","23008","1","","","0.2","","23","sjr_talk_mouth_hidden_sad"
"vo_minigame_1010","21","0","23009","0","","","","","23","vo_minigame_1010_top_talk_2_019"
"122511","11","1","23010","7","0","0.5","0","0","23","そんなに冷たいもの\nばかり食べて…\n走れなくなっても\n知らないよ？"
"0","91","","23011","","","","","","23",""
"122511","3","","23012","1","","","0.2","","23","sjr_talk_idle"
"122411","3","sjr_talk_arm_opened_guru","23013","0","1","","0.2","0","23","sjr_talk_arm_opened_joy_guru"
"vo_minigame_1010","21","0","23014","0","","","","","23","vo_minigame_1010_top_talk_2_020"
"122411","11","1","23015","5","0","0.5","0","0","23","平気平気ぃ♪\n…あれっ？\nなんか頭がキーンって\nいたたたたぁー！？"
"0","91","","23016","","","","","","23",""
"122411","3","","23017","1","","","0.2","","23","sjr_talk_idle"
"1","1","72","24001","100","-194","sjr_talk_idle","1.65","1","24","122511"
"1","1","-72","24002","100","-194","sjr_talk_idle","1.65","0","24","122411"
"122411","3","","24003","1","","","0.2","","24","sjr_talk_mouth_hidden_sad"
"vo_minigame_1010","21","0","24004","0","","","","","24","vo_minigame_1010_top_talk_2_021"
"122411","11","1","24005","7","0","1","0","0","24","ユイちゃん\n大丈夫かなー\n転んだりしてないと\nいいけど…"
"0","91","","24006","","","","","","24",""
"122411","3","","24007","1","","","0.2","","24","sjr_talk_idle"
"122511","3","sjr_talk_arm_crossed_joy_loop","24008","0","0","","0.2","0","24","sjr_talk_arm_crossed_normal_joy"
"vo_minigame_1010","21","0","24009","0","","","","","24","vo_minigame_1010_top_talk_2_022"
"122511","11","1","24010","5","0","0.5","0","0","24","心配はいらないさ\nユイは強くなった\nむしろ私たちが\n負けてしまうかもね"
"0","91","","24011","","","","","","24",""
"122511","3","","24012","1","","","0.2","","24","sjr_talk_idle"
"122411","3","","24013","1","","","0.2","","24","sjr_talk_laugh"
"vo_minigame_1010","21","0","24014","0","","","","","24","vo_minigame_1010_top_talk_2_023"
"122411","11","1","24015","7","0","0.5","0","0","24","えへへっ、そうだね！\n一緒に走るのが\n楽しみだなー♪"
"0","91","","24016","","","","","","24",""
"122411","3","","24017","1","","","0.2","","24","sjr_talk_idle"
