a3ec30c9e46a374c73e9985fdf7d0bac22d9d8d84ebf282fbc68c096fa6d489e,a45a347007da7563804c60e0666e5d0a2cde185c64065ff7d86980fa5523fd4b,462d3f183f27a38684720313afb8f2835f22e3840ff7caa75f449edc60167efc,4fc51ddbfd728e0c126aa1e990e54b4ab5492f917d4b8fff5240ea6b9ca9ab8a,88e396d84b50cdfafffeef40785159140b167ad2c23517e296ca2b662d7d008f,bcea6c2830081b45777d2ca1278394a36c691f8c0182a7714fbe48a724833ee4,2a9cc89092a46ed1041f7a2e95e5afdf798e519e15f9fc968bf898612d034b61,916582bcfadc546f7d9fab605e6d6ee6ebc831aa215e1b752ae31f1cc6586411,fef309eecfd1c5e4170f6ce330fbe3302fd611f1e44e2cd7df94d07d6c2f4ee7,8c6d1ec960258e58bc22d2ea499037337a2b1b11b67e69386e547c1a7604973d,9b3b1fb1993cef2c46c85705b79d079c8b9e2b0a201d44e50e478bbd12c1515b,def632f32b0937d48c970c8726c953861a30e82f7054378c6986073b1a85bddd
"1","1.5","0","610213157","0","0","3","5","10213551","0","0","0"
"2","5.5","600","610214102","5214321","0","1","5","10214201","5214322","3","0"
"2","1.5","600","610214103","0","0","2","5","10214201","5214323","3","0"
"1","1.5","0","610214104","0","0","3","5","10214201","0","0","0"
"2","5.5","600","610214105","0","0","1","5","10214501","0","3","0"
"2","1.5","600","610214106","0","0","2","5","10214501","0","3","0"
"1","1.5","0","610214107","0","0","3","5","10214501","0","0","0"
"2","5.5","600","610215102","5215321","0","1","5","10215201","5215322","3","0"
"2","1.5","600","610215103","0","0","2","5","10215201","5215323","3","0"
"1","1.5","0","610215104","0","0","3","5","10215201","0","0","0"
"2","5.5","600","610215105","0","0","1","5","10215501","0","3","0"
"2","1.5","600","610215106","0","0","2","5","10215501","0","3","0"
"1","1.5","0","610215107","0","0","3","5","10215501","0","0","0"
"2","5.5","600","610216102","5216321","0","1","5","10216201","5216322","3","0"
"1","1.5","0","610216103","0","0","2","5","10216201","5216323","0","55"
"1","1.5","0","610216104","0","0","3","5","10216201","0","0","0"
"2","5.5","600","610216105","0","0","1","5","10216501","0","3","0"
"1","1.5","0","610216106","0","0","2","5","10216501","0","0","55"
"1","1.5","0","610216107","0","0","3","5","10216501","0","0","0"
"2","5.5","600","610217102","5217321","0","1","5","10217201","5217322","3","70"
"1","1.5","0","610217103","0","0","2","5","10217201","5217323","0","40"
"1","1.5","0","610217104","0","0","3","5","10217201","0","0","0"
"2","5.5","600","610217105","0","0","1","5","10217501","0","3","70"
"1","1.5","0","610217106","0","0","2","5","10217501","0","0","40"
"1","1.5","0","610217107","0","0","3","5","10217501","0","0","0"
"2","5.5","600","610218102","5218321","0","1","5","10218201","5218322","3","0"
"1","1.5","0","610218103","0","0","2","5","10218201","5218323","0","40"
"1","1.5","0","610218104","0","0","3","5","10218201","0","0","0"
"2","5.5","600","610218105","0","0","1","5","10218501","0","3","0"
"1","1.5","0","610218106","0","0","2","5","10218501","0","0","40"
"1","1.5","0","610218107","0","0","3","5","10218501","0","0","0"
