9331930ff7a02d4c00155e1f04577e3e53e884554bd89e62bc2a9c1fa02da4b1,77790f09bccddd83b97c6f5f5e04c9dede3d9fc2edbe58b9c0e4a75ae8d4bee6,111ccc64a36cc2d34b7dc0ac7842cfefbe7ad97be571852bf551855aeec4da16,67b814e99716b2a7be230241c3580d17f3e47da355a6dda144a5dec2074263d8,9ceb0780b31698961952e533be5a0288abbd56386999547c69e549b15584532c,4ff6f43071c0ded304daaed3f16ea699e4d4b5011088dc45828f6198f5a5d35f,f7f11779672f6249093add859b75de8dcb7a5849a85038a45fec8fd62fe767de,7f850fda5c37b0ec1fbc256c0e4e2a4118277542fce0c9ceb3d96ec4bf56c5f4,71a36fd2c0ee304c45a44a71376a0b8ede3cfe689a9967bae7237b0b00641ec2,4747049d74dbab17e79906b05709ea0d9678d9965c43420bfd22a1e5a1158caf,de231f4cc02f343f825ad9a8ed42f8b1a8d88a4ed58edae90ae9416360932b25,c53d423dce7c0fa348c7331e29f4cd4bb121b7b6d6566bdae6036763884d8005
"1","0","1.5","0","5154063","0","1","0","515406303","0","350","3"
"4","0","0","1","5154063","0","0","2.25","515406304","0","0","4"
"2","vo_abd_0202","0","0","5154063","vo_abd","0","0","515406305","0","0","5"
"1","0","1.8","0","5154063","0","2","0","515406306","0","350","6"
"4","0","0","1","5154063","0","0","3","515406307","0","0","7"
"2","vo_abd_0203","0","0","5154063","vo_abd","0","0","515406308","0","0","8"
"1","0","1.5","0","5154063","0","3","0","515406309","0","315","9"
"4","0","0","1","5154063","0","0","1.8","515406310","0","0","10"
"2","vo_abd_0204","0","0","5154063","vo_abd","0","0","515406311","0","0","11"
"1","0","1.3","0","5154063","0","4","0","515406312","0","300","12"
"4","0","0","1","5154063","0","0","2.5","515406313","0","0","13"
"2","vo_abd_0205","0","0","5154063","vo_abd","0","0","515406314","0","0","14"
"1","0","1.5","0","5154063","0","5","0","515406315","0","360","15"
"4","0","0","1","5154063","0","0","2","515406316","0","0","16"
"2","vo_abd_0206","0","0","5154063","vo_abd","0","0","515406317","0","0","17"
"1","0","1.8","0","5154063","0","6","0","515406318","0","310","18"
"4","0","0","1","5154063","0","0","3","515406319","0","0","19"
"2","vo_abd_0207","0","0","5154063","vo_abd","0","0","515406320","0","0","20"
"1","0","1.2","0","5154063","0","8","0","515406321","0","245","21"
"4","0","0","1","5154063","0","0","1.6","515406322","0","0","22"
"1","0","0.45","0","5154063","0","8","0","515406323","245","400","23"
"4","0","0","1","5154063","0","0","0.45","515406324","0","0","24"
"2","vo_abd_0208","0","0","5154063","vo_abd","0","0","515406325","0","0","25"
"1","0","1.1","0","5154063","0","9","0","515406326","0","300","26"
"4","0","0","1","5154063","0","0","1.6","515406327","0","0","27"
"2","vo_abd_0209","0","0","5154063","vo_abd","0","0","515406328","0","0","28"
"1","0","0.5","0","5154063","0","10","0","515406329","0","280","29"
"4","0","0","1","5154063","0","0","0.5","515406330","0","0","30"
"2","vo_abd_0210","0","0","5154063","vo_abd","0","0","515406331","0","0","31"
"1","0","1","0","5154063","0","11","0","515406332","0","360","32"
"4","0","0","1","5154064","0","0","0.8","515406401","0","0","1"
"2","vo_abd_0301","0","0","5154064","vo_abd","0","0","515406402","0","0","2"
"1","0","2","0","5154064","0","1","0","515406403","0","330","3"
"4","0","0","1","5154064","0","0","2.8","515406404","0","0","4"
"2","vo_abd_0302","0","0","5154064","vo_abd","0","0","515406405","0","0","5"
"1","0","2","0","5154064","0","2","0","515406406","0","400","6"
"4","0","0","1","5154064","0","0","3.5","515406407","0","0","7"
"2","vo_abd_0303","0","0","5154064","vo_abd","0","0","515406408","0","0","8"
"1","0","2.8","0","5154064","0","3","0","515406409","0","425","9"
"4","0","0","1","5154064","0","0","3.5","515406410","0","0","10"
"2","vo_abd_0304","0","0","5154064","vo_abd","0","0","515406411","0","0","11"
"1","0","3","0","5154064","0","4","0","515406412","0","450","12"
"4","0","0","1","5154064","0","0","4","515406413","0","0","13"
"2","vo_abd_0305","0","0","5154064","vo_abd","0","0","515406414","0","0","14"
"1","0","0.2","0","5154064","0","5","0","515406415","0","35","15"
"4","0","0","1","5154064","0","0","1.05","515406416","0","0","16"
"1","0","2","0","5154064","0","5","0","515406417","45","420","17"
"4","0","0","1","5154064","0","0","3.5","515406418","0","0","18"
"2","vo_abd_0306","0","0","5154064","vo_abd","0","0","515406419","0","0","19"
"1","0","1","0","5154064","0","6","0","515406420","0","175","20"
"4","0","0","1","5154064","0","0","1.7","515406421","0","0","21"
"1","0","1","0","5154064","0","6","0","515406422","175","260","22"
"4","0","0","1","5154064","0","0","2.8","515406423","0","0","23"
"1","0","0.8","0","5154064","0","6","0","515406424","260","400","24"
"4","0","0","1","5154064","0","0","0.96","515406425","0","0","25"
"2","vo_abd_0307","0","0","5154064","vo_abd","0","0","515406426","0","0","26"
"1","0","1.5","0","5154064","0","7","0","515406427","0","245","27"
"4","0","0","1","5154064","0","0","1.7","515406428","0","0","28"
"1","0","0.8","0","5154064","0","7","0","515406429","245","400","29"
"4","0","0","1","5154064","0","0","2","515406430","0","0","30"
"2","vo_abd_0308","0","0","5154064","vo_abd","0","0","515406431","0","0","31"
"1","0","1","0","5154064","0","8","0","515406432","0","208","32"
"4","0","0","1","5154064","0","0","2","515406433","0","0","33"
"1","0","0.3","0","5154064","0","8","0","515406434","208","270","34"
"4","0","0","1","5154064","0","0","1.5","515406435","0","0","35"
"1","0","0.8","0","5154064","0","8","0","515406436","275","400","36"
"4","0","0","1","5154064","0","0","2","515406437","0","0","37"
"2","vo_abd_0309","0","0","5154064","vo_abd","0","0","515406438","0","0","38"
"1","0","2","0","5154064","0","9","0","515406439","0","300","39"
"4","0","0","1","5154064","0","0","2.65","515406440","0","0","40"
"1","0","1","0","5154064","0","9","0","515406441","300","425","41"
"4","0","0","1","5154064","0","0","2","515406442","0","0","42"
"2","vo_abd_0310","0","0","5154064","vo_abd","0","0","515406443","0","0","43"
"1","0","2.5","0","5154064","0","10","0","515406444","0","375","44"
"4","0","0","1","5154064","0","0","4","515406445","0","0","45"
"2","vo_abd_0311","0","0","5154064","vo_abd","0","0","515406446","0","0","46"
"1","0","1.2","0","5154064","0","11","0","515406447","0","165","47"
"4","0","0","1","5154064","0","0","2","515406448","0","0","48"
"1","0","1","0","5154064","0","11","0","515406449","165","295","49"
"4","0","0","1","5154064","0","0","2.5","515406450","0","0","50"
"1","0","0.5","0","5154064","0","11","0","515406451","295","400","51"
"4","0","0","1","5154065","0","0","0.8","515406501","0","0","1"
"2","vo_abd_0401","0","0","5154065","vo_abd","0","0","515406502","0","0","2"
"1","0","2","0","5154065","0","1","0","515406503","0","400","3"
"4","0","0","1","5154065","0","0","3.2","515406504","0","0","4"
"2","vo_abd_0402","0","0","5154065","vo_abd","0","0","515406505","0","0","5"
"1","0","2","0","5154065","0","2","0","515406506","0","400","6"
"4","0","0","1","5154065","0","0","3.7","515406507","0","0","7"
"2","vo_abd_0403","0","0","5154065","vo_abd","0","0","515406508","0","0","8"
"1","0","2","0","5154065","0","3","0","515406509","0","400","9"
"4","0","0","1","5154065","0","0","3","515406510","0","0","10"
"2","vo_abd_0404","0","0","5154065","vo_abd","0","0","515406511","0","0","11"
"1","0","1","0","5154065","0","4","0","515406512","0","155","12"
"4","0","0","1","5154065","0","0","1.15","515406513","0","0","13"
"1","0","1","0","5154065","0","4","0","515406514","155","425","14"
"4","0","0","1","5154065","0","0","2.5","515406515","0","0","15"
"2","vo_abd_0405","0","0","5154065","vo_abd","0","0","515406516","0","0","16"
"1","0","2.4","0","5154065","0","5","0","515406517","0","450","17"
"4","0","0","1","5154065","0","0","2.9","515406518","0","0","18"
"2","vo_abd_0407","0","0","5154065","vo_abd","0","0","515406519","0","0","19"
"1","0","1","0","5154065","0","6","0","515406520","0","300","20"
"4","0","0","1","5154065","0","0","1.5","515406521","0","0","21"
"2","vo_abd_0408","0","0","5154065","vo_abd","0","0","515406522","0","0","22"
"1","0","1","0","5154065","0","7","0","515406523","0","250","23"
"4","0","0","1","5154065","0","0","1","515406524","0","0","24"
"2","vo_abd_0409","0","0","5154065","vo_abd","0","0","515406525","0","0","25"
"1","0","1","0","5154065","0","8","0","515406526","0","250","26"
"4","0","0","1","5154065","0","0","2","515406527","0","0","27"
"2","vo_abd_0410","0","0","5154065","vo_abd","0","0","515406528","0","0","28"
"1","0","0.2","0","5154065","0","9","0","515406529","0","50","29"
"4","0","0","1","5154065","0","0","0.7","515406530","0","0","30"
"1","0","1.5","0","5154065","0","9","0","515406531","50","280","31"
"4","0","0","1","5154065","0","0","2.5","515406532","0","0","32"
"2","vo_abd_0411","0","0","5154065","vo_abd","0","0","515406533","0","0","33"
"1","0","0.2","0","5154065","0","10","0","515406534","0","35","34"
"4","0","0","1","5154065","0","0","1.08","515406535","0","0","35"
"1","0","0.3","0","5154065","0","10","0","515406536","35","107","36"
"4","0","0","1","5154065","0","0","0.9","515406537","0","0","37"
"1","0","1.5","0","5154065","0","10","0","515406538","107","425","38"
