ddb6f7603a414e941d859bccf492a13421322a4632e073951350793505b1f10b,b7b5a05ad19a3badeb228dbf884dcacee8e5ca78bfb91a2d91af4e1daeb50aaa,13b2985b29dfbf6925246376ae7ad8d5972745149e422686a874b0d05150077c,478153ce25f5d1d017ee6bc8adbe30a764617b8892e146b5ab9ece087eaf653a,b57ce371207f12fdbeb9aedb6ce602607940ec0416034f1b5a84a52916d10756
"2","100702","2000","90008","158"
"2","100703","20","25001","159"
"2","100704","2500","90008","160"
"2","100705","30","25001","161"
"8","100706","300","91002","162"
"2","100707","1","41000","163"
"12","100708","5000000","94002","164"
"12","100709","1000000","94002","165"
"12","100710","1000000","94002","166"
"12","100711","1000000","94002","167"
"2","100712","400","20004","168"
"2","100713","300","20004","169"
"2","100714","200","20004","170"
"12","100715","1000000","94002","171"
"12","100716","1000000","94002","172"
"12","100717","1000000","94002","173"
"2","100718","400","20004","174"
"2","100719","300","20004","175"
"2","100720","200","20004","176"
"12","100721","1000000","94002","177"
"12","100722","1000000","94002","178"
"12","100723","1000000","94002","179"
"2","100724","400","20004","180"
"2","100725","300","20004","181"
"2","100726","200","20004","182"
"12","100801","5000000","94002","183"
"2","100802","2000","90008","184"
"2","100803","20","25001","185"
"2","100804","2500","90008","186"
"2","100805","30","25001","187"
"8","100806","300","91002","188"
"2","100807","1","41000","189"
"12","100808","5000000","94002","190"
"12","100809","1000000","94002","191"
"12","100810","1000000","94002","192"
"12","100811","1000000","94002","193"
"2","100812","400","20004","194"
"2","100813","300","20004","195"
"2","100814","200","20004","196"
"12","100815","1000000","94002","197"
"12","100816","1000000","94002","198"
"12","100817","1000000","94002","199"
"2","100818","400","20004","200"
"2","100819","300","20004","201"
"2","100820","200","20004","202"
"12","100821","1000000","94002","203"
"12","100822","1000000","94002","204"
"12","100823","1000000","94002","205"
"2","100824","400","20004","206"
"2","100825","300","20004","207"
"2","100826","200","20004","208"
"12","100901","5000000","94002","209"
"2","100902","2000","90008","210"
"2","100903","20","25001","211"
"2","100904","2500","90008","212"
"2","100905","30","25001","213"
"8","100906","300","91002","214"
"2","100907","1","41000","215"
"12","100908","5000000","94002","216"
"12","100909","1000000","94002","217"
"12","100910","1000000","94002","218"
"12","100911","1000000","94002","219"
"2","100912","400","20004","220"
"2","100913","300","20004","221"
"2","100914","200","20004","222"
"12","100915","1000000","94002","223"
"12","100916","1000000","94002","224"
"12","100917","1000000","94002","225"
"2","100918","400","20004","226"
"2","100919","300","20004","227"
"2","100920","200","20004","228"
"12","100921","1000000","94002","229"
"12","100922","1000000","94002","230"
"12","100923","1000000","94002","231"
"2","100924","400","20004","232"
"2","100925","300","20004","233"
"2","100926","200","20004","234"
