314f002286c0a6f861596c451c2a63adf48886d8369b894acb1281f0e4f0e9eb,082890fdb125c723feb0605704cfd7a048f230afce96fe488948d261b6a7e0c6,134f2c55cf0b98a57b8de6d7fcc97b7ff3424373888a1ec222307ab4943c4cf5,8f90027f30ee8b8e37e4e248e8a0c5b7651010e048c3f64e4ecb2b47b68c62d0,20998754e7049e9a6ddcee2cf80881425eb49ec08a14454fb1e57c6af28db180,ed76839434b75b0a58c18afab44a450aacc0ebe4a37b3f5e529112cf9c500a9d,78e151ac182581c5ad50e2e89322790f75cf1c5b06366804a180bdb03df2250c
"10019","ぐも……（オマエガ イウカ）","vo_minigame_1004","2","vo_minigame_1004_top_2_034","1001902","3"
"10020","ぐも……（ハラヘッタ チョコホシイ）","vo_minigame_1004","2","vo_minigame_1004_top_2_044","1002001","3"
"10020","なんだ？眠いのか？","vo_minigame_1004","1","vo_minigame_1004_top_2_045","1002002","2"
"10021","ぐもも（コイツ……キケン）","vo_minigame_1004","2","vo_minigame_1004_top_2_046","1002101","3"
"10021","うん？　なんだ？オレの舎弟にでもなりたいのか？","vo_minigame_1004","1","vo_minigame_1004_top_2_047","1002102","2"
"10022","ぐも…（かやピィノウキン）","vo_minigame_1004","2","vo_minigame_1004_top_2_048","1002201","3"
"10022","おい、今失礼なこと考えてるだろ？","vo_minigame_1004","1","vo_minigame_1004_top_2_049","1002202","2"
"10023","なあ、これいつまで続けるんだ？","vo_minigame_1004","1","vo_minigame_1004_top_3_058","1002301","2"
"10023","カヤぴぃが降参するまでです！","vo_minigame_1004","2","vo_minigame_1004_top_3_059","1002302","1"
"10023","ぐもも！（コウサンシロ！）","vo_minigame_1004","2","vo_minigame_1004_top_3_060","1002303","3"
"10024","ぐも！（イノリ チョコホシイ）","vo_minigame_1004","2","vo_minigame_1004_top_3_065","1002401","3"
"10024","しょうがないですね、食べ過ぎはダメですよ","vo_minigame_1004","1","vo_minigame_1004_top_3_066","1002402","1"
"10024","土産のチョコ、そうとう気に入ったみたいだな","vo_minigame_1004","1","vo_minigame_1004_top_3_067","1002403","2"
"10025","ぐも！（かやピィニハ マケナイ！）","vo_minigame_1004","2","vo_minigame_1004_top_3_068","1002501","3"
"10025","お？なんだ？腹でも減ってるのか？","vo_minigame_1004","1","vo_minigame_1004_top_3_069","1002502","2"
"10025","……全然話が通じてないです","vo_minigame_1004","2","vo_minigame_1004_top_3_070","1002503","1"
