9d0a71109f43f85eb881037090940077ddf171110635b7c79e65eea85a70176e,3aa4413997173891ec8351d8313f77de0d0912195968ab12430c4cdc2a4f710c,3486f47ab55f203025b315fc1916c02e8dc59cded6cc3b8459599a77f7f7a9f8,f9a7b81975a41c25591c10bc948408f23ff4fc01d935d07403e5171b8b18eae2,a08b91304b86a9c1788038195aaf519052a5ec594e9eeb9fed0a95aa5fcddd4e,ed2f1583beddacb704adef028eaf3e493097977c7737e6879119e5c45ed2962d,31bfa15dc81fec773efb3c37b734ad91713032cb395925bccc0a61d0c31a85a0,f420731edc18cd571b8a64517a37ce5d4f562ee36517a3967506d0bcd0d3c3b9,226c015408ae5b15dbcb32083e96d8152a5bddd4f5c3379aa438aeb00a9b448e,0987cc500e5d86bac8b4b16a0e6553b038447186c8dafb8571eb972d83e51809,3e9c4dafd01c80160e79dabe1fcd89478657ce5b1f833606ea8bb8dfbf74a4d2
"1","0","<unit_id>","-850","cmn_surfing","-250","1.75","1","45","501","15010002"
"5","0","6","-850","cmn_surfing","-250","1.75","6","44","501","15010003"
"31","","11","-250","","1","1","11","-850","501","15010004"
"91","","0","","","","","0","","501","15010005"
"2","","1800","6","","","","<unit_id>","-250","501","15010006"
"2","","1800","6","","","","6","-250","501","15010007"
"33","","1800","6","","","","11","-250","501","15010008"
"23","","se_10053800_surfing_wave","","","","","se_10053800","","501","15010009"
"23","","se_fpc_water_random","","","","","se_10053800","","851","18510001"
"1","0","107511","-850","cmn_surfing","-125","1.75","1","45","851","18510002"
"1","0","107611","-1100","cmn_surfing","-250","1.75","1","45","851","18510003"
"1","0","107811","-1350","cmn_surfing","-125","1.75","1","45","851","18510004"
"5","0","1","-850","cmn_surfing","-125","1.75","6","44","851","18510005"
"5","0","2","-1100","cmn_surfing","-250","1.75","6","44","851","18510006"
"5","0","3","-1350","cmn_surfing","-125","1.75","6","44","851","18510007"
"31","","1","-125","","1","1","11","-850","851","18510008"
"31","","2","-250","","1","1","11","-1100","851","18510009"
"31","","3","-125","","1","1","11","-1350","851","18510010"
"2","","2350","6","","","","107511","-125","851","18510011"
"2","","2100","6","","","","107611","-250","851","18510012"
"2","","1850","6","","","","107811","-125","851","18510013"
"2","","2350","6","","","","1","-125","851","18510014"
"2","","2100","6","","","","2","-250","851","18510015"
"2","","1850","6","","","","3","-125","851","18510016"
"33","","2350","6","","","","1","-125","851","18510017"
"33","","2100","6","","","","2","-250","851","18510018"
"33","","1850","6","","","","3","-125","851","18510019"
"23","","se_10053800_surfing_wave","","","","","se_10053800","","851","18510020"
"93","","","","","","","0.3","","851","18510021"
"21","","vo_fpc_85101","0","","","","vo_fpc","","851","18510022"
"23","","se_fpc_water_random","","","","","se_10053800","","852","18520001"
"1","0","122411","-850","cmn_swm_flutterKick_floatRing","-125","1.75","1","13","852","18520002"
"1","0","122511","-1100","cmn_swm_flutterKick_floatRing","-250","1.75","1","33","852","18520003"
"1","0","122611","-1350","cmn_swm_flutterKick_floatRing","-125","1.75","1","13","852","18520004"
"5","0","1","-850","cmn_swm_flutterKick_floatRing","-125","1.75","1","12","852","18520005"
"5","0","2","-1100","cmn_swm_flutterKick_floatRing_blue","-250","1.75","1","32","852","18520006"
"5","0","3","-1350","cmn_swm_flutterKick_floatRing_pink","-125","1.75","1","12","852","18520007"
"31","","1","-125","","1","1","7","-850","852","18520008"
"31","","2","-250","","1","1","1","-1100","852","18520009"
"31","","3","-125","","1","1","7","-1350","852","18520010"
"2","","1750","10","","","","122411","-125","852","18520011"
"2","","1500","10","","","","122511","-250","852","18520012"
"2","","1250","10","","","","122611","-125","852","18520013"
"2","","1750","10","","","","1","-125","852","18520014"
"2","","1500","10","","","","2","-250","852","18520015"
"2","","1250","10","","","","3","-125","852","18520016"
"33","","1750","10","","","","1","-125","852","18520017"
"33","","1500","10","","","","2","-250","852","18520018"
"33","","1250","10","","","","3","-125","852","18520019"
"23","","se_fpc_water_random","","","","","se_10053800","","853","18530001"
"1","0","117211","-850","cmn_swm_breastStroke","-125","1.75","1","12","853","18530002"
"1","0","117311","-1100","cmn_swm_breastStroke","-250","1.75","1","32","853","18530003"
"1","0","117411","-1350","cmn_swm_breastStroke","-125","1.75","1","12","853","18530004"
"31","","1","-125","","1","1","2","-850","853","18530005"
"31","","2","-250","","1","1","2","-1100","853","18530006"
"31","","3","-125","","1","1","2","-1350","853","18530007"
"2","","1750","10","","","","117211","-125","853","18530008"
"2","","1500","10","","","","117311","-250","853","18530009"
"2","","1250","10","","","","117411","-125","853","18530010"
"33","","1750","10","","","","1","-125","853","18530011"
"33","","1500","10","","","","2","-250","853","18530012"
"33","","1250","10","","","","3","-125","853","18530013"
"23","","se_fpc_water_random","","","","","se_10053800","","854","18540001"
"1","0","122711","-850","cmn_swm_flutterKick_floatRing","-125","1.75","1","13","854","18540002"
"1","0","122811","-1100","cmn_swm_flutterKick_floatRing","-250","1.75","1","33","854","18540003"
"1","0","122911","-1350","cmn_swm_flutterKick_floatRing","-125","1.75","1","13","854","18540004"
"5","0","1","-850","cmn_swm_flutterKick_floatBoad","-125","1.75","1","12","854","18540005"
"5","0","2","-1100","cmn_swm_flutterKick_floatBoad_blue","-250","1.75","1","32","854","18540006"
"5","0","3","-1350","cmn_swm_flutterKick_floatBoad","-125","1.75","1","12","854","18540007"
"31","","1","-125","","1","1","7","-850","854","18540008"
"31","","2","-250","","1","1","1","-1100","854","18540009"
"31","","3","-125","","1","1","7","-1350","854","18540010"
"2","","1750","10","","","","122711","-125","854","18540011"
"2","","1500","10","","","","122811","-250","854","18540012"
"2","","1250","10","","","","122911","-125","854","18540013"
"2","","1750","10","","","","1","-125","854","18540014"
"2","","1500","10","","","","2","-250","854","18540015"
"2","","1250","10","","","","3","-125","854","18540016"
"33","","1750","10","","","","1","-125","854","18540017"
"33","","1500","10","","","","2","-250","854","18540018"
"33","","1250","10","","","","3","-125","854","18540019"
"23","","se_fpc_water_random","","","","","se_10053800","","855","18550001"
"1","0","113411","-850","cmn_swm_flutterKick_floatRing","-125","1.75","1","13","855","18550002"
"1","0","113511","-1100","cmn_swm_flutterKick_floatRing","-250","1.75","1","33","855","18550003"
"5","0","1","-850","cmn_swm_flutterKick_floatBoad","-125","1.75","1","12","855","18550004"
"5","0","2","-1100","cmn_swm_flutterKick_floatBoad_blue","-250","1.75","1","32","855","18550005"
"31","","1","-125","","1","1","7","-850","855","18550006"
"31","","2","-250","","1","1","1","-1100","855","18550007"
"2","","1750","10","","","","113411","-125","855","18550008"
"2","","1500","10","","","","113511","-250","855","18550009"
"2","","1750","10","","","","1","-125","855","18550010"
"2","","1500","10","","","","2","-250","855","18550011"
"33","","1750","10","","","","1","-125","855","18550012"
"33","","1500","10","","","","2","-250","855","18550013"
"23","","se_fpc_water_random","","","","","se_10053800","","856","18560001"
"1","0","110311","-850","cmn_swm_tread","-125","1.75","1","13","856","18560002"
"1","0","107711","-1100","cmn_swm_tread","-250","1.75","1","33","856","18560003"
"5","0","1","-850","cmn_swm_tread_pink","-125","1.75","1","12","856","18560004"
"5","0","2","-1100","cmn_swm_tread","-250","1.75","1","32","856","18560005"
"31","","1","-125","","1","1","13","-850","856","18560006"
"31","","2","-250","","1","1","3","-1100","856","18560007"
"2","","1750","13.5","","","","110311","-125","856","18560008"
"2","","1500","13.5","","","","107711","-250","856","18560009"
"2","","1750","13.5","","","","1","-125","856","18560010"
"2","","1500","13.5","","","","2","-250","856","18560011"
"33","","1750","13.5","","","","1","-125","856","18560012"
"33","","1500","13.5","","","","2","-250","856","18560013"
"23","","se_fpc_water_random","","","","","se_10053800","","857","18570001"
"1","0","110411","-850","cmn_swm_tread","-125","1.75","1","13","857","18570002"
"1","0","110511","-1100","cmn_swm_tread","-250","1.75","1","33","857","18570003"
"1","0","115711","-1350","cmn_swm_tread","-125","1.75","1","13","857","18570004"
"1","0","110611","-1600","cmn_boat_relax","-250","1.75","1","33","857","18570005"
"5","0","1","-850","cmn_swm_tread_blue","-125","1.75","1","12","857","18570006"
"5","0","2","-1100","cmn_swm_tread","-250","1.75","1","32","857","18570007"
"5","0","3","-1350","cmn_swm_tread_pink","-125","1.75","1","12","857","18570008"
"5","0","4","-1600","cmn_boat_idle_l","-250","1.75","2","32","857","18570009"
"31","","1","-125","","1","1","13","-850","857","18570010"
"31","","2","-250","","1","1","3","-1100","857","18570011"
"31","","3","-125","","1","1","13","-1350","857","18570012"
"31","","4","-250","","1","1","116","-1600","857","18570013"
"2","","1750","13.5","","","","110411","-125","857","18570014"
"2","","1500","13.5","","","","110511","-250","857","18570015"
"2","","1250","13.5","","","","115711","-125","857","18570016"
"2","","1000","13.5","","","","110611","-250","857","18570017"
"2","","1750","13.5","","","","1","-125","857","18570018"
"2","","1500","13.5","","","","2","-250","857","18570019"
"2","","1250","13.5","","","","3","-125","857","18570020"
"2","","1000","13.5","","","","4","-250","857","18570021"
"33","","1750","13.5","","","","1","-125","857","18570022"
"33","","1500","13.5","","","","2","-250","857","18570023"
"33","","1250","13.5","","","","3","-125","857","18570024"
"33","","1000","13.5","","","","4","-250","857","18570025"
"23","","se_fpc_water_random","","","","","se_10053800","","858","18580001"
"1","0","126711","-850","cmn_swm_tread","-125","1.75","1","13","858","18580002"
"1","0","126711","-850","cmn_swm_tread","-125","1.75","1","13","858","18580003"
"1","0","126811","-1100","cmn_swm_tread","-250","1.75","1","33","858","18580004"
"1","0","108011","-1350","cmn_swm_tread","-125","1.75","1","13","858","18580005"
"1","0","107911","-1600","cmn_boat_cat","-250","1.75","1","33","858","18580006"
"5","0","1","-850","cmn_swm_tread_pink","-125","1.75","1","12","858","18580007"
"5","0","2","-1100","cmn_swm_tread","-250","1.75","1","32","858","18580008"
"5","0","3","-1350","cmn_swm_tread_blue","-125","1.75","1","12","858","18580009"
"5","0","4","-1600","cmn_boat_idle_l","-250","1.75","2","32","858","18580010"
"31","","1","-125","","1","1","13","-850","858","18580011"
"31","","2","-250","","1","1","3","-1100","858","18580012"
"31","","3","-125","","1","1","13","-1350","858","18580013"
"31","","4","-250","","1","1","116","-1600","858","18580014"
"2","","1750","13.5","","","","126711","-125","858","18580015"
"2","","1500","13.5","","","","126811","-250","858","18580016"
"2","","1250","13.5","","","","108011","-125","858","18580017"
"2","","1000","13.5","","","","107911","-250","858","18580018"
"2","","1750","13.5","","","","1","-125","858","18580019"
"2","","1500","13.5","","","","2","-250","858","18580020"
"2","","1250","13.5","","","","3","-125","858","18580021"
"2","","1000","13.5","","","","4","-250","858","18580022"
"33","","1750","13.5","","","","1","-125","858","18580023"
"33","","1500","13.5","","","","2","-250","858","18580024"
"33","","1250","13.5","","","","3","-125","858","18580025"
"33","","1000","13.5","","","","4","-250","858","18580026"
"23","","se_fpc_water_random","","","","","se_10053800","","859","18590001"
"1","0","113111","-850","cmn_surfing","-125","1.75","1","45","859","18590002"
"1","0","113211","-1100","cmn_surfing","-250","1.75","1","45","859","18590003"
"1","0","113311","-1350","cmn_surfing","-125","1.75","1","45","859","18590004"
"1","0","117011","-1600","cmn_surfing","-250","1.75","1","45","859","18590005"
"5","0","1","-850","cmn_surfing","-125","1.75","6","44","859","18590006"
"5","0","2","-1100","cmn_surfing","-250","1.75","6","44","859","18590007"
"5","0","3","-1350","cmn_surfing","-125","1.75","6","44","859","18590008"
"5","0","4","-1600","cmn_surfing","-250","1.75","6","44","859","18590009"
"31","","1","-125","","1","1","11","-850","859","18590010"
"31","","2","-250","","1","1","11","-1100","859","18590011"
"31","","3","-125","","1","1","11","-1350","859","18590012"
"31","","4","-250","","1","1","11","-1600","859","18590013"
"2","","2350","6","","","","113111","-125","859","18590014"
"2","","2100","6","","","","113211","-250","859","18590015"
"2","","1850","6","","","","113311","-125","859","18590016"
"2","","1600","6","","","","117011","-250","859","18590017"
"2","","2350","6","","","","1","-125","859","18590018"
"2","","2100","6","","","","2","-250","859","18590019"
"2","","1850","6","","","","3","-125","859","18590020"
"2","","1600","6","","","","4","-250","859","18590021"
"33","","2350","6","","","","1","-125","859","18590022"
"33","","2100","6","","","","2","-250","859","18590023"
"33","","1850","6","","","","3","-125","859","18590024"
"33","","1600","6","","","","4","-250","859","18590025"
"23","","se_10053800_surfing_wave","","","","","se_10053800","","859","18590026"
"93","","","","","","","0.3","","859","18590027"
"21","","vo_fpc_85901","0","","","","vo_fpc","","859","18590028"
"23","","se_fpc_water_random","","","","","se_10053800","","860","18600001"
"1","0","110011","-850","cmn_boat_relax_l","-180","1.75","1","23","860","18600002"
"1","0","110111","-1200","cmn_boat_relax","-180","1.75","1","23","860","18600003"
"5","0","1","-850","cmn_boat_idle_blue","-180","1.75","2","22","860","18600004"
"5","0","2","-1200","cmn_boat_idle_l","-180","1.75","2","22","860","18600005"
"31","","1","-180","","1","1","116","-850","860","18600006"
"31","","2","-180","","1","1","116","-1200","860","18600007"
"2","","1750","13.5","","","","110011","-180","860","18600008"
"2","","1400","13.5","","","","110111","-180","860","18600009"
"2","","1750","13.5","","","","1","-180","860","18600010"
"2","","1400","13.5","","","","2","-180","860","18600011"
"33","","1750","13.5","","","","1","-180","860","18600012"
"33","","1400","13.5","","","","2","-180","860","18600013"
"93","","","","","","","2.7","","860","18600014"
"21","","vo_fpc_86001","0","","","","vo_fpc","","860","18600015"
"23","","se_fpc_water_random","","","","","se_10053800","","861","18610001"
"1","0","129511","-850","cmn_swm_tread","-125","1.75","1","13","861","18610002"
"1","0","129411","-1100","cmn_swm_tread","-250","1.75","1","33","861","18610003"
"1","0","129311","-1350","cmn_swm_tread","-125","1.75","1","13","861","18610004"
"5","0","1","-850","cmn_swm_tread_pink","-125","1.75","1","12","861","18610005"
"5","0","2","-1100","cmn_swm_tread_blue","-250","1.75","1","32","861","18610006"
"5","0","3","-1350","cmn_swm_tread","-125","1.75","1","12","861","18610007"
"31","","1","-125","","1","1","13","-850","861","18610008"
"31","","2","-250","","1","1","3","-1100","861","18610009"
"31","","3","-125","","1","1","13","-1350","861","18610010"
"2","","1750","13.5","","","","129511","-125","861","18610011"
"2","","1500","13.5","","","","129411","-250","861","18610012"
"2","","1250","13.5","","","","129311","-125","861","18610013"
"2","","1750","13.5","","","","1","-125","861","18610014"
"2","","1500","13.5","","","","2","-250","861","18610015"
"2","","1250","13.5","","","","3","-125","861","18610016"
"33","","1750","13.5","","","","1","-125","861","18610017"
"33","","1500","13.5","","","","2","-250","861","18610018"
"33","","1250","13.5","","","","3","-125","861","18610019"
"23","","se_fpc_water_random","","","","","se_10053800","","862","18620001"
"1","0","126711","-850","cmn_swm_tread","-125","1.75","1","13","862","18620002"
"1","0","126811","-1100","cmn_swm_tread","-250","1.75","1","33","862","18620003"
"5","0","21","-1350","02_neneka_floatRing","-180","1.66","21","22","862","18620004"
"5","0","1","-850","cmn_swm_tread","-125","1.75","1","12","862","18620005"
"5","0","2","-1100","cmn_swm_tread_blue","-250","1.75","1","32","862","18620006"
"31","","1","-125","","1","1","13","-850","862","18620007"
"31","","2","-250","","1","1","3","-1100","862","18620008"
"31","","3","-180","","1","1","102","-1350","862","18620009"
"2","","1750","13.5","","","","126711","-125","862","18620010"
"2","","1500","13.5","","","","126811","-250","862","18620011"
"2","","1250","13.5","","","","21","-180","862","18620012"
"2","","1750","13.5","","","","1","-125","862","18620013"
"2","","1500","13.5","","","","2","-250","862","18620014"
"33","","1750","13.5","","","","1","-125","862","18620015"
"33","","1500","13.5","","","","2","-250","862","18620016"
"33","","1250","13.5","","","","3","-180","862","18620017"
"23","","se_fpc_water_random","","","","","se_10053800","","863","18630001"
"1","1","126911","-1100","cmn_float","-180","1.75","1","22","863","18630002"
"1","0","127011","-1350","cmn_float","-125","1.75","1","12","863","18630003"
"1","0","127111","-1600","cmn_float","-180","1.75","1","22","863","18630004"
"31","","2","-180","","1","1","6","-1070","863","18630005"
"31","","3","-125","","1","1","6","-1350","863","18630006"
"31","","4","-180","","1","1","6","-1600","863","18630007"
"2","","1500","13.5","","","","126911","-180","863","18630008"
"2","","1250","13.5","","","","127011","-125","863","18630009"
"2","","1000","13.5","","","","127111","-180","863","18630010"
"33","","1530","13.5","","","","2","-180","863","18630011"
"33","","1250","13.5","","","","3","-125","863","18630012"
"33","","1000","13.5","","","","4","-180","863","18630013"
"93","","","","","","","2.3","","863","18630014"
"21","","vo_fpc_86301","0","","","","vo_fpc","","863","18630015"
"23","","se_fpc_water_random","","","","","se_10053800","","864","18640001"
"1","0","107811","-850","cmn_surfing","-125","1.75","1","45","864","18640002"
"1","0","110011","-1100","cmn_surfing","-250","1.75","1","45","864","18640003"
"5","0","1","-850","cmn_surfing","-125","1.75","6","44","864","18640004"
"5","0","2","-1100","cmn_surfing","-250","1.75","6","44","864","18640005"
"31","","1","-125","","1","1","11","-850","864","18640006"
"31","","2","-250","","1","1","11","-1100","864","18640007"
"2","","2350","6","","","","107811","-125","864","18640008"
"2","","2100","6","","","","110011","-250","864","18640009"
"2","","2350","6","","","","1","-125","864","18640010"
"2","","2100","6","","","","2","-250","864","18640011"
"33","","2350","6","","","","1","-125","864","18640012"
"33","","2100","6","","","","2","-250","864","18640013"
"23","","se_10053800_surfing_wave","","","","","se_10053800","","864","18640014"
"93","","","","","","","0.2","","864","18640015"
"21","","vo_fpc_86401","0","","","","vo_fpc","","864","18640016"
"23","","se_fpc_water_random","","","","","se_10053800","","865","18650001"
"1","0","110311","-850","cmn_swm_flutterKick_floatRing","-125","1.75","1","13","865","18650002"
"1","0","113111","-1100","cmn_swm_flutterKick_floatRing","-250","1.75","1","33","865","18650003"
"5","0","1","-850","cmn_swm_flutterKick_floatRing_pink","-125","1.75","1","12","865","18650004"
"5","0","2","-1100","cmn_swm_flutterKick_floatRing_blue","-250","1.75","1","32","865","18650005"
"31","","1","-125","","1","1","7","-850","865","18650006"
"31","","2","-250","","1","1","1","-1100","865","18650007"
"2","","1750","10","","","","110311","-125","865","18650008"
"2","","1500","10","","","","113111","-250","865","18650009"
"2","","1750","10","","","","1","-125","865","18650010"
"2","","1500","10","","","","2","-250","865","18650011"
"33","","1750","10","","","","1","-125","865","18650012"
"33","","1500","10","","","","2","-250","865","18650013"
"23","","se_fpc_water_random","","","","","se_10053800","","866","18660001"
"1","0","113411","-850","cmn_swm_flutterKick_floatRing","-125","1.75","1","13","866","18660002"
"1","0","115711","-1100","cmn_swm_flutterKick_floatRing","-250","1.75","1","33","866","18660003"
"5","0","1","-850","cmn_swm_flutterKick_floatRing_pink","-125","1.75","1","12","866","18660004"
"5","0","2","-1100","cmn_swm_flutterKick_floatRing_blue","-250","1.75","1","32","866","18660005"
"31","","1","-125","","1","1","7","-850","866","18660006"
"31","","2","-250","","1","1","1","-1100","866","18660007"
"2","","1750","10","","","","113411","-125","866","18660008"
"2","","1500","10","","","","115711","-250","866","18660009"
"2","","1750","10","","","","1","-125","866","18660010"
"2","","1500","10","","","","2","-250","866","18660011"
"33","","1750","10","","","","1","-125","866","18660012"
"33","","1500","10","","","","2","-250","866","18660013"
"23","","se_fpc_water_random","","","","","se_10053800","","867","18670001"
"1","0","113211","-850","cmn_swm_tread","-125","1.75","1","13","867","18670002"
"1","0","127111","-1100","cmn_swm_tread","-250","1.75","1","33","867","18670003"
"5","0","1","-850","cmn_swm_tread_pink","-125","1.75","1","12","867","18670004"
"5","0","2","-1100","cmn_swm_tread_blue","-250","1.75","1","32","867","18670005"
"31","","1","-125","","1","1","13","-850","867","18670006"
"31","","2","-250","","1","1","3","-1100","867","18670007"
"2","","1750","13.5","","","","113211","-125","867","18670008"
"2","","1500","13.5","","","","127111","-250","867","18670009"
"2","","1750","13.5","","","","1","-125","867","18670010"
"2","","1500","13.5","","","","2","-250","867","18670011"
"33","","1750","13.5","","","","1","-125","867","18670012"
"33","","1500","13.5","","","","2","-250","867","18670013"
"23","","se_fpc_water_random","","","","","se_10053800","","868","18680001"
"1","0","117011","-850","cmn_swm_diving","-125","1.75","1","12","868","18680002"
"1","0","117111","-1100","cmn_swm_diving","-180","1.75","1","22","868","18680003"
"31","","1","-125","","1","1","9","-850","868","18680004"
"31","","2","-180","","1","1","9","-1100","868","18680005"
"2","","1750","13.5","","","","117011","-125","868","18680006"
"2","","1500","13.5","","","","117111","-180","868","18680007"
"33","","1750","13.5","","","","1","-125","868","18680008"
"33","","1500","13.5","","","","2","-180","868","18680009"
"23","","se_fpc_water_random","","","","","se_10053800","","869","18690001"
"1","0","110511","-850","cmn_swm_flutterKick_floatRing","-125","1.75","1","13","869","18690002"
"1","0","110011","-1100","cmn_swm_flutterKick_floatRing","-250","1.75","1","33","869","18690003"
"5","0","1","-850","cmn_swm_flutterKick_floatBoad","-125","1.75","1","12","869","18690004"
"5","0","2","-1100","cmn_swm_flutterKick_floatBoad_blue","-250","1.75","1","32","869","18690005"
"31","","1","-125","","1","1","7","-850","869","18690006"
