d4e7b8d200cb4b0b69c7605d4db4098f25c354c8c2fee32deb967b2790e857aa,086ea1e2fdc6bfac6e457e6ffd8beded8a4d2a5ad75a3dbab1c354f433a1b1a1,80d37ed23f8ed03ea975cb99147b57af6136086d201dd181b01c207e2a5d7fc6,aa3b66e93e2caaec69ea4b343aed8b4d4555c00b290e7c74ade010c6b6797367,f3b7eba64f3ed40e5d804bc792964ff22e51b6baf6920af73108e64fc0fc8426,c114c027b7f2240cb4227eea3c1573ca186f9616dc4adb397b014f257038f2be,2f6d7eaba05f412b7004b337dd418478886efa0d7d1ecede05438e1931a2a9d1,b266cda8e15fe9eaa32cebe9a3da746ab2ab36825c0f0d0bdf3d9fd65f66d0d6,850bd7e6e76235ad580ad218ade829622da052d9fdc055afb936faff93fab75e
"2","2","1","1","0","水を得た","0","3","64"
"2","2","1","1","0","ド級の","0","3","65"
"2","2","0","1","2","ただ者ではない","1","3","66"
"2","2","0","1","0","勇猛なる","1","3","67"
"2","2","0","1","0","ひた走る","1","3","68"
"2","2","0","1","2","目にも留まらぬ","1","3","69"
"2","2","0","1","0","荒波の","1","3","70"
"2","2","0","1","0","レイジオブ","1","3","71"
"2","2","0","1","2","負けず嫌いの","1","3","72"
"2","2","0","1","0","伸び盛りの","1","3","73"
"2","2","0","1","0","型破りの","1","3","74"
"2","2","0","1","0","暴れる","1","3","75"
"2","2","0","1","0","荒れくるう","1","3","76"
"2","2","0","1","0","うわさの","0","3","77"
"2","2","0","1","2","ビーチサイドの","0","3","78"
"2","2","0","1","2","元気はつらつ","0","3","79"
"2","2","0","1","2","常夏を駆ける","0","3","80"
"2","2","0","1","0","マッスル","0","3","81"
"2","2","0","1","0","金波銀波の","0","3","82"
"2","2","0","1","2","生まれながらの","0","3","83"
"2","2","0","1","0","お騒がせの","0","3","84"
"2","2","0","1","0","未知数の","0","3","85"
"2","2","0","1","0","激ヤバ","0","3","86"
"2","2","0","1","0","負けるな","0","3","87"
"2","3","1","1","2","ライトスピード","1","3","88"
"2","3","1","1","1","プロフェッショナル","1","3","89"
"2","3","1","1","0","トップオブ","1","3","90"
"2","3","1","1","2","ゴールドメダル","1","3","91"
"2","3","1","1","2","アルティメット","1","3","92"
"2","3","1","1","0","ザ・ベスト","1","3","93"
"2","3","1","1","2","パーフェクト","1","3","94"
"2","3","1","1","1","100年に1人の","1","3","95"
"2","3","1","1","2","レジェンダリー","1","3","96"
"2","3","1","1","0","超一流の","1","3","97"
"2","3","1","1","0","世界の","1","3","98"
"2","3","1","1","0","選ばれし","1","3","99"
"2","3","1","1","2","アスレチック","0","3","100"
"2","3","1","1","0","偉大なる","0","3","101"
"2","3","1","1","1","スーパーソニック","0","3","102"
"2","3","1","1","0","ウルトラ","0","3","103"
"2","3","1","1","0","MVPの","0","3","104"
"2","3","1","1","0","ジェネラル","0","3","105"
"2","3","1","1","2","オールラウンド","0","3","106"
"2","3","1","1","2","シルバーメダル","0","3","107"
"2","3","1","1","0","聖なる","0","3","108"
"2","3","1","1","2","エクセレント","0","3","109"
"2","3","1","1","0","一流の","0","3","110"
"2","3","1","1","0","マーベラス","0","3","111"
"2","3","0","1","0","スーパー","1","3","112"
"2","3","0","1","0","フライング","1","3","113"
"2","3","0","1","0","グレート","1","3","114"
"2","3","0","1","1","アンストッパブル","1","3","115"
"2","3","0","1","0","カリスマ","1","3","116"
"2","3","0","1","0","万能","1","3","117"
"2","3","0","1","0","新世代の","1","3","118"
"2","3","0","1","0","栄えある","1","3","119"
"2","3","0","1","0","異彩を放つ","1","3","120"
"2","3","0","1","0","いぶし銀の","1","3","121"
"2","3","0","1","0","天下の","1","3","122"
"2","3","0","1","0","レッツゴー","0","3","123"
"2","3","0","1","0","グッド","0","3","124"
"2","3","0","1","1","ホップ・ステップ・","0","3","125"
"2","3","0","1","2","伸びしろのある","0","3","126"
"2","3","0","1","2","ブロンズメダル","0","3","127"
"2","3","0","1","0","期待の","0","3","128"
"2","3","0","1","2","ジャンピング","0","3","129"
"2","3","0","1","0","新時代の","0","3","130"
"2","3","0","1","2","知る人ぞ知る","0","3","131"
