2f3d6c62688beab0dfa907888aaf05d796ba89429c4760d6444494535a46f0a8,99ca381410e3d2350dbb2ec506171112d4333d6a143f75c9aaceb8027058d0fa,c2dc121c266e16ed288a8453468d4872e16448552d571f1598e782c3e76f6159,4417c767c59d571640391eaf9b3901a5573ea7c2096c84a1786ee279fff6bc6f,b61ce2b8da95b4f258e70e2a3c9738632eb398e76fdc62b930c069e26e5852eb,c53c902d8385413c8d0e92b0ab3edcb2162226990159951575f52806197379e6,48f8a66bb264edd6a48973bbcca27a2d9efd366c55a9eea97c1f4dbc86ea39ae,f99bb577bdf672a25ce66888b590694ae40f5107c88758840643b996f6da4c37,c54e09cf1dc4631cfb7cb85601cc1a4fa3b2b5b2e8a69c01ab53ff8e925fe1e0
"-60","0","1","","0","1","160","1.38","610205202"
"-60","0","1","","0","1","160","1.38","610205203"
"0","0","1","","0","1","160","0.94","610205301"
"-60","0","1","","0","1","160","1.38","610205302"
"-60","0","1","","0","1","160","1.38","610205303"
"0","-200","0","","0","2","0","0.9","610205401"
"0","-140","0","","0","3","0","0.9","610205402"
"0","-60","0","","0","4","0","0.9","610205403"
"0","-60","0","","0","5","0","0.9","610205404"
"0","-200","0","","0","2","0","0.9","610205501"
"0","-140","0","","0","3","0","0.9","610205502"
"0","-60","0","","0","4","0","0.9","610205503"
"0","-60","0","","0","5","0","0.9","610205504"
"-80","0","1","","0","1","295","0.86","610206101"
"-50","0","1","","0","1","295","0.68","610206201"
"-50","0","1","","0","1","295","0.68","610206202"
"-80","0","1","","0","1","295","0.86","610206203"
"-50","0","1","","0","1","295","0.68","610206301"
"-50","0","1","","0","1","295","0.68","610206302"
"-80","0","1","","0","1","295","0.86","610206303"
"0","-200","0","","0","2","0","0.85","610206401"
"0","-140","0","","0","3","0","1","610206402"
"0","-60","0","","0","4","0","1","610206403"
"0","-60","0","","0","5","0","1","610206404"
"0","-200","0","","0","6","0","0.78","610206405"
"0","-140","0","","0","7","0","0.78","610206406"
"0","-60","0","","0","8","0","0.78","610206407"
"0","-60","0","","0","9","0","0.78","610206408"
"0","-200","0","","0","2","0","0.85","610206501"
"0","-140","0","","0","3","0","1","610206502"
"0","-60","0","","0","4","0","1","610206503"
"0","-60","0","","0","5","0","1","610206504"
"0","-200","0","","0","6","0","0.78","610206505"
"0","-140","0","","0","7","0","0.78","610206506"
"0","-60","0","","0","8","0","0.78","610206507"
"0","-60","0","","0","9","0","0.78","610206508"
"-17","0","1","","0","1","250","1.35","610207101"
"0","0","1","","0","1","250","0.95","610207201"
"-17","0","1","","0","1","250","1.35","610207202"
"-17","0","1","","0","1","250","1.35","610207203"
"0","0","1","","0","1","250","0.95","610207301"
"-17","0","1","","0","1","250","1.35","610207302"
"-17","0","1","","0","1","250","1.35","610207303"
"-21","-200","0","","0","2","0","0.85","610207401"
"-21","-140","0","","0","3","0","0.85","610207402"
"-21","-60","0","","0","4","0","0.85","610207403"
"-21","-60","0","","0","5","0","0.73","610207404"
"-21","-200","0","","0","2","0","0.85","610207501"
"-21","-140","0","","0","3","0","0.85","610207502"
"-21","-60","0","","0","4","0","0.85","610207503"
"-21","-60","0","","0","5","0","0.73","610207504"
"-90","0","1","","0","1","405","1.01","610208101"
"0","0","0","","0","4","0","0","610208103"
"-90","0","1","","0","1","405","0.9","610208201"
"-90","0","1","","0","1","405","1.01","610208202"
"-90","0","1","","0","1","405","1.01","610208203"
"-90","0","1","","0","1","405","0.9","610208301"
"-90","0","1","","0","1","405","1.01","610208302"
"-90","0","1","","0","1","405","1.01","610208303"
"0","-140","0","","0","2","0","0.78","610208401"
"0","-60","0","","0","3","0","0.78","610208402"
"0","-140","0","","0","2","0","0.78","610208501"
"0","-60","0","","0","3","0","0.78","610208502"
"-14","0","1","","0","1","140","1.3","610209101"
"-15","0","1","","0","1","140","1.15","610209201"
"-14","0","1","","0","1","140","1.3","610209202"
"-14","0","1","","0","1","140","1.3","610209203"
"-15","0","1","","0","1","140","1.15","610209301"
"-14","0","1","","0","1","140","1.3","610209302"
"-14","0","1","","0","1","140","1.3","610209303"
"0","-200","0","","0","2","0","1","610209401"
"0","-140","0","","0","3","0","1","610209402"
"0","-60","0","","0","4","0","1","610209403"
"0","-60","0","","0","5","0","1","610209404"
"0","-200","0","","0","2","0","1","610209501"
"0","-140","0","","0","3","0","1","610209502"
"0","-60","0","","0","4","0","1","610209503"
"0","-60","0","","0","5","0","1","610209504"
"-15","0","1","","0","1","165","1.15","610210101"
"0","0","1","","0","1","165","0.92","610210201"
"-15","0","1","","0","1","165","1.15","610210202"
"-15","0","1","","0","1","165","1.15","610210203"
"0","0","1","","0","1","165","0.92","610210301"
"-15","0","1","","0","1","165","1.15","610210302"
"-15","0","1","","0","1","165","1.15","610210303"
"0","-200","0","","0","2","0","0.68","610210401"
"0","-140","0","","0","3","0","0.68","610210402"
"0","-60","0","","0","4","0","0.68","610210403"
"0","-60","0","","0","5","0","0.68","610210404"
"0","-200","0","","0","2","0","0.68","610210501"
"0","-140","0","","0","3","0","0.68","610210502"
"0","-60","0","","0","4","0","0.68","610210503"
"0","-60","0","","0","5","0","0.68","610210504"
"30","0","1","","0","1","55","0.9","610211101"
"-5","0","1","","0","1","55","0.9","610211201"
"30","0","1","","0","1","55","0.9","610211202"
"30","0","1","","0","1","55","0.9","610211203"
"-5","0","1","","0","1","55","0.9","610211301"
"30","0","1","","0","1","55","0.9","610211302"
"30","0","1","","0","1","55","0.9","610211303"
"0","-40","0","","0","2","0","0.78","610211401"
"0","-10","0","","0","3","0","0.78","610211402"
"0","50","0","","0","4","0","0.78","610211403"
"0","50","0","","0","5","0","0.78","610211404"
"0","-40","0","","0","2","0","0.78","610211501"
"0","-10","0","","0","3","0","0.78","610211502"
"0","50","0","","0","4","0","0.78","610211503"
"0","50","0","","0","5","0","0.78","610211504"
"45","0","1","","0","1","35","0.9","610212101"
"0","0","1","","0","1","35","0.8","610212201"
"45","0","1","","0","1","35","0.9","610212202"
"45","0","1","","0","1","35","0.9","610212203"
"0","0","1","","0","1","35","0.8","610212301"
"45","0","1","","0","1","35","0.9","610212302"
"45","0","1","","0","1","35","0.9","610212303"
"0","-220","0","","0","2","0","0.6","610212401"
"0","-200","0","","0","3","0","0.6","610212402"
"0","-140","0","","0","4","0","0.6","610212403"
"0","-140","0","","0","5","0","0.6","610212404"
"0","-60","0","","0","2","0","0.6","610212405"
"0","-60","0","","0","3","0","0.6","610212406"
"0","-220","0","","0","4","0","0.6","610212501"
"0","-200","0","","0","5","0","0.6","610212502"
"0","-140","0","","0","2","0","0.6","610212503"
"0","-140","0","","0","3","0","0.6","610212504"
"0","-60","0","","0","4","0","0.6","610212505"
"0","-60","0","","0","5","0","0.6","610212506"
"-75","0","1","","0","1","250","1.35","610213101"
"-125","0","1","","0","1","0","0.9","610213151"
"-70","0","1","","0","1","250","1.1","610213201"
"-75","0","1","","0","1","250","1.35","610213204"
"-75","0","1","","0","1","250","1.35","610213207"
"-125","0","1","","0","1","0","0.71","610213251"
"-125","0","1","","0","1","0","0.9","610213252"
"-125","0","1","","0","1","0","0.9","610213253"
"-70","0","1","","0","1","250","1.1","610213301"
"-75","0","1","","0","1","250","1.35","610213304"
"-75","0","1","","0","1","250","1.35","610213307"
"-125","0","1","","0","1","0","0.71","610213351"
"-125","0","1","","0","1","0","0.9","610213352"
"-125","0","1","","0","1","0","0.9","610213353"
"-20","-200","0","","0","2","0","0.7","610213401"
"-20","-140","0","","0","3","0","0.7","610213402"
"-20","-60","0","","0","4","0","0.7","610213403"
"-20","-60","0","","0","5","0","0.7","610213404"
"0","-50","0","","0","2","0","0.78","610213451"
"0","0","0","","0","3","0","0.78","610213452"
"0","100","0","","0","4","0","0.78","610213453"
"0","300","0","","0","5","0","0.78","610213454"
"-20","-200","0","","0","2","0","0.7","610213501"
"-20","-140","0","","0","3","0","0.7","610213502"
"-20","-60","0","","0","4","0","0.7","610213503"
"-20","-60","0","","0","5","0","0.7","610213504"
"0","-50","0","","0","2","0","0.78","610213551"
"0","0","0","","0","3","0","0.78","610213552"
"0","100","0","","0","4","0","0.78","610213553"
"0","300","0","","0","5","0","0.78","610213554"
"0","0","0","","0","6","0","0.78","610213555"
"15","0","1","","0","1","30","1.26","610214101"
"-10","0","1","","0","1","30","1","610214201"
"-10","0","1","","0","1","30","1","610214202"
"15","0","1","","0","1","30","1.26","610214203"
"-10","0","1","","0","1","30","1","610214301"
"-10","0","1","","0","1","30","1","610214302"
"15","0","1","","0","1","30","1.26","610214303"
"0","-40","0","","0","2","0","0.82","610214401"
"0","-10","0","","0","3","0","0.82","610214402"
"0","50","0","","0","4","0","0.82","610214403"
"0","50","0","","0","5","0","0.82","610214404"
"0","-40","0","","0","6","0","0.85","610214405"
"-10","-10","0","","0","7","0","0.85","610214406"
"-10","50","0","","0","8","0","0.85","610214407"
"-10","50","0","","0","9","0","0.85","610214408"
"0","-40","0","","0","2","0","0.82","610214501"
"0","-10","0","","0","3","0","0.82","610214502"
"0","50","0","","0","4","0","0.82","610214503"
"0","50","0","","0","5","0","0.82","610214504"
"0","-40","0","","0","6","0","0.85","610214505"
"-10","-10","0","","0","7","0","0.85","610214506"
"-10","50","0","","0","8","0","0.85","610214507"
"-10","50","0","","0","9","0","0.85","610214508"
"-50","0","1","","0","1","140","1.5","610215101"
"-69","0","1","","0","1","140","1.2","610215201"
"-67","0","1","","0","1","140","1.3","610215202"
"-50","0","1","","0","1","140","1.5","610215203"
"-69","0","1","","0","1","140","1.2","610215301"
"-67","0","1","","0","1","140","1.3","610215302"
"-50","0","1","","0","1","140","1.5","610215303"
"0","-40","0","","0","2","0","0.85","610215401"
"0","-10","0","","0","3","0","0.85","610215402"
"0","50","0","","0","4","0","0.85","610215403"
"0","50","0","","0","5","0","0.85","610215404"
"0","-10","0","","0","6","0","0.8","610215405"
"0","50","0","","0","7","0","0.8","610215406"
"0","-40","0","","0","8","0","0.8","610215407"
"0","-40","0","","0","2","0","0.85","610215501"
"0","-10","0","","0","3","0","0.85","610215502"
"0","50","0","","0","4","0","0.85","610215503"
"0","50","0","","0","5","0","0.85","610215504"
"0","-10","0","","0","6","0","0.8","610215505"
"0","50","0","","0","7","0","0.8","610215506"
"0","-40","0","","0","8","0","0.8","610215507"
"0","0","1","","0","1","170","1.12","610216101"
"-29","0","1","","0","1","170","0.91","610216201"
"0","0","1","","0","1","170","1.12","610216202"
"0","0","1","","0","1","170","1.12","610216203"
"-29","0","1","","0","1","170","0.91","610216301"
"0","0","1","","0","1","170","1.12","610216302"
"0","0","1","","0","1","170","1.12","610216303"
"-13","0","0","","0","2","0","0.85","610216401"
"-13","0","0","","0","3","0","0.85","610216402"
"-13","-40","0","","0","4","0","0.85","610216403"
"-13","0","0","","0","2","0","0.85","610216501"
"-13","0","0","","0","3","0","0.85","610216502"
"-13","-40","0","","0","4","0","0.85","610216503"
