33bd90564e68ab701c841f69c8816b01087a8e21be295aba0b35f3ddcda18df9,e40213f338e6d08f8423d564609f36f088f3175fd2121ec68ee0d67c38d3031b,f4af796bf9e61ff566b32b0c8e273aaab8a17a2a55da8d1164a4edcb228e3d26,ee257ee2c6d560666effefaac7b9737a2b8359a7e548de5ea8840ce433335176,2b0a68feea7e7c820ac25b7af5e21a0f5f3a0ebe807834b39cca264f9d161a54,67cad1b671912634d7013509349fd4941ed66d9e253e15a3bd34a343a800b976,23bd4398d800e039e97f831da321438405b4d50f6218be69d94ad182fd82b2f7,11cd91f6369c00b532204a53400f3959c1a69fc7b5d6eb92ea4787ef5729065c,cc5a226c11a2f112a93422918853667e12983b53e5d141e079f379bef4047067,cbc31c14308c9c65bb3b3f32b17db9085d6e82a238a799afadb89d414f7e62ec,cf58c974364e553b0671be6899655a8be67cb84aff4f2769031196fae2487451
"","vo_minigame_1008","vo_minigame_1008_drama_0302","","2","","0","21","2033","0",""
"1","119931","オマエが勝手に入ってきたの。\nミヤコは悪くないの。\nミヤコの邪魔をするななの……ん？\nオマエ……","0","2","0","1","11","2034","5","0"
"","8","1","","2","","","93","2035","",""
"","119931","psy_miyako_thinking2","0.2","2","","","3","2036","1",""
"","2034","","","2","","","91","2037","",""
"","0","0","","2","","","22","2038","",""
"","106011","psy_talk_sad","0.2","2","","","3","2039","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0308","","2","","0","21","2040","0",""
"0.5","106011","な、何よ……","0","2","0","1","11","2041","8","0"
"","0","","","2","","","91","2042","",""
"","106011","psy_idle_sad","0.2","2","","","3","2043","1",""
"","119931","psy_miyako_run","0.2","2","","","3","2044","1",""
"","119931","0","","2","","2","2","2045","-200","0"
"","2","","","2","","","93","2046","",""
"","119931","psy_miyako_thinking2","0.2","2","","","3","2047","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0303","","2","","0","21","2048","0",""
"1","119931","むむむむむ……\nオマエ、なんかおいしそうなの……","0","2","0","1","11","2049","6","0"
"","0","","","2","","","91","2050","",""
"","0","0","","2","","","22","2051","",""
"","0.5","","","2","","","93","2052","",""
"","106011","psy_talk_sad","0.2","2","","","3","2053","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0309","","2","","0","21","2054","0",""
"0.5","106011","はぁ～？","0","2","0","1","11","2055","8","0"
"","0","","","2","","","91","2056","",""
"","106011","psy_idle_sad","0.2","2","","","3","2057","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0304","","2","","0","21","2058","0",""
"0.5","119931","オマエをプリンにしてやるの～～！！","0","2","0","1","11","2059","6","0"
"","0.5","1","","2","","","93","2060","",""
"","119931","psy_miyako_attack_in","0.2","2","0","psy_miyako_attack_loop","3","2061","0","1"
"","0.2","1","","2","","","93","2062","",""
"","106011","psy_surprise","0.2","2","0.2","psy_idle_surprise2","3","2063","0","1"
"","2059","","","2","","","91","2064","",""
"","0","0","","2","","","22","2065","",""
"","106011","psy_talk_surprise2","0.2","2","","","3","2066","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0310","","2","","0","21","2067","0",""
"0.5","106011","な、なんなのよこの店～～！！","0","2","0","1","11","2068","8","0"
"","0","","","2","","","91","2069","",""
"","106011","0","","2","","","4","2070","",""
"","106011","psy_run_shy","0.2","2","","","3","2071","1",""
"","119931","psy_miyako_attack_loop_move","0.2","2","","","3","2072","1",""
"","106011","1000","","2","","3","2","2073","-220","0"
"","119931","1000","","2","","5","2","2074","-220","0"
"","3.5","","","2","","","93","2075","",""
"","0","0","","2","","","22","2076","",""
"","0","","","2","","","91","2077","",""
"psy_miyako_gasagoso_B","1","119931","1.65","3","1","-250","1","3001","100","-150"
"psy_walk","1","105511","1.7","3","1","340","1","3002","100","-180"
"","1","11","1","3","","0","31","3003","0","1"
"psy_smoke_start","1","1","1.7","3","0","-300","5","3004","101","-220"
"","105511","225","","3","","2","2","3005","-180","0"
"","2","","","3","","","93","3006","",""
"","105511","psy_talk_wish","0.2","3","","","3","3007","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0203","","3","","0","21","3008","0",""
"0.5","105511","こ、ここで先輩が働いてるんですよね？","0","3","0","1","11","3009","8","0"
"","0","","","3","","","91","3010","",""
"","105511","psy_ayumi_kyoro_in","0.2","3","0","psy_ayumi_kyoro_loop","3","3011","0","1"
"","1.8","","","3","","","93","3012","",""
"","105511","psy_talk_joy1","0.2","3","","","3","3013","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0204","","3","","0","21","3014","0",""
"0.5","105511","わぁ、おいしそうなお菓子がたくさん\n並んでますね……先輩が作ったお菓子も\nあったりするのかな？","0","3","0","1","11","3015","8","0"
"","0","","","3","","","91","3016","",""
"","105511","psy_talk_call","0.2","3","","","3","3017","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0205","","3","","0","21","3018","0",""
"0.5","105511","あの……このお菓子一つください。\nあの～すみませ～ん。\n聞こえてないのかな？","0","3","0","1","11","3019","8","0"
"","3","1","","3","","","93","3020","",""
"0","119931","5","0","3","0","1","12","3021","0.8","0"
"","119931","0","","3","","","4","3022","",""
"","119931","psy_miyako_idle_thinking","0","3","","","3","3023","1",""
"","1.5","1","","3","","","93","3024","",""
"","119931","1","","3","","","4","3025","",""
"","119931","psy_miyako_gasagoso_B","0","3","","","3","3026","1",""
"","0.5","1","","3","","","93","3027","",""
"","105511","psy_talk_sad","0.2","3","","","3","3028","1",""
"","3019","","","3","","","91","3029","",""
"","105511","psy_talk_wish","0.2","3","","","3","3030","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0206","","3","","0","21","3031","0",""
"0.5","105511","と、とりあえずお金はおいておきますね\n失礼します！","0","3","0","1","11","3032","8","0"
"","2","1","","3","","","93","3033","",""
"","105511","psy_gasagoso_B2","0.2","3","","","3","3034","1",""
"","1","1","","3","","","93","3035","",""
"","105511","psy_pekori","0.2","3","0.2","psy_idle_normal","3","3036","0","1"
"","3032","","","3","","","91","3037","",""
"","105511","0","","3","","","4","3038","",""
"","105511","psy_run","0.2","3","","","3","3039","1",""
"","105511","1000","","3","","3","2","3040","-180","0"
"","3","","","3","","","93","3041","",""
"","0.5","","","3","","","93","3042","",""
"","119931","psy_miyako_idle_thinking","0","3","","","3","3043","1",""
"","2","","","3","","","93","3044","",""
"","119931","0","","3","","","4","3045","",""
"","119931","psy_miyako_run","0.2","3","","","3","3046","1",""
"","119931","0","","3","","2","2","3047","-165","0"
"","2","","","3","","","93","3048","",""
"","119931","psy_miyako_thinking4","0.2","3","","","3","3049","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0201","","3","","0","21","3050","0",""
"0.5","119931","……？\nいつの間にかお金があるの！\nさっきまでなかったはずなの！\n怖いの！　お化けでも出たの？","0","3","0","1","11","3051","5","0"
"","4","1","","3","","","93","3052","",""
"","119931","psy_miyako_panic1","0.2","3","","","3","3053","1",""
"","3051","","","3","","","91","3054","",""
"","0","0","","3","","","22","3055","",""
"","119931","psy_miyako_surprise2_in","0.2","3","0","psy_miyako_surprise2_loop","3","3056","0","1"
"","vo_minigame_1008","vo_minigame_1008_drama_0202","","3","","0","21","3057","0",""
"1","119931","……！\n急にプリンのアイデアが下りて来たの！\nでも、思い浮かんだ顔は記憶にないの。\nコイツは…………誰なの？","0","3","0","1","11","3058","5","0"
"","4","1","","3","","","93","3059","",""
"","119931","psy_miyako_thinking4","0.2","3","","","3","3060","1",""
"","3058","","","3","","","91","3061","",""
"","0","0","","3","","","22","3062","",""
"","1","","","3","","","93","3063","",""
"","0","","","3","","","91","3064","",""
"psy_miyako_start","1","119931","1.7","4","0","-300","1","4001","100","-200"
"psy_walk","1","107131","1.7","4","1","300","1","4002","100","-220"
"","1","11","1","4","","0","31","4003","0","1"
"psy_smoke_start","1","1","1.7","4","0","-300","5","4004","101","-200"
"","107131","185","","4","","2","2","4005","-220","0"
"","2","","","4","","","93","4006","",""
"","107131","psy_talk_doya","0.2","4","0.2","psy_talk_doya_loop","3","4007","0","1"
"","vo_minigame_1008","vo_minigame_1008_drama_0405","","4","","0","21","4008","0",""
"0.5","107131","この店が話題になっていると聞いて、\nクリスティーナさんが来てやったぞ☆","0","4","0","1","11","4009","8","0"
"","0","","","4","","","91","4010","",""
"","107131","psy_idle_doya","0.2","4","","","3","4011","1",""
"","107131","psy_talk_sad","0.2","4","","","3","4012","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0406","","4","","0","21","4013","0",""
"0.5","107131","……む？　誰もいないではないか。\nせっかくカルミナへの差し入れを\n買いに来たというのに。\nおい、誰かいないのか。","0","4","0","1","11","4014","8","0"
"","6","1","","4","","","93","4015","",""
"","107131","psy_talk_call","0.2","4","","","3","4016","1",""
"","4014","","","4","","","91","4017","",""
"","107131","psy_idle_arm_crossed","0.2","4","","","3","4018","1",""
"","119931","psy_miyako_appear","0","4","0.2","psy_miyako_talk_joy1","3","4019","0","1"
"","1","psy_smoke_appear","0","4","0","psy_smoke_start","3","4020","0","0"
"","vo_minigame_1008","vo_minigame_1008_drama_0401","","4","","0","21","4021","0",""
"0.5","119931","あ！　オマエ！\n大きいプリンくれたヤツなの！\nまたミヤコにプリンを持ってきたの？","0","4","0","1","11","4022","6","0"
"","0","","","4","","","91","4023","",""
"","0","0","","4","","","22","4024","",""
"","119931","psy_miyako_idle","0.2","4","","","3","4025","1",""
"","107131","psy_talk_normal","0.2","4","","","3","4026","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0407","","4","","0","21","4027","0",""
"0.5","107131","おまえは……ああ、いつぞやの\nクリスマスで会ったことがあったな。\n今日はサンタとしてではなく\n客として来たのだ。","0","4","0","1","11","4028","8","0"
"","0","","","4","","","91","4029","",""
"","107131","psy_idle_normal","0.2","4","","","3","4030","1",""
"","119931","psy_miyako_sad1","0.2","4","","","3","4031","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0402","","4","","0","21","4032","0",""
"0.5","119931","プリンをくれないオマエに用はないの。\nおばあちゃんも留守だし、\nおとといきやがれなの。","0","4","0","1","11","4033","6","0"
"","5","1","","4","","","93","4034","",""
"","119931","psy_miyako_talk4","0.2","4","","","3","4035","1",""
"","4033","","","4","","","91","4036","",""
"","0","0","","4","","","22","4037","",""
"","119931","psy_miyako_idle2","0.2","4","","","3","4038","1",""
"","107131","psy_ahaha_in","0.2","4","0.2","psy_ahaha_loop","3","4039","0","1"
"","vo_minigame_1008","vo_minigame_1008_drama_0408","","4","","0","21","4040","0",""
"0.5","107131","はっはっは！\nこのクリスティーナさんに向かって\nずいぶんな物言いだな。おもしろい☆","0","4","0","1","11","4041","8","0"
"","1.7","1","","4","","","93","4042","",""
"","107131","psy_talk_joy1","0.2","4","","","3","4043","1",""
"","4041","","","4","","","91","4044","",""
"","107131","psy_talk_doya","0.2","4","0.2","psy_talk_doya_loop","3","4045","0","1"
"","vo_minigame_1008","vo_minigame_1008_drama_0409","","4","","0","21","4046","0",""
"0.5","107131","なんとしてもおまえからお菓子を\n買わせてもらおう。","0","4","0","1","11","4047","8","0"
"","0","","","4","","","91","4048","",""
"","107131","psy_idle_wish","0.2","4","","","3","4049","1",""
"","119931","psy_miyako_panic1","0.2","4","","","3","4050","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0403","","4","","0","21","4051","0",""
"0.5","119931","なんでそうなるの！？\nいいから帰れなの！","0","4","0","1","11","4052","6","0"
"","0","","","4","","","91","4053","",""
"","0","0","","4","","","22","4054","",""
"","119931","psy_miyako_idle_panic","0.2","4","","","3","4055","1",""
"","107131","psy_cris_approach_in","0.2","4","0","psy_cris_approach_loop","3","4056","0","1"
"","vo_minigame_1008","vo_minigame_1008_drama_0410","","4","","0","21","4057","0",""
"0.5","107131","ほぅ、作りかけのプリンが\nあるではないか。\nうーむ……手作りの差し入れというのも\n喜ばれそうだな。","0","4","0","1","11","4058","8","0"
"","4","1","","4","","","93","4059","",""
"","107131","psy_talk_arm_crossed","0.2","4","0","psy_talk_arm_crossed_loop","3","4060","0","1"
"","4058","","","4","","","91","4061","",""
"","107131","psy_talk_joy1","0.2","4","","","3","4062","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0411","","4","","0","21","4063","0",""
"0.5","107131","よし！　ワタシがプリンを作ろう！\nおまえも手伝え。\nクリスマスの貸しを返してもらおう。","0","4","0","1","11","4064","8","0"
"","0","","","4","","","91","4065","",""
"","107131","psy_idle_joy1","0.2","4","","","3","4066","1",""
"","119931","psy_miyako_anger2","0.2","4","","","3","4067","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0404","","4","","0","21","4068","0",""
"0.5","119931","な、なんでそうなるのーー！？","0","4","0","1","11","4069","6","0"
"","4","","","4","","","93","4070","",""
"","0","","","4","","","91","4071","",""
"psy_miyako_start","1","119931","1.7","5","0","-300","1","5001","100","-200"
"psy_walk","1","104931","1.7","5","1","300","1","5002","100","-220"
"","1","11","1","5","","0","31","5003","0","1"
"psy_smoke_start","1","1","1.7","5","0","-300","5","5004","101","-200"
"","104931","185","","5","","2","2","5005","-220","0"
"","2","","","5","","","93","5006","",""
"","104931","psy_talk_wish","0.2","5","","","3","5007","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0504","","5","","0","21","5008","0",""
"0.5","104931","ここが弟くんとリノちゃんが\n手伝ってるっていうお菓子屋さんだね！\n弟くん！　お姉ちゃんが来たよ！！","0","5","0","1","11","5009","8","0"
"","4.3","1","","5","","","93","5010","",""
"","104931","psy_talk_joy1","0.2","5","","","3","5011","1",""
"","5009","","","5","","","91","5012","",""
"","104931","psy_idle_joy1","0.2","5","","","3","5013","1",""
"","119931","psy_miyako_appear","0","5","0.2","psy_miyako_talk3","3","5014","0","1"
"","1","psy_smoke_appear","0","5","0","psy_smoke_start","3","5015","0","0"
"","vo_minigame_1008","vo_minigame_1008_drama_0501","","5","","0","21","5016","0",""
"0.5","119931","うるさいの。\nいきなりなんなの？","0","5","0","1","11","5017","6","0"
"","0","","","5","","","91","5018","",""
"","0","0","","5","","","22","5019","",""
"","119931","psy_miyako_idle","0.2","5","","","3","5020","1",""
"","104931","psy_talk_joy1","0.2","5","","","3","5021","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0505","","5","","0","21","5022","0",""
"0.5","104931","あっ！　ミヤコちゃんだよね？\nリノちゃんから聞いてるよ！\n初めまして弟くんのお姉ちゃんだよ！","0","5","0","1","11","5023","8","0"
"","4","","","5","","","93","5024","",""
"","104931","psy_talk_wish","0.2","5","","","3","5025","1",""
"","5023","","","5","","","91","5026","",""
"","0","","","5","","","91","5027","",""
"","104931","psy_idle_wish","0.2","5","","","3","5028","1",""
"","119931","psy_miyako_anger3","0.2","5","","","3","5029","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0502","","5","","0","21","5030","0",""
"0.5","119931","オマエがアイツのお姉ちゃんか\nどうかなんてどうでもいいの。\nミヤコはプリン作りに忙しいの。","0","5","0","1","11","5031","6","0"
"","5","1","","5","","","93","5032","",""
"","119931","psy_miyako_arm_crossed_in","0.2","5","0","psy_miyako_arm_crossed_loop","3","5033","0","1]"
"","5031","","","5","","","91","5034","",""
"","0","0","","5","","","22","5035","",""
"","119931","psy_miyako_arm_crossed_idle","0.2","5","","","3","5036","1",""
"","104931","psy_talk_wish","0.2","5","","","3","5037","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0506","","5","","0","21","5038","0",""
"0.5","104931","どうでもいいって反応は初めてで\nお姉ちゃんそれはそれで\n傷ついちゃうな！\n愛の反対は無関心っていうし！","0","5","0","1","11","5039","8","0"
"","0","","","5","","","91","5040","",""
"","104931","psy_talk_joy2","0.2","5","","","3","5041","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0507","","5","","0","21","5042","0",""
"0.5","104931","よーし！\n今からミヤコちゃんに\n弟くんとお姉ちゃんの愛と運命の物語を\nお届けしちゃうよ！","0","5","0","1","11","5043","8","0"
"","0","","","5","","","91","5044","",""
"","104931","psy_talk_memory","0.2","5","","","3","5045","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0508","","5","","0","21","5046","0",""
"0.5","104931","まずはそう、運命の出会いから……","0","5","0","1","11","5047","8","0"
"","0","","","5","","","91","5048","",""
"","104931","psy_idle_memory","0.2","5","","","3","5049","1",""
"","119931","psy_miyako_sad1","0.2","5","","","3","5050","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0503","","5","","0","21","5051","0",""
"0.5","119931","（なんか始まったの……\nめんどくさいからミヤコは消えるの……）","0","5","0","1","11","5052","6","0"
"","0","","","5","","","91","5053","",""
"","0","0","","5","","","22","5054","",""
"","119931","psy_miyako_hide","0.2","5","","","3","5055","0",""
"","1","psy_smoke_hide","0","5","0","psy_smoke_start","3","5056","0","0"
"","2","","","5","","","93","5057","",""
"","0","","","5","","","91","5058","",""
"psy_miyako_idle_thinking","1","119931","1.7","6","1","-300","1","6001","100","-200"
"psy_walk","1","103131","1.7","6","1","300","1","6002","100","-220"
"","1","11","1","6","","0","31","6003","0","1"
"0","119931","17","0","6","0","0","12","6004","2","0"
"","103131","185","","6","","2","2","6005","-220","0"
"","2","","","6","","","93","6006","",""
"","103131","psy_talk_wish","0.2","6","","","3","6007","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0605","","6","","0","21","6008","0",""
"0.5","103131","こんにちは。\nミヤコさんがお菓子屋のお手伝いを\nしていると聞いたので、\n様子を見に来ました。","0","6","0","1","11","6009","8","0"
"","0","","","6","","","91","6010","",""
"","103131","psy_idle_wish","0.2","6","","","3","6011","1",""
"","119931","0","","6","","","4","6012","",""
"","119931","psy_miyako_surprise2_in","0.2","6","0.2","psy_miyako_talk_joy2","3","6013","0","1"
"","1","","","6","","","93","6014","",""
"","vo_minigame_1008","vo_minigame_1008_drama_0601","","6","","0","21","6015","0",""
"0.5","119931","シノブ！　いいところに来たの！\nミヤコちょっと困ってるの！","0","6","0","1","11","6016","6","0"
"","3","1","","6","","","93","6017","",""
"","119931","psy_miyako_talk2","0.2","6","","","3","6018","1",""
"","6016","","","6","","","91","6019","",""
"","0","0","","6","","","22","6020","",""
"","119931","psy_miyako_idle_sad","0.2","6","","","3","6021","1",""
"","103131","psy_talk_sad","0.2","6","","","3","6022","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0606","","6","","0","21","6023","0",""
"0.5","103131","どうしたんですか？\nあ、まさか売り物のプリンを\n食べてしまったんですか？\nそれなら一緒に謝りましょう。","0","6","0","1","11","6024","8","0"
"","0","","","6","","","91","6025","",""
"","103131","psy_idle_sad","0.2","6","","","3","6026","1",""
"","119931","psy_miyako_panic3","0.2","6","","","3","6027","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0602","","6","","0","21","6028","0",""
"0.5","119931","違うの！　ミヤコは今究極のプリンを\n作ろうとしてるの！\nでも、いいアイデアが\n浮かばなくなっちゃったの……","0","6","0","1","11","6029","5","0"
"","5.5","1","","6","","","93","6030","",""
"","119931","psy_miyako_sad2","0.2","6","","","3","6031","1",""
"","6029","","","6","","","91","6032","",""
"","0","0","","6","","","22","6033","",""
"","119931","psy_miyako_idle_sad","0.2","6","","","3","6034","1",""
"","103131","psy_surprise","0.2","6","0.2","psy_talk_surprise1","3","6035","0","1"
"","vo_minigame_1008","vo_minigame_1008_drama_0607","","6","","0","21","6036","0",""
"0.5","103131","ミヤコさんが……自分で……\nプリンを……","0","6","0","1","11","6037","8","0"
"","0","","","6","","","91","6038","",""
"","103131","psy_idle_surprise1","0.2","6","","","3","6039","1",""
"","119931","psy_miyako_talk2","0.2","6","","","3","6040","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0603","","6","","0","21","6041","0",""
"0.5","119931","どうしたの？","0","6","0","1","11","6042","6","0"
"","0","","","6","","","91","6043","",""
"","0","0","","6","","","22","6044","",""
"","119931","psy_miyako_idle","0.2","6","","","3","6045","1",""
"","103131","psy_talk_joy1","0.2","6","","","3","6046","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0608","","6","","0","21","6047","0",""
"0.5","103131","ふふっ、いえ。なんでもありませんよ。\n私で力になれるかはわかりませんが、\n精一杯手伝わせていただきます。","0","6","0","1","11","6048","8","0"
"","4","1","","6","","","93","6049","",""
"","103131","psy_talk_wish","0.2","6","","","3","6050","1",""
"","6048","","","6","","","91","6051","",""
"","103131","psy_idle_wish","0.2","6","","","3","6052","1",""
"","119931","psy_miyako_joy1","0.2","6","","","3","6053","1",""
"","vo_minigame_1008","vo_minigame_1008_drama_0604","","6","","0","21","6054","0",""
"0.5","119931","ありがとうなの！\nシノブとミヤコが揃えば最強なの！\n絶対においしいプリンが\nできるはずなの！","0","6","0","1","11","6055","6","0"
"","5","1","","6","","","93","6056","",""
"","119931","psy_miyako_guts1_in","0.2","6","0","psy_miyako_guts1_loop","3","6057","0","1"
"","6055","","","6","","","91","6058","",""
"","0","0","","6","","","22","6059","",""
"","1.5","","","6","","","93","6060","",""
"","0","","","6","","","91","6061","",""
"psy_miyako_idle","1","119931","1.7","7","0","-200","1","7001","100","-200"
"psy_fairy_idle","1","1","1.7","7","0","125","5","7002","100","-220"
"","1","11","1","7","","0","31","7003","0","1"
"","2","","","7","","","93","7004","",""
