46579b224439cec66a91f5f45dece10d7113af8844190ef3a05e453f210d1fd6,caf569588cb7722bef26ada8046e355a19a92662f4b2e521e7a726cb1bc559b8,2b889f5b7b36784e56c2e03aabcf53b8bbf09ff471622f7d7324767bb93956bf,c2d8a7ab3abafdb6ff950a2dbf6a26779dcec15f940e255eb19b4f9e4eebfe85,86176129910e45155d30ff6be156640f221bb882d48cf32a0a7addf5ca79217d,b4a36db7ad9f60440018a8189b4a7bfc28e8434a487866c7bf2be03073ce22b3,adfb657c96082cefdae5c750a7ffacfef27700a208ad1a13028bf181eb44cbf9,7fe487eb3eca18f71320779c0d9af19bc7b7b9be6b40bfed725f2c74c9daad85,2b02ba444c3af89d30e089dd90d9e7912fd06e9126f9453e755b3c64760ad35d,1856393b3e7d055efb15923b9137d3f6cb1d00c32153d62e79f7c611fc20a92f,a1896c65d0e00d521234516f071800027ce0d531da693186122bd9c03a7a1cdb,169f0e3faa0a9c6df0437f2b68c8b23526f9bf8b0053c162b40212183dba3804
"100700410","1007004","165","1","2","0","0","10","0","0","1.051","334"
"100700411","1007004","0","4","0","0","1","11","0.915","0","0","0"
"100700412","1007004","0","1","3","0","0","12","0","0","0.927","161"
"100700413","1007004","0","4","0","0","1","13","1.701","0","0","0"
"100700414","1007004","161","1","3","0","0","14","0","0","0.905","311"
"100700415","1007004","0","4","0","0","1","15","0.816","0","0","0"
"100700416","1007004","0","1","4","0","0","16","0","0","1.249","329"
"100700417","1007004","0","4","0","0","1","17","1.252","0","0","0"
"100700418","1007004","0","1","5","0","0","18","0","0","0.987","268"
"100700419","1007004","0","4","0","0","1","19","2.864","0","0","0"
"100700420","1007004","0","2","0","vo_svd","0","20","0","vo_svd_0403","0","0"
"100700421","1007004","0","1","6","0","0","21","0","0","2.056","336"
"100700422","1007004","0","4","0","0","1","22","1.844","0","0","0"
"100700423","1007004","0","1","7","0","0","23","0","0","1.963","364"
"100700424","1007004","0","4","0","0","1","24","2.5","0","0","0"
"100700501","1007005","0","4","0","0","1","1","0.8","0","0","0"
"100700502","1007005","0","2","0","vo_svd","0","2","0","vo_svd_0501","0","0"
"100700503","1007005","0","1","1","0","0","3","0","0","1.741","329"
"100700504","1007005","0","4","0","0","1","4","2.972","0","0","0"
"100700505","1007005","0","2","0","vo_svd","0","5","0","vo_svd_0502","0","0"
"100700506","1007005","0","1","2","0","0","6","0","0","1.539","320"
"100700507","1007005","0","4","0","0","1","7","1.258","0","0","0"
"100700508","1007005","0","1","3","0","0","8","0","0","0.762","175"
"100700509","1007005","0","4","0","0","1","9","2.583","0","0","0"
"100700510","1007005","0","2","0","vo_svd","0","10","0","vo_svd_0503","0","0"
"100700511","1007005","0","1","4","0","0","11","0","0","2.131","336"
"100700512","1007005","0","4","0","0","1","12","2.924","0","0","0"
"100700513","1007005","0","1","5","0","0","13","0","0","1.868","329"
"100700514","1007005","0","4","0","0","1","14","3.266","0","0","0"
"100700515","1007005","0","2","0","vo_svd","0","15","0","vo_svd_0504","0","0"
"100700516","1007005","0","1","6","0","0","16","0","0","1.269","275"
"100700517","1007005","0","4","0","0","1","17","2.653","0","0","0"
"100700518","1007005","0","2","0","vo_svd","0","18","0","vo_svd_0505","0","0"
"100700519","1007005","0","1","7","0","0","19","0","0","2.056","336"
"100700520","1007005","0","4","0","0","1","20","1.844","0","0","0"
"100700521","1007005","0","1","8","0","0","21","0","0","1.965","364"
"100700522","1007005","0","4","0","0","1","22","2.5","0","0","0"
"100700601","1007006","0","4","0","0","1","1","0.8","0","0","0"
"100700602","1007006","0","2","0","vo_svd","0","2","0","vo_svd_0601","0","0"
"100700603","1007006","0","1","1","0","0","3","0","0","1.875","336"
"100700604","1007006","0","4","0","0","1","4","3.353","0","0","0"
"100700605","1007006","0","2","0","vo_svd","0","5","0","vo_svd_0602","0","0"
"100700606","1007006","0","1","2","0","0","6","0","0","1.734","336"
"100700607","1007006","0","4","0","0","1","7","1.665","0","0","0"
"100700608","1007006","0","1","3","0","0","8","0","0","1.035","219"
"100700609","1007006","0","4","0","0","1","9","1.893","0","0","0"
"100700610","1007006","248","1","3","0","0","10","0","0","0.821","354"
"100700611","1007006","0","4","0","0","1","11","0.664","0","0","0"
"100700612","1007006","0","1","4","0","0","12","0","0","1.361","275"
"100700613","1007006","0","4","0","0","1","13","1.108","0","0","0"
"100700614","1007006","0","1","5","0","0","14","0","0","1.269","259"
"100700615","1007006","0","4","0","0","1","15","3.112","0","0","0"
"100700616","1007006","0","2","0","vo_svd","0","16","0","vo_svd_0603","0","0"
"100700617","1007006","0","1","6","0","0","17","0","0","2.056","336"
"100700618","1007006","0","4","0","0","1","18","1.844","0","0","0"
"100700619","1007006","0","1","7","0","0","19","0","0","1.965","364"
"100700620","1007006","0","4","0","0","1","20","2.5","0","0","0"
"100700701","1007007","0","4","0","0","1","1","0.8","0","0","0"
"100700702","1007007","0","2","0","vo_svd","0","2","0","vo_svd_0701","0","0"
"100700703","1007007","0","1","1","0","0","3","0","0","0.926","132"
"100700704","1007007","0","4","0","0","1","4","1.549","0","0","0"
"100700705","1007007","132","1","1","0","0","5","0","0","1.457","345"
"100700706","1007007","0","4","0","0","1","6","1.228","0","0","0"
"100700707","1007007","0","1","2","0","0","7","0","0","0.762","168"
"100700708","1007007","0","4","0","0","1","8","2.221","0","0","0"
"100700709","1007007","0","2","0","vo_svd","0","9","0","vo_svd_0702","0","0"
"100700710","1007007","168","1","2","0","0","10","0","0","0.969","347"
"100700711","1007007","0","4","0","0","1","11","0.747","0","0","0"
"100700712","1007007","0","1","3","0","0","12","0","0","2.085","336"
"100700713","1007007","0","4","0","0","1","13","2.932","0","0","0"
"100700714","1007007","0","1","4","0","0","14","0","0","1.436","275"
"100700715","1007007","0","4","0","0","1","15","2.164","0","0","0"
"100700716","1007007","0","1","5","0","0","16","0","0","1.928","356"
"100700717","1007007","0","4","0","0","1","17","1.673","0","0","0"
"100700718","1007007","0","1","6","0","0","18","0","0","1.269","259"
"100700719","1007007","0","4","0","0","1","19","3.156","0","0","0"
"100700720","1007007","0","2","0","vo_svd","0","20","0","vo_svd_0703","0","0"
"100700721","1007007","0","1","7","0","0","21","0","0","2.077","336"
"100700722","1007007","0","4","0","0","1","22","1.841","0","0","0"
"100700723","1007007","0","1","8","0","0","23","0","0","1.965","364"
"100700724","1007007","0","4","0","0","0","24","2.5","0","0","0"
"100700801","1007008","0","4","0","0","1","1","0.8","0","0","0"
"100700802","1007008","0","2","0","vo_svd","0","2","0","vo_svd_0801","0","0"
"100700803","1007008","0","1","1","0","0","3","0","0","2.027","356"
"100700804","1007008","0","4","0","0","1","4","3.309","0","0","0"
"100700805","1007008","0","2","0","vo_svd","0","5","0","vo_svd_0802","0","0"
"100700806","1007008","0","1","2","0","0","6","0","0","1.879","336"
"100700807","1007008","0","4","0","0","1","7","3.041","0","0","0"
"100700808","1007008","0","2","0","vo_svd","0","8","0","vo_svd_0803","0","0"
"100700809","1007008","0","1","3","0","0","9","0","0","1.848","336"
"100700810","1007008","0","4","0","0","1","10","1.437","0","0","0"
"100700811","1007008","0","1","4","0","0","11","0","0","0.796","168"
"100700812","1007008","0","4","0","","1","12","2.532","","0","0"
"100700813","1007008","0","2","0","vo_svd","0","13","0","vo_svd_0804","0","0"
"100700814","1007008","0","1","5","0","0","14","0","0","1.002","101"
"100700815","1007008","0","4","0","0","1","15","2.164","0","0","0"
"100700816","1007008","101","1","5","0","0","16","0","0","1.574","299"
"100700817","1007008","0","4","0","0","1","17","2.164","0","0","0"
"100700818","1007008","0","1","6","0","0","18","0","0","1.269","259"
"100700819","1007008","0","4","0","0","1","19","2.5","0","0","0"
"100700901","1007009","0","4","0","0","1","1","0.8","0","0","0"
"100700902","1007009","0","2","0","vo_svd","0","2","0","vo_svd_0901","0","0"
"100700903","1007009","0","1","1","0","0","3","0","0","2.285","356"
"100700904","1007009","0","4","0","0","1","4","2.031","0","0","0"
"100700905","1007009","0","1","2","0","0","5","0","0","1.362","215"
"100700906","1007009","0","4","0","0","1","6","2.479","0","0","0"
"100700907","1007009","0","2","0","vo_svd","0","7","0","vo_svd_0902","0","0"
"100700908","1007009","0","1","3","0","0","8","0","0","2.004","356"
"100700909","1007009","0","4","0","0","1","9","1.804","0","0","0"
"100700910","1007009","0","1","4","0","0","10","0","0","2.026","266"
"100700911","1007009","0","4","0","0","1","11","2.473","0","0","0"
"100700912","1007009","266","1","4","0","0","12","0","0","0.518","338"
"100700913","1007009","0","4","0","0","1","13","0.556","0","0","0"
"100700914","1007009","0","1","5","0","0","14","0","0","2.021","336"
"100700915","1007009","0","4","0","0","1","15","1.713","0","0","0"
"100700916","1007009","0","1","6","0","0","16","0","0","1.513","250"
"100700917","1007009","0","4","0","0","1","17","1.981","0","0","0"
"100700918","1007009","0","2","0","vo_svd","0","18","0","vo_svd_0903","0","0"
"100700919","1007009","0","1","7","0","0","19","0","0","1.672","279"
"100700920","1007009","0","4","0","0","1","20","1.924","0","0","0"
"100700921","1007009","279","1","7","0","0","21","0","0","0.796","338"
"100700922","1007009","0","4","0","","1","22","1.832","","0","0"
"100700923","1007009","0","2","0","vo_svd","0","23","0","vo_svd_0904","0","0"
"100700924","1007009","0","1","8","0","0","24","0","0","0.703","96"
"100700925","1007009","0","4","0","0","1","25","1.523","0","0","0"
"100700926","1007009","0","2","0","vo_svd","0","26","0","vo_svd_0905","0","0"
"100700927","1007009","96","1","8","0","0","27","0","0","1.198","218"
"100700928","1007009","0","4","0","0","1","28","1.764","0","0","0"
"100700929","1007009","0","2","0","vo_svd","0","29","0","vo_svd_0906","0","0"
"100700930","1007009","0","1","9","0","0","30","0","0","2.335","336"
"100700931","1007009","0","4","0","0","1","31","3.423","0","0","0"
"100700932","1007009","0","2","0","vo_svd","0","32","0","vo_svd_0907","0","0"
"100700933","1007009","0","1","10","0","0","33","0","0","0.682","69"
"100700934","1007009","0","4","0","0","1","34","1.357","0","0","0"
"100700935","1007009","69","1","10","0","0","35","0","0","2.106","336"
"100700936","1007009","0","4","0","0","1","36","1.43","0","0","0"
"100700937","1007009","0","1","11","0","0","37","0","0","2.283","336"
"100700938","1007009","0","4","0","0","1","38","2.989","0","0","0"
"100700939","1007009","0","2","0","vo_svd","0","39","0","vo_svd_0908","0","0"
"100700940","1007009","0","1","12","0","0","40","0","0","1.978","322"
"100700941","1007009","0","4","0","0","1","41","1","0","0","0"
"100701001","1007010","0","4","0","0","1","1","0.8","0","0","0"
"100701002","1007010","0","2","0","vo_svd","0","2","0","vo_svd_1001","0","0"
"100701003","1007010","0","1","1","0","0","3","0","0","2.705","356"
"100701004","1007010","0","4","0","0","1","4","3.154","0","0","0"
"100701005","1007010","0","1","2","0","0","5","0","0","0.918","96"
"100701006","1007010","0","4","0","0","1","6","1.231","0","0","0"
"100701007","1007010","96","1","2","0","0","7","0","0","1.672","356"
"100701008","1007010","0","4","0","0","1","8","3.307","0","0","0"
"100701009","1007010","0","2","0","vo_svd","0","9","0","vo_svd_1002","0","0"
"100701010","1007010","0","1","3","0","0","10","0","0","0.835","131"
"100701011","1007010","0","4","0","0","1","11","1.164","0","0","0"
"100701012","1007010","131","1","3","0","0","12","0","0","1.623","336"
"100701013","1007010","0","4","0","0","1","13","1.712","0","0","0"
"100701014","1007010","0","1","4","0","0","14","0","0","2.294","356"
"100701015","1007010","0","4","0","0","1","15","2.186","0","0","0"
"100701016","1007010","0","1","5","0","0","16","0","0","2.184","322"
"100701017","1007010","0","4","0","0","1","17","3.034","0","0","0"
"100701018","1007010","0","2","0","vo_svd","0","18","0","vo_svd_1003","0","0"
"100701019","1007010","0","1","6","0","0","19","0","0","2.704","356"
"100701020","1007010","0","4","0","0","1","20","2.522","0","0","0"
"100701021","1007010","0","1","7","0","0","21","0","0","1.005","162"
"100701022","1007010","0","4","0","0","1","22","2.617","0","0","0"
"100701023","1007010","0","2","0","vo_svd","0","23","0","vo_svd_1004","0","0"
"100701024","1007010","0","1","8","0","0","24","0","0","0.975","131"
"100701025","1007010","0","4","0","0","1","25","1.202","0","0","0"
"100701026","1007010","131","1","8","0","0","26","0","0","1.214","291"
"100701027","1007010","0","4","0","0","1","27","1.187","0","0","0"
"100701028","1007010","0","1","9","0","0","28","0","0","2.043","345"
"100701029","1007010","0","4","0","0","1","29","3.356","0","0","0"
"100701030","1007010","0","2","0","vo_svd","0","30","0","vo_svd_1005","0","0"
"100701031","1007010","0","1","10","0","0","31","0","0","1.862","155"
"100701032","1007010","0","4","0","0","1","32","2.285","0","0","0"
"100701033","1007010","0","2","0","vo_svd","0","33","0","vo_svd_1006","0","0"
"100701034","1007010","0","1","11","0","0","34","0","0","0.682","85"
"100701035","1007010","0","4","0","0","1","35","1.529","0","0","0"
"100701036","1007010","85","1","11","0","0","36","0","0","1.042","220"
"100701037","1007010","0","4","0","0","1","37","2.384","0","0","0"
"100701038","1007010","0","2","0","vo_svd","0","38","0","vo_svd_1007","0","0"
"100701039","1007010","0","1","12","0","0","39","0","0","1.106","100"
"100701040","1007010","0","4","0","0","1","40","1.891","0","0","0"
"100701041","1007010","100","1","12","0","0","41","0","0","1.322","289"
"100701042","1007010","0","4","0","0","1","42","1","0","0","0"
