16fbd4d6e8dc734373fafaadfa9b7425c3e707ff541ff8dff0fa50bcf1f3537a,06dbd23f19813447dce202f617f5cfb8cfaae63b4131b54113886313e137cde8,fc5f1760513163ca577e61c28ce70e6e62e9293a8b278e76a85d7694d64de836,31bcb55d2eb14743f6780ddab08b76c40aeab222ee1bee7a07c63978ca60ec3d,6b60da089ffff4996522cf90d93c5aaaf8aaef10ef455db4f406bc4ec8ac4af1
"ボスＴＰダウンカット","boss_tp_down_cut","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","74003404","120"
"ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003404","121"
"ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003404","122"
"バトル時間制限","limit_time","バトル時間が50秒になる。","74003405","123"
"ボスUB強化","boss_ub_enhance","ボスモンスターのユニオンバーストが強化される。","74003405","124"
"ボスＴＰダウンカット","boss_tp_down_cut","バトル開始時、ボスモンスターがＴＰダウン100％カット状態になる。","74003405","125"
"ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003405","126"
"ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003405","127"
"ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を小アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003502","128"
"ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を小アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003502","129"
"ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003503","130"
"ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003503","131"
"モンスター1体追加","add_shadow","ルナポッドが追加される。","74003504","132"
"ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003504","133"
"ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003504","134"
"シャドウ1体追加","add_shadow","カイザーインサイトのシャドウが追加される。","74003505","135"
"ボス物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、ボスモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74003505","136"
"ボス魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、ボスモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74003505","137"
"シャドウ強化","star6_shadow","イノリ、サレン、ヨリ、ユニのシャドウに専用装備が追加される。","74004102","138"
"シャドウ1体追加","add_shadow","サレン（サマー）のシャドウが追加される。","74004103","139"
"シャドウ強化","star6_shadow","サレン、ヨリのシャドウが★6になる。","74004103","140"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74004104","141"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74004105","142"
"シャドウ最大ＨＰアップ","max_hp_up","すべてのシャドウの最大ＨＰが大幅に上昇する。","74004105","143"
"モンスター1体追加","add_shadow","シールド・レリックが追加される。","74004202","144"
"シャドウ強化","star6_shadow","ネネカ（ニューイヤー）のシャドウに専用装備が追加される。","74004203","145"
"モンスター強化","boss_ub_enhance","シールド・レリックのスキルが強化される。","74004204","146"
"開始時ＨＰ回復","hp_recover","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","74004204","147"
"開始時ＨＰ回復","hp_recover","バトル開始時、シールド・レリックのが味方全体のＨＰを特大回復させる。","74004205","148"
"開始時ＴＰ継続回復付与","energy_recover","バトル開始時、シールド・レリックのが味方全体に継続ＴＰ回復状態を付与する。","74004205","149"
"モンスター1体追加","add_shadow","アタック・レリックが追加される。","74004302","150"
"シャドウ強化","star6_shadow","リマのシャドウが★6になる。","74004303","151"
"モンスター強化","boss_ub_enhance","アタック・レリックのスキルが強化される。","74004304","152"
"開始時行動速度アップフィールド","boss_haste","バトル開始時、アタック・レリックが味方全体の行動速度を特大アップさせるフィールドを展開する。","74004305","153"
"キャラ最大HPダウン","max_hp_down","パーティキャラの最大HPが20％ダウンする。","74004402","154"
"バトル時間制限","limit_time","バトル時間が75秒になる。","74004403","155"
"キャラ最大HPダウン","max_hp_down","パーティキャラの最大HPが20％ダウンする。","74004403","156"
"バトル時間制限","limit_time","バトル時間が75秒になる。","74004404","157"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74004404","158"
"キャラ最大HPダウン","max_hp_down","パーティキャラの最大HPが20％ダウンする。","74004404","159"
"バトル時間制限","limit_time","バトル時間が60秒になる。","74004405","160"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74004405","161"
"キャラ最大HPダウン","max_hp_down","パーティキャラの最大HPが20％ダウンする。","74004405","162"
"キャラ最大HPダウン","max_hp_down","パーティキャラの最大HPが20％ダウンする。","74004502","163"
"ボスUB・スキル強化","boss_ub_enhance","ボスモンスターのユニオンバーストとスキルが強化される。","74004503","164"
"ボスＴＰダウンカット","boss_tp_down_cut","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004503","165"
"キャラ最大HPダウン","max_hp_down","パーティキャラの最大HPが20％ダウンする。","74004503","166"
"モンスター1体追加","add_shadow","ルナポッドが追加される。","74004504","167"
"ボスＴＰダウンカット","boss_tp_down_cut","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004504","168"
"キャラ最大HPダウン","max_hp_down","パーティキャラの最大HPが20％ダウンする。","74004504","169"
"シャドウ1体追加","add_shadow","アヤネのシャドウが追加される。","74004505","170"
"ボスＴＰダウンカット","boss_tp_down_cut","バトル開始時、ボスモンスターがＴＰダウン50％カット状態になる。","74004505","171"
"キャラ最大HPダウン","max_hp_down","パーティキャラの最大HPが20％ダウンする。","74004505","172"
"シャドウ強化","star6_shadow","リマ、カヤ、イノリ、サレン（サマー）のシャドウに専用装備が追加される。","74005102","173"
"シャドウ強化","star6_shadow","リマ、カヤ、イノリのシャドウが★6になる。","74005103","174"
"物理ダメージカット","boss_physics_cut","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","74005103","175"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74005104","176"
"物理ダメージカット","boss_physics_cut","バトル開始時、すべてのモンスターが物理ダメージ50％カット状態になる。","74005104","177"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74005105","178"
"物理ダメージカット","boss_physics_cut","バトル開始時、すべてのモンスターが物理ダメージ100％カット状態になる。","74005105","179"
"シャドウ強化","star6_shadow","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネ、ミサキ（ハロウィン）のシャドウに専用装備が追加される。","74005202","180"
"シャドウ強化","star6_shadow","ミヤコ、レイ（ニューイヤー）、ユカリ、ハツネのシャドウが★6になる。","74005203","181"
"魔法ダメージカット","boss_magic_cut","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","74005203","182"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74005204","183"
"魔法ダメージカット","boss_magic_cut","バトル開始時、すべてのモンスターが魔法ダメージ50％カット状態になる。","74005204","184"
"編成キャラ数制限","limit_chara_num","編成可能キャラ数が4キャラになる。","74005205","185"
"魔法ダメージカット","boss_magic_cut","バトル開始時、すべてのモンスターが魔法ダメージ100％カット状態になる。","74005205","186"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005301","187"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005301","188"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005301","189"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005301","190"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005301","191"
"モンスター追加","add_shadow","ゼラチナ、エルダークラウドが追加される。","74005302","192"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005302","193"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005302","194"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005302","195"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005302","196"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005302","197"
"モンスター追加","add_shadow","ユカリ、ホマレ（ニューイヤー）が追加される。","74005303","198"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005303","199"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005303","200"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005303","201"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005303","202"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005303","203"
"モンスター追加","add_shadow","ルナポッドが追加される。","74005304","204"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005304","205"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005304","206"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005304","207"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005304","208"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005304","209"
"バトル時間制限","limit_time","バトル時間が60秒になる。","74005305","210"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005305","211"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005305","212"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005305","213"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005305","214"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005305","215"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005401","216"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005401","217"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005401","218"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005401","219"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005401","220"
"モンスター追加","add_shadow","タートルタイラント、ホオズキムシが追加される。","74005402","221"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005402","222"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005402","223"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005402","224"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005402","225"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005402","226"
"モンスター追加","add_shadow","シズル（ノワール）、コッコロ（サマー）が追加される。","74005403","227"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005403","228"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005403","229"
"物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","74005403","230"
"魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","74005403","231"
"ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","74005403","232"
"モンスター追加","add_shadow","ルナポッドが追加される。","74005404","233"
"ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","74005404","234"
"ＴＰ上昇上限付与","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","74005404","235"
