e5155e4bf567d84c7ef0129d3d71d65a770c88f051ab36e0f59438920322d5f0,8cbe28bc2aeba33c4201bf2ab1191f18f5f18ac6e8a61633b92d09b75e03e762,f7a26685396d1c0b89cb9d5986ee0a4a5863d81d7f86685f1c545330af8b4713,abf189bc92a0b07d26d5aaeaf4628c907f0d3920585aa8d81867d5ffb6e70ad2,d9618c4b944c71bb9819450146ea5f688b7ad56c5735b66f4d09b58802215f17,cdc1e4c1ee2057882c01183a8a8be16f328a673be7ae39a20f444930820e064a,90ca4864869587e01505c13533297190d596399ebcf07988bcc8468a6447f614,4518f48816917fd7cad2541c60f0e8c6f5b28a4ca560039900278a9849d8fe2e,404caf8e5fcbf713dc2c6b26971f1b496a4a2292c19478fa4951ee790d549c1a,51d35ed18496fe0446e1b98132fc35c2fa488fc720d26942ffc8343b1497704e
"31","0","……友達、","1","0","6","1","0","0","1010031"
"32","1","","1","1.58333333333333","0","4","0","0","1010032"
"33","0","できるかな？","1","0","8","1","0","0","1010033"
"34","1","","1","1.75","0","4","0","0","1010034"
"1","0","","2","0","0","2","vo_10011600","vo_10011600_0201","1020001"
"2","0","　ごきげんようという挨拶で","2","0","8","1","0","0","1020002"
"3","1","","2","2.375","0","4","0","0","1020003"
"4","0","私のぼっち心は最初から爆発寸前。\n","2","0","8","1","0","0","1020004"
"5","1","","2","4","0","4","0","0","1020005"
"6","0","","2","0","0","2","vo_10011600","vo_10011600_0202","1020006"
"7","0","ところが、","2","0","8","1","0","0","1020007"
"8","1","","2","1.125","0","4","0","0","1020008"
"9","0","なんとそこにBB団の団長さんが登場！","2","0","8","1","0","0","1020009"
"10","1","","2","3.75","0","4","0","0","1020010"
"11","0","","2","0","0","2","vo_10011600","vo_10011600_0203","1020011"
"12","0","　BB団の絆は","2","0","8","1","0","0","1020012"
"13","1","","2","1.875","0","4","0","0","1020013"
"14","0","どんな場所だろうと離れることはないんですね！\n","2","0","8","1","0","0","1020014"
"15","1","","2","3.75","0","4","0","0","1020015"
"16","0","","2","0","0","2","vo_10011600","vo_10011600_0204","1020016"
"17","0","そして、","2","0","8","1","0","0","1020017"
"18","1","","2","1","0","4","0","0","1020018"
"19","0","あの人と一緒にやってきた","2","0","8","1","0","0","1020019"
"20","1","","2","2","0","4","0","0","1020020"
"21","0","聖テレサ女学院","2","0","8","1","0","0","1020021"
"22","1","","2","1.125","0","4","0","0","1020022"
"23","0","（なかよし部）のみなさんとお知り合いに。","2","0","8","1","0","0","1020023"
"24","1","","2","3.5","0","4","0","0","1020024"
"25","0","","2","0","0","2","vo_10011600","vo_10011600_0205","1020025"
"26","0","　なんだかとても個性的な方々で、","2","0","8","1","0","0","1020026"
"27","1","","2","3","0","4","0","0","1020027"
"28","0","仲良くなれるか心配……","2","0","6","1","0","0","1020028"
"29","1","","2","2.83333333333333","0","4","0","0","1020029"
"1","0","","3","0","0","2","vo_10011600","vo_10011600_0301","1030001"
"2","0","　やっちゃった。","3","0","8","1","0","0","1030002"
"3","1","","3","3","0","4","0","0","1030003"
"4","0","","3","0","0","2","vo_10011600","vo_10011600_0302","1030004"
"5","0","　自己紹介というぼっちの前に立ちふさがる巨大な壁。","3","0","8","1","0","0","1030005"
"6","1","","3","5.125","0","4","0","0","1030006"
"7","0","","3","0","0","2","vo_10011600","vo_10011600_0303","1030007"
"8","0","　何度もイメージトレーニングしたのに、","3","0","8","1","0","0","1030008"
"9","1","","3","2.625","0","4","0","0","1030009"
"10","0","ものの見事に玉砕しちゃった。","3","0","8","1","0","0","1030010"
"11","1","","3","2.75","0","4","0","0","1030011"
"12","0","","3","0","0","2","vo_10011600","vo_10011600_0304","1030012"
"13","0","　クラスメイトのみんなの目がこっちを向いた瞬間、","3","0","8","1","0","0","1030013"
"14","1","","3","3.5","0","4","0","0","1030014"
"15","0","頭の中は真っ白、","3","0","8","1","0","0","1030015"
"16","1","","3","2","0","4","0","0","1030016"
"17","0","また訳の分からないことを口にしちゃった。\n","3","0","10","1","0","0","1030017"
"18","1","","3","4.5","0","4","0","0","1030018"
"19","0","","3","0","0","2","vo_10011600","vo_10011600_0305","1030019"
"20","0","みんなは楽しそうに笑ってくれたけど、","3","0","8","1","0","0","1030020"
"21","1","","3","3","0","4","0","0","1030021"
"22","0","これから先が不安……","3","0","8","1","0","0","1030022"
"23","1","","3","2.25","0","4","0","0","1030023"
"1","0","","4","0","0","2","vo_10011600","vo_10011600_0401","1040001"
"2","0","　ユニさんは","4","0","8","1","0","0","1040002"
"3","1","","4","1.75","0","4","0","0","1040003"
"4","0","とっても頭がいい人みたい。","4","0","8","1","0","0","1040004"
"5","1","","4","2.625","0","4","0","0","1040005"
"6","0","","4","0","0","2","vo_10011600","vo_10011600_0402","1040006"
"7","0","　なんだか難しい言葉をよく使ってるんだけど、","4","0","8","1","0","0","1040007"
"8","1","","4","3.75","0","4","0","0","1040008"
"9","0","理解できない単語があったりするし、","4","0","8","1","0","0","1040009"
"10","1","","4","3.125","0","4","0","0","1040010"
"11","0","これからは辞書を持ち歩こうかな？\n","4","0","8","1","0","0","1040011"
"12","1","","4","4","0","4","0","0","1040012"
"13","0","","4","0","0","2","vo_10011600","vo_10011600_0403","1040013"
"14","0","　象牙の塔っていう場所でいつも研究をしてて、","4","0","8","1","0","0","1040014"
"15","1","","4","3.75","0","4","0","0","1040015"
"16","0","普段はそこからほとんど出ないらし\nく、","4","0","8","1","0","0","1040016"
"17","1","","4","3.25","0","4","0","0","1040017"
"18","0","私と同じぼっちの匂いがします。","4","0","8","1","0","0","1040018"
"19","1","","4","3.375","0","4","0","0","1040019"
"20","0","","4","0","0","2","vo_10011600","vo_10011600_0404","1040020"
"21","0","　ぼっちはぼっちを呼ぶ、","4","0","8","1","0","0","1040021"
"22","1","","4","2.5","0","4","0","0","1040022"
"23","0","と","4","0","8","1","0","0","1040023"
"24","1","","4","1.125","0","4","0","0","1040024"
"25","0","誰が言ったのか知らないけど、","4","0","8","1","0","0","1040025"
"26","1","","4","2.75","0","4","0","0","1040026"
"27","0","もしかしたら……\n","4","0","8","1","0","0","1040027"
"28","1","","4","2","0","4","0","0","1040028"
"29","0","","4","0","0","2","vo_10011600","vo_10011600_0405","1040029"
"30","0","同じ宿命を持つ者同士、","4","0","8","1","0","0","1040030"
"31","1","","4","2.375","0","4","0","0","1040031"
"32","0","仲良くなれるかも？","4","0","8","1","0","0","1040032"
"33","1","","4","2.125","0","4","0","0","1040033"
"1","0","","5","0","0","2","vo_10011600","vo_10011600_0501","1050001"
"2","0","　クロエさんは私と同じ","5","0","8","1","0","0","1050002"
"3","1","","5","1.875","0","4","0","0","1050003"
"4","0","エルフ、","5","0","8","1","0","0","1050004"
"5","1","","5","1.5","0","4","0","0","1050005"
"6","0","なんだけど……","5","0","8","1","0","0","1050006"
"7","1","","5","1.625","0","4","0","0","1050007"
"8","0","雰囲気が少し、","5","0","8","1","0","0","1050008"
"9","1","","5","1.375","0","4","0","0","1050009"
"10","0","独特な人。\n","5","0","8","1","0","0","1050010"
"11","1","","5","2.625","0","4","0","0","1050011"
"12","0","","5","0","0","2","vo_10011600","vo_10011600_0502","1050012"
"13","0","もしかしたら同じエルフ同士で仲良くなれるかも、","5","0","8","1","0","0","1050013"
"14","1","","5","3.625","0","4","0","0","1050014"
"15","0","と思ったりもしたんだけど、","5","0","8","1","0","0","1050015"
"16","1","","5","2.125","0","4","0","0","1050016"
"17","0","そもそも話しかけられない！\n","5","0","8","1","0","0","1050017"
"18","1","","5","3.125","0","4","0","0","1050018"
"19","0","","5","0","0","2","vo_10011600","vo_10011600_0503","1050019"
"20","0","あの人が言うには","5","0","8","1","0","0","1050020"
"21","1","","5","1.65","0","4","0","0","1050021"
"22","0","世話焼きで優しい、","5","0","8","1","0","0","1050022"
"23","1","","5","1.625","0","4","0","0","1050023"
"24","0","らしいんだけど……\n","5","0","8","1","0","0","1050024"
"25","1","","5","3.125","0","4","0","0","1050025"
"26","0","","5","0","0","2","vo_10011600","vo_10011600_0504","1050026"
"27","0","そういえばあの、","5","0","8","1","0","0","1050027"
"28","1","","5","2","0","4","0","0","1050028"
"29","0","ぷー……","5","0","8","1","0","0","1050029"
"30","1","","5","1.5","0","4","0","0","1050030"
"31","0","っていうため息（？）、","5","0","8","1","0","0","1050031"
"32","1","","5","2.375","0","4","0","0","1050032"
"33","0","","5","0","0","2","vo_10011600","vo_10011600_0505","1050033"
"34","0","とても言えないけど……\n","5","0","8","1","0","0","1050034"
"35","1","","5","2.375","0","4","0","0","1050035"
"36","0","なんかかわいいな、","5","0","8","1","0","0","1050036"
"37","1","","5","1.375","0","4","0","0","1050037"
"38","0","と思っちゃった。","5","0","8","1","0","0","1050038"
"39","1","","5","1","0","4","0","0","1050039"
"1","0","","6","0","0","2","vo_10011600","vo_10011600_0601","1060001"
"2","0","　チエルさんはリア充。","6","0","8","1","0","0","1060002"
"3","1","","6","2.375","0","4","0","0","1060003"
"4","0","間違いない。\n","6","0","8","1","0","0","1060004"
"5","1","","6","2.5","0","4","0","0","1060005"
"6","0","","6","0","0","2","vo_10011600","vo_10011600_0602","1060006"
"7","0","かわいらしくて友達いっぱい、","6","0","8","1","0","0","1060007"
"8","1","","6","2.5","0","4","0","0","1060008"
"9","0","私のようなぼっちとは対極の人。","6","0","8","1","0","0","1060009"
"10","1","","6","2.875","0","4","0","0","1060010"
"11","0","","6","0","0","2","vo_10011600","vo_10011600_0603","1060011"
"12","0","見つめるだけで目が焼かれちゃいそう。\n","6","0","8","1","0","0","1060012"
"13","1","","6","3.25","0","4","0","0","1060013"
"14","0","","6","0","0","2","vo_10011600","vo_10011600_0604","1060014"
"15","0","面と向かい合ってお話しなんてしようものなら、","6","0","8","1","0","0","1060015"
"16","1","","6","3.5","0","4","0","0","1060016"
"17","0","私のぼっちハートはひび割れ、","6","0","8","1","0","0","1060017"
"18","1","","6","2.5","0","4","0","0","1060018"
"19","0","粉々に砕け散ること間違いなし。\n","6","0","8","1","0","0","1060019"
"20","1","","6","3.875","0","4","0","0","1060020"
"21","0","","6","0","0","2","vo_10011600","vo_10011600_0605","1060021"
"22","0","あのちぇるーん、","6","0","8","1","0","0","1060022"
"23","1","","6","1.75","0","4","0","0","1060023"
"24","0","っていう挨拶、","6","0","8","1","0","0","1060024"
"25","1","","6","1.625","0","4","0","0","1060025"
"26","0","私が口にするとその場で気絶して、","6","0","8","1","0","0","1060026"
"27","1","","6","2.75","0","4","0","0","1060027"
"28","0","天に召されちゃうんじゃないかな……","6","0","8","1","0","0","1060028"
"29","1","","6","3.125","0","4","0","0","1060029"
"1","0","","7","0","0","2","vo_10011600","vo_10011600_0701","1070001"
"2","0","　今日は何から何まで、","7","0","8","1","0","0","1070002"
"3","1","","7","2.375","0","4","0","0","1070003"
"4","0","ユニさんのお世話になっちゃった。\n","7","0","7","1","0","0","1070004"
"5","1","","7","3.28571428571429","0","4","0","0","1070005"
"6","0","","7","0","0","2","vo_10011600","vo_10011600_0702","1070006"
"7","0","クロエさんやチエルさんにからかわれているときとは全然違う、","7","0","8","1","0","0","1070007"
"8","1","","7","4.625","0","4","0","0","1070008"
"9","0","知的で、","7","0","8","1","0","0","1070009"
"10","1","","7","1.5","0","4","0","0","1070010"
"11","0","頼りになる姿をたくさん見た。","7","0","10","1","0","0","1070011"
"12","1","","7","2.4","0","4","0","0","1070012"
"13","0","","7","0","0","2","vo_10011600","vo_10011600_0703","1070013"
"14","0","てきぱきと指示する姿は","7","0","8","1","0","0","1070014"
"15","1","","7","2.375","0","4","0","0","1070015"
"16","0","ギルドマスターであるという貫禄たっぷり。","7","0","8","1","0","0","1070016"
"17","1","","7","3.5","0","4","0","0","1070017"
"18","0","","7","0","0","2","vo_10011600","vo_10011600_0704","1070018"
"19","0","ユニさんだったらきっと、","7","0","8","1","0","0","1070019"
"20","1","","7","2.25","0","4","0","0","1070020"
"21","0","ユニちゃんズの名前を世界中に広めることができると思う。\n\n","7","0","8","1","0","0","1070021"
"22","1","","7","6.625","0","4","0","0","1070022"
"23","0","","7","0","0","2","vo_10011600","vo_10011600_0705","1070023"
"24","0","あれ？","7","0","8","1","0","0","1070024"
"25","1","","7","1.125","0","4","0","0","1070025"
"26","0","　こんなギルド名だったっけ？","7","0","8","1","0","0","1070026"
"27","1","","7","2.75","0","4","0","0","1070027"
"1","0","","8","0","0","2","vo_10011600","vo_10011600_0801","1080001"
"2","0","　初めて会ったときは","8","0","8","1","0","0","1080002"
"3","1","","8","1.75","0","4","0","0","1080003"
"4","0","怖くて話しかけることさえも出来なかったクロエさん。","8","0","8","1","0","0","1080004"
"5","1","","8","4.125","0","4","0","0","1080005"
"6","0","","8","0","0","2","vo_10011600","vo_10011600_0802","1080006"
"7","0","だけど本当はとても優しくて、","8","0","8","1","0","0","1080007"
"8","1","","8","2.75","0","4","0","0","1080008"
"9","0","こんな私のことを気にかけてくれてることが伝わってきた。\n","8","0","8","1","0","0","1080009"
"10","1","","8","5.875","0","4","0","0","1080010"
"11","0","","8","0","0","2","vo_10011600","vo_10011600_0803","1080011"
"12","0","クロエさんのおかげで少しだけだけど、","8","0","8","1","0","0","1080012"
"13","1","","8","3.25","0","4","0","0","1080013"
"14","0","ク\nラスに受け入れてもらえた。\n","8","0","8","1","0","0","1080014"
"15","1","","8","4.25","0","4","0","0","1080015"
"16","0","","8","0","0","2","vo_10011600","vo_10011600_0804","1080016"
"17","0","クロエさんにはご家族がたくさんいるみたい。","8","0","8","1","0","0","1080017"
"18","1","","8","4.125","0","4","0","0","1080018"
"19","0","","8","0","0","2","vo_10011600","vo_10011600_0805","1080019"
"20","0","　確かに、","8","0","8","1","0","0","1080020"
"21","1","","8","1.625","0","4","0","0","1080021"
"22","0","今日のクロエさんは思わずお姉ちゃんと呼んじゃいそうだった！","8","0","8","1","0","0","1080022"
"23","1","","8","4.625","0","4","0","0","1080023"
"1","0","","9","0","0","2","vo_10011600","vo_10011600_0901","1090001"
"2","0","　ちぇるーん。","9","0","8","1","0","0","1090002"
"3","1","","9","3.875","0","4","0","0","1090003"
"4","0","","9","0","0","2","vo_10011600","vo_10011600_0902","1090004"
"5","0","この挨拶を言えるようになれば","9","0","8","1","0","0","1090005"
"6","1","","9","2.75","0","4","0","0","1090006"
"7","0","私もチエルさんみたいな","9","0","8","1","0","0","1090007"
"8","1","","9","2.375","0","4","0","0","1090008"
"9","0","明るくて友達もたくさんいる、","9","0","8","1","0","0","1090009"
"10","1","","9","2.75","0","4","0","0","1090010"
"11","0","私の理想の女性になれるのかな。\n","9","0","8","1","0","0","1090011"
"12","1","","9","4.375","0","4","0","0","1090012"
"13","0","","9","0","0","2","vo_10011600","vo_10011600_0903","1090013"
"14","0","でも","9","0","8","1","0","0","1090014"
"15","1","","9","1.25","0","4","0","0","1090015"
"16","0","この挨拶はまだ私には早いので、","9","0","8","1","0","0","1090016"
"17","1","","9","2.875","0","4","0","0","1090017"
"18","0","今日は書き取りだけしておこう。\n","9","0","8","1","0","0","1090018"
"19","1","","9","4.125","0","4","0","0","1090019"
"20","0","","9","0","0","2","vo_10011600","vo_10011600_0904","1090020"
"21","0","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","9","0","8","1","0","0","1090021"
"22","1","","9","4.125","0","4","0","0","1090022"
"23","0","","9","0","0","2","vo_10011600","vo_10011600_0905","1090023"
"24","0","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","9","0","8","1","0","0","1090024"
"25","1","","9","4.125","0","4","0","0","1090025"
"26","0","","9","0","0","2","vo_10011600","vo_10011600_0906","1090026"
"27","0","ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん\n","9","0","8","1","0","0","1090027"
"28","1","","9","4.125","0","4","0","0","1090028"
"29","0","","9","0","0","2","vo_10011600","vo_10011600_0907","1090029"
"30","0","ちぇるーんちぇるーんちぇるーん","9","0","8","1","0","0","1090030"
"31","1","","9","2.875","0","4","0","0","1090031"
"1","0","","10","0","0","2","vo_10011600","vo_10011600_1001","1100001"
"2","0","　忘れてた忘れてた忘れてた！\n","10","0","8","1","0","0","1100002"
"3","1","","10","2.75","0","4","0","0","1100003"
"4","0","どうしよう特別講座！","10","0","8","1","0","0","1100004"
"5","1","","10","2.25","0","4","0","0","1100005"
"6","0","","10","0","0","2","vo_10011600","vo_10011600_1002","1100006"
"7","0","エルフの森から持ってきたマンドラゴラも逃げちゃったし、","10","0","8","1","0","0","1100007"
"8","1","","10","3.625","0","4","0","0","1100008"
"9","0","何の準備もしてないよ！\n","10","0","8","1","0","0","1100009"
"10","1","","10","2.375","0","4","0","0","1100010"
"11","0","","10","0","0","2","vo_10011600","vo_10011600_1003","1100011"
"12","0","……エルフの森が","10","0","8","1","0","0","1100012"
"13","1","","10","2","0","4","0","0","1100013"
"14","0","私を呼んでる気が……","10","0","8","1","0","0","1100014"
"15","1","","10","2.25","0","4","0","0","1100015"
"16","0","","10","0","0","2","vo_10011600","vo_10011600_1004","1100016"
"17","0","いやダメダメ、","10","0","8","1","0","0","1100017"
"18","1","","10","1.875","0","4","0","0","1100018"
"19","0","ミサト先生の期待を裏切るわけには！\n","10","0","8","1","0","0","1100019"
"20","1","","10","4.125","0","4","0","0","1100020"
"21","0","","10","0","0","2","vo_10011600","vo_10011600_1005","1100021"
"22","0","でも本当にどうしよう、","10","0","8","1","0","0","1100022"
"23","1","","10","3.125","0","4","0","0","1100023"
"24","0","","10","0","0","2","vo_10011600","vo_10011600_1006","1100024"
"25","0","こうなったら","10","0","8","1","0","0","1100025"
"26","1","","10","1.75","0","4","0","0","1100026"
"27","0","ぼっちライフをどう生き抜くかをまとめて","10","0","8","1","0","0","1100027"
"28","1","","10","3.375","0","4","0","0","1100028"
"29","0","発表してみようかな……？","10","0","8","1","0","0","1100029"
"30","1","","10","2.5","0","4","0","0","1100030"
"1","0","","11","0","0","2","vo_10011600","vo_10011600_1101","1110001"
"2","0","　特別講座、","11","0","8","1","0","0","1110002"
"3","1","","11","1.75","0","4","0","0","1110003"
"4","0","終了！\n","11","0","8","1","0","0","1110004"
"5","1","","11","2.625","0","4","0","0","1110005"
"6","0","","11","0","0","2","vo_10011600","vo_10011600_1102","1110006"
"7","0","結果は……","11","0","8","1","0","0","1110007"
"8","1","","11","1.625","0","4","0","0","1110008"
"9","0","成功、","11","0","8","1","0","0","1110009"
"10","1","","11","1.375","0","4","0","0","1110010"
"11","0","だと思う。","11","0","8","1","0","0","1110011"
"12","1","","11","3.125","0","4","0","0","1110012"
"13","0","","11","0","0","2","vo_10011600","vo_10011600_1103","1110013"
"14","0","　それもこれもすべては、","11","0","8","1","0","0","1110014"
"15","1","","11","2.5","0","4","0","0","1110015"
"16","0","手伝ってくれたあの人、","11","0","8","1","0","0","1110016"
"17","1","","11","1.875","0","4","0","0","1110017"
"18","0","そして","11","0","8","1","0","0","1110018"
"19","1","","11","0.875","0","4","0","0","1110019"
"20","0","なかよし部のみなさんのおかげだ。\n","11","0","8","1","0","0","1110020"
"21","1","","11","3","0","4","0","0","1110021"
"22","0","","11","0","0","2","vo_10011600","vo_10011600_1104","1110022"
"23","0","講座が終わった後、","11","0","8","1","0","0","1110023"
"24","1","","11","2.125","0","4","0","0","1110024"
"25","0","たくさんの人に囲まれて怖かったけど、","11","0","8","1","0","0","1110025"
"26","1","","11","3","0","4","0","0","1110026"
"27","0","","11","0","0","2","vo_10011600","vo_10011600_1105","1110027"
"28","0","でも私、","11","0","8","1","0","0","1110028"
"29","1","","11","1.5","0","4","0","0","1110029"
"30","0","いつもみたいに逃げたりしなかった！\n","11","0","8","1","0","0","1110030"
"31","1","","11","3.125","0","4","0","0","1110031"
"32","0","","11","0","0","2","vo_10011600","vo_10011600_1106","1110032"
"33","0","私も少しだけ……","11","0","8","1","0","0","1110033"
"34","1","","11","2","0","4","0","0","1110034"
"35","0","ほんのちょっとだけだけど、","11","0","8","1","0","0","1110035"
"36","1","","11","2.625","0","4","0","0","1110036"
"37","0","成長……","11","0","8","1","0","0","1110037"
"38","1","","11","1.5","0","4","0","0","1110038"
"39","0","できたのかな。","11","0","8","1","0","0","1110039"
"40","1","","11","1.875","0","4","0","0","1110040"
"1","0","","12","0","0","2","vo_10011600","vo_10011600_1201","1120001"
"2","0","　聖テレサ女学院に何の違和感もなく溶け込めるなんて、","12","0","8","1","0","0","1120002"
"3","1","","12","4.25","0","4","0","0","1120003"
"4","0","あの人はやっぱりすごい！\n","12","0","8","1","0","0","1120004"
"5","1","","12","3.5","0","4","0","0","1120005"
"6","0","","12","0","0","2","vo_10011600","vo_10011600_1202","1120006"
"7","0","　廊下を歩いてるとき、","12","0","8","1","0","0","1120007"
"8","1","","12","2.125","0","4","0","0","1120008"
"9","0","他の生徒はあの人を見て驚いた顔をするんだけど、","12","0","8","1","0","0","1120009"
"10","1","","12","3.375","0","4","0","0","1120010"
"11","0","あの人はにこやかに挨拶するんです！\n","12","0","8","1","0","0","1120011"
"12","1","","12","3.125","0","4","0","0","1120012"
"13","0","","12","0","0","2","vo_10011600","vo_10011600_1203","1120013"
"14","0","そこできゃあ、","12","0","8","1","0","0","1120014"
"15","1","","12","1.375","0","4","0","0","1120015"
"16","0","と言われても","12","0","8","1","0","0","1120016"
"17","1","","12","1.25","0","4","0","0","1120017"
"18","0","涼しい顔で手を振り返す！","12","0","8","1","0","0","1120018"
"19","1","","12","2.5","0","4","0","0","1120019"
"20","0","","12","0","0","2","vo_10011600","vo_10011600_1204","1120020"
"21","0","　挨拶さえもできない私とは大違い！\n\n","12","0","8","1","0","0","1120021"
"22","1","","12","4.625","0","4","0","0","1120022"
"23","0","","12","0","0","2","vo_10011600","vo_10011600_1205","1120023"
"24","0","早く私も","12","0","8","1","0","0","1120024"
"25","1","","12","1.25","0","4","0","0","1120025"
"26","0","あんなふうになりたいなぁ……","12","0","8","1","0","0","1120026"
"27","1","","12","2.5","0","4","0","0","1120027"
"1","0","","13","0","0","2","vo_10011600","vo_10011600_1301","1130001"
"2","0","　私が持ってきたマンドラゴラが大変なことに……\n","13","0","8","1","0","0","1130002"
"3","1","","13","4.875","0","4","0","0","1130003"
"4","0","","13","0","0","2","vo_10011600","vo_10011600_1302","1130004"
"5","0","だけど、","13","0","8","1","0","0","1130005"
"6","1","","13","1.25","0","4","0","0","1130006"
"7","0","あの人となかよし部のみなさんが力を貸してくれたおかげで、","13","0","8","1","0","0","1130007"
"8","1","","13","4","0","4","0","0","1130008"
"9","0","大きな\n被害が出る前に食い止めることができた。","13","0","8","1","0","0","1130009"
"10","1","","13","5","0","4","0","0","1130010"
"11","0","","13","0","0","2","vo_10011600","vo_10011600_1303","1130011"
"12","0","　みなさんは","13","0","8","1","0","0","1130012"
"13","1","","13","1.45","0","4","0","0","1130013"
"14","0","下心があったなんて言ってたけど、","13","0","8","1","0","0","1130014"
"15","1","","13","2.75","0","4","0","0","1130015"
"16","0","そんなことは関係ないと思う。\n","13","0","8","1","0","0","1130016"
"17","1","","13","3.25","0","4","0","0","1130017"
"18","0","","13","0","0","2","vo_10011600","vo_10011600_1304","1130018"
"19","0","こうして一緒に戦うことができて、","13","0","8","1","0","0","1130019"
"20","1","","13","2.75","0","4","0","0","1130020"
"21","0","私は嬉しかった。\n","13","0","8","1","0","0","1130021"
"22","1","","13","2.5","0","4","0","0","1130022"
"23","0","","13","0","0","2","vo_10011600","vo_10011600_1305","1130023"
"24","0","なんだか……","13","0","8","1","0","0","1130024"
"25","1","","13","1.75","0","4","0","0","1130025"
"26","0","仲間、","13","0","8","1","0","0","1130026"
"27","1","","13","1.375","0","4","0","0","1130027"
"28","0","になれたみたいで。","13","0","8","1","0","0","1130028"
"29","1","","13","2.125","0","4","0","0","1130029"
"1","0","","14","0","0","2","vo_10011600","vo_10011600_1401","1140001"
"2","0","　今日は","14","0","8","1","0","0","1140002"
"3","1","","14","1.5","0","4","0","0","1140003"
"4","0","聖テレサ女学院に通う最終日","14","0","7","1","0","0","1140004"
"5","1","","14","3.60714285714286","0","4","0","0","1140005"
"6","0","……だった。\n","14","0","8","1","0","0","1140006"
"7","1","","14","3.25","0","4","0","0","1140007"
"8","0","","14","0","0","2","vo_10011600","vo_10011600_1402","1140008"
"9","0","最初にミサト先生からお願いされたときは","14","0","8","1","0","0","1140009"
"10","1","","14","3.375","0","4","0","0","1140010"
"11","0","絶対ムリだと思ってた。","14","0","8","1","0","0","1140011"
"12","1","","14","3.125","0","4","0","0","1140012"
"13","0","","14","0","0","2","vo_10011600","vo_10011600_1403","1140013"
"14","0","　だけど今は名残惜しくて、","14","0","8","1","0","0","1140014"
"15","1","","14","2.625","0","4","0","0","1140015"
"16","0","こうして日記を書いている。\n","14","0","8","1","0","0","1140016"
"17","1","","14","3.375","0","4","0","0","1140017"
"18","0","","14","0","0","2","vo_10011600","vo_10011600_1404","1140018"
"19","0","　目を閉じると、","14","0","8","1","0","0","1140019"
"20","1","","14","2","0","4","0","0","1140020"
"21","0","あの人や","14","0","8","1","0","0","1140021"
"22","1","","14","1.5","0","4","0","0","1140022"
"23","0","なかよし部のみなさん、","14","0","8","1","0","0","1140023"
"24","1","","14","2.125","0","4","0","0","1140024"
