36726386885f010e2febd96f43f72551eef6981abf342dce831dc4521fe730f7,51fefd911ae618b35e9bb1e89efa23dcfb3f9bef3346ef0bd9a26e520a381d5f,bd73e66755972d73e35a3f256bc0f8adebad2fb9cf7b87ed0ec92f3499701e55,6496fe337b1d7dde7ddb06e5ac3d744f5d05cd3e974b328aacdb096f09a9d764,385fe038509a4b96fc66f1e5ab59dec5348e351a341663473888ab82b23ba9c5,152279b99a464e60a677200bb5936591db17ec65a37e3e380b78a07dbbac413f,07cee127139aa740f0c1686b3757b5fc8a77b397233658ca8110647f2fde9221,57640a5df0ee009578f8a3b512192f67028956b896be2f61d6d4614203b7e7cb,2d82e7aac9f32e53c49be35d6e07dce7c36792f17434181d47a3eb6ea852ce6a,06c5eccedb4ecd38d0bdf2b2e263a1191a0ba8c093fea58bf44386aedfccf6dd,21a2e73ce4efb3a29ac18ef8c5e13abfff66bd6ab99c0cb620bfccb120cc17b3
"2","ストーリーへ","2021/09/24 21:00:00","イベントスペシャルエピソード","1007501","10075","2021/09/30 11:59:59","5048","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","イベント「ハッピー・チェンジ・エンジェルズ」の\nエンディングを読むと、特別なエピソードが解放されます。","0"
"3","ストーリーへ","2021/09/24 21:00:00","イベントスペシャルエピソード","1007502","10075","2021/09/30 11:59:59","5048","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","イベント「ハッピー・チェンジ・エンジェルズ」で\nラフィからお手紙が届きました！","0"
"5","イベントへ","2022/01/14 21:00:00","集合写真追加","1008201","10082","2022/01/18 14:59:59","1004","","「みんなでおせちパーティー」に\n集合写真が追加されました。","5082601"
"4","ストーリーへ","2022/01/25 21:00:00","イベントスペシャルエピソード","1008301","10083","2022/01/31 11:59:59","5056","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。","5056601"
"3","ストーリーへ","2022/03/16 12:00:00","イベントスペシャルエピソード","1008901","10089","2022/03/25 14:59:59","5061","エクストラストーリーから\n特別なストーリーをご覧いただけます。","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","5061601"
"5","ストーリーへ","2022/03/23 21:00:00","イベントスペシャルエピソード","1008902","10089","2022/03/25 14:59:59","10089","","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","5061602"
"3","ストーリーへ","2022/03/25 15:00:00","イベントスペシャルエピソード","1008903","10089","2022/03/31 11:59:59","5061","エクストラストーリーから\n特別なストーリーをご覧いただけます。","イベント「シンデレラレッスン　華やかなる日々はリンゴ\nの味」のスペシャルエピソードが解放されました。","5061601"
"5","ストーリーへ","2022/05/14 21:00:00","イベントスペシャルエピソード","1009201","10092","2022/05/18 14:59:59","10092","","イベント「エピソード・オブ・パイレーツ　海賊島の呪われし\n遺宝」のスペシャルエピソードが解放されました。","5092601"
"5","ストーリーへ","2022/09/14 21:00:00","イベントスペシャルエピソード","1010001","10100","2022/09/18 14:59:59","10100","","イベント「マホマホ・ミラクル・ジャーニー！　旅する少女と\n最果ての大樹」のスペシャルエピソードが解放されました。","5100601"
"5","イベントへ","2023/01/23 21:00:00","集合写真追加","1010901","10109","2023/01/25 14:59:59","1004","","「みんなでおせちパーティー」に\n集合写真が追加されました。","5082601"
"5","ストーリーへ","2023/05/23 21:00:00","イベントスペシャルエピソード","1011901","10119","2023/05/25 14:59:59","10119","","イベント「エピソード・オブ・パイレーツ　海賊島の呪われし\n遺宝」のスペシャルエピソードが解放されました。","5092601"
"5","ストーリーへ","2023/09/25 21:00:00","イベントスペシャルエピソード","1012701","10127","2023/09/27 14:59:59","10127","","イベント「マホマホ・ミラクル・ジャーニー！　旅する少女と\n最果ての大樹」のスペシャルエピソードが解放されました。","5100601"
"4","ストーリーへ","2022/01/25 21:00:00","イベントスペシャルエピソード","2003201","20032","2022/01/31 11:59:59","5056","エクストラストーリーからも\n特別なストーリーをご覧いただけます。","イベント「新春グルメプリンセス！　一投にかけた乙女たち」\nのスペシャルエピソードが解放されました。","5056601"
