dce379ec8b0c6fdd64ab69be17158238e7591b21986593e550d531d3adc00872,d9be8f48ddd496ee7d2399b67ae196a569412e994cb221ad1722e1fa0ff42f25,14153e7a0d0afe04149b9270b7371b72ce714a6f43245f41141f9834dc83d14d,37aba501f67cf2354869f5d0e6072fcd2b601464852fead5500f2653347fdad3,0014c9c3c4fe83dee3da482b9aae2b553136ed88b636dfc956b25d2df25c0cc0,a36eafd46ef56110b1fe37df80912000b91803165a4a8a4bcbee38aacdb74edf,8cce3fb95965a5d40a5ab2d47d5f6d836512ea55e8e4fc851c6d4fd90c084721,96f751b2faddca6a976a36fe5ad12d8485cef8a0ca8b4f6afb8e2ce4bde4eea6,9a55bae501884832c3f0952a6234ba2ad2ce91003d749794224e7903824e2887,aec696fffcb3fcb425e13fe5bc21b50a2cf7106290929803fa5caf5a9f41f584,b4ff44a5d84036a6681819a5c690576df5b9c65aff268e9edae34485d9f56cbe
"102008","","0","","0","vo_minigame_1007_top_talk_2_003","vo_minigame_1007","21","102","",""
"102009","0","0","0","5","ライブ会場に到着です\n随分と大きくて\n開放的ですね…","105911","11","102","0","0"
"102010","0.2","","","1","cgg_idle_surprise1","1","3","102","",""
"102011","0.2","","","0","cgg_lookup","105911","3","102","",""
"102012","","","","","0","2.6","93","102","",""
"102013","0.2","","","1","cgg_talk_wish_surprise","105911","3","102","",""
"102014","","","","","","102009","91","102","",""
"102015","0.4","","","1","cgg_idle_def","105911","3","102","",""
"102016","","0","","0","vo_minigame_1007_top_talk_2_004","vo_minigame_1007","21","102","",""
"102017","0","0","0","5","カルミナのライブ……\nふふっ、楽しみね。\nあ、ちょっとグッズを\n見てきていいかしら。","106411","11","102","0","0"
"102018","0.2","","","1","cgg_idle_reaction1","1","3","102","",""
"102019","0.2","","","1","cgg_talk_surprise1","106411","3","102","",""
"102020","","","","","0","2.6","93","102","",""
"102021","0.2","cgg_idle_nod","0","0","cgg_talk_nod","1","3","102","1",""
"102022","0.2","","","1","cgg_talk_joy3_blink","106411","3","102","",""
"102023","","","","","0","3.2","93","102","",""
"102024","0.2","","","1","cgg_idle_reaction5","1","3","102","",""
"102025","0.2","","","1","cgg_talk_normal","106411","3","102","",""
"102026","","","","","","102017","91","102","",""
"102027","","","","","0","0.5","93","102","",""
"102028","0.2","","","1","cgg_idle_def","106411","3","102","",""
"102029","0.2","","","1","cgg_idle_normal","1","3","102","",""
"102030","0.2","","","1","cgg_talk_joy3_blink","105911","3","102","",""
"102031","0.2","","","1.4","10","105911","12","102","",""
"102032","","","","","0","3","93","102","",""
"102033","0.2","","","1","cgg_idle_def","105911","3","102","",""
"102034","0.2","","","1","cgg_talk_joy1","106411","3","102","",""
"102035","0.2","","","1.4","11","106411","12","102","",""
"102036","","","","","0","3","93","102","",""
"102037","0.2","","","1","cgg_idle_def","106411","3","102","",""
"102038","0.2","","","1","cgg_idle_surprise3","1","3","102","",""
"102039","0.2","","","1.4","6","1","12","102","",""
"102040","","","","","0","3","93","102","",""
"102041","","","","","0","102029","101","102","",""
"102042","","","","","0.5","0","22","102","",""
"102043","0.1","1","0","1","1","1","6","102","0",""
"102044","0.1","1","0","1","1","105911","6","102","0",""
"102045","0.1","1","0","1","1","106411","6","102","0",""
"102046","","","","","0","0.1","93","102","",""
"102047","0","","","1","cgg_idle_normal","1","3","102","",""
"102048","0","","","1","cgg_idle_def","105911","3","102","",""
"102049","0","","","1","cgg_idle_def","106411","3","102","",""
"103001","160","-420","0","100","1","1","5","103","-230","cgg_idle_normal"
"103002","1.6","375","1","100","100211","1","1","103","-230","cgg_idle_def"
"103003","1.6","490","1","101","100111","1","1","103","-230","cgg_idle_def"
"103004","0.1","1","0","1","1","1","6","103","1",""
"103005","0.1","1","0","1","1","100211","6","103","1",""
"103006","0.1","1","0","1","1","100111","6","103","1",""
"103007","","","","","0","0.2","93","103","",""
"103008","","0","","0","vo_minigame_1007_top_talk_3_005","vo_minigame_1007","21","103","",""
"103009","0","0","0","6","次は何が出るのかな？\n楽しみだね、\nヒヨリちゃん","100211","11","103","0","0"
"103010","0.2","","","1","cgg_idle_surprise1","1","3","103","",""
"103011","0.2","","","1","cgg_talk_wish","100211","3","103","",""
"103012","","","","","0","2.4","93","103","",""
"103013","0.2","","","1","cgg_talk_joy3","100211","3","103","",""
"103014","","","","","","103009","91","103","",""
"103015","0.2","","","1","cgg_idle_def","100211","3","103","",""
"103016","","0","","0","vo_minigame_1007_top_talk_3_006","vo_minigame_1007","21","103","",""
"103017","0","0","0","5","そうだねユイちゃん！\nよーっし、どんどん\n回しまくるよー！\nぐるぐるぐるー♪","100111","11","103","0","0"
"103018","0.2","","","1","cgg_idle_reaction5","1","3","103","",""
"103019","0.2","","","1","cgg_talk_joy1","100111","3","103","",""
"103020","","","","","0","2.5","93","103","",""
"103021","0.2","cgg_idle_guts","0","0","cgg_talk_guts_NoBlink","100111","3","103","1",""
"103022","","","","","0","4","93","103","",""
"103023","0.2","cgg_idle_reaction3","0.2","0","cgg_joy","1","3","103","1",""
"103024","0.2","","","1","cgg_talk_joy2","100111","3","103","",""
"103025","","","","","","103017","91","103","",""
"103026","","","","","0","0.7","93","103","",""
"103027","0.2","","","1","cgg_idle_normal","1","3","103","",""
"103028","0.2","","","1","cgg_idle_def","100111","3","103","",""
"103029","0.2","","","1","cgg_idle_bitter3","100211","3","103","",""
"103030","0.2","","","1.4","1","100211","12","103","",""
"103031","","","","","0","3","93","103","",""
"103032","0.2","","","1","cgg_idle_def","100211","3","103","",""
"103033","0.2","cgg_idle_reaction1","0.2","0","cgg_talk_handsup","1","3","103","1",""
"103034","0.2","","","1.4","10","1","12","103","",""
"103035","","","","","0","3","93","103","",""
"103036","0.2","","","1","cgg_idle_normal","1","3","103","",""
"103037","0.2","","","1","cgg_idle_joy3","100111","3","103","",""
"103038","0.2","","","1.4","6","100111","12","103","",""
"103039","","","","","0","3","93","103","",""
"103040","","","","","0","103028","101","103","",""
"103041","","","","","0.5","0","22","103","",""
"103042","0.1","1","0","1","1","1","6","103","0",""
"103043","0.1","1","0","1","1","100211","6","103","0",""
"103044","0.1","1","0","1","1","100111","6","103","0",""
"103045","","","","","0","0.1","93","103","",""
"103046","0","","","1","cgg_idle_normal","1","3","103","",""
"103047","0","","","1","cgg_idle_def","100211","3","103","",""
"103048","0","","","1","cgg_idle_def","100111","3","103","",""
"104001","160","-420","0","100","1","1","5","104","-230","cgg_idle_normal"
"104002","1.6","375","1","100","100111","1","1","104","-230","cgg_idle_def"
"104003","1.6","490","1","101","100311","1","1","104","-230","cgg_idle_def"
"104004","0.1","1","0","1","1","1","6","104","1",""
"104005","0.1","1","0","1","1","100111","6","104","1",""
"104006","0.1","1","0","1","1","100311","6","104","1",""
"104007","","","","","0","0.2","93","104","",""
"104008","","0","","0","vo_minigame_1007_top_talk_4_007","vo_minigame_1007","21","104","",""
"104009","0","0","0","5","ねーねーレイさん、\nもっかい引いていい？","100111","11","104","0","0"
"104010","0.2","","","1","cgg_idle_reaction2","1","3","104","",""
"104011","0.2","","","1","cgg_talk_joy3_dere","100111","3","104","",""
"104012","","","","","0","2.7","93","104","",""
"104013","0.2","cgg_idle_guts2","0","0","cgg_talk_guts2","1","3","104","1",""
"104014","0.2","","","1","cgg_talk_normal_dere2","100111","3","104","",""
"104015","","","","","","104009","91","104","",""
"104016","","0","","0","vo_minigame_1007_top_talk_4_008","vo_minigame_1007","21","104","",""
"104017","0","0","0","5","ダメだよヒヨリ。\n次は私の番なんだから\n…ふふ、意外に夢中に\nなってしまうね","100311","11","104","0","0"
"104018","0.2","","","1","cgg_idle_reaction2","1","3","104","",""
"104019","0.2","cgg_idle_def","0","0","cgg_No","100311","3","104","1",""
"104020","","","","","0","0.8","93","104","",""
"104021","0.2","","","1","cgg_idle_surprise2","100111","3","104","",""
"104022","","","","","0","0.9","93","104","",""
"104023","0.2","cgg_idle_surprise2","0","0","cgg_surprise2","1","3","104","1",""
"104024","0.2","cgg_idle_arm_crossed2","0","0","cgg_talk_arm_crossed2","100311","3","104","1",""
"104025","","","","","0","2.5","93","104","",""
"104026","0.2","","","1","cgg_idle_bitter","100311","3","104","",""
"104027","","","","","0","2","93","104","",""
"104028","0.2","cgg_idle_nod","0","0","cgg_talk_nod","1","3","104","1",""
"104029","","","","","","104017","91","104","",""
"104030","","","","","0","0.5","93","104","",""
"104031","0.2","","","1","cgg_idle_def","100311","3","104","",""
"104032","0.2","","","1","cgg_idle_normal","1","3","104","",""
"104033","0.2","","","1","cgg_idle_anger","100111","3","104","",""
"104034","0.2","","","1.4","17","100111","12","104","",""
"104035","","","","","0","3","93","104","",""
"104036","0.2","","","1","cgg_idle_def","100111","3","104","",""
"104037","0.2","","","1","cgg_idle_bitter4","100311","3","104","",""
"104038","0.2","","","1.4","2","100311","12","104","",""
"104039","","","","","0","3","93","104","",""
"104040","0.2","","","1","cgg_idle_def","100311","3","104","",""
"104041","0.2","","","1","cgg_idle_surprise2","1","3","104","",""
"104042","0.2","","","1.4","1","1","12","104","",""
"104043","","","","","0","3","93","104","",""
"104044","","","","","0","104032","101","104","",""
"104045","","","","","0.5","0","22","104","",""
"104046","0.1","1","0","1","1","1","6","104","0",""
"104047","0.1","1","0","1","1","100111","6","104","0",""
"104048","0.1","1","0","1","1","100311","6","104","0",""
"104049","","","","","0","0.1","93","104","",""
"104050","0","","","1","cgg_idle_normal","1","3","104","",""
"104051","0","","","1","cgg_idle_def","100111","3","104","",""
"104052","0","","","1","cgg_idle_def","100311","3","104","",""
"105001","160","-420","0","100","1","1","5","105","-230","cgg_idle_normal"
"105002","1.6","375","1","100","100211","1","1","105","-230","cgg_idle_def"
"105003","1.6","490","1","101","105811","1","1","105","-230","cgg_idle_def"
"105004","0.1","1","0","1","1","1","6","105","1",""
"105005","0.1","1","0","1","1","100211","6","105","1",""
"105006","0.1","1","0","1","1","105811","6","105","1",""
"105007","","","","","0","0.2","93","105","",""
"105008","","0","","0","vo_minigame_1007_top_talk_5_009","vo_minigame_1007","21","105","",""
"105009","0","0","0","7","グッズは種類が\nいっぱいあるから\n全種類揃えるまで\n頑張ろうね！","100211","11","105","0","0"
"105010","0.2","","","1","cgg_idle_reaction1","1","3","105","",""
"105011","0.2","","","1","cgg_talk_normal","100211","3","105","",""
"105012","","","","","0","2.4","93","105","",""
"105013","0.2","","","1","cgg_talk_joy3","100211","3","105","",""
"105014","","","","","0","1.1","93","105","",""
"105015","0.2","cgg_idle_reaction1","0.2","0","cgg_talk_handsup","1","3","105","1",""
"105016","","","","","","105009","91","105","",""
"105017","0.2","","","1","cgg_idle_def","100211","3","105","",""
"105018","","0","","0","vo_minigame_1007_top_talk_5_010","vo_minigame_1007","21","105","",""
"105019","0","0","0","6","集めたグッズは\n棚に飾って、あとで\nじっくり鑑賞です♪\nやばいですね☆","105811","11","105","0","0"
"105020","0.2","cgg_idle_arm_crossed","0","0","cgg_talk_arm_crossed","1","3","105","0",""
"105021","0.2","","","1","cgg_talk_joy1","105811","3","105","",""
"105022","","","","","0","5","93","105","",""
"105023","0.2","cgg_idle_guts2","0","0","cgg_talk_guts2","1","3","105","1",""
"105024","0.2","cgg_idle_def","0.2","0","cgg_jump_def_N","105811","3","105","1",""
"105025","","","","","","105019","91","105","",""
"105026","","","","","0","0.5","93","105","",""
"105027","0.2","","","1","cgg_idle_normal","1","3","105","",""
"105028","0.2","","","1","cgg_talk_joy3","100211","3","105","",""
"105029","0.2","","","1.4","10","100211","12","105","",""
"105030","","","","","0","3","93","105","",""
"105031","0.2","","","1","cgg_idle_def","100211","3","105","",""
"105032","0.2","cgg_idle_guts_anger","0","0","cgg_talk_guts_anger","105811","3","105","1",""
"105033","0.2","","","1.4","4","105811","12","105","",""
"105034","","","","","0","3","93","105","",""
"105035","0.2","","","1","cgg_idle_def","105811","3","105","",""
"105036","0.2","cgg_idle_guts2","0","0","cgg_talk_guts2","1","3","105","1",""
"105037","0.2","","","1.4","7","1","12","105","",""
"105038","","","","","0","3","93","105","",""
"105039","","","","","0","105027","101","105","",""
"105040","","","","","0.5","0","22","105","",""
"105041","0.1","1","0","1","1","1","6","105","0",""
"105042","0.1","1","0","1","1","100211","6","105","0",""
"105043","0.1","1","0","1","1","105811","6","105","0",""
"105044","","","","","0","0.1","93","105","",""
"105045","0","","","1","cgg_idle_normal","1","3","105","",""
"105046","0","","","1","cgg_idle_def","100211","3","105","",""
"105047","0","","","1","cgg_idle_def","105811","3","105","",""
"106001","160","-420","0","100","1","1","5","106","-230","cgg_idle_normal"
"106002","1.6","420","1","100","110911","1","1","106","-230","cgg_idle_def"
"106003","0.1","1","0","1","1","1","6","106","1",""
"106004","0.1","1","0","1","1","110911","6","106","1",""
"106005","","","","","0","0.2","93","106","",""
"106006","","0","","0","vo_minigame_1007_top_talk_6_011","vo_minigame_1007","21","106","",""
"106007","0","0","0","6","え…うそでしょ先輩…\nカルミナグッズまだ\nフルコンしてないとか\nありえないんですけど","110911","11","106","0","0"
"106008","0.2","","","1","cgg_idle_reaction2","1","3","106","",""
"106009","0.2","","","0","cgg_shock","110911","3","106","",""
"106010","","","","","0","1","93","106","",""
"106011","0.2","","","1","cgg_idle_bitter2","110911","3","106","",""
"106012","","","","","0","4.2","93","106","",""
"106013","0.2","cgg_idle_shock","0","0","cgg_shock","1","3","106","1",""
"106014","","","","","","106007","91","106","",""
"106015","","0","","0","vo_minigame_1007_top_talk_6_012","vo_minigame_1007","21","106","",""
"106016","0","0","0","6","いい加減にして下さい\n呑気に一般美少女と\n話してる暇があったら\nほら、早く回す！","110911","11","106","0","0"
"106017","0.2","","0","1","cgg_talk_tsun_pain","110911","3","106","1",""
"106018","","","","","0","0.7","93","106","",""
"106019","0.2","cgg_idle_surprise2","0","0","cgg_surprise2","1","3","106","1",""
"106020","","","","","0","1.3","93","106","",""
"106021","0.2","","0","1","cgg_talk_joy1_sad","110911","3","106","1",""
"106022","","","","","0","3","93","106","",""
"106023","0.2","cgg_idle_guts_anger","","0","cgg_talk_guts_anger","110911","3","106","1",""
"106024","","","","","0","0.7","93","106","",""
"106025","0.2","cgg_idle_guts2","0","0","cgg_talk_guts2","1","3","106","1",""
"106026","","","","","","106016","91","106","",""
"106027","","","","","0","0.5","93","106","",""
"106028","0.2","","","1","cgg_idle_def","110911","3","106","",""
"106029","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","106","1",""
"106030","0.2","","","1.4","6","1","12","106","",""
"106031","","","","","0","3","93","106","",""
"106032","0.2","","","1","cgg_idle_normal","1","3","106","",""
"106033","0.2","cgg_idle_guts_anger","0","0","cgg_talk_guts_anger","110911","3","106","1",""
"106034","0.2","","","1.4","11","110911","12","106","",""
"106035","","","","","0","3","93","106","",""
"106036","0.2","","","1","cgg_idle_def","110911","3","106","",""
"106037","0.2","cgg_idle_surprise1","0","0","cgg_surprise1","1","3","106","1",""
"106038","0.2","","","1.4","4","1","12","106","",""
"106039","","","","","0","3","93","106","",""
"106040","0.2","","","1","cgg_idle_normal","1","3","106","",""
"106041","0.2","","","1","cgg_talk_joy3_blink","110911","3","106","",""
"106042","0.2","","","1.4","10","110911","12","106","",""
"106043","","","","","0","3","93","106","",""
"106044","","","","","0","106028","101","106","",""
"106045","","","","","0.5","0","22","106","",""
"106046","0.1","1","0","1","1","1","6","106","0",""
"106047","0.1","1","0","1","1","110911","6","106","0",""
"106048","","","","","0","0.1","93","106","",""
"106049","0","","","1","cgg_idle_normal","1","3","106","",""
"106050","0","","","1","cgg_idle_def","110911","3","106","",""
"201001","160","-420","0","100","1","1","5","201","-230","cgg_idle_normal"
"201002","1.6","420","1","100","100411","1","1","201","-230","cgg_idle_def"
"201003","0.1","1","0","1","1","1","6","201","1",""
"201004","0.1","1","0","1","1","100411","6","201","1",""
"201005","","","","","0","0.2","93","201","",""
"201006","","0","","0","vo_minigame_1007_top_talk_7_013","vo_minigame_1007","21","201","",""
"201007","0","0","0","7","ねぇねぇにいちゃん！\nグッズが半分くらい\n集まってるよ！\nあとちょっとだね！","100411","11","201","0","0"
"201008","0.2","","","1","cgg_idle_reaction2","1","3","201","",""
"201009","0.2","","","1","cgg_talk_joy1_normal","100411","3","201","",""
"201010","","","","","0","1.3","93","201","",""
"201011","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","201","1",""
"201012","0.2","","","1","cgg_talk_surprise_kira","100411","3","201","",""
"201013","","","","","0","2.7","93","201","",""
"201014","0.2","cgg_idle_reaction1","0.2","0","cgg_talk_handsup","1","3","201","1",""
"201015","0.2","cgg_idle_guts","0","0","cgg_talk_guts","100411","3","201","1",""
"201016","","","","","","201007","91","201","",""
"201017","","","","","0","0.5","93","201","",""
"201018","0.2","","","1","cgg_idle_def","100411","3","201","",""
"201019","0.2","","","1","cgg_idle_surprise3","1","3","201","",""
"201020","0.2","","","1.4","6","1","12","201","",""
"201021","","","","","0","3","93","201","",""
"201022","0.2","","","1","cgg_idle_normal","1","3","201","",""
"201023","0.2","","","1","cgg_talk_surprise_kira","100411","3","201","",""
"201024","0.2","","","1.4","7","100411","12","201","",""
"201025","","","","","0","3","93","201","",""
"201026","0.2","","","1","cgg_idle_def","100411","3","201","",""
"201027","0.2","cgg_idle_reaction1","0","0","cgg_talk_handsup","1","3","201","1",""
"201028","0.2","","","1.4","11","1","12","201","",""
"201029","","","","","0","3","93","201","",""
"201030","0.2","","","1","cgg_idle_normal","1","3","201","",""
"201031","0.2","","","1","cgg_talk_joy1","100411","3","201","",""
"201032","0.2","","","1.4","10","100411","12","201","",""
"201033","","","","","0","3","93","201","",""
"201034","","","","","0","201018","101","201","",""
"201035","","","","","0.5","0","22","201","",""
"201036","0.1","1","0","1","1","1","6","201","0",""
"201037","0.1","1","0","1","1","100411","6","201","0",""
"201038","","","","","0","0.1","93","201","",""
"201039","0","","","1","cgg_idle_normal","1","3","201","",""
"201040","0","","","1","cgg_idle_def","100411","3","201","",""
"202001","160","-420","0","100","1","1","5","202","-230","cgg_idle_normal"
"202002","1.6","420","1","100","102011","1","1","202","-230","cgg_idle_def"
"202003","0.1","1","0","1","1","1","6","202","1",""
"202004","0.1","1","0","1","1","102011","6","202","1",""
"202005","","","","","0","0.2","93","202","",""
"202006","","0","","0","vo_minigame_1007_top_talk_8_014","vo_minigame_1007","21","202","",""
"202007","0","0","0","5","すごいね～♪\n全部そろったところが\n見てみたいな～♪","102011","11","202","0","0"
"202008","0.2","","","1","cgg_idle_reaction1","1","3","202","",""
"202009","0.2","","","1","cgg_talk_joy3","102011","3","202","",""
"202010","","","","","0","2","93","202","",""
"202011","0.2","","","1","cgg_idle_nod","1","3","202","",""
"202012","0.2","","","1","cgg_talk_wish","102011","3","202","",""
"202013","","","","","","202007","91","202","",""
"202014","","","","","0","0.5","93","202","",""
"202015","0.2","","","1","cgg_idle_def","102011","3","202","",""
"202016","0.2","","","1","cgg_idle_reaction3","1","3","202","",""
"202017","0.2","","","1.4","6","1","12","202","",""
"202018","","","","","0","3","93","202","",""
"202019","0.2","","","1","cgg_idle_normal","1","3","202","",""
"202020","0.2","","","1","cgg_talk_joy1_normal","102011","3","202","",""
"202021","0.2","","","1.4","11","102011","12","202","",""
"202022","","","","","0","3","93","202","",""
"202023","0.2","","","1","cgg_idle_def","102011","3","202","",""
"202024","0.2","cgg_idle_guts2","0","0","cgg_talk_guts2","1","3","202","1",""
"202025","0.2","","","1.4","11","1","12","202","",""
"202026","","","","","0","3","93","202","",""
"202027","0.2","","","1","cgg_idle_normal","1","3","202","",""
"202028","0.2","","","1","cgg_talk_joy3","102011","3","202","",""
"202029","0.2","","","1.4","7","102011","12","202","",""
"202030","","","","","0","3","93","202","",""
"202031","","","","","0","202015","101","202","",""
"202032","","","","","0.5","0","22","202","",""
"202033","0.1","1","0","1","1","1","6","202","0",""
"202034","0.1","1","0","1","1","102011","6","202","0",""
"202035","","","","","0","0.1","93","202","",""
"202036","0","","","1","cgg_idle_normal","1","3","202","",""
"202037","0","","","1","cgg_idle_def","102011","3","202","",""
"203001","160","-420","0","100","1","1","5","203","-230","cgg_idle_normal"
"203002","1.6","420","1","100","103611","1","1","203","-230","cgg_idle_def"
"203003","0.1","1","0","1","1","1","6","203","1",""
"203004","0.1","1","0","1","1","103611","6","203","1",""
"203005","","","","","0","0.2","93","203","",""
"203006","","0","","0","vo_minigame_1007_top_talk_9_015","vo_minigame_1007","21","203","",""
"203007","0","0","0","6","あと少しですね\n全部揃えられたら\n褒めてあげます\n…頑張ってください","103611","11","203","0","0"
"203008","0.2","cgg_idle_arm_crossed","0","0","cgg_talk_arm_crossed","1","3","203","1",""
"203009","0.2","","","1","cgg_talk_normal","103611","3","203","",""
"203010","","","","","0","1.9","93","203","",""
"203011","0.2","","","1","cgg_idle_surprise1","1","3","203","",""
"203012","0.2","","","1","cgg_talk_joy3_blink","103611","3","203","",""
"203013","","","","","0","3.1","93","203","",""
"203014","0.2","cgg_idle_guts2","0","0","cgg_talk_guts2","1","3","203","1",""
"203015","0.2","","","1","cgg_talk_surprise_dere","103611","3","203","",""
"203016","","","","","","203007","91","203","",""
"203017","","","","","0","0.5","93","203","",""
"203018","0.2","","","1","cgg_idle_def","103611","3","203","",""
"203019","0.2","cgg_idle_nod","0","0","cgg_talk_nod","1","3","203","1",""
"203020","0.2","","","1.4","6","1","12","203","",""
"203021","","","","","0","3","93","203","",""
"203022","0.2","","","1","cgg_idle_normal","1","3","203","",""
"203023","0.2","","","1","cgg_talk_joy1","103611","3","203","",""
"203024","0.2","","","1.4","10","103611","12","203","",""
"203025","","","","","0","3","93","203","",""
"203026","0.2","","","1","cgg_idle_def","103611","3","203","",""
"203027","0.2","cgg_idle_guts1","0","0","cgg_talk_guts1","1","3","203","1",""
"203028","0.2","","","1.4","4","1","12","203","",""
"203029","","","","","0","3","93","203","",""
"203030","0.2","","","1","cgg_idle_normal","1","3","203","",""
"203031","0.2","","","1","cgg_talk_joy3_dere","103611","3","203","",""
"203032","0.2","","","1.4","7","103611","12","203","",""
"203033","","","","","0","3","93","203","",""
"203034","","","","","0","203018","101","203","",""
"203035","","","","","0.5","0","22","203","",""
"203036","0.1","1","0","1","1","1","6","203","0",""
"203037","0.1","1","0","1","1","103611","6","203","0",""
"203038","","","","","0","0.1","93","203","",""
"203039","0","","","1","cgg_idle_normal","1","3","203","",""
"203040","0","","","1","cgg_idle_def","103611","3","203","",""
"204001","160","-420","0","100","1","1","5","204","-230","cgg_idle_normal"
"204002","1.6","420","1","100","102811","1","1","204","-230","cgg_idle_def"
"204003","0.1","1","0","1","1","1","6","204","1",""
"204004","0.1","1","0","1","1","102811","6","204","1",""
"204005","","","","","0","0.2","93","204","",""
"204006","","0","","0","vo_minigame_1007_top_talk_10_016","vo_minigame_1007","21","204","",""
"204007","0","0","0","6","こんなに\nグッズ集めたの？\nやるわね…あたしも\n集めようかしら","102811","11","204","0","0"
"204008","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","204","1",""
"204009","0.2","cgg_talk_surprise1","0","0","cgg_surprise","102811","3","204","1",""
"204010","","","","","0","2.5","93","204","",""
"204011","0.2","","","1","cgg_idle_reaction5","1","3","204","",""
"204012","0.2","","","1","cgg_talk_bitter","102811","3","204","",""
"204013","","","","","","204007","91","204","",""
"204014","","","","","0","0.5","93","204","",""
"204015","0.2","","","1","cgg_idle_def","102811","3","204","",""
"204016","0.2","cgg_idle_doya","0","0","cgg_talk_doya","1","3","204","1",""
"204017","0.2","","","1.4","6","1","12","204","",""
"204018","","","","","0","3","93","204","",""
"204019","0.2","","","1","cgg_idle_normal","1","3","204","",""
