48cff7056d6a094698d3a59d44624fc5db9f1f2492f6471116a3c43fa87932b4,74c1181f70f67699d79a89810c76c08b7fea3a58c4cbf04714a18daf38e363e9,1d5ae365f1dfd86e5b2e744d82d20d543917e05d0adaa26c0b61a98aa6b524b5,2173fd839e0476371af3670eab05c700b915bc44652f766dd98e4e6a383e7a00,0fdfe9be2140fc0ee91c2480f21b576332751eb268c5aa5d0b926407805f29f1,9b2c47b7a2296b9f956ca58e4d80788ad731192eb57211cdf19a484824003b16,d5a6aa45ecc5802d90f3e352f4880c09d4de984224d19ecb28a1873cbb69aa9c,d00744e825f2e2d04454a094dddcd3b7459e03897c47240aa1cbcc3f9d6e5a2f,a0cf2fa38b9d7d891f819c57e32892981a254bf3f2d91cae6d477f067a545fbb,eeece9323e6e3be0d05d75d3ff3012acd2596d43645c030e98feab625d485d5d,0ee314c5128f468d79e32d7994db98ded1c81df7144ff0c917ac5b860f882aa8
"2001","1","100","1","167","drama_idle","129811","2","-224","1.65","1"
"2002","0","100","1","-49","drama_idle","129911","2","-224","1.65","1"
"2003","","1","129911","","","drama_idle","2","","0.2","3"
"2004","","0","129811","drama_talk_admire_loop","","drama_talk_admire_in","2","1","0.2","3"
"2005","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_2_000","2","","","21"
"2006","0","7","129811","1","0.5","こうして兵士が大勢\n集まると、壮観だな\n訓練兵とは思えない\n迫力ってやつがあるよ","2","0","0","11"
"2007","","","0","","","","2","","","91"
"2008","","1","129811","","","drama_idle_admire","2","","0.2","3"
"2009","","0","129911","drama_talk_arm_crossed_loop","","drama_talk_arm_crossed_in","2","1","0.2","3"
"2010","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_2_001","2","","","21"
"2011","0","5","129911","1","0.3","そんな彼らを従えて\n教育するのが私たち…\n期待に応え、全力で\nしつけてあげましょう","2","0","0","11"
"2012","","","0","","","","2","","","91"
"2013","","1","129911","","","drama_idle_arm_crossed","2","","0.2","3"
"2014","","0","129811","drama_talk_guts2_loop","","drama_talk_guts2_in","2","1","0.2","3"
"2015","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_2_002","2","","","21"
"2016","0","8","129811","1","0.3","エリコの教官姿も、\nしっかり決まってるし\nよ～しっ、あたしも\n負けてられねえぜ！","2","0","0","11"
"2017","","","0","","","","2","","","91"
"2018","","1","129811","","","drama_idle","2","","0.2","3"
"2019","","1","129911","","","drama_idle","2","","0.2","3"
"3001","1","100","1","167","drama_idle","129811","3","-224","1.65","1"
"3002","0","100","1","-49","drama_idle","129911","3","-224","1.65","1"
"3003","","1","129811","","","drama_idle","3","","0.2","3"
"3004","","1","129911","","","drama_talk_thinking","3","","0.2","3"
"3005","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_3_000","3","","","21"
"3006","0","5","129911","1","0.8","実際に魔物と対峙し、\nその体に刃を打ち込む\n訓練もこの感触が\nあってこそですわね","3","0","0","11"
"3007","","","0","","","","3","","","91"
"3008","","1","129911","","","drama_idle_thinking","3","","0.2","3"
"3009","","0","129811","drama_talk_sad_loop","","drama_talk_sad_in","3","1","0.2","3"
"3010","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_3_001","3","","","21"
"3011","0","7","129811","1","0.5","相変わらず物騒な\n物言いしてるけど…\nま、理屈よりまず実践\nって教え方もありか","3","0","0","11"
"3012","","","0","","","","3","","","91"
"3013","","1","129811","","","drama_idle_sad","3","","0.2","3"
"3014","","0","129911","drama_talk_arm_crossed_loop","","drama_talk_arm_crossed_in","3","1","0.2","3"
"3015","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_3_002","3","","","21"
"3016","0","6","129911","1","0.3","では新兵たちにも\n実践的教育の良さを\n身をもって体験して\nいただきましょう","3","0","0","11"
"3017","","","0","","","","3","","","91"
"3018","","1","129811","","","drama_idle","3","","0.2","3"
"3019","","1","129911","","","drama_idle","3","","0.2","3"
"4001","1","100","1","167","drama_idle","129811","4","-224","1.65","1"
"4002","0","100","1","-49","drama_idle","129911","4","-224","1.65","1"
"4003","","1","129911","","","drama_idle","4","","0.2","3"
"4004","","0","129811","drama_talk_doya_loop_shy","","drama_talk_doya_in_shy","4","1","0.2","3"
"4005","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_4_000","4","","","21"
"4006","0","7","129811","1","0.3","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ","4","0","0","11"
"4007","","","0","","","","4","","","91"
"4008","","1","129811","","","drama_idle_doya_shy","4","","0.2","3"
"4009","","0","129911","drama_talk_wish_loop","","drama_talk_wish_in","4","1","0.2","3"
"4010","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_4_001","4","","","21"
"4011","0","5","129911","1","0.5","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…","4","0","0","11"
"4012","","","0","","","","4","","","91"
"4013","","1","129911","","","drama_idle_wish","4","","0.2","3"
"4014","","1","129811","","","drama_idle_thinking_shy","4","0","0.2","3"
"4015","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_4_002","4","","","21"
"4016","0","8","129811","1","0","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）","4","0","0","11"
"4017","","","0","","","","4","","","91"
"4018","","1","129911","","","drama_idle","4","","0.2","3"
"4019","","1","129811","","","drama_idle","4","","0.2","3"
"5001","1","100","1","167","drama_idle","129811","5","-224","1.65","1"
"5002","0","100","1","-49","drama_idle","129911","5","-224","1.65","1"
"5003","","1","129811","","","drama_idle","5","","0.2","3"
"5004","","1","129911","","","drama_talk_thinking","5","","0.2","3"
"5005","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_5_000","5","","","21"
"5006","0","6","129911","1","0.8","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ","5","0","0","11"
"5007","","","0","","","","5","","","91"
"5008","","1","129911","","","drama_idle_thinking","5","","0.2","3"
"5009","","0","129811","drama_talk_wonder_loop","","drama_talk_wonder_in","5","1","0.2","3"
"5010","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_5_001","5","","","21"
"5011","0","7","129811","1","0.3","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ","5","0","0","11"
"5012","","","0","","","","5","","","91"
"5013","","1","129811","","","drama_idle_wonder","5","","0.2","3"
"5014","","1","129911","","","drama_talk_memory","5","","0.2","3"
"5015","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_5_002","5","","","21"
"5016","0","5","129911","1","0.5","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…","5","0","0","11"
"5017","","","0","","","","5","","","91"
"5018","","1","129811","","","drama_idle","5","","0.2","3"
"5019","","1","129911","","","drama_idle","5","","0.2","3"
"6001","1","100","1","167","drama_idle","129811","6","-224","1.65","1"
"6002","0","100","1","-49","drama_idle","129911","6","-224","1.65","1"
"6003","","1","129911","","","drama_idle","6","","0.2","3"
"6004","","1","129811","","","drama_talk_thinking_shy","6","","0.2","3"
"6005","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_6_000","6","","","21"
"6006","0","8","129811","1","0.3","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…","6","0","0","11"
"6007","","","0","","","","6","","","91"
"6008","","1","129811","","","drama_idle_thinking_shy","6","","0.2","3"
"6009","","0","129911","drama_talk_doubt_loop","","drama_talk_doubt_in","6","1","0.2","3"
"6010","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_6_001","6","","","21"
"6011","0","6","129911","1","0.8","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが","6","0","0","11"
"6012","","","0","","","","6","","","91"
"6013","","1","129911","","","drama_idle_doubt","6","","0.2","3"
"6014","","0","129811","drama_talk_surprise_loop_shy","","drama_talk_surprise_in_shy","6","1","0.2","3"
"6015","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_6_002","6","","","21"
"6016","0","9","129811","1","0.3","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！","6","0","0","11"
"6017","","","0","","","","6","","","91"
"6018","","1","129911","","","drama_idle","6","","0.2","3"
"6019","","1","129811","","","drama_idle","6","","0.2","3"
"7001","1","100","1","167","drama_idle","129811","7","-224","1.65","1"
"7002","0","100","1","-49","drama_idle","129911","7","-224","1.65","1"
"7003","","1","129811","","","drama_idle","7","","0.2","3"
"7004","","0","129911","drama_talk_arm_crossed_loop","","drama_talk_arm_crossed_in","7","1","0.2","3"
"7005","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_7_000","7","","","21"
"7006","0","6","129911","1","0.3","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです","7","0","0","11"
"7007","","","0","","","","7","","","91"
"7008","","1","129911","","","drama_idle_arm_crossed","7","","0.2","3"
"7009","","0","129811","drama_talk_guts2_loop","","drama_talk_guts2_in","7","1","0.2","3"
"7010","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_7_001","7","","","21"
"7011","0","6","129811","1","0","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ","7","0","0","11"
"7012","","","0","","","","7","","","91"
"7013","","1","129811","","","drama_idle_guts2","7","","0.2","3"
"7014","","1","129911","","","drama_talk_thinking","7","","0.2","3"
"7015","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_7_002","7","","","21"
"7016","0","6","129911","1","0.5","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ","7","0","0","11"
"7017","","","0","","","","7","","","91"
"7018","","1","129811","","","drama_idle","7","","0.2","3"
"7019","","1","129911","","","drama_idle","7","","0.2","3"
"8001","1","100","1","167","drama_idle","129811","8","-224","1.65","1"
"8002","0","100","1","-49","drama_idle","129911","8","-224","1.65","1"
"8003","","1","129911","","","drama_idle","8","","0.2","3"
"8004","","0","129811","drama_talk_doya_loop_smile","","drama_talk_doya_in_smile","8","1","0.2","3"
"8005","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_8_000","8","","","21"
"8006","0","7","129811","1","0.3","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ","8","0","0","11"
"8007","","","0","","","","8","","","91"
"8008","","1","129811","","","drama_idle_doya_smile","8","","0.2","3"
"8009","","0","129911","drama_talk_arm_crossed_loop","","drama_talk_arm_crossed_in","8","1","0.2","3"
"8010","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_8_001","8","","","21"
"8011","0","5","129911","1","0.8","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが","8","0","0","11"
"8012","","","0","","","","8","","","91"
"8013","","1","129911","","","drama_idle_arm_crossed","8","","0.2","3"
"8014","","1","129811","","","drama_talk_anger","8","","0.2","3"
"8015","","0","vo_minigame_1013","0","","vo_minigame_1013_top_talk_8_002","8","","","21"
"8016","0","7","129811","1","0.3","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！","8","0","0","11"
"8017","","","0","","","","8","","","91"
"8018","","1","129811","","","drama_idle","8","","0.2","3"
"8019","","1","129911","","","drama_idle","8","","0.2","3"
"30001","1","100","1","167","drama_idle","129811","30","-224","1.65","1"
"30002","0","100","1","-49","drama_idle","129911","30","-224","1.65","1"
"30003","","1","129811","","","drama_idle","30","","0.2","3"
"30004","","1","129911","","","drama_idle","30","","0.2","3"
"30005","","","0.5","","","0","30","","","93"
"30006","","","2","","","","30","","","26"
"30007","","1.2","-80","1.2","","10","30","0.9","3","121"
"30008","0.2","0","129911","","","drama_joy_eriko","30","","0.2","3"
"30009","","0","1","","","1","30","","","140"
"31001","1","100","1","167","drama_idle","129811","31","-224","1.65","1"
"31002","0","100","1","-49","drama_idle","129911","31","-224","1.65","1"
"31003","","1","129811","","","drama_idle","31","","0.2","3"
"31004","","1","129911","","","drama_idle","31","","0.2","3"
"31005","","","0.5","","","0","31","","","93"
"31006","","","2","","","","31","","","26"
"31007","","1.2","-80","1.2","","10","31","0.9","3","121"
"31008","0.2","0","129811","","","drama_joy_makoto","31","","0.2","3"
"31009","","0","1","","","2","31","","","140"
"32001","1","1","0","320","drama_talk_1","1","32","28","0.28","5"
"32002","0","0","0","228","drama_talk_2","2","32","28","0.28","5"
"32003","1","90","0","45","drama_swing","3","32","64","0.26","5"
"32004","0","91","0","-187","drama_streach","4","32","-23","0.3","5"
"32005","","","1","","","0","32","","","93"
"32006","","0","1","","","drama_joy","32","","0.2","3"
"32007","","0","2","","","drama_joy","32","","0.2","3"
"32008","","0","3","","","drama_joy","32","","0.2","3"
"32009","","0","4","","","drama_joy","32","","0.2","3"
"32010","","","1.5","","","0","32","","","93"
"33001","1","1","0","320","drama_talk_1","1","33","28","0.28","5"
"33002","0","0","0","228","drama_talk_2","2","33","28","0.28","5"
"33003","1","90","0","45","drama_swing","3","33","64","0.26","5"
"33004","0","91","0","-187","drama_streach","4","33","-23","0.3","5"
