1785cce28011b12b1da0ffff67131bcdced90597d5012b9dbb2d9565f3c20561,847063be1958de7680f52f7313ed7d67ed25fade33b1c48164b9596371b686f6,81532d4e482530be47bb33e6b9135aa34cfc21cd5e957502a2439392dc1bf140,38bf1bd87d6871c0469884ebe2372bda044c63643d6c49a7823c9fd57fb38698,60f2299646551ac8dfc6662dee5ff517b69bb2a736d3e5a838b81aa6973eee5b,1404182e41c141d353ba6ac648268a6240edf5ac4cbaf2f2c2e2dc8a451f0bba,493a99fd3eee38b4e3ab10ee4dae8c6cf349840cc0a85e018b9f16ff4cd8c8dc,df320c919cae480a8e04118124c8ec3f9c0872155bc66a18fd63f3a845a8be35,8a22bf86c106faa8139564f7941c6b987d55d9cb27d7e1c558b40553d4044883,6c830141c3648b5ea8d1feea0aefe9dffd2c5a678a91f2c2f4edef1ef3277e9d,51f961f5fa80070c8f129362dfc663619abaf97a8471d854b817c45aceb69a0f
"1","0.2","3","nyx_101_chieru_loop","0","2","nyx_101_chieru_02","","11010034","101",""
"1","0.2","3","nyx_101_chieru_loop","0","110931","nyx_101_chieru_02","","11010035","101",""
"","","93","","","0.4","","","11010036","101",""
"","","32","","","3","0","","11010037","101",""
"","","32","","","4","1","","11010038","101",""
"","","91","","","11010026","","","11010039","101",""
"","0.2","3","","1","103431","nyx_idle_bitter","","11010040","101",""
"","0.2","3","","1","104831","nyx_talk_sad","","11010041","101",""
"","","11","","10","104831","ね、ねぇ…\n廊下の方から\n何か聞こえない？","","11010042","101",""
"","","91","","","0","","","11010043","101",""
"","","4","","","110931","1","","11010044","101",""
"","","4","","","2","1","","11010045","101",""
"1","0.2","3","nyx_101_chieru_loop","0","2","nyx_101_chieru_02","","11010046","101",""
"1","0.2","3","nyx_101_chieru_loop","0","110931","nyx_101_chieru_02","","11010047","101",""
"","0.2","3","","1","104831","nyx_idle_sad","","11010048","101",""
"","0.2","3","","1","104631","nyx_talk_sad","","11010049","101",""
"","","11","","10","104631","なんかちぇるちぇる\n聞こえるにゃ…\nこわいにゃ…","","11010050","101",""
"","","91","","","0","","","11010051","101",""
"","0.2","3","","1","104631","nyx_idle_sad","","11010052","101",""
"","0.2","3","","1","103431","nyx_talk_sad","","11010053","101",""
"","","11","","10","103431","学校の七不思議的な\nやつかしら…\nか、帰りたい…","","11010054","101",""
"","","91","","","0","","","11010055","101",""
"","0.2","3","","1","103431","nyx_idle_sad","","11010056","101",""
"","0.2","3","","1","103231","nyx_talk_joy2","","11010057","101",""
"","","11","","10","103231","面白いですわね！\n何が出てくるか\nワクワクしますわ！","","11010058","101",""
"","","91","","","0","","","11010059","101",""
"","","93","","","0.4","","","11010060","101",""
"","","4","","","110931","0","","11010061","101",""
"","","4","","","2","0","","11010062","101",""
"1","0.2","3","nyx_101_chieru_loop","0","110931","nyx_101_chieru_01","","11010063","101",""
"1","0.2","3","nyx_101_chieru_loop","0","2","nyx_101_chieru_01","","11010064","101",""
"","","12","","1","104831","1","","11010065","101",""
"1","0.2","3","nyx_idle_sad","0","104831","nyx_talk_sad","0.2","11010066","101",""
"","","93","","","0.4","","","11010067","101",""
"","","32","","","3","0","","11010068","101",""
"","","32","","","3","1","","11010069","101",""
"","","93","","","1.6","","","11010070","101",""
"","","12","","1","104631","15","","11010071","101",""
"1","0.2","3","nyx_idle_sad","0","104631","nyx_talk_sad","0.2","11010072","101",""
"","","93","","","3","","","11010073","101",""
"","","4","","","110931","1","","11010074","101",""
"","","4","","","2","1","","11010075","101",""
"1","0.2","3","nyx_101_chieru_loop","0","110931","nyx_101_chieru_02","","11010076","101",""
"1","0.2","3","nyx_101_chieru_loop","0","2","nyx_101_chieru_02","","11010077","101",""
"","","12","","1","103231","10","","11010078","101",""
"1","0.2","3","nyx_idle_joy1","0","103231","nyx_talk_joy1","0.2","11010079","101",""
"","","93","","","2","","","11010080","101",""
"","","12","","1","103431","2","","11010081","101",""
"1","0.2","3","nyx_idle_sad","0","103431","nyx_talk_sad","0.2","11010082","101",""
"","","93","","","2.5","","","11010083","101",""
"","","101","","","11010060","","","11010084","101",""
"-209.3","1.35","1","-362","110","1","110831","1","11020001","102","nyx_102_chloe_01"
"-182.5","1.35","1","90","110","1","104831","0","11020002","102","nyx_102_mifuyu_01"
"-182.5","1.35","1","220","110","1","104631","0","11020003","102","nyx_idle_normal"
"-182.5","1.35","1","336","110","1","103231","1","11020004","102","nyx_talk_normal"
"-182.5","1.35","1","457","110","1","103431","1","11020005","102","nyx_idle_normal"
"1","1","31","0","0","1","1","","11020006","102",""
"-209.3","1.35","5","-362","120","2","2","0","11020007","102","NoItem"
"","","25","","","bgm_M347","bgm_M347","","11020008","102",""
"","","93","","","2","","","11020009","102",""
"","0.2","3","","1","110831","nyx_102_chloe_02","","11020010","102",""
"","","11","","10","110831","次、うちの番か…\nえ、チエルの後って\n何気に不利くない？","","11020011","102",""
"","","91","","","0","1","","11020012","102",""
"","0.2","3","","1","110831","nyx_idle_sad","","11020013","102",""
"","","11","","10","110831","あいつ絶対初見で\nちぇるちぇる言って\n現場冷やしてるし…","","11020014","102",""
"","","91","","","0","1","","11020015","102",""
"1","0.2","3","nyx_102_chloe_02","0","110831","cmn_pose02_def_N","0.2","11020016","102",""
"","","11","","10","110831","ま、いいけど何でも\n…てゆか中の人ら\nダイジョブか？","","11020017","102",""
"","","93","","","3","","","11020018","102",""
"","0.2","3","","1","103231","nyx_idle_normal","","11020019","102",""
"","0.2","3","","1","104631","nyx_talk_sad","","11020020","102",""
"","","4","","","110831","0","","11020021","102",""
"","","91","","","11020016","","","11020022","102",""
"","","93","","","1","","","11020023","102",""
"","0.2","3","","1","110831","nyx_102_chloe_01","","11020024","102",""
"","","11","","10","110831","ちぇる気にやられて\nおかしなことにとか\n…いや、まさかね","","11020025","102",""
"","","93","","","2.5","","","11020026","102",""
"1","0.2","3","nyx_102_chloe_03_loop","0","110831","nyx_102_chloe_03","","11020027","102",""
"1","0.2","3","nyx_102_chloe_03_loop","0","2","nyx_102_chloe_03","","11020028","102",""
"","","91","","","11020025","","","11020029","102",""
"","","93","","","1","","","11020030","102",""
"","","11","","10","104831","ちぇる…ちぇる…","","11020031","102",""
"","","93","","","1.5","","","11020032","102",""
"","","4","","0","104631","1","","11020033","102",""
"1","0.2","3","nyx_idle_surprise2","0","104631","cmn_shock_def_N","0.2","11020034","102",""
"1","0.2","3","nyx_idle_surprise2","0","103431","cmn_shock_def_N","0.2","11020035","102",""
"1","0.2","3","nyx_idle_surprise1","0","103231","nyx_surprise","0.2","11020036","102",""
"","","93","","","1.5","","","11020037","102",""
"1","0.2","3","","1","104631","nyx_talk_surprise2","0.2","11020038","102",""
"","0.2","3","","1","103431","nyx_102_yukari_01","","11020039","102",""
"","","11","","10","103431","ミフユさん！\nしっかりちぇる！\n傷は浅いちぇる！","","11020040","102",""
"","","91","","","0","1","","11020041","102",""
"1","0.2","3","nyx_102_tamaki_01_loop","0","103431","cmn_shock_def_N","0.2","11020042","102",""
"","","4","","0","103231","0","","11020043","102",""
"","","4","","0","104631","0","","11020044","102",""
"","","91","","","0","","","11020045","102",""
"","","11","","10","104631","ダメにゃ…\nミフユもユカリも\n手遅れちぇ…にゃ！","","11020046","102",""
"","","93","","","2.6","","","11020047","102",""
"1","0.2","3","nyx_102_tamaki_01_loop","0","104631","nyx_102_tamaki_01","0.2","11020048","102",""
"","","93","","","0.1","","","11020049","102",""
"","","4","","0","103231","1","","11020050","102",""
"","","93","","","1.5","","","11020051","102",""
"","","11","","10","103231","被害甚大ですわね…\n次の方が普通である\nことを祈りますわ…","","11020052","102",""
"","","91","","","0","","","11020053","102",""
"","","93","","","1","","","11020054","102",""
"1","0.2","3","nyx_102_chloe_03_loop","0","110831","nyx_102_chloe_04","","11020055","102",""
"1","0.2","3","nyx_102_chloe_03_loop","0","2","nyx_102_chloe_04","","11020056","102",""
"","","93","","","1.5","","","11020057","102",""
"","","12","","1","110831","12","","11020058","102",""
"","","93","","","1","","","11020059","102",""
"","","12","","1","103431","1","","11020060","102",""
"1","0.2","3","nyx_cmn_03","0","103431","nyx_cmn_01","0.2","11020061","102",""
"1","0.2","3","","1","104631","nyx_idle_worry","0.2","11020062","102",""
"","","93","","","2","","","11020063","102",""
"","","12","","1","104831","12","","11020064","102",""
"","","93","","","2","","","11020065","102",""
"","","12","","1","103231","10","","11020066","102",""
"1","0.2","3","nyx_idle_normal","0","103231","nyx_talk_normal","0.2","11020067","102",""
"","","93","","","2","","","11020068","102",""
"","","12","","1","104631","2","","11020069","102",""
"1","0.2","3","nyx_idle_worry","0","104631","nyx_talk_sad","0.2","11020070","102",""
"","","93","","","4","","","11020071","102",""
"","","101","","","11020055","1","","11020072","102",""
"-209.3","1.35","1","-421","110","1","111031","0","11030001","103","nyx_103_yuni_01"
"-182.5","1.35","1","121.8","110","1","104831","0","11030002","103","nyx_idle_normal"
"-182.5","1.35","5","121.8","120","2","2","0","11030003","103","NoItem"
"-182.5","1.35","1","227.7","110","1","104631","0","11030004","103","nyx_idle_normal"
"-182.5","1.35","5","227.7","120","2","2","0","11030005","103","NoItem"
"-182.5","1.35","1","340.3","110","1","103231","1","11030006","103","nyx_idle_normal"
"-182.5","1.35","1","449.6","110","1","103431","1","11030007","103","nyx_cmn_03"
"-182.5","1.35","5","449.6","120","2","2","1","11030008","103","NoItem"
"1","1","31","0","0","1","1","","11030009","103",""
"","","25","","","bgm_M347","bgm_M347","","11030010","103",""
"","","93","","","2","","","11030011","103",""
"","0.2","3","","1","103431","nyx_talk_sad","","11030012","103",""
"","","11","","10","103431","プレゼンって\nこんなに\n疲れるものなの…？","","11030013","103",""
"","","91","","","0","","","11030014","103",""
"","0.2","3","","1","103431","nyx_cmn_03","","11030015","103",""
"","0.2","3","","1","104831","nyx_cmn_05","","11030016","103",""
"","","11","","10","104831","きっと次は大丈夫よ\nまともな生徒のはず\n…そうよね？","","11030017","103",""
"","","91","","","0","","","11030018","103",""
"","0.2","3","","1","104831","nyx_cmn_04","","11030019","103",""
"","0.2","3","","1","103231","nyx_talk_normal","","11030020","103",""
"","","11","","10","103231","あら？\n次もなかよし部の方\nみたいですわよ？","","11030021","103",""
"","","91","","","0","","","11030022","103",""
"","0.2","3","","1","103231","nyx_idle_normal","","11030023","103",""
"","0.2","3","","1","104631","nyx_talk_sad","","11030024","103",""
"","","11","","10","104631","…気を抜いたら\nやられるにゃ\n覚悟を決めるにゃ","","11030025","103",""
"","","93","","","2.6","","","11030026","103",""
"","0.2","3","","1","111031","nyx_102_chloe_01","","11030027","103",""
"","","91","","","11030025","","","11030028","103",""
"1","0.2","3","nyx_idle_sad","0","104631","nyx_cmn_02","0.3","11030029","103",""
"","0.2","3","","0","2","nyx_cmn_02","","11030030","103",""
"1","0.2","3","nyx_cmn_03","0","103431","nyx_cmn_02","0.3","11030031","103",""
"","0.2","3","","0","2","nyx_cmn_02","","11030032","103",""
"1","0.2","3","nyx_idle_normal","0","104831","nyx_cmn_02","0.2","11030033","103",""
"","0.2","3","","0","2","nyx_cmn_02","","11030034","103",""
"","","93","","","1.5","","","11030035","103",""
"","0.2","3","","1","111031","nyx_303_yuni_01","","11030036","103",""
"","","11","","10","111031","ふむ、次はぼくだな\nまさに真打登場と\n言ったところか","","11030037","103",""
"","","93","","","2.8","","","11030038","103",""
"","","12","","1","104831","13","","11030039","103",""
"","0.2","3","","1","104831","nyx_talk_normal","","11030040","103",""
"","","91","","","11030037","","","11030041","103",""
"","","11","","10","111031","チエル君、クロエ君\n君らの無念はぼくが\n晴らして見せよう","","11030042","103",""
"","","91","","","0","","","11030043","103",""
"","0.2","3","","1","111031","nyx_103_yuni_02","","11030044","103",""
"","","11","","10","111031","いざ上級生としての\n責務を果たす時だ","","11030045","103",""
"","","93","","","1.5","","","11030046","103",""
"","","12","","1","103231","17","","11030047","103",""
"","0.2","3","","1","104831","nyx_idle_normal","","11030048","103",""
"","0.2","3","","1","103231","nyx_cmn_05","","11030049","103",""
"","","91","","","11030045","","","11030050","103",""
"0","0.3","3","nyx_103_yuni_04","0","111031","nyx_103_yuni_03","0.6","11030051","103",""
"","","11","","10","111031","ユニちゃんズの\n名に懸けて…！","","11030052","103",""
"","","91","","","0","","","11030053","103",""
"","0.2","3","","1","103231","nyx_idle_normal","","11030054","103",""
"","","93","","","0.6","","","11030055","103",""
"","0.2","12","","1","111031","12","","11030056","103",""
"1","0.2","3","nyx_idle_normal","0","111031","cmn_pose02_def_N","0.2","11030057","103",""
"","","93","","","1.5","","","11030058","103",""
"","","12","","1","104631","15","","11030059","103",""
"1","0.2","3","nyx_idle_worry","0","104631","nyx_talk_sad","0.2","11030060","103",""
"","","93","","","2","","","11030061","103",""
"","","12","","1","103231","10","","11030062","103",""
"1","0.2","3","nyx_idle_normal","0","103231","nyx_talk_joy1","0.2","11030063","103",""
"1","0.2","3","nyx_idle_normal","0","111031","nyx_103_yuni_01","0.2","11030064","103",""
"","","93","","","2.5","","","11030065","103",""
"","","12","","1","103431","1","","11030066","103",""
"1","0.2","3","nyx_cmn_03","0","103431","nyx_cmn_01","0.3","11030067","103",""
"","","93","","","2","","","11030068","103",""
"","","12","","1","104831","12","","11030069","103",""
"","0.2","3","","1","104831","nyx_talk_bitter","","11030070","103",""
"","","93","","","2","","","11030071","103",""
"","0.2","3","","1","104831","nyx_idle_bitter","","11030072","103",""
"","","93","","","1","","","11030073","103",""
"","","101","","","11030056","","","11030074","103",""
"-294.7","1.2","1","-235.4","110","1","103231","1","12010001","201","nyx_201_akino_01"
"-294.7","1.2","5","-235.4","120","2","2","1","12010002","201","nyx_201_akino_01"
"-281.6","1.2","1","-357","110","1","104631","0","12010003","201","nyx_idle_normal"
"-281.6","1.2","1","310.5","110","1","103431","1","12010004","201","nyx_idle_normal"
"-281.6","1.2","1","-453.3","110","1","104831","0","12010005","201","nyx_idle_normal"
"1","1","31","0","0","2","1","","12010006","201",""
"1","1","31","0","0","11","2","","12010007","201",""
"","","25","","","bgm_M347","bgm_M347","","12010008","201",""
"","","93","","","2","","","12010009","201",""
"","","11","","10","103231","タマキさん、この\n部品の組み立てを\nお願いしますわ！","","12010010","201",""
"","","91","","","0","","","12010011","201",""
"1","0.3","3","nyx_idle_surprise1","0","104631","nyx_surprise","0.3","12010012","201",""
"","","11","","10","104631","わ、わかったにゃ！\n…こんなの設計図に\nあったかにゃ…？","","12010013","201",""
"","","91","","","0","","","12010014","201",""
"","","4","","0","103231","0","","12010015","201",""
"","","4","","","2","0","","12010016","201",""
"","0.3","3","","1","104631","nyx_idle_bitter2","0.3","12010017","201",""
"","0.3","3","","1","103231","nyx_201_akino_02","0.3","12010018","201",""
"","0.3","3","","1","2","nyx_201_akino_02","0.3","12010019","201",""
"","","2","2.2","-294.7","103231","199","","12010020","201",""
"","","2","2.2","-294.7","2","199","","12010021","201",""
"","","93","","","2.2","","","12010022","201",""
"","0.3","3","","1","103231","nyx_201_akino_01","0.3","12010023","201",""
"","0.3","3","","1","2","nyx_201_akino_01","0.3","12010024","201",""
"","","11","","10","103231","ユカリさん！\nこの回路の発注を\n至急お願いします！","","12010025","201",""
"","","91","","","0","","","12010026","201",""
"","0.3","3","","1","103431","nyx_cmn_01","0.3","12010027","201",""
"","","11","","10","103431","えっ？　えっ？\nちょっとアキノさん\nこれ何に使うの！？","","12010028","201",""
"","","91","","","0","","","12010029","201",""
"","0.3","3","","1","103431","nyx_idle_bitter2","0.3","12010030","201",""
"","","4","","","103231","1","","12010031","201",""
"","","4","","","2","1","","12010032","201",""
"","0.3","3","","1","103231","nyx_201_akino_02","0.3","12010033","201",""
"","0.3","3","","1","2","nyx_201_akino_02","0.3","12010034","201",""
"","","2","2.2","-294.7","103231","-235.4","","12010035","201",""
"","","2","2.2","-294.7","2","-235.4","","12010036","201",""
"","","93","","","2.2","","","12010037","201",""
"","0.3","3","","1","103231","nyx_201_akino_01","0.3","12010038","201",""
"","0.3","3","","1","2","nyx_201_akino_01","0.3","12010039","201",""
"","","11","","10","103231","ミフユさんは動作\nチェックを念入りに\nお願いします！","","12010040","201",""
"","","91","","","0","","","12010041","201",""
"1","0.3","3","nyx_idle_surprise1","0","104831","nyx_surprise","0.3","12010042","201",""
"","0","11","","10","104831","は、はいっ！\n…アキノさんが\n燃えてるわ…","","12010043","201",""
"","","91","","","0","","","12010044","201",""
"","0.3","3","","1","104831","nyx_talk_sad","0.3","12010045","201",""
"","0","11","","10","104831","でもなぜかしら\n不安だわ…\n不安しかない…","","12010046","201",""
"","","91","","","0","","","12010047","201",""
"","0.3","3","","1","104831","nyx_idle_bitter2","0.3","12010048","201",""
"","","91","","","0","","","12010049","201",""
"","","93","","","0.4","","","12010050","201",""
"","","4","","0","103231","0","","12010051","201",""
"","","4","","","2","0","","12010052","201",""
"","0.2","3","","1","103231","nyx_201_akino_02","0.2","12010053","201",""
"","0.2","3","","1","2","nyx_201_akino_02","0.2","12010054","201",""
"","","2","2.2","-294.7","103231","199","","12010055","201",""
"","","2","2.2","-294.7","2","199","","12010056","201",""
"","0.2","3","","1","103431","nyx_cmn_03","0.2","12010057","201",""
"","","93","","","2.2","","","12010058","201",""
"","","12","","1","103231","10","","12010059","201",""
"","0.2","3","","1","103231","nyx_201_akino_01","0.2","12010060","201",""
"","0.2","3","","1","2","nyx_201_akino_01","0.2","12010061","201",""
"","","91","","","0","","","12010062","201",""
"","0.2","3","","1","103431","nyx_idle_surprise1","0.2","12010063","201",""
"","","91","","","0","","","12010064","201",""
"","0.2","3","","1","103431","nyx_102_chloe_02","0.2","12010065","201",""
"","","4","","","103231","1","","12010066","201",""
"","","4","","","2","1","","12010067","201",""
"","0.2","3","","1","103231","nyx_201_akino_02","0.2","12010068","201",""
"","0.2","3","","1","2","nyx_201_akino_02","0.2","12010069","201",""
"","","2","2.2","-294.7","103231","-235.4","","12010070","201",""
"","","2","2.2","-294.7","2","-235.4","","12010071","201",""
"","","93","","","2.2","","","12010072","201",""
"","","12","","1","103231","10","","12010073","201",""
"","0.2","3","","1","103231","nyx_201_akino_01","0.2","12010074","201",""
"","","3","","1","2","nyx_201_akino_01","0.2","12010075","201",""
"","","93","","","3","","","12010076","201",""
"1","0.2","3","nyx_idle_normal","0","104631","cmn_nod_def_N","0.2","12010077","201",""
"","","93","","","0.8","","","12010078","201",""
"","","12","","1","104831","3","","12010079","201",""
"1","0.2","3","nyx_idle_sad","0","104831","nyx_talk_worry","0.2","12010080","201",""
"","","93","","","1","","","12010081","201",""
"","","101","","","12010051","","","12010082","201",""
"-255","1.2","5","-136","100","1","3","0","12020001","202","nyx_202_tamaki_03_loop"
"-286.1","1.2","1","183.7","110","1","103231","1","12020002","202","nyx_idle_joy1"
"-286.1","1.2","5","312.6","120","2","5","1","12020003","202","nyx_202_yukari_01"
"-286.1","1.2","1","312.6","110","1","103431","1","12020004","202","nyx_202_yukari_01"
"-286.1","1.2","1","-269.8","120","1","104831","0","12020005","202","nyx_idle_normal"
"1","1","31","0","0","2","1","","12020006","202",""
"1","1","31","34","0","12","2","","12020007","202",""
"1","0","31","130","-74","16","7","","12020008","202",""
"-255","1","5","-208","110","3","4","0","12020009","202","nyx_yagura_idle"
"-286.1","1.2","5","-269.8","120","2","6","0","12020010","202","NoItem"
"","","25","","","bgm_M347","bgm_M347","","12020011","202",""
"","","93","","","2","","","12020012","202",""
"","","11","","10","3","開発もなんだか\n楽しくなってきた\nにゃ～！","","12020013","202",""
"","","91","","","0","","","12020014","202",""
"","","11","","10","3","ここまで来たら\n世界一のたい焼き\nメカにするにゃ！","","12020015","202",""
"","","91","","","0","","","12020016","202",""
"","","11","","10","3","あたしの全てを\n注ぎ込んでやる\nにゃあ～～！","","12020017","202",""
"","","93","","","0.4","","","12020018","202",""
"1","0.2","3","nyx_202_tamaki_loop","0","3","nyx_202_tamaki_03_puton","","12020019","202",""
"","","91","","","12020017","","","12020020","202",""
"1","0.2","3","nyx_202_tamaki_01","0","3","nyx_202_tamaki_up","","12020021","202",""
"1","","3","nyx_yagura_up_idle","0","4","nyx_yagura_up","","12020022","202",""
"","","93","","","2.4","","","12020023","202",""
"","","32","","","7","1","","12020024","202",""
"","0.2","3","","1","103231","nyx_202_akino_01_loop","","12020025","202",""
"","","11","","10","103231","おーほっほっほ！\n素晴らしい意気込み\nですわ、タマキさん","","12020026","202",""
"","","91","","","0","","","12020027","202",""
"","0.2","3","","1","104831","nyx_talk_anger2","","12020028","202",""
"","","11","","10","104831","設計図のどこにも\nたい焼きなんて\n書いてないわよ！？","","12020029","202",""
"","","91","","","0","","","12020030","202",""
"","0.2","3","","1","103431","nyx_idle_anger2","","12020031","202",""
"","0.2","3","","1","103431","nyx_202_yukari_01","","12020032","202",""
"","","11","","10","103431","ミフユさん…\nタマキさんなら\n大丈夫よ…ひっく","","12020033","202",""
"","","91","","","0","","","12020034","202",""
"","0.2","3","nyx_cmn_04","0","104831","nyx_cmn_05","0.2","12020035","202",""
"","0","11","","10","104831","ユカリさん？\n何を飲んでるの？\n…買収されたわね？","","12020036","202",""
"","","91","","","0","","","12020037","202",""
"","0.2","3","","1","103431","nyx_202_yukari_01","","12020038","202",""
"","","11","","10","103431","え～？\nにゃんのことぉ～？\n…うっふふ～♪","","12020039","202",""
"","","91","","","0","","","12020040","202",""
"","","93","","","2","","","12020041","202",""
"","","12","","1","103231","13","","12020042","202",""
"1","0.2","3","nyx_202_akino_01_loop","0","103231","nyx_talk_joy2","0.2","12020043","202",""
"","","93","","","2.5","","","12020044","202",""
"","","12","","1","104831","3","","12020045","202",""
"","0.2","3","","1","104831","nyx_talk_anger2","","12020046","202",""
"","","93","","","2","","","12020047","202",""
"","0.2","3","","0","104831","nyx_cmn_02","","12020048","202",""
"1","0.2","3","NoItem","0","6","nyx_cmn_02","","12020049","202",""
"","","93","","","1","","","12020050","202",""
"1","0.2","3","nyx_cmn_04","0","104831","nyx_cmn_05","0.2","12020051","202",""
"","","93","","","2","","","12020052","202",""
"","","12","","1","103431","5","","12020053","202",""
"1","0.2","3","nyx_202_yukari_01","0","5","nyx_203_yukari_01","0.2","12020054","202",""
"1","0.2","3","nyx_202_yukari_01","0","103431","nyx_203_yukari_01","0.2","12020055","202",""
"","","93","","","1.2","","","12020056","202",""
"","","12","","1","3","11","","12020057","202",""
"","","93","","","0.8","","","12020058","202",""
"","","101","","","12020041","","","12020059","202",""
"-286","1.2","1","-300","130","1","104831","0","12030001","203","nyx_idle_normal"
"-286","1.2","1","316","100","1","104631","1","12030002","203","nyx_idle_normal"
"-286","1.2","1","110","100","1","103231","1","12030003","203","nyx_idle_normal"
"-10","1.2","1","-200","100","1","103431","0","12030004","203","nyx_203_yukari_01"
"1","1","31","0","0","2","1","","12030005","203",""
"1","1","31","34","-80","13","2","","12030006","203",""
"-10","1.2","5","-200","110","2","3","0","12030007","203","nyx_203_yukari_01"
"-255","1","5","-250","120","3","4","0","12030008","203","nyx_yagura_up_harf"
"","","25","","","bgm_M347","bgm_M347","","12030009","203",""
"","","93","","","2","","","12030010","203",""
"","","11","","10","103431","あっれぇ～？\nここはどこぉ～？\n私はだれ～？","","12030011","203",""
"","","93","","","0.6","","","12030012","203",""
"1","0.2","3","nyx_lookup_loop2","0","103231","nyx_lookup","0.2","12030013","203",""
"","","91","","","12030011","","","12030014","203",""
"","","11","","10","103431","ん～？\nにゃ～にこの\nでっかいのぉ～","","12030015","203",""
"","","93","","","0.6","","","12030016","203",""
"1","0.2","3","nyx_lookup_loop2","0","104631","nyx_lookup","0.2","12030017","203",""
"","","91","","","12030015","","","12030018","203",""
"1","0.2","3","nyx_203_yukari_05","0","3","nyx_203_yukari_02","","12030019","203",""
"1","0.2","3","nyx_203_yukari_05","0","103431","nyx_203_yukari_02","","12030020","203",""
"","","11","","10","103431","あんたも麦しゅわ\n飲む～？\nお～いしいわよ～？","","12030021","203",""
"","","93","","","0.4","","","12030022","203",""
"1","0.2","3","nyx_lookup_loop2","0","104831","nyx_lookup","0.2","12030023","203",""
"","","91","","","12030021","","","12030024","203",""
"","","93","","","0.2","","","12030025","203",""
"1","0.2","3","nyx_idle_sad","0","104831","nyx_cmn_02","0.2","12030026","203",""
"","0","11","","10","104831","何してるのよ\nユカリさん…","","12030027","203",""
"","","93","","","0.1","","","12030028","203",""
"1","0.2","3","nyx_cmn_04","0","103231","nyx_cmn_02","0.2","12030029","203",""
"","","11","","10","103231","何してますの…\nユカリさん…","","12030030","203",""
"","","93","","","0.1","","","12030031","203",""
"1","0.2","3","nyx_idle_sad","0","104631","nyx_cmn_02","0.2","12030032","203",""
"","","11","","10","104631","何してるのにゃ\nユカリ…","","12030033","203",""
"","","91","","","0","","","12030034","203",""
