1b2259428ea35f005193b109df0eb5f926f5176b9fe53d6103bbb850137d26ea,e6c5cc380e4e7c70adfedf86f56beecd82d40bc2cb0b7c1ab430c5d06a8b439c,7f51e93c9840e757637ff1b5816884b2b581850e360368ae21bf36eef2e6c308,29f9286c51d3ee8181b3c9a2cf57aab0d8a27005bfc01be7097b945e8bff2592,7d8b88de8317cd1dc6a2716dfc3e813ad5704fde9ae48646c3886216d534dd2e,b7b10509a7ee7e13d5e5681c18ca166f3a0df45a8a92fc5c36ebf515e1a4d6ac
"15","351","1","99001187","1001","11001187"
"8","352","30","99001187","0","91002"
"15","353","1","99001188","1002","11001188"
"8","354","30","99001188","0","91002"
"15","355","1","99001189","1003","11001189"
"8","356","30","99001189","0","91002"
"15","357","1","99001190","1001","11001190"
"8","358","30","99001190","0","91002"
"15","359","1","99001191","1001","11001191"
"8","360","30","99001191","0","91002"
"15","361","1","99001192","1002","11001192"
"8","362","30","99001192","0","91002"
"15","363","1","99001193","1003","11001193"
"8","364","30","99001193","0","91002"
"15","365","1","99001194","1001","11001194"
"8","366","30","99001194","0","91002"
"15","367","1","99001195","1001","11001195"
"8","368","30","99001195","0","91002"
"15","369","1","99001196","1002","11001196"
"8","370","30","99001196","0","91002"
"15","371","1","99001197","1003","11001197"
"8","372","30","99001197","0","91002"
"15","373","1","99001198","1002","11001198"
"15","374","1","99001199","1003","11001199"
"15","375","1","99001200","1001","11001200"
"8","376","30","99001200","0","91002"
"15","377","1","99001201","1001","11001201"
"8","378","30","99001201","0","91002"
"15","379","1","99001202","1002","11001202"
"8","380","30","99001202","0","91002"
"15","381","1","99001203","1003","11001203"
"8","382","30","99001203","0","91002"
"15","383","1","99001204","1003","11001204"
"15","384","1","99001205","1001","11001205"
"8","385","30","99001205","0","91002"
"15","386","1","99001206","1001","11001206"
"8","387","30","99001206","0","91002"
"15","388","1","99001207","1002","11001207"
"8","389","30","99001207","0","91002"
"15","390","1","99001208","1003","11001208"
"8","391","30","99001208","0","91002"
"15","392","1","99001209","1001","11001209"
"8","393","30","99001209","0","91002"
"15","394","1","99001210","1001","11001210"
"8","395","30","99001210","0","91002"
"15","396","1","99001211","1002","11001211"
"8","397","30","99001211","0","91002"
"15","398","1","99001212","1003","11001212"
"8","399","30","99001212","0","91002"
"15","400","1","99001213","1001","11001213"
"8","401","30","99001213","0","91002"
"15","402","1","99001214","1001","11001214"
"8","403","30","99001214","0","91002"
"15","404","1","99001215","1002","11001215"
"8","405","30","99001215","0","91002"
"15","406","1","99001216","1003","11001216"
"8","407","30","99001216","0","91002"
"15","408","1","99001217","1001","11001217"
"8","409","30","99001217","0","91002"
"15","410","1","99001218","1001","11001218"
"8","411","30","99001218","0","91002"
"15","412","1","99001219","1002","11001219"
"8","413","30","99001219","0","91002"
"15","414","1","99001220","1003","11001220"
"8","415","30","99001220","0","91002"
"15","416","1","99001221","1001","11001221"
"8","417","30","99001221","0","91002"
"15","418","1","99001222","1001","11001222"
"8","419","30","99001222","0","91002"
"15","420","1","99001223","1002","11001223"
"8","421","30","99001223","0","91002"
"15","422","1","99001224","1003","11001224"
"8","423","30","99001224","0","91002"
"15","424","1","99001225","1001","11001225"
"8","425","30","99001225","0","91002"
"15","426","1","99001226","1001","11001226"
"8","427","30","99001226","0","91002"
"15","428","1","99001227","1002","11001227"
"8","429","30","99001227","0","91002"
"15","430","1","99001228","1003","11001228"
"8","431","30","99001228","0","91002"
"15","432","1","99001229","1001","11001229"
"8","433","30","99001229","0","91002"
"15","434","1","99001230","1001","11001230"
"8","435","30","99001230","0","91002"
"15","436","1","99001231","1002","11001231"
"8","437","30","99001231","0","91002"
"15","438","1","99001232","1003","11001232"
"8","439","30","99001232","0","91002"
"15","440","1","99001233","1001","11001233"
"8","441","30","99001233","0","91002"
"15","442","1","99001234","1001","11001234"
"8","443","30","99001234","0","91002"
"15","444","1","99001235","1002","11001235"
"8","445","30","99001235","0","91002"
"15","446","1","99001236","1003","11001236"
"8","447","30","99001236","0","91002"
"15","448","1","99001237","1001","11001237"
"8","449","30","99001237","0","91002"
"15","450","1","99001238","1001","11001238"
"8","451","30","99001238","0","91002"
"15","452","1","99001239","1002","11001239"
"8","453","30","99001239","0","91002"
"15","454","1","99001240","1003","11001240"
"8","455","30","99001240","0","91002"
"15","456","1","99001241","1001","11001241"
"8","457","30","99001241","0","91002"
"15","458","1","99001242","1001","11001242"
"8","459","30","99001242","0","91002"
"15","460","1","99001243","1002","11001243"
"8","461","30","99001243","0","91002"
"15","462","1","99001244","1003","11001244"
"8","463","30","99001244","0","91002"
"15","464","1","99001245","1001","11001245"
"8","465","30","99001245","0","91002"
"15","466","1","99001246","1001","11001246"
"8","467","30","99001246","0","91002"
"15","468","1","99001247","1002","11001247"
"8","469","30","99001247","0","91002"
"15","470","1","99001248","1003","11001248"
"8","471","30","99001248","0","91002"
"15","472","1","99001249","1003","11001249"
"15","473","1","99001250","1001","11001250"
"8","474","30","99001250","0","91002"
"15","475","1","99001251","1001","11001251"
"8","476","30","99001251","0","91002"
"15","477","1","99001252","1002","11001252"
"8","478","30","99001252","0","91002"
"15","479","1","99001253","1003","11001253"
"8","480","30","99001253","0","91002"
"15","481","1","99001254","1001","11001254"
"8","482","30","99001254","0","91002"
"15","483","1","99001255","1001","11001255"
"8","484","30","99001255","0","91002"
"15","485","1","99001256","1002","11001256"
"8","486","30","99001256","0","91002"
"15","487","1","99001257","1003","11001257"
"8","488","30","99001257","0","91002"
"15","489","1","99001258","1001","11001258"
"8","490","30","99001258","0","91002"
"15","491","1","99001259","1001","11001259"
"8","492","30","99001259","0","91002"
"15","493","1","99001260","1002","11001260"
"8","494","30","99001260","0","91002"
"15","495","1","99001261","1003","11001261"
"8","496","30","99001261","0","91002"
"15","497","1","99001262","1001","11001262"
"15","498","1","99001263","1001","11001263"
"15","499","1","99001264","1001","11001264"
"15","500","1","99001265","1002","11001265"
"15","501","1","99001266","1003","11001266"
"15","502","1","99001267","1001","11001267"
"8","503","30","99001267","0","91002"
"15","504","1","99001268","1001","11001268"
"8","505","30","99001268","0","91002"
"15","506","1","99001269","1002","11001269"
"8","507","30","99001269","0","91002"
"15","508","1","99001270","1003","11001270"
"8","509","30","99001270","0","91002"
"15","510","1","99001271","1003","11001271"
"15","511","1","99001272","1001","11001272"
"8","512","30","99001272","0","91002"
"15","513","1","99001273","1001","11001273"
"8","514","30","99001273","0","91002"
"15","515","1","99001274","1002","11001274"
"8","516","30","99001274","0","91002"
"15","517","1","99001275","1003","11001275"
"8","518","30","99001275","0","91002"
"15","519","1","99001276","1003","11001276"
"15","520","1","99001277","1001","11001277"
"8","521","30","99001277","0","91002"
"15","522","1","99001278","1001","11001278"
"8","523","30","99001278","0","91002"
"15","524","1","99001279","1002","11001279"
"8","525","30","99001279","0","91002"
"15","526","1","99001280","1003","11001280"
"8","527","30","99001280","0","91002"
"15","528","1","99001281","1001","11001281"
"8","529","30","99001281","0","91002"
"15","530","1","99001282","1001","11001282"
"8","531","30","99001282","0","91002"
"15","532","1","99001283","1002","11001283"
"8","533","30","99001283","0","91002"
"15","534","1","99001284","1003","11001284"
"8","535","30","99001284","0","91002"
"15","536","1","99001285","1003","11001285"
"15","537","1","99001286","1001","11001286"
"8","538","30","99001286","0","91002"
"15","539","1","99001287","1001","11001287"
"8","540","30","99001287","0","91002"
"15","541","1","99001288","1002","11001288"
"8","542","30","99001288","0","91002"
"15","543","1","99001289","1003","11001289"
"8","544","30","99001289","0","91002"
"15","545","1","99001290","1001","11001290"
"8","546","30","99001290","0","91002"
"15","547","1","99001291","1001","11001291"
"8","548","30","99001291","0","91002"
"15","549","1","99001292","1002","11001292"
"8","550","30","99001292","0","91002"
"15","551","1","99001293","1003","11001293"
"8","552","30","99001293","0","91002"
"15","553","1","99001294","1001","11001294"
"8","554","30","99001294","0","91002"
"15","555","1","99001295","1001","11001295"
"8","556","30","99001295","0","91002"
"15","557","1","99001296","1002","11001296"
"8","558","30","99001296","0","91002"
"15","559","1","99001297","1003","11001297"
"8","560","30","99001297","0","91002"
"15","561","1","99001298","1001","11001298"
"8","562","30","99001298","0","91002"
"15","563","1","99001299","1001","11001299"
"8","564","30","99001299","0","91002"
"15","565","1","99001300","1002","11001300"
"8","566","30","99001300","0","91002"
"15","567","1","99001301","1003","11001301"
"8","568","30","99001301","0","91002"
"15","569","1","99001302","1003","11001302"
"15","570","1","99001303","1003","11001303"
"15","571","1","99001304","1003","11001304"
"15","572","1","99001305","1001","11001305"
"8","573","30","99001305","0","91002"
"15","574","1","99001306","1001","11001306"
"8","575","30","99001306","0","91002"
"15","576","1","99001307","1002","11001307"
"8","577","30","99001307","0","91002"
"15","578","1","99001308","1003","11001308"
"8","579","30","99001308","0","91002"
"15","580","1","99001309","1001","11001309"
"8","581","30","99001309","0","91002"
"15","582","1","99001310","1001","11001310"
"8","583","30","99001310","0","91002"
"15","584","1","99001311","1002","11001311"
"8","585","30","99001311","0","91002"
"15","586","1","99001312","1003","11001312"
"8","587","30","99001312","0","91002"
"15","588","1","99001313","1003","11001313"
"15","589","1","99001314","1001","11001314"
"8","590","30","99001314","0","91002"
"15","591","1","99001315","1001","11001315"
"8","592","30","99001315","0","91002"
"15","593","1","99001316","1002","11001316"
"8","594","30","99001316","0","91002"
"15","595","1","99001317","1003","11001317"
"8","596","30","99001317","0","91002"
"15","597","1","99001318","1003","11001318"
"15","598","1","99001319","1001","11001319"
"8","599","30","99001319","0","91002"
"15","600","1","99001320","1001","11001320"
"8","601","30","99001320","0","91002"
"15","602","1","99001321","1002","11001321"
"8","603","30","99001321","0","91002"
"15","604","1","99001322","1003","11001322"
"8","605","30","99001322","0","91002"
"15","606","1","99001323","1003","11001323"
"15","607","1","99001324","1001","11001324"
"8","608","30","99001324","0","91002"
"15","609","1","99001325","1001","11001325"
"8","610","30","99001325","0","91002"
"15","611","1","99001326","1002","11001326"
"8","612","30","99001326","0","91002"
"15","613","1","99001327","1003","11001327"
"8","614","30","99001327","0","91002"
"15","615","1","99001328","1003","11001328"
"15","616","1","99001329","1001","11001329"
"8","617","30","99001329","0","91002"
"15","618","1","99001330","1001","11001330"
"8","619","30","99001330","0","91002"
"15","620","1","99001331","1002","11001331"
"8","621","30","99001331","0","91002"
"15","622","1","99001332","1003","11001332"
"8","623","30","99001332","0","91002"
