487935998cab930f777473556e1eaaae2bb96e66298dfdd61d4a2595b78ba429,6e2b394cf5667f07ea55fdb64deaf5fef8f6ac4b43b963a01658060700f3d64f,5821aa78b46dd38e4351e3b7ccf1606b5e38e4f86e2dd0e7d166637e1ae3624b,ad5682c5ffce0994c57e9a19f497698fb5f740d87aedc8a464c2be2d82a6dd33,70fdb8e5c870f44fdc18ca1dc88a9501a68bf82cbecd0338a4582756ff8db39a,c60bb1ce70910589857b69a72344b0e2cc8145f7589b7ae665f57622ce614549,eb35a44e214115159c3569a535153c71a83c2fcecaaa75c541be2aae50ad1ac1,829b5da55b37a2c5ccef294aabc15bb2ce1a062a03c9db79abf34e233b5eb0da
"104","200","3","1","4","5","2","3511"
"103","1","3","1","4","5","2","3611"
"102","1","3","1","4","5","2","3711"
"2","250","3","1","4","5","2","3811"
"4","250","3","1","4","5","2","3812"
"102","1","3","1","4","5","2","3911"
"104","200","3","1","4","5","2","4011"
"100","2","3","1","4","5","2","4111"
"6","150","3","1","4","5","2","4211"
"7","150","3","1","4","5","2","4212"
"104","200","3","1","4","5","2","4311"
"103","1","3","1","4","5","2","4411"
"104","200","3","1","4","5","2","4511"
"101","2","3","1","4","5","2","4611"
"102","1","3","1","4","5","2","4711"
"104","200","3","1","4","5","2","4811"
"103","1","3","1","4","5","2","4911"
"104","200","3","1","4","5","2","5011"
"101","2","3","1","4","5","2","5111"
"102","1","3","1","4","5","2","5211"
"104","200","3","1","4","5","2","5311"
"6","150","3","1","4","5","2","5411"
"7","150","3","1","4","5","2","5412"
"103","1","3","1","4","5","2","5511"
"104","200","3","1","4","5","2","5611"
"100","2","3","1","4","5","2","5711"
"101","2","3","1","4","5","2","5811"
"103","1","3","1","4","5","2","5911"
"104","200","3","1","4","5","2","6011"
"102","1","3","1","4","5","2","6111"
"2","250","3","1","4","5","2","6211"
"4","250","3","1","4","5","2","6212"
"104","200","3","1","4","5","2","6311"
"103","1","3","1","4","5","2","6411"
"102","1","3","1","4","5","2","6511"
"104","200","3","1","4","5","2","6611"
"6","150","3","1","4","5","2","6711"
"7","150","3","1","4","5","2","6712"
"102","1","3","1","4","5","2","6811"
"104","200","3","1","4","5","2","6911"
"103","1","3","1","4","5","2","7011"
"101","2","3","1","4","5","2","7111"
"100","2","3","1","4","5","2","7211"
"104","200","3","1","4","5","2","7311"
"103","1","3","1","4","5","2","7411"
"102","1","3","1","4","5","2","7511"
"2","250","3","1","4","5","2","7611"
"4","250","3","1","4","5","2","7612"
"104","200","3","1","4","5","2","7711"
"101","2","3","1","4","5","2","7811"
"100","2","3","1","4","5","2","7911"
"104","200","3","1","4","5","2","8011"
"6","150","3","1","4","5","2","8111"
"7","150","3","1","4","5","2","8112"
"101","2","3","1","4","5","2","8211"
"2","250","3","1","4","5","2","8311"
"4","250","3","1","4","5","2","8312"
"103","1","3","1","4","5","2","8411"
"104","200","3","1","4","5","2","8511"
"100","2","3","1","4","5","2","8611"
"102","1","3","1","4","5","2","8711"
"103","1","3","1","4","5","2","8811"
"104","200","3","1","4","5","2","8911"
"102","1","3","1","4","5","2","9011"
"104","200","3","1","4","5","2","9111"
"2","250","3","1","4","5","2","9211"
"4","250","3","1","4","5","2","9212"
"104","200","3","1","4","5","2","9311"
"102","1","3","1","4","5","2","9411"
"103","1","3","1","4","5","2","9511"
"104","200","3","1","4","5","2","9611"
"104","200","3","1","4","5","2","9711"
"101","2","3","1","4","5","2","9811"
"104","200","3","1","4","5","2","9911"
"102","1","3","1","4","5","2","10011"
"103","1","3","1","4","5","2","10111"
"104","200","3","1","4","5","2","10211"
"2","250","3","1","4","5","2","10311"
"4","250","3","1","4","5","2","10312"
"100","2","3","1","4","5","2","10411"
"104","200","3","1","4","5","2","10511"
"103","1","3","1","4","5","2","10611"
"104","200","3","1","4","5","2","10711"
"103","1","3","1","4","5","2","10811"
"100","2","3","1","4","5","2","10911"
"104","200","3","1","4","5","2","11011"
"101","2","3","1","4","5","2","11111"
"104","200","3","1","4","5","2","11211"
"102","1","3","1","4","5","2","11311"
"104","200","3","1","4","5","2","11411"
"103","1","3","1","4","5","2","11511"
"104","200","3","1","4","5","2","11611"
"102","1","3","1","4","5","2","11711"
"104","200","3","1","4","5","2","11811"
"6","150","3","1","4","5","2","11911"
"7","150","3","1","4","5","2","11912"
"104","200","3","1","4","5","2","12011"
"102","1","3","1","4","5","2","12111"
"103","1","3","1","4","5","2","12211"
"100","2","3","1","4","5","2","12311"
"102","1","3","1","4","5","2","12411"
"104","200","3","1","4","5","2","12511"
"101","2","3","1","4","5","2","12611"
