7caea36832b528fc925315a702931aa2aacd82924a37466c5d93fba43e977d30,d64e195c7c3f3dc6dc3303b84c0d590350956b27a3cbd306f081a3475c50e9bc,6f440b37639df37bb6f4d0ff21c2dcb9ee46fa6186d3a5e654d2c126832a2b35,2c1744a34a734cd8e9a7a03b35b0cae246d60c8b085276f22313d3b549763dff,a86311fc7e8d4d7d4a5349f642cad09fb98bd6dd55917e4778486fbe4ed2afc5,f01e643dd2ee30817e5b6584b6fb8a26fffdc055e02a4d26247f0969f4ec0dfa,d124cc11eaab21ff196192bde98f4391511763512fb6d4b6ee78d2453855e1d5,8be3cf55f3c949093e72d194ec5949759ac615e4f5f3ef3189c1f33ab15d7c01,3ee6c7b4d59fbc46172ac7efc00519ac745b38975d006ab4178e8f04ed4276bf,c897cbbc80e782d3ff41dacaab600071ec0ba579fb84fb440d70efc78e6f97c0,c78de076475eb364af31d09ebd1e917114bc02555326a01d4af3de415ab28374,432f27db48065dffccbe08a77ab849e71771456b899b5a5f74ce7c8c5dffc982
"プリンセスフェスのキャラからランダムに1人仲間にできる。","0","1","1800","0","31000999","0","0","999","0","プリンセスフェスのランダムサイン","3"
"アタッカーロールのキャラからランダムに1人仲間にできる。","0","1","1200","0","31001000","1","0","0","0","アタッカーロールのランダムサイン","3"
"ブレイカーロールのキャラからランダムに1人仲間にできる。","0","1","1200","0","31002000","2","0","0","0","ブレイカーロールのランダムサイン","3"
"バッファーロールのキャラからランダムに1人仲間にできる。","0","1","1200","0","31003000","3","0","0","0","バッファーロールのランダムサイン","3"
"デバッファーロールのキャラからランダムに1人仲間にできる。","0","1","1200","0","31004000","4","0","0","0","デバッファーロールのランダムサイン","3"
"ブースターロールのキャラからランダムに1人仲間にできる。","0","1","1200","0","31005000","5","0","0","0","ブースターロールのランダムサイン","3"
"ヒーラーロールのキャラからランダムに1人仲間にできる。","0","1","1200","0","31006000","6","0","0","0","ヒーラーロールのランダムサイン","3"
"タンクロールのキャラからランダムに1人仲間にできる。","0","1","1200","0","31007000","7","0","0","0","タンクロールのランダムサイン","3"
"ジャマーロールのキャラからランダムに1人仲間にできる。","0","1","1200","0","31008000","8","0","0","0","ジャマーロールのランダムサイン","3"
"ラビリスタを仲間にできる。","0","1","99999999","0","31040005","0","0","40005","0","ラビリスタサイン","3"
"ジュンを仲間にできる。","0","1","99999999","0","31040006","0","0","40006","0","ジュンサイン","3"
"火属性のキャラからランダムに1人仲間にできる。","0","1","1200","0","31100000","0","1","0","0","火属性のランダムサイン","3"
"水属性のキャラからランダムに1人仲間にできる。","0","1","1200","0","31200000","0","2","0","0","水属性のランダムサイン","3"
"風属性のキャラからランダムに1人仲間にできる。","0","1","1200","0","31300000","0","3","0","0","風属性のランダムサイン","3"
"光属性のキャラからランダムに1人仲間にできる。","0","1","1200","0","31400000","0","4","0","0","光属性のランダムサイン","3"
"闇属性のキャラからランダムに1人仲間にできる。","0","1","1200","0","31500000","0","5","0","0","闇属性のランダムサイン","3"
