46029b415c7ae245dbed3f8f104839f4aa2b81674eea58314f161e0fb5f3507c,d168f4168dc7b912ad943a71f3bd787de44ed2f2a2b2002748621c82925b56c7,26ee9569a633ad563a674b7b829bb849308755814e7d19a984f4c848484bce86,f9944f5f45173111d8eccea0f5358c8b113198bbc24aa92b2f2a5ccf6e3b9740,9e913cc8b42b638968da727f06b44449fd49c042546f081075ed29499ad54527,46089943913f98a6c41044b5dd40ea9e6f9d70acbe9ba0260f63ea5a26d715fd,abf70d161df57816d5ad26d610ec629e0b5bcfb4d979b051f76e4dfc101b0c7c,79c9f8aa83639ea8ad75f3cda600765bf130b01cf029afcc92c6f62c1af1f512,c4528e59a08550a7bf75e84b67eb4784f8b2d191b028f076ee875dfb7a10c2c0,de63d4d72ba72b11ae31dd31d9628cf9bccde60705160779a230757a3f39678b,8a0e3cc90664af63a25ba7b5a75cece1681d86669f4b1b7692801d747a3fdef8
"1","0","2001","0","0","1","","1","0","31","120010002"
"","","2001","","","1","","0","","35","120010003"
"","","2001","","","1","","1","","32","120010004"
"1","0","2001","345.4","1","2","","2","0","31","120010005"
"","","2001","","","2","","0","","35","120010006"
"1","0","2001","345.4","0","3","","3","0","31","120010007"
"","","2001","","","3","","0","","35","120010008"
"","","2001","","","3","","1","","32","120010009"
"1","","2001","-345.4","1","31000001","","31000001","0","31","120010010"
"1","","2001","345.4","1","31000002","","31000002","0","31","120010011"
"1","","2001","0","1","100","","100","0","31","120010012"
"1","","2001","0","0","101","","101","0","31","120010013"
"","","2001","","","0","","","","91","120010014"
"","","2001","","","100","","1","","35","120010015"
"1","0","2001","0","0","1000001","","look_in","look_loop","3","120010016"
"","","2001","","","1.3","","0","","93","120010017"
"1","","2101","0","0","12","","998","0","31","121010001"
"1","","2101","0","0","14","","997","0","31","121010002"
"1","","2101","0","0","16","","996","0","31","121010003"
"","","2101","","","31000001","","0","","32","121010004"
"","","2101","","","31000002","","0","","32","121010005"
"0","","2101","-1","0","0","","0","1","121","121010006"
"","","2101","","","1","","1","","35","121010007"
"","","2101","","","3","","1","","35","121010008"
"","","2101","0","0","1000001","","pointing","","3","121010009"
"","","2101","","","1","","0","","93","121010010"
"2","","2101","-1.47","0","505","","100","1.47","121","121010011"
"","","2101","1","0.2","1000001","","run_talk1","","3","121010012"
"0","","2101","-240","","1000001","","100","1","2","121010013"
"","","2101","0","","se_travel","","se_travel_treasure_cha_run","","23","121010014"
"","","2101","","","1","","0","","93","121010015"
"1","","2201","0","0","11","","998","0","31","122010001"
"1","","2201","0","0","13","","997","0","31","122010002"
"1","","2201","0","0","15","","996","0","31","122010003"
"","","2201","","","31000001","","0","","32","122010004"
"","","2201","","","31000002","","0","","32","122010005"
"","","2201","","","1","","1","","35","122010006"
"","","2201","","","3","","1","","35","122010007"
"","","2201","0","0","1000001","","pointing","","3","122010008"
"","","2201","","","1","","0","","93","122010009"
"2","","2201","1.47","0","-505","","100","1.47","121","122010010"
"","","2201","1","0.2","1000001","","run_talk1","","3","122010011"
"0","","2201","-240","","1000001","","100","1","2","122010012"
"","","2201","0","","se_travel","","se_travel_treasure_cha_run","","23","122010013"
"","","2201","","","1","","0","","93","122010014"
"1","","3000","345.4","0","300000","","300000","0","31","130000001"
"","","3000","","","0","","","","91","130000002"
"7.4","","3000","1.05","0","1.05","","1.05","1.05","123","130000003"
"","","3000","0","0.2","1000001","","wait","","3","130000004"
"","","3000","","","2","","1","","35","130000005"
"","","3000","","","4.9","","0","","93","130000006"
"0.4","","3000","0.95","0","0.95","","0.95","0.95","123","130000007"
"","","3000","","","300000","","1","","32","130000008"
"","","3000","","","0.1","","0","","93","130000009"
"","","3000","","","2","","0","","32","130000010"
"","","3000","","","0.1","","0","","93","130000011"
"","","3000","","","996","","1","","32","130000012"
"","","3000","0","0","1000001","","joy_from_wait","","3","130000013"
"","","3000","","","1.9","","0","","93","130000014"
"","","3000","0","0","1000001","","glad_from_joy","","3","130000015"
"","","3000","","","1.5","","0","","93","130000016"
"","","3000","1","0.2","1000001","","run_gatein","","3","130000017"
"","","3000","","","se_travel","","se_travel_treasure_cha_run","","23","130000018"
"0","","3000","-195","","1000001","","450","1","2","130000019"
"","","3000","","","0.5","","1","","93","130000020"
"0","0","3000","1","0.4","1000001","","1","1","6","130000021"
"","","3000","","","0.4","","0","","93","130000022"
"","","3000","","","1","","","","113","130000023"
"1","","3001","345.4","0","300100","","300100","0","31","130010001"
"1","","3001","345.4","1","990001","","990001","0","31","130010002"
"","","3001","","","0","","","","91","130010003"
"7.4","","3001","1.05","0","1.05","","1.05","1.05","123","130010004"
"","","3001","0","0.2","1000001","","wait","","3","130010005"
"","","3001","","","2","","1","","35","130010006"
"","","3001","","","5.4","","0","","93","130010007"
"0.4","","3001","0.95","0","0.95","","0.95","0.95","123","130010008"
"","","3001","0","0.2","1000001","","glad","","3","130010009"
"","","3001","","","300100","","1","","32","130010010"
"","","3001","","","996","","1","","32","130010011"
"","","3001","","","0.1","","0","","93","130010012"
"","","3001","","","2","","0","","32","130010013"
"","","3001","","","3","","0","","32","130010014"
"","","3001","","","1.5","","0","","93","130010015"
"","","3001","0","0.2","1000001","","joy","","3","130010016"
"","","3001","","","1.7","","0","","93","130010017"
"","","3001","1","0","1000001","","run_gatein","","3","130010018"
"0","","3001","-195","","1000001","","450","1","2","130010019"
"","","3001","","","0.5","","1","","93","130010020"
"0","0","3001","1","0.4","1000001","","1","1","6","130010021"
"","","3001","","","0.4","","0","","93","130010022"
"","","3001","","","1","","","","113","130010023"
"1","","3002","345.4","0","300100","","300100","0","31","130020001"
"1","","3002","345.4","1","990002","","990002","0","31","130020002"
"","","3002","","","0","","","","91","130020003"
"7.4","","3002","1.05","0","1.05","","1.05","1.05","123","130020004"
"","","3002","0","0.2","1000001","","wait","","3","130020005"
"","","3002","","","2","","1","","35","130020006"
"","","3002","","","5.4","","0","","93","130020007"
"0.4","","3002","0.95","0","0.95","","0.95","0.95","123","130020008"
"","","3002","0","0.2","1000001","","glad","","3","130020009"
"","","3002","","","300100","","1","","32","130020010"
"","","3002","","","996","","1","","32","130020011"
"","","3002","","","0.1","","0","","93","130020012"
"","","3002","","","2","","0","","32","130020013"
"","","3002","","","3","","0","","32","130020014"
"","","3002","","","1.5","","0","","93","130020015"
"","","3002","0","0.2","1000001","","joy","","3","130020016"
"","","3002","","","1.7","","0","","93","130020017"
"","","3002","1","0","1000001","","run_gatein","","3","130020018"
"0","","3002","-195","","1000001","","450","1","2","130020019"
"","","3002","","","0.5","","1","","93","130020020"
"0","0","3002","1","0.4","1000001","","1","1","6","130020021"
"","","3002","","","0.4","","0","","93","130020022"
"","","3002","","","1","","","","113","130020023"
"1","","3011","345.4","0","6","","6","0","31","130110001"
"1","","3011","345.4","0","8","","8","0","31","130110002"
"1","","3011","345.4","0","301100","","301100","0","31","130110003"
"","","3011","","","0","","","","91","130110004"
"7.4","","3011","1.05","0","1.05","","1.05","1.05","123","130110005"
"","","3011","0","0.2","1000001","","wait","","3","130110006"
"","","3011","","","2","","1","","35","130110007"
"","","3011","","","4.9","","0","","93","130110008"
"0.3","","3011","0.95","0","0.95","","0.95","0.95","123","130110009"
"","","3011","0","","se_travel","","se_travel_treasure_ghost_success","","23","130110010"
"","","3011","","","8","","1","","32","130110011"
"","","3011","","","8","","0","","35","130110012"
"","","3011","","","6","","1","","32","130110013"
"","","3011","","","0.1","","0","","93","130110014"
"","","3011","","","2","","0","","32","130110015"
"","","3011","","","3","","0","","32","130110016"
"","","3011","0","","1000001","","dotEyes","","3","130110017"
"","","3011","","","0.87","","0","","93","130110018"
"","","3011","0","0.2","1000001","","glad","","3","130110019"
"","","3011","","","301100","","1","","32","130110020"
"","","3011","","","8","","1","","35","130110021"
"","","3011","","","0.6","","0","","93","130110022"
"","","3011","","","996","","1","","32","130110023"
"","","3011","","","0.5","","0","","93","130110024"
"","","3011","0","","1000001","","joy","","3","130110025"
"","","3011","","","1.67","","0","","93","130110026"
"","","3011","1","0","1000001","","run_gatein","","3","130110027"
"0","","3011","-195","","1000001","","450","1","2","130110028"
"","","3011","","","0.5","","1","","93","130110029"
"0","0","3011","1","0.4","1000001","","1","1","6","130110030"
"","","3011","","","0.4","","0","","93","130110031"
"","","3011","","","1","","","","113","130110032"
"","","3012","1","0.2","1000001","","idle","","3","130120001"
"1","","3012","0","0","301200","","13","0","31","130120002"
"1","","3012","0","0","101","","14","0","31","130120003"
"1","","3012","260","0","301204","","16","-150","31","130120004"
"1","","3012","0","0","301205","","17","0","31","130120005"
"1","","3012","345.4","0","6","","18","0","31","130120006"
"1","","3012","345.4","0","301201","","20","0","31","130120007"
"1","","3012","345.4","0","301202","","21","0","31","130120008"
"-234","0","3012","55","1","1","round_monster_walk","3","9340","5","130120009"
"","","3012","","","0","","","","91","130120010"
"0","0","3012","1","0","3","","1","1","6","130120011"
"0","0","3012","-234","0","3","","345","0","2","130120012"
"7.4","0","3012","1.05","0","1.05","","1.05","1.05","123","130120013"
"","","3012","0","0.2","1000001","","wait","","3","130120014"
"","","3012","","","2","","1","","35","130120015"
"1","","3012","0","0","301203","","15","0","31","130120016"
"-250","0","3012","57","0.89","2","<weapon>_run","1000002","9340","1","130120017"
"","","3012","","","4.3","","0","","93","130120018"
"0.4","","3012","0.95","0","0.95","","0.95","0.95","123","130120019"
"","","3012","","","21","","1","","32","130120020"
"","","3012","","","21","","0","","35","130120021"
"","","3012","","","se_travel","","se_travel_treasure_success_monster_helper_1","","23","130120022"
"","","3012","","","18","","1","","32","130120023"
"","","3012","","","0.1","","0","","93","130120024"
"","","3012","","","2","","0","","32","130120025"
"1","0","3012","1","0.3","3","","1","1","6","130120026"
"","","3012","","","13","","1","","32","130120027"
"","","3012","0","","3","","round_monster_appear","","3","130120028"
"","","3012","0","","1000001","","back","","3","130120029"
"","","3012","","","0.67","","0","","93","130120030"
"","","3012","0","0.2","3","","round_monster_walk","","3","130120031"
"0","","3012","-234","","3","","220","1.4","2","130120032"
"","","3012","","","20","","1","","32","130120033"
"","","3012","","","0.1","","0","","93","130120034"
"","","3012","","","18","","0","","32","130120035"
"","","3012","","","0.5","","0","","93","130120036"
"","","3012","","","1000002","","1","","4","130120037"
"0","","3012","-240","","1000002","","1445","0","2","130120038"
"","","3012","","","0.5","","0","","93","130120039"
"","","3012","0","0.3","3","","round_monster_attack","","3","130120040"
"","","3012","","","0.5","","0","","93","130120041"
"","","3012","","","17","","1","","32","130120042"
"","","3012","0","0.1","1000001","","back_loop","","3","130120043"
"","","3012","","","0.5","","0","","93","130120044"
"0","","3012","-240","","1000002","","950","0","2","130120045"
"0","","3012","-240","","1000002","","650","0.16","2","130120046"
"","","3012","0","0.2","1000002","","<weapon>_run","","3","130120047"
"","","3012","","","0.16","","0","","93","130120048"
"","","3012","0","0.2","1000002","","<weapon>_attack_skipQuest","","3","130120049"
"","","3012","","","0.1","","0","","93","130120050"
"0","","3012","-234","","3","","280","0","2","130120051"
"","","3012","","","3","","1","","4","130120052"
"","","3012","0","0.2","3","","round_monster_die","","3","130120053"
"","","3012","","","16","","1","","32","130120054"
"","","3012","","","0.5","","0","","93","130120055"
"0","","3012","-240","","1000001","","20","0","2","130120056"
"","","3012","0","0","1000001","","back_origin","","3","130120057"
"","","3012","0","0.2","1000001","","surprise","","3","130120058"
"","","3012","1","0.2","1000002","","<weapon>_idle","","3","130120059"
"","","3012","","","0.66","","0","","93","130120060"
"","","3012","","","15","","1","","32","130120061"
"","","3012","","","996","","1","","32","130120062"
"0","","3012","1","0.6","3","","1","1","6","130120063"
"","","3012","0","0.2","1000001","","joy_short","","3","130120064"
"","","3012","","","18","","1","","32","130120065"
"","","3012","","","0.02","","0","","93","130120066"
"","","3012","","","20","","0","","32","130120067"
"","","3012","","","21","","0","","32","130120068"
"","","3012","","","1.5","","0","","93","130120069"
"","","3012","0","0.2","1000001","","smile","","3","130120070"
"","","3012","1","0","1000002","","<weapon>_run","","3","130120071"
"","","3012","","","1000002","","0","","4","130120072"
"0","","3012","-250","","1000002","","1500","2","2","130120073"
"","","3012","","","1","","0","","93","130120074"
"0","","3012","1","0.2","1000002","","1","1","6","130120075"
"","","3012","1","0.2","1000001","","run_gatein","","3","130120076"
"0","","3012","-200","","1000001","","360","1","2","130120077"
"","","3012","","","0.5","","0","","93","130120078"
"0","","3012","1","0.4","1000001","","1","1","6","130120079"
"","","3012","","","0.4","","0","","93","130120080"
"","","3012","","","1","","0","","113","130120081"
"1","","3013","345.4","0","301300","","301300","0","31","130130001"
"","","3013","","","0","","","","91","130130002"
"","","3013","0","0.2","1000001","","wait_gradeUp","","3","130130003"
"","","3013","","","301300","","1","","32","130130004"
"","","3013","","","0.1","","0","","93","130130005"
"","","3013","","","2","","0","","32","130130006"
"","","3013","","","0.8","","0","","93","130130007"
"0","","3013","1.05","0","1.05","","1.05","1.05","123","130130008"
"","","3013","0.5","","5","","5","","122","130130009"
"","","3013","","","1.1","","0","","93","130130010"
"0","","3013","1.05","0","1.05","","1.05","1.05","123","130130011"
"","","3013","0.5","","10","","10","","122","130130012"
"","","3013","","","0.8","","0","","93","130130013"
"","","3013","0","0.2","1000001","","glad","","3","130130014"
"","","3013","","","0.1","","0","","93","130130015"
"2","","3013","0.907","2","0.907","","0.907","0.907","123","130130016"
"","","3013","","","0.3","","0","","93","130130017"
"","","3013","","","996","","1","","32","130130018"
"","","3013","","","0.5","","0","","93","130130019"
"","","3013","0","0.2","1000001","","joy","","3","130130020"
"","","3013","","","1.7","","0","","93","130130021"
"","","3013","1","0","1000001","","run_gatein","","3","130130022"
"0","","3013","-195","","1000001","","450","1","2","130130023"
"","","3013","","","0.5","","1","","93","130130024"
"0","0","3013","1","0.4","1000001","","1","1","6","130130025"
"","","3013","","","0.4","","0","","93","130130026"
"","","3013","","","1","","","","113","130130027"
"1","","3014","345.4","0","301400","","301400","0","31","130140001"
"","","3014","","","0","","","","91","130140002"
"7.4","","3014","1.05","0","1.05","","1.05","1.05","123","130140003"
"","","3014","0","0.2","1000001","","wait","","3","130140004"
"","","3014","","","301400","","1","","32","130140005"
"","","3014","","","0.1","","0","","93","130140006"
"","","3014","","","2","","0","","32","130140007"
"","","3014","","","3.4","","0","","93","130140008"
"3.2","","3014","0.95","5","0.95","","0.95","0.95","123","130140009"
"","","3014","","","1.6","","0","","93","130140010"
"","","3014","0","0.2","1000001","","relief","","3","130140011"
"","","3014","","","996","","1","","32","130140012"
"","","3014","","","1.7","","0","","93","130140013"
"","","3014","1","0","1000001","","run_gatein","","3","130140014"
"0","","3014","-195","","1000001","","450","1","2","130140015"
"","","3014","","","0.5","","1","","93","130140016"
"0","0","3014","1","0.4","1000001","","1","1","6","130140017"
"","","3014","","","0.4","","0","","93","130140018"
"","","3014","","","1","","","","113","130140019"
"1","","3015","345.4","0","301501","","301501","0","31","130150001"
"1","","3015","345.4","1","301500","","301500","0","31","130150002"
"","","3015","","","0","","","","91","130150003"
"7.4","","3015","1.05","0","1.05","","1.05","1.05","123","130150004"
"","","3015","0","0.2","1000001","","wait_wakuwaku","","3","130150005"
"","","3015","","","2","","1","","35","130150006"
"","","3015","","","5.4","","0","","93","130150007"
"0.4","","3015","0.95","0","0.95","","0.95","0.95","123","130150008"
"","","3015","0","0.2","1000001","","glad","","3","130150009"
"","","3015","","","301501","","1","","32","130150010"
"","","3015","","","996","","1","","32","130150011"
"","","3015","","","0.1","","0","","93","130150012"
"","","3015","","","2","","0","","32","130150013"
"","","3015","","","3","","0","","32","130150014"
"","","3015","","","1.5","","0","","93","130150015"
"","","3015","0","0.2","1000001","","joy","","3","130150016"
"","","3015","","","1.7","","0","","93","130150017"
"","","3015","1","0","1000001","","run_gatein","","3","130150018"
"0","","3015","-195","","1000001","","450","1","2","130150019"
"","","3015","","","0.5","","1","","93","130150020"
"0","0","3015","1","0.4","1000001","","1","1","6","130150021"
"","","3015","","","0.4","","0","","93","130150022"
"","","3015","","","1","","","","113","130150023"
"1","","3016","345.4","0","6","","6","0","31","130160001"
"1","","3016","345.4","0","8","","8","0","31","130160002"
"1","","3016","345.4","0","301600","","301600","-80","31","130160003"
"1","","3016","345.4","0","301601","","301601","0","31","130160004"
"1","","3016","345.4","1","990002","","990002","0","31","130160005"
"","","3016","","","0","","","","91","130160006"
"7.4","","3016","1.05","0","1.05","","1.05","1.05","123","130160007"
"","","3016","0","0.2","1000001","","wait","","3","130160008"
"","","3016","","","2","","1","","35","130160009"
"","","3016","","","5.4","","0","","93","130160010"
"0.4","","3016","0.95","0","0.95","","0.95","0.95","123","130160011"
"","","3016","","","8","","1","","32","130160012"
"","","3016","","","8","","0","","35","130160013"
"","","3016","","","301600","","1","","32","130160014"
"","","3016","","","6","","1","","32","130160015"
"","","3016","","","0.1","","0","","93","130160016"
"","","3016","","","2","","0","","32","130160017"
"","","3016","","","3","","0","","32","130160018"
"","","3016","0","0.1","1000001","","glad","","3","130160019"
"","","3016","0","","se_travel","","se_travel_treasure_success_butterfly","","23","130160020"
"","","3016","","","0.5","","0","","93","130160021"
"","","3016","","","8","","1","","35","130160022"
"","","3016","","","1.1","","0","","93","130160023"
"","","3016","","","301601","","1","","32","130160024"
"","","3016","","","996","","1","","32","130160025"
"","","3016","0","0.2","1000001","","joy","","3","130160026"
"","","3016","","","1.67","","0","","93","130160027"
"","","3016","1","0","1000001","","run_gatein","","3","130160028"
"","","3016","0","","se_travel","","se_travel_treasure_cha_run","","23","130160029"
"0","","3016","-195","","1000001","","450","1","2","130160030"
"","","3016","","","0.5","","1","","93","130160031"
"0","0","3016","1","0.4","1000001","","1","1","6","130160032"
"","","3016","","","0.4","","0","","93","130160033"
"","","3016","","","1","","","","113","130160034"
"1","","3017","345.4","0","310000","","310000","0","31","130170001"
"1","","3017","0","0","310001","","310001","0","31","130170002"
"1","","3017","345.4","0","301700","","301700","0","31","130170003"
"1","","3017","740","0","301701","","301701","-115","31","130170004"
"1","","3017","345.4","0","301702","","301702","0","31","130170005"
"1","","3017","345.4","0","301703","","301703","0","31","130170006"
"-235","0","3017","100","0.44","5","empty","15","610","5","130170007"
"-235","0","3017","55","0.44","5","empty","16","610","5","130170008"
"","","3017","","","0","","","","91","130170009"
"7.4","","3017","1.05","0","1.05","","1.05","1.05","123","130170010"
"","","3017","0","0.2","1000001","","wait","","3","130170011"
"","","3017","","","2","","1","","35","130170012"
"","","3017","","","5.4","","0","","93","130170013"
"0.3","","3017","0.95","0","0.95","","0.95","0.95","123","130170014"
"","","3017","","","310000","","1","","32","130170015"
"","","3017","","","310001","","1","","32","130170016"
"","","3017","","","0.2","","0","","93","130170017"
"","","3017","0.6","","50","","50","","122","130170018"
"","","3017","0","0.2","1000001","","shock","","3","130170019"
"","","3017","","","1.6","","0","","93","130170020"
"","","3017","","","301700","","1","","32","130170021"
"","","3017","","","1.2","","0","","93","130170022"
"","","3017","0","","se_travel","","se_travel_treasure_croce_ui","","23","130170023"
"","","3017","0","","15","","punch","","3","130170024"
"","","3017","0","","16","","punch_B","","3","130170025"
"","","3017","","","0.2","","0","","93","130170026"
"0.1","","3017","1.05","11","1.05","","1.05","1.05","123","130170027"
"","","3017","","","0.1","","0","","93","130170028"
"0.3","","3017","0.95","0","0.95","","0.95","0.95","123","130170029"
"","","3017","","","1","","0","","93","130170030"
"","","3017","0","","se_travel","","se_travel_treasure_croce_door","","23","130170031"
"","","3017","","","0.4","","0","","93","130170032"
"","","3017","","","301701","","1","","32","130170033"
"","","3017","","","0.9","","0","","93","130170034"
"0","","3017","1.05","0","1.05","","1.05","1.05","123","130170035"
"","","3017","0.6","","75","","75","","122","130170036"
"","","3017","","","301702","","1","","32","130170037"
"","","3017","","","0.4","","0","","93","130170038"
"","","3017","","","2","","0","","32","130170039"
"","","3017","","","310000","","0","","32","130170040"
"","","3017","","","0.4","","0","","93","130170041"
"2","","3017","0.95","11","0.95","","0.95","0.95","123","130170042"
"","","3017","","","0.2","","0","","93","130170043"
"","","3017","0","0.2","1000001","","glad","","3","130170044"
"","","3017","","","301703","","1","","32","130170045"
"","","3017","","","0.1","","0","","93","130170046"
"","","3017","","","996","","1","","32","130170047"
"","","3017","","","0.9","","0","","93","130170048"
"","","3017","0","0.2","1000001","","joy","","3","130170049"
"","","3017","","","1.7","","0","","93","130170050"
"","","3017","1","0","1000001","","run_gatein","","3","130170051"
"","","3017","","","se_travel","","se_travel_treasure_cha_run","","23","130170052"
"0","","3017","-195","","1000001","","450","1","2","130170053"
"","","3017","","","0.5","","1","","93","130170054"
"0","0","3017","1","0.4","1000001","","1","1","6","130170055"
"","","3017","","","0.4","","0","","93","130170056"
"","","3017","","","1","","","","113","130170057"
"1","","3100","345.4","0","310000","","310000","0","31","131000001"
"1","","3100","0","0","310001","","310001","0","31","131000002"
"","","3100","","","0","","","","91","131000003"
"7.4","","3100","1.05","0","1.05","","1.05","1.05","123","131000004"
"","","3100","0","0.2","1000001","","wait","","3","131000005"
"","","3100","","","2","","1","","35","131000006"
"","","3100","","","5.4","","0","","93","131000007"
"0.3","","3100","0.95","0","0.95","","0.95","0.95","123","131000008"
"","","3100","","","310000","","1","","32","131000009"
"","","3100","","","310001","","1","","32","131000010"
"","","3100","","","0.2","","0","","93","131000011"
"","","3100","0.6","","50","","50","","122","131000012"
"","","3100","0","0.2","1000001","","shock","","3","131000013"
"","","3100","","","1.6","","0","","93","131000014"
"","","3100","","","2","","","","113","131000015"
"1","","3111","345.4","0","6","","6","0","31","131110001"
"1","","3111","345.4","0","7","","7","0","31","131110002"
"1","","3111","345.4","0","8","","8","0","31","131110003"
"0","0","3111","55","1.3","3","appear","13","8000","5","131110004"
"","","3111","","","0","","","","91","131110005"
"0","0","3111","1","0","13","","1","1","6","131110006"
"0","","3111","-250","","13","","95","0","2","131110007"
"7.4","","3111","1.05","0","1.05","","1.05","1.05","123","131110008"
"","","3111","0","0.2","1000001","","wait","","3","131110009"
"","","3111","","","2","","1","","35","131110010"
"","","3111","","","4.9","","0","","93","131110011"
"0.3","","3111","0.95","0","0.95","","0.95","0.95","123","131110012"
"","","3111","0","","se_travel","","se_travel_treasure_ghost_fail","","23","131110013"
"","","3111","","","8","","1","","32","131110014"
"","","3111","","","8","","0","","35","131110015"
"","","3111","","","6","","1","","32","131110016"
"","","3111","","","0.1","","0","","93","131110017"
"","","3111","","","2","","0","","32","131110018"
"","","3111","","","3","","0","","32","131110019"
"","","3111","0","","1000001","","dotEyes","","3","131110020"
"","","3111","","","0.3","","0","","93","131110021"
"","","3111","0","","13","","appear","","3","131110022"
"1","0","3111","1","0","13","","1","1","6","131110023"
"","","3111","","","0.67","","0","","93","131110024"
"","","3111","0","","1000001","","shock_jump","","3","131110025"
"0","","3111","-250","","1000001","","70","1","2","131110026"
"","","3111","","","1.1","","0","","93","131110027"
"","","3111","1","","1000001","","escape","","3","131110028"
"0","","3111","-250","","1000001","","-350","1.2","2","131110029"
"","","3111","0","","13","","march","","3","131110030"
"","","3111","","","0.2","","0","","93","131110031"
"","","3111","","","7","","1","","32","131110032"
"","","3111","","","0.1","","0","","93","131110033"
"","","3111","","","6","","0","","32","131110034"
"","","3111","","","1.6","","0","","93","131110035"
"","","3111","","","2","","","","113","131110036"
"","","3112","1","0.2","1000001","","idle","","3","131120001"
"1","","3112","0","0","301200","","13","0","31","131120002"
"1","","3112","0","0","101","","14","0","31","131120003"
"1","","3112","0","0","301205","","15","0","31","131120004"
"1","","3112","130","0","301206","","16","-170","31","131120005"
"1","","3112","345.4","0","6","","18","0","31","131120006"
"1","","3112","345.4","0","301201","","20","0","31","131120007"
"1","","3112","345.4","0","301202","","21","0","31","131120008"
"-234","0","3112","55","1","1","round_monster_walk","3","9340","5","131120009"
"","","3112","","","0","","","","91","131120010"
"0","0","3112","1","0","3","","1","1","6","131120011"
"0","0","3112","-234","0","3","","345","0","2","131120012"
"7.4","0","3112","1.05","0","1.05","","1.05","1.05","123","131120013"
"","","3112","0","0.2","1000001","","wait","","3","131120014"
"","","3112","","","2","","1","","35","131120015"
"","","3112","","","4.3","","0","","93","131120016"
"0.4","","3112","0.95","0","0.95","","0.95","0.95","123","131120017"
"","","3112","","","21","","1","","32","131120018"
"","","3112","","","21","","0","","35","131120019"
"","","3112","","","se_travel","","se_travel_treasure_monster_failure","","23","131120020"
"","","3112","","","18","","1","","32","131120021"
"","","3112","","","0.1","","0","","93","131120022"
"","","3112","","","2","","0","","32","131120023"
"1","0","3112","1","0.3","3","","1","1","6","131120024"
"","","3112","","","13","","1","","32","131120025"
"","","3112","0","","3","","round_monster_appear","","3","131120026"
"","","3112","0","","1000001","","back","","3","131120027"
"","","3112","","","0.67","","0","","93","131120028"
"","","3112","0","0.2","3","","round_monster_walk","","3","131120029"
"0","0","3112","-234","0","3","","220","1.4","2","131120030"
"","","3112","","","20","","1","","32","131120031"
"","","3112","","","0.1","","0","","93","131120032"
"","","3112","","","18","","0","","32","131120033"
"","","3112","","","1","","0","","93","131120034"
"","","3112","0","0.3","3","","round_monster_attack","","3","131120035"
"","","3112","","","0.5","","0","","93","131120036"
"","","3112","","","15","","1","","32","131120037"
"","","3112","1","0.2","1000001","","back_loop","","3","131120038"
"","","3112","","","1","","0","","93","131120039"
"","","3112","","","16","","1","","32","131120040"
"","","3112","0.5","","0","","50","","122","131120041"
"0","","3112","-250","","1000001","","40","0","2","131120042"
"","","3112","0","0","1000001","","shock_jump","","3","131120043"
"","","3112","","","0.6","","0","","93","131120044"
