410df51b63bb687d95dfadc25b6593cf9074e4f2e0c363a811d66f780e9234f7,23b18b400533248b69a99be60c615c04306410f8d239c5ae5977f3734f403058,950084ab0fff90cefa9e88bb4c7d45e209ffc3ea74564fe530ba4fc46172e7c9,943c47b802003e3bfb5f86410e898c0b0640508827983105c7baffea2c40d10e,2300027b7203beb639efa0cdeffded7e714847d6cf01c400c62eb7ec7c9c4104,fc5ca7f5a9e3745d9944d3d442d03cdf0fd0fa67604cdade8306e1a2ffe291c8,949ab4fde4b0246f0e3359b9aca402750588af7d7363a62c494232364e1f3f96,5d93aec9c90f944507e9980b5368a0de0159b2108a5cefba074b031f4b052dae,e0158cdee822e9af2ccb783e6f7cdb17c9d4819e655f14d8c0b8f5a2f6dfa4fd,40af923427bb34dcf409f20fd84ceee768606d8b6f0004be07d93216e1b9ba56,37a8a76bb2fdc4f5c549c0aabdd4380288468a149406ec630badc5890ce18172
"1","1","12","0","12020","0","10","0","1","11","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……"
"","0","12","","12021","","0","","0","91",""
"","","12","0.3","12022","","1","","1","3","surprise_talk_dere"
"","0","12","","12023","","0","","vo_asb","21","vo_asb_0124"
"1","1","12","0","12024","0","10","0","1","11","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……"
"","0","12","","12025","","0","","0","91",""
"1","sad_idle_red_riri","12","0.4","12026","","0","0","1","3","sad_talk_riri_in"
"","0","12","","12027","","0","","vo_asb","21","vo_asb_0125"
"1","1","12","0","12028","0","10","0","1","11","……一緒に……手土産を……\n……ぽっ。"
"","0","12","","12029","","0","","0","91",""
"","","12","","12030","","","","12031","101",""
"0","1","12","0.3","12031","","1","0","1","6","1"
"0","1","12","0.3","12032","","1","0","0","6","1"
"1","0.3","12","","12033","","-250","","1","2","-120"
"1","0.3","12","","12034","","0","","0","2","-100"
"","","12","","12035","","","","0","22","0"
"","","12","","12036","","","","0.4","93","0"
"-230","20","13","2.2","13001","riri_idle_look_shy","17","0","1","5","1"
"-255","-140","13","2.2","13002","clear_idle_look_shy","19","0","2","5","2"
"-245","270","13","2.2","13003","idle_look_precia","18","1","3","5","3"
"0","1","13","0","13004","","1","0","1","6","1"
"0","1","13","0","13005","","1","0","2","6","1"
"0","1","13","0","13006","","1","0","3","6","1"
"1","0","13","0","13007","","0","","1","31","100"
"","","13","","13008","","","","100","35","0"
"0","50","13","1","13009","black","16","0","0","5","0"
"0","1","13","0","13010","","1","0","0","6","1"
"","","13","","13011","","","","0","91",""
"","","13","","13012","","","","0.1","93","0"
"1","1","13","0.2","13013","","1","0","1","6","1"
"1","1","13","0.2","13014","","1","0","2","6","1"
"1","1","13","0.2","13015","","1","0","3","6","1"
"1","1","13","0.2","13016","","1","0","0","6","1"
"2","0.3","13","","13017","","-230","","1","2","-30"
"2","0.3","13","","13018","","-255","","2","2","-190"
"2","0.3","13","","13019","","-245","","3","2","220"
"2","0.3","13","","13020","","0","","0","2","0"
"","","13","","13021","","","","100","32","1"
"","","13","","13022","","","","0.6","93","0"
"","","13","0.2","13023","","1","","1","3","sad_talk_look_shy_riri"
"","0","13","","13024","","0","","vo_asb","21","vo_asb_1521"
"1","1","13","0","13025","0","10","0","1","11","実はわたくしたち……\nこの、学びのスクラップブックを\n兄様にご覧いただくのが、\n少し、恥ずかしかったのです。"
"","0","13","","13026","","0","","0","91",""
"","","13","0.2","13027","","1","","1","3","sad_idle_normal_look_shy_riri"
"","","13","0.2","13028","","1","","2","3","clear_talk_look_shy"
"","0","13","","13029","","0","","vo_asb","21","vo_asb_1522"
"1","1","13","0","13030","0","10","0","2","11","だって、楽しい思い出と同じくらい、\nヘマしたり、力及ばずなこともあって。\nそれを改めてお兄さんに見てもらうのは\n勇気がいるっていうか……"
"","0","13","","13031","","0","","0","91",""
"","","13","0.3","13032","","1","","2","3","clear_idle_look_shy"
"","","13","0.2","13033","","1","","3","3","sad_talk_look_precia"
"","0","13","","13034","","0","","vo_asb","21","vo_asb_1523"
"1","1","13","0","13035","0","10","0","3","11","せきらら\nぼうけんき。"
"","0","13","","13036","","0","","0","91",""
"","","13","0.2","13037","","1","","3","3","idle_look_precia"
"","","13","0.3","13038","","1","","1","3","talk_look_shy_riri"
"","0","13","","13039","","0","","vo_asb","21","vo_asb_1524"
"1","1","13","0","13040","0","10","0","1","11","でも……これも学びです。\n兄様。ぜひご覧になった感想を、\nお聞かせ願えませんでしょうか？"
"","0","13","","13041","","0","","0","91",""
"","","13","0.2","13042","","1","","1","3","wish_talk_look_shy_riri"
"","0","13","","13043","","0","","vo_asb","21","vo_asb_1525"
"1","1","13","0","13044","0","10","0","1","11","どんなに厳しい叱咤もご指導も、\n謹んでお受けいたしますので──\nって、…………え？"
"","0","13","","13045","","0","","0","91",""
"","","13","0.2","13046","","1","","2","3","idle_look_shy"
"","","13","0.3","13047","","1","","3","3","joy_idle_look_shy_precia"
"","","13","0.2","13048","","1","","1","3","wish_talk_Ex4"
"","0","13","","13049","","0","","vo_asb","21","vo_asb_1526"
"1","1","13","0","13050","0","10","0","1","11","…………\nま、まさか……\nそのようにお褒めいただけるなんて……"
"","0","13","","13051","","0","","0","91",""
"","","13","0.2","13052","","1","","1","3","idle_look_shy_riri"
"","","13","0.4","13053","","1","","3","3","surprise_idle_lookR_precia"
"","0","13","","13054","","0","","vo_asb","21","vo_asb_1527"
"1","1","13","0","13055","0","10","0","3","11","お兄……"
"","0","13","","13056","","0","","0","91",""
"","","13","0.4","13057","","1","","3","3","joy_idle_look_shy_precia2"
"","","13","0.2","13058","","1","","2","3","clear_talk2_look"
"","0","13","","13059","","0","","vo_asb","21","vo_asb_1528"
"1","1","13","0","13060","0","10","0","2","11","お兄さんは、\n結果云々ではなく、\nわたしたちががんばったこと、\nそれ自体を褒めてくれるんですね……"
"","0","13","","13061","","0","","0","91",""
"","","13","0.2","13062","","1","","1","3","wish_talk_Ex3"
"","","13","0.3","13063","","1","","3","3","joy_idle_look_shy_precia"
"1","clear_wish_talk_joy_look","13","0.2","13064","","0","0","2","3","talk2ToWish_look"
"","0","13","","13065","","0","","vo_asb","21","vo_asb_1529"
"1","1","13","0","13066","0","10","0","1","11","……ありがとうございます！"
"","0","13","","13067","","0","","0","91",""
"","","13","0.2","13068","","1","","1","3","idle_look_shy_riri"
"","","13","0.2","13069","","1","","2","3","idle_look_shy"
"1","doya_talk_precia","13","0.2","13070","","0","0","3","3","doya_in_precia"
"","0","13","","13071","","0","","vo_asb","21","vo_asb_1530"
"1","1","13","0","13072","0","10","0","3","11","むねはり。\nぼうけんき。"
"","0","13","","13073","","0","","0","91",""
"","","13","0.4","13074","","1","","3","3","idle_look_normal_precia"
"","","13","0.2","13075","","1","","1","3","riri_talk_look_shy"
"","0","13","","13076","","0","","vo_asb","21","vo_asb_1531"
"1","1","13","0","13077","0","10","0","1","11","ご覧の通り何事も拙く、\n未熟なわたくしたちですが……"
"","0","13","","13078","","0","","0","91",""
"","","13","0.2","13079","","1","","1","3","riri_idle_look_normal_shy"
"","","13","0.2","13080","","1","","2","3","clear_talk3_look"
"","0","13","","13081","","0","","vo_asb","21","vo_asb_1532"
"1","1","13","0","13082","0","10","0","2","11","こうしてお兄さんが\n温かく見守ってくれるおかげで、\n立派な冒険者になるという夢を、\n追い続けることができています。"
"","0","13","","13083","","0","","0","91",""
"","","13","0.2","13084","","1","","2","3","clear_wish_talk_joy_look"
"","0","13","","13085","","0","","vo_asb","21","vo_asb_1533"
"1","1","13","0","13086","0","10","0","2","11","お兄さん。\nこれからも、【アルターメイデン】の\n側にいてくださいね。"
"","0","13","","13087","","0","","0","91",""
"","","13","0.2","13088","","1","","2","3","clear_wish_idle_look"
"1","joy_idle_look_shy_precia2","13","0.1","13089","","0","0.2","3","3","agree"
"","0","13","","13090","","0","","vo_asb","21","vo_asb_1534"
"1","1","13","0","13091","0","10","0","3","11","よろしく。"
"","0","13","","13092","","0","","0","91",""
"1","idle_look_shy_riri","13","0.2","13093","","0","0.2","1","3","bow_riri"
"","0","13","","13094","","0","","vo_asb","21","vo_asb_1535"
"1","1","13","0","13095","0","10","0","1","11","お願いいたします……！"
"","0","13","","13096","","0","","0","91",""
"","","13","","13097","","","","13098","101",""
"0","1","13","0.3","13098","","1","0","1","6","1"
"0","1","13","0.3","13099","","1","0","2","6","1"
"0","1","13","0.3","13100","","1","0","3","6","1"
"0","1","13","0.3","13101","","1","0","0","6","1"
"1","0.3","13","","13102","","-230","","1","2","-130"
"1","0.3","13","","13103","","-255","","2","2","-290"
"1","0.3","13","","13104","","-245","","3","2","120"
"1","0.3","13","","13105","","0","","0","2","-100"
"","","13","","13106","","","","0","22","0"
"","","13","","13107","","","","100","35","1"
"1","0.3","13","","13108","","0","","100","33","-100"
"","","13","","13109","","","","0.4","93","0"
"","","13","","13110","","","","100","32","0"
"-250","30","22","2.2","22001","surprise_idle_normal2_precia","52","0","3","5","1"
"0","1","22","0","22002","","1","0","1","6","1"
"0","50","22","1","22003","black","29","0","0","5","0"
"0","1","22","0","22004","","1","0","0","6","1"
"","","22","","22005","","","","0","91",""
"1","1","22","0.2","22006","","1","0","1","6","1"
"1","1","22","0.2","22007","","1","0","0","6","1"
"2","0.3","22","","22008","","-250","","1","2","-20"
"2","0.3","22","","22009","","0","","0","2","0"
"","","22","","22010","","","","0.6","93","0"
"","0","22","","22011","","0","","vo_asb","21","vo_asb_0221"
"1","1","22","0","22012","0","10","0","1","11","ざぶとん。\nくっきー。\nいっぱいたべた。"
"","0","22","","22013","","0","","0","91",""
"","","22","0.3","22014","","1","","1","3","talk_surprise_precia"
"","0","22","","22015","","0","","vo_asb","21","vo_asb_0222"
"1","1","22","0","22016","0","10","0","1","11","スズメ。\nいろいろつくってる。\nらしい。"
"","0","22","","22017","","0","","0","91",""
"","","22","0.3","22018","","1","","1","3","think_idle_precia"
"","0","22","","22019","","0","","vo_asb","21","vo_asb_0223"
"1","1","22","0","22020","0","10","0","1","11","ざぶとん、ほっとけーき。\nとか？"
"","0","22","","22021","","0","","0","91",""
"","","22","0.3","22022","","1","","1","3","think_idle_dere_precia"
"","0","22","","22023","","0","","vo_asb","21","vo_asb_0224"
"1","1","22","0","22024","0","10","0","1","11","ざぶとん、まふぃん。\nとか？"
"","0","22","","22025","","0","","0","91",""
"","","22","0.3","22026","","1","","1","3","think_idle_angerR"
"","0","22","","22027","","0","","vo_asb","21","vo_asb_0225"
"1","1","22","0","22028","0","10","0","1","11","ざぶとん、にくまん……\nとか……（ごくり）"
"","0","22","","22029","","0","","0","91",""
"1","speak1_light_precia","22","0.1","22030","","0","0","1","3","thinkToSpeak_precia"
"","0","22","","22031","","0","","vo_asb","21","vo_asb_0226"
"1","1","22","0","22032","0","10","0","1","11","スズメ。\nすかうとする。\n【あるたーめいでん】に。"
"","0","22","","22033","","0","","0","91",""
"","","22","","22034","","","","22035","101",""
"0","1","22","0.3","22035","","1","0","1","6","1"
"0","1","22","0.3","22036","","1","0","0","6","1"
"1","0.3","22","","22037","","-250","","1","2","-120"
"1","0.3","22","","22038","","0","","0","2","-100"
"","","22","","22039","","","","0","22","0"
"","","22","","22040","","","","0.4","93","0"
"-230","20","32","2.2","32001","riri_idle_look","52","0","1","5","1"
"-255","-140","32","2.2","32002","clear_book_read","58","0","2","5","2"
"-245","270","32","2.2","32003","joy_idle_precia","55","1","3","5","3"
"0","1","32","0","32004","","1","0","1","6","1"
"0","1","32","0","32005","","1","0","2","6","1"
"0","1","32","0","32006","","1","0","3","6","1"
"0","50","32","1","32007","black","29","0","0","5","0"
"0","1","32","0","32008","","1","0","0","6","1"
"","","32","","32009","","","","0","91",""
"1","1","32","0.2","32010","","1","0","1","6","1"
"1","1","32","0.2","32011","","1","0","2","6","1"
"1","1","32","0.2","32012","","1","0","3","6","1"
"1","1","32","0.2","32013","","1","0","0","6","1"
"2","0.3","32","","32014","","-230","","1","2","-30"
"2","0.3","32","","32015","","-255","","2","2","-190"
"2","0.3","32","","32016","","-245","","3","2","220"
"2","0.3","32","","32017","","0","","0","2","0"
"","","32","","32018","","","","0.6","93","0"
"","","32","0.2","32019","","1","","2","3","clear_book_talk"
"","0","32","","32020","","0","","vo_asb","21","vo_asb_0321"
"1","1","32","0","32021","0","10","0","2","11","この牛さんの絵、\n上手すぎませんか！？"
"","0","32","","32022","","0","","0","91",""
"","","32","0.4","32023","","1","","2","3","clear_book_idle"
"","","32","0.2","32024","","1","","1","3","riri_talk_look"
"","0","32","","32025","","0","","vo_asb","21","vo_asb_0322"
"1","1","32","0","32026","0","10","0","1","11","プレシアさん作です。\n彼女は天才タイプなので。"
"","0","32","","32027","","0","","0","91",""
"","","32","0.2","32028","","1","","1","3","riri_idle_look"
"1","clear_talk2_noShy","32","0.1","32029","","0","0","2","3","clear_bookToTalk2"
"","0","32","","32030","","0","","vo_asb","21","vo_asb_0323"
"1","1","32","0","32031","0","10","0","2","11","そういえば、わたしとリリちゃんが、\n『腰に手』が上手くできなくて、\nマヒルさんに教わりながら、\n悪戦苦闘してた時も……"
"","0","32","","32032","","0","","0","91",""
"1","idle_talkjoy2","32","0.1","32033","","0","0","2","3","talk2ToIdle_talkjoy2"
"","","32","0.2","32034","","1","","1","3","sad_talk_joy2R"
"","0","32","","32035","","0","","vo_asb","21","vo_asb_0324"
"1","1","32","0","32036","0","10","0","1","11","はい。プレシアさんだけが、\n一発合格でしたね。\n素人のわたくしたちの目から見ても、\n実に完璧な『腰に手』でございました。"
"","0","32","","32037","","0","","0","91",""
"","","32","0.2","32038","","1","","1","3","sad_idle_normal_riri"
"","","32","0.2","32039","","1","","2","3","idle"
"","","32","0.3","32040","","1","","3","3","talk_precia"
"","0","32","","32041","","0","","vo_asb","21","vo_asb_0325"
"1","1","32","0","32042","0","10","0","3","11","みたい？"
"","0","32","","32043","","0","","0","91",""
"","","32","0.3","32044","","1","","3","3","joy_idle_precia"
"","","32","0.2","32045","","1","","1","3","guts2_talk_riri"
"","","32","0.2","32046","","1","","2","3","clear_hope_talk"
"","0","32","","32047","","0","","vo_asb","21","vo_asb_0326"
"1","1","32","0","32048","0","10","0","1","11","ぜひっ。"
"","0","32","","32049","","0","","0","91",""
"","","32","0.2","32050","","1","","1","3","guts2_idle_riri"
"","","32","0.2","32051","","1","","2","3","clear_hope_idle"
"1","cool_idle","32","0.2","32052","","0","0","3","3","cool_in"
"","0","32","","32053","","0","","vo_asb","21","vo_asb_0327"
"1","1","32","0","32054","0","10","0","3","11","びしっ。"
"","0","32","","32055","","0","","0","91",""
"1","cool_idle_doya","32","0.2","32056","","0","0.1","3","3","cool_idle_doya_in"
"","","32","0.2","32057","","1","","1","3","guts2_idle_joy_riri"
"","","32","0.2","32058","","1","","2","3","clear_hope_joy"
"","0","32","","32059","","0","","vo_asb","21","vo_asb_0328"
"1","1","32","-85","32060","0","10","-22","1","11","わぁ～♪"
"","0","32","","32061","","0","","0","91",""
"","","32","","32062","","","","32063","101",""
"0","1","32","0.3","32063","","1","0","1","6","1"
"0","1","32","0.3","32064","","1","0","2","6","1"
"0","1","32","0.3","32065","","1","0","3","6","1"
"0","1","32","0.3","32066","","1","0","0","6","1"
"1","0.3","32","","32067","","-230","","1","2","-130"
"1","0.3","32","","32068","","-255","","2","2","-290"
"1","0.3","32","","32069","","-245","","3","2","120"
"1","0.3","32","","32070","","0","","0","2","-100"
"","","32","","32071","","","","0","22","0"
"","","32","","32072","","","","0.4","93","0"
"-250","30","42","2.2","42001","clear_wish_talk_joy_noShy","52","0","2","5","1"
"0","1","42","0","42002","","1","0","1","6","1"
"0","50","42","1","42003","black","29","0","0","5","0"
"0","1","42","0","42004","","1","0","0","6","1"
"","","42","","42005","","","","0","91",""
"1","1","42","0.2","42006","","1","0","1","6","1"
"1","1","42","0.2","42007","","1","0","0","6","1"
"2","0.3","42","","42008","","-250","","1","2","-20"
"2","0.3","42","","42009","","0","","0","2","0"
"","","42","","42010","","","","0.6","93","0"
"","0","42","","42011","","0","","vo_asb","21","vo_asb_0421"
"1","1","42","0","42012","0","10","0","1","11","リンさんによるマヒルさんのモノマネ、\nとっても上手でした。"
"","0","42","","42013","","0","","0","91",""
"","","42","0.1","42014","","1","","1","3","clear_talk_normal"
"","0","42","","42015","","0","","vo_asb","21","vo_asb_0422"
"1","1","42","0","42016","0","10","0","1","11","ギルドも長くなると、\n絆を深めたメンバー同士、\nああして互いのモノマネも、\n難なくできるようになるんですね……"
"","0","42","","42017","","0","","0","91",""
"1","clear_kohon_loop","42","0.2","42018","","0","0","1","3","clear_kohon_in"
"","0","42","","42019","","0","","vo_asb","21","vo_asb_0423"
"1","1","42","0","42020","0","10","0","1","11","…………\n……こほん。"
"","0","42","","42021","","0","","0","91",""
"1","clear_speak2_talk","42","0.2","42022","","0","0","1","3","clear_imitation_in"
"","0","42","","42023","","0","","vo_asb","21","vo_asb_0424"
"1","1","42","0","42024","0","10","0","1","11","に、兄様。兄様……？　\nお、おに、お兄……お兄。\n…………"
"","0","42","","42025","","0","","0","91",""
"1","clear_surprise_talk_red","42","0.3","42026","","0","0","1","3","clear_surprise_in_red"
"","0","42","","42027","","0","","vo_asb","21","vo_asb_0425"
"1","1","42","0","42028","0","10","0","1","11","……はっ！\nギルドメンバーのモノマネを\nしていただけなのに、\nわたしってば、どうして赤く……！"
"","0","42","","42029","","0","","0","91",""
"","","42","0.2","42030","","1","","1","3","clear_wish_talk_pain_red"
"","0","42","","42031","","0","","vo_asb","21","vo_asb_0426"
"1","1","42","0","42032","0","10","0","1","11","色んな意味で、まだまだです……っ！"
"","0","42","","42033","","0","","0","91",""
"","","42","","42034","","","","42035","101",""
"0","1","42","0.3","42035","","1","0","1","6","1"
"0","1","42","0.3","42036","","1","0","0","6","1"
"1","0.3","42","","42037","","-250","","1","2","-120"
"1","0.3","42","","42038","","0","","0","2","-100"
"","","42","","42039","","","","0","22","0"
"","","42","","42040","","","","0.4","93","0"
"-243","70","52","2.2","52001","dance_riri","55","0","1","5","1"
"-245","320","52","2.2","52002","dance_clear","52","1","2","5","2"
"-255","-90","52","2.2","52003","dance_precia","58","0","3","5","3"
"0","1","52","0","52004","","1","0","1","6","1"
"0","1","52","0","52005","","1","0","2","6","1"
"0","1","52","0","52006","","1","0","3","6","1"
"0","50","52","1","52007","black","29","0","0","5","0"
"0","1","52","0","52008","","1","0","0","6","1"
"","","52","","52009","","","","0","91",""
"","","52","0.1","52010","","0","","1","3","dance_riri"
"1","idle","52","0.1","52011","","0","0","2","3","dance_clear"
"1","idle_precia","52","0.1","52012","","0","0","3","3","dance_precia"
"1","1","52","0.2","52013","","1","0","1","6","1"
"1","1","52","0.2","52014","","1","0","2","6","1"
"1","1","52","0.2","52015","","1","0","3","6","1"
"1","1","52","0.2","52016","","1","0","0","6","1"
"2","0.3","52","","52017","","-243","","1","2","-30"
"2","0.3","52","","52018","","-245","","2","2","220"
"2","0.3","52","","52019","","-255","","3","2","-190"
"2","0.3","52","","52020","","0","","0","2","0"
"","","52","","52021","","","","0.6","93","0"
"","0","52","","52022","","0","","vo_asb","21","vo_asb_0521"
"0","0","52","0","52023","0.15","26","0","3","11","くいっく、くいっく、すろー。"
"","0","52","","52024","","0","","0","91",""
"","0","52","","52025","","0","","vo_asb","21","vo_asb_0522"
"0","0","52","0","52026","0.75","10","0","1","11","ターンエン、ターンエン、\nクイッククイックスロー！"
"","","52","","52027","","","","52010","91",""
"","","52","0.1","52028","","1","","1","3","idle"
"","","52","","52029","","","","0.2","93","0"
"1","talk_joy","52","0.1","52030","","0","0.2","1","3","smile_riri"
"","0","52","","52031","","0","","vo_asb","21","vo_asb_0523"
"1","1","52","0","52032","0","10","0","1","11","……ふふふ。この掛け声があると、\n不思議と３人の息が、\nぴったり合うのですよね。"
"","","52","","52033","","","","0","91",""
"","","52","0.2","52034","","1","","1","3","riri_idle"
"","","52","0.2","52035","","1","","2","3","clear_talk2_noShy"
"","0","52","","52036","","0","","vo_asb","21","vo_asb_0524"
"1","1","52","0","52037","0","10","0","2","11","はい。だからその後も、\nけっこう使ってますよね。\n重い物を持ち上げる時とか。\n３人で体操をする時とか。"
"","0","52","","52038","","0","","0","91",""
"1","idle","52","0.2","52039","","0","0","2","3","talk2ToIdle"
"","","52","0.2","52040","","1","","1","3","riri_talk"
"","0","52","","52041","","0","","vo_asb","21","vo_asb_0525"
"1","1","52","0","52042","0","10","0","1","11","他にも、戦闘訓練で息を合わせる際や、\nあとは夜道を歩く時の、魔物避けにも！"
"","0","52","","52043","","0","","0","91",""
"","","52","0.2","52044","","1","","1","3","riri_idle_look"
"","","52","0.2","52045","","1","","2","3","idle_talkjoy2"
"","","52","0.3","52046","","1","","3","3","talk_precia"
"","0","52","","52047","","0","","vo_asb","21","vo_asb_0526"
"1","1","52","0","52048","0","10","0","3","11","はんようせい。\nありすぎ。"
"","0","52","","52049","","0","","0","91",""
"","","52","","52050","","","","52051","101",""
"0","1","52","0.3","52051","","1","0","1","6","1"
"0","1","52","0.3","52052","","1","0","2","6","1"
"0","1","52","0.3","52053","","1","0","3","6","1"
"0","1","52","0.3","52054","","1","0","0","6","1"
"1","0.3","52","","52055","","-230","","1","2","-130"
"1","0.3","52","","52056","","-245","","2","2","120"
"1","0.3","52","","52057","","-255","","3","2","-290"
"1","0.3","52","","52058","","0","","0","2","-100"
"","","52","","52059","","","","0","22","0"
"","","52","","52060","","","","0.4","93","0"
"-250","30","62","2.2","62001","talk_joy","52","0","1","5","1"
"0","1","62","0","62002","","1","0","1","6","1"
"0","50","62","1","62003","black","29","0","0","5","0"
"0","1","62","0","62004","","1","0","0","6","1"
"","","62","","62005","","","","0","91",""
"1","1","62","0.2","62006","","1","0","1","6","1"
"1","1","62","0.2","62007","","1","0","0","6","1"
"2","0.3","62","","62008","","-250","","1","2","-20"
"2","0.3","62","","62009","","0","","0","2","0"
"","","62","","62010","","","","0.6","93","0"
"","0","62","","62011","","0","","vo_asb","21","vo_asb_0621"
"1","1","62","0","62012","0","10","0","1","11","ライブ後、【カルミナ】の皆様が\n来てくださったのです。"
"","0","62","","62013","","0","","0","91",""
"","","62","0.2","62014","","1","","1","3","wish_talk_joyR_riri"
"","0","62","","62015","","0","","vo_asb","21","vo_asb_0622"
"1","1","62","0","62016","0","10","0","1","11","「また絶対一緒に踊ろうね」って、\n手まで、重ねさせていただいて……"
"","0","62","","62017","","0","","0","91",""
"","","62","0.3","62018","","1","","1","3","memoly_talk_joy"
"","0","62","","62019","","0","","vo_asb","21","vo_asb_0623"
"1","1","62","0","62020","0","10","0","1","11","お三方のあまりの可憐さと華やかさに、\nわたくし、もう、\nクラクラしてしまって……"
"","0","62","","62021","","0","","0","91",""
"","","62","0.2","62022","","1","","1","3","sad_talk2_dere"
"","0","62","","62023","","0","","vo_asb","21","vo_asb_0624"
"1","1","62","0","62024","0","10","0","1","11","実は、重ねさせていただいたこの手、\nあれ以来まだ一度も洗っておりません。"
"","0","62","","62025","","0","","0","91",""
"","","62","0.3","62026","","1","","1","3","wish_talk_nervous_riri"
"","0","62","","62027","","0","","vo_asb","21","vo_asb_0625"
"1","1","62","0","62028","0","10","0","1","11","リアさんには、やや呆れた目で\n見られている気が、\nしないでもありませんが……\nせめて、あと半日は……！"
"","0","62","","62029","","0","","0","91",""
"","","62","","62030","","","","62031","101",""
"0","1","62","0.3","62031","","1","0","1","6","1"
"0","1","62","0.3","62032","","1","0","0","6","1"
"1","0.3","62","","62033","","-250","","1","2","-120"
"1","0.3","62","","62034","","0","","0","2","-100"
"","","62","","62035","","","","0","22","0"
"","","62","","62036","","","","0.4","93","0"
"-250","30","72","2.2","72001","idle","52","0","2","5","1"
"0","1","72","0","72002","","1","0","1","6","1"
"0","50","72","1","72003","black","29","0","0","5","0"
"0","1","72","0","72004","","1","0","0","6","1"
"","","72","","72005","","","","0","91",""
"1","1","72","0.2","72006","","1","0","1","6","1"
"1","1","72","0.2","72007","","1","0","0","6","1"
"2","0.3","72","","72008","","-250","","1","2","-20"
"2","0.3","72","","72009","","0","","0","2","0"
"","","72","","72010","","","","0.6","93","0"
"","","72","0.2","72011","","1","","1","3","clear_talk_normal"
"","0","72","","72012","","0","","vo_asb","21","vo_asb_0721"
"1","1","72","0","72013","0","10","0","1","11","アオイさんて、すごくシャイみたいで。\nだけど、言うじゃないですか。\n共通の話題がある相手とは、\n打ち解けやすい、って。"
"","0","72","","72014","","0","","0","91",""
"","","72","0.2","72015","","1","","1","3","clear_kohon_talk_surprise"
"","0","72","","72016","","0","","vo_asb","21","vo_asb_0722"
"1","1","72","0","72017","0","10","0","1","11","直感、あったんですよね。\nアオイさんほど詳しくはないですが、\nわたしも草花が好きなので。\nこの人とは仲良くなれそう、みたいな。"
"","0","72","","72018","","0","","0","91",""
"","","72","0.2","72019","","1","","1","3","clear_talk2_noShy"
"","0","72","","72020","","0","","vo_asb","21","vo_asb_0723"
"1","1","72","0","72021","0","10","0","1","11","だからわたし、\n勇気を出して言ってみたんです！\nお友だちになりませんか、って。"
"","0","72","","72022","","0","","0","91",""
"1","clear_wish_talk_joy","72","0.2","72023","","0","0","1","3","talk2ToWish"
"","0","72","","72024","","0","","vo_asb","21","vo_asb_0724"
"1","1","72","0","72025","0","10","0","1","11","そしたらアオイさん、\n顔を真っ赤にして、ブンブン！　って、\n首を縦に振ってくれて。\nやった！　って思ったんですよね。"
"","0","72","","72026","","0","","0","91",""
"","","72","0.2","72027","","1","","1","3","clear_talk2_nervous"
"","0","72","","72028","","0","","vo_asb","21","vo_asb_0725"
"1","1","72","0","72029","0","10","0","1","11","……でもその後、\n心の準備が欲しいって言われちゃって。\n心の準備、300年くらいかかるかも\nしれないんだそうです……"
"","0","72","","72030","","0","","0","91",""
