d6943b2acda5590993858a3877205ccedca9d67ec002180c4d166d13c4e7943f,6c38d0a89aee8010ac16a64b28038062a75a73fb2023981012842e01fc0cc30b,c3b257671f91ac047ceabeb8a5acac6b373f3ed6387125c2b331e2d2be457721,35f923b9efbc23c7ae24e895f022764349e66d94eef6484cd4089f32d20e4f80,f2a23d143539df52517510493af79470bfaa5e2da01512c416238188280221c4,060d146488d30f9a283c173868b11d5029e987b12e3218c282474c7cc81fcb92,02b23ff6cdf97f06e117e1ad8436a8307e66242eb1ceded9e4de16ce4299db20,cfbf31141905a57fa44021058e54c9e177dd9023c53b561acd5a176c99176ae3,6104e918c7e5620e22479454775e1c5c790718c88ddb142fd852ea6cb27d3f61,58d6f85d6aada88c0b4821824868b4e7553ddee5ffe74ac1297cc91d51092c5b,ed2ccf4542ac39e2bec18535ba38c5d534080990c1322097e6d9ef414df214e2
"1.46","1001","0","1","-160","5","1","-100","travel_exdrama_r_100_raiseup","1010010018","11"
"","1001","","1","","93","0","","","1010010019",""
"0.12","1001","","1000001","0","6","","","","1010010020",""
"0.12","1001","","1000002","0","6","","","","1010010021",""
"0.12","1001","","1000003","0","6","","","","1010010022",""
"0.12","1001","","1000004","0","6","","","","1010010023",""
"0.12","1001","","1000005","0","6","","","","1010010024",""
"0.12","1001","","1","0","6","","","","1010010025",""
"","1001","","0.12","","93","0","","","1010010026",""
"","1001","","0","","91","","","","1010010027",""
"","1002","","se_travel","","23","se_travel_finish_assemble","","","1010020001","0"
"1.46","1002","0","1","-160","1","1000001","-275","travel_exdrama_r_100_run","1010020002","1"
"1.46","1002","0","1","-200","1","1000002","-575","travel_exdrama_r_100_run","1010020003","2"
"1.46","1002","0","1","-250","1","1000003","-750","travel_exdrama_r_100_run","1010020004","3"
"1.46","1002","1","1","-175","1","1000004","575","travel_exdrama_r_100_run","1010020005","4"
"1.46","1002","1","1","-250","1","1000005","750","travel_exdrama_r_100_run","1010020006","5"
"0","1002","","10000","1","31","10000","20","","1010020007","-40"
"","1002","","1000001","0","2","-100","1","","1010020008","-160"
"","1002","","1000002","0","2","-275","1","","1010020009","-200"
"","1002","","1000003","0","2","-450","1","","1010020010","-250"
"","1002","","1000004","0","2","275","1","","1010020011","-175"
"","1002","","1000005","0","2","450","1","","1010020012","-250"
"","1002","","1","0","93","0","0","","1010020013","0"
"0.2","1002","0","1000001","0","3","travel_exdrama_r_100_raiseup","","","1010020014","0"
"0","1002","0","1000002","0","3","travel_exdrama_r_100_idle","","","1010020015","1"
"0","1002","0","1000003","0","3","travel_exdrama_r_100_idle","","","1010020016","1"
"0","1002","0","1000004","0","3","travel_exdrama_r_100_idle","","","1010020017","1"
"0","1002","0","1000005","0","3","travel_exdrama_r_100_idle","","","1010020018","1"
"1.46","1002","0","1","-160","5","1","-100","travel_exdrama_r_100_raiseup","1010020019","11"
"0","1002","","0.4","0","93","0","0","","1010020020","0"
"","1002","","10000","0","32","1","","","1010020021",""
"","1002","","0.6","","93","0","","","1010020022",""
"0.12","1002","","1000001","0","6","","","","1010020023",""
"0.12","1002","","1000002","0","6","","","","1010020024",""
"0.12","1002","","1000003","0","6","","","","1010020025",""
"0.12","1002","","1000004","0","6","","","","1010020026",""
"0.12","1002","","1000005","0","6","","","","1010020027",""
"0.12","1002","","1","0","6","","","","1010020028",""
"","1002","","0.12","","93","0","","","1010020029",""
"","1002","","0","","91","","","","1010020030",""
"1","1011","","10100","1","31","10100","5","","1010110001","-350"
"0","1011","","10002","1","31","10002","50","","1010110002","-525"
"1","1011","","10101","1","31","10101","-121","","1010110003","-184"
"0","1011","","10102","1","31","10102","5","","1010110004","-350"
"0","1011","","10103","1","31","10103","5","","1010110005","-350"
"0","1011","","10104","1","31","10104","5","","1010110006","-350"
"1.46","1011","0","1","-200","1","1000001","-470","travel_exdrama_r_101_walk","1010110007","11"
"1.46","1011","0","1","-150","1","1000002","-320","travel_exdrama_r_101_walk","1010110008","1"
"1.46","1011","0","1","-200","5","1","-470","travel_exdrama_r_101_walk","1010110009","12"
"1.46","1011","0","1","-150","5","2","-320","travel_exdrama_r_101_walk","1010110010","2"
"","1012","","se_travel","","23","se_travel_finish_cave_rare","","","1010120001","0"
"","1012","","1000001","0","2","-500","0.1","","1010120002","-200"
"","1012","","1000002","0","2","-350","0.1","","1010120003","-150"
"","1012","","1","0","2","-500","0.1","","1010120004","-200"
"","1012","","2","0","2","-350","0.1","","1010120005","-150"
"0.2","1012","0.2","1000001","1","3","travel_exdrama_r_101_joy","travel_exdrama_r_101_walk","","1010120006","0"
"0.2","1012","0.2","1000002","1","3","travel_exdrama_r_101_joy","travel_exdrama_r_101_walk","","1010120007","0"
"0.2","1012","0.2","1","1","3","travel_exdrama_r_101_joy","travel_exdrama_r_101_walk","","1010120008","0"
"0.2","1012","0.2","2","1","3","travel_exdrama_r_101_joy","travel_exdrama_r_101_walk","","1010120009","0"
"","1012","","10101","","32","0","","","1010120010","0"
"","1012","","10102","","32","1","","","1010120011","0"
"","1012","","1.66","","93","0","","","1010120012",""
"","1012","","10101","","32","1","","","1010120013","0"
"","1012","","10102","","32","0","","","1010120014","0"
"","1012","","1000001","0","2","-470","0.2","","1010120015","-200"
"","1012","","1000002","0","2","-320","0.2","","1010120016","-150"
"","1012","","1","0","2","-470","0.2","","1010120017","-200"
"","1012","","2","0","2","-320","0.2","","1010120018","-150"
"","1013","","se_travel","","23","se_travel_finish_cave_event","","","1010130001","0"
"0.2","1013","0","1000001","1","3","travel_exdrama_r_101_panic_A","travel_exdrama_r_101_walk","","1010130002","0"
"0.2","1013","0","1000002","1","3","travel_exdrama_r_101_panic_B","travel_exdrama_r_101_walk","","1010130003","0"
"0.2","1013","0","1","1","3","travel_exdrama_r_101_panic_A","travel_exdrama_r_101_walk","","1010130004","0"
"0.2","1013","0","2","1","3","travel_exdrama_r_101_panic_B","travel_exdrama_r_101_walk","","1010130005","0"
"","1013","","10002","","32","1","","","1010130006",""
"","1013","","10103","","32","1","","","1010130007",""
"","1013","","3","","93","0","","","1010130008",""
"","1013","","10002","","32","0","","","1010130009",""
"","1013","","10103","","32","0","","","1010130010",""
"0","1014","0","1000001","0","2","-500","0.1","","1010140001","-200"
"0","1014","0","1000002","0","2","-350","0.1","","1010140002","-150"
"0","1014","0","1","0","2","-500","0.1","","1010140003","-200"
"0","1014","0","2","0","2","-350","0.1","","1010140004","-150"
"0","1014","0","1000001","0","3","travel_exdrama_r_finish_B_hand","","","1010140005","0"
"0","1014","0","1000002","0","3","travel_exdrama_r_finish_B_hand","","","1010140006","0"
"0","1014","0","1","0","3","travel_exdrama_r_101_finish","","","1010140007","0"
"0","1014","0","2","0","3","travel_exdrama_r_101_finish","","","1010140008","0"
"","1014","","10101","","32","0","","","1010140009","0"
"","1014","","10104","","32","1","","","1010140010","0"
"1","1021","","10200","1","31","10200","5","","1010210001","-350"
"0","1021","","10201","1","31","10201","5","","1010210002","-350"
"0","1021","","10202","1","31","10202","5","","1010210003","-350"
"0","1021","","10203","1","31","10203","86","","1010210004","-490"
"0","1021","","10204","1","31","10204","105","","1010210005","-200"
"0","1021","","10001","1","31","10001","50","","1010210006","-525"
"1.46","1021","0","1","-180","1","1000001","-490","travel_exdrama_r_102_book","1010210007","1"
"1.46","1021","0","1","-180","1","1000002","-200","travel_exdrama_r_102_loupe","1010210008","2"
"1.46","1021","0","1","-180","5","1","-490","travel_exdrama_r_102_book","1010210009","11"
"1.46","1021","0","1","-180","5","2","-200","travel_exdrama_r_102_loupe","1010210010","12"
"2","1021","0","5","-136","5","5","-339","reliclight_none","1010210011","13"
"","1022","","se_travel","","23","se_travel_finish_ruins_rare","","","1010220001","0"
"0.2","1022","0.2","1000001","1","3","travel_exdrama_r_102_bookFind_A","travel_exdrama_r_102_book","","1010220002","0"
"0.2","1022","0.2","1000002","1","3","travel_exdrama_r_102_loupeFind_A","travel_exdrama_r_102_loupe","","1010220003","0"
"0.2","1022","0.2","1","1","3","travel_exdrama_r_102_bookFind_A","travel_exdrama_r_102_book","","1010220004","0"
"0.2","1022","0.2","2","1","3","travel_exdrama_r_102_loupeFind_A","travel_exdrama_r_102_loupe","","1010220005","0"
"","1022","","10202","","32","1","","","1010220006",""
"","1022","","10203","","32","1","","","1010220007",""
"","1022","","10204","","32","1","","","1010220008",""
"","1022","","1.66","","93","0","","","1010220009",""
"","1022","","10202","","32","0","","","1010220010",""
"","1022","","10203","","32","0","","","1010220011",""
"","1022","","10204","","32","0","","","1010220012",""
"","1023","","se_travel","","23","se_travel_finish_ruins_event","","","1010230001","0"
"0.2","1023","0","1000001","1","3","travel_exdrama_r_102_bookFind_B","travel_exdrama_r_102_book","","1010230002","0"
"0.2","1023","0","1000002","1","3","travel_exdrama_r_102_loupeFind_B","travel_exdrama_r_102_loupe","","1010230003","0"
"0.2","1023","0","1","1","3","travel_exdrama_r_102_bookFind_B","travel_exdrama_r_102_book","","1010230004","0"
"0.2","1023","0","2","1","3","travel_exdrama_r_102_loupeFind_B","travel_exdrama_r_102_loupe","","1010230005","0"
"","1023","","5","","3","reliclight_on","","","1010230006","0"
"","1023","","10201","","32","1","","","1010230007",""
"","1023","","10001","","32","1","","","1010230008",""
"","1023","","3","","93","0","","","1010230009",""
"","1023","","10201","","32","0","","","1010230010",""
"","1023","","10001","","32","0","","","1010230011",""
"","1023","","5","","3","reliclight_none","","","1010230012","0"
"0","1024","0","1000002","0","4","1","","","1010240001","0"
"0","1024","0","2","0","4","1","","","1010240002","0"
"0","1024","0","1000001","0","3","travel_exdrama_r_finish_A","","","1010240003","0"
"0","1024","0","1000002","0","3","travel_exdrama_r_finish_A_front","","","1010240004","0"
"0","1024","0","1","0","3","travel_exdrama_r_102_book_finish","","","1010240005","0"
"0","1024","0","2","0","3","travel_exdrama_r_102_loupe_finish","","","1010240006","0"
"","1024","","5","","3","reliclight_none","","","1010240007","0"
"1","1031","","10300","1","31","10300","5","","1010310001","-350"
"0","1031","","10301","1","31","10301","5","","1010310002","-350"
"0","1031","","10302","1","31","10302","5","","1010310003","-350"
"0","1031","","10002","1","31","10002","50","","1010310004","-525"
"1.46","1031","0","1","-200","1","1000001","-510","travel_exdrama_r_103_dig_A","1010310005","5"
"1.46","1031","0","1","-175","1","1000002","-400","travel_exdrama_r_103_dig_B","1010310006","3"
"1.46","1031","0","1","-140","1","1000003","-190","travel_exdrama_r_103_map","1010310007","1"
"1.46","1031","0","1","-200","5","1","-510","travel_exdrama_r_103_dig_A","1010310008","6"
"1.46","1031","0","1","-175","5","2","-400","travel_exdrama_r_103_dig_B","1010310009","4"
"1.46","1031","0","1","-140","5","3","-190","travel_exdrama_r_103_map","1010310010","2"
"","1032","","se_travel","","23","se_travel_finish_dig_rare","","","1010320001","0"
"0.2","1032","0.2","1000001","1","3","travel_exdrama_r_103_surprise_A","travel_exdrama_r_103_dig_A","","1010320002","0"
"0.2","1032","0.2","1000002","1","3","travel_exdrama_r_103_surprise_A","travel_exdrama_r_103_dig_B","","1010320003","0"
"0.2","1032","0.2","1000003","1","3","travel_exdrama_r_103_mapSurprise_A","travel_exdrama_r_103_map","","1010320004","0"
"0.2","1032","0.2","1","1","3","travel_exdrama_r_103_surprise_A","travel_exdrama_r_103_dig_A","","1010320005","0"
"0.2","1032","0.2","2","1","3","travel_exdrama_r_103_surprise_A","travel_exdrama_r_103_dig_B","","1010320006","0"
"0.2","1032","0.2","3","1","3","travel_exdrama_r_103_mapSurprise_A","travel_exdrama_r_103_map","","1010320007","0"
"","1032","","10302","","32","1","","","1010320008",""
"","1032","","1.25","","93","0","","","1010320009",""
"","1032","","10302","","32","0","","","1010320010",""
"","1033","","se_travel","","23","se_travel_finish_dig_event","","","1010330001","0"
"0.2","1033","0","1000001","1","3","travel_exdrama_r_103_surprise_B","travel_exdrama_r_103_dig_A","","1010330002","0"
"0.2","1033","0","1000002","1","3","travel_exdrama_r_103_surprise_B","travel_exdrama_r_103_dig_B","","1010330003","0"
"0.2","1033","0","1000003","1","3","travel_exdrama_r_103_mapSurprise_B","travel_exdrama_r_103_map","","1010330004","0"
"0.2","1033","0","1","1","3","travel_exdrama_r_103_surprise_B","travel_exdrama_r_103_dig_A","","1010330005","0"
"0.2","1033","0","2","1","3","travel_exdrama_r_103_surprise_B","travel_exdrama_r_103_dig_B","","1010330006","0"
"0.2","1033","0","3","1","3","travel_exdrama_r_103_mapSurprise_B","travel_exdrama_r_103_map","","1010330007","0"
"","1033","","10301","","32","1","","","1010330008",""
"","1033","","10002","","32","1","","","1010330009",""
"","1033","","3","","93","0","","","1010330010",""
"","1033","","10301","","32","0","","","1010330011",""
"","1033","","10002","","32","0","","","1010330012",""
"","1034","","1000003","","4","1","","","1010340001",""
"","1034","","3","","4","1","","","1010340002",""
"0","1034","0","1000001","0","3","travel_exdrama_r_finish_B","","","1010340003","0"
"0","1034","0","1000002","0","3","travel_exdrama_r_finish_B","","","1010340004","0"
"0","1034","0","1000003","0","3","travel_exdrama_r_finish_A_front","","","1010340005","0"
"0","1034","0","1","0","3","travel_exdrama_r_103_shovel","","","1010340006","0"
"0","1034","0","2","0","3","travel_exdrama_r_103_shovel","","","1010340007","0"
"0","1034","0","3","0","3","travel_exdrama_r_103_map_finish","","","1010340008","0"
"1","1041","","10400","1","31","10400","5","","1010410001","-350"
"1","1041","","10401","1","31","10401","5","","1010410002","-350"
"0","1041","","10402","1","31","10402","5","","1010410003","-350"
"0","1041","","10403","1","31","10403","5","","1010410004","-350"
"0","1041","","10001","1","31","10001","50","","1010410005","-525"
"1.46","1041","0","1","-150","1","1000001","-450","travel_exdrama_r_104_fishingIdle","1010410006","12"
"1.46","1041","0","1","-125","1","1000002","-200","travel_exdrama_r_104_idle_B","1010410007","10"
"1.46","1041","0","2","-150","5","1","-450","travel_exdrama_r_104_fishingIdle","1010410008","11"
"1","1041","0","4","-150","5","10","-350","none","1010410009","20"
"","1042","","se_travel","","23","se_travel_finish_bridge_rare","","","1010420001","0"
"0.2","1042","0.2","1000001","1","3","travel_exdrama_r_104_fishingCatch","travel_exdrama_r_104_fishingIdle","","1010420002","0"
"0.2","1042","0.2","1000002","1","3","travel_exdrama_r_104_glad_B","travel_exdrama_r_104_idle_B","","1010420003","0"
"0.2","1042","0.2","1","1","3","travel_exdrama_r_104_fishingCatch","travel_exdrama_r_104_fishingIdle","","1010420004","0"
"0","1042","0","10","1","3","fish","none","","1010420005","0"
"","1042","","10402","","32","1","","","1010420006",""
"","1042","","1.25","","93","0","","","1010420007",""
"","1042","","10402","","32","0","","","1010420008",""
"","1043","","se_travel","","23","se_travel_finish_bridge_event","","","1010430001","0"
"0","1043","0","1000001","1","3","travel_exdrama_r_104_fishingBig","travel_exdrama_r_104_fishingIdle","","1010430002","0"
"0","1043","0","1000002","1","3","travel_exdrama_r_104_surprise_B","travel_exdrama_r_104_idle_B","","1010430003","0"
"0","1043","0","1","1","3","travel_exdrama_r_104_fishingBig","travel_exdrama_r_104_fishingIdle","","1010430004","0"
"","1043","","10403","","32","1","","","1010430005",""
"","1043","","10001","","32","1","","","1010430006",""
"","1043","","3","","93","0","","","1010430007",""
"","1043","","10403","","32","0","","","1010430008",""
"","1043","","10001","","32","0","","","1010430009",""
"","1044","","1000002","","4","1","","","1010440001",""
"0","1044","0","1000001","0","3","travel_exdrama_r_104_fishing_finish","","","1010440002","0"
"0","1044","0","1000002","0","3","travel_exdrama_r_finish_A_front","","","1010440003","0"
"0.2","1044","0","1","0","3","travel_exdrama_r_104_fishing_finish","","","1010440004","0"
"1","1051","","10500","1","31","10500","5","","1010510001","-350"
"0","1051","","10501","1","31","10501","-200","","1010510002","-350"
"0","1051","","10001","1","31","10001","50","","1010510003","-525"
"1.46","1051","0","1","-200","1","1000001","-470","travel_exdrama_r_105_netSearch","1010510004","1"
"1.46","1051","0","1","-220","1","1000002","-200","travel_exdrama_r_105_binoculars","1010510005","2"
"1.46","1051","0","1","-200","5","1","-470","travel_exdrama_r_105_netSearch","1010510006","5"
"1.46","1051","0","1","-220","5","2","-200","travel_exdrama_r_105_binoculars","1010510007","3"
"1.46","1051","0","3","-230","5","10","-350","idle","1010510008","4"
"0.2","1052","0.1","1000001","1","3","travel_exdrama_r_105_netFind_A","travel_exdrama_r_105_netSearch","","1010520001","0"
"0.2","1052","0.2","1000002","1","3","travel_exdrama_r_105_binocularsFind_A","travel_exdrama_r_105_binoculars","","1010520002","0"
"0.2","1052","0.1","1","1","3","travel_exdrama_r_105_netFind_A","travel_exdrama_r_105_netSearch","","1010520003","0"
"0.2","1052","0.2","2","1","3","travel_exdrama_r_105_binocularsFind_A","travel_exdrama_r_105_binoculars","","1010520004","0"
"0.2","1052","0.2","10","1","3","beetle","idle","","1010520005","0"
"","1052","","10501","","32","1","","","1010520006",""
"","1052","","1.2","","93","0","","","1010520007",""
"","1052","","10501","","32","0","","","1010520008",""
"","1053","","se_travel","","23","se_travel_finish_insects_event","","","1010530001","0"
"0.2","1053","0","1000001","1","3","travel_exdrama_r_105_netFind_B","travel_exdrama_r_105_netSearch","","1010530002","0"
"0.2","1053","0","1000002","1","3","travel_exdrama_r_105_binocularsFind_B","travel_exdrama_r_105_binoculars","","1010530003","0"
"0.2","1053","0","1","1","3","travel_exdrama_r_105_netFind_B","travel_exdrama_r_105_netSearch","","1010530004","0"
"0.2","1053","0","2","1","3","travel_exdrama_r_105_binocularsFind_B","travel_exdrama_r_105_binoculars","","1010530005","0"
"0.2","1053","0","10","1","3","butterfly","idle","","1010530006","0"
"","1053","","10501","","32","1","","","1010530007",""
"","1053","","10001","","32","1","","","1010530008",""
"","1053","","2.6","","93","0","","","1010530009",""
"","1053","","10501","","32","0","","","1010530010",""
"","1053","","10501","","32","1","","","1010530011",""
"","1053","","0.4","","93","0","","","1010530012",""
"","1053","","10501","","32","0","","","1010530013",""
"","1053","","10001","","32","0","","","1010530014",""
"","1054","","1000002","","4","1","","","1010540001",""
"","1054","","2","","4","1","","","1010540002",""
"0","1054","0","1000001","0","3","travel_exdrama_r_finish_B_hand","","","1010540003","0"
"0","1054","0","1000002","0","3","travel_exdrama_r_finish_B","","","1010540004","0"
"0","1054","0","1","0","3","travel_exdrama_r_105_net_finish","","","1010540005","0"
"0","1054","0","2","0","3","travel_exdrama_r_105_binoculars_finish","","","1010540006","0"
"0","1054","0","10","0","3","stop","","","1010540007","0"
"1","1061","","10600","1","31","10600","5","","1010610001","-350"
"0","1061","","10601","1","31","10601","5","","1010610002","-350"
"0","1061","","10602","1","31","10602","5","","1010610003","-350"
"0","1061","","10603","1","31","10603","5","","1010610004","-350"
"1","1061","","10604","1","31","10604","5","","1010610005","-350"
"1","1061","","10605","1","31","10605","5","","1010610006","-350"
"0","1061","","10001","1","31","10001","50","","1010610007","-525"
"1.46","1061","0","1","-224","1","1000001","-497","travel_exdrama_r_106_idle_A","1010610008","18"
"1.46","1061","0","1","-116","1","1000002","-208","travel_exdrama_r_106_idle_B","1010610009","2"
"1.46","1061","0","1","-224","5","1","-497","travel_exdrama_r_106_idle_A","1010610010","30"
"1.46","1061","0","1","-116","5","2","-208","travel_exdrama_r_000_none","1010610011","3"
"","1062","","se_travel","","23","se_travel_finish_beach_rare","","","1010620001","0"
"0","1062","0.2","1000001","1","3","travel_exdrama_r_106_rare_A","travel_exdrama_r_106_idle_A","","1010620002","0"
"0","1062","0.2","1000002","1","3","travel_exdrama_r_106_rare_B","travel_exdrama_r_106_idle_B","","1010620003","0"
"0","1062","0.2","1","1","3","travel_exdrama_r_106_rare_A","travel_exdrama_r_106_idle_A","","1010620004","0"
"0","1062","0.2","2","0","3","travel_exdrama_r_106_rare_B","travel_exdrama_r_000_none","","1010620005","0"
"","1062","","10603","","32","1","","","1010620006",""
"","1062","","1.2","","93","0","","","1010620007",""
"","1062","","10603","","32","0","","","1010620008",""
"","1063","","se_travel","","23","se_travel_finish_beach_event","","","1010630001","0"
"0","1063","0","1000001","1","3","travel_exdrama_r_106_memory_A","travel_exdrama_r_106_idle_A","","1010630002","0"
"0","1063","0","1000002","1","3","travel_exdrama_r_106_memory_B","travel_exdrama_r_106_idle_B","","1010630003","0"
"0","1063","0","1","1","3","travel_exdrama_r_106_memory_A","travel_exdrama_r_106_idle_A","","1010630004","0"
"","1063","","10601","","32","1","","","1010630005",""
"","1063","","10602","","32","1","","","1010630006",""
"","1063","","10001","","32","1","","","1010630007",""
"","1063","","3","","93","0","","","1010630008",""
"","1063","","10601","","32","0","","","1010630009",""
"","1063","","10602","","32","0","","","1010630010",""
"","1063","","10001","","32","0","","","1010630011",""
"","1064","","1000002","","4","1","","","1010640001",""
"","1064","","1000001","","4","1","","","1010640002",""
"","1064","","2","","4","1","","","1010640003",""
"0","1064","0","1000001","","3","travel_exdrama_r_106_finish_A","","","1010640004","0"
"0","1064","0","1000002","","3","travel_exdrama_r_106_finish_B","","","1010640005","0"
"0","1064","0","1","","3","travel_exdrama_r_106_rare_A","","","1010640006","0"
"0","1064","0","2","","3","travel_exdrama_r_000_none","","","1010640007","0"
"1","1071","","10700","1","31","10700","5","","1010710001","-350"
"1","1071","","10701","1","31","10701","5","","1010710002","-350"
"0","1071","","10702","1","31","10702","5","","1010710003","-350"
"0","1071","","10703","1","31","10703","5","","1010710004","-350"
"0","1071","","10001","1","31","10001","50","","1010710005","-525"
"1.46","1071","0","1","-170","1","1000001","-470","travel_exdrama_r_107_dig_A","1010710006","32"
"1.46","1071","1","1","-170","1","1000002","-215","travel_exdrama_r_107_dig_B","1010710007","30"
"1.46","1071","0","1","-170","5","1","-470","travel_exdrama_r_107_dig_A","1010710008","33"
"1.46","1071","1","1","-170","5","10","-215","travel_exdrama_r_107_dig_B","1010710009","31"
"","1072","","se_travel","","23","se_travel_finish_raredrop","","","1010720001","0"
"0.2","1072","0.2","1000001","1","3","travel_exdrama_r_107_joy","travel_exdrama_r_107_dig_A","","1010720002","0"
"0.2","1072","0.2","1000002","1","3","travel_exdrama_r_107_joy","travel_exdrama_r_107_dig_B","","1010720003","0"
"0.2","1072","0.2","1","1","3","travel_exdrama_r_107_joy","travel_exdrama_r_107_dig_A","","1010720004","0"
"0.2","1072","0.2","10","1","3","travel_exdrama_r_107_joy","travel_exdrama_r_107_dig_B","","1010720005","0"
"","1072","","10701","","32","0","","","1010720006",""
"","1072","","10702","","32","1","","","1010720007",""
"","1072","","1.4","","93","0","","","1010720008",""
"","1072","","10701","","32","1","","","1010720009",""
"","1072","","10702","","32","0","","","1010720010",""
"","1073","","se_travel","","23","se_travel_finish_memory_event","","","1010730001","0"
"0.2","1073","0","1000001","1","3","travel_exdrama_r_107_surprise_A","travel_exdrama_r_107_dig_A","","1010730002","0"
"0.2","1073","0","1000002","1","3","travel_exdrama_r_107_surprise_B","travel_exdrama_r_107_dig_B","","1010730003","0"
"0.2","1073","0","1","1","3","travel_exdrama_r_107_surprise_A","travel_exdrama_r_107_dig_A","","1010730004","0"
"0.2","1073","0","10","1","3","travel_exdrama_r_107_surprise_B","travel_exdrama_r_107_dig_B","","1010730005","0"
"","1073","","10703","","32","1","","","1010730006",""
"","1073","","10001","","32","1","","","1010730007",""
"","1073","","10701","","32","0","","","1010730008",""
"","1073","","3","","93","0","","","1010730009",""
"","1073","","10703","","32","0","","","1010730010",""
"","1073","","10001","","32","0","","","1010730011",""
"","1073","","10701","","32","1","","","1010730012",""
"","1074","","1000002","","4","1","","","1010740001",""
"","1074","","10","","4","1","","","1010740002",""
"0","1074","0","1000001","0","3","travel_exdrama_r_finish_B_hand","","","1010740003","0"
"0","1074","0","1000002","0","3","travel_exdrama_r_finish_B_hand","","","1010740004","0"
"0","1074","0","1","0","3","travel_exdrama_r_107_finish_A","","","1010740005","0"
"0","1074","0","10","0","3","travel_exdrama_r_107_finish_A","","","1010740006","0"
"","1074","","10701","","32","0","","","1010740007",""
"1","1081","","10800","1","31","10800","5","","1010810001","-350"
"1","1081","","10401","1","31","10401","5","","1010810002","-350"
"0","1081","","10402","1","31","10402","5","","1010810003","-350"
"0","1081","","10403","1","31","10403","5","","1010810004","-350"
"0","1081","","10001","1","31","10001","50","","1010810005","-525"
"1.46","1081","0","1","-150","1","1000001","-450","travel_exdrama_r_104_fishingIdle","1010810006","12"
"1.46","1081","0","1","-125","1","1000002","-200","travel_exdrama_r_104_idle_B","1010810007","10"
"1.46","1081","0","2","-150","5","1","-450","travel_exdrama_r_104_fishingIdle","1010810008","11"
"1","1081","0","4","-150","5","10","-350","none","1010810009","20"
"","1082","","se_travel","","23","se_travel_finish_bridge_rare","","","1010820001","0"
"0.2","1082","0.2","1000001","1","3","travel_exdrama_r_104_fishingCatch","travel_exdrama_r_104_fishingIdle","","1010820002","0"
"0.2","1082","0.2","1000002","1","3","travel_exdrama_r_104_glad_B","travel_exdrama_r_104_idle_B","","1010820003","0"
"0.2","1082","0.2","1","1","3","travel_exdrama_r_104_fishingCatch","travel_exdrama_r_104_fishingIdle","","1010820004","0"
"0","1082","0","10","1","3","fish","none","","1010820005","0"
"","1082","","10402","","32","1","","","1010820006",""
"","1082","","1.25","","93","0","","","1010820007",""
"","1082","","10402","","32","0","","","1010820008",""
"","1083","","se_travel","","23","se_travel_finish_bridge_event","","","1010830001","0"
"0","1083","0","1000001","1","3","travel_exdrama_r_104_fishingBig","travel_exdrama_r_104_fishingIdle","","1010830002","0"
"0","1083","0","1000002","1","3","travel_exdrama_r_104_surprise_B","travel_exdrama_r_104_idle_B","","1010830003","0"
"0","1083","0","1","1","3","travel_exdrama_r_104_fishingBig","travel_exdrama_r_104_fishingIdle","","1010830004","0"
"","1083","","10403","","32","1","","","1010830005",""
"","1083","","10001","","32","1","","","1010830006",""
