fc8cb8d93398662dc5b1190ca6a07c5bc1eed63e48e5d9c58062793daaadc54d,246cf3d79e2bad059bfb7a1dda6bed00b197d6056b0befb3435361f8d5e28ac5,9509a2691d7cd6f261d1749ae21c4c4cbf1bd9e4a6a17175887471bdaa29db78,7da1088ebfa8621683ee0de8da8afa72b42008b1d8e0f7322ad69892d5eb3e48,292514f955cc17189cbd8e06bf95068026a5be0a5730ce20de9cd1f190666522,5ca366005acb8e4f5845d93977c2137c9f2e5b50e6ec7c91d5a83cd39d5122d1,2ac9e568daf8bed7f2992d08897fd77aa1908c8d4f1c697e1a0dd41514104b81,079cac6c6373e3f858932bfd2eee7b1cea10d7e50f3d16950647cd02bd493145,ec078a0700721a60149dbfb8279aa76faffe94a65766ec5da8608613f1d015c6
"610204503","","0","0","0","0","4","1","-60"
"610204504","","0","0","0","0","5","1","-60"
"610205101","","0","1","160","-60","1","1.38","0"
"610205201","","0","1","160","0","1","0.94","0"
"610205202","","0","1","160","-60","1","1.38","0"
"610205203","","0","1","160","-60","1","1.38","0"
"610205301","","0","1","160","0","1","0.94","0"
"610205302","","0","1","160","-60","1","1.38","0"
"610205303","","0","1","160","-60","1","1.38","0"
"610205401","","0","0","0","0","2","0.9","-200"
"610205402","","0","0","0","0","3","0.9","-140"
"610205403","","0","0","0","0","4","0.9","-60"
"610205404","","0","0","0","0","5","0.9","-60"
"610205501","","0","0","0","0","2","0.9","-200"
"610205502","","0","0","0","0","3","0.9","-140"
"610205503","","0","0","0","0","4","0.9","-60"
"610205504","","0","0","0","0","5","0.9","-60"
"610206101","","0","1","295","-80","1","0.86","0"
"610206201","","0","1","295","-50","1","0.68","0"
"610206202","","0","1","295","-50","1","0.68","0"
"610206203","","0","1","295","-80","1","0.86","0"
"610206301","","0","1","295","-50","1","0.68","0"
"610206302","","0","1","295","-50","1","0.68","0"
"610206303","","0","1","295","-80","1","0.86","0"
"610206401","","0","0","0","0","2","0.85","-200"
"610206402","","0","0","0","0","3","1","-140"
"610206403","","0","0","0","0","4","1","-60"
"610206404","","0","0","0","0","5","1","-60"
"610206405","","0","0","0","0","6","0.78","-200"
"610206406","","0","0","0","0","7","0.78","-140"
"610206407","","0","0","0","0","8","0.78","-60"
"610206408","","0","0","0","0","9","0.78","-60"
"610206501","","0","0","0","0","2","0.85","-200"
"610206502","","0","0","0","0","3","1","-140"
"610206503","","0","0","0","0","4","1","-60"
"610206504","","0","0","0","0","5","1","-60"
"610206505","","0","0","0","0","6","0.78","-200"
"610206506","","0","0","0","0","7","0.78","-140"
"610206507","","0","0","0","0","8","0.78","-60"
"610206508","","0","0","0","0","9","0.78","-60"
"610207101","","0","1","250","-17","1","1.35","0"
"610207201","","0","1","250","0","1","0.95","0"
"610207202","","0","1","250","-17","1","1.35","0"
"610207203","","0","1","250","-17","1","1.35","0"
"610207301","","0","1","250","0","1","0.95","0"
"610207302","","0","1","250","-17","1","1.35","0"
"610207303","","0","1","250","-17","1","1.35","0"
"610207401","","0","0","0","-21","2","0.85","-200"
"610207402","","0","0","0","-21","3","0.85","-140"
"610207403","","0","0","0","-21","4","0.85","-60"
"610207404","","0","0","0","-21","5","0.73","-60"
"610207501","","0","0","0","-21","2","0.85","-200"
"610207502","","0","0","0","-21","3","0.85","-140"
"610207503","","0","0","0","-21","4","0.85","-60"
"610207504","","0","0","0","-21","5","0.73","-60"
"610208101","","0","1","405","-90","1","1.01","0"
"610208103","","0","0","0","0","4","0","0"
"610208201","","0","1","405","-90","1","0.9","0"
"610208202","","0","1","405","-90","1","1.01","0"
"610208203","","0","1","405","-90","1","1.01","0"
"610208301","","0","1","405","-90","1","0.9","0"
"610208302","","0","1","405","-90","1","1.01","0"
"610208303","","0","1","405","-90","1","1.01","0"
"610208401","","0","0","0","0","2","0.78","-140"
"610208402","","0","0","0","0","3","0.78","-60"
"610208501","","0","0","0","0","2","0.78","-140"
"610208502","","0","0","0","0","3","0.78","-60"
"610209101","","0","1","140","-14","1","1.3","0"
"610209201","","0","1","140","-15","1","1.15","0"
"610209202","","0","1","140","-14","1","1.3","0"
"610209203","","0","1","140","-14","1","1.3","0"
"610209301","","0","1","140","-15","1","1.15","0"
"610209302","","0","1","140","-14","1","1.3","0"
"610209303","","0","1","140","-14","1","1.3","0"
"610209401","","0","0","0","0","2","1","-200"
"610209402","","0","0","0","0","3","1","-140"
"610209403","","0","0","0","0","4","1","-60"
"610209404","","0","0","0","0","5","1","-60"
"610209501","","0","0","0","0","2","1","-200"
"610209502","","0","0","0","0","3","1","-140"
"610209503","","0","0","0","0","4","1","-60"
"610209504","","0","0","0","0","5","1","-60"
"610210101","","0","1","165","-15","1","1.15","0"
"610210201","","0","1","165","0","1","0.92","0"
"610210202","","0","1","165","-15","1","1.15","0"
"610210203","","0","1","165","-15","1","1.15","0"
"610210301","","0","1","165","0","1","0.92","0"
"610210302","","0","1","165","-15","1","1.15","0"
"610210303","","0","1","165","-15","1","1.15","0"
"610210401","","0","0","0","0","2","0.68","-200"
"610210402","","0","0","0","0","3","0.68","-140"
"610210403","","0","0","0","0","4","0.68","-60"
"610210404","","0","0","0","0","5","0.68","-60"
"610210501","","0","0","0","0","2","0.68","-200"
"610210502","","0","0","0","0","3","0.68","-140"
"610210503","","0","0","0","0","4","0.68","-60"
"610210504","","0","0","0","0","5","0.68","-60"
"610211101","","0","1","55","30","1","0.9","0"
"610211201","","0","1","55","-5","1","0.9","0"
"610211202","","0","1","55","30","1","0.9","0"
"610211203","","0","1","55","30","1","0.9","0"
"610211301","","0","1","55","-5","1","0.9","0"
"610211302","","0","1","55","30","1","0.9","0"
"610211303","","0","1","55","30","1","0.9","0"
"610211401","","0","0","0","0","2","0.78","-40"
"610211402","","0","0","0","0","3","0.78","-10"
"610211403","","0","0","0","0","4","0.78","50"
"610211404","","0","0","0","0","5","0.78","50"
"610211501","","0","0","0","0","2","0.78","-40"
"610211502","","0","0","0","0","3","0.78","-10"
"610211503","","0","0","0","0","4","0.78","50"
"610211504","","0","0","0","0","5","0.78","50"
"610212101","","0","1","35","45","1","0.9","0"
"610212201","","0","1","35","0","1","0.8","0"
"610212202","","0","1","35","45","1","0.9","0"
"610212203","","0","1","35","45","1","0.9","0"
"610212301","","0","1","35","0","1","0.8","0"
"610212302","","0","1","35","45","1","0.9","0"
"610212303","","0","1","35","45","1","0.9","0"
"610212401","","0","0","0","0","2","0.6","-220"
"610212402","","0","0","0","0","3","0.6","-200"
"610212403","","0","0","0","0","4","0.6","-140"
"610212404","","0","0","0","0","5","0.6","-140"
"610212405","","0","0","0","0","2","0.6","-60"
"610212406","","0","0","0","0","3","0.6","-60"
"610212501","","0","0","0","0","4","0.6","-220"
"610212502","","0","0","0","0","5","0.6","-200"
"610212503","","0","0","0","0","2","0.6","-140"
"610212504","","0","0","0","0","3","0.6","-140"
"610212505","","0","0","0","0","4","0.6","-60"
"610212506","","0","0","0","0","5","0.6","-60"
"610213101","","0","1","250","-75","1","1.35","0"
"610213151","","0","1","0","-125","1","0.9","0"
"610213201","","0","1","250","-70","1","1.1","0"
"610213204","","0","1","250","-75","1","1.35","0"
"610213207","","0","1","250","-75","1","1.35","0"
"610213251","","0","1","0","-125","1","0.71","0"
"610213252","","0","1","0","-125","1","0.9","0"
"610213253","","0","1","0","-125","1","0.9","0"
"610213301","","0","1","250","-70","1","1.1","0"
"610213304","","0","1","250","-75","1","1.35","0"
"610213307","","0","1","250","-75","1","1.35","0"
"610213351","","0","1","0","-125","1","0.71","0"
"610213352","","0","1","0","-125","1","0.9","0"
"610213353","","0","1","0","-125","1","0.9","0"
"610213401","","0","0","0","-20","2","0.7","-200"
"610213402","","0","0","0","-20","3","0.7","-140"
"610213403","","0","0","0","-20","4","0.7","-60"
"610213404","","0","0","0","-20","5","0.7","-60"
"610213451","","0","0","0","0","2","0.78","-50"
"610213452","","0","0","0","0","3","0.78","0"
"610213453","","0","0","0","0","4","0.78","100"
"610213454","","0","0","0","0","5","0.78","300"
"610213501","","0","0","0","-20","2","0.7","-200"
"610213502","","0","0","0","-20","3","0.7","-140"
"610213503","","0","0","0","-20","4","0.7","-60"
"610213504","","0","0","0","-20","5","0.7","-60"
"610213551","","0","0","0","0","2","0.78","-50"
"610213552","","0","0","0","0","3","0.78","0"
"610213553","","0","0","0","0","4","0.78","100"
"610213554","","0","0","0","0","5","0.78","300"
"610213555","","0","0","0","0","6","0.78","0"
"610214101","","0","1","30","15","1","1.26","0"
"610214201","","0","1","30","-10","1","1","0"
"610214202","","0","1","30","-10","1","1","0"
"610214203","","0","1","30","15","1","1.26","0"
"610214301","","0","1","30","-10","1","1","0"
"610214302","","0","1","30","-10","1","1","0"
"610214303","","0","1","30","15","1","1.26","0"
"610214401","","0","0","0","0","2","0.82","-40"
"610214402","","0","0","0","0","3","0.82","-10"
"610214403","","0","0","0","0","4","0.82","50"
"610214404","","0","0","0","0","5","0.82","50"
"610214405","","0","0","0","0","6","0.85","-40"
"610214406","","0","0","0","-10","7","0.85","-10"
"610214407","","0","0","0","-10","8","0.85","50"
"610214408","","0","0","0","-10","9","0.85","50"
"610214501","","0","0","0","0","2","0.82","-40"
"610214502","","0","0","0","0","3","0.82","-10"
"610214503","","0","0","0","0","4","0.82","50"
"610214504","","0","0","0","0","5","0.82","50"
"610214505","","0","0","0","0","6","0.85","-40"
"610214506","","0","0","0","-10","7","0.85","-10"
"610214507","","0","0","0","-10","8","0.85","50"
"610214508","","0","0","0","-10","9","0.85","50"
"610215101","","0","1","140","-50","1","1.5","0"
"610215201","","0","1","140","-69","1","1.2","0"
"610215202","","0","1","140","-67","1","1.3","0"
"610215203","","0","1","140","-50","1","1.5","0"
"610215301","","0","1","140","-69","1","1.2","0"
"610215302","","0","1","140","-67","1","1.3","0"
"610215303","","0","1","140","-50","1","1.5","0"
"610215401","","0","0","0","0","2","0.85","-40"
"610215402","","0","0","0","0","3","0.85","-10"
"610215403","","0","0","0","0","4","0.85","50"
"610215404","","0","0","0","0","5","0.85","50"
"610215405","","0","0","0","0","6","0.8","-10"
"610215406","","0","0","0","0","7","0.8","50"
"610215407","","0","0","0","0","8","0.8","-40"
"610215501","","0","0","0","0","2","0.85","-40"
"610215502","","0","0","0","0","3","0.85","-10"
"610215503","","0","0","0","0","4","0.85","50"
"610215504","","0","0","0","0","5","0.85","50"
"610215505","","0","0","0","0","6","0.8","-10"
"610215506","","0","0","0","0","7","0.8","50"
"610215507","","0","0","0","0","8","0.8","-40"
"610216101","","0","1","170","0","1","1.12","0"
"610216201","","0","1","170","-29","1","0.91","0"
"610216202","","0","1","170","0","1","1.12","0"
"610216203","","0","1","170","0","1","1.12","0"
"610216301","","0","1","170","-29","1","0.91","0"
"610216302","","0","1","170","0","1","1.12","0"
"610216303","","0","1","170","0","1","1.12","0"
"610216401","","0","0","0","-13","2","0.85","0"
"610216402","","0","0","0","-13","3","0.85","0"
"610216403","","0","0","0","-13","4","0.85","-40"
"610216501","","0","0","0","-13","2","0.85","0"
"610216502","","0","0","0","-13","3","0.85","0"
"610216503","","0","0","0","-13","4","0.85","-40"
"610217101","","0","1","205","-22","1","0.95","0"
"610217201","","0","1","205","-22","1","0.95","0"
"610217202","","0","1","205","-22","1","0.95","0"
"610217203","","0","1","205","-22","1","0.95","0"
"610217301","","0","1","205","-22","1","0.95","0"
"610217302","","0","1","205","-22","1","0.95","0"
"610217303","","0","1","205","-22","1","0.95","0"
