8615765920b97f95dcdcf8b56869934e886454b26fb9e3ee8f630f5fed82b9be,679a9f33002099baca20b0c16ed4b0b3727f3a7f77934701b147564f84aba3d5,d512f342328f3be96251c88dede88590dd0078a9ce87bfdd2c8e825b08d33af2,a6ab4063769fb1d40b10d97ea50ad8ab8aaaa184bbb18a9da2a8fc591dc226d3,0b4d3b6a42457c57aa5e97702d87edf0013afea1ecbd01f023e13c453e716ae1,48dfca2ffb8491e3800709600dd99321c44662baf71727f7599c463cee382443,a7e406c25621609a56de39189cc0638f3286ef9fd296a89b2d8b5bc78d6f5d82,5e8aab9254c748c3a72a39a3300b2970fe9735ccf44ab8701771f780db2bf8e6,999d9db1edb9473984f1a31521c5e0a5a9255540bc4085e407c9fbcf120a2cda,e45092c561a68f5ef34f9ca8df05f88081fff9bab0fe543a383195b2dc459cd3,0dc6e02e64ebf9f77e6e3f41dbef5b42fb8c24eddbbdd9480f1225bef6928051,93445f819ba442d45134dfd718923526196236b164353710947cc6a217405774
"0","1150041","1.03896103896104","480","0","1","730","0","8","15","0","41"
"0","1150042","0","0","1","4","0","0","8","15","2.53896103896104","42"
"0","1150043","0.01","0","0","1","400","0","9","15","0","43"
"0","1150044","0","0","1","4","0","0","9","15","0","44"
"vo_10011600_1515","1150045","0","0","0","2","0","vo_10011600","0","15","0","45"
"0","1150046","1.32987012987013","400","0","1","720","0","9","15","0","46"
"vo_10011600_1601","1160001","0","0","0","2","0","vo_10011600","0","16","0","1"
"0","1160002","0.623376623376623","0","0","1","150","0","1","16","0","2"
"0","1160003","0","0","1","4","0","0","1","16","2.12337662337662","3"
"vo_10011600_1602","1160004","0","0","0","2","0","vo_10011600","0","16","0","4"
"0","1160005","3.63636363636364","0","0","1","700","0","2","16","0","5"
"0","1160006","0","0","1","4","0","0","2","16","5.13636363636364","6"
"vo_10011600_1603","1160007","0","0","0","2","0","vo_10011600","0","16","0","7"
"0","1160008","1.18441558441558","0","0","1","285","0","3","16","0","8"
"0","1160009","0","0","1","4","0","0","3","16","2.18441558441558","9"
"vo_10011600_1604","1160010","0","0","0","2","0","vo_10011600","0","16","0","10"
"0","1160011","0.353246753246753","285","0","1","370","0","3","16","0","11"
"0","1160012","0","0","1","4","0","0","3","16","0.553246753246753","12"
"vo_10011600_1605","1160013","0","0","0","2","0","vo_10011600","0","16","0","13"
"0","1160014","1.1012987012987","370","0","1","635","0","3","16","0","14"
"0","1160015","0","0","1","4","0","0","3","16","1.1012987012987","15"
"0","1160016","1.95324675324675","0","0","1","470","0","4","16","0","16"
"0","1160017","0","0","1","4","0","0","4","16","2.45324675324675","17"
"vo_10011600_1606","1160018","0","0","0","2","0","vo_10011600","0","16","0","18"
"0","1160019","0.78961038961039","470","0","1","660","0","4","16","0","19"
"0","1160020","0","0","1","4","0","0","4","16","1.78961038961039","20"
"vo_10011600_1607","1160021","0","0","0","2","0","vo_10011600","0","16","0","21"
"0","1160022","1.99480519480519","0","0","1","480","0","5","16","0","22"
"0","1160023","0","0","1","4","0","0","5","16","2.99480519480519","23"
"vo_10011600_1608","1160024","0","0","0","2","0","vo_10011600","0","16","0","24"
"0","1160025","0.748051948051948","480","0","1","660","0","5","16","0","25"
"0","1160026","0","0","1","4","0","0","5","16","1.99805194805195","26"
"vo_10011600_1609","1160027","0","0","0","2","0","vo_10011600","0","16","0","27"
"0","1160028","1.53766233766234","0","0","1","370","0","6","16","0","28"
"0","1160029","0","0","1","4","0","0","6","16","2.13766233766234","29"
"vo_10011600_1610","1160030","0","0","0","2","0","vo_10011600","0","16","0","30"
"0","1160031","1.41298701298701","370","0","1","710","0","6","16","0","31"
"0","1160032","0","0","1","4","0","0","6","16","1.41298701298701","32"
"0","1160033","0.78961038961039","0","0","1","190","0","7","16","0","33"
"0","1160034","0","0","1","4","0","0","7","16","2.33961038961039","34"
"vo_10011600_1611","1160035","0","0","0","2","0","vo_10011600","0","16","0","35"
"0","1160036","0.706493506493507","190","0","1","360","0","7","16","0","36"
"0","1160037","0","0","1","4","0","0","7","16","1.00649350649351","37"
"vo_10011600_1612","1160038","0","0","0","2","0","vo_10011600","0","16","0","38"
"0","1160039","1.45454545454545","360","0","1","710","0","7","16","0","39"
"0","1160040","0","0","1","4","0","0","7","16","2.95454545454545","40"
"vo_10011600_1613","1160041","0","0","0","2","0","vo_10011600","0","16","0","41"
"0","1160042","0.249350649350649","710","0","1","770","0","7","16","0","42"
"0","1160043","0","0","1","4","0","0","7","16","0.749350649350649","43"
"vo_10011600_1614","1160044","0","0","0","2","0","vo_10011600","0","16","0","44"
"0","1160045","2.31896103896104","0","0","1","558","0","8","16","0","45"
"0","1160046","0","0","1","4","0","0","8","16","3.71896103896104","46"
"vo_10011600_1615","1160047","0","0","0","2","0","vo_10011600","0","16","0","47"
"0","1160048","0.714805194805195","558","0","1","730","0","8","16","0","48"
"0","1160049","0","0","1","4","0","0","8","16","2.71480519480519","49"
"0","1160050","0.01","0","0","1","560","0","9","16","0","50"
"0","1160051","0","0","1","4","0","0","9","16","0","51"
"vo_10011600_1616","1160052","0","0","0","2","0","vo_10011600","0","16","0","52"
"0","1160053","0.623376623376623","560","0","1","710","0","9","16","0","53"
"vo_10011600_1701","1170001","0","0","0","2","0","vo_10011600","0","17","0","1"
"0","1170002","0.664935064935065","0","0","1","160","0","1","17","0","2"
"0","1170003","0","0","1","4","0","0","1","17","2.16493506493507","3"
"vo_10011600_1702","1170004","0","0","0","2","0","vo_10011600","0","17","0","4"
"0","1170005","0.730519480519481","0","0","1","125","0","2","17","0","5"
"0","1170006","0","0","1","4","0","0","2","17","1.53051948051948","6"
"vo_10011600_1703","1170007","0","0","0","2","0","vo_10011600","0","17","0","7"
"0","1170008","3.35064935064935","125","0","1","770","0","2","17","0","8"
"0","1170009","0","0","1","4","0","0","2","17","4.85064935064935","9"
"vo_10011600_1704","1170010","0","0","0","2","0","vo_10011600","0","17","0","10"
"0","1170011","0.851948051948052","0","0","1","205","0","3","17","0","11"
"0","1170012","0","0","1","4","0","0","3","17","2.10194805194805","12"
"vo_10011600_1705","1170013","0","0","0","2","0","vo_10011600","0","17","0","13"
"0","1170014","2.72727272727273","205","0","1","730","0","3","17","0","14"
"0","1170015","0","0","1","4","0","0","3","17","4.47727272727273","15"
"vo_10011600_1706","1170016","0","0","0","2","0","vo_10011600","0","17","0","16"
"0","1170017","1.66233766233766","0","0","1","400","0","4","17","0","17"
"0","1170018","0","0","1","4","0","0","4","17","2.86233766233766","18"
"vo_10011600_1707","1170019","0","0","0","2","0","vo_10011600","0","17","0","19"
"0","1170020","1.28831168831169","400","0","1","710","0","4","17","0","20"
"0","1170021","0","0","1","4","0","0","4","17","3.03831168831169","21"
"vo_10011600_1708","1170022","0","0","0","2","0","vo_10011600","0","17","0","22"
"0","1170023","2.36883116883117","0","0","1","570","0","5","17","0","23"
"0","1170024","0","0","1","4","0","0","5","17","3.76883116883117","24"
"vo_10011600_1709","1170025","0","0","0","2","0","vo_10011600","0","17","0","25"
"0","1170026","1.4961038961039","0","0","1","360","0","6","17","0","26"
"0","1170027","0","0","1","4","0","0","6","17","2.2461038961039","27"
"vo_10011600_1710","1170028","0","0","0","2","0","vo_10011600","0","17","0","28"
"0","1170029","0.976623376623377","360","0","1","595","0","6","17","0","29"
"0","1170030","0","0","1","4","0","0","6","17","1.97662337662338","30"
"vo_10011600_1711","1170031","0","0","0","2","0","vo_10011600","0","17","0","31"
"0","1170032","1.3838961038961","0","0","1","333","0","7","17","0","32"
"0","1170033","0","0","1","4","0","0","7","17","2.7838961038961","33"
"vo_10011600_1712","1170034","0","0","0","2","0","vo_10011600","0","17","0","34"
"0","1170035","0.818701298701299","333","0","1","530","0","7","17","0","35"
"0","1170036","0","0","1","4","0","0","7","17","1.8187012987013","36"
"vo_10011600_1713","1170037","0","0","0","2","0","vo_10011600","0","17","0","37"
"0","1170038","0.872727272727273","530","0","1","740","0","7","17","0","38"
"0","1170039","0","0","1","4","0","0","7","17","2.67272727272727","39"
"vo_10011600_1714","1170040","0","0","0","2","0","vo_10011600","0","17","0","40"
"0","1170041","0.581818181818182","0","0","1","140","0","8","17","0","41"
"0","1170042","0","0","1","4","0","0","8","17","1.38181818181818","42"
"vo_10011600_1715","1170043","0","0","0","2","0","vo_10011600","0","17","0","43"
"0","1170044","1.35064935064935","140","0","1","465","0","8","17","0","44"
"0","1170045","0","0","1","4","0","0","8","17","2.60064935064935","45"
"vo_10011600_1716","1170046","0","0","0","2","0","vo_10011600","0","17","0","46"
"0","1170047","0.976623376623377","465","0","1","700","0","8","17","0","47"
"0","1170048","0","0","1","4","0","0","8","17","2.97662337662338","48"
"0","1170049","0.01","0","0","1","470","0","9","17","0","49"
"0","1170050","0","0","1","4","0","0","9","17","0","50"
"vo_10011600_1717","1170051","0","0","0","2","0","vo_10011600","0","17","0","51"
"0","1170052","1.19480519480519","470","0","1","700","0","9","17","0","52"
