855bd0c44fd152cff55864187f6a9e90cfc0f379c115264ef1c0fc9931a4c1d5,eb5a42df406cd1ded383a4c1d4079b853732e361e6cf2eb626c3a4ecbeee6057,a1c06c79a5b53963dd00a0a262f0ba557f61f6f872dd0312b0406290bf5ae5ff,b69726f863fe534aa94360743f45049a36c370b67ae52ee34e79798d0d4239fe,21ee6a46478f9be988b33338a412f2c534e60b20c2140016b4d98d3aebe1fa8f
"ＴＰ上昇上限付与","75000004","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000402"
"物理防御力（ダウン不可）アップ","75000004","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500000403"
"魔法防御力（ダウン不可）アップ","75000004","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000404"
"ＨＰ吸収ダウン","75000004","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500000405"
"ＴＰダウンカット","75000004","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000406"
"ダメージ減衰","75000005","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000501"
"ＴＰ上昇上限付与","75000005","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000502"
"物理防御力（ダウン不可）アップ","75000005","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500000503"
"魔法防御力（ダウン不可）アップ","75000005","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000504"
"ＨＰ吸収ダウン","75000005","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500000505"
"ＴＰダウンカット","75000005","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000506"
"ダメージ減衰","75000006","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000601"
"ＴＰ上昇上限付与","75000006","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000602"
"物理防御力（ダウン不可）アップ","75000006","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500000603"
"魔法防御力（ダウン不可）アップ","75000006","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000604"
"ＨＰ吸収ダウン","75000006","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500000605"
"ＴＰダウンカット","75000006","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000606"
"ダメージ減衰","75000007","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000701"
"ＴＰ上昇上限付与","75000007","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000702"
"物理防御力（ダウン不可）アップ","75000007","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500000703"
"魔法防御力（ダウン不可）アップ","75000007","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000704"
"ＨＰ吸収ダウン","75000007","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500000705"
"ＴＰダウンカット","75000007","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000706"
"ダメージ減衰","75000008","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000801"
"ＴＰ上昇上限付与","75000008","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000802"
"物理防御力（ダウン不可）アップ","75000008","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500000803"
"魔法防御力（ダウン不可）アップ","75000008","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000804"
"ＨＰ吸収ダウン","75000008","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500000805"
"ＴＰダウンカット","75000008","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000806"
"ダメージ減衰","75000009","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500000901"
"ＴＰ上昇上限付与","75000009","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500000902"
"物理防御力（ダウン不可）アップ","75000009","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500000903"
"魔法防御力（ダウン不可）アップ","75000009","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500000904"
"ＨＰ吸収ダウン","75000009","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500000905"
"ＴＰダウンカット","75000009","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500000906"
"ダメージ減衰","75000010","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500001001"
"ＴＰ上昇上限付与","75000010","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500001002"
"物理防御力（ダウン不可）アップ","75000010","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500001003"
"魔法防御力（ダウン不可）アップ","75000010","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500001004"
"ＨＰ吸収ダウン","75000010","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500001005"
"ＴＰダウンカット","75000010","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500001006"
"ダメージ減衰","75000011","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500001101"
"ＴＰ上昇上限付与","75000011","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500001102"
"物理防御力（ダウン不可）アップ","75000011","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500001103"
"魔法防御力（ダウン不可）アップ","75000011","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500001104"
"ＨＰ吸収ダウン","75000011","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500001105"
"ＴＰダウンカット","75000011","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","500001106"
"ダメージ減衰","75000012","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","500001201"
"ＴＰ上昇上限付与","75000012","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","500001202"
"物理防御力（ダウン不可）アップ","75000012","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","500001203"
"魔法防御力（ダウン不可）アップ","75000012","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","500001204"
"ＨＰ吸収ダウン","75000012","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","500001205"
"ＴＰダウンカット","75000012","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","500001206"
"ダメージ減衰","76010001","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","601000101"
"ＴＰ上昇上限付与","76010001","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","601000102"
"物理防御力（ダウン不可）アップ","76010001","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","601000103"
"魔法防御力（ダウン不可）アップ","76010001","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","601000104"
"ＨＰ吸収ダウン","76010001","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","601000105"
"ＴＰダウンカット","76010001","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","601000106"
"ダメージ減衰","76010002","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","601000201"
"ＴＰ上昇上限付与","76010002","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","601000202"
"物理防御力（ダウン不可）アップ","76010002","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","601000203"
"魔法防御力（ダウン不可）アップ","76010002","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","601000204"
"ＨＰ吸収ダウン","76010002","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","601000205"
"ＴＰダウンカット","76010002","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","601000206"
"ダメージ減衰","76010003","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","601000301"
"ＴＰ上昇上限付与","76010003","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","601000302"
"物理防御力（ダウン不可）アップ","76010003","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","601000303"
"魔法防御力（ダウン不可）アップ","76010003","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","601000304"
"ＨＰ吸収ダウン","76010003","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","601000305"
"ＴＰダウンカット","76010003","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","601000306"
"ダメージ減衰","76010004","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","601000401"
"ＴＰ上昇上限付与","76010004","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","601000402"
"物理防御力（ダウン不可）アップ","76010004","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","601000403"
"魔法防御力（ダウン不可）アップ","76010004","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","601000404"
"ＨＰ吸収ダウン","76010004","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","601000405"
"ＴＰダウンカット","76010004","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","601000406"
"ダメージ減衰","76010005","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","601000501"
"ＴＰ上昇上限付与","76010005","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","601000502"
"物理防御力（ダウン不可）アップ","76010005","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","601000503"
"魔法防御力（ダウン不可）アップ","76010005","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","601000504"
"ＨＰ吸収ダウン","76010005","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","601000505"
"ＴＰダウンカット","76010005","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","601000506"
"全属性ボーナス特大アップ","76010006","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","601000601"
"危険領域","76010006","25","バトル中、「バトル中継続物理攻撃力アップ」、「バトル中継続魔法攻撃力アップ」効果が発動する。","601000602"
"ダメージ減衰","76010006","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","601000603"
"ＴＰ上昇上限付与","76010006","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","601000604"
"物理防御力（ダウン不可）アップ","76010006","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","601000605"
"魔法防御力（ダウン不可）アップ","76010006","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","601000606"
"ＨＰ吸収ダウン","76010006","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","601000607"
"ＴＰダウンカット","76010006","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","601000608"
"バトル中継続物理攻撃力アップ","76010006","boss_atk_up","バトル開始後一定時間ごとに、すべてのモンスターの物理攻撃力をアップさせる。","601000609"
"バトル中継続魔法攻撃力アップ","76010006","34","バトル開始後一定時間ごとに、すべてのモンスターの魔法攻撃力をアップさせる。","601000610"
"全属性ボーナス特大アップ","76010007","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","601000701"
"危険領域","76010007","25","バトル中、「バトル中継続物理攻撃力アップ」、「バトル中継続魔法攻撃力アップ」効果が発動する。","601000702"
"ダメージ減衰","76010007","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","601000703"
"ＴＰ上昇上限付与","76010007","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","601000704"
"物理防御力（ダウン不可）アップ","76010007","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","601000705"
"魔法防御力（ダウン不可）アップ","76010007","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","601000706"
"ＨＰ吸収ダウン","76010007","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","601000707"
"ＴＰダウンカット","76010007","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","601000708"
"バトル中継続物理攻撃力アップ","76010007","boss_atk_up","バトル開始後一定時間ごとに、すべてのモンスターの物理攻撃力をアップさせる。","601000709"
"バトル中継続魔法攻撃力アップ","76010007","34","バトル開始後一定時間ごとに、すべてのモンスターの魔法攻撃力をアップさせる。","601000710"
"全属性ボーナス特大アップ","76010008","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","601000801"
"危険領域","76010008","25","バトル中、「バトル中継続物理攻撃力アップ」、「バトル中継続魔法攻撃力アップ」効果が発動する。","601000802"
"ダメージ減衰","76010008","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","601000803"
"ＴＰ上昇上限付与","76010008","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","601000804"
"物理防御力（ダウン不可）アップ","76010008","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","601000805"
"魔法防御力（ダウン不可）アップ","76010008","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","601000806"
"ＨＰ吸収ダウン","76010008","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","601000807"
"ＴＰダウンカット","76010008","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","601000808"
"バトル中継続物理攻撃力アップ","76010008","boss_atk_up","バトル開始後一定時間ごとに、すべてのモンスターの物理攻撃力をアップさせる。","601000809"
"バトル中継続魔法攻撃力アップ","76010008","34","バトル開始後一定時間ごとに、すべてのモンスターの魔法攻撃力をアップさせる。","601000810"
"全属性ボーナス特大アップ","76010009","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","601000901"
"危険領域","76010009","25","バトル中、「バトル中継続物理攻撃力アップ」、「バトル中継続魔法攻撃力アップ」効果が発動する。","601000902"
"ダメージ減衰","76010009","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","601000903"
"ＴＰ上昇上限付与","76010009","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","601000904"
"物理防御力（ダウン不可）アップ","76010009","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","601000905"
"魔法防御力（ダウン不可）アップ","76010009","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","601000906"
"ＨＰ吸収ダウン","76010009","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","601000907"
"ＴＰダウンカット","76010009","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","601000908"
"バトル中継続物理攻撃力アップ","76010009","boss_atk_up","バトル開始後一定時間ごとに、すべてのモンスターの物理攻撃力をアップさせる。","601000909"
"バトル中継続魔法攻撃力アップ","76010009","34","バトル開始後一定時間ごとに、すべてのモンスターの魔法攻撃力をアップさせる。","601000910"
"全属性ボーナス特大アップ","76010010","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","601001001"
"危険領域","76010010","25","バトル中、「バトル中継続物理攻撃力アップ」、「バトル中継続魔法攻撃力アップ」効果が発動する。","601001002"
"ダメージ減衰","76010010","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","601001003"
"ＴＰ上昇上限付与","76010010","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","601001004"
"物理防御力（ダウン不可）アップ","76010010","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","601001005"
"魔法防御力（ダウン不可）アップ","76010010","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","601001006"
"ＨＰ吸収ダウン","76010010","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","601001007"
"ＴＰダウンカット","76010010","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","601001008"
"バトル中継続物理攻撃力アップ","76010010","boss_atk_up","バトル開始後一定時間ごとに、すべてのモンスターの物理攻撃力をアップさせる。","601001009"
"バトル中継続魔法攻撃力アップ","76010010","34","バトル開始後一定時間ごとに、すべてのモンスターの魔法攻撃力をアップさせる。","601001010"
"ダメージ減衰","76020001","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","602000101"
"ＴＰ上昇上限付与","76020001","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","602000102"
"物理防御力（ダウン不可）アップ","76020001","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","602000103"
"魔法防御力（ダウン不可）アップ","76020001","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","602000104"
"ＨＰ吸収ダウン","76020001","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","602000105"
"ＴＰダウンカット","76020001","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","602000106"
"ダメージ減衰","76020002","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","602000201"
"ＴＰ上昇上限付与","76020002","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","602000202"
"物理防御力（ダウン不可）アップ","76020002","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","602000203"
"魔法防御力（ダウン不可）アップ","76020002","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","602000204"
"ＨＰ吸収ダウン","76020002","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","602000205"
"ＴＰダウンカット","76020002","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","602000206"
"ダメージ減衰","76020003","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","602000301"
"ＴＰ上昇上限付与","76020003","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","602000302"
"物理防御力（ダウン不可）アップ","76020003","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","602000303"
"魔法防御力（ダウン不可）アップ","76020003","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","602000304"
"ＨＰ吸収ダウン","76020003","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","602000305"
"ＴＰダウンカット","76020003","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","602000306"
"ダメージ減衰","76020004","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","602000401"
"ＴＰ上昇上限付与","76020004","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","602000402"
"物理防御力（ダウン不可）アップ","76020004","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","602000403"
"魔法防御力（ダウン不可）アップ","76020004","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","602000404"
"ＨＰ吸収ダウン","76020004","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","602000405"
"ＴＰダウンカット","76020004","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","602000406"
"ダメージ減衰","76020005","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","602000501"
"ＴＰ上昇上限付与","76020005","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","602000502"
"物理防御力（ダウン不可）アップ","76020005","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力をアップさせる。この効果は物理防御力ダウンの影響を受けない。","602000503"
"魔法防御力（ダウン不可）アップ","76020005","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力をアップさせる。この効果は魔法防御力ダウンの影響を受けない。","602000504"
"ＨＰ吸収ダウン","76020005","9","バトル開始時、すべてのキャラのＨＰ吸収をダウンさせる。","602000505"
"ＴＰダウンカット","76020005","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n50％カット状態になる。","602000506"
"全属性ボーナス特大アップ","76020006","33","同属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。","602000601"
"危険領域","76020006","25","バトル中、「バトル中継続物理攻撃力アップ」効果が発動する。","602000602"
"ダメージ減衰","76020006","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","602000603"
"ＴＰ上昇上限付与","76020006","17","バトル開始時、すべてのキャラのＴＰ上昇の上限値を150にする。","602000604"
