dc2cdd9cbfe549c7fce872d8da41007494f825fd0d839f13c9a6e572f1513634,afb2a1d6c42468faf3b24219b4123ef0c96704a33dfe260d178ee0eac75922f3,ee114bee60e6587bcae02ef47df5a0ab728445a544b69e09dc7f9c4f3c44ea33,6ca118485f86c23957edb358988aece321b0f16f27d397347c6f4df58a6cbfe8,58f01ffe31ee90851f440b42cbadcd84ddb05468fc118af4b51612dacb7e57e0,be250b159f7c92db2f3e0d86c60cab8ad8d67eea34458003302c45ff04cfb46a
"20045102","148","20045108","0","1","1"
"20045103","149","20045111","0","1","1"
"20045","150","5082002","501160","2","3"
"20045","151","5082004","501031","2","3"
"20045","152","5082005","501483","2","3"
"20046","153","5084001","500368","2","3"
"20046","154","5084002","510306","2","3"
"20046","155","5084003","500039","2","3"
"20047","156","5085002","500368","2","3"
"20047","157","5085003","510203","2","3"
"20047","158","5085004","500272","2","3"
"20047","159","5085005","501501","2","3"
"10130","160","5130001","500016","2","3"
"10130","161","5130007","500133","2","3"
"10131","162","5104003","500133","2","3"
"10136","163","5136002","500143","2","3"
"10136","164","5136004","500175","2","3"
"10137","165","5137002","501622","2","3"
"10137","166","5137005","500133","2","3"
"20048","167","5088005","501810","2","3"
"10134","168","5134007","500553","2","3"
"10135","169","5108002","501911","2","3"
"10138","170","5110005","501931","2","3"
"10139","171","5111005","500013","2","3"
"20049","172","5090002","501541","2","3"
"10138101","173","1013801","0","1","2"
"10141","174","5114000","500016","2","3"
"10141","175","5114003","501952","2","3"
"10140","180","5140002","502224","2","3"
"20050","181","5092001","501031","2","3"
"20050","182","5092004","501551","2","3"
"10142","183","5142001","501683","2","3"
"10143","184","5116004","500837","2","3"
"10145","185","5118002","500133","2","3"
"10145","186","5118003","500810","2","3"
"10145","187","5118007","500133","2","3"
"20051","188","5094001","501593","2","3"
"20052","189","5096002","501613","2","3"
"10146","1014601","5146001","502283","2","3"
"10149","1014901","5122000","502003","2","3"
"10149","1014902","5122002","502015","2","3"
"10151","1015101","5124003","501614","2","3"
"10154","1015401","5154007","502373","2","3"
"10156","1015601","5156001","502074","2","3"
"10156","1015602","5156002","502394","2","3"
"10157","1015701","5128001","502063","2","3"
"10158","1015801","5158003","500880","2","3"
"10159","1015901","5130001","500016","2","3"
"10159","1015902","5130007","500133","2","3"
"20053","2005301","5098000","501031","2","3"
"20054","2005401","5100003","500837","2","3"
"20055","2005501","5102002","501873","2","3"
"20056","2005601","5104003","500133","2","3"
"20058","2005801","5108002","501911","2","3"
"20059","2005901","5110005","501931","2","3"
"20060","2006001","5111005","500013","2","3"
