794360b18914d4ed6b48e6047c57bcb9d2fd273c33c4ba8da1705817c1b40e80,9e69231a8302e77489e5e31895ccc83fa7bb02ccf3217fab56f89c35f96e5bea,fc8fe80c00c1843cf0d8148fe7e6d54d3510b12e1d06c6aeadf8e66fc3c4edcd,3afd0fdf17b55d3abd774b03f575c9a58a0b0d0507cb55ac1abc11b17b0050a7,7c4f9a6ee21aa38332ccd954440614f6772379145749d7dafbacb4c1fc22a358
"200","5000","30","21011","240"
"200","5000","35","21012","241"
"5","5000","5","21012","242"
"150","5000","70","21013","243"
"200","5000","15","21013","244"
"150","5000","60","21014","245"
"200","5000","15","21014","246"
"150","5000","60","21015","247"
"200","5000","15","21015","248"
"150","5000","60","21016","249"
"200","5000","15","21016","250"
"150","5000","60","21017","251"
"200","5000","15","21017","252"
"120","5000","50","21018","253"
"200","5000","60","21018","254"
"102","5000","67","21019","255"
"200","5000","60","21019","256"
"120","5000","35","21020","257"
"250","5000","60","21020","258"
