2fb66a6e522c546fb78b358ec833a41142130cef3375b399871ee0a635386a64,f49baf89b8d479a69439c55606ebaab949eb1394962b662f56229f6c9aa53973,8ea622050f73d6668748dcdac789c14b131438a3ce54d8c5cadcadcc9d2841f6,dd0ebee7de264ce5100755e7fa02daab7f9a46e7c8333219e4369ac936676e38,a04f8b65aba01d618dbb5645ebd2d736ec5030ae4fdd172bf13900a04915bd36,3c515e3337138c4950be431cc2dd2e9526d10563e8eceb5240e99eb5038f4fa2,f45785cee8fc0aedcaaa7edaffc401a4560948e2224a5cd17a05ce09a0d71e7a,391cda67541b1e2b432628b0c25d94240cce44bb3079e793a2f24e8e3daac6fa,521f6937b96bea3177dc291477f763d1420c89b7989c5ebb9b1172d5f8a4820e
"3","2","2","0","-50","0","1500","0","2117001"
"300","21","0","0","3301002","0","0","0","3301001"
"2","20","0","0","1","0","30","20","3301002"
"1","1","2","0","0","0","1","100","3301101"
"1","1","2","0","0","0","1","40","3302001"
"1","1","2","0","0","0","1","60","3302002"
"1","1","2","0","0","0","1","12","3303001"
"1","1","2","0","0","0","1","28","3303002"
"1","1","2","0","0","0","1","40","3304001"
"1","1","2","0","0","0","1","100","3304002"
"200","21","0","0","3305011","0","0","0","3305001"
"200","21","0","0","3305012","0","0","0","3305002"
"200","21","0","0","3305013","0","0","0","3305003"
"200","21","0","0","3305014","0","0","0","3305004"
"200","21","0","0","3305015","0","0","0","3305005"
"200","21","0","0","3305016","0","0","0","3305006"
"2","20","0","30","1","0","26","15","3305011"
"2","20","0","15","1","0","29","8","3305012"
"2","20","0","0","1","0","30","0","3305013"
"2","20","0","-15","1","0","29","-8","3305014"
"2","20","0","-30","1","0","26","-15","3305015"
"1","10","1","0","30000","0","180","0","3305016"
"1","1","2","0","0","0","1","20","3305101"
"2","20","0","0","1","0","274","29","3402001"
"2000","11","3","0","500000","0","0","0","3402101"
"200","21","0","0","3403002","0","0","0","3403001"
"1","10","1","0","200000","0","0","0","3403002"
"0","4","3","0","0","0","0","0","4001001"
"0","1","3","0","99999","0","0","0","4001002"
"9","1","3","9","99999","9","9","9","4002001"
