d7050aae1c94d684204c36d9776df1940d53294810578ac8cfaafdf704894ba7,2ecec0482eb843a99582068ce0ef5cb2e2c35f8945fa583f5ac2ccae90044994,322f1148ae90097c6cecad16942d68bf82e756a1cf92edc552202b3632554b50,926c9b1b73e63524b4153f59d8f7911779ff1d67c235b7272f6a4847d80266c4,c2008cb6196c4cf5b47e00053dda6e06298d81aa2c8810f8ff973e878aa569e5
"2","100613","20004","300","143"
"2","100614","20004","200","144"
"12","100615","94002","1000000","145"
"12","100616","94002","1000000","146"
"12","100617","94002","1000000","147"
"2","100618","20004","400","148"
"2","100619","20004","300","149"
"2","100620","20004","200","150"
"12","100621","94002","1000000","151"
"12","100622","94002","1000000","152"
"12","100623","94002","1000000","153"
"2","100624","20004","400","154"
"2","100625","20004","300","155"
"2","100626","20004","200","156"
"12","100701","94002","5000000","157"
"2","100702","90008","2000","158"
"2","100703","25001","20","159"
"2","100704","90008","2500","160"
"2","100705","25001","30","161"
"8","100706","91002","300","162"
"2","100707","41000","1","163"
"12","100708","94002","5000000","164"
"12","100709","94002","1000000","165"
"12","100710","94002","1000000","166"
"12","100711","94002","1000000","167"
"2","100712","20004","400","168"
"2","100713","20004","300","169"
"2","100714","20004","200","170"
"12","100715","94002","1000000","171"
"12","100716","94002","1000000","172"
"12","100717","94002","1000000","173"
"2","100718","20004","400","174"
"2","100719","20004","300","175"
"2","100720","20004","200","176"
"12","100721","94002","1000000","177"
"12","100722","94002","1000000","178"
"12","100723","94002","1000000","179"
"2","100724","20004","400","180"
"2","100725","20004","300","181"
"2","100726","20004","200","182"
"12","100801","94002","5000000","183"
"2","100802","90008","2000","184"
"2","100803","25001","20","185"
"2","100804","90008","2500","186"
"2","100805","25001","30","187"
"8","100806","91002","300","188"
"2","100807","41000","1","189"
"12","100808","94002","5000000","190"
"12","100809","94002","1000000","191"
"12","100810","94002","1000000","192"
"12","100811","94002","1000000","193"
"2","100812","20004","400","194"
"2","100813","20004","300","195"
"2","100814","20004","200","196"
"12","100815","94002","1000000","197"
"12","100816","94002","1000000","198"
"12","100817","94002","1000000","199"
"2","100818","20004","400","200"
"2","100819","20004","300","201"
"2","100820","20004","200","202"
"12","100821","94002","1000000","203"
"12","100822","94002","1000000","204"
"12","100823","94002","1000000","205"
"2","100824","20004","400","206"
"2","100825","20004","300","207"
"2","100826","20004","200","208"
"12","100901","94002","5000000","209"
"2","100902","90008","2000","210"
"2","100903","25001","20","211"
"2","100904","90008","2500","212"
"2","100905","25001","30","213"
"8","100906","91002","300","214"
"2","100907","41000","1","215"
"12","100908","94002","5000000","216"
"12","100909","94002","1000000","217"
"12","100910","94002","1000000","218"
"12","100911","94002","1000000","219"
"2","100912","20004","400","220"
"2","100913","20004","300","221"
"2","100914","20004","200","222"
"12","100915","94002","1000000","223"
"12","100916","94002","1000000","224"
"12","100917","94002","1000000","225"
"2","100918","20004","400","226"
"2","100919","20004","300","227"
"2","100920","20004","200","228"
"12","100921","94002","1000000","229"
"12","100922","94002","1000000","230"
"12","100923","94002","1000000","231"
"2","100924","20004","400","232"
"2","100925","20004","300","233"
"2","100926","20004","200","234"
