dcdbe47f5c480bb0ced777c8d36b122527a8537ee16f28708741c8cf6097bd82,d17fe5a102ac4d194f6b2a795d674b1f121f69ba2501853bc8634585e46f9d5c,b6cb5bbc9f6d78a46b5071d926bd96d82fc3fa3c89f3d9f58b11df0467c56435,18ef179d3eb96683c3e170b8d7cea901e2d81fd8082489cbbfcb3cc8f2dd5f5f,c0ca4791caf81d3d6f05a68b8a611521fccbb0cb7fc76339564e399d878099ed,2755b71d36bbe934586be300cfa4d448ca2b1d0ddb7b67e277a311d9c9ca1aca,c3f559e1f46bb3e129113d1a91b64a570f179a9bfa5ac91bdc5393e2a6a59e2d,95033cbb3101c8240a4360bdbcd2074f60cb63147c5f2d244da9f199f9e5c7f0,b981720bcc877809f2ee17b4dab65e3e6cc8290f9bded6fb481960b69a8559e8,97c9f20081a544c8790e62c75e63c5a2644bafe8f23ecf7fb56b3da5167d810b,b149af2b101a73fd18ee7fa659061fb5fb59e8306f3c11b0ec0905db3aa3feb7
"","","1030006","キャルちゃん！\n見てください\nいい景色ですよ☆","11","","10","0","3","105831",""
"","","1030007","","91","","","","3","0",""
"","","1030008","ちょ、あんた！\n引っぱんないでよ！\n落ちるでしょうが！","11","","10","0","3","106031",""
"","","1030009","","91","","","","3","0",""
"","1","1030010","01_uek_03_kokkoro","3","","0","01_uek_cmn_idol_def_N","3","105931",""
"","","1030011","ふふ、この先も\nきっと素敵な景色が\n待っているはずです","11","","10","0","3","105931",""
"02_uek_cmn_idol_def_N","-30","1040001","101131","1","0","100","-120","4","1","1.3"
"02_uek_cmn_idol_def_N","-5","1040002","104931","1","1","100","20","4","1","1.3"
"","","1040003","02_uek_talk_joy2","3","","1","","4","101131",""
"","","1040004","マスターセンリも\n一発からです！\n頑張りますよ！","11","","10","0","4","101131",""
"","","1040005","","91","","","","4","0",""
"","","1040006","02_uek_cmn_idol_def_N","3","","1","","4","101131","0.2"
"","","1040007","02_uek_04_shizuru","3","","1","","4","104931","0.2"
"","","1040008","それを言うなら\n千里の道も一歩から\nだよ、リノちゃん","11","","10","0","4","104931",""
"","","1040009","","91","","","","4","0",""
"","","1040010","02_uek_cmn_idol_def_N","3","","1","","4","104931","0.2"
"02_uek_cmn_idol_def_N","0","1050001","105031","1","0","100","-70","5","1","1.3"
"02_uek_cmn_idol_def_N","1","1050002","101631","1","1","100","70","5","1","1.3"
"","-15","1050003","02_uek_05_misaki","3","","0","02_uek_05_misaki_loop","5","105031",""
"","0","1050004","02_uek_05_suzuna","3","","0","02_uek_05_suzuna_loop","5","101631",""
"","","1050005","大人の階段を\n登るわよー！","11","","10","0","5","105031",""
"","0","1050006","","91","","","","5","0",""
"","","1050007","うちもモデルの\nてっぺん目指すし！","11","","10","0","5","101631",""
"02_uek_cmn_idol_def_N","25","1060001","100531","1","1","100","120","6","1","1.3"
"02_uek_cmn_idol_def_N","5","1060002","103731","1","0","100","-20","6","1","1.3"
"","","1060003","02_uek_cmn_pose04","3","","1","","6","100531",""
"","","1060004","これくらいの高さで\nへこたれてたら\nヒーロー失格ッス！","11","","10","0","6","100531",""
"","","1060005","","91","","","","6","0",""
"","","1060006","02_uek_talk_normal","3","","1","","6","103731","0.2"
"","","1060007","うん、いい鍛錬に\nなりそうだね\n楽しくなってきたよ","11","","10","0","6","103731",""
"","","1060008","","91","","","","6","0",""
"","","1060009","02_uek_cmn_idol_def_N","3","","1","","6","103731","0.2"
"02_uek_cmn_idol_def_N","-20","1070001","103831","1","0","100","-60","7","1","1.3"
"","","1070002","02_uek_07_shiori","3","","1","","7","103831","0.2"
"","","1070003","あれ…お姉ちゃん\nどこに行ったのかな\n…お姉ちゃーん？","11","","10","","7","103831",""
"02_uek_08_kuka_loop","40","1080001","104531","1","0","100","90","8","1","1.3"
"","1","1080002","2","31","","90","60","8","2","1"
"","0","1080003","あ、足に絡みつく\nツタの感触が\nたまりません～～！","11","","10","0","8","104531",""
"","","1080004","","91","","","","8","0",""
"05_idle","-35","1090001","105831","1","0","100","-195","9","2","0.9"
"302102_idle","-30","1090002","302102","1","0","1000","150","9","2","1.2"
"","1","1090003","15","31","","150","50","9","102","1"
"","1","1090004","16","31","","150","400","9","103","1"
"01_uek_cmn_idol_def_N","-25","1100001","112531","1","0","100","-160","10","1","1.3"
"01_uek_cmn_idol_def_N","-5","1100002","112431","1","1","100","-40","10","1","1.3"
"01_uek_cmn_idol_def_N","20","1100003","112631","1","1","100","125","10","1","1.3"
"","0","1100004","01_uek_talk_surprise2","3","","1","","10","112631",""
"","0","1100005","うっひゃ～…！\n足場が雲になるって\nどういうこと！？","11","","10","0","10","112631",""
"","","1100006","","91","","","","10","0",""
"","0","1100007","01_uek_cmn_idol_def_N","3","","1","","10","112631","0.2"
"","","1100008","01_uek_talk_joy1","3","","1","","10","112431",""
"","0","1100009","なんだか不思議な\n感触してますね～\nふわふわですよ♪","11","","10","0","10","112431",""
"","","1100010","","91","","","","10","0",""
"","","1100011","01_uek_cmn_idol_def_N","3","","1","","10","112431","0.2"
"","","1100012","01_uek_talk_normal","3","","1","","10","112531",""
"","0","1100013","落ちたりはしなそう\nだけど…足元には\n気をつけて進もう","11","","10","0","10","112531",""
"","","1100014","","91","","","","10","0",""
"","","1100015","01_uek_cmn_idol_def_N","3","","1","","10","112531","0.2"
"","","1100016","","91","","","","10","0",""
"03_uek_cmn_idol_def_N","-20","1110001","104731","1","0","100","-135","11","1","1.3"
"03_uek_cmn_idol_def_N","5","1110002","107131","1","1","100","100","11","1","1.3"
"","1","1110003","03_uek_11_jun","3","","0","03_uek_11_jun_loop","11","104731","0"
"","1","1110004","03_uek_11_chris","3","0.2","0","03_uek_cmn_idol_def_N","11","107131","0"
"","0","1110005","むむ、視界が白く…\nクリスちゃん、\n気を付けるんだ！","11","","10","","11","104731",""
"","","1110006","","91","","","","11","0",""
"","0","1110007","ははは、鎧の重さで\n沈んでいるぞ団長☆\nそぉれ一本釣りだ！","11","","10","0","11","107131",""
"","","1110008","","93","","","","11","1.5",""
"","1","1110009","-135","2","","0","1.5","11","104731",""
"","","1110010","","91","","","","11","1110007",""
"03_uek_cmn_idol_def_N","-20","1120001","101031","1","0","100","-120","12","1","1.3"
"03_uek_cmn_idol_def_N","-5","1120002","101431","1","1","100","10","12","1","1.3"
"","0","1120003","03_uek_talk_joy1","3","","1","","12","101031",""
"","0","1120004","かわいい雲さんやね\n一緒に連れて\n帰りたいわぁ♪","11","","10","0","12","101031",""
"","","1120005","","91","","","","12","0",""
"","0","1120006","03_uek_cmn_idol_def_N","3","","1","","12","101031","0.2"
"","0","1120007","03_uek_talk_normal","3","","1","","12","101431",""
"","0","1120008","いくらなんでも\nそれは難しいんじゃ\nないかな…？","11","","10","0","12","101431",""
"","","1120009","","91","","","","12","0",""
"","0","1120010","03_uek_cmn_idol_def_N","3","","1","","12","101431","0.2"
"01_uek_cmn_idol_def_N","-45","1130001","105831","1","0","100","-165","13","1","1.3"
"01_uek_cmn_idol_def_N","-20","1130002","105931","1","0","100","-45","13","1","1.3"
"01_uek_cmn_idol_def_N","-5","1130003","106031","1","1","100","120","13","1","1.3"
"","1","1130004","01_uek_talk_normal","3","","1","","13","105931",""
"","0","1130005","かなり高くまで\n登ってまいりました\nですが…","11","","10","0","13","105931",""
"","","1130006","","91","","","","13","0",""
"","1","1130007","01_uek_13_kokkoro","3","","0","01_uek_cmn_idol_def_N","13","105931","0.2"
"","1","1130008","01_uek_13_kyaru","3","","0","01_uek_13_kyaru_loop","13","106031",""
"","0","1130009","全然頂上が\n見えないじゃない！\nどんだけ高いのよ！","11","","10","0","13","106031",""
"","","1130010","","91","","","","13","0",""
"","0","1130011","01_uek_13_peco_loop","3","","1","","13","105831",""
"","0","1130012","いいじゃないですか\n運動のあとの食事は\nまた格別ですよ☆","11","","10","0","13","105831",""
"","","1130013","","91","","","","13","0",""
"03_uek_cmn_idol_def_N","-25","1140001","104031","1","0","100","-86","14","1","1.3"
"","1","1140002","1","31","","0","250","14","1","1"
"","1","1140003","03_uek_14_aoi","3","","0","03_uek_14_aoi_loop","14","104031",""
"","0","1140004","うう、ぼっちへの\n風当たりが\n強すぎませんか！？","11","","10","0","14","104031",""
"03_uek_cmn_idol_def_N","-20","1150001","100731","1","0","100","-75","15","1","1.3"
"03_uek_15_father","10","1150002","103131","1","1","100","65","15","1","1.3"
"","0","1150003","03_uek_15_miyako","3","","1","","15","100731",""
"","0","1150004","空は気持ちいいの～\nこれが天にも昇る\n気持ちってやつなの","11","","10","0","15","100731",""
"","","1150005","","91","","","","15","0",""
"","0","1150006","03_uek_15_father","3","","1","","15","103131",""
"","0","1150007","ガキんちょもか？\nオレも身体が\n軽くなってきたぞ！","11","","10","0","15","103131",""
"","","1150008","","91","","","","15","0",""
"","0","1150009","03_uek_talk_normal","3","","1","","15","103131",""
"","0","1150010","ミヤコさんは\n本当に昇天しちゃ\nだめですよ…？","11","","10","0","15","103131",""
"","","1150011","","91","","","","15","0",""
"","0","1150012","03_uek_cmn_idol_def_N","3","","1","","15","103131","0.2"
"01_uek_cmn_idol_def_N","-45","1160001","112431","1","0","100","-110","16","1","1.3"
"01_uek_cmn_idol_def_N","-15","1160002","105831","1","1","100","40","16","1","1.3"
"01_uek_cmn_idol_def_N","10","1160003","105931","1","1","100","140","16","1","1.3"
"","0","1160004","01_uek_01_kokkoro","3","","0","01_uek_cmn_idol_def_N","16","105931",""
"","1","1160005","01_uek_01_uduki","3","","0","01_uek_cmn_idol_def_N","16","112431",""
"","1","1160006","01_uek_01_peko","3","","0","01_uek_cmn_idol_def_N","16","105831",""
"","","1160007","","91","","","","16","0",""
"","1","1160008","01_uek_talk_normal","3","","1","","16","105931",""
"","0","1160009","ウヅキさま。先は長\nそうですが、休まな\nくて大丈夫ですか？","11","","10","0","16","105931",""
"","","1160010","","91","","","","16","0",""
"","1","1160011","01_uek_cmn_idol_def_N","3","","1","","16","105931",""
"","","1160012","01_uek_talk_joy1","3","","1","","16","112431",""
"","0","1160013","はい、平気です！\nとっても楽しくって\nやばいです☆","11","","10","0","16","112431",""
"","","1160014","","93","","","","16","1.5",""
"","1","1160015","01_uek_16_uduki","3","","0","01_uek_16_uduki_loop","16","112431","0.2"
"","","1160016","","91","","","","16","1160013",""
"","","1160017","01_uek_talk_joy1","3","","1","","16","105831",""
"","0","1160018","元気いっぱいですね\nウヅキさん、一緒に\n頑張りましょう～☆","11","","10","0","16","105831",""
"","","1160019","","93","","","","16","2.2",""
"","1","1160020","01_uek_16_peco","3","","0","01_uek_16_uduki_loop","16","105831","0.2"
"","","1160021","","91","","","","16","1160018",""
"03_uek_cmn_idol_def_N","10","1170001","102331","1","1","300","150","17","1","1.3"
"03_uek_cmn_idol_def_N","-15","1170002","102131","1","0","100","-100","17","1","1.3"
"","1.3","1170003","3","31","","20","10","17","3","0"
"","1","1170004","03_uek_17_ayane","3","0.2","0","03_uek_17_ayane_loop","17","102331","0.2"
"","1","1170005","03_uek_cmn_pose05","3","","0","03_uek_cmn_idol_def_N","17","102131","0.2"
"","","1170006","1","32","","","","17","3",""
"","0","1170007","見て見て！\n雲でぷうきちを\n作ったよー！","11","","10","0","17","102331",""
"","","1170008","","91","","","","17","0",""
"","","1170009","03_uek_talk_joy1","3","","1","","17","102131","0.2"
"","0","1170010","わぁ、すご～い…！\n私も何か\n作りたいなぁ…♪","11","","10","0","17","102131",""
"","","1170011","","91","","","","17","0",""
"","","1170012","03_uek_cmn_idol_def_N","3","","1","","17","102131","0.2"
"01_uek_cmn_idol_def_N","45","1180001","112631","1","0","100","229","18","1","1.3"
"01_uek_cmn_idol_def_N","20","1180002","105831","1","0","110","170","18","1","1.3"
"01_uek_cmn_idol_def_N","-10","1180003","105931","1","0","100","-85","18","1","1.3"
"","1","1180004","01_uek_18_mio","3","","0","01_uek_18_mio_loop","18","112631",""
"","0","1180005","だいぶ登ったね～\nちょっと下のほう\n見てみようよ！","11","","10","0","18","112631",""
"","","1180006","","91","","","","18","0",""
"","1","1180007","01_uek_18_mio","3","","0","01_uek_18_mio_loop","18","105831",""
"","0","1180008","そうですね！\nえーと、どれどれ…\nって、わわわわ！","11","","10","0","18","105831",""
"","","1180009","","93","","","","18","3",""
"","1","1180010","170","2","","5","2","18","105831",""
"","","1180011","","91","","","","18","1180008",""
"","1","1180012","01_uek_18_kokkoro","3","","0","01_uek_cmn_idol_def_N","18","105931",""
"","0","1180013","ふふ、お二人とも\nはしゃがれて、楽し\nそうでございますね","11","","10","0","18","105931",""
"02_uek_19_hatsune","110","1190001","101231","1","0","100","402","19","1","1.3"
"02_uek_talk_surprise2","30","1190002","103831","1","0","100","166","19","1","1.3"
"","0","1190003","02_uek_talk_surprise2","3","","1","","19","103831","0.2"
"","0","1190004","あ！　お姉ちゃん！\nこんなところで\n寝ちゃ危ないよー！","11","","10","0","19","103831",""
"","","1190005","","91","","","","19","0",""
"","0","1190006","しおりんの声が\n聞こえたような…\nすやぁ…☆","11","","10","0","19","101231",""
"05_idle","-35","1200001","105831","1","0","100","-195","20","2","0.9"
"304602_idle","30","1200002","304602","1","0","1000","150","20","2","1.4"
"","1","1200003","17","31","","150","50","20","102","1"
"","1","1200004","18","31","","150","400","20","103","1"
"01_uek_21_kokkoro_loop","25","1210001","105931","1","0","110","185","21","1","1.3"
"01_uek_21_rin_loop","-5","1210002","112531","1","0","120","65","21","1","1.3"
"01_uek_cmn_idol_def_N","-35","1210003","106031","1","0","100","-140","21","1","1.3"
"","0","1210004","風が心地よいですね\n優しく、囁きかけて\nいるように感じます","11","","10","0","21","105931",""
"","","1210005","","91","","","","21","0",""
"","0","1210006","上に向かう私たちに\n蒼い風が語りかけて\nきてるのかもね…","11","","10","0","21","112531",""
"","","1210007","","91","","","","21","0",""
"","1","1210008","01_uek_21_kyaru","3","","0","01_uek_cmn_idol_def_N","21","106031",""
"","0","1210009","…あんたたち\nなんか妙なところで\nシンクロしてるわね","11","","10","0","21","106031",""
"","","1210010","","91","","","","21","0",""
"01_uek_cmn_idol_def_N","40","1220001","105831","1","0","100","180","22","1","1.3"
"","1.3","1220002","4","31","","420","250","22","4","1"
"","","1220003","01_uek_cmn_pose03","3","","1","","22","105831","0.2"
"","0","1220004","おにぎり型の雲って\nどんな味がするんで\nしょう…じゅるり☆","11","","10","0","22","105831",""
"","","1220005","","91","","","","22","0",""
"03_uek_cmn_idol_def_N","5","1230001","105231","1","0","100","33","23","1","1.3"
"03_uek_23_rin","40","1230002","102631","1","0","1010","200","23","1","1.3"
"03_uek_cmn_idol_def_N","-25","1230003","103331","1","0","100","-110","23","1","1.3"
"","1","1230004","5","31","","220","32","23","5","1"
"","","1230005","03_uek_23_rin","3","","1","","23","102631","0.2"
"","0","1230006","この雲、ふかふかで\n気持ちいい～\nぐっすり眠れそう～","11","","10","0","23","102631",""
"","","1230007","","91","","","","23","0",""
"","0","1230008","1100","2","","40","45","23","102631",""
"","0","1230009","1120","33","","32","45","23","5",""
"","","1230010","03_uek_cmn_pose04","3","","1","","23","105231","0.2"
"","","1230011","03_uek_talk_surprise2","3","","1","","23","103331","0.2"
"","0","1230012","リンちゃんの寝てる\n雲が流されてるわ！\nど、どうしよう！","11","","10","0","23","105231",""
"","","1230013","","91","","","","23","0",""
"","0","1230014","干し草のほうが\nふかふかだべー！\n戻ってくるべさー！","11","","10","0","23","103331",""
"","","1230015","","91","","","","23","0",""
"03_uek_24_ayumi","-45","1240001","105531","1","0","10","-240","24","1","1.3"
"","0","1240002","03_uek_24_ayumi","3","","1","","24","105531",""
"","0","1240003","あっ、あそこに\n先輩がいる\nじーーーー…","11","","10","0","24","105531",""
"03_uek_cmn_idol_def_N","15","1250001","103631","1","1","100","175","25","1","1.3"
"03_uek_cmn_idol_def_N","-10","1250002","100431","1","0","100","-36","25","1","1.3"
"03_uek_cmn_idol_def_N","-45","1250003","102031","1","0","100","-158","25","1","1.3"
"","0","1250004","03_uek_cmn_pose06","3","","1","","25","102031",""
"","0","1250005","お空で遊ぶのって\nすごく気持ちいいね\nるんたった～♪","11","","10","0","25","102031",""
"","","1250006","","91","","","","25","0",""
"","1","1250007","03_uek_25_misogi","3","","0","03_uek_25_misogi_loop","25","100431",""
"","0","1250008","うん！　キョウカも\nそう思うでしょー？\n…わぁっ！","11","","10","0","25","100431",""
"","0","1250009","03_uek_25_kyouka","3","","1","03_uek_25_kyouka_loop","25","103631",""
"","","1250010","","91","","","","25","0",""
"","0","1250011","ちょっとミソギ！\n落ちたら危ないから\nおどかさないでよ！","11","","10","0","25","103631",""
"","","1250012","","91","","","","25","0",""
"01_uek_cmn_idol_def_N","-43","1270001","104831","1","0","100","-179","27","1","1.3"
"01_uek_27_tamaki_loop","-14","1270002","104631","1","0","100","0","27","1","1.3"
"01_uek_cmn_idol_def_N","24","1270003","103231","1","1","100","200","27","1","1.3"
"","0","1270004","はぁはぁ…\nも、もう限界にゃ…\n帰りたいにゃ…","11","","10","0","27","104631",""
"","","1270005","","91","","","","27","0",""
"","1","1270006","01_uek_cmn_pose02","3","","0","01_uek_talk_normal","27","104831",""
"","0","1270007","効率的な体力配分で\n登れば、これくらい\n楽勝のはずよ","11","","10","0","27","104831",""
"","","1270008","","91","","","","27","0",""
"","0","1270009","01_uek_cmn_idol_def_N","3","","1","","27","104831","0.3"
"","0","1270010","01_uek_27_akino_loop","3","","1","","27","103231",""
"","0","1270011","おーっほっほっほ！\nいい眺めですわ！\n先が楽しみですわね","11","","10","0","27","103231",""
"04_uek_cmn_idol_def_N","-10","1280001","102931","1","0","110","0","28","1","1.3"
"04_uek_cmn_idol_def_N","-30","1280002","104231","1","0","120","-120","28","1","1.3"
"04_uek_cmn_idol_def_N","10","1280003","105431","1","0","100","120","28","1","1.3"
"","1.3","1280004","6","31","","35","10","28","6","0"
"","1.3","1280005","9","31","","-85","-10","28","6","0"
"","1.3","1280006","10","31","","155","30","28","6","0"
"","","1280007","04_uek_28_nozomi","3","","1","","28","102931","0.2"
"","","1280008","04_uek_28_chika","3","","1","","28","104231","0.2"
"","","1280009","04_uek_28_tsumugi","3","","1","","28","105431","0.2"
"","","1280010","1","32","","","","28","6",""
"","","1280011","1","32","","","","28","9",""
"","","1280012","1","32","","","","28","10",""
"","0","1280013","空の上でも\nカルミナ…\nオンステージ！","11","","10","0","28","102931",""
"","","1280014","","91","","","","28","0",""
"","0","1280015","風が気持ちいい…！\n精霊たちも\n楽しそうです！","11","","10","0","28","104231",""
"","","1280016","","91","","","","28","0",""
"","0","1280017","最っ高ですね！\nアンコールまで\n駆け抜けましょう！","11","","10","0","28","105431",""
"","","1280018","","91","","","","28","0",""
"03_uek_cmn_idol_def_N","-10","1290001","101531","1","0","100","-40","29","1","1.3"
"03_uek_cmn_idol_def_N","10","1290002","101831","1","1","100","95","29","1","1.3"
"","0","1290003","03_uek_talk_joy1","3","","1","","29","101831",""
"","0","1290004","気持ちいいところね\n遠足で生徒たちも\n連れてこようかしら","11","","10","0","29","101831",""
"","","1290005","","91","","","","29","0",""
"","0","1290006","03_uek_cmn_idol_def_N","3","","1","","29","101831","0.3"
"","0","1290007","03_uek_talk_joy1","3","","1","","29","101531","0.3"
"","0","1290008","あらあら～、じゃあ\n里の子どもたちも\nご一緒したいです～","11","","10","0","29","101531",""
"","","1290009","","91","","","","29","0",""
"","0","1290010","03_uek_cmn_idol_def_N","3","","1","","29","101531","0.3"
"05_idle","-35","1300001","105831","1","0","100","-195","30","2","0.9"
"307505_idle","-50","1300002","307505","1","0","1000","150","30","2","1.5"
"","1","1300003","19","31","","150","50","30","102","1"
"","1","1300004","20","31","","150","400","30","103","1"
"","1","1300005","307505_awake","3","","0","307505_idle","30","307505","0"
"01_uek_cmn_idol_def_N","10","1310001","105831","1","0","110","140","31","1","1.3"
"01_uek_cmn_idol_def_N","0","1310002","105931","1","0","110","20","31","1","1.3"
"01_uek_26_kyaru_loop","-55","1310003","106031","1","0","110","-200","31","1","1.3"
"","","1310004","","93","","","","31","1",""
"","","1310005","1","4","","","","31","105831",""
"","","1310006","01_uek_cmn_pose04","3","","1","","31","105831","0"
"","","1310007","見てください！\nお星様の世界です！\nすごい景色ですね☆","11","","10","","31","105831",""
"","","1310008","","93","","","","31","2.3",""
"","0","1310009","01_uek_cmn_idol_def_N","3","","0","","31","105831","0.2"
"","","1310010","","91","","","","31","1310007",""
"","0","1310011","01_uek_cmn_idol_def_N","3","","1","","31","105831","0.2"
"","","1310012","01_uek_talk_normal","3","","1","","31","105931",""
"","","1310013","本当に素晴らしい\n場所でございます\n堪能いたしましょう","11","","10","","31","105931",""
"","","1310014","","91","","","","31","0",""
"","","1310015","01_uek_cmn_idol_def_N","3","","1","","31","105931","0.2"
"","","1310016","何落ち着いてるのよ\nおかしいでしょ\nなんか色々と…！","11","","10","","31","106031",""
"02_uek_32_kuka_loop","91","1320001","104531","1","1","100","255","32","1","1.3"
"02_uek_cmn_idol_def_N","-29","1320002","105331","1","0","100","-97","32","1","1.3"
"02_uek_cmn_idol_def_N","0","1320003","103031","1","0","100","50","32","1","1.3"
"","0","1320004","02_uek_32_kuka","3","","0","","32","104531","0.5"
"","1","1320005","02_uek_cmn_shock_def_N","3","","0","02_uek_talk_surprise2","32","105331","0.5"
"","1","1320006","02_uek_cmn_shock_def_N","3","","0","02_uek_talk_surprise2","32","103031","0.5"
"","","1320007","","91","","","","32","0",""
"","0","1320008","02_uek_talk_surprise2","3","","1","","32","103031","0.5"
"","0","1320009","せっかく見つけた\nクウカがまた\n飛んでマス！","11","","10","0","32","103031",""
"","","1320010","","91","","","","32","0",""
"","0","1320011","02_uek_talk_surprise2","3","","1","","32","105331","0.5"
"","0","1320012","やっぱりよろこんで\nなかったか！？","11","","10","0","32","105331",""
"02_uek_cmn_idol_def_N","0","1330001","100831","1","1","100","0","33","1","1.3"
"","1.3","1330002","7","31","","-120","130","33","7","1"
"","1","1330003","02_uek_33_yuki","3","","0","02_uek_33_yuki_loop","33","100831","0.2"
"","0","1330004","星の輝きを浴びた\nボクはまた一段と\n美しいね…","11","","10","0","33","100831",""
"","","1330005","","91","","","","33","0",""
"02_uek_cmn_idol_def_N","0","1340001","100931","1","1","110","10","34","1","1.3"
"02_uek_cmn_idol_def_N","10","1340002","101331","1","1","110","180","34","1","1.3"
"","","1340003","","93","","","","34","1",""
"","1","1340004","02_uek_cmn_pose01","3","0.2","1","02_uek_cmn_idol_def_N","34","101331","0.2"
"","0","1340005","ウチュウキター！\nテンション爆上がり\nですしおすし！","11","","10","0","34","101331",""
"","","1340006","","91","","","","34","0",""
"","1","1340007","02_uek_34_anna","3","0","0","02_uek_34_anna_loop","34","100931","0.2"
"","0","1340008","くくく…星の力を\n強く感じるぞ！\n覚醒の時は近い…！","11","","10","0","34","100931",""
"01_uek_cmn_idol_def_N","-60","1350001","100231","1","1","100","-200","35","1","1.3"
"01_uek_cmn_idol_def_N","10","1350002","100331","1","1","100","0","35","1","1.3"
"01_uek_cmn_idol_def_N","20","1350003","100131","1","1","100","200","35","1","1.3"
"","1","1350004","8","31","","0","270","35","8","1"
"","1","1350005","01_uek_35_yui","3","0.2","0","01_uek_35_yui_loop","35","100231","0.2"
"","1","1350006","01_uek_35_rei","3","0.2","0","01_uek_35_rei_loop","35","100331","0.2"
"","","1350007","01_uek_cmn_pose03","3","","1","","35","100131","0.2"
"","0","1350008","見て、流れ星…！\nみんなで願い事を\nしようよ","11","","10","0","35","100231",""
"","","1350009","","91","","","","35","0",""
"","0","1350010","ああ、そうだね\n私たちにぴったりな\nシチュエーションだ","11","","10","0","35","100331",""
"","","1350011","","91","","","","35","0",""
