f0a88ebe1baa1fd51a2ef5efeafbcb553d51fea86879a026735d885219f76182,fc8d50b30f31cc5a1aada3c83f664d14865b5fe76b816911161beef2c05903c4,b2454412ac5d21f487814da044676945d16593f5604f1edfb2c768d59d2d952c,a64ca319f4ab9bc0ea1518b588b818ba452bf43dceb0d46210de72f63fa7a337,012b16d1bbc567d52f06e7da1f915ef7cfc5cdf0604d872d1c7a5bedee1529cc,2badbf66164b454b22b487e07ee5d12f5df5071bf987f04cb9562a16c842afc9,41741da2a26176c4e40e561eac438585ed9704c044b8eab5ae5b787fd28a34b2
"02:31","bgm_M102","11","00:00","bgm_M102_juke","ストーリーイベントボスバトル\n\n時間 / 02:31\n作曲 / 西木康智\n編曲 / 西木康智","アルマ"
"01:22","bgm_M145","12","00:45","bgm_M145","キャラクターソング\n\n時間 / 01:22\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / Mitsu\n作曲 / 池田健仁\n編曲 / 池田健仁","リトルアドベンチャー"
"01:07","bgm_M139","13","00:00","bgm_M139_juke","クランバトル\n\n時間 / 01:07\n作曲 / 江原大介\n編曲 / 江原大介","グラットン"
"01:01","bgm_M135","14","00:00","bgm_M135_juke","ストーリーイベントテーマ\n-｢もっと！ふたりのパ～ティ～ナイト｣アレンジ-\n\n時間 / 01:01\n作曲 / TAKT\n編曲 / 西村真吾","トリックオアプリン！約束のハロウィンパーティー"
"02:26","bgm_M138","15","00:00","bgm_M138_juke","ストーリーイベントボスバトル\n\n時間 / 02:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","ジャック・オー・プリン"
"01:21","bgm_M161","16","00:46","bgm_M161","キャラクターソング\n\n時間 / 01:21\n歌　 / シノブ（大坪由佳）\n　　　ミヤコ（雨宮天）\n作詞 / 亀井博之（Cygames）\n作曲 / TAKT\n編曲 / TAKT","もっと！ふたりのパ～ティ～ナイト"
"01:31","bgm_M140","17","00:00","bgm_M140_juke","メインクエスト\n\n時間 / 01:31\n作曲 / 東大路憲太\n編曲 / 東大路憲太","耀う氷の結晶"
"02:01","bgm_M150","18","01:00","bgm_M150","キャラクターソング\n\n時間 / 02:01\n歌　 / ノゾミ（日笠陽子）\n　　　チカ（福原綾香）\n　　　ツムギ（木戸衣吹）\n作詞 / 荘野ジュリ\n作曲 / 武田城以\n編曲 / TAKT","Shining Future"
"01:31","bgm_M143","19","00:37","bgm_M143","キャラクターソング\n\n時間 / 01:31\n歌　 / チカ（福原綾香）\n作詞 / 野村イクミ\n作曲 / 内海孝彰\n編曲 / 内海孝彰","風への誓い"
"01:47","bgm_M144","20","00:54","bgm_M144","キャラクターソング\n\n時間 / 01:47\n歌　 / ノゾミ（日笠陽子）\n作詞 / Manami\n作曲 / 内海孝彰\n編曲 / 岡野裕次郎","君の笑顔が見たいから"
"01:34","bgm_M148","21","00:48","bgm_M148","キャラクターソング\n\n時間 / 01:34\n歌　 / ツムギ（木戸衣吹）\n作詞 / 磯谷佳江\n作曲 / 磯谷佳江\n編曲 / 内海孝彰","アマノジャクハート！"
"01:46","bgm_M42","22","00:00","bgm_M42_juke","メインクエスト\n\n時間 / 01:46\n作曲 / 本田晃弘（Cygames）\n編曲 / 岡出莉菜","不穏な空気と立ち向かう闘志"
"01:07","bgm_M104","23","00:00","bgm_M104_juke","クランバトル\n\n時間 / 01:07\n作曲 / 西木康智\n編曲 / 西木康智","ツインピッグス"
"00:54","bgm_M106","24","00:00","bgm_M106_juke","ストーリーイベントテーマ\n-｢Peaceful*ちゃんぷるー｣アレンジ-\n\n時間 / 00:54\n作曲 / 小野貴光\n編曲 / 東大路憲太","ヴァンパイアハンターwithイリヤ"
"03:18","bgm_M109","25","00:00","bgm_M109_juke","ストーリーイベントボスバトル\n\n時間 / 03:18\n作曲 / 東大路憲太\n編曲 / 東大路憲太","ガルグ"
"01:30","bgm_M151","26","00:44","bgm_M151","キャラクターソング\n\n時間 / 01:30\n歌　 / マホ（内田真礼）\n　　　カオリ（高森奈津美）\n作詞 / 磯谷佳江\n作曲 / 小野貴光\n編曲 / 玉木千尋","Peaceful*ちゃんぷるー"
"01:12","bgm_M166","27","00:00","bgm_M166_juke","クランバトル\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","レサトパルト"
"01:30","bgm_M162","28","00:00","bgm_M162_juke","ストーリーイベントテーマ\n-｢サイツヨでしょ、でしょ？｣アレンジ-\n\n時間 / 01:30\n作曲 / Heart's Cry\n編曲 / 多田彰文","トワイライトブレイカーズ"
"02:02","bgm_M165","29","00:00","bgm_M165_juke","ストーリーイベントボスバトル\n\n時間 / 02:02\n作曲 / 東大路憲太\n編曲 / 東大路憲太","オラム"
"01:22","bgm_M176","30","00:42","bgm_M176","キャラクターソング\n\n時間 / 01:22\n歌　 / アンナ（髙野麻美）\n　　　ナナカ（佳村はるか）\n作詞 / Heart's Cry\n作曲 / Heart's Cry\n編曲 / Heart's Cry","サイツヨでしょ、でしょ？"
"02:05","bgm_M141","31","00:00","bgm_M141_juke","メインクエスト\n\n時間 / 02:05\n作曲 / 東大路憲太\n編曲 / 東大路憲太","氷海の地"
"01:08","bgm_M58","32","00:00","bgm_M58_juke","メインクエスト\n\n時間 / 01:08\n作曲 / 西村真吾\n編曲 / 西村真吾","氷と雪の世界"
"01:05","bgm_M101","33","00:00","bgm_M101_juke","メインクエスト\n\n時間 / 01:05\n作曲 / 加藤慶\n編曲 / 加藤慶","爽やかな風"
"01:02","bgm_M115","34","00:00","bgm_M115_juke","クランバトル\n\n時間 / 01:02\n作曲 / 白井友規（Cygames）\n編曲 / 白井友規（Cygames）","カルキノス"
"01:05","bgm_M112","35","00:00","bgm_M112_juke","ストーリーイベントテーマ\n-｢えがおのマイホーム｣アレンジ-\n\n時間 / 01:05\n作曲 / Lucas\n編曲 / 西村真吾","デンジャラスバカンス！渚のグルメプリンセス"
"02:10","bgm_M116","36","00:00","bgm_M116_juke","ストーリーイベントボスバトル\n\n時間 / 02:10\n作曲 / 東大路憲太\n編曲 / 東大路憲太","テンタパス"
"01:40","bgm_M147","37","01:00","bgm_M147","キャラクターソング\n\n時間 / 01:40\n歌　 / サレン（堀江由衣）\n　　　スズメ（悠木碧）\n作詞 / Mitsu\n作曲 / Lucas\n編曲 / Lucas","えがおのマイホーム"
"00:45","bgm_M175","38","00:00","bgm_M175_juke","クランバトル\n\n時間 / 00:45\n作曲 / 庄司真吾（Cygames）\n編曲 / 庄司真吾（Cygames）","サジタリウス"
"00:55","bgm_M171","39","00:00","bgm_M171_juke","ストーリーイベントテーマ\n-｢Ding Dong Holy Night♪｣アレンジ-\n\n時間 / 00:55\n作曲 / 馬渕直純\n編曲 / 中村早織（Cygames）","忘却のキャロル"
"02:57","bgm_M172","40","00:00","bgm_M172_juke","ストーリーイベントボスバトル\n\n時間 / 02:57\n作曲 / 東大路憲太\n編曲 / 東大路憲太","フォギー"
"01:28","bgm_M187","41","00:42","bgm_M187","キャラクターソング\n\n時間 / 01:28\n歌　 / アヤネ（芹澤優）\n　　　クルミ（植田佳奈）\n作詞 / 磯谷佳江\n作曲 / 馬渕直純\n編曲 / 馬渕直純","Ding Dong Holy Night♪"
"00:57","bgm_M93","42","00:00","bgm_M93_juke","メインクエスト\n\n時間 / 00:57\n作曲 / 多田彰文\n編曲 / 多田彰文","険しき乾荒原"
"01:06","bgm_M119","43","00:00","bgm_M119_juke","クランバトル\n\n時間 / 01:06\n作曲 / 庄司真吾（Cygames）\n編曲 / 西村真吾","オルレオン"
"01:10","bgm_M121","44","00:00","bgm_M121_juke","ストーリーイベントテーマ\n-｢キンキラ☆ハピネス！｣アレンジ-\n\n時間 / 01:10\n作曲 / 斉藤裕也\n編曲 / 西村真吾","タマキとミフユの無人島0ルピ生活"
"02:35","bgm_M124","45","00:00","bgm_M124_juke","ストーリーイベントボスバトル\n\n時間 / 02:35\n作曲 / 東大路憲太\n編曲 / 東大路憲太","島クジラ"
"01:20","bgm_M146","46","00:42","bgm_M146","キャラクターソング\n\n時間 / 01:20\n歌　 / タマキ（沼倉愛美）\n　　　ミフユ（田所あずさ）\n　　　アキノ（松嵜麗）\n　　　ユカリ（今井麻美）\n作詞 / joru\n作曲 / 斉藤裕也\n編曲 / 斉藤裕也","キンキラ☆ハピネス！"
"01:20","bgm_M179","47","00:00","bgm_M179_juke","メインクエスト\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","新たな船出"
"00:58","bgm_M181","48","00:00","bgm_M181_juke","クランバトル\n\n時間 / 00:58\n作曲 / 加藤慶\n編曲 / 加藤慶","アルゲティ"
"00:58","bgm_M182","49","00:00","bgm_M182_juke","ストーリーイベントテーマ\n-｢TwinkleStars｣アレンジ-\n\n時間 / 00:58\n作曲 / 石濱翔（MONACA）\n編曲 / 東大路憲太","新春トゥインクルクライシス！"
"02:32","bgm_M183","50","00:00","bgm_M183_juke","ストーリーイベントボスバトル\n\n時間 / 02:32\n作曲 / 東大路憲太\n編曲 / 東大路憲太","邪餅神ガミィ"
"01:24","bgm_M202","51","00:45","bgm_M202","キャラクターソング\n\n時間 / 01:24\n歌　 / ユイ（種田梨沙）\n　　　ヒヨリ（東山奈央）\n　　　レイ（早見沙織）\n作詞 / 野村イクミ（Cygames）\n作曲 / 石濱翔（MONACA）\n編曲 / 石濱翔（MONACA）","TwinkleStars"
"01:26","bgm_M94","52","00:00","bgm_M94_juke","メインクエスト\n\n時間 / 01:26\n作曲 / 東大路憲太\n編曲 / 東大路憲太","酷熱の砂漠"
"01:25","bgm_M132","53","00:00","bgm_M132_juke","クランバトル\n\n時間 / 01:25\n作曲 / 東大路憲太\n編曲 / 東大路憲太","メデューサ"
"01:29","bgm_M128","54","00:00","bgm_M128_juke","ストーリーイベントテーマ\n-｢Aloofness Code｣アレンジ-\n\n時間 / 01:29\n作曲 / 小野貴光\n編曲 / 多田彰文","黒鉄の亡霊（ナイトメア）"
"02:28","bgm_M131","55","00:00","bgm_M131_juke","ストーリーイベントボスバトル\n\n時間 / 02:28\n作曲 / 東大路憲太\n編曲 / 東大路憲太","リビングメイル"
"01:20","bgm_M154","56","00:46","bgm_M154","キャラクターソング\n\n時間 / 01:20\n歌　 / ジュン（川澄綾子）\n　　　クリスティーナ（たかはし智秋）\n　　　トモ（茅原実里）\n　　　マツリ（下田麻美）\n作詞 / a*mu\n作曲 / 小野貴光\n編曲 / 玉木千尋","Aloofness Code"
"01:13","bgm_M214","57","00:44","bgm_M214","キャラクターソング\n\n時間 / 01:13\n歌　 / キャル（立花理香）\n作詞 / corochi（Cygames）\n作曲 / 馬渕直純\n編曲 / 馬渕直純","Absolute Secret"
"01:00","bgm_M186","58","00:00","bgm_M186_juke","クランバトル\n\n時間 / 01:00\n作曲 / 加藤慶\n編曲 / 加藤慶","アクアリオス"
"01:02","bgm_M189","59","00:00","bgm_M189_juke","ストーリーイベントテーマ\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 01:02\n作曲 / 山崎真吾\n編曲 / 藤原宏恵","バトルオブバレンタイン！想いぶつかるスウィートバトル"
"02:24","bgm_M192","60","00:00","bgm_M192_juke","ストーリーイベントボスバトル\n\n時間 / 02:24\n作曲 / 東大路憲太\n編曲 / 東大路憲太","アグリーラブリー"
"01:15","bgm_M200","61","00:40","bgm_M200","キャラクターソング\n\n時間 / 01:15\n歌　 / シズル（生天目仁美）\n　　　リノ（阿澄佳奈）\n作詞 / 坂井竜二\n作曲 / 山崎真吾\n編曲 / 山崎真吾","SUPER CHOCOLATE"
"01:07","bgm_M118","62","00:00","bgm_M118_juke","メインクエスト\n\n時間 / 01:07\n作曲 / 石塚玲衣\n編曲 / 石塚玲衣","砂海の中のオアシス"
"01:20","bgm_M180","63","00:00","bgm_M180_juke","メインクエスト\n\n時間 / 01:20\n作曲 / 東大路憲太\n編曲 / 東大路憲太","不思議な森"
"01:00","bgm_M205","64","00:00","bgm_M205_juke","クランバトル\n\n時間 / 01:00\n作曲 / 中村早織（Cygames）\n編曲 / 中村早織（Cygames）","トルペドン"
"00:39","bgm_M206","65","00:00","bgm_M206_juke","ストーリーイベントテーマ\n-｢未解決な想い｣アレンジ-\n\n時間 / 00:39\n作曲 / 出口遼\n編曲 / 庄司真吾（Cygames）","王都の名探偵　嘆きの追跡者（ストーカー）"
"02:09","bgm_M209","66","00:00","bgm_M209_juke","ストーリーイベントボスバトル\n\n時間 / 02:09\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","嘆きの女神"
"01:22","bgm_M222","67","00:38","bgm_M222","キャラクターソング\n\n時間 / 01:22\n歌　 / マコト（小松未可子）\n　　　カスミ（水瀬いのり）\n作詞 / 出口遼\n作曲 / 出口遼\n編曲 / 飯田涼太","未解決な想い"
"01:27","bgm_M219","68","00:00","bgm_M219_juke","エイプリルフールイベント\n\n時間 / 01:27\n作曲 / 東大路憲太\n編曲 / 東大路憲太","ロボリマ来襲！王都滅亡までのカウントダウン"
"01:38","bgm_M220","69","00:00","bgm_M220_juke","エイプリルフールイベント\n\n時間 / 01:38\n作曲 / 東大路憲太\n編曲 / 東大路憲太","ロボリマ"
"01:12","bgm_M221","70","00:00","bgm_M221_juke","エイプリルフールイベント\n\n時間 / 01:12\n作曲 / 東大路憲太\n編曲 / 東大路憲太","ロボリマ~終焉~"
"00:55","bgm_M215","71","00:00","bgm_M215_juke","ストーリーイベントテーマ\n-｢Crossing Destiny｣アレンジ-\n\n時間 / 00:55\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","アストルムに咲く双輪の華"
"01:45","bgm_M218","72","00:00","bgm_M218_juke","ストーリーイベントボスバトル\n\n時間 / 01:45\n作曲 / 中村博\n編曲 / 中村博","コア・ギガース"
"01:30","bgm_M235","73","00:54","bgm_M235","キャラクターソング\n\n時間 / 01:30\n歌　 / アン（日笠陽子）\n　　　グレア（福原綾香）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","Crossing Destiny"
"00:55","bgm_M232","74","00:00","bgm_M232_juke","メインクエスト\n\n時間 / 00:55\n作曲 / 西村真吾\n編曲 / 西村真吾","岩峰に潜むもの"
"00:59","bgm_M223","75","00:00","bgm_M223_juke","ストーリーイベントテーマ\n-｢白翼のグローリエ｣アレンジ-\n\n時間 / 00:59\n作曲 / 渡部チェル\n編曲 / 中村博","ショーグン道中記　白翼のサムライ"
"01:58","bgm_M226","76","00:00","bgm_M226_juke","ストーリーイベントボスバトル\n\n時間 / 01:58\n作曲 / 東大路憲太\n編曲 / 東大路憲太","アクダイカン"
"01:13","bgm_M236","77","00:42","bgm_M236","キャラクターソング\n\n時間 / 01:13\n歌　 / モニカ（辻あゆみ）\n　　　ユキ（大空直美）\n　　　ニノン（佐藤聡美）\n　　　クウカ（長妻樹里）\n　　　アユミ（大関英里）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","白翼のグローリエ"
"1:20","bgm_M95","78","00:00","bgm_M95_juke","メインクエスト\n\n時間 / 01:20\n作曲 / 伊藤翼\n編曲 / 伊藤翼","火山の麓"
"1:02","bgm_M96","79","00:00","bgm_M96_juke","メインクエスト\n\n時間 / 01:02\n作曲 / 伊藤翼\n編曲 / 伊藤翼","厳烈なる荒地"
"2:33","bgm_M231","80","00:00","bgm_M231_juke","ストーリーイベントボスバトル\n\n時間 / 02:33\n作曲 / 松尾早人\n編曲 / 松尾早人","怠惰の狂人"
"1:08","bgm_M233","81","00:00","bgm_M233_juke","メインクエスト\n\n時間 / 01:08\n作曲 / 東大路憲太\n編曲 / 東大路憲太","鼓の音響く森"
"0:52","bgm_M237","82","00:00","bgm_M237_juke","ストーリーイベントテーマ\n-｢背伸びFirst Kiss｣アレンジ-\n\n時間 / 00:52\n作曲 / 設楽哲也\n編曲 / 庄司真吾（Cygames）","スズナレインボーステージ！"
"2:47","bgm_M240","83","00:00","bgm_M240_juke","ストーリーイベントボスバトル\n\n時間 / 02:47\n作曲 / 澤下葵\n編曲 / 東大路憲太","雨神様"
"1:19","bgm_M252","84","00:45","bgm_M252","キャラクターソング\n\n時間 / 01:19\n歌　 / イオ（伊藤静）\n　　　スズナ（上坂すみれ）\n　　　ミサキ（久野美咲）\n作詞 / 野村イクミ&滝沢和也（Cygames）\n作曲 / 設楽哲也\n編曲 / 設楽哲也","背伸びFirst Kiss"
"00:31","bgm_M199","85","00:00","bgm_M199_juke","ミニゲーム\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 00:31\n作曲 / 山崎真吾\n編曲 / 中村早織（Cygames）","お兄ちゃん争奪！　シズルのお手伝い"
"00:34","bgm_M198","86","00:00","bgm_M198_juke","ミニゲーム\n-｢SUPER CHOCOLATE｣アレンジ-\n\n時間 / 00:34\n作曲 / 山崎真吾\n編曲 / 庄司真吾（Cygames）","お兄ちゃん争奪！　エリコのお手伝い"
"00:57","bgm_M245","87","00:00","bgm_M245_juke","ストーリーイベントテーマ\n-｢We Are Golden｣アレンジ-\n\n時間 / 00:57\n作曲 / TAKU INOUE\n編曲 / 伊禮完（Cygames）","真夏のマホマホ王国　波打ち際のソウルサマー！"
"02:03","bgm_M248","88","00:00","bgm_M248_juke","ストーリーイベントボスバトル\n\n時間 / 02:03\n作曲 / 東大路憲太\n編曲 / 東大路憲太","マジムン"
"01:18","bgm_M263","89","00:44","bgm_M263","キャラクターソング\n\n時間 / 01:18\n歌　 / マホ（内田真礼）\n　　　マコト（小松未可子）\n　　　カオリ（高森奈津美）\n作詞 / MCTC\n作曲 / TAKU INOUE\n編曲 / TAKU INOUE","We Are Golden"
"0:30","bgm_M227","90","0:00","bgm_M227_juke","ミニゲーム\n-｢白翼のグローリエ｣アレンジ-\n\n時間 / 00:30\n作曲 / 渡部チェル\n編曲 / 中村早織（Cygames）","クウカ大回転"
"0:57","bgm_M254","91","0:00","bgm_M254_juke","ストーリーイベントテーマ\n-｢なかよしセンセーション｣アレンジ-\n\n時間 / 00:57\n作曲 / 大久保薫\n編曲 / 中村早織（Cygames）","森の臆病者と聖なる学舎の異端児"
"2:45","bgm_M257","92","0:00","bgm_M257_juke","ストーリーイベントボスバトル\n\n時間 / 02:45\n作曲 / 澤下葵\n編曲 / 東大路憲太","オオドクマンドラゴラ"
"01:20","bgm_M272","93","00:47","bgm_M272","キャラクターソング\n\n時間 / 01:20\n歌　 / チエル（佐倉綾音）\n　　　クロエ（種﨑敦美）\n　　　ユニ（小原好美）\n作詞 / 磯谷佳江\n作曲 / 大久保薫\n編曲 / 大久保薫","なかよしセンセーション"
"1:00","bgm_M260","94","0:00","bgm_M260_juke","メインクエスト\n\n時間 / 01:00\n作曲 / 伊禮完（Cygames）\n編曲 / 伊禮完（Cygames）","不穏の根を踏み越えて"
"0:34","bgm_M249","95","0:00","bgm_M249_juke","ミニゲーム\n-｢We Are Golden｣アレンジ-\n\n時間 / 00:34\n作曲 / TAKU INOUE\n編曲 / 中村早織（Cygames）","カオリのマブイ式空手道場"
"0:52","bgm_M265","96","0:00","bgm_M265_juke","ストーリーイベントテーマ\n-｢トリックホリック｣アレンジ-\n\n時間 / 00:52\n作曲 / 宮崎誠\n編曲 / 中村早織（Cygames）","リトル・ブレイブ・ハロウィンナイト！"
"2:50","bgm_M268","97","0:00","bgm_M268_juke","ストーリーイベントボスバトル\n\n時間 / 02:50\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","ファントムバロン"
"1:24","bgm_M280","98","0:46","bgm_M280","キャラクターソング\n\n時間 / 01:24\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","トリックホリック"
"1:14","bgm_M278","99","0:00","bgm_M278_juke","メインクエスト\n\n時間 / 01:14\n作曲 / 東大路憲太\n編曲 / 東大路憲太","泥濘む森の先へ"
"0:48","bgm_M277","100","0:00","bgm_M277_juke","ミニゲーム\n-｢in flames｣アレンジ-\n\n時間 / 00:48\n作曲 / R・O・N\n編曲 / 東大路憲太","大激戦！しりとりドラゴンズ"
"1:07","bgm_M273","101","0:00","bgm_M273_juke","ストーリーイベントテーマ\n-｢in flames｣アレンジ-\n\n時間 / 01:07\n作曲 / R・O・N\n編曲 / 東大路憲太","ドラゴンエクスプローラーズ"
"2:29","bgm_M276","102","0:00","bgm_M276_juke","ストーリーイベントボスバトル\n\n時間 / 02:29\n作曲 / 澤下葵\n編曲 / 東大路憲太","ドラゴンもどき"
"1:28","bgm_M291","103","0:56","bgm_M291","キャラクターソング\n\n時間 / 01:28\n歌　 / イノリ（藤田茜）\n　　　カヤ（小市眞琴）\n　　　ホマレ（大西沙織）\n作詞 / eNu\n作曲 / R・O・N\n編曲 / R・O・N","in flames"
"1:13","bgm_M259","104","0:00","bgm_M259_juke","解放クエスト\n\n時間 / 01:13\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","新たなる力への試練"
"0:58","bgm_M281","105","0:00","bgm_M281_juke","ストーリーイベントテーマ\n-｢Call Me Darling！｣アレンジ-\n\n時間 / 00:58\n作曲 / 池田健仁(Cygames)\n編曲 / 中村早織(Cygames)","プレゼントパニック！　ランドソルのサンタたち"
"1:48","bgm_M284","106","0:00","bgm_M284_juke","ストーリーイベントボスバトル\n\n時間 / 01:48\n作曲 / 伊禮完(Cygames)\n編曲 / 伊禮完(Cygames)","トナカイ・ヴェンデッタ"
"1:30","bgm_M285","107","0:54","bgm_M285","キャラクターソング\n\n時間 / 01:30\n歌　 / ノゾミ（日笠陽子）\n　　　チカ（福原綾香）\n　　　ツムギ（木戸衣吹）\n作詞 / 野村イクミ(Cygames)\n作曲 / 池田健仁(Cygames)\n編曲 / 池田健仁(Cygames)","Call Me Darling！"
"1:45","bgm_M300","108","0:00","bgm_M300_juke","王都終末決戦\n\n時間 / 01:45\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","王都終末決戦"
"2:15","bgm_M301","109","0:00","bgm_M301_juke","王都終末決戦ボスバトル\n\n時間 / 02:15\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","皇帝に仕えし僕との戦い"
"2:45","bgm_M299","110","0:00","bgm_M299_juke","王都終末決戦ボスバトル\n-｢Lost Princess｣「真なる皇帝」アレンジ-\n\n時間 / 02:45\n作曲 / 田中公平、西木康智\n編曲 / 東大路憲太","神たる者との決戦"
"1:08","bgm_M294","111","0:00","bgm_M294_juke","ストーリーイベントテーマ\n-｢SAI＊KOUスタートダッシュ｣アレンジ-\n\n時間 / 01:08\n作曲 / 奥井康介\n編曲 / 伊禮完（Cygames）","激走！　ランドソルギルドレース"
"2:00","bgm_M297","112","0:00","bgm_M297_juke","ストーリーイベントボスバトル\n\n時間 / 02:00\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","山神様"
"1:25","bgm_M327","113","1:00","bgm_M327","キャラクターソング\n\n時間 / 01:25\n歌　 / ペコリーヌ（M・A・O）\n　　　キャル（立花理香）\n　　　コッコロ（伊藤美来）\n　　　スズメ（悠木碧）\n作詞 / KOCHO\n作曲 / 奥井康介\n編曲 / 奥井康介","SAI＊KOUスタートダッシュ"
"1:25","bgm_M293","114","0:00","bgm_M293_juke","メインクエスト\n\n時間 / 01:25\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","大海を望んで"
"1:06","bgm_M316","115","0:00","bgm_M316_juke","ストーリーイベントテーマ\n-｢木もれびモンタージュ｣アレンジ-\n\n時間 / 01:06\n作曲 / 渡部チェル\n編曲 / 加藤慶久(Cygames)","魔法少女　二人はミスティ＆ピュアリー"
"1:28","bgm_M319","116","0:00","bgm_M319_juke","ストーリーイベントボスバトル\n\n時間 / 01:28\n作曲 / 中村博\n編曲 / 中村博","アンチビースト"
"1:32","bgm_M340","117","0:50","bgm_M340","キャラクターソング\n\n時間 / 01:32\n歌　 / カスミ（水瀬いのり）\n　　　シオリ（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","木もれびモンタージュ"
"0:51","bgm_M330","118","0:00","bgm_M330_juke","ストーリーイベントテーマ\n\n時間 / 00:51\n作曲 / 中村早織(Cygames)\n編曲 / 中村早織(Cygames)","アイドルを目指して！"
"1:34","bgm_M333","119","0:00","bgm_M333_juke","メモリアルマップ\n\n時間 / 01:34\n作曲 / 東大路憲太\n編曲 / 東大路憲太","思い出の足跡"
"2:24","bgm_M57","120","0:00","bgm_M57_juke","メインストーリー\n\n時間 / 02:24\n作曲 / 西木康智\n編曲 / 西木康智","プリンセスナイト"
"1:07","bgm_M343","121","0:00","bgm_M343_juke","ストーリーイベントテーマ\n-｢青春スピナー｣アレンジ-\n\n時間 / 01:07\n作曲 / 睦月周平\n編曲 / 澤下葵","授けの財団と聖なる学舎の異端児"
