78fd092473a81c6eac48784f4fedecf8e91c4d6b3e72c0d111b228c8e268d2dd,1334a2fa0dafdcda785b01e3b6198e7871f9bdd042a796e6f542fe6052d4d3a1,48c5fc8296eca23a124faaa4a275671c617a10c7667979443b0d7fd4b48e382f,63688bb6900a93d21e8af85c79ccad39824d7359ca8c9e2c8d2df0b8ac391584,8882c9c23a2ac99262c18e30562daaade8862e795c71501b64a9161a6673efd9,ec33b4b1cbc0c15a3cc1db3c7f3989075c936b2ad2a16e7691a6747b88dc4801,af54c9eecde8971ba0a318c088ddf5b3a92dfd12c05245ea58000fa717fc942f
"キャラクターソング\n\n時間 / 01:24\n歌　 / キョウカ（小倉唯）\n　　　ミソギ（諸星すみれ）\n　　　ミミ（日高里菜）\n作詞 / 宮崎誠\n作曲 / 宮崎誠\n編曲 / 宮崎誠","0:46","bgm_M280","bgm_M280","1:24","トリックホリック","98"
"メインクエスト\n\n時間 / 01:14\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","bgm_M278_juke","bgm_M278","1:14","泥濘む森の先へ","99"
"ミニゲーム\n-｢in flames｣アレンジ-\n\n時間 / 00:48\n作曲 / R・O・N\n編曲 / 東大路憲太","0:00","bgm_M277_juke","bgm_M277","0:48","大激戦！しりとりドラゴンズ","100"
"ストーリーイベントテーマ\n-｢in flames｣アレンジ-\n\n時間 / 01:07\n作曲 / R・O・N\n編曲 / 東大路憲太","0:00","bgm_M273_juke","bgm_M273","1:07","ドラゴンエクスプローラーズ","101"
"ストーリーイベントボスバトル\n\n時間 / 02:29\n作曲 / 澤下葵\n編曲 / 東大路憲太","0:00","bgm_M276_juke","bgm_M276","2:29","ドラゴンもどき","102"
"キャラクターソング\n\n時間 / 01:28\n歌　 / イノリ（藤田茜）\n　　　カヤ（小市眞琴）\n　　　ホマレ（大西沙織）\n作詞 / eNu\n作曲 / R・O・N\n編曲 / R・O・N","0:56","bgm_M291","bgm_M291","1:28","in flames","103"
"解放クエスト\n\n時間 / 01:13\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","0:00","bgm_M259_juke","bgm_M259","1:13","新たなる力への試練","104"
"ストーリーイベントテーマ\n-｢Call Me Darling！｣アレンジ-\n\n時間 / 00:58\n作曲 / 池田健仁(Cygames)\n編曲 / 中村早織(Cygames)","0:00","bgm_M281_juke","bgm_M281","0:58","プレゼントパニック！　ランドソルのサンタたち","105"
"ストーリーイベントボスバトル\n\n時間 / 01:48\n作曲 / 伊禮完(Cygames)\n編曲 / 伊禮完(Cygames)","0:00","bgm_M284_juke","bgm_M284","1:48","トナカイ・ヴェンデッタ","106"
"キャラクターソング\n\n時間 / 01:30\n歌　 / ノゾミ（日笠陽子）\n　　　チカ（福原綾香）\n　　　ツムギ（木戸衣吹）\n作詞 / 野村イクミ(Cygames)\n作曲 / 池田健仁(Cygames)\n編曲 / 池田健仁(Cygames)","0:54","bgm_M285","bgm_M285","1:30","Call Me Darling！","107"
"王都終末決戦\n\n時間 / 01:45\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","0:00","bgm_M300_juke","bgm_M300","1:45","王都終末決戦","108"
"王都終末決戦ボスバトル\n\n時間 / 02:15\n作曲 / 千葉梓（Cygames）\n編曲 / 千葉梓（Cygames）","0:00","bgm_M301_juke","bgm_M301","2:15","皇帝に仕えし僕との戦い","109"
"王都終末決戦ボスバトル\n-｢Lost Princess｣「真なる皇帝」アレンジ-\n\n時間 / 02:45\n作曲 / 田中公平、西木康智\n編曲 / 東大路憲太","0:00","bgm_M299_juke","bgm_M299","2:45","神たる者との決戦","110"
"ストーリーイベントテーマ\n-｢SAI＊KOUスタートダッシュ｣アレンジ-\n\n時間 / 01:08\n作曲 / 奥井康介\n編曲 / 伊禮完（Cygames）","0:00","bgm_M294_juke","bgm_M294","1:08","激走！　ランドソルギルドレース","111"
"ストーリーイベントボスバトル\n\n時間 / 02:00\n作曲 / 長門千晴（Cygames）\n編曲 / 長門千晴（Cygames）","0:00","bgm_M297_juke","bgm_M297","2:00","山神様","112"
"キャラクターソング\n\n時間 / 01:25\n歌　 / ペコリーヌ（M・A・O）\n　　　キャル（立花理香）\n　　　コッコロ（伊藤美来）\n　　　スズメ（悠木碧）\n作詞 / KOCHO\n作曲 / 奥井康介\n編曲 / 奥井康介","1:00","bgm_M327","bgm_M327","1:25","SAI＊KOUスタートダッシュ","113"
"メインクエスト\n\n時間 / 01:25\n作曲 / 長門千晴(Cygames)\n編曲 / 長門千晴(Cygames)","0:00","bgm_M293_juke","bgm_M293","1:25","大海を望んで","114"
"ストーリーイベントテーマ\n-｢木もれびモンタージュ｣アレンジ-\n\n時間 / 01:06\n作曲 / 渡部チェル\n編曲 / 加藤慶久(Cygames)","0:00","bgm_M316_juke","bgm_M316","1:06","魔法少女　二人はミスティ＆ピュアリー","115"
"ストーリーイベントボスバトル\n\n時間 / 01:28\n作曲 / 中村博\n編曲 / 中村博","0:00","bgm_M319_juke","bgm_M319","1:28","アンチビースト","116"
"キャラクターソング\n\n時間 / 01:32\n歌　 / カスミ（水瀬いのり）\n　　　シオリ（小清水亜美）\n作詞 / 磯谷佳江\n作曲 / 渡部チェル\n編曲 / 渡部チェル","0:50","bgm_M340","bgm_M340","1:32","木もれびモンタージュ","117"
"ストーリーイベントテーマ\n\n時間 / 00:51\n作曲 / 中村早織(Cygames)\n編曲 / 中村早織(Cygames)","0:00","bgm_M330_juke","bgm_M330","0:51","アイドルを目指して！","118"
"メモリアルマップ\n\n時間 / 01:34\n作曲 / 東大路憲太\n編曲 / 東大路憲太","0:00","bgm_M333_juke","bgm_M333","1:34","思い出の足跡","119"
"メインストーリー\n\n時間 / 02:24\n作曲 / 西木康智\n編曲 / 西木康智","0:00","bgm_M57_juke","bgm_M57","2:24","プリンセスナイト","120"
