c08b42c656478406dc00f7759715090da87ea3e618a156bdc6344cf7c62dc191,f3fe87c67f888522f4b91159bbb79e4b3d1aa52904abb6f6d300d7b9e5a936e9,ca248c4843b62a2625fecc239ec89305d0af3416a7bd2f600973ffbb772972d0,160c6d5ae0aaa639b6aedc6a1e22b2f23705ec4cf38cea9e40e9bb64d897ecef,6ccdd06355552640b26f1e91dbd644f4499dbe48fbd0ca0f97f7668b9e393517,9215c422c4b4dde25e607075ac57834cd51ccbd4c1e24114d940df895a3f2e16,59bc14667fb6bf0bcd81271aa7b075451715f18507d867e0991fd9186b38af68,48ef081fbba2a3209249ea230ff7f0f3114ab2c246e802f64e8d9a4237a4b0d4,1748d1e9f9c5e3417c15d7bc8695672cc940606eb44eb88ff294da5a8866eb5a
"29","3","1","2","0","1","2","勇猛果敢なる","1"
"30","3","1","2","0","1","2","威風堂々たる","1"
"31","3","1","2","0","1","0","急がば回れ","1"
"32","3","1","2","0","1","0","心頭滅却","1"
"33","3","1","2","0","1","0","夢見る","0"
"34","3","1","2","0","1","0","ナイス","0"
"35","3","1","2","0","1","0","そこそこの","0"
"36","3","1","2","0","1","2","若葉マークの","0"
"37","3","1","2","0","1","0","未来ある","0"
"38","3","1","2","0","1","0","新米","0"
"39","3","1","2","0","1","0","駆け出しの","0"
"40","3","1","2","0","1","0","ぼちぼちの","0"
"41","3","1","2","0","1","0","新進気鋭の","0"
"42","3","1","2","0","1","0","不撓不屈の","0"
"43","3","1","2","0","1","0","七転八起の","0"
"44","3","1","2","0","1","0","がんばれ","0"
"45","3","2","2","1","1","0","選ばれし","1"
"46","3","2","2","1","1","2","アルティメット","1"
"47","3","2","2","1","1","1","オーシャンブルー","1"
"48","3","2","2","1","1","2","海に愛された","1"
"49","3","2","2","1","1","2","大海を統べる","1"
"50","3","2","2","1","1","0","伝説の","1"
"51","3","2","2","1","1","2","世界を揺るがす","1"
"52","3","2","2","1","1","1","スーパーワイルド","1"
"53","3","2","2","1","1","0","神がかった","1"
"54","3","2","2","1","1","2","ぶっちぎりの","1"
"55","3","2","2","1","1","1","誰にも止められない","0"
"56","3","2","2","1","1","2","血湧き肉躍る","0"
"57","3","2","2","1","1","0","メガ","0"
"58","3","2","2","1","1","1","ナチュラルボーン","0"
"59","3","2","2","1","1","0","大海原の","0"
"60","3","2","2","1","1","1","アドレナリン全開の","0"
"61","3","2","2","1","1","0","オーマ産の","0"
"62","3","2","2","1","1","0","手練れの","0"
"63","3","2","2","1","1","0","歴戦の","0"
"64","3","2","2","1","1","0","水を得た","0"
"65","3","2","2","1","1","0","ド級の","0"
"66","3","2","2","0","1","2","ただ者ではない","1"
"67","3","2","2","0","1","0","勇猛なる","1"
"68","3","2","2","0","1","0","ひた走る","1"
"69","3","2","2","0","1","2","目にも留まらぬ","1"
"70","3","2","2","0","1","0","荒波の","1"
"71","3","2","2","0","1","0","レイジオブ","1"
"72","3","2","2","0","1","2","負けず嫌いの","1"
"73","3","2","2","0","1","0","伸び盛りの","1"
"74","3","2","2","0","1","0","型破りの","1"
"75","3","2","2","0","1","0","暴れる","1"
"76","3","2","2","0","1","0","荒れくるう","1"
"77","3","2","2","0","1","0","うわさの","0"
"78","3","2","2","0","1","2","ビーチサイドの","0"
"79","3","2","2","0","1","2","元気はつらつ","0"
"80","3","2","2","0","1","2","常夏を駆ける","0"
"81","3","2","2","0","1","0","マッスル","0"
"82","3","2","2","0","1","0","金波銀波の","0"
"83","3","2","2","0","1","2","生まれながらの","0"
"84","3","2","2","0","1","0","お騒がせの","0"
"85","3","2","2","0","1","0","未知数の","0"
"86","3","2","2","0","1","0","激ヤバ","0"
"87","3","2","2","0","1","0","負けるな","0"
"88","3","3","2","1","1","2","ライトスピード","1"
"89","3","3","2","1","1","1","プロフェッショナル","1"
"90","3","3","2","1","1","0","トップオブ","1"
"91","3","3","2","1","1","2","ゴールドメダル","1"
"92","3","3","2","1","1","2","アルティメット","1"
"93","3","3","2","1","1","0","ザ・ベスト","1"
"94","3","3","2","1","1","2","パーフェクト","1"
"95","3","3","2","1","1","1","100年に1人の","1"
"96","3","3","2","1","1","2","レジェンダリー","1"
"97","3","3","2","1","1","0","超一流の","1"
"98","3","3","2","1","1","0","世界の","1"
"99","3","3","2","1","1","0","選ばれし","1"
"100","3","3","2","1","1","2","アスレチック","0"
"101","3","3","2","1","1","0","偉大なる","0"
"102","3","3","2","1","1","1","スーパーソニック","0"
"103","3","3","2","1","1","0","ウルトラ","0"
"104","3","3","2","1","1","0","MVPの","0"
"105","3","3","2","1","1","0","ジェネラル","0"
"106","3","3","2","1","1","2","オールラウンド","0"
"107","3","3","2","1","1","2","シルバーメダル","0"
"108","3","3","2","1","1","0","聖なる","0"
"109","3","3","2","1","1","2","エクセレント","0"
"110","3","3","2","1","1","0","一流の","0"
"111","3","3","2","1","1","0","マーベラス","0"
"112","3","3","2","0","1","0","スーパー","1"
"113","3","3","2","0","1","0","フライング","1"
"114","3","3","2","0","1","0","グレート","1"
"115","3","3","2","0","1","1","アンストッパブル","1"
"116","3","3","2","0","1","0","カリスマ","1"
"117","3","3","2","0","1","0","万能","1"
"118","3","3","2","0","1","0","新世代の","1"
"119","3","3","2","0","1","0","栄えある","1"
"120","3","3","2","0","1","0","異彩を放つ","1"
"121","3","3","2","0","1","0","いぶし銀の","1"
"122","3","3","2","0","1","0","天下の","1"
"123","3","3","2","0","1","0","レッツゴー","0"
"124","3","3","2","0","1","0","グッド","0"
"125","3","3","2","0","1","1","ホップ・ステップ・","0"
"126","3","3","2","0","1","2","伸びしろのある","0"
"127","3","3","2","0","1","2","ブロンズメダル","0"
"128","3","3","2","0","1","0","期待の","0"
"129","3","3","2","0","1","2","ジャンピング","0"
"130","3","3","2","0","1","0","新時代の","0"
"131","3","3","2","0","1","2","知る人ぞ知る","0"
