9dc4aba7e1d65870b10a86293c2b9d0dd478f8f2deb7470feb03b82539eef8fa,ac68b79d647558835999c0258bd9a0f00693340c9980d4e705be9c42c0adfffd,0c762160920c90822c8fc040aff69f0e6a207fe9cb59888290dbc76507ce8dfd,8bdd5ff82b9c29d7111604c26d5398dadda4f0c686562b54be45aad9ffd86daf,1bd292797a314a93debc66753f2d982d20a46999c781eb8841d3de2c50ea748a,bde14df0ed4484f10fc6da957503b7700af72e7462eac0333d700db89ebe0a65,2036418cd5bc861eda15f50af7798a2b065e1bdc7b943fac010832b3af55d71b,8dbdd80b0f6cec277fbb83f393ff867bf3b148e0e4037d160d0f7d0fd8a411cf,6949964f4e68363e7aa172e45725b9d47fd69456a1a9dced71f419bcdb038e6e,cc765a2fa6d0915c0c61843c9c9789f5539cda415a1f3609d92ad72869f5a0d7,96d6ab0dd7f1364b9f131005b4c96300ed3220e46395bfdefa499f08793689d9
"4","129811","11","0","0.3","1","4006","0","7","0","あたしもどちらかと\n言えば感覚派だから、\n人に物を教えるのって\n少し苦手なんだよなぁ"
"4","0","91","","","","4007","","","",""
"4","129811","3","","","","4008","0.2","1","","drama_idle_doya_shy"
"4","129911","3","1","","drama_talk_wish_loop","4009","0.2","0","","drama_talk_wish_in"
"4","vo_minigame_1013","21","","","0","4010","","0","","vo_minigame_1013_top_talk_4_001"
"4","129911","11","0","0.5","1","4011","0","5","0","信じ合える間柄なら\n言葉などなくても\n伝わりますわ。私と\nあのおかたのように…"
"4","0","91","","","","4012","","","",""
"4","129911","3","","","","4013","0.2","1","","drama_idle_wish"
"4","129811","3","0","","","4014","0.2","1","","drama_idle_thinking_shy"
"4","vo_minigame_1013","21","","","0","4015","","0","","vo_minigame_1013_top_talk_4_002"
"4","129811","11","0","0","1","4016","0","8","0","（なるほど、それなら\nあいつにもちゃんと…\nって、何考えてるんだ\nあたしは～っ！）"
"4","0","91","","","","4017","","","",""
"4","129911","3","","","","4018","0.2","1","","drama_idle"
"4","129811","3","","","","4019","0.2","1","","drama_idle"
"5","1","1","-224","drama_idle","167","5001","1.65","100","1","129811"
"5","1","1","-224","drama_idle","-49","5002","1.65","100","0","129911"
"5","129811","3","","","","5003","0.2","1","","drama_idle"
"5","129911","3","","","","5004","0.2","1","","drama_talk_thinking"
"5","vo_minigame_1013","21","","","0","5005","","0","","vo_minigame_1013_top_talk_5_000"
"5","129911","11","0","0.8","1","5006","0","6","0","訓練で成果を出せば\nそれだけ勲章も輝きを\n増すというもの…\n素晴らしいですわ"
"5","0","91","","","","5007","","","",""
"5","129911","3","","","","5008","0.2","1","","drama_idle_thinking"
"5","129811","3","1","","drama_talk_wonder_loop","5009","0.2","0","","drama_talk_wonder_in"
"5","vo_minigame_1013","21","","","0","5010","","0","","vo_minigame_1013_top_talk_5_001"
"5","129811","11","0","0.3","1","5011","0","7","0","動機は不純だけど、\nやっぱ教官としては\n優秀なんだよな～…\n不思議なもんだぜ"
"5","0","91","","","","5012","","","",""
"5","129811","3","","","","5013","0.2","1","","drama_idle_wonder"
"5","129911","3","","","","5014","0.2","1","","drama_talk_memory"
"5","vo_minigame_1013","21","","","0","5015","","0","","vo_minigame_1013_top_talk_5_002"
"5","129911","11","0","0.5","1","5016","0","5","0","「さすがエリコだね！\n伴侶の僕も、とても\n誇らしいよ」なんて…\nクスクスクス…"
"5","0","91","","","","5017","","","",""
"5","129811","3","","","","5018","0.2","1","","drama_idle"
"5","129911","3","","","","5019","0.2","1","","drama_idle"
"6","1","1","-224","drama_idle","167","6001","1.65","100","1","129811"
"6","1","1","-224","drama_idle","-49","6002","1.65","100","0","129911"
"6","129911","3","","","","6003","0.2","1","","drama_idle"
"6","129811","3","","","","6004","0.2","1","","drama_talk_thinking_shy"
"6","vo_minigame_1013","21","","","0","6005","","0","","vo_minigame_1013_top_talk_6_000"
"6","129811","11","0","0.3","1","6006","0","8","0","あたしも教官の仕事を\n頑張れば、あいつに\n喜んでもらえたり\nするのかな…"
"6","0","91","","","","6007","","","",""
"6","129811","3","","","","6008","0.2","1","","drama_idle_thinking_shy"
"6","129911","3","1","","drama_talk_doubt_loop","6009","0.2","0","","drama_talk_doubt_in"
"6","vo_minigame_1013","21","","","0","6010","","0","","vo_minigame_1013_top_talk_6_001"
"6","129911","11","0","0.8","1","6011","0","6","0","マコトさん？\nどうかしましたか？\n何やら不穏な気配を\n感じ取ったのですが"
"6","0","91","","","","6012","","","",""
"6","129911","3","","","","6013","0.2","1","","drama_idle_doubt"
"6","129811","3","1","","drama_talk_surprise_loop_shy","6014","0.2","0","","drama_talk_surprise_in_shy"
"6","vo_minigame_1013","21","","","0","6015","","0","","vo_minigame_1013_top_talk_6_002"
"6","129811","11","0","0.3","1","6016","0","9","0","いやいや何でもない！\nあたしは別に変なこと\n考えてないからな！\nそれより訓練だっ！"
"6","0","91","","","","6017","","","",""
"6","129911","3","","","","6018","0.2","1","","drama_idle"
"6","129811","3","","","","6019","0.2","1","","drama_idle"
"7","1","1","-224","drama_idle","167","7001","1.65","100","1","129811"
"7","1","1","-224","drama_idle","-49","7002","1.65","100","0","129911"
"7","129811","3","","","","7003","0.2","1","","drama_idle"
"7","129911","3","1","","drama_talk_arm_crossed_loop","7004","0.2","0","","drama_talk_arm_crossed_in"
"7","vo_minigame_1013","21","","","0","7005","","0","","vo_minigame_1013_top_talk_7_000"
"7","129911","11","0","0.3","1","7006","0","6","0","私の班のみなさんも\n変わらず訓練に励んで\nいるようですわね\n殊勝なことです"
"7","0","91","","","","7007","","","",""
"7","129911","3","","","","7008","0.2","1","","drama_idle_arm_crossed"
"7","129811","3","1","","drama_talk_guts2_loop","7009","0.2","0","","drama_talk_guts2_in"
"7","vo_minigame_1013","21","","","0","7010","","0","","vo_minigame_1013_top_talk_7_001"
"7","129811","11","0","0","1","7011","0","6","0","エリコ班の急成長は\n騎士団の中でも話題に\nなってたからな\nホントすげえ奴等だよ"
"7","0","91","","","","7012","","","",""
"7","129811","3","","","","7013","0.2","1","","drama_idle_guts2"
"7","129911","3","","","","7014","0.2","1","","drama_talk_thinking"
"7","vo_minigame_1013","21","","","0","7015","","0","","vo_minigame_1013_top_talk_7_002"
"7","129911","11","0","0.5","1","7016","0","6","0","彼らが私に逆らわずに\n努力したからこそ、\n得たものもありますし\n…感謝しておきますわ"
"7","0","91","","","","7017","","","",""
"7","129811","3","","","","7018","0.2","1","","drama_idle"
"7","129911","3","","","","7019","0.2","1","","drama_idle"
"8","1","1","-224","drama_idle","167","8001","1.65","100","1","129811"
"8","1","1","-224","drama_idle","-49","8002","1.65","100","0","129911"
"8","129911","3","","","","8003","0.2","1","","drama_idle"
"8","129811","3","1","","drama_talk_doya_loop_smile","8004","0.2","0","","drama_talk_doya_in_smile"
"8","vo_minigame_1013","21","","","0","8005","","0","","vo_minigame_1013_top_talk_8_000"
"8","129811","11","0","0.3","1","8006","0","7","0","マコト班のみんなも、\nしっかり頑張って\nくれてるみたいだ\n教官としても嬉しいぜ"
"8","0","91","","","","8007","","","",""
"8","129811","3","","","","8008","0.2","1","","drama_idle_doya_smile"
"8","129911","3","1","","drama_talk_arm_crossed_loop","8009","0.2","0","","drama_talk_arm_crossed_in"
"8","vo_minigame_1013","21","","","0","8010","","0","","vo_minigame_1013_top_talk_8_001"
"8","129911","11","0","0.8","1","8011","0","5","0","訓練もそつなくこなす\nまさに優等生でしたわ\nまあ私の班の成績には\n及びませんでしたが"
"8","0","91","","","","8012","","","",""
"8","129911","3","","","","8013","0.2","1","","drama_idle_arm_crossed"
"8","129811","3","","","","8014","0.2","1","","drama_talk_anger"
"8","vo_minigame_1013","21","","","0","8015","","0","","vo_minigame_1013_top_talk_8_002"
"8","129811","11","0","0.3","1","8016","0","7","0","くっ、そう言われると\n悔しいな…！\nならこの行軍訓練で\n逆転してやるぜ！"
"8","0","91","","","","8017","","","",""
"8","129811","3","","","","8018","0.2","1","","drama_idle"
"8","129911","3","","","","8019","0.2","1","","drama_idle"
"30","1","1","-224","drama_idle","167","30001","1.65","100","1","129811"
"30","1","1","-224","drama_idle","-49","30002","1.65","100","0","129911"
"30","129811","3","","","","30003","0.2","1","","drama_idle"
"30","129911","3","","","","30004","0.2","1","","drama_idle"
"30","0.5","93","","","","30005","","","","0"
"30","2","26","","","","30006","","","",""
"30","-80","121","0.9","","1.2","30007","3","1.2","","10"
"30","129911","3","","","","30008","0.2","0","0.2","drama_joy_eriko"
"30","1","140","","","","30009","","0","","1"
"31","1","1","-224","drama_idle","167","31001","1.65","100","1","129811"
"31","1","1","-224","drama_idle","-49","31002","1.65","100","0","129911"
"31","129811","3","","","","31003","0.2","1","","drama_idle"
"31","129911","3","","","","31004","0.2","1","","drama_idle"
"31","0.5","93","","","","31005","","","","0"
"31","2","26","","","","31006","","","",""
"31","-80","121","0.9","","1.2","31007","3","1.2","","10"
"31","129811","3","","","","31008","0.2","0","0.2","drama_joy_makoto"
"31","1","140","","","","31009","","0","","2"
"32","0","5","28","drama_talk_1","320","32001","0.28","1","1","1"
"32","0","5","28","drama_talk_2","228","32002","0.28","0","0","2"
"32","0","5","64","drama_swing","45","32003","0.26","90","1","3"
"32","0","5","-23","drama_streach","-187","32004","0.3","91","0","4"
"32","1","93","","","","32005","","","","0"
"32","1","3","","","","32006","0.2","0","","drama_joy"
"32","2","3","","","","32007","0.2","0","","drama_joy"
"32","3","3","","","","32008","0.2","0","","drama_joy"
"32","4","3","","","","32009","0.2","0","","drama_joy"
"32","1.5","93","","","","32010","","","","0"
"33","0","5","28","drama_talk_1","320","33001","0.28","1","1","1"
"33","0","5","28","drama_talk_2","228","33002","0.28","0","0","2"
"33","0","5","64","drama_swing","45","33003","0.26","90","1","3"
"33","0","5","-23","drama_streach","-187","33004","0.3","91","0","4"
