882ad8dedb6c1c8a023f9fae32e9af61c1c0fdd0c043ded4b12fddc8590305b9,8385238cce2395966fc8d0466867deff82b8ebaede89d18dd29d10a508c32587,1eafb561efde59751d1e2e39bdde2539f8dbb32410d2455d35c77d9caac729b7,eb06f75a720e0d1a11ccb5d2a6352ce8c9830cadae29ee60863496479a2d7e7a,a2b7944f6896358d31a20da86e8f9328d8a4ef9da649ddacbf18105f913dc4c1,9b1e83840eb7be615653a001e2dc73588f87613df9c49f2b063a64e11fbbcc65,4f7c6b476b17fb80b3c79f1763341528fd0ad524ed0fdae45b3388d21028c2c9,825ff47ae0c2b63a000271ce47b6b4dfddb618bb957110ef7e015b2e4665bea8,a6d9ca8e990e6691e9183eee684fed8c9ad96fded38f9e8cfb7c9c9609d662b6,be444183664d6ab7df26874b009ac557eb2cd07950d4193a806f0cc48932218d,220d330c693995eb3ed162843c593aec09b4fe8d6dc7893fa82988368378d7b0,c21f85beb96485cb1a7cb7eff41df3670a7917a487ea53b7083974fc60763952,ddc24f48be34139decfc598dc1ec672b9729225ffb0d72924f8b2c9a00a46dca,9b300a217afe3cbe5f21c506aa70b521c9fe8f94b990d030bd8dac39c3107cd1,d678538f1947b8df29be7e72f7a91b6a307cab6200b044aceea6a8c8784b63c2,d79252e054f2df628f5a43b7204a293782521a6c3cae265f4000d007cdb14970
"ハツネ","大橋彩香","0","6","156","24","46","17","101201","私はハツネ！　困っている人の味方だよ！\n困った時は、いつでも言ってね♪\n私のちょ…ま、魔法で助けてあげるから！","12","フォレスティエ","エルフ","みんなのために超能力を使う眠り姫","A","妹と遊ぶこと、二度寝、昼寝、早寝"
"ナナカ","佳村はるか","0","13","166","21","55","18","101301","","8","トワイライトキャラバン","魔族","オタク全開な魔法少女","O","読書、魔法"
"カスミ","水瀬いのり","0","10","152","3","41","15","101401","test","11","自警団（カォン）","獣人族","頭脳明晰な美少女名探偵","AB","読書、推理"
"ミサト","國府田マリ子","0","6","165","5","54","21","101501","test","9","フォレスティエ","エルフ","母性溢れる優しいみんなの「ミサト先生」","O","絵本作り"
"スズナ","上坂すみれ","0","14","167","10","48","17","101601","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","4","ルーセント学院","魔族","天真爛漫で人気者のカリスマモデル","O","ファッション"
"カオリ","高森奈津美","0","10","158","7","53","17","101701","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","7","自警団（カォン）","獣人族","いつでも「なんくるないさ～」な天然娘","A","踊り、空手"
"イオ","伊藤静","0","14","162","14","52","23","101801","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","8","ルーセント学院","魔族","多くの男性を魅了する無垢な女教師","B","恋愛小説、恋愛舞台、恋愛漫画の鑑賞"
"ミミ","日高里菜","0","5","117","3","21","10","102001","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","4","リトルリリカル","獣人族","お歌もにんじんも、ウサギさんも大好き♪","O","かわいいもの集め"
"クルミ","植田佳奈","0","9","150","9","40","12","102101","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","6","サレンディア救護院","ヒューマン","泣き虫で臆病な守ってあげたい女の子","B","観劇、おままごと"
"ヨリ","原紗友里","0","7","150","22","40","13","102201","え、えっと…こ、こういうときって、\nどういうことを言えばいいんだっけ…\nうう、どうしてちゃんと喋れないの…","11","悪魔偽王国軍（ディアボロス）","魔族","人見知りであまのじゃくな女の子","O","ゲーム全般"
"アヤネ","芹澤優","0","9","148","10","38","14","102301","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","5","サレンディア救護院","ヒューマン","ぷうきちといつも一緒！","B","屋内でできる遊び"
"スズメ","悠木碧","0","9","154","12","43","15","102501","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","12","サレンディア救護院","ヒューマン","お嬢さまのためにがんばるドジっ娘メイド","O","ご奉仕"
"リン","小岩井ことり","0","11","144","1","42","17","102601","test","1","牧場（エリザベスパーク）","獣人族","遊びと睡眠が何より大事なぐうたら娘","B","あんパン"
"エリコ","橋本ちなみ","0","13","154","30","43","16","102701","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","7","トワイライトキャラバン","魔族","運命の相手に一途すぎる乙女","B","実験、裁縫、料理"
"サレン","堀江由衣","0","9","156","4","43","17","102801","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","10","サレンディア救護院","エルフ","救護院を経営する優しい庶民派お嬢様","A","経営、お茶会"
"ノゾミ","日笠陽子","0","4","157","24","40","17","102901","いつか世界中の人達をファンにしてみせる！\nトップアイドルになるその日まで、\n応援よろしくね♪","1","カルミナ","ヒューマン","歌って踊れる大人気アイドル","B","舞台鑑賞、ダンス"
"ニノン","佐藤聡美","0","15","163","31","51","16","103001","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","8","ヴァイスフリューゲル　ランドソル支部","ヒューマン","トーゴクの神秘、オシエテクダサイ！","O","忍法開発"
"シノブ","大坪由佳","0","7","157","22","42","18","103101","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","12","悪魔偽王国軍（ディアボロス）","魔族","占いが得意な霊能少女","AB","占い"
"アキノ","松嵜麗","0","12","157","12","45","18","103201","この私とともにいる限り、\nお金に不自由はさせませんわ！","3","メルクリウス財団","ヒューマン","一人前の商人を目指すパワフルお嬢様","AB","慈善事業"
"マヒル","新田恵海","0","11","142","3","35","20","103301","オラはどんな時でもみんなに笑顔を届ける\n最高の芸人目指してる！\n一緒に頑張るべ！","3","牧場（エリザベスパーク）","ヒューマン","みんなを笑顔にするお笑い牧場主","B","漫才"
"ユカリ","今井麻美","0","12","164","16","55","22","103401","キミには情けないところばかり\n見られているけど、こんなところ、\nキミ以外には見せないんだからね？","3","メルクリウス財団","エルフ","純情でほっとけない大人の女性","A","ウインドーショッピング"
"キョウカ","小倉唯","0","5","118","2","21","8","103601","test","2","リトルリリカル","エルフ","礼儀正しくしっかり者のちびっ子優等生","A","お勉強"
"トモ","茅原実里","0","8","149","11","43","13","103701","test","8","王宮騎士団（NIGHTMARE）","ヒューマン","義理堅くてからかい好きな剣術少女","A","剣術、年長者をからかう"
"シオリ","小清水亜美","0","11","153","3","40","14","103801","ゴホッ、ゴホッ…か、身体は弱いけど、\nせめて気持ちだけでも前向きに…！\nあっ、でもダメ…立ちくらみが…","11","牧場（エリザベスパーク）","獣人族","読書が趣味の病弱少女","A","読書、お散歩"
"アオイ","花澤香菜","0","6","158","6","44","13","104001","友達ができるその日まで…\nBB団で\nトレーニングですっ！","6","フォレスティエ","エルフ","「友達」に憧れる、エルフの森の女の子","AB","友達作りのイメトレ"
"チカ","福原綾香","0","4","163","3","46","17","104201","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","6","カルミナ","ヒューマン","人々を守るために歌う、唱喚士の少女","O","各種楽器"
"マコト","小松未可子","0","10","168","9","54","17","104301","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","8","自警団（カォン）","獣人族","男勝りで情に厚いワイルド娘","O","お菓子作り"
"イリヤ","丹下桜","0","7","172","5","50","??","104401","test","5","悪魔偽王国軍（ディアボロス）","魔族","かつては夜を支配した最強の吸血鬼","A","世界征服"
"クウカ","長妻樹里","0","15","157","19","49","18","104501","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","11","ヴァイスフリューゲル　ランドソル支部","ヒューマン","妄想大好き！　ほんとは照れ屋な女の子","AB","小説を読むこと"
"タマキ","沼倉愛美","0","12","158","1","48","19","104601","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","3","メルクリウス財団","獣人族","弱きを助け強きをくじく猫娘","AB","猫とたわむれること"
"ジュン","川澄綾子","0","8","171","25","50","25","104701","？？？","10","王宮騎士団（NIGHTMARE）","ヒューマン","素顔を見せない冷静沈着な女性騎士","A","格闘技、湯浴み"
"ミフユ","田所あずさ","0","12","163","11","49","20","104801","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","11","メルクリウス財団","ヒューマン","仕事も私事も効率優先な傭兵少女","O","傭兵などのアルバイト"
"シズル","生天目仁美","0","3","168","24","54","18","104901","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","10","ラビリンス","ヒューマン","お姉ちゃんがお世話してあげるからねっ！","O","家事全般"
"ミサキ","久野美咲","0","14","120","3","22","11","105001","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","1","ルーセント学院","魔族","ちょっとおませな恋に恋する女の子","A","ファッション誌鑑賞、コスメ集め"
"ミツキ","三石琴乃","0","13","166","7","53","27","105101","私は科学者だけど、\n医者の真似事もしてるの\n病気になったら診てあげるわ","3","トワイライトキャラバン","ヒューマン","実験が趣味の危険な科学者","A","研究、実験"
"リマ","徳井青空","0","11","150","14","100","17","105201","私、ごく普通の、どこにでもいる女の子よ！\nみ、見た目以外はね…","3","牧場（エリザベスパーク）","獣人族","乙女チックなもふもふアニマル","A","毛繕い、お喋り"
"モニカ","辻あゆみ","0","15","140","28","33","17","105301","「白き翼」こと、ヴァイスフリューゲル…\nその名に恥じぬよう、天高く舞い、\n華麗に敵を倒してみせる！","7","ヴァイスフリューゲル　ランドソル支部","ヒューマン","見た目も中身もお子ちゃまな異国の軍人","A","お菓子屋通い"
"ツムギ","木戸衣吹","0","4","153","7","45","14","105401","test","9","カルミナ","ヒューマン","ファッション大好きなキュートガール","AB","裁縫"
"アユミ","大関英里","0","15","155","7","43","16","105501","test","4","ヴァイスフリューゲル　ランドソル支部","エルフ","どこまでも一途に慕う、純情乙女","O","観察"
"ルカ","佐藤利奈","0","13","167","11","54","25","105601","test","7","トワイライトキャラバン","ヒューマン","人情味溢れる粋でいなせな「姉御」","B","釣り"
"ジータ","金元寿子","0","","156","10","45","17","105701","私ね、一人前の騎空士になりたいんだ\nいつか父さんみたいな騎空士になって、\n空の果てまで旅する。それが私の夢だよ！","3","？？？","ヒューマン","空への冒険を夢見る騎空士の少女","O","冒険、おしゃべり"
"ペコリーヌ","M・A・O","0","1","156","31","46","17","105801","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","3","美食殿","ヒューマン","いつも元気な腹ペコ少女","O","食べ歩き、料理"
"コッコロ","伊藤美来","0","1","140","11","35","11","105901","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","5","美食殿","エルフ","主を慕う、小さなガイド役","B","瞑想、動植物の飼育"
"キャル","立花理香","0","1","152","2","39","14","106001","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","9","美食殿","獣人族","行き倒れの謎のネコミミ魔法使い","A","猫と遊ぶ"
"ムイミ","潘めぐみ","0","","148","11","40","16","106101","いいんだ、アタシは……独りでも。大丈夫だから、もう慣れたからさぁ","8","？？？","ヒューマン","さまよえる謎の少女","O","冒険、思い出話"
"アリサ","優木かな","0","","155","17","42","15","106301","","6","？？？","エルフ","森番を目指すエルフの少女","O","キレイな葉っぱを集めること"
"シェフィ","近藤玲奈","0","1","147","14","???","14","106401","","12","美食殿","ドラゴン族","記憶喪失のドラゴン娘","B","読書、ストレッチ"
"カヤ","小市眞琴","0","17","156","25","???","16","106501","","6","ドラゴンズネスト","ドラゴン族","拳で語る喧嘩屋ドラゴン少女","B","格闘技"
"イノリ","藤田茜","0","17","145","29","???","13","106601","","9","ドラゴンズネスト","ドラゴン族","口が達者なヘタレドラゴン","AB","ゲーム"
"ホマレ","大西沙織","0","17","168","17","???","25","106701","","4","ドラゴンズネスト","ドラゴン族","妖しい微笑で全てを見透かす臥竜の頭領","O","絵画、読書"
"ラビリスタ","沢城みゆき","0","3","160","25","??","25","106801","","7","ラビリンス","ヒューマン","秘密結社ラビリンスの『迷宮女王』","AB","人間観察"
"カイザーインサイト","蒼井翔太","0","","166","1","??","29","106901","","7","？？？","獣人族","謎に包まれたランドソルの主","AB","占い、支配"
"ネネカ","井口裕香","0","","149","24","??","24","107001","","3","？？？","エルフ","研究所に隠れ住む物静かなお姉さん","O","物真似、芸術鑑賞"
"クリスティーナ","たかはし智秋","0","8","165","7","??","27","107101","","2","王宮騎士団（NIGHTMARE）","ヒューマン","傍若無人な王宮騎士団副団長","O","強敵との闘争"
"ペコリーヌ（サマー）","M・A・O","0","1","156","31","46","17","107501","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","3","美食殿","ヒューマン","いつも元気な腹ペコ少女","O","食べ歩き、料理"
"コッコロ（サマー）","伊藤美来","0","1","140","11","35","11","107601","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","5","美食殿","エルフ","主を慕う、小さなガイド役","B","瞑想、動植物の飼育"
"スズメ（サマー）","悠木碧","0","9","154","12","43","15","107701","うぅ…ごめんなさい～…\nまたキッチンを爆発させてしまいました～\nこれじゃあメイド失格です…","12","サレンディア救護院","ヒューマン","お嬢さまのためにがんばるドジっ娘メイド","O","ご奉仕"
"キャル（サマー）","立花理香","0","1","152","2","39","14","107801","なに、モタモタしてんのよ\n仕方ないから、あたしが手伝ってあげるわ\nいい？　感謝しなさいよね！","9","美食殿","獣人族","行き倒れの謎のネコミミ魔法使い","A","猫と遊ぶ"
"タマキ（サマー）","沼倉愛美","0","12","158","1","48","19","107901","お金もうけの話なら、ぜひともあたしに\n持ってくるにゃ！　稼げるなら１ルピだって\n見逃さないのが、あたしの信条にゃ～♪","3","メルクリウス財団","獣人族","弱きを助け強きをくじく猫娘","AB","猫とたわむれること"
"ミフユ（サマー）","田所あずさ","0","12","163","11","49","20","108001","私がキミの師匠になってあげる！\nもちろんタダとはいかないわ\n時給はしっかりもらうから","11","メルクリウス財団","ヒューマン","仕事も私事も効率優先な傭兵少女","O","傭兵などのアルバイト"
"シノブ（ハロウィン）","大坪由佳","0","7","157","22","42","18","108101","私、小さい頃から人には見えないものが\n見えていたんです。今もあなたの後ろに\n一人、二人、三人…賑やかですね","12","悪魔偽王国軍（ディアボロス）","魔族","占いが得意な霊能少女","AB","占い"
"ミヤコ（ハロウィン）","雨宮天","0","7","130","23","32","14","108201","難しいことはわからないの～\nただ毎日プリンを食べられるなら、\n幽霊のままでいいの～","1","悪魔偽王国軍（ディアボロス）","魔族","プリン大好きゴースト娘","B","プリンを食べること"
"ミサキ（ハロウィン）","久野美咲","0","14","120","3","22","11","108301","アタシのこと呼んだ？\nレディの魅力で夢中にさせてあげるわね！","1","ルーセント学院","魔族","ちょっとおませな恋に恋する女の子","A","ファッション誌鑑賞、コスメ集め"
"チカ（クリスマス）","福原綾香","0","4","163","3","46","17","108401","私は人々の平和を守るため、唱喚術を使って\n戦います。…最近は、ア、アイドルとしても\n活動してますが、そちらはまだ不慣れで…","6","カルミナ","ヒューマン","人々を守るために歌う、唱喚士の少女","O","各種楽器"
"クルミ（クリスマス）","植田佳奈","0","9","150","9","40","12","108501","あの、えっと…私、く、クルミですぅ…\nふ、ふぇぇぇ…ど、どうしようぅ…\nは、恥かしくて…ご、ごめんなさいぃぃ！","6","サレンディア救護院","ヒューマン","泣き虫で臆病な守ってあげたい女の子","B","観劇、おままごと"
"アヤネ（クリスマス）","芹澤優","0","9","148","10","38","14","108601","この子はね、ぷうきちって言うんだ\n武器なんだけど、しゃべるんだよ♪\n大事な大事な、私の友達なんだぁ～！","5","サレンディア救護院","ヒューマン","ぷうきちといつも一緒！","B","屋内でできる遊び"
"ヒヨリ（ニューイヤー）","東山奈央","0","2","155","27","44","16","108701","こんにちは！　ヒヨリでっす！\n困っている人がいたら助けにいくよ！\nよかったら一緒に来ない？","8","トゥインクルウィッシュ","獣人族","人助けが大好き！　前向き格闘娘","A","人助け、応援"
"ユイ（ニューイヤー）","種田梨沙","0","2","158","5","47","17","108801","あんまり役に立てるかはわからないけど…\nわたしも頑張って、\nみんなをサポートするね！","4","トゥインクルウィッシュ","ヒューマン","戦闘のサポートが得意な、心優しい少女","O","料理、人間観察"
"レイ（ニューイヤー）","早見沙織","0","2","163","12","46","18","108901","キミと会ったのもきっと何かの縁だ\n一緒に塔の頂上を目指す仲間として\n頑張っていこう。よろしく頼む","1","トゥインクルウィッシュ","魔族","クールで何事にも真っ直ぐな剣士","B","読書、乗馬、お茶"
"エリコ（バレンタイン）","橋本ちなみ","0","13","154","30","43","16","109001","『壊し屋』の二つ名を持つ私…\nですが、怖がる必要はありませんわ\nあなた様は大切な運命の人ですから…","7","トワイライトキャラバン","魔族","運命の相手に一途すぎる乙女","B","実験、裁縫、料理"
"シズル（バレンタイン）","生天目仁美","0","3","168","24","54","18","109101","身の回りのお世話はお姉ちゃんがやってあげるね！\nお料理も、お洗濯も、お掃除も\nお風呂で背中も流してあげちゃうぞっ！","10","ラビリンス","ヒューマン","お姉ちゃんがお世話してあげるからねっ！","O","家事全般"
"アン","日笠陽子","0","","156","1","55","17","109201","私はアン！一応、マナリア王国の\n第一王女だけど…あまりかしこまらないで、\n気軽に仲良くしてくれたら嬉しいな！","12","？？？","ヒューマン","英霊と契約を結んだマナリアの天才王女","AB","読書"
"ルゥ","こやまきみこ","0","","144","4","45","16","109301","ルゥはルゥですぅ！マナリア魔法学院に\n通ってるですぅ。あなたもルゥの\nお友だちになってくれるですか？","2","？？？","ヒューマン","マナリア魔法学院の新入生","O","食べること、眠ること"
"グレア","福原綾香","0","","167","3","67","17","109401","私はグレア。竜と人、両方の血を\n受け継いでいるの…\nえっと…よ、よろしくね","11","？？？","半人半竜","人を超越した力を有す心優しい竜姫","B","ピアノ"
"クウカ（オーエド）","長妻樹里","0","15","157","19","49","18","109501","あなたのことを考えていました\n…逆らえないクウカをああして、こうして\nぐふ、ぐふふふ…","11","ヴァイスフリューゲル　ランドソル支部","ヒューマン","妄想大好き！　ほんとは照れ屋な女の子","AB","小説を読むこと"
"ニノン（オーエド）","佐藤聡美","0","15","163","31","51","16","109601","スシ、ゲイシャ、テンプラ…\nはふぅ～！\nトーゴクの文化はステキデスね～！","8","ヴァイスフリューゲル　ランドソル支部","ヒューマン","トーゴクの神秘、オシエテクダサイ！","O","忍法開発"
"レム","水瀬いのり","0","","154","2","??","17","109701","","2","？？？","鬼族","鬼がかりの万能妹メイド","?","演劇鑑賞、詩文"
"ラム","村川梨衣","0","","154","2","??","17","109801","","2","？？？","鬼族","毒舌系鬼姉メイド","?","読書"
"エミリア","高橋李依","0","","164","23","??","??","109901","","9","？？？","ハーフエルフ","銀髪のおっとりハーフエルフ","?","パックの毛繕い、勉強"
"スズナ（サマー）","上坂すみれ","0","14","167","10","48","17","110001","ヒデサイ、ちょっす～！　うち、漢字と計算は\nちょっち…てか、おに苦手なんだ～\nでもでも、ファッションだったら任せて～！","4","ルーセント学院","魔族","天真爛漫で人気者のカリスマモデル","O","ファッション"
"イオ（サマー）","伊藤静","0","14","162","14","52","23","110101","いつも助けてくれてありがとう\n私のほうが年上なのに\n頼ってばかりでごめんなさい～","8","ルーセント学院","魔族","多くの男性を魅了する無垢な女教師","B","恋愛小説、恋愛舞台、恋愛漫画の鑑賞"
"ミサキ（サマー）","久野美咲","0","14","120","3","22","11","110201","","1","ルーセント学院","魔族","ちょっとおませな恋に恋する女の子","A","ファッション誌鑑賞、コスメ集め"
"サレン（サマー）","堀江由衣","0","9","156","4","43","17","110301","貧乏性？　いいえ、\n「もったいない」の精神で\n日々を過ごしてるだけよ！","10","サレンディア救護院","エルフ","救護院を経営する優しい庶民派お嬢様","A","経営、お茶会"
"マコト（サマー）","小松未可子","0","10","168","9","54","17","110401","腹へってたら言えよな\n簡単でよければ\nすっげー旨いもん食わせてやるよ！","8","自警団（カォン）","獣人族","男勝りで情に厚いワイルド娘","O","お菓子作り"
"カオリ（サマー）","高森奈津美","0","10","158","7","53","17","110501","ハイターイ！　歌って踊って、\n最高に盛り上がるさ～！\nやさやさ、キミも一緒に踊るさ～！","7","自警団（カォン）","獣人族","いつでも「なんくるないさ～」な天然娘","A","踊り、空手"
"マホ（サマー）","内田真礼","0","10","155","22","42","16","110601","マホマホ王国のお姫はんの、マホ姫どす！\nけったいな顔してどないしはったん？\nマホマホ王国はずーっと遠くの国なんどす？","9","自警団（カォン）","獣人族","マホマホ王国のプリンセス","O","空想、ぬいぐるみ集め"
"アオイ（編入生）","花澤香菜","0","6","158","6","44","13","110701","","6","フォレスティエ","エルフ","「友達」に憧れる、エルフの森の女の子","AB","友達作りのイメトレ"
"クロエ","種﨑敦美","0","16","154","7","42","17","110801","","8","聖テレサ女学院（なかよし部）","エルフ","ダウンタウン育ちのダウナー系エルフ","O","ダーツ"
"チエル","佐倉綾音","0","16","156","15","46","16","110901","","9","聖テレサ女学院（なかよし部）","ヒューマン","自由奔放ナチュラル無礼な現代っ子","O","ダンス、カラオケ"
"ユニ","小原好美","0","16","142","28","36","18","111001","","2","聖テレサ女学院（なかよし部）","ヒューマン","書庫に眠れる小さな賢人","O","読書"
"キョウカ（ハロウィン）","小倉唯","0","5","118","2","21","8","111101","","2","リトルリリカル","エルフ","礼儀正しくしっかり者のちびっ子優等生","A","お勉強"
"ミソギ（ハロウィン）","諸星すみれ","0","5","128","10","27","9","111201","イタズラなら任せて！\nにいちゃん、引っかからないように気を付けなよー♪","8","リトルリリカル","ヒューマン","探検好きのイタズラっ子","O","いたずら、探検"
"ミミ（ハロウィン）","日高里菜","0","5","117","3","21","10","111301","ぴょんぴょん、うさぎさんになりたいな～♪　\nミミ、うさぎさんになれたら、\n最初におにいちゃんに見せてあげるね！","4","リトルリリカル","獣人族","お歌もにんじんも、ウサギさんも大好き♪","O","かわいいもの集め"
"ルナ","小倉唯","0","","142","8","28","??","111401","","1","？？？","ヒューマン","おともだちを探す死霊術師の少女","?","「おともだち」を探すこと"
"クリスティーナ（クリスマス）","たかはし智秋","0","8","165","7","??","27","111501","","2","王宮騎士団（NIGHTMARE）","ヒューマン","傍若無人な王宮騎士団副団長","O","強敵との闘争"
"ノゾミ（クリスマス）","日笠陽子","0","4","157","24","40","17","111601","","1","カルミナ","ヒューマン","歌って踊れる大人気アイドル","B","舞台鑑賞、ダンス"
"イリヤ（クリスマス）","丹下桜","0","7","172","5","50","??","111701","","5","悪魔偽王国軍（ディアボロス）","魔族","かつては夜を支配した最強の吸血鬼","A","世界征服"
"ぺコリーヌ（ニューイヤー）","M・A・O","0","1","156","31","46","17","111801","あ、あの…何か食べ物持っていませんか？\nもう、お腹ペコペコで…","3","美食殿","ヒューマン","いつも元気な腹ペコ少女","O","食べ歩き、料理"
"コッコロ（ニューイヤー）","伊藤美来","0","1","140","11","35","11","111901","主さまのガイド役を仰せつかりました\nわたくし、主さまに満足していただけるよう\n誠心誠意尽くさせていただきます","5","美食殿","エルフ","主を慕う、小さなガイド役","B","瞑想、動植物の飼育"
