4b9b6d9bb9321548268df6fd3beee7b7953f906ff1522a0ea434d77dac3b2eb2,917cad7ecaab1909d90d9d8eeab19e61f131d4e2215f9d7fe0a67a4d6dc43ea7,e73304d6e5c043e782ae88a12932dc9faf8e24258e47732739269932551b49fc,8b332b7df7b40581d2c96adfdf3bdac28234f571fda858eff1bb176c616236dd,64ae0ff50bfdd23f8b974cc08b4ade50e0910976e07e4406f07b5eaf983688a2,a345462d297d4a0dd677f855407e176a17ac1cc392eed13a9879a8b23de9f082,df06fbd7c35dcb36f5af5d16937d6b9b909ede39f43d77e08991b1862d0cee74,6abaa37b4e2b93ff741b2533569a11244ef20edcd6355fc18bf9fdfd8b0d2393,6ec4934a04f391f07b00d1b6ddecd51f672e87c8f8a957d4a6f095953d50ada0,6d497760c553722d6c41ffea4c8f7f0b1d1513613483dffd64318c2a35823c9a,8262999a6056a738d1cdc293e6104be415e11a88efa1fbb80f0eeb1cf6c70baa
"10","4","","アイドルユニット\n【美食殿】でございますね\nとても楽しそうです","1","11","1","105931","1040012","",""
"","4","","","","91","","0","1040013","",""
"","4","","0","","4","","105931","1040014","",""
"1","4","","omp_idle_normal","","3","","105931","1040015","","0"
"0","4","","omp_surprise","omp_idle_surprise1","3","1","106031","1040016","","0"
"0","4","","vo_omp_7004_002","0","21","","vo_omp_7004","1040017","",""
"10","4","","えっ！？　ホントに…！？\nじゃ、じゃなくて\nバカじゃないのあんたたち！？","1","11","1","106031","1040018","",""
"","4","","1","","93","","2","1040019","",""
"1","4","","omp_talk_tsun","","3","","106031","1040020","","0.1"
"","4","","","","91","","1040018","1040021","",""
"1","4","","omp_talk_tsun","","3","","106031","1040022","","0"
"0","4","","vo_omp_7004_003","0","21","","vo_omp_7004","1040023","",""
"10","4","","あの３人を見て\nアイドルがどれだけ大変か\n分かんなかったっての？","1","11","1","106031","1040024","",""
"","4","","","","91","","0","1040025","",""
"1","4","","omp_idle_tsun","","3","","106031","1040026","","0"
"1","4","","omp_talk_worry","","3","","105931","1040027","","0"
"0","4","","vo_omp_7004_004","0","21","","vo_omp_7004","1040028","",""
"10","4","","それはそうでございますが…\n好奇心が勝ってしまいまして","1","11","1","105931","1040029","",""
"","4","","","","91","","0","1040030","",""
"","4","","1","","4","","105931","1040031","",""
"1","4","","omp_idle_worry","","3","","105931","1040032","","0"
"1","4","","omp_talk_joy1","","3","","105831","1040033","","0"
"0","4","","vo_omp_7004_005","0","21","","vo_omp_7004","1040034","",""
"10","4","","コッコロちゃんの言う通りですよ！\nさあ、決めポーズの練習をしましょう！\nいえーい！","1","11","1","105831","1040035","",""
"","4","","1","","93","","5.5","1040036","",""
"0","4","","omp_psn_11","","3","","105831","1040037","","0.2"
"","4","","","","91","","1040035","1040038","",""
"1","4","","omp_talk_normal","","3","","105931","1040039","","0"
"0","4","","vo_omp_7004_006","0","21","","vo_omp_7004","1040040","",""
"10","4","","はい♪\nいえーい、でございます…！","1","11","1","105931","1040041","",""
"","4","","1","","93","","1.5","1040042","",""
"0","4","","omp_psn_11","","3","1","105931","1040043","","0.2"
"","4","","","","91","","1040041","1040044","",""
"","4","","0","","4","","105931","1040045","",""
"1","4","","omp_idle_normal","","3","","105931","1040046","","0"
"1","4","","omp_idle_joy1","","3","","105831","1040047","","0.2"
"1","4","","omp_idle_tsun","","3","","106031","1040048","","0"
"0","4","","vo_omp_7004_007","0","21","","vo_omp_7004","1040049","",""
"10","4","","いえーい、ってねぇ\nこれくらいしてみせなさいよ！\n―よろしくにゃん♪","1","11","1","106031","1040050","",""
"","4","","1","","93","","7","1040051","",""
"0","4","","omp_psn_12","","3","","106031","1040052","","0.1"
"","4","","","","93","","1.5","1040053","",""
"","4","","","","91","","1040050","1040054","",""
"1","4","","omp_idle_normal","","3","","106031","1040055","","0.2"
"1","4","","omp_idle_surprise1","","3","","105831","1040056","","0"
"0","4","","vo_omp_7004_008","0","21","","vo_omp_7004","1040057","",""
"10","4","","キャ、キャルちゃん…","1","11","1","105831","1040058","",""
"","4","","","","91","","0","1040059","",""
"1","4","","omp_idle_surprise1","","3","","105831","1040060","","0"
"1","4","","omp_talk_sad","","3","","105931","1040061","","0"
"0","4","","vo_omp_7004_009","0","21","","vo_omp_7004","1040062","",""
"10","4","","ものすごく、本気でございますね","1","11","1","105931","1040063","",""
"","4","","","","91","","0","1040064","",""
"1","4","","omp_idle_sad","","3","","105931","1040065","","0"
"0","4","0.1","omp_surprise","omp_talk_surprise2","3","1","106031","1040066","","0"
"0","4","","vo_omp_7004_010","0","21","","vo_omp_7004","1040067","",""
"10","4","","はっ…！\nち、違うの今のは\n条件反射っていうか…\nも、もう！　こっち見んなバカ～！","1","11","1","106031","1040068","",""
"","4","","1","","93","","6.5","1040069","",""
"1","4","","omp_talk_tsun","","3","","106031","1040070","","0.2"
"","4","","","","91","","1040068","1040071","",""
"","4","","","","93","","0.4","1040072","",""
"1500","5","0","112611","-140","1","-190","1","1050001","omp_talk_joy1","1.8"
"1500","5","1","112511","140","1","-190","1","1050002","omp_idle_normal","1.8"
"0","5","","1","0","31","1","1","1050003","","1"
"","5","","","","93","","1","1050004","",""
"0","5","","vo_omp_7005_000","0","21","","vo_omp_7005","1050005","",""
"10","5","","冒険者としていろんなところへ\n行ったりしたけど\n今回の旅が一番楽しいね！","1","11","1","112611","1050006","",""
"","5","","","","91","","0","1050007","",""
"1","5","","omp_idle_joy1","","3","","112611","1050008","","0"
"1","5","","omp_talk_normal","","3","","112511","1050009","","0"
"0","5","","vo_omp_7005_001","0","21","","vo_omp_7005","1050010","",""
"10","5","","そう、かもね\n誰かの手伝いっていうわけじゃなくて\n自分たちの目的のために\n進んでるからかな","1","11","1","112511","1050011","",""
"","5","","","","91","","0","1050012","",""
"1","5","","omp_idle_normal","","3","","112511","1050013","","0"
"1","5","","omp_talk_joy1","","3","","112611","1050014","","0"
"0","5","","vo_omp_7005_002","0","21","","vo_omp_7005","1050015","",""
"10","5","","私たちが楽しんで\n私たちを見てくれる人も\n楽しんでくれたら最高だよね\nそんな風になれるかな…","1","11","1","112611","1050016","",""
"","5","","1","","93","","6.2","1050017","",""
"1","5","","omp_talk_thinking","","3","","112611","1050018","","0.2"
"","5","","","","91","","1050016","1050019","",""
"1","5","","omp_idle_thinking","","3","","112611","1050020","","0"
"1","5","","omp_talk_normal2","","3","","112511","1050021","","0"
"0","5","","vo_omp_7005_003","0","21","","vo_omp_7005","1050022","",""
"10","5","","ミオなら…ううん\n私たちならなれるよ\n一緒に頑張ろう","1","11","1","112511","1050023","",""
"","5","","","","91","","0","1050024","",""
"1","5","","omp_idle_calm","","3","","112511","1050025","","0"
"1","5","","omp_talk_sad","","3","","112611","1050026","","0.1"
"0","5","","vo_omp_7005_004","0","21","","vo_omp_7005","1050027","",""
"10","5","","し…し…","1","11","1","112611","1050028","",""
"","5","","","","91","","0","1050029","",""
"1","5","","omp_idle_sad","","3","","112611","1050030","","0"
"1","5","","omp_psn_19","","3","","112511","1050031","","0"
"0","5","","vo_omp_7005_005","0","21","","vo_omp_7005","1050032","",""
"10","5","","し…？","1","11","1","112511","1050033","",""
"","5","","","","91","","0","1050034","",""
"1","5","","omp_psn_18","","3","","112511","1050035","","0"
"1","5","","omp_talk_sad","","3","","112611","1050036","","0"
"0","5","","vo_omp_7005_006","0","21","","vo_omp_7005","1050037","",""
"10","5","","しぶりんがいつになく優しい…！？\nどうしたのっ、ヘンなものでも食べた！？","1","11","1","112611","1050038","",""
"","5","","1","","93","","4.5","1050039","",""
"1","5","","omp_talk_surprise2","","3","","112611","1050040","","0.2"
"","5","","","","91","","1050038","1050041","",""
"1","5","","omp_idle_surprise2","","3","","112611","1050042","","0"
"1","5","","omp_talk_normal","","3","","112511","1050043","","0"
"0","5","","vo_omp_7005_007","0","21","","vo_omp_7005","1050044","",""
"10","5","","さっき、ペコリーヌの魔物料理を…\nって、これじゃあいつもの\n私が優しくないみたいじゃん\nせっかく励まそうと思ったのに…","1","11","1","112511","1050045","",""
"","5","","1","","93","","3.5","1050046","",""
"1","5","","omp_talk_anger","","3","","112511","1050047","","0.2"
"","5","","","","91","","1050045","1050048","",""
"1","5","","omp_idle_anger","","3","","112511","1050049","","0"
"1","5","","omp_talk_joy1","","3","","112611","1050050","","0"
"0","5","","vo_omp_7005_008","0","21","","vo_omp_7005","1050051","",""
"10","5","","えへへ、ごめんごめん☆","1","11","1","112611","1050052","",""
"","5","","","","91","","0","1050053","",""
"1","5","","omp_idle_joy1","","3","","112611","1050054","","0"
"1","5","","omp_talk_sad","","3","","112511","1050055","","0"
"0","5","","vo_omp_7005_009","0","21","","vo_omp_7005","1050056","",""
"10","5","","まったく\n…けど、さっきのは\nほんとのことだからね","1","11","1","112511","1050057","",""
"","5","","1","","93","","2","1050058","",""
"1","5","","omp_talk_normal","","3","","112511","1050059","","0.2"
"","5","","","","91","","1050057","1050060","",""
"1","5","","omp_idle_normal","","3","","112511","1050061","","0"
"1","5","","omp_talk_joy2","","3","","112611","1050062","","0"
"0","5","","vo_omp_7005_010","0","21","","vo_omp_7005","1050063","",""
"10","5","","うん！\nありがとっ、しぶりん！","1","11","1","112611","1050064","",""
"","5","","","","91","","0","1050065","",""
"","5","","","","93","","0.4","1050066","",""
"1600","6","0","112511","-180","1","-195","1","1060001","omp_talk_normal","1.8"
"1500","6","1","112411","20","1","-190","1","1060002","omp_idle_normal","1.8"
"1600","6","1","112611","220","1","-205","1","1060003","omp_idle_normal","1.8"
"0","6","","1","0","31","1","1","1060004","","1"
"","6","","","","93","","1","1060005","",""
"0","6","","vo_omp_7006_000","0","21","","vo_omp_7006","1060006","",""
"10","6","","ウヅキ…\n今日のレッスン\nすごく気合が入ってたね","1","11","1","112511","1060007","",""
"","6","","","","91","","0","1060008","",""
"1","6","","omp_idle_normal","","3","","112511","1060009","","0"
"1","6","","omp_talk_joy1","","3","","112611","1060010","","0"
"0","6","","vo_omp_7006_001","0","21","","vo_omp_7006","1060011","",""
"10","6","","うんうん！\n一緒にレッスンしてるこっちが\n見とれちゃうくらいだったよ～！\nなにかあったのしまむー？","1","11","1","112611","1060012","",""
"","6","","","","91","","0","1060013","",""
"","6","","0","","4","","112411","1060014","",""
"1","6","","omp_idle_joy1","","3","","112611","1060015","","0"
"1","6","","omp_talk_joy1","","3","","112411","1060016","","0"
"0","6","","vo_omp_7006_002","0","21","","vo_omp_7006","1060017","",""
"10","6","","えへへっ、ありがとうございます！\nえっと…","1","11","1","112411","1060018","",""
"","6","","","","91","","0","1060019","",""
"1","6","","omp_talk_normal","","3","","112411","1060020","","0"
"0","6","","vo_omp_7006_003","0","21","","vo_omp_7006","1060021","",""
"10","6","","朝、一人でレッスンしてたら\nお散歩してた人から\n『いつも頑張ってるね』って\n言ってもらえたんです","1","11","1","112411","1060022","",""
"","6","","","","91","","0","1060023","",""
"1","6","","omp_talk_thinking","","3","","112411","1060024","","0"
"0","6","","vo_omp_7006_004","0","21","","vo_omp_7006","1060025","",""
"10","6","","あの人にとっては何気ない\n一言だったのかも知れないですけど\n私にはそれがとてもうれしくて","1","11","1","112411","1060026","",""
"","6","","","","91","","0","1060027","",""
"1","6","","omp_talk_normal2","","3","","112411","1060028","","0"
"0","6","","vo_omp_7006_005","0","21","","vo_omp_7006","1060029","",""
"10","6","","だからもっともっと頑張って\n最高のステージをすることで\nその言葉にお返しが\nできたらなって…","1","11","1","112411","1060030","",""
"","6","","","","91","","0","1060031","",""
"1","6","","omp_idle_calm","","3","","112411","1060032","","0"
"1","6","","omp_talk_sad","","3","","112611","1060033","","0"
"0","6","","vo_omp_7006_006","0","21","","vo_omp_7006","1060034","",""
"10","6","","しまむー…！","1","11","1","112611","1060035","",""
"","6","","","","91","","0","1060036","",""
"","6","","1","","4","","112411","1060037","",""
"1","6","","omp_idle_sad","","3","","112611","1060038","","0"
"1","6","","omp_talk_thinking","","3","","112511","1060039","","0"
"0","6","","vo_omp_7006_007","0","21","","vo_omp_7006","1060040","",""
"10","6","","そっか\nそんなウヅキだから、私たちは\n一緒にやっていきたいって思うんだよ\nミオもそうだよね？","1","11","1","112511","1060041","",""
"","6","","","","91","","0","1060042","",""
"","6","","0","","4","","112411","1060043","",""
"1","6","","omp_idle_thinking","","3","","112511","1060044","","0"
"1","6","","omp_talk_joy1","","3","","112611","1060045","","0"
"0","6","","vo_omp_7006_008","0","21","","vo_omp_7006","1060046","",""
"10","6","","うん！　これからも３人で\n頑張っていこうね！\nしまむー、しぶりん！","1","11","1","112611","1060047","",""
"","6","","","","91","","0","1060048","",""
"","6","","1","","4","","112411","1060049","",""
"1","6","","omp_idle_joy1","","3","","112611","1060050","","0"
"1","6","","omp_talk_joy2","","3","","112411","1060051","","0"
"0","6","","vo_omp_7006_009","0","21","","vo_omp_7006","1060052","",""
"10","6","","リンちゃん、ミオちゃん…！　はい！\n【ニュージェネレーションズ】みんなで\n最高のアイドルを目指しましょう！","1","11","1","112411","1060053","",""
"","6","","1","","93","","1.2","1060054","",""
"","6","","0","","4","","112411","1060055","",""
"","6","","","","91","","1060053","1060056","",""
"-195","6","","-180","0","2","1","112511","1060057","",""
"-190","6","","0","0","2","1","112411","1060058","",""
"-195","6","","180","0","2","1","112611","1060059","",""
"0","6","","omp_psn_dicision_rin","","3","","112511","1060060","","0.1"
"0","6","","omp_psn_dicision_uduki","","3","","112411","1060061","","0.1"
"0","6","","omp_psn_dicision_mio","","3","","112611","1060062","","0.1"
"0","6","","2","0","31","1","2","1060063","","1"
"","6","","","","91","","1060062","1060064","",""
"","6","","","","93","","0.6","1060065","",""
"1600","7","0","105831","-100","1","-205","1","1070001","omp_idle_normal","1.8"
"1600","7","0","105931","-390","1","-225","1","1070002","omp_idle_normal","1.8"
"1500","7","0","106031","-260","1","-190","1","1070003","omp_idle_normal","1.8"
"1500","7","1","112511","250","1","-185","1","1070004","omp_idle_normal","1.8"
"1600","7","1","112411","385","1","-220","1","1070005","omp_idle_normal","1.8"
"1600","7","1","112611","100","1","-195","1","1070006","omp_idle_normal","1.8"
"0","7","","1","0","31","1","1","1070007","","1"
"","7","","","","93","","0.2","1070008","",""
"1","7","","omp_idle_normal","","3","","112611","1070009","","0.1"
"1","7","","omp_talk_normal","","3","","112411","1070010","","0"
"1","7","","omp_idle_normal","","3","","112511","1070011","","0.1"
"1","7","","omp_idle_normal","","3","","105831","1070012","","0.1"
"","7","","","","93","","0.1","1070013","",""
"","7","","","","93","","1","1070014","",""
"0","7","","vo_omp_7007_000","0","21","","vo_omp_7007","1070015","",""
"10","7","","今思うと…最初のゲリラLIVEは\nほんとうにいっぱいいっぱいでしたね","1","11","1","112411","1070016","",""
"","7","","","","91","","0","1070017","",""
"1","7","","omp_idle_normal","","3","","112411","1070018","","0.1"
"1","7","","omp_talk_normal","","3","","105831","1070019","","0.1"
"0","7","","vo_omp_7007_001","0","21","","vo_omp_7007","1070020","",""
"10","7","","緊張してるのが見てて分かりましたよ\nなんだかこっちまで緊張して\nお腹が締め付けられる思いでしたよ～","1","11","1","105831","1070021","",""
"","7","","","","91","","0","1070022","",""
"1","7","","omp_idle_normal","","3","","105831","1070023","","0"
"1","7","","omp_talk_worry","","3","","105931","1070024","","0"
"0","7","","vo_omp_7007_002","0","21","","vo_omp_7007","1070025","",""
"10","7","","ペコリーヌさまの場合は、\n空腹で締め付けられていた\n可能性もありますが…","1","11","1","105931","1070026","",""
"","7","","","","91","","0","1070027","",""
"1","7","","omp_idle_worry","","3","","105931","1070028","","0"
"1","7","","omp_talk_normal","","3","","106031","1070029","","0"
"0","7","","vo_omp_7007_003","0","21","","vo_omp_7007","1070030","",""
"10","7","","まーたしかに、あのときの\nウヅキたちのゲリラLIVEは\nほんとにボロボロだったわね！","1","11","1","106031","1070031","",""
"","7","","","","91","","0","1070032","",""
"1","7","","omp_idle_normal","","3","","106031","1070033","","0"
"1","7","","omp_talk_worry","","3","","112611","1070034","","0"
"0","7","","vo_omp_7007_004","0","21","","vo_omp_7007","1070035","",""
"10","7","","もうっ、キャルキャル～\nあんま言わないでよ～！\n私たちだってわかってるんだからさ～","1","11","1","112611","1070036","",""
"","7","","","","91","","0","1070037","",""
"1","7","","omp_idle_worry","","3","","112611","1070038","","0"
"1","7","","omp_talk_normal2","","3","","105931","1070039","","0"
"0","7","","vo_omp_7007_005","0","21","","vo_omp_7007","1070040","",""
"10","7","","でも、自分たちで立ち上がって\n再び舞台に立つ姿…\nわたくし、感動いたしました","1","11","1","105931","1070041","",""
"","7","","","","91","","0","1070042","",""
"1","7","","omp_idle_calm","","3","","105931","1070043","","0"
"1","7","","omp_talk_normal2","","3","","112511","1070044","","0"
"0","7","","vo_omp_7007_006","0","21","","vo_omp_7007","1070045","",""
