15e81c19ea9876f2285eb7367920e350a2e8f70f6c48d7cc097c5e65cb4fe1d3,5c56b882690bd3f1ce312408efaaa47275a2f6f5a85477749dbee1c559620060,2cb3e9a2950708e550a40414b3f1321a4a64d485bf1042a9b920adce16d2f576,776573175af58cb4feea6b0f89dfb83c6c9d84f824f198268c3a6577fe83fd62,80566eb5889a5b86806e39ccd701825596bb366129293b423343dcc904f533d7,453098daedf93febb1fb91317087174f737d317428fe33a6b2d42a2b1e487556,db3baeb989e5c6a6114ee055d2d036d4e822057c0d4a9391554d092859d79a9d,eb3ae3eecc22aec8a512aad0a92ca92373e19501d40e2696f67e5f76e974fcde,cc4872e63cdcb6c9a582d2b9bfd2b02a816dd91225ca7a9eebcd563c4b5741f4,308acd2f34b908ecf6327a3ea32c628366c071de954495b2debe1d3c8ba605b4,fc993e572e7d77bde0806bdf4eec7698c05361016d47a16882a3ea305a8c2296
"2.5","103","93","","0","","","","103020","",""
"100111","103","3","0","cgg_talk_guts_NoBlink","0","","0.2","103021","cgg_idle_guts","1"
"4","103","93","","0","","","","103022","",""
"1","103","3","0.2","cgg_joy","0","","0.2","103023","cgg_idle_reaction3","1"
"100111","103","3","","cgg_talk_joy2","1","","0.2","103024","",""
"103017","103","91","","","","","","103025","",""
"0.7","103","93","","0","","","","103026","",""
"1","103","3","","cgg_idle_normal","1","","0.2","103027","",""
"100111","103","3","","cgg_idle_def","1","","0.2","103028","",""
"100211","103","3","","cgg_idle_bitter3","1","","0.2","103029","",""
"100211","103","12","","1","1.4","","0.2","103030","",""
"3","103","93","","0","","","","103031","",""
"100211","103","3","","cgg_idle_def","1","","0.2","103032","",""
"1","103","3","0.2","cgg_talk_handsup","0","","0.2","103033","cgg_idle_reaction1","1"
"1","103","12","","10","1.4","","0.2","103034","",""
"3","103","93","","0","","","","103035","",""
"1","103","3","","cgg_idle_normal","1","","0.2","103036","",""
"100111","103","3","","cgg_idle_joy3","1","","0.2","103037","",""
"100111","103","12","","6","1.4","","0.2","103038","",""
"3","103","93","","0","","","","103039","",""
"103028","103","101","","0","","","","103040","",""
"0","103","22","","0.5","","","","103041","",""
"1","103","6","0","1","1","","0.1","103042","1","0"
"100211","103","6","0","1","1","","0.1","103043","1","0"
"100111","103","6","0","1","1","","0.1","103044","1","0"
"0.1","103","93","","0","","","","103045","",""
"1","103","3","","cgg_idle_normal","1","","0","103046","",""
"100211","103","3","","cgg_idle_def","1","","0","103047","",""
"100111","103","3","","cgg_idle_def","1","","0","103048","",""
"1","104","5","0","1","100","cgg_idle_normal","160","104001","-420","-230"
"1","104","1","1","100111","100","cgg_idle_def","1.6","104002","375","-230"
"1","104","1","1","100311","101","cgg_idle_def","1.6","104003","490","-230"
"1","104","6","0","1","1","","0.1","104004","1","1"
"100111","104","6","0","1","1","","0.1","104005","1","1"
"100311","104","6","0","1","1","","0.1","104006","1","1"
"0.2","104","93","","0","","","","104007","",""
"vo_minigame_1007","104","21","","vo_minigame_1007_top_talk_4_007","0","","","104008","0",""
"100111","104","11","0","ねーねーレイさん、\nもっかい引いていい？","5","0","0","104009","0","0"
"1","104","3","","cgg_idle_reaction2","1","","0.2","104010","",""
"100111","104","3","","cgg_talk_joy3_dere","1","","0.2","104011","",""
"2.7","104","93","","0","","","","104012","",""
"1","104","3","0","cgg_talk_guts2","0","","0.2","104013","cgg_idle_guts2","1"
"100111","104","3","","cgg_talk_normal_dere2","1","","0.2","104014","",""
"104009","104","91","","","","","","104015","",""
"vo_minigame_1007","104","21","","vo_minigame_1007_top_talk_4_008","0","","","104016","0",""
"100311","104","11","0","ダメだよヒヨリ。\n次は私の番なんだから\n…ふふ、意外に夢中に\nなってしまうね","5","0","0","104017","0","0"
"1","104","3","","cgg_idle_reaction2","1","","0.2","104018","",""
"100311","104","3","0","cgg_No","0","","0.2","104019","cgg_idle_def","1"
"0.8","104","93","","0","","","","104020","",""
"100111","104","3","","cgg_idle_surprise2","1","","0.2","104021","",""
"0.9","104","93","","0","","","","104022","",""
"1","104","3","0","cgg_surprise2","0","","0.2","104023","cgg_idle_surprise2","1"
"100311","104","3","0","cgg_talk_arm_crossed2","0","","0.2","104024","cgg_idle_arm_crossed2","1"
"2.5","104","93","","0","","","","104025","",""
"100311","104","3","","cgg_idle_bitter","1","","0.2","104026","",""
"2","104","93","","0","","","","104027","",""
"1","104","3","0","cgg_talk_nod","0","","0.2","104028","cgg_idle_nod","1"
"104017","104","91","","","","","","104029","",""
"0.5","104","93","","0","","","","104030","",""
"100311","104","3","","cgg_idle_def","1","","0.2","104031","",""
"1","104","3","","cgg_idle_normal","1","","0.2","104032","",""
"100111","104","3","","cgg_idle_anger","1","","0.2","104033","",""
"100111","104","12","","17","1.4","","0.2","104034","",""
"3","104","93","","0","","","","104035","",""
"100111","104","3","","cgg_idle_def","1","","0.2","104036","",""
"100311","104","3","","cgg_idle_bitter4","1","","0.2","104037","",""
"100311","104","12","","2","1.4","","0.2","104038","",""
"3","104","93","","0","","","","104039","",""
"100311","104","3","","cgg_idle_def","1","","0.2","104040","",""
"1","104","3","","cgg_idle_surprise2","1","","0.2","104041","",""
"1","104","12","","1","1.4","","0.2","104042","",""
"3","104","93","","0","","","","104043","",""
"104032","104","101","","0","","","","104044","",""
"0","104","22","","0.5","","","","104045","",""
"1","104","6","0","1","1","","0.1","104046","1","0"
"100111","104","6","0","1","1","","0.1","104047","1","0"
"100311","104","6","0","1","1","","0.1","104048","1","0"
"0.1","104","93","","0","","","","104049","",""
"1","104","3","","cgg_idle_normal","1","","0","104050","",""
"100111","104","3","","cgg_idle_def","1","","0","104051","",""
"100311","104","3","","cgg_idle_def","1","","0","104052","",""
"1","105","5","0","1","100","cgg_idle_normal","160","105001","-420","-230"
"1","105","1","1","100211","100","cgg_idle_def","1.6","105002","375","-230"
"1","105","1","1","105811","101","cgg_idle_def","1.6","105003","490","-230"
"1","105","6","0","1","1","","0.1","105004","1","1"
"100211","105","6","0","1","1","","0.1","105005","1","1"
"105811","105","6","0","1","1","","0.1","105006","1","1"
"0.2","105","93","","0","","","","105007","",""
"vo_minigame_1007","105","21","","vo_minigame_1007_top_talk_5_009","0","","","105008","0",""
"100211","105","11","0","グッズは種類が\nいっぱいあるから\n全種類揃えるまで\n頑張ろうね！","7","0","0","105009","0","0"
"1","105","3","","cgg_idle_reaction1","1","","0.2","105010","",""
"100211","105","3","","cgg_talk_normal","1","","0.2","105011","",""
"2.4","105","93","","0","","","","105012","",""
"100211","105","3","","cgg_talk_joy3","1","","0.2","105013","",""
"1.1","105","93","","0","","","","105014","",""
"1","105","3","0.2","cgg_talk_handsup","0","","0.2","105015","cgg_idle_reaction1","1"
"105009","105","91","","","","","","105016","",""
"100211","105","3","","cgg_idle_def","1","","0.2","105017","",""
"vo_minigame_1007","105","21","","vo_minigame_1007_top_talk_5_010","0","","","105018","0",""
"105811","105","11","0","集めたグッズは\n棚に飾って、あとで\nじっくり鑑賞です♪\nやばいですね☆","6","0","0","105019","0","0"
"1","105","3","0","cgg_talk_arm_crossed","0","","0.2","105020","cgg_idle_arm_crossed","0"
"105811","105","3","","cgg_talk_joy1","1","","0.2","105021","",""
"5","105","93","","0","","","","105022","",""
"1","105","3","0","cgg_talk_guts2","0","","0.2","105023","cgg_idle_guts2","1"
"105811","105","3","0.2","cgg_jump_def_N","0","","0.2","105024","cgg_idle_def","1"
"105019","105","91","","","","","","105025","",""
"0.5","105","93","","0","","","","105026","",""
"1","105","3","","cgg_idle_normal","1","","0.2","105027","",""
"100211","105","3","","cgg_talk_joy3","1","","0.2","105028","",""
"100211","105","12","","10","1.4","","0.2","105029","",""
"3","105","93","","0","","","","105030","",""
"100211","105","3","","cgg_idle_def","1","","0.2","105031","",""
"105811","105","3","0","cgg_talk_guts_anger","0","","0.2","105032","cgg_idle_guts_anger","1"
"105811","105","12","","4","1.4","","0.2","105033","",""
"3","105","93","","0","","","","105034","",""
"105811","105","3","","cgg_idle_def","1","","0.2","105035","",""
"1","105","3","0","cgg_talk_guts2","0","","0.2","105036","cgg_idle_guts2","1"
"1","105","12","","7","1.4","","0.2","105037","",""
"3","105","93","","0","","","","105038","",""
"105027","105","101","","0","","","","105039","",""
"0","105","22","","0.5","","","","105040","",""
"1","105","6","0","1","1","","0.1","105041","1","0"
"100211","105","6","0","1","1","","0.1","105042","1","0"
"105811","105","6","0","1","1","","0.1","105043","1","0"
"0.1","105","93","","0","","","","105044","",""
"1","105","3","","cgg_idle_normal","1","","0","105045","",""
"100211","105","3","","cgg_idle_def","1","","0","105046","",""
"105811","105","3","","cgg_idle_def","1","","0","105047","",""
"1","106","5","0","1","100","cgg_idle_normal","160","106001","-420","-230"
"1","106","1","1","110911","100","cgg_idle_def","1.6","106002","420","-230"
"1","106","6","0","1","1","","0.1","106003","1","1"
"110911","106","6","0","1","1","","0.1","106004","1","1"
"0.2","106","93","","0","","","","106005","",""
"vo_minigame_1007","106","21","","vo_minigame_1007_top_talk_6_011","0","","","106006","0",""
"110911","106","11","0","え…うそでしょ先輩…\nカルミナグッズまだ\nフルコンしてないとか\nありえないんですけど","6","0","0","106007","0","0"
"1","106","3","","cgg_idle_reaction2","1","","0.2","106008","",""
"110911","106","3","","cgg_shock","0","","0.2","106009","",""
"1","106","93","","0","","","","106010","",""
"110911","106","3","","cgg_idle_bitter2","1","","0.2","106011","",""
"4.2","106","93","","0","","","","106012","",""
"1","106","3","0","cgg_shock","0","","0.2","106013","cgg_idle_shock","1"
"106007","106","91","","","","","","106014","",""
"vo_minigame_1007","106","21","","vo_minigame_1007_top_talk_6_012","0","","","106015","0",""
"110911","106","11","0","いい加減にして下さい\n呑気に一般美少女と\n話してる暇があったら\nほら、早く回す！","6","0","0","106016","0","0"
"110911","106","3","0","cgg_talk_tsun_pain","1","","0.2","106017","","1"
"0.7","106","93","","0","","","","106018","",""
"1","106","3","0","cgg_surprise2","0","","0.2","106019","cgg_idle_surprise2","1"
"1.3","106","93","","0","","","","106020","",""
"110911","106","3","0","cgg_talk_joy1_sad","1","","0.2","106021","","1"
"3","106","93","","0","","","","106022","",""
"110911","106","3","","cgg_talk_guts_anger","0","","0.2","106023","cgg_idle_guts_anger","1"
"0.7","106","93","","0","","","","106024","",""
"1","106","3","0","cgg_talk_guts2","0","","0.2","106025","cgg_idle_guts2","1"
"106016","106","91","","","","","","106026","",""
"0.5","106","93","","0","","","","106027","",""
"110911","106","3","","cgg_idle_def","1","","0.2","106028","",""
"1","106","3","0","cgg_talk_doya","0","","0.2","106029","cgg_idle_doya","1"
"1","106","12","","6","1.4","","0.2","106030","",""
"3","106","93","","0","","","","106031","",""
"1","106","3","","cgg_idle_normal","1","","0.2","106032","",""
"110911","106","3","0","cgg_talk_guts_anger","0","","0.2","106033","cgg_idle_guts_anger","1"
"110911","106","12","","11","1.4","","0.2","106034","",""
"3","106","93","","0","","","","106035","",""
"110911","106","3","","cgg_idle_def","1","","0.2","106036","",""
"1","106","3","0","cgg_surprise1","0","","0.2","106037","cgg_idle_surprise1","1"
"1","106","12","","4","1.4","","0.2","106038","",""
"3","106","93","","0","","","","106039","",""
"1","106","3","","cgg_idle_normal","1","","0.2","106040","",""
"110911","106","3","","cgg_talk_joy3_blink","1","","0.2","106041","",""
"110911","106","12","","10","1.4","","0.2","106042","",""
"3","106","93","","0","","","","106043","",""
"106028","106","101","","0","","","","106044","",""
"0","106","22","","0.5","","","","106045","",""
"1","106","6","0","1","1","","0.1","106046","1","0"
"110911","106","6","0","1","1","","0.1","106047","1","0"
"0.1","106","93","","0","","","","106048","",""
"1","106","3","","cgg_idle_normal","1","","0","106049","",""
"110911","106","3","","cgg_idle_def","1","","0","106050","",""
"1","201","5","0","1","100","cgg_idle_normal","160","201001","-420","-230"
"1","201","1","1","100411","100","cgg_idle_def","1.6","201002","420","-230"
"1","201","6","0","1","1","","0.1","201003","1","1"
"100411","201","6","0","1","1","","0.1","201004","1","1"
"0.2","201","93","","0","","","","201005","",""
"vo_minigame_1007","201","21","","vo_minigame_1007_top_talk_7_013","0","","","201006","0",""
"100411","201","11","0","ねぇねぇにいちゃん！\nグッズが半分くらい\n集まってるよ！\nあとちょっとだね！","7","0","0","201007","0","0"
"1","201","3","","cgg_idle_reaction2","1","","0.2","201008","",""
"100411","201","3","","cgg_talk_joy1_normal","1","","0.2","201009","",""
"1.3","201","93","","0","","","","201010","",""
"1","201","3","0","cgg_talk_doya","0","","0.2","201011","cgg_idle_doya","1"
"100411","201","3","","cgg_talk_surprise_kira","1","","0.2","201012","",""
"2.7","201","93","","0","","","","201013","",""
"1","201","3","0.2","cgg_talk_handsup","0","","0.2","201014","cgg_idle_reaction1","1"
"100411","201","3","0","cgg_talk_guts","0","","0.2","201015","cgg_idle_guts","1"
"201007","201","91","","","","","","201016","",""
"0.5","201","93","","0","","","","201017","",""
"100411","201","3","","cgg_idle_def","1","","0.2","201018","",""
"1","201","3","","cgg_idle_surprise3","1","","0.2","201019","",""
"1","201","12","","6","1.4","","0.2","201020","",""
"3","201","93","","0","","","","201021","",""
"1","201","3","","cgg_idle_normal","1","","0.2","201022","",""
"100411","201","3","","cgg_talk_surprise_kira","1","","0.2","201023","",""
"100411","201","12","","7","1.4","","0.2","201024","",""
"3","201","93","","0","","","","201025","",""
"100411","201","3","","cgg_idle_def","1","","0.2","201026","",""
"1","201","3","0","cgg_talk_handsup","0","","0.2","201027","cgg_idle_reaction1","1"
"1","201","12","","11","1.4","","0.2","201028","",""
"3","201","93","","0","","","","201029","",""
"1","201","3","","cgg_idle_normal","1","","0.2","201030","",""
"100411","201","3","","cgg_talk_joy1","1","","0.2","201031","",""
"100411","201","12","","10","1.4","","0.2","201032","",""
"3","201","93","","0","","","","201033","",""
"201018","201","101","","0","","","","201034","",""
"0","201","22","","0.5","","","","201035","",""
"1","201","6","0","1","1","","0.1","201036","1","0"
"100411","201","6","0","1","1","","0.1","201037","1","0"
"0.1","201","93","","0","","","","201038","",""
"1","201","3","","cgg_idle_normal","1","","0","201039","",""
"100411","201","3","","cgg_idle_def","1","","0","201040","",""
"1","202","5","0","1","100","cgg_idle_normal","160","202001","-420","-230"
"1","202","1","1","102011","100","cgg_idle_def","1.6","202002","420","-230"
"1","202","6","0","1","1","","0.1","202003","1","1"
"102011","202","6","0","1","1","","0.1","202004","1","1"
"0.2","202","93","","0","","","","202005","",""
"vo_minigame_1007","202","21","","vo_minigame_1007_top_talk_8_014","0","","","202006","0",""
"102011","202","11","0","すごいね～♪\n全部そろったところが\n見てみたいな～♪","5","0","0","202007","0","0"
"1","202","3","","cgg_idle_reaction1","1","","0.2","202008","",""
"102011","202","3","","cgg_talk_joy3","1","","0.2","202009","",""
"2","202","93","","0","","","","202010","",""
"1","202","3","","cgg_idle_nod","1","","0.2","202011","",""
"102011","202","3","","cgg_talk_wish","1","","0.2","202012","",""
"202007","202","91","","","","","","202013","",""
"0.5","202","93","","0","","","","202014","",""
"102011","202","3","","cgg_idle_def","1","","0.2","202015","",""
"1","202","3","","cgg_idle_reaction3","1","","0.2","202016","",""
"1","202","12","","6","1.4","","0.2","202017","",""
"3","202","93","","0","","","","202018","",""
"1","202","3","","cgg_idle_normal","1","","0.2","202019","",""
"102011","202","3","","cgg_talk_joy1_normal","1","","0.2","202020","",""
"102011","202","12","","11","1.4","","0.2","202021","",""
"3","202","93","","0","","","","202022","",""
"102011","202","3","","cgg_idle_def","1","","0.2","202023","",""
"1","202","3","0","cgg_talk_guts2","0","","0.2","202024","cgg_idle_guts2","1"
"1","202","12","","11","1.4","","0.2","202025","",""
"3","202","93","","0","","","","202026","",""
"1","202","3","","cgg_idle_normal","1","","0.2","202027","",""
"102011","202","3","","cgg_talk_joy3","1","","0.2","202028","",""
"102011","202","12","","7","1.4","","0.2","202029","",""
"3","202","93","","0","","","","202030","",""
"202015","202","101","","0","","","","202031","",""
"0","202","22","","0.5","","","","202032","",""
"1","202","6","0","1","1","","0.1","202033","1","0"
"102011","202","6","0","1","1","","0.1","202034","1","0"
"0.1","202","93","","0","","","","202035","",""
"1","202","3","","cgg_idle_normal","1","","0","202036","",""
"102011","202","3","","cgg_idle_def","1","","0","202037","",""
"1","203","5","0","1","100","cgg_idle_normal","160","203001","-420","-230"
"1","203","1","1","103611","100","cgg_idle_def","1.6","203002","420","-230"
"1","203","6","0","1","1","","0.1","203003","1","1"
"103611","203","6","0","1","1","","0.1","203004","1","1"
"0.2","203","93","","0","","","","203005","",""
"vo_minigame_1007","203","21","","vo_minigame_1007_top_talk_9_015","0","","","203006","0",""
"103611","203","11","0","あと少しですね\n全部揃えられたら\n褒めてあげます\n…頑張ってください","6","0","0","203007","0","0"
"1","203","3","0","cgg_talk_arm_crossed","0","","0.2","203008","cgg_idle_arm_crossed","1"
"103611","203","3","","cgg_talk_normal","1","","0.2","203009","",""
"1.9","203","93","","0","","","","203010","",""
"1","203","3","","cgg_idle_surprise1","1","","0.2","203011","",""
"103611","203","3","","cgg_talk_joy3_blink","1","","0.2","203012","",""
"3.1","203","93","","0","","","","203013","",""
"1","203","3","0","cgg_talk_guts2","0","","0.2","203014","cgg_idle_guts2","1"
"103611","203","3","","cgg_talk_surprise_dere","1","","0.2","203015","",""
"203007","203","91","","","","","","203016","",""
"0.5","203","93","","0","","","","203017","",""
"103611","203","3","","cgg_idle_def","1","","0.2","203018","",""
"1","203","3","0","cgg_talk_nod","0","","0.2","203019","cgg_idle_nod","1"
"1","203","12","","6","1.4","","0.2","203020","",""
"3","203","93","","0","","","","203021","",""
"1","203","3","","cgg_idle_normal","1","","0.2","203022","",""
"103611","203","3","","cgg_talk_joy1","1","","0.2","203023","",""
"103611","203","12","","10","1.4","","0.2","203024","",""
"3","203","93","","0","","","","203025","",""
"103611","203","3","","cgg_idle_def","1","","0.2","203026","",""
"1","203","3","0","cgg_talk_guts1","0","","0.2","203027","cgg_idle_guts1","1"
"1","203","12","","4","1.4","","0.2","203028","",""
"3","203","93","","0","","","","203029","",""
"1","203","3","","cgg_idle_normal","1","","0.2","203030","",""
"103611","203","3","","cgg_talk_joy3_dere","1","","0.2","203031","",""
"103611","203","12","","7","1.4","","0.2","203032","",""
"3","203","93","","0","","","","203033","",""
"203018","203","101","","0","","","","203034","",""
"0","203","22","","0.5","","","","203035","",""
"1","203","6","0","1","1","","0.1","203036","1","0"
"103611","203","6","0","1","1","","0.1","203037","1","0"
"0.1","203","93","","0","","","","203038","",""
"1","203","3","","cgg_idle_normal","1","","0","203039","",""
"103611","203","3","","cgg_idle_def","1","","0","203040","",""
"1","204","5","0","1","100","cgg_idle_normal","160","204001","-420","-230"
"1","204","1","1","102811","100","cgg_idle_def","1.6","204002","420","-230"
"1","204","6","0","1","1","","0.1","204003","1","1"
"102811","204","6","0","1","1","","0.1","204004","1","1"
"0.2","204","93","","0","","","","204005","",""
"vo_minigame_1007","204","21","","vo_minigame_1007_top_talk_10_016","0","","","204006","0",""
"102811","204","11","0","こんなに\nグッズ集めたの？\nやるわね…あたしも\n集めようかしら","6","0","0","204007","0","0"
"1","204","3","0","cgg_talk_doya","0","","0.2","204008","cgg_idle_doya","1"
"102811","204","3","0","cgg_surprise","0","","0.2","204009","cgg_talk_surprise1","1"
"2.5","204","93","","0","","","","204010","",""
"1","204","3","","cgg_idle_reaction5","1","","0.2","204011","",""
"102811","204","3","","cgg_talk_bitter","1","","0.2","204012","",""
"204007","204","91","","","","","","204013","",""
"0.5","204","93","","0","","","","204014","",""
"102811","204","3","","cgg_idle_def","1","","0.2","204015","",""
"1","204","3","0","cgg_talk_doya","0","","0.2","204016","cgg_idle_doya","1"
"1","204","12","","6","1.4","","0.2","204017","",""
"3","204","93","","0","","","","204018","",""
"1","204","3","","cgg_idle_normal","1","","0.2","204019","",""
