f18d00875c2cbe4fecaa3c05f8f8302472ad54d64a760eec9f91430b358b4e87,ad421e88670ca2ad7b5b60a5f55ff4a30bd2bbfcca8d66c97e88c4c7ce95e640,17b87a3bdd564c2e3bf2fdbe83dee08008244719c12d9edc95291a7b30ee1ca0,7f172199b925597204d089f5c28d2f3e197233271fb1346ab36f7a025dee2125,ff978e5be7af947990051ee295ce0dc4a7a6923a6b210a0b582b1a75dd3a79a3,67aed75f644f3a81cb5352695f3ea9ff08f5d24f60a83b33237d5b3779fe3b48,70fdbfbc3eff3cc222b1c42d7b732ce588a6b7086f905894ae6b94127f5732d6,299a7762eaa15c3bac3b261486292d965a344bbb30b9bb9986a0fa5e7407de84,ee0089d91c0d260699fd1c5bb8b62843965cf794322c3f632338bf6528383275,d84bc94076efc85953fb4f195381191d5afc53f95384ee507a1943e7648b6c4f,a85fdd37f319bd44f28313d54303c44765a321bde793c4b2faad4f1467ba1660
"2024年バレンタイン記念プレゼント","1","40013","3","0","2024/02/14 5:00:00","40013","0","2024/03/01 4:59:59","0","4"
"銀だこハイボール酒場コラボログインキャンペーン","2","40014","2","0","2024/08/14 5:00:00","40014","0","2024/09/11 4:59:59","0","4"
"カムバックログインボーナス","5","40015","3","0","2024/08/10 5:00:00","40015","0","2099/01/01 23:59:00","0","4"
"ゾンビランドサガ コラボログインボーナス","1","40016","2","0","2025/10/24 5:00:00","40016","0","2025/11/24 11:59:59","0","4"
"復刻デレマスコラボ開催記念 スタンプログインキャンペーン","5","40009","2","0","2025/12/10 5:00:00","40017","0","2025/12/21 4:59:59","0","4"
"プリコネフェス2026開催記念 ログインキャンペーン","5","40018","3","0","2026/02/11 5:00:00","40018","0","2026/03/01 4:59:59","0","4"
"コネクトRANK応援 特別ログインボーナス","8","40019","3","0","2026/03/01 5:00:00","40019","0","2026/03/16 5:00:00","0","4"
"ガルパンコラボ記念 ログインキャンペーン その1","5","40020","2","0","2026/04/30 5:00:00","40020","0","2026/05/22 4:59:59","0","4"
"謹賀新年 お正月ログインボーナス","7","500553","0","1","2019/01/01 5:00:00","60000","0","2019/01/11 4:59:59","0","6"
"謹賀新年 お正月ログインボーナス","7","500553","0","1","2020/01/01 5:00:00","60001","0","2020/01/11 4:59:59","0","6"
"謹賀新年 お正月ログインボーナス","7","500553","0","1","2021/01/01 5:00:00","60002","0","2021/01/11 4:59:59","0","6"
"謹賀新年 お正月ログインボーナス","7","500553","0","1","2022/01/01 5:00:00","60003","0","2022/01/11 4:59:59","0","6"
"謹賀新年 お正月ログインボーナス","7","500553","0","1","2023/01/01 5:00:00","60004","0","2023/01/11 4:59:59","0","6"
"謹賀新年 お正月ログインボーナス","7","500553","0","1","2024/01/01 5:00:00","60005","0","2024/01/11 4:59:59","0","6"
"謹賀新年 お正月ログインボーナス","5","500553","0","1","2025/01/01 5:00:00","60006","0","2025/01/11 4:59:59","0","6"
"謹賀新年 お正月ログインボーナス","5","500553","0","1","2026/01/01 5:00:00","60007","0","2026/01/11 4:59:59","0","6"
"クリスマスログインボーナス","2","500160","0","0","2018/12/24 5:00:00","70000","1","2018/12/26 4:59:59","0","7"
"あけおめログインボーナス","3","500160","0","0","2019/01/01 5:00:00","70001","2","2019/01/04 4:59:59","0","7"
"クリスマスログインボーナス","2","500160","0","0","2019/12/24 5:00:00","70002","1","2019/12/26 4:59:59","0","7"
"三が日特別ログインボーナス","3","500160","0","0","2020/01/01 5:00:00","70003","2","2020/01/04 4:59:59","0","7"
"クリスマスログインボーナス","2","500160","0","0","2020/12/24 5:00:00","70004","1","2020/12/26 4:59:59","0","7"
"三が日特別ログインボーナス","3","500160","0","0","2021/01/01 5:00:00","70005","2","2021/01/04 4:59:59","0","7"
"クリスマスログインボーナス","2","500160","0","0","2021/12/24 5:00:00","70006","1","2021/12/26 4:59:59","0","7"
"三が日特別ログインボーナス","3","500160","0","0","2022/01/01 5:00:00","70007","2","2022/01/04 4:59:59","0","7"
"クリスマスログインボーナス","2","500160","0","0","2022/12/24 5:00:00","70008","1","2022/12/26 4:59:59","0","7"
"元日特別ログインボーナス","1","500160","0","0","2023/01/01 5:00:00","70009","2","2023/01/04 4:59:59","0","7"
"クリスマスログインボーナス","1","500160","0","0","2023/12/24 5:00:00","70010","1","2023/12/25 4:59:59","0","7"
"元日特別ログインボーナス","1","500160","0","0","2024/01/01 5:00:00","70011","2","2024/01/04 4:59:59","0","7"
"クリスマスログインボーナス","1","500160","0","0","2023/12/25 5:00:00","70012","1","2023/12/26 4:59:59","0","7"
"元日特別ログインボーナス","1","500160","0","0","2025/01/01 5:00:00","70013","2","2025/01/04 4:59:59","0","7"
"クリスマスログインボーナス","1","500160","0","0","2024/12/24 5:00:00","70014","1","2024/12/25 4:59:59","0","7"
"クリスマスログインボーナス","1","500160","0","0","2024/12/25 5:00:00","70015","1","2024/12/26 4:59:59","0","7"
"『AIだ！勇気だ！ギガンティックローチェ』MV閲覧","1","500160","0","0","2025/03/31 12:00:00","70016","1","2025/04/23 4:59:59","0","7"
"クリスマスログインボーナス","1","500160","0","0","2025/12/24 5:00:00","70017","1","2025/12/25 4:59:59","0","7"
"クリスマスログインボーナス","1","500160","0","0","2025/12/25 5:00:00","70018","1","2025/12/26 4:59:59","0","7"
"元日特別ログインボーナス","1","500160","0","0","2026/01/01 5:00:00","70019","2","2026/01/04 4:59:59","0","7"
"1st Anniversary カウントダウンログインボーナス","15","0","0","0","2019/01/31 5:00:00","80001","0","2019/02/15 4:59:59","1","8"
"2nd Anniversary カウントダウンログインボーナス","15","80002","4","0","2020/01/31 5:00:00","80002","0","2020/02/15 4:59:59","0","4"
"2.5 Year Anniversary カウントダウンログインボーナス","15","0","0","0","2020/08/01 5:00:00","80003","0","2020/08/16 4:59:59","1","8"
"3rd Anniversary カウントダウンログインボーナス","17","0","0","0","2021/01/30 5:00:00","80004","1","2021/02/16 4:59:59","1","10"
"3.5 Year Anniversary カウントダウンログインボーナス","15","0","0","0","2021/08/01 5:00:00","80005","0","2021/08/16 4:59:59","1","8"
"4th Anniversary カウントダウンログインボーナス","17","0","0","0","2022/01/30 5:00:00","80006","1","2022/02/16 4:59:59","1","10"
"4.5 Year Anniversary カウントダウンログインボーナス","15","0","0","0","2022/08/01 5:00:00","80007","1","2022/08/16 4:59:59","1","10"
"5th Anniversary カウントダウンログインボーナス","16","0","0","0","2023/01/31 5:00:00","80008","1","2023/02/16 4:59:59","1","10"
"5.5 Year Anniversary カウントダウンログインボーナス","15","0","0","0","2023/08/01 5:00:00","80009","1","2023/08/16 4:59:59","1","10"
"6th Anniversary カウントダウンログインボーナス","16","0","0","0","2024/01/31 5:00:00","80010","1","2024/02/16 4:59:59","1","10"
"6.5 Year Anniversary カウントダウンログインボーナス","15","0","0","0","2024/08/01 5:00:00","80011","1","2024/08/16 4:59:59","1","10"
"7th Year Anniversary カウントダウンログインボーナス","8","0","0","0","2025/02/08 5:00:00","80012","1","2025/02/16 4:59:59","1","10"
"7.5 Year Anniversary カウントダウンログインボーナス","5","0","0","0","2025/08/08 5:00:00","80013","0","2025/08/13 4:59:59","1","8"
"7.5 Year Anniversary カウントダウンログインボーナス","3","0","0","0","2025/08/13 5:00:00","80014","1","2025/08/16 4:59:59","1","10"
"8th Anniversary カウントダウンログインボーナス","4","0","0","0","2026/02/08 5:00:00","80015","0","2026/02/12 4:59:59","1","8"
"8th Anniversary カウントダウンログインボーナス","4","0","0","0","2026/02/12 5:00:00","80016","1","2026/02/16 4:59:59","1","10"
