07f5eb485f5822eacf7d36def62c05113a75cfa8528cd222cab613987d1f53f9,bd127cbe9d6a075823da73ea7f6bd3c6a82d3ec8c4f97a04706b5fad121c9dfe,bad6b2432b300fc829d83cbe0cc4cd747ff80e8c9ed22491df7eccc266d3a05d,038e0ca519f62b82909069627ff5d994e853bb207c4e99bd16b935dcc0c2c94b,1ce432238962dd0c7a842a10fe9d7c3d212816109dc049445bc2a7d38dd5d2a9
"140","2","10","31052","9105202"
"141","2","10","31034","9103402"
"142","2","10","31070","9107002"
"143","2","10","31058","9105803"
"144","2","10","31020","9102003"
"145","2","10","31002","9100203"
"146","2","10","31055","9105503"
"147","2","10","31016","9101603"
"148","2","10","31067","9106703"
"149","2","10","31044","9104403"
"150","2","10","31023","9102303"
"151","2","10","31059","9105903"
"152","2","10","31042","9104203"
"153","2","10","31040","9104003"
"154","2","10","31021","9102103"
"155","2","10","31063","9106303"
"156","2","10","31065","9106503"
"157","2","10","31009","9100903"
"158","2","10","31017","9101703"
"159","2","10","31056","9105603"
"160","2","10","31068","9106803"
"161","2","10","31053","9105303"
"162","2","10","31027","9102703"
"163","2","10","31108","9110803"
"164","2","10","31043","9104303"
"165","2","10","31004","9100403"
"166","2","10","31037","9103703"
"167","2","10","31061","9106103"
"168","2","10","31018","9101803"
"169","2","10","31013","9101303"
"170","2","10","31011","9101103"
"171","2","10","31001","9100103"
"172","2","10","31030","9103003"
"173","2","10","31060","9106003"
"174","2","10","31015","9101503"
"175","2","10","31054","9105403"
"176","2","10","31185","9118503"
"177","2","10","31109","9110903"
"178","2","10","31180","9118003"
"179","2","10","31010","9101003"
"180","2","10","31066","9106603"
"181","2","10","31028","9102803"
"182","2","10","31008","9100803"
"183","2","10","31049","9104903"
"184","2","10","31047","9104703"
"185","2","10","31038","9103803"
"186","2","10","31014","9101403"
"187","2","10","31094","9109403"
"188","2","10","31048","9104803"
"189","2","10","31045","9104503"
"190","2","10","31022","9100603"
"191","2","10","31006","9100603"
"192","2","10","31005","9100503"
"193","2","10","31092","9109203"
"194","2","10","31025","9102503"
"195","2","10","31064","9106403"
"196","2","10","31031","9103103"
"197","2","10","31012","9101203"
"198","2","10","31181","9118103"
"199","2","10","31026","9102603"
"200","2","10","31050","9105003"
"201","2","10","31003","9100303"
"202","2","10","31007","9100703"
"203","2","10","31029","9102903"
"204","2","10","31036","9103603"
"205","2","10","31093","9109303"
"206","2","10","31071","9107103"
"207","2","10","31230","9123003"
"208","2","10","31110","9111003"
"209","2","10","31046","9104603"
"210","2","10","31033","9103303"
"211","2","10","31051","9105103"
"212","2","10","31057","9105703"
"213","2","10","31032","9103203"
"214","2","10","31052","9105203"
"215","2","10","31034","9103403"
"216","2","10","31070","9107003"
