ef604054ba592ac93e32f3d0c9274bb8d22e0d91609445baaaa72fd2798e504f,d7ce78c630a9921f7fbfc9c0b5121d19d5cb2f66bec99947389e48db955e6ac1,39369ba6cbffc21744ab043275be53c8a36d0d8282b74a3a59a91917ca571f65,18fe3a4e7a4cf49839e01e21086fc12387915e101f3b03eaf3ed386b42e1759f,887d5f1cef5f3e768ca92865237224c4643419e6ee5a554d9231516afd057959,b174c5e4459e1d31fbe6de11e3daeff36f9f4d6b5f5e814c30e59f0b02fbc164,b93b6d0be07fca9927bf101ba599f3276adb21328ad0573ea9f55d87f2d30ee8
"924093101","0","0","0","0","924093100","2409012"
"924093201","0","0","0","0","924093200","2409013"
"924093301","0","0","0","0","924093300","2409014"
"924093401","0","0","0","0","924093400","2409015"
"924100101","924100102","924100105","924100103","924100104","924100100","2410001"
"924100201","924100202","924100205","924100203","924100204","924100200","2410002"
"924100301","924100302","924100305","924100303","924100304","924100300","2410003"
"924101101","0","0","0","0","924101100","2410004"
"924101201","0","0","0","0","924101200","2410005"
"924101301","0","0","0","0","924101300","2410006"
"924101401","0","0","0","0","924101400","2410007"
"924102101","0","0","0","0","924102100","2410008"
"924102201","0","0","0","0","924102200","2410009"
"924102301","0","0","0","0","924102300","2410010"
"924102401","0","0","0","0","924102400","2410011"
"924103101","0","0","0","0","924103100","2410012"
"924103201","0","0","0","0","924103200","2410013"
"924103301","0","0","0","0","924103300","2410014"
"924103401","0","0","0","0","924103400","2410015"
"924110101","924110102","924110105","924110103","924110104","924110100","2411001"
"924110201","924110202","924110205","924110203","924110204","924110200","2411002"
"924110301","924110302","924110305","924110303","924110304","924110300","2411003"
"924111101","0","0","0","0","924111100","2411004"
"924111201","0","0","0","0","924111200","2411005"
"924111301","0","0","0","0","924111300","2411006"
"924111401","0","0","0","0","924111400","2411007"
"924112101","0","0","0","0","924112100","2411008"
"924112201","0","0","0","0","924112200","2411009"
"924112301","0","0","0","0","924112300","2411010"
"924112401","0","0","0","0","924112400","2411011"
"924113101","0","0","0","0","924113100","2411012"
"924113201","0","0","0","0","924113200","2411013"
"924113301","0","0","0","0","924113300","2411014"
"924113401","0","0","0","0","924113400","2411015"
"924120101","924120102","924120105","924120103","924120104","924120100","2412001"
"924120201","924120202","924120205","924120203","924120204","924120200","2412002"
"924120301","924120302","924120305","924120303","924120304","924120300","2412003"
"924121101","0","0","0","0","924121100","2412004"
"924121201","0","0","0","0","924121200","2412005"
"924121301","0","0","0","0","924121300","2412006"
"924121401","0","0","0","0","924121400","2412007"
"924122101","0","0","0","0","924122100","2412008"
"924122201","0","0","0","0","924122200","2412009"
"924122301","0","0","0","0","924122300","2412010"
"924122401","0","0","0","0","924122400","2412011"
"924123101","0","0","0","0","924123100","2412012"
"924123201","0","0","0","0","924123200","2412013"
"924123301","0","0","0","0","924123300","2412014"
"924123401","0","0","0","0","924123400","2412015"
"924140101","924140102","924140105","924140103","924140104","924140100","2414001"
"924140201","924140202","924140205","924140203","924140204","924140200","2414002"
"924140301","924140302","924140305","924140303","924140304","924140300","2414003"
"924141101","0","0","0","0","924141100","2414004"
"924141201","0","0","0","0","924141200","2414005"
"924141301","0","0","0","0","924141300","2414006"
"924141401","0","0","0","0","924141400","2414007"
"924142101","0","0","0","0","924142100","2414008"
"924142201","0","0","0","0","924142200","2414009"
"924142301","0","0","0","0","924142300","2414010"
"924142401","0","0","0","0","924142400","2414011"
"924143101","0","0","0","0","924143100","2414012"
"924143201","0","0","0","0","924143200","2414013"
"924143301","0","0","0","0","924143300","2414014"
"924143401","0","0","0","0","924143400","2414015"
"924150101","924150102","924150105","924150103","924150104","924150100","2415001"
"924150201","924150202","924150205","924150203","924150204","924150200","2415002"
"924150301","924150302","924150305","924150303","924150304","924150300","2415003"
"924151101","0","0","0","0","924151100","2415004"
"924151201","0","0","0","0","924151200","2415005"
"924151301","0","0","0","0","924151300","2415006"
"924151401","0","0","0","0","924151400","2415007"
"924152101","0","0","0","0","924152100","2415008"
"924152201","0","0","0","0","924152200","2415009"
"924152301","0","0","0","0","924152300","2415010"
"924152401","0","0","0","0","924152400","2415011"
"924153101","0","0","0","0","924153100","2415012"
"924153201","0","0","0","0","924153200","2415013"
"924153301","0","0","0","0","924153300","2415014"
"924153401","0","0","0","0","924153400","2415015"
"924160101","924160102","924160105","924160103","924160104","924160100","2416001"
"924160201","924160202","924160205","924160203","924160204","924160200","2416002"
"924160301","924160302","924160305","924160303","924160304","924160300","2416003"
"924161101","0","0","0","0","924161100","2416004"
"924161201","0","0","0","0","924161200","2416005"
"924161301","0","0","0","0","924161300","2416006"
"924161401","0","0","0","0","924161400","2416007"
"924162101","0","0","0","0","924162100","2416008"
"924162201","0","0","0","0","924162200","2416009"
"924162301","0","0","0","0","924162300","2416010"
"924162401","0","0","0","0","924162400","2416011"
"924163101","0","0","0","0","924163100","2416012"
"924163201","0","0","0","0","924163200","2416013"
"924163301","0","0","0","0","924163300","2416014"
"924163401","0","0","0","0","924163400","2416015"
"924170101","924170102","924170105","924170103","924170104","924170100","2417001"
"924170201","924170202","924170205","924170203","924170204","924170200","2417002"
"924170301","924170302","924170305","924170303","924170304","924170300","2417003"
"924171101","0","0","0","0","924171100","2417004"
"924171201","0","0","0","0","924171200","2417005"
"924171301","0","0","0","0","924171300","2417006"
"924171401","0","0","0","0","924171400","2417007"
"924172101","0","0","0","0","924172100","2417008"
"924172201","0","0","0","0","924172200","2417009"
"924172301","0","0","0","0","924172300","2417010"
"924172401","0","0","0","0","924172400","2417011"
"924173101","0","0","0","0","924173100","2417012"
"924173201","0","0","0","0","924173200","2417013"
"924173301","0","0","0","0","924173300","2417014"
"924173401","0","0","0","0","924173400","2417015"
"924180101","924180102","924180105","924180103","924180104","924180100","2418001"
"924180201","924180202","924180205","924180203","924180204","924180200","2418002"
"924180301","924180302","924180305","924180303","924180304","924180300","2418003"
"924181101","0","0","0","0","924181100","2418004"
"924181201","0","0","0","0","924181200","2418005"
"924181301","0","0","0","0","924181300","2418006"
"924181401","0","0","0","0","924181400","2418007"
"924182101","0","0","0","0","924182100","2418008"
"924182201","0","0","0","0","924182200","2418009"
"924182301","0","0","0","0","924182300","2418010"
"924182401","0","0","0","0","924182400","2418011"
"924183101","0","0","0","0","924183100","2418012"
"924183201","0","0","0","0","924183200","2418013"
"924183301","0","0","0","0","924183300","2418014"
"924183401","0","0","0","0","924183400","2418015"
"925010101","925010102","925010105","925010103","925010104","925010100","2501001"
"925010201","925010202","925010205","925010203","925010204","925010200","2501002"
"925010301","925010302","925010305","925010303","925010304","925010300","2501003"
"925011101","0","0","0","0","925011100","2501004"
"925011201","0","0","0","0","925011200","2501005"
"925011301","0","0","0","0","925011300","2501006"
"925011401","0","0","0","0","925011400","2501007"
"925012101","0","0","0","0","925012100","2501008"
"925012201","0","0","0","0","925012200","2501009"
"925012301","0","0","0","0","925012300","2501010"
"925012401","0","0","0","0","925012400","2501011"
"925013101","0","0","0","0","925013100","2501012"
"925013201","0","0","0","0","925013200","2501013"
"925013301","0","0","0","0","925013300","2501014"
"925013401","0","0","0","0","925013400","2501015"
