b6fce50b4ea5f9a575eb0bbb73ececfa50df6b638c2f23d2b2d6792d27c2e8f0,91f1e900b071e17228508ccf83cc230e4ad787802043c1e1f5ed13e6f9f94c43,e426c05212ef341961c6279356b1e9d30ccef2289c37a720f5a4971e05cf5449,2709bfc973e44ccdf4570b8dda452b2ab824fee754707f7f40e56f7a0c4c6bf0,99b15024bfeb5d160de6cea837fc92a5e036674a42bfbc8bdb472c32a6595dc9,24c47ec788188144408439859a88541f9fe75afef5918cd243415aa5a3845500,c79def9743e7fa5effa9985d2c48095d768eb0a7e8be13a42854a2f9ce92360c,0638de18c1631d8f8f59e7b6e433feefaaa7eb3eddc0e6c6e25d442c64cb6486,e532619665b228952f8e12b50904a64a2504eca7c40408b38c58e6d3ba1460c4,7a5398078cfb88773d89b4a5dafabe8f7efa2427ca626b1ba91e7271954ca2ab
"","vo_10011600","0","vo_10011600_0301","3","0","2","0","1","1030001"
"　やっちゃった。","0","0","0","3","0","1","8","2","1030002"
"","0","3","0","3","1","4","0","3","1030003"
"","vo_10011600","0","vo_10011600_0302","3","0","2","0","4","1030004"
"　自己紹介というぼっちの前に立ちふさがる巨大な壁。","0","0","0","3","0","1","8","5","1030005"
"","0","5.125","0","3","1","4","0","6","1030006"
"","vo_10011600","0","vo_10011600_0303","3","0","2","0","7","1030007"
"　何度もイメージトレーニングしたのに、","0","0","0","3","0","1","8","8","1030008"
"","0","2.625","0","3","1","4","0","9","1030009"
"ものの見事に玉砕しちゃった。","0","0","0","3","0","1","8","10","1030010"
"","0","2.75","0","3","1","4","0","11","1030011"
"","vo_10011600","0","vo_10011600_0304","3","0","2","0","12","1030012"
"　クラスメイトのみんなの目がこっちを向いた瞬間、","0","0","0","3","0","1","8","13","1030013"
"","0","3.5","0","3","1","4","0","14","1030014"
"頭の中は真っ白、","0","0","0","3","0","1","8","15","1030015"
"","0","2","0","3","1","4","0","16","1030016"
"また訳の分からないことを口にしちゃった。\n","0","0","0","3","0","1","10","17","1030017"
"","0","4.5","0","3","1","4","0","18","1030018"
"","vo_10011600","0","vo_10011600_0305","3","0","2","0","19","1030019"
"みんなは楽しそうに笑ってくれたけど、","0","0","0","3","0","1","8","20","1030020"
"","0","3","0","3","1","4","0","21","1030021"
"これから先が不安……","0","0","0","3","0","1","8","22","1030022"
"","0","2.25","0","3","1","4","0","23","1030023"
"","vo_10011600","0","vo_10011600_0401","4","0","2","0","1","1040001"
"　ユニさんは","0","0","0","4","0","1","8","2","1040002"
"","0","1.75","0","4","1","4","0","3","1040003"
"とっても頭がいい人みたい。","0","0","0","4","0","1","8","4","1040004"
"","0","2.625","0","4","1","4","0","5","1040005"
"","vo_10011600","0","vo_10011600_0402","4","0","2","0","6","1040006"
"　なんだか難しい言葉をよく使ってるんだけど、","0","0","0","4","0","1","8","7","1040007"
"","0","3.75","0","4","1","4","0","8","1040008"
"理解できない単語があったりするし、","0","0","0","4","0","1","8","9","1040009"
"","0","3.125","0","4","1","4","0","10","1040010"
"これからは辞書を持ち歩こうかな？\n","0","0","0","4","0","1","8","11","1040011"
"","0","4","0","4","1","4","0","12","1040012"
"","vo_10011600","0","vo_10011600_0403","4","0","2","0","13","1040013"
"　象牙の塔っていう場所でいつも研究をしてて、","0","0","0","4","0","1","8","14","1040014"
"","0","3.75","0","4","1","4","0","15","1040015"
"普段はそこからほとんど出ないらし\nく、","0","0","0","4","0","1","8","16","1040016"
"","0","3.25","0","4","1","4","0","17","1040017"
"私と同じぼっちの匂いがします。","0","0","0","4","0","1","8","18","1040018"
"","0","3.375","0","4","1","4","0","19","1040019"
"","vo_10011600","0","vo_10011600_0404","4","0","2","0","20","1040020"
"　ぼっちはぼっちを呼ぶ、","0","0","0","4","0","1","8","21","1040021"
"","0","2.5","0","4","1","4","0","22","1040022"
"と","0","0","0","4","0","1","8","23","1040023"
"","0","1.125","0","4","1","4","0","24","1040024"
"誰が言ったのか知らないけど、","0","0","0","4","0","1","8","25","1040025"
"","0","2.75","0","4","1","4","0","26","1040026"
"もしかしたら……\n","0","0","0","4","0","1","8","27","1040027"
"","0","2","0","4","1","4","0","28","1040028"
"","vo_10011600","0","vo_10011600_0405","4","0","2","0","29","1040029"
"同じ宿命を持つ者同士、","0","0","0","4","0","1","8","30","1040030"
"","0","2.375","0","4","1","4","0","31","1040031"
"仲良くなれるかも？","0","0","0","4","0","1","8","32","1040032"
"","0","2.125","0","4","1","4","0","33","1040033"
"","vo_10011600","0","vo_10011600_0501","5","0","2","0","1","1050001"
"　クロエさんは私と同じ","0","0","0","5","0","1","8","2","1050002"
"","0","1.875","0","5","1","4","0","3","1050003"
"エルフ、","0","0","0","5","0","1","8","4","1050004"
"","0","1.5","0","5","1","4","0","5","1050005"
"なんだけど……","0","0","0","5","0","1","8","6","1050006"
"","0","1.625","0","5","1","4","0","7","1050007"
"雰囲気が少し、","0","0","0","5","0","1","8","8","1050008"
"","0","1.375","0","5","1","4","0","9","1050009"
"独特な人。\n","0","0","0","5","0","1","8","10","1050010"
"","0","2.625","0","5","1","4","0","11","1050011"
"","vo_10011600","0","vo_10011600_0502","5","0","2","0","12","1050012"
"もしかしたら同じエルフ同士で仲良くなれるかも、","0","0","0","5","0","1","8","13","1050013"
"","0","3.625","0","5","1","4","0","14","1050014"
"と思ったりもしたんだけど、","0","0","0","5","0","1","8","15","1050015"
"","0","2.125","0","5","1","4","0","16","1050016"
"そもそも話しかけられない！\n","0","0","0","5","0","1","8","17","1050017"
"","0","3.125","0","5","1","4","0","18","1050018"
"","vo_10011600","0","vo_10011600_0503","5","0","2","0","19","1050019"
"あの人が言うには","0","0","0","5","0","1","8","20","1050020"
"","0","1.65","0","5","1","4","0","21","1050021"
"世話焼きで優しい、","0","0","0","5","0","1","8","22","1050022"
"","0","1.625","0","5","1","4","0","23","1050023"
"らしいんだけど……\n","0","0","0","5","0","1","8","24","1050024"
"","0","3.125","0","5","1","4","0","25","1050025"
"","vo_10011600","0","vo_10011600_0504","5","0","2","0","26","1050026"
"そういえばあの、","0","0","0","5","0","1","8","27","1050027"
"","0","2","0","5","1","4","0","28","1050028"
"ぷー……","0","0","0","5","0","1","8","29","1050029"
"","0","1.5","0","5","1","4","0","30","1050030"
"っていうため息（？）、","0","0","0","5","0","1","8","31","1050031"
"","0","2.375","0","5","1","4","0","32","1050032"
"","vo_10011600","0","vo_10011600_0505","5","0","2","0","33","1050033"
"とても言えないけど……\n","0","0","0","5","0","1","8","34","1050034"
"","0","2.375","0","5","1","4","0","35","1050035"
"なんかかわいいな、","0","0","0","5","0","1","8","36","1050036"
"","0","1.375","0","5","1","4","0","37","1050037"
"と思っちゃった。","0","0","0","5","0","1","8","38","1050038"
"","0","1","0","5","1","4","0","39","1050039"
"","vo_10011600","0","vo_10011600_0601","6","0","2","0","1","1060001"
"　チエルさんはリア充。","0","0","0","6","0","1","8","2","1060002"
"","0","2.375","0","6","1","4","0","3","1060003"
"間違いない。\n","0","0","0","6","0","1","8","4","1060004"
"","0","2.5","0","6","1","4","0","5","1060005"
"","vo_10011600","0","vo_10011600_0602","6","0","2","0","6","1060006"
"かわいらしくて友達いっぱい、","0","0","0","6","0","1","8","7","1060007"
"","0","2.5","0","6","1","4","0","8","1060008"
"私のようなぼっちとは対極の人。","0","0","0","6","0","1","8","9","1060009"
"","0","2.875","0","6","1","4","0","10","1060010"
"","vo_10011600","0","vo_10011600_0603","6","0","2","0","11","1060011"
"見つめるだけで目が焼かれちゃいそう。\n","0","0","0","6","0","1","8","12","1060012"
"","0","3.25","0","6","1","4","0","13","1060013"
"","vo_10011600","0","vo_10011600_0604","6","0","2","0","14","1060014"
"面と向かい合ってお話しなんてしようものなら、","0","0","0","6","0","1","8","15","1060015"
"","0","3.5","0","6","1","4","0","16","1060016"
"私のぼっちハートはひび割れ、","0","0","0","6","0","1","8","17","1060017"
"","0","2.5","0","6","1","4","0","18","1060018"
"粉々に砕け散ること間違いなし。\n","0","0","0","6","0","1","8","19","1060019"
"","0","3.875","0","6","1","4","0","20","1060020"
"","vo_10011600","0","vo_10011600_0605","6","0","2","0","21","1060021"
"あのちぇるーん、","0","0","0","6","0","1","8","22","1060022"
"","0","1.75","0","6","1","4","0","23","1060023"
"っていう挨拶、","0","0","0","6","0","1","8","24","1060024"
"","0","1.625","0","6","1","4","0","25","1060025"
"私が口にするとその場で気絶して、","0","0","0","6","0","1","8","26","1060026"
"","0","2.75","0","6","1","4","0","27","1060027"
"天に召されちゃうんじゃないかな……","0","0","0","6","0","1","8","28","1060028"
"","0","3.125","0","6","1","4","0","29","1060029"
"","vo_10011600","0","vo_10011600_0701","7","0","2","0","1","1070001"
"　今日は何から何まで、","0","0","0","7","0","1","8","2","1070002"
"","0","2.375","0","7","1","4","0","3","1070003"
"ユニさんのお世話になっちゃった。\n","0","0","0","7","0","1","7","4","1070004"
"","0","3.28571428571429","0","7","1","4","0","5","1070005"
"","vo_10011600","0","vo_10011600_0702","7","0","2","0","6","1070006"
"クロエさんやチエルさんにからかわれているときとは全然違う、","0","0","0","7","0","1","8","7","1070007"
"","0","4.625","0","7","1","4","0","8","1070008"
"知的で、","0","0","0","7","0","1","8","9","1070009"
"","0","1.5","0","7","1","4","0","10","1070010"
"頼りになる姿をたくさん見た。","0","0","0","7","0","1","10","11","1070011"
"","0","2.4","0","7","1","4","0","12","1070012"
"","vo_10011600","0","vo_10011600_0703","7","0","2","0","13","1070013"
"てきぱきと指示する姿は","0","0","0","7","0","1","8","14","1070014"
"","0","2.375","0","7","1","4","0","15","1070015"
"ギルドマスターであるという貫禄たっぷり。","0","0","0","7","0","1","8","16","1070016"
"","0","3.5","0","7","1","4","0","17","1070017"
"","vo_10011600","0","vo_10011600_0704","7","0","2","0","18","1070018"
"ユニさんだったらきっと、","0","0","0","7","0","1","8","19","1070019"
"","0","2.25","0","7","1","4","0","20","1070020"
"ユニちゃんズの名前を世界中に広めることができると思う。\n\n","0","0","0","7","0","1","8","21","1070021"
"","0","6.625","0","7","1","4","0","22","1070022"
"","vo_10011600","0","vo_10011600_0705","7","0","2","0","23","1070023"
"あれ？","0","0","0","7","0","1","8","24","1070024"
"","0","1.125","0","7","1","4","0","25","1070025"
"　こんなギルド名だったっけ？","0","0","0","7","0","1","8","26","1070026"
"","0","2.75","0","7","1","4","0","27","1070027"
"","vo_10011600","0","vo_10011600_0801","8","0","2","0","1","1080001"
"　初めて会ったときは","0","0","0","8","0","1","8","2","1080002"
"","0","1.75","0","8","1","4","0","3","1080003"
"怖くて話しかけることさえも出来なかったクロエさん。","0","0","0","8","0","1","8","4","1080004"
"","0","4.125","0","8","1","4","0","5","1080005"
"","vo_10011600","0","vo_10011600_0802","8","0","2","0","6","1080006"
"だけど本当はとても優しくて、","0","0","0","8","0","1","8","7","1080007"
"","0","2.75","0","8","1","4","0","8","1080008"
"こんな私のことを気にかけてくれてることが伝わってきた。\n","0","0","0","8","0","1","8","9","1080009"
"","0","5.875","0","8","1","4","0","10","1080010"
"","vo_10011600","0","vo_10011600_0803","8","0","2","0","11","1080011"
"クロエさんのおかげで少しだけだけど、","0","0","0","8","0","1","8","12","1080012"
"","0","3.25","0","8","1","4","0","13","1080013"
"ク\nラスに受け入れてもらえた。\n","0","0","0","8","0","1","8","14","1080014"
"","0","4.25","0","8","1","4","0","15","1080015"
"","vo_10011600","0","vo_10011600_0804","8","0","2","0","16","1080016"
"クロエさんにはご家族がたくさんいるみたい。","0","0","0","8","0","1","8","17","1080017"
"","0","4.125","0","8","1","4","0","18","1080018"
"","vo_10011600","0","vo_10011600_0805","8","0","2","0","19","1080019"
"　確かに、","0","0","0","8","0","1","8","20","1080020"
"","0","1.625","0","8","1","4","0","21","1080021"
"今日のクロエさんは思わずお姉ちゃんと呼んじゃいそうだった！","0","0","0","8","0","1","8","22","1080022"
"","0","4.625","0","8","1","4","0","23","1080023"
"","vo_10011600","0","vo_10011600_0901","9","0","2","0","1","1090001"
"　ちぇるーん。","0","0","0","9","0","1","8","2","1090002"
"","0","3.875","0","9","1","4","0","3","1090003"
"","vo_10011600","0","vo_10011600_0902","9","0","2","0","4","1090004"
"この挨拶を言えるようになれば","0","0","0","9","0","1","8","5","1090005"
"","0","2.75","0","9","1","4","0","6","1090006"
"私もチエルさんみたいな","0","0","0","9","0","1","8","7","1090007"
"","0","2.375","0","9","1","4","0","8","1090008"
"明るくて友達もたくさんいる、","0","0","0","9","0","1","8","9","1090009"
"","0","2.75","0","9","1","4","0","10","1090010"
"私の理想の女性になれるのかな。\n","0","0","0","9","0","1","8","11","1090011"
"","0","4.375","0","9","1","4","0","12","1090012"
"","vo_10011600","0","vo_10011600_0903","9","0","2","0","13","1090013"
"でも","0","0","0","9","0","1","8","14","1090014"
"","0","1.25","0","9","1","4","0","15","1090015"
"この挨拶はまだ私には早いので、","0","0","0","9","0","1","8","16","1090016"
"","0","2.875","0","9","1","4","0","17","1090017"
"今日は書き取りだけしておこう。\n","0","0","0","9","0","1","8","18","1090018"
"","0","4.125","0","9","1","4","0","19","1090019"
"","vo_10011600","0","vo_10011600_0904","9","0","2","0","20","1090020"
"ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","0","0","0","9","0","1","8","21","1090021"
"","0","4.125","0","9","1","4","0","22","1090022"
"","vo_10011600","0","vo_10011600_0905","9","0","2","0","23","1090023"
"ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん","0","0","0","9","0","1","8","24","1090024"
"","0","4.125","0","9","1","4","0","25","1090025"
"","vo_10011600","0","vo_10011600_0906","9","0","2","0","26","1090026"
"ちぇるーんちぇるーんちぇるーんちぇるーんちぇるーん\n","0","0","0","9","0","1","8","27","1090027"
"","0","4.125","0","9","1","4","0","28","1090028"
"","vo_10011600","0","vo_10011600_0907","9","0","2","0","29","1090029"
"ちぇるーんちぇるーんちぇるーん","0","0","0","9","0","1","8","30","1090030"
"","0","2.875","0","9","1","4","0","31","1090031"
"","vo_10011600","0","vo_10011600_1001","10","0","2","0","1","1100001"
"　忘れてた忘れてた忘れてた！\n","0","0","0","10","0","1","8","2","1100002"
"","0","2.75","0","10","1","4","0","3","1100003"
"どうしよう特別講座！","0","0","0","10","0","1","8","4","1100004"
"","0","2.25","0","10","1","4","0","5","1100005"
"","vo_10011600","0","vo_10011600_1002","10","0","2","0","6","1100006"
"エルフの森から持ってきたマンドラゴラも逃げちゃったし、","0","0","0","10","0","1","8","7","1100007"
"","0","3.625","0","10","1","4","0","8","1100008"
"何の準備もしてないよ！\n","0","0","0","10","0","1","8","9","1100009"
"","0","2.375","0","10","1","4","0","10","1100010"
"","vo_10011600","0","vo_10011600_1003","10","0","2","0","11","1100011"
"……エルフの森が","0","0","0","10","0","1","8","12","1100012"
"","0","2","0","10","1","4","0","13","1100013"
"私を呼んでる気が……","0","0","0","10","0","1","8","14","1100014"
"","0","2.25","0","10","1","4","0","15","1100015"
"","vo_10011600","0","vo_10011600_1004","10","0","2","0","16","1100016"
"いやダメダメ、","0","0","0","10","0","1","8","17","1100017"
"","0","1.875","0","10","1","4","0","18","1100018"
"ミサト先生の期待を裏切るわけには！\n","0","0","0","10","0","1","8","19","1100019"
"","0","4.125","0","10","1","4","0","20","1100020"
"","vo_10011600","0","vo_10011600_1005","10","0","2","0","21","1100021"
"でも本当にどうしよう、","0","0","0","10","0","1","8","22","1100022"
"","0","3.125","0","10","1","4","0","23","1100023"
"","vo_10011600","0","vo_10011600_1006","10","0","2","0","24","1100024"
"こうなったら","0","0","0","10","0","1","8","25","1100025"
"","0","1.75","0","10","1","4","0","26","1100026"
"ぼっちライフをどう生き抜くかをまとめて","0","0","0","10","0","1","8","27","1100027"
"","0","3.375","0","10","1","4","0","28","1100028"
"発表してみようかな……？","0","0","0","10","0","1","8","29","1100029"
"","0","2.5","0","10","1","4","0","30","1100030"
"","vo_10011600","0","vo_10011600_1101","11","0","2","0","1","1110001"
"　特別講座、","0","0","0","11","0","1","8","2","1110002"
"","0","1.75","0","11","1","4","0","3","1110003"
"終了！\n","0","0","0","11","0","1","8","4","1110004"
"","0","2.625","0","11","1","4","0","5","1110005"
"","vo_10011600","0","vo_10011600_1102","11","0","2","0","6","1110006"
"結果は……","0","0","0","11","0","1","8","7","1110007"
"","0","1.625","0","11","1","4","0","8","1110008"
"成功、","0","0","0","11","0","1","8","9","1110009"
"","0","1.375","0","11","1","4","0","10","1110010"
"だと思う。","0","0","0","11","0","1","8","11","1110011"
"","0","3.125","0","11","1","4","0","12","1110012"
"","vo_10011600","0","vo_10011600_1103","11","0","2","0","13","1110013"
"　それもこれもすべては、","0","0","0","11","0","1","8","14","1110014"
"","0","2.5","0","11","1","4","0","15","1110015"
"手伝ってくれたあの人、","0","0","0","11","0","1","8","16","1110016"
"","0","1.875","0","11","1","4","0","17","1110017"
"そして","0","0","0","11","0","1","8","18","1110018"
"","0","0.875","0","11","1","4","0","19","1110019"
"なかよし部のみなさんのおかげだ。\n","0","0","0","11","0","1","8","20","1110020"
"","0","3","0","11","1","4","0","21","1110021"
"","vo_10011600","0","vo_10011600_1104","11","0","2","0","22","1110022"
"講座が終わった後、","0","0","0","11","0","1","8","23","1110023"
"","0","2.125","0","11","1","4","0","24","1110024"
"たくさんの人に囲まれて怖かったけど、","0","0","0","11","0","1","8","25","1110025"
"","0","3","0","11","1","4","0","26","1110026"
"","vo_10011600","0","vo_10011600_1105","11","0","2","0","27","1110027"
"でも私、","0","0","0","11","0","1","8","28","1110028"
"","0","1.5","0","11","1","4","0","29","1110029"
"いつもみたいに逃げたりしなかった！\n","0","0","0","11","0","1","8","30","1110030"
"","0","3.125","0","11","1","4","0","31","1110031"
"","vo_10011600","0","vo_10011600_1106","11","0","2","0","32","1110032"
"私も少しだけ……","0","0","0","11","0","1","8","33","1110033"
"","0","2","0","11","1","4","0","34","1110034"
"ほんのちょっとだけだけど、","0","0","0","11","0","1","8","35","1110035"
"","0","2.625","0","11","1","4","0","36","1110036"
"成長……","0","0","0","11","0","1","8","37","1110037"
"","0","1.5","0","11","1","4","0","38","1110038"
"できたのかな。","0","0","0","11","0","1","8","39","1110039"
"","0","1.875","0","11","1","4","0","40","1110040"
"","vo_10011600","0","vo_10011600_1201","12","0","2","0","1","1120001"
"　聖テレサ女学院に何の違和感もなく溶け込めるなんて、","0","0","0","12","0","1","8","2","1120002"
"","0","4.25","0","12","1","4","0","3","1120003"
"あの人はやっぱりすごい！\n","0","0","0","12","0","1","8","4","1120004"
"","0","3.5","0","12","1","4","0","5","1120005"
"","vo_10011600","0","vo_10011600_1202","12","0","2","0","6","1120006"
"　廊下を歩いてるとき、","0","0","0","12","0","1","8","7","1120007"
"","0","2.125","0","12","1","4","0","8","1120008"
"他の生徒はあの人を見て驚いた顔をするんだけど、","0","0","0","12","0","1","8","9","1120009"
"","0","3.375","0","12","1","4","0","10","1120010"
"あの人はにこやかに挨拶するんです！\n","0","0","0","12","0","1","8","11","1120011"
"","0","3.125","0","12","1","4","0","12","1120012"
"","vo_10011600","0","vo_10011600_1203","12","0","2","0","13","1120013"
"そこできゃあ、","0","0","0","12","0","1","8","14","1120014"
"","0","1.375","0","12","1","4","0","15","1120015"
"と言われても","0","0","0","12","0","1","8","16","1120016"
"","0","1.25","0","12","1","4","0","17","1120017"
"涼しい顔で手を振り返す！","0","0","0","12","0","1","8","18","1120018"
"","0","2.5","0","12","1","4","0","19","1120019"
"","vo_10011600","0","vo_10011600_1204","12","0","2","0","20","1120020"
"　挨拶さえもできない私とは大違い！\n\n","0","0","0","12","0","1","8","21","1120021"
"","0","4.625","0","12","1","4","0","22","1120022"
"","vo_10011600","0","vo_10011600_1205","12","0","2","0","23","1120023"
"早く私も","0","0","0","12","0","1","8","24","1120024"
"","0","1.25","0","12","1","4","0","25","1120025"
"あんなふうになりたいなぁ……","0","0","0","12","0","1","8","26","1120026"
"","0","2.5","0","12","1","4","0","27","1120027"
"","vo_10011600","0","vo_10011600_1301","13","0","2","0","1","1130001"
"　私が持ってきたマンドラゴラが大変なことに……\n","0","0","0","13","0","1","8","2","1130002"
"","0","4.875","0","13","1","4","0","3","1130003"
"","vo_10011600","0","vo_10011600_1302","13","0","2","0","4","1130004"
"だけど、","0","0","0","13","0","1","8","5","1130005"
"","0","1.25","0","13","1","4","0","6","1130006"
"あの人となかよし部のみなさんが力を貸してくれたおかげで、","0","0","0","13","0","1","8","7","1130007"
"","0","4","0","13","1","4","0","8","1130008"
"大きな\n被害が出る前に食い止めることができた。","0","0","0","13","0","1","8","9","1130009"
"","0","5","0","13","1","4","0","10","1130010"
"","vo_10011600","0","vo_10011600_1303","13","0","2","0","11","1130011"
"　みなさんは","0","0","0","13","0","1","8","12","1130012"
"","0","1.45","0","13","1","4","0","13","1130013"
"下心があったなんて言ってたけど、","0","0","0","13","0","1","8","14","1130014"
"","0","2.75","0","13","1","4","0","15","1130015"
"そんなことは関係ないと思う。\n","0","0","0","13","0","1","8","16","1130016"
"","0","3.25","0","13","1","4","0","17","1130017"
"","vo_10011600","0","vo_10011600_1304","13","0","2","0","18","1130018"
"こうして一緒に戦うことができて、","0","0","0","13","0","1","8","19","1130019"
"","0","2.75","0","13","1","4","0","20","1130020"
"私は嬉しかった。\n","0","0","0","13","0","1","8","21","1130021"
"","0","2.5","0","13","1","4","0","22","1130022"
"","vo_10011600","0","vo_10011600_1305","13","0","2","0","23","1130023"
"なんだか……","0","0","0","13","0","1","8","24","1130024"
"","0","1.75","0","13","1","4","0","25","1130025"
"仲間、","0","0","0","13","0","1","8","26","1130026"
"","0","1.375","0","13","1","4","0","27","1130027"
"になれたみたいで。","0","0","0","13","0","1","8","28","1130028"
"","0","2.125","0","13","1","4","0","29","1130029"
"","vo_10011600","0","vo_10011600_1401","14","0","2","0","1","1140001"
"　今日は","0","0","0","14","0","1","8","2","1140002"
"","0","1.5","0","14","1","4","0","3","1140003"
"聖テレサ女学院に通う最終日","0","0","0","14","0","1","7","4","1140004"
"","0","3.60714285714286","0","14","1","4","0","5","1140005"
"……だった。\n","0","0","0","14","0","1","8","6","1140006"
"","0","3.25","0","14","1","4","0","7","1140007"
"","vo_10011600","0","vo_10011600_1402","14","0","2","0","8","1140008"
"最初にミサト先生からお願いされたときは","0","0","0","14","0","1","8","9","1140009"
"","0","3.375","0","14","1","4","0","10","1140010"
"絶対ムリだと思ってた。","0","0","0","14","0","1","8","11","1140011"
"","0","3.125","0","14","1","4","0","12","1140012"
"","vo_10011600","0","vo_10011600_1403","14","0","2","0","13","1140013"
"　だけど今は名残惜しくて、","0","0","0","14","0","1","8","14","1140014"
"","0","2.625","0","14","1","4","0","15","1140015"
"こうして日記を書いている。\n","0","0","0","14","0","1","8","16","1140016"
"","0","3.375","0","14","1","4","0","17","1140017"
"","vo_10011600","0","vo_10011600_1404","14","0","2","0","18","1140018"
"　目を閉じると、","0","0","0","14","0","1","8","19","1140019"
"","0","2","0","14","1","4","0","20","1140020"
"あの人や","0","0","0","14","0","1","8","21","1140021"
"","0","1.5","0","14","1","4","0","22","1140022"
"なかよし部のみなさん、","0","0","0","14","0","1","8","23","1140023"
