20c0bd257d7c9f0bbe278b2a49c772e879cac9b33d90344afb37fcf7cc0adf35,868c4e00f38eafb89a0ef7b09ff337418d14136f6b344866ade348627f7a609d,cfb1ed43cd5e1873438cb285bd3fd9ba335b5c8bec00f6834b50917c73660a52,6d948f52e38d8d21e865ca1363a537f6938a095672c7c1ddb3ef66aeba257e1b,69cc828d5ebec9ef4cd49addd5572bb328e9502097ebc86ec25fcaaf8706218d,0e6afe39fa5322b8b33146b4d9f5fccd9fd1cdc3e96a0f5258fd1f05b6abdf28,61b053d81b72e683826bd92e47c69c80825ee35c1b2f582a1229bc73a772aee3,44e7e5694cc973e6043b42ca0883b6a6dac25e15c8b068377a44245be11d93f0,8abca65cbf303002e526be4f335c9fae259969b9c59b2a3acf20e1a6a19abb5d,89b8b214385b22ff598d9c998bc3138004b4830a71c04afbaf6498e66c711e3d
"0","1004","1","2022/02/28 11:59:59","2022/02/15 15:00:00","1006","1001","1","1004","10020"
"2015009","1004","2","2022/02/28 11:59:59","2022/02/15 15:00:00","1006","1002","2","1004","10021"
"0","0","1","2022/08/15 14:59:59","2022/02/28 12:00:00","0","1001","1","0","10022"
"2015009","0","2","2022/08/15 14:59:59","2022/02/28 12:00:00","0","1002","2","0","10023"
"0","0","1","2022/08/31 11:59:59","2022/08/15 15:00:00","1007","1001","1","0","10024"
"2015009","0","2","2022/08/31 11:59:59","2022/08/15 15:00:00","1007","1002","2","0","10025"
"0","0","1","2023/02/15 14:59:59","2022/08/31 12:00:00","0","1001","1","0","10026"
"2015009","0","2","2023/02/15 14:59:59","2022/08/31 12:00:00","0","1002","2","0","10027"
"0","1005","1","2023/02/28 11:59:59","2023/02/15 15:00:00","1008","1001","1","1005","10028"
"2015009","1005","2","2023/02/28 11:59:59","2023/02/15 15:00:00","1008","1002","2","1005","10029"
"0","0","1","2023/08/15 14:59:59","2023/02/28 12:00:00","0","1001","1","0","10030"
"2015009","0","2","2023/08/15 14:59:59","2023/02/28 12:00:00","0","1002","2","0","10031"
"2201005","0","3","2023/08/15 14:59:59","2023/03/15 12:00:00","0","1003","2","0","10032"
"0","0","1","2023/08/31 11:59:59","2023/08/15 15:00:00","1009","1001","1","0","10033"
"2015009","0","2","2023/08/31 11:59:59","2023/08/15 15:00:00","1009","1002","2","0","10034"
"0","0","1","2024/02/14 23:59:59","2023/08/31 12:00:00","0","1001","1","0","10035"
"2015009","0","2","2024/02/14 23:59:59","2023/08/31 12:00:00","0","1002","2","0","10036"
"2201005","0","3","2023/08/31 11:59:59","2023/08/15 15:00:00","1009","1003","2","0","10037"
"2201005","0","3","2024/02/14 23:59:59","2023/08/31 12:00:00","0","1003","3","0","10038"
"0","1006","1","2024/02/29 11:59:59","2024/02/15","1010","1001","1","1006","10039"
"2015009","1006","2","2024/02/29 11:59:59","2024/02/15","1010","1002","2","1006","10040"
"0","0","1","2024/08/15 14:59:59","2024/02/29 12:00:00","0","1001","1","0","10041"
"2015009","0","2","2024/08/15 14:59:59","2024/02/29 12:00:00","0","1002","2","0","10042"
"2201005","1006","3","2024/02/29 11:59:59","2024/02/15","1010","1003","3","1006","10043"
"2201005","0","3","2024/08/15 14:59:59","2024/02/29 12:00:00","0","1003","3","0","10044"
"0","0","1","2024/08/16 11:59:59","2024/08/15 15:00:00","1011","1001","1","0","10045"
"2015009","0","2","2024/08/16 11:59:59","2024/08/15 15:00:00","1011","1002","2","0","10046"
"2201005","0","3","2024/08/16 11:59:59","2024/08/15 15:00:00","1011","1003","3","0","10047"
"0","0","1","2024/08/21 11:59:59","2024/08/16 12:00:00","1011","1004","1","0","10048"
"2015009","0","2","2024/08/21 11:59:59","2024/08/16 12:00:00","1011","1004","2","0","10049"
"2201005","0","3","2024/08/21 11:59:59","2024/08/16 12:00:00","1011","1004","3","0","10050"
"0","0","1","2024/08/31 11:59:59","2024/08/21 12:00:00","1011","1001","1","0","10051"
"2015009","0","2","2024/08/31 11:59:59","2024/08/21 12:00:00","1011","1002","2","0","10052"
"0","0","1","2025/02/14 23:59:59","2024/08/31 12:00:00","0","1001","1","0","10053"
"2015009","0","2","2025/02/14 23:59:59","2024/08/31 12:00:00","0","1002","2","0","10054"
"2201005","0","3","2024/08/31 11:59:59","2024/08/21 12:00:00","1011","1003","3","0","10055"
"2201005","0","3","2025/02/14 23:59:59","2024/08/31 12:00:00","0","1003","3","0","10056"
"0","0","1","2025/02/15 14:59:59","2025/01/31 12:00:00","0","1005","1","0","10057"
"2015009","0","2","2025/02/15 14:59:59","2025/01/31 12:00:00","0","1005","2","0","10058"
"2201005","0","3","2025/02/15 14:59:59","2025/01/31 12:00:00","0","1005","3","0","10059"
"0","1007","1","2025/02/23 4:59:59","2025/02/15 15:00:00","1012","1005","1","1007","10060"
"2015009","1007","2","2025/02/23 4:59:59","2025/02/15 15:00:00","1012","1005","2","1007","10061"
"2201005","1007","3","2025/02/23 4:59:59","2025/02/15 15:00:00","1012","1005","3","1007","10062"
"0","1007","1","2025/02/28 11:59:59","2025/02/23 5:00:00","1012","1001","1","1007","10063"
"2015009","1007","2","2025/02/28 11:59:59","2025/02/23 5:00:00","1012","1002","2","1007","10064"
"2201005","1007","3","2025/02/28 11:59:59","2025/02/23 5:00:00","1012","1003","3","1007","10065"
"0","0","1","2025/08/15 14:59:59","2025/02/28 12:00:00","0","1001","1","0","10066"
"2015009","0","2","2025/08/15 14:59:59","2025/02/28 12:00:00","0","1002","2","0","10067"
"2201005","0","3","2025/08/15 14:59:59","2025/02/28 12:00:00","0","1003","3","0","10068"
