2ca727e7223c41d62d38d7bb78044df84ede049353bd48e24f3182569b6a251d,fa1e858f5454f52f7a344d4486c29cfd05a24716b600296d8fb01079513c47a8,9ad1ee330c85d7101724d97d6497171ee4f251ba65e93b7cfaee9538f37022c6,2028cd9cd811ba93349034bb2b4f3c8c9c8d7c31e9a06862108b9e693ae57f7b,e0c778e4b3b57b95436a41c936192dd9760f9c20d6491cb47c828e2551b45f48,4f687c35e9f47f37b357b3d62d3f850dc2679fd1d9505e50b06dfc038f4b0fc9,c1518115218c78128d738f756bb34dc4010fb625d78e385df4717da53879ba48
"75","0","9005011","2022/08/11 5:00:00","80007","2022/08/12 4:59:59","3"
"76","0","9005012","2022/08/12 5:00:00","80007","2022/08/13 4:59:59","3"
"77","0","9005013","2022/08/13 5:00:00","80007","2022/08/14 4:59:59","3"
"78","0","9005014","2022/08/14 5:00:00","80007","2022/08/15 4:59:59","3"
"79","1","9005015","2022/08/15 5:00:00","80007","2022/08/16 4:59:59","3"
"80","0","400","2022/12/24 5:00:00","70008","2022/12/25 4:59:59","0"
"81","0","401","2022/12/25 5:00:00","70008","2022/12/26 4:59:59","0"
"82","0","439","0","70009","0","1"
"83","0","9006001","2023/01/31 5:00:00","80008","2023/02/01 4:59:59","3"
"84","0","9006002","2023/02/01 5:00:00","80008","2023/02/02 4:59:59","3"
"85","0","9006003","2023/02/02 5:00:00","80008","2023/02/03 4:59:59","3"
"86","0","9006004","2023/02/03 5:00:00","80008","2023/02/04 4:59:59","3"
"87","0","9006005","2023/02/04 5:00:00","80008","2023/02/05 4:59:59","3"
"88","0","9006006","2023/02/05 5:00:00","80008","2023/02/06 4:59:59","3"
"89","0","9006007","2023/02/06 5:00:00","80008","2023/02/07 4:59:59","3"
"90","0","9006008","2023/02/07 5:00:00","80008","2023/02/08 4:59:59","3"
"91","0","9006009","2023/02/08 5:00:00","80008","2023/02/09 4:59:59","3"
"92","0","9006010","2023/02/09 5:00:00","80008","2023/02/10 4:59:59","3"
"93","0","9006011","2023/02/10 5:00:00","80008","2023/02/11 4:59:59","3"
"94","0","9006012","2023/02/11 5:00:00","80008","2023/02/12 4:59:59","3"
"95","0","9006013","2023/02/12 5:00:00","80008","2023/02/13 4:59:59","3"
"96","0","9006014","2023/02/13 5:00:00","80008","2023/02/14 4:59:59","3"
"97","0","9006015","2023/02/14 5:00:00","80008","2023/02/15 4:59:59","3"
"98","1","9006016","2023/02/15 5:00:00","80008","2023/02/16 4:59:59","3"
"99","0","9007001","2023/08/01 5:00:00","80009","2023/08/02 4:59:59","3"
"100","0","9007002","2023/08/02 5:00:00","80009","2023/08/03 4:59:59","3"
"101","0","9007003","2023/08/03 5:00:00","80009","2023/08/04 4:59:59","3"
"102","0","9007004","2023/08/04 5:00:00","80009","2023/08/05 4:59:59","3"
"103","0","9007005","2023/08/05 5:00:00","80009","2023/08/06 4:59:59","3"
"104","0","9007006","2023/08/06 5:00:00","80009","2023/08/07 4:59:59","3"
"105","0","9007007","2023/08/07 5:00:00","80009","2023/08/08 4:59:59","3"
"106","0","9007008","2023/08/08 5:00:00","80009","2023/08/09 4:59:59","3"
"107","0","9007009","2023/08/09 5:00:00","80009","2023/08/10 4:59:59","3"
"108","0","9007010","2023/08/10 5:00:00","80009","2023/08/11 4:59:59","3"
"109","0","9007011","2023/08/11 5:00:00","80009","2023/08/12 4:59:59","3"
"110","0","9007012","2023/08/12 5:00:00","80009","2023/08/13 4:59:59","3"
"111","0","9007013","2023/08/13 5:00:00","80009","2023/08/14 4:59:59","3"
"112","0","9007014","2023/08/14 5:00:00","80009","2023/08/15 4:59:59","3"
"113","1","9007015","2023/08/15 5:00:00","80009","2023/08/16 4:59:59","3"
"114","0","400","2023/12/24 5:00:00","70010","2023/12/25 4:59:59","0"
"115","0","401","2023/12/25 5:00:00","70012","2023/12/26 4:59:59","0"
"116","0","440","0","70011","0","1"
"117","0","9008001","2024/01/31 5:00:00","80010","2024/02/01 4:59:59","3"
"118","0","9008002","2024/02/01 5:00:00","80010","2024/02/02 4:59:59","3"
"119","0","9008003","2024/02/02 5:00:00","80010","2024/02/03 4:59:59","3"
"120","0","9008004","2024/02/03 5:00:00","80010","2024/02/04 4:59:59","3"
"121","0","9008005","2024/02/04 5:00:00","80010","2024/02/05 4:59:59","3"
"122","0","9008006","2024/02/05 5:00:00","80010","2024/02/06 4:59:59","3"
"123","0","9008007","2024/02/06 5:00:00","80010","2024/02/07 4:59:59","3"
"124","0","9008008","2024/02/07 5:00:00","80010","2024/02/08 4:59:59","3"
"125","0","9008009","2024/02/08 5:00:00","80010","2024/02/09 4:59:59","3"
"126","0","9008010","2024/02/09 5:00:00","80010","2024/02/10 4:59:59","3"
"127","0","9008011","2024/02/10 5:00:00","80010","2024/02/11 4:59:59","3"
"128","1","9008012","2024/02/11 5:00:00","80010","2024/02/12 4:59:59","3"
"129","1","9008013","2024/02/12 5:00:00","80010","2024/02/13 4:59:59","3"
"130","1","9008014","2024/02/13 5:00:00","80010","2024/02/14 4:59:59","3"
"131","1","9008015","2024/02/14 5:00:00","80010","2024/02/15 4:59:59","3"
"132","1","9008016","2024/02/15 5:00:00","80010","2024/02/16 4:59:59","3"
"133","0","9009001","2024/08/01 5:00:00","80011","2024/08/02 4:59:59","3"
"134","0","9009002","2024/08/02 5:00:00","80011","2024/08/03 4:59:59","3"
"135","0","9009003","2024/08/03 5:00:00","80011","2024/08/04 4:59:59","3"
"136","0","9009004","2024/08/04 5:00:00","80011","2024/08/05 4:59:59","3"
"137","0","9009005","2024/08/05 5:00:00","80011","2024/08/06 4:59:59","3"
"138","0","9009006","2024/08/06 5:00:00","80011","2024/08/07 4:59:59","3"
"139","0","9009007","2024/08/07 5:00:00","80011","2024/08/08 4:59:59","3"
"140","0","9009008","2024/08/08 5:00:00","80011","2024/08/09 4:59:59","3"
"141","0","9009009","2024/08/09 5:00:00","80011","2024/08/10 4:59:59","3"
"142","0","9009010","2024/08/10 5:00:00","80011","2024/08/11 4:59:59","3"
"143","0","9009011","2024/08/11 5:00:00","80011","2024/08/12 4:59:59","3"
"144","0","9009012","2024/08/12 5:00:00","80011","2024/08/13 4:59:59","3"
"145","0","9009013","2024/08/13 5:00:00","80011","2024/08/14 4:59:59","3"
"146","0","9009014","2024/08/14 5:00:00","80011","2024/08/15 4:59:59","3"
"147","1","9009015","2024/08/15 5:00:00","80011","2024/08/16 4:59:59","3"
"148","0","400","2024/12/24 5:00:00","70014","2024/12/25 4:59:59","0"
"149","0","401","2024/12/25 5:00:00","70015","2024/12/26 4:59:59","0"
"150","0","441","0","70013","0","1"
"151","0","9010001","2025/02/08 5:00:00","80012","2025/02/09 4:59:59","3"
"152","0","9010002","2025/02/09 5:00:00","80012","2025/02/10 4:59:59","3"
"153","0","9010003","2025/02/10 5:00:00","80012","2025/02/11 4:59:59","3"
"154","0","9010004","2025/02/11 5:00:00","80012","2025/02/12 4:59:59","3"
"155","0","9010005","2025/02/12 5:00:00","80012","2025/02/13 4:59:59","3"
"156","0","9010006","2025/02/13 5:00:00","80012","2025/02/14 4:59:59","3"
"157","0","9010007","2025/02/14 5:00:00","80012","2025/02/15 4:59:59","3"
"158","0","9010008","2025/02/15 5:00:00","80012","2025/02/16 4:59:59","3"
"159","0","442","2025/03/31 12:00:00","70016","2025/04/23 4:59:59","0"
"160","0","9012001","2025/08/13 5:00:00","80014","2025/08/14 4:59:59","3"
"161","0","9012002","2025/08/14 5:00:00","80014","2025/08/15 4:59:59","3"
"162","0","9012003","2025/08/15 5:00:00","80014","2025/08/16 4:59:59","3"
"163","0","400","2025/12/24 5:00:00","70017","2025/12/25 4:59:59","0"
"164","0","401","2025/12/25 5:00:00","70018","2025/12/26 4:59:59","0"
"165","0","443","0","70019","0","1"
"166","0","9013001","2026/02/12 5:00:00","80016","2026/02/13 4:59:59","3"
"167","0","9013002","2026/02/13 5:00:00","80016","2026/02/14 4:59:59","3"
"168","0","9013003","2026/02/14 5:00:00","80016","2026/02/15 4:59:59","3"
"169","0","9013004","2026/02/15 5:00:00","80016","2026/02/16 4:59:59","3"
