ab8412fe64905be21f826448df104d0b47f6e37b79e9423c8881b60b1623ece9,7ae7fa8b8000afd4fd1028069ce2ad527a54ea38dc1130f43193de945585e6a0,08165eee8424baaea4ce4a6f4c21ba863f9bf56facd4147b4a550dd46a9e453f,d460a15931ce094e5164b80d119df1199fd87b74df60038ba405ab5b3e87ed8d,9e37d2170f042d62fa0ca4858e415727206c81329b75c9d53cdc0ada71e6b562,326547427f7c19cad49051fb0f2704b960ac545e2953cb5a4161db3faedae543,a2439c0ed7270beceb96883826649882adf6cea6311b905dde8736e6fddcc9ea,d46be016d89d64275d4f6d983fb27eb70375d366b2cebf53a8395b18b3c9f28e,1143d6aefb01271ea500cdbb349d7154e9407ed491dfcac54fb55dd283c01909,ae919cf3ba01bf94efd3fe5b331d3bc0b5629755aec4520601efa25ea0bb9d14,cfa92755aed45d719c44efb00fcec9efdea095e555e76fc22c702ee6b4c8abaa,74d21f1d01cb372fa366ac80be04c0682754de17e4cc6e802ef0e694b2e70101
"19","0","0","vo_lsv","0","0","0","100980919","0","2","1009809","vo_lsv_0904"
"20","8","0","0","0","327","2.079","100980920","0","1","1009809","0"
"21","0","1","0","0","0","0","100980921","2.4","4","1009809","0"
"22","9","0","0","0","327","2.05","100980922","0","1","1009809","0"
"23","0","1","0","0","0","0","100980923","2.35","4","1009809","0"
"24","10","0","0","0","327","2.55","100980924","0","1","1009809","0"
"1","0","1","0","0","0","0","100981001","0.8","4","1009810","0"
"2","0","0","vo_lsv","0","0","0","100981002","0","2","1009810","vo_lsv_1001"
"3","1","0","0","0","300","1.707","100981003","0","1","1009810","0"
"4","0","1","0","0","0","0","100981004","1.717","4","1009810","0"
"5","2","0","0","0","90","0.75","100981005","0","1","1009810","0"
"6","0","1","0","0","0","0","100981006","1.15","4","1009810","0"
"7","2","0","0","92","327","1.46","100981007","0","1","1009810","0"
"8","0","1","0","0","0","0","100981008","1.66","4","1009810","0"
"9","3","0","0","0","327","2.03","100981009","0","1","1009810","0"
"10","0","1","0","0","0","0","100981010","2.23","4","1009810","0"
"11","4","0","0","0","327","1.732","100981011","0","1","1009810","0"
"12","0","1","0","0","0","0","100981012","2.5","4","1009810","0"
"13","0","0","vo_lsv","0","0","0","100981013","0","2","1009810","vo_lsv_1002"
"14","5","0","0","0","300","1.9","100981014","0","1","1009810","0"
"15","0","1","0","0","0","0","100981015","1.949","4","1009810","0"
"16","6","0","0","0","327","2.05","100981016","0","1","1009810","0"
"17","0","1","0","0","0","0","100981017","2.08","4","1009810","0"
"18","7","0","0","0","130","0.8","100981018","0","1","1009810","0"
"19","0","1","0","0","0","0","100981019","2","4","1009810","0"
"20","0","0","vo_lsv","0","0","0","100981020","0","2","1009810","vo_lsv_1003"
"21","7","0","0","135","300","1.575","100981021","0","1","1009810","0"
"22","0","1","0","0","0","0","100981022","1.6","4","1009810","0"
"23","8","0","0","0","190","1.243","100981023","0","1","1009810","0"
"24","0","1","0","0","0","0","100981024","3","4","1009810","0"
"25","0","0","vo_lsv","0","0","0","100981025","0","2","1009810","vo_lsv_1004"
"26","9","0","0","0","196","1.867","100981026","0","1","1009810","0"
"27","0","1","0","0","0","0","100981027","2.067","4","1009810","0"
"28","9","0","0","198","327","0.956","100981028","0","1","1009810","0"
"29","0","1","0","0","0","0","100981029","1","4","1009810","0"
"30","10","0","0","0","260","1.851","100981030","0","1","1009810","0"
"31","0","1","0","0","0","0","100981031","1.88","4","1009810","0"
"32","11","0","0","0","160","1.172","100981032","0","1","1009810","0"
"33","0","1","0","0","0","0","100981033","2.5","4","1009810","0"
"34","0","0","vo_lsv","0","0","0","100981034","0","2","1009810","vo_lsv_1005"
"35","12","0","0","0","88","0.95","100981035","0","1","1009810","0"
"36","0","1","0","0","0","0","100981036","1.1","4","1009810","0"
"37","12","0","0","90","230","1.392","100981037","0","1","1009810","0"
"1","0","1","0","0","0","0","100981101","0.8","4","1009811","0"
"2","0","0","vo_lsv","0","0","0","100981102","0","2","1009811","vo_lsv_1101"
"3","1","0","0","0","300","1.813","100981103","0","1","1009811","0"
"4","0","1","0","0","0","0","100981104","2","4","1009811","0"
"5","2","0","0","0","280","1.065","100981105","0","1","1009811","0"
"6","0","1","0","0","0","0","100981106","1.095","4","1009811","0"
"7","3","0","0","0","327","2.176","100981107","0","1","1009811","0"
"8","0","1","0","0","0","0","100981108","3.1","4","1009811","0"
"9","0","0","vo_lsv","0","0","0","100981109","0","2","1009811","vo_lsv_1102"
"10","4","0","0","0","280","1.283","100981110","0","1","1009811","0"
"11","0","1","0","0","0","0","100981111","1.31","4","1009811","0"
"12","5","0","0","0","327","2.351","100981112","0","1","1009811","0"
"13","0","1","0","0","0","0","100981113","2.381","4","1009811","0"
"14","6","0","0","0","327","2.037","100981114","0","1","1009811","0"
"15","0","1","0","0","0","0","100981115","3","4","1009811","0"
"16","0","0","vo_lsv","0","0","0","100981116","0","2","1009811","vo_lsv_1103"
"17","7","0","0","0","327","2.637","100981117","0","1","1009811","0"
"18","0","1","0","0","0","0","100981118","3.23","4","1009811","0"
"19","8","0","0","0","327","1.789","100981119","0","1","1009811","0"
"20","0","1","0","0","0","0","100981120","1.81","4","1009811","0"
"21","9","0","0","0","80","0.763","100981121","0","1","1009811","0"
"22","0","1","0","0","0","0","100981122","0.893","4","1009811","0"
"23","9","0","0","82","327","1.079","100981123","0","1","1009811","0"
"24","0","1","0","0","0","0","100981124","1.1","4","1009811","0"
"25","10","0","0","0","195","1.424","100981125","0","1","1009811","0"
"26","0","1","0","0","0","0","100981126","2.5","4","1009811","0"
"27","0","0","vo_lsv","0","0","0","100981127","0","2","1009811","vo_lsv_1104"
"28","10","0","0","197","350","0.7","100981128","0","1","1009811","0"
"29","0","1","0","0","0","0","100981129","0.75","4","1009811","0"
"30","11","0","0","0","300","2.45","100981130","0","1","1009811","0"
"31","0","1","0","0","0","0","100981131","2.55","4","1009811","0"
"32","12","0","0","0","220","1.6","100981132","0","1","1009811","0"
"1","0","1","0","0","0","0","100981201","0.8","4","1009812","0"
"2","0","0","vo_lsv","0","0","0","100981202","0","2","1009812","vo_lsv_1201"
"3","1","0","0","0","300","2.379","100981203","0","1","1009812","0"
"4","0","1","0","0","0","0","100981204","3.5","4","1009812","0"
"5","0","0","vo_lsv","0","0","0","100981205","0","2","1009812","vo_lsv_1202"
"6","2","0","0","0","327","1.623","100981206","0","1","1009812","0"
"7","0","1","0","0","0","0","100981207","1.63","4","1009812","0"
"8","3","0","0","15","327","2.644","100981208","0","1","1009812","0"
"9","0","1","0","0","0","0","100981209","3.5","4","1009812","0"
"10","0","0","vo_lsv","0","0","0","100981210","0","2","1009812","vo_lsv_1203"
"11","4","0","0","0","300","1.502","100981211","0","1","1009812","0"
"12","0","1","0","0","0","0","100981212","1.51","4","1009812","0"
"13","5","0","0","15","327","2.171","100981213","0","1","1009812","0"
"14","0","1","0","0","0","0","100981214","2.2","4","1009812","0"
"15","6","0","0","0","180","1.319","100981215","0","1","1009812","0"
"16","0","1","0","0","0","0","100981216","1.8","4","1009812","0"
"17","0","0","vo_lsv","0","0","0","100981217","0","2","1009812","vo_lsv_1204"
"18","6","0","0","182","300","1.03","100981218","0","1","1009812","0"
"19","0","1","0","0","0","0","100981219","2","4","1009812","0"
"20","0","0","vo_lsv","0","0","0","100981220","0","2","1009812","vo_lsv_1205"
"21","7","0","0","0","300","1.96","100981221","0","1","1009812","0"
"22","0","1","0","0","0","0","100981222","2","4","1009812","0"
"23","8","0","0","15","327","2.137","100981223","0","1","1009812","0"
"24","0","1","0","0","0","0","100981224","3.5","4","1009812","0"
"25","0","0","vo_lsv","0","0","0","100981225","0","2","1009812","vo_lsv_1206"
"26","9","0","0","0","300","1.602","100981226","0","1","1009812","0"
"27","0","1","0","0","0","0","100981227","1.7","4","1009812","0"
"28","10","0","0","15","327","2.476","100981228","0","1","1009812","0"
"29","0","1","0","0","0","0","100981229","3.5","4","1009812","0"
"30","0","0","vo_lsv","0","0","0","100981230","0","2","1009812","vo_lsv_1207"
"31","11","0","0","0","300","1.155","100981231","0","1","1009812","0"
"32","0","1","0","0","0","0","100981232","1.18","4","1009812","0"
"33","12","0","0","15","200","1.28","100981233","0","1","1009812","0"
"1","0","1","0","0","0","0","100981301","0.8","4","1009813","0"
"2","0","0","vo_lsv","0","0","0","100981302","0","2","1009813","vo_lsv_1301"
"3","1","0","0","0","300","2.09","100981303","0","1","1009813","0"
"4","0","1","0","0","0","0","100981304","2.12","4","1009813","0"
"5","2","0","0","15","340","2.649","100981305","0","1","1009813","0"
"6","0","1","0","0","0","0","100981306","3.6","4","1009813","0"
"7","0","0","vo_lsv","0","0","0","100981307","0","2","1009813","vo_lsv_1302"
"8","3","0","0","0","300","2.138","100981308","0","1","1009813","0"
"9","0","1","0","0","0","0","100981309","2.17","4","1009813","0"
"10","4","0","0","0","327","2.111","100981310","0","1","1009813","0"
"11","0","1","0","0","0","0","100981311","2.45","4","1009813","0"
"12","5","0","0","0","327","2","100981312","0","1","1009813","0"
"13","0","1","0","0","0","0","100981313","2.3","4","1009813","0"
"14","6","0","0","0","290","1.354","100981314","0","1","1009813","0"
"15","0","1","0","0","0","0","100981315","3","4","1009813","0"
"16","0","0","vo_lsv","0","0","0","100981316","0","2","1009813","vo_lsv_1303"
"17","7","0","0","0","300","1.539","100981317","0","1","1009813","0"
"18","0","1","0","0","0","0","100981318","1.569","4","1009813","0"
"19","8","0","0","0","90","0.732","100981319","0","1","1009813","0"
"20","0","1","0","0","0","0","100981320","1.08","4","1009813","0"
"21","8","0","0","92","300","1.207","100981321","0","1","1009813","0"
"22","0","1","0","0","0","0","100981322","1.407","4","1009813","0"
"23","9","0","0","0","327","1.798","100981323","0","1","1009813","0"
"24","0","1","0","0","0","0","100981324","2.7","4","1009813","0"
"25","0","0","vo_lsv","0","0","0","100981325","0","2","1009813","vo_lsv_1304"
"26","10","0","0","0","300","1.633","100981326","0","1","1009813","0"
"1","0","1","0","0","0","0","100981401","0.8","4","1009814","0"
