061a870dc31789256e9bb561f05f131bcd00281c21bce1a885394f1b6f728011,4e52dcad9e1f7a2c6a909508807b10474b78ab15480995b72828c5eccb7904ae,7df8f751e9f081aac29534d08f1bb929d009c8689904a0c4708599eca6455bd8,527835777fd691a38fe7d0ab61679a913a912fa692ece50b09df48f5fe7b3ca3,e8ea3ba20cd7c3314064fe1dc2c22269a5f78db7fcbb12b10457ed1e9dea300a,f305962c297c680ae98e22de76d459517345cddf9e0d066f8fd89bd8a14bfddf,6d241e14da77b77efd293c2d2d0bded1cdb4edcfa655d9a958c2451ff814ed7f,303da7c3e5ee1d2e146a1772a59b6e4919a5217896ebf9ac68ce4c5b7a288602,e94bb96d0f7114925060c4ba1e500398f9aa834ec529a9a4caa68a6d6796b1ba,b9c53e39e9352a22677bd82a9b9f589ed153dcff69733bc61e8599780073469a,5816e0fac182e7da658527ec8d2eed66d78a94c9c006287a2e300becf2a55fd3
"61091","2","","","","","37","","iris_in","5146061",""
"61092","2","","","","","93","","0","5146061",""
"61093","se_10055900","","1","","","23","","se_10055900_coaster_02","5146061",""
"61094","10","","","","","32","","1","5146061",""
"61095","30","","0.5","","","122","","30","5146061",""
"61096","vo_apg","","0","","","21","","vo_apg_0107","5146061","0"
"61097","202","0","0","","","3","","0107_in","5146061",""
"61098","0.7","","","","","93","","1","5146061",""
"61099","202","0","0","","","3","","0107_mid","5146061",""
"61100","","","","","","92","","","5146061",""
"61101","202","0","0","","","3","","0107_out","5146061",""
"61102","0.2","","","","","93","","0","5146061",""
"61103","202","","-211","0","","2","","0","5146061","0"
"61104","30","","0.5","","","122","","30","5146061",""
"61105","vo_apg","","0","","","21","","vo_apg_0108","5146061","0"
"61106","203","0","0","","","3","","0108_in","5146061",""
"61107","0.8","","","","","93","","1","5146061",""
"61108","203","0","0","","","3","","0108_mid","5146061",""
"61109","","","","","","92","","","5146061",""
"61110","203","0","0","","","3","","0108_out","5146061",""
"61111","0.2","","","","","93","","0","5146061",""
"61112","201","","16","0","","2","","315","5146061","0"
"61113","30","","0.5","","","122","","30","5146061",""
"61114","vo_apg","","0","","","21","","vo_apg_0109","5146061","0"
"61115","201","0","0","","","3","","0109_in","5146061",""
"61116","1.1","","","","","93","","1","5146061",""
"61117","201","0","0","","","3","","0109_mid","5146061",""
"61118","","","","","","92","","","5146061",""
"61119","201","0","0","","","3","","0109_out","5146061",""
"61120","0.2","","","","","93","","0","5146061",""
"61121","30","","0.5","","","122","","30","5146061",""
"61122","vo_apg","","0","","","21","","vo_apg_0110","5146061","0"
"61123","202","0","0","","","3","","0107_in","5146061",""
"61124","203","0","0","","","3","","0108_in","5146061",""
"61125","201","0","0","","","3","","0109_in","5146061",""
"61126","1.1","","","","","93","","1","5146061",""
"61127","202","0","0","","","3","","0107_mid","5146061",""
"61128","203","0","0","","","3","","0108_mid","5146061",""
"61129","201","0","0","","","3","","0109_mid","5146061",""
"61130","","","","","","92","","","5146061",""
"61131","202","0","0","","","3","","0107_out","5146061",""
"61132","203","0","0","","","3","","0108_out","5146061",""
"61133","201","0","0","","","3","","0109_out","5146061",""
"61134","0.2","","","","","93","","0","5146061",""
"61135","201","","0","0","","2","","216","5146061","0"
"61136","vo_apg","","0","","","21","","vo_apg_0111","5146061","0"
"61137","201","0","0","","","3","","0111_in","5146061",""
"61138","1.8","","","","","93","","1","5146061",""
"61139","201","0","0","","","3","","0111_mid","5146061",""
"61140","","","","","","92","","","5146061",""
"61141","201","0","0","","","3","","0111_out","5146061",""
"61142","0.2","","","","","93","","0","5146061",""
"61143","0","","","","","22","","0","5146061",""
"61144","0.5","","","","","93","","","5146061",""
"61145","11","","","","","32","","1","5146061",""
"61146","se_10055900","","0","","","23","","se_10055900_camera","5146061",""
"61147","0.2","","","","","93","","0","5146061",""
"61148","10","","","","","32","","0","5146061",""
"61149","1.8","","","","","93","","0","5146061",""
"61150","se_10055900_coaster_02","","","","","24","","0.5","5146061",""
"61151","2","","","","","37","","iris_out","5146061",""
"61152","106011","","-278","0","","2","","129","5146061","0"
"61153","1060","","-278","0","","2","","129","5146061","0"
"61154","105811","","-278","0","","2","","-34","5146061","0"
"61155","1058","","-278","0","","2","","-34","5146061","0"
"61156","105911","","-288","0","","2","","-194","5146061","0"
"61157","1059","","-288","0","","2","","-194","5146061","0"
"61158","106011","0.2","1","","","3","","walk_normal_dere2","5146061",""
"61159","1060","0.2","1","","","3","","walk_normal_dere2","5146061",""
"61160","105811","0.2","1","","","3","","walk_normal_joy","5146061",""
"61161","1058","0.2","1","","","3","","walk_normal_joy","5146061",""
"61162","105911","0.2","1","","","3","","kokkoro_walk_normal_dere","5146061",""
"61163","1059","0.2","1","","","3","","kokkoro_walk_normal_dere","5146061",""
"61164","106011","","-278","0","","2","","290","5146061","2"
"61165","1060","","-278","0","","2","","290","5146061","2"
"61166","105811","","-278","0","","2","","-225","5146061","2"
"61167","1058","","-278","0","","2","","-225","5146061","2"
"61168","105911","","-288","0","","2","","-385","5146061","2"
"61169","1059","","-288","0","","2","","-385","5146061","2"
"61170","106011","","","","","4","","0","5146061",""
"61171","1060","","","","","4","","0","5146061",""
"61172","105811","","","","","4","","1","5146061",""
"61173","1058","","","","","4","","1","5146061",""
"61174","105911","","","","","4","","1","5146061",""
"61175","1059","","","","","4","","1","5146061",""
"61176","2","","","","","93","","0","5146061",""
"61177","106011","","","","","4","","1","5146061",""
"61178","1060","","","","","4","","1","5146061",""
"61179","105811","","","","","4","","0","5146061",""
"61180","1058","","","","","4","","0","5146061",""
"61181","105911","","","","","4","","0","5146061",""
"61182","1059","","","","","4","","0","5146061",""
"61183","106011","0.2","1","","","3","","joy_idle_doya_shy","5146061",""
"61184","1060","0.2","1","","","3","","joy_idle_doya_shy","5146061",""
"61185","105811","0.2","1","","","3","","idle_normal","5146061",""
"61186","1058","0.2","1","","","3","","idle_normal","5146061",""
"61187","105911","0.2","1","","","3","","kokkoro_idle_normal_joy","5146061",""
"61188","1059","0.2","1","","","3","","kokkoro_idle_normal_joy","5146061",""
"61189","0.3","","","","","93","","0","5146061",""
"61190","105811","0.2","0","1","","3","0.2","jump_short","5146061","guts2_talk_joy"
"61191","1058","0.2","0","1","","3","0.2","jump_short","5146061","guts2_talk_joy"
"61192","vo_apg","","0","","","21","","vo_apg_0112","5146061","0"
"61193","105811","0","10","1","0","11","0","はぁ～♪\n楽しかったですねー☆","5146061","1"
"61194","0","","","","","91","","","5146061",""
"61195","105811","0.2","1","","","3","","idle_normal","5146061",""
"61196","1058","0.2","1","","","3","","idle_normal","5146061",""
"61197","105911","0.2","1","","","3","","kokkoro_talk_normal","5146061",""
"61198","1059","0.2","1","","","3","","kokkoro_talk_normal","5146061",""
"61199","vo_apg","","0","","","21","","vo_apg_0113","5146061","0"
"61200","105911","0","10","1","0","11","0","みなさま。\nお写真が\n仕上がったみたいです","5146061","1"
"61201","0","","","","","91","","","5146061",""
"61202","105911","0.2","1","","","3","","kokkoro_idle_normal_joy","5146061",""
"61203","1059","0.2","1","","","3","","kokkoro_idle_normal_joy","5146061",""
"61204","106011","0.2","0","1","","3","0","armcrossed_in_dere_shy","5146061","armcrossed_talk_dere_shy"
"61205","1060","0.2","0","1","","3","0","armcrossed_in_dere_shy","5146061","armcrossed_talk_dere_shy"
"61206","vo_apg","","0","","","21","","vo_apg_0114","5146061","0"
"61207","106011","0","10","1","0","11","0","は～最悪。\n…ま、どんなもんか\n一応見てやるけど♪","5146061","1"
"61208","0","","","","","91","","","5146061",""
"61209","0","","","","","22","","0","5146061",""
"61210","106011","0.2","0","","","3","","armcrossed_idle_anger_lookup","5146061",""
"61211","1060","0.2","0","","","3","","armcrossed_idle_anger_lookup","5146061",""
"61212","105811","0.2","1","","","3","","idle_normal_lookup","5146061",""
"61213","1058","0.2","1","","","3","","idle_normal_lookup","5146061",""
"61214","105911","0.2","1","","","3","","kokkoro_wish_idle_joy_lookup","5146061",""
"61215","1059","0.2","1","","","3","","kokkoro_wish_idle_joy_lookup","5146061",""
"61216","21","0","0","","","3","","coaster_1_in","5146061",""
"61217","se_10055900","","0","","","23","","se_10055900_photo","5146061",""
"61218","2.3","","","","","93","","0","5146061",""
"61219","105811","0.2","1","","","3","","idle_normal_surprise","5146061",""
"61220","1058","0.2","1","","","3","","idle_normal_surprise","5146061",""
"61221","105911","0.2","1","","","3","","kokkoro_idle_normal_surprise","5146061",""
"61222","1059","0.2","1","","","3","","kokkoro_idle_normal_surprise","5146061",""
"61223","106011","0.2","0","1","","3","0","pointing_in_noface","5146061","pointing_loop_noface"
"61224","1060","0.2","0","1","","3","0","pointing_in_kyaru","5146061","pointing_loop_kyaru"
"61225","vo_apg","","0","","","21","","vo_apg_0115","5146061","0"
"61226","106011","0","10","1","0","11","0","ってなによこれーっ！！！\nあたし写ってないじゃない！！？","5146061","1"
"61227","0.5","","","","","93","","1","5146061",""
"61228","30","","0.5","","","122","","30","5146061",""
"61229","61226","","","","","91","","","5146061",""
"61230","105811","0.2","1","","","3","","surprise_talk","5146061",""
"61231","1058","0.2","1","","","3","","surprise_talk","5146061",""
"61232","vo_apg","","0","","","21","","vo_apg_0116","5146061","0"
"61233","105811","0","10","1","0","11","0","……へ？\nキャルちゃんほんとは\n写りたかったんですか？","5146061","1"
"61234","0","","","","","91","","","5146061",""
"61235","105811","0.2","1","","","3","","idle_normal_talk1R","5146061",""
"61236","1058","0.2","1","","","3","","idle_normal_talk1R","5146061",""
"61237","105911","0.2","1","","","3","","kokkoro_sad_talk","5146061",""
"61238","1059","0.2","1","","","3","","kokkoro_sad_talk","5146061",""
"61239","vo_apg","","0","","","21","","vo_apg_0117","5146061","0"
"61240","105911","0","10","1","0","11","0","写りたくないのではと思って\nキャルさまを隠しましたが。\n余計なお世話だったみたいです","5146061","1"
"61241","0","","","","","91","","","5146061",""
"61242","105911","0.2","1","","","3","","kokkoro_idle_normal","5146061",""
"61243","1059","0.2","1","","","3","","kokkoro_idle_normal","5146061",""
"61244","106011","0.2","0","1","","3","0","shock_in_shy_red","5146061","shock_loop_shy_red"
"61245","1060","0.2","0","1","","3","0","shock_in_shy_red","5146061","shock_loop_shy_red"
"61246","vo_apg","","0","","","21","","vo_apg_0118","5146061","0"
"61247","106011","0","10","1","0","11","0","い…いやそういう訳じゃ\nないけどっ！！？","5146061","1"
"61248","0","","","","","91","","","5146061",""
"61249","21","0","0","","","3","","coaster_1_out","5146061",""
"61250","105911","0.2","1","","","3","0.2","kokkoro_idle_normal_joy","5146061",""
"61251","1059","0.2","1","","","3","0.2","kokkoro_idle_normal_joy","5146061",""
"61252","105811","0.2","1","","","3","0.2","joy_talk","5146061",""
"61253","1058","0.2","1","","","3","0.2","joy_talk","5146061",""
"61254","vo_apg","","0","","","21","","vo_apg_0119","5146061","0"
"61255","105811","0","10","1","0","11","0","なんだ♪\nじゃあもう一回乗りましょー♪","5146061","1"
"61256","0","","","","","91","","","5146061",""
"61257","105811","0.2","1","","","3","","joy_idle","5146061",""
"61258","1058","0.2","1","","","3","","joy_idle","5146061",""
"61259","105911","0.2","1","","","3","","kokkoro_wish_talk_normal2","5146061",""
"61260","1059","0.2","1","","","3","","kokkoro_wish_talk_normal2","5146061",""
"61261","vo_apg","","0","","","21","","vo_apg_0120","5146061","0"
"61262","105911","0","10","1","0","11","0","はい、そういたしましょう♪","5146061","1"
"61263","0","","","","","91","","","5146061",""
"61264","0","","","","","22","","0","5146061",""
"61265","105911","0.2","1","","","3","","kokkoro_wish_idle_joy","5146061",""
"61266","1059","0.2","1","","","3","","kokkoro_wish_idle_joy","5146061",""
"61267","106011","0.2","1","","","3","","anger_talk_anger2_red","5146061",""
"61268","1060","0.2","1","","","3","","anger_talk_anger2_red","5146061",""
"61269","106011","0","2","0","0","12","0","2","5146061","0"
"61270","105811","0","2","0","0","12","0","10","5146061","0"
"61271","105911","0","2","0","0","12","0","10","5146061","0"
"61272","2","","","","","93","","0","5146061",""
"61273","61274","","","","","101","","","5146061",""
"61274","0","","","","","22","","0.2","5146061",""
"62001","1","1.8","103","-278","idle_normal","1","0","100911","5146062","-290"
"62002","3","1.8","104","-278","idle_normal","5","0","1009","5146062","-290"
"62003","1","1.8","100","-278","idle_normal","1","1","131011","5146062","290"
"62004","100911","","","","","13","","203","5146062",""
"62005","131011","","","","","13","","200","5146062",""
"62006","7","0.85","15","-174","idle","5","0","7","5146062","0"
"62007","20","1","210","71","empty","5","0","20","5146062","-132"
"62008","22","1","210","-42","empty","5","0","22","5146062","0"
"62009","21","1","60","153","empty","5","0","21","5146062","0"
"62010","1","1","0","1","","31","","1","5146062","0"
"62011","2","0","0","1","","31","","2","5146062","-57.7"
"62012","10","0","0","1","","31","","10","5146062","0"
"62013","11","0","0","1","","31","","11","5146062","0"
"62014","14","0","-290","1","","31","","14","5146062","-278"
"62015","20","1","0","1","","31","","20","5146062","0"
"62016","20","","","","","36","","100911","5146062",""
"62017","20","","","","","36","","20","5146062",""
"62018","20","","","","","36","","22","5146062",""
"62019","0","","","","","91","","0","5146062",""
"62020","0","","0","","","102","","0","5146062",""
"62021","1","","","","","93","","0","5146062",""
"62022","100911","0.2","0","1","","3","0","cool_in_dere","5146062","cool_talk_dere"
"62023","1009","0.2","0","1","","3","0","cool_in_dere","5146062","cool_talk_dere"
"62024","vo_apg","","0","","","21","","vo_apg_0201","5146062","0"
"62025","100911","0","10","1","0","11","0","いざ征かん、極滅禁断秘儀へ！\nさあ、案内を頼むぞ！","5146062","1"
"62026","0","","","","","91","","","5146062",""
"62027","100911","0.2","1","","","3","","cool_idle","5146062",""
"62028","1009","0.2","1","","","3","","cool_idle","5146062",""
"62029","131011","0.2","1","","","3","","wish_talk_joy","5146062",""
"62030","vo_apg","","0","","","21","","vo_apg_0202","5146062","0"
"62031","131011","0","10","1","0","11","0","アンナはんが興味持って\nくれるなんてうれしいわ～\nしっかり案内させてもらいます","5146062","1"
"62032","0","","","","","91","","","5146062",""
"62033","131011","0.2","1","","","3","","wish_idle","5146062",""
"62034","100911","0.2","0","1","","3","0.2","anna_armcrossed","5146062","sad_talk"
"62035","1009","0.2","0","1","","3","0.2","anna_armcrossed","5146062","sad_talk"
"62036","vo_apg","","0","","","21","","vo_apg_0203","5146062","0"
"62037","100911","0","10","1","0","11","0","うむ！　シグルドたちも\n挑んだというその試練、この冥姫も…\nって、え？　\nこれ、もしかして絶叫系…？","5146062","1"
"62038","0","","","","","91","","","5146062",""
"62039","100911","0.2","1","","","3","","sad_idle","5146062",""
"62040","1009","0.2","1","","","3","","sad_idle","5146062",""
"62041","131011","0.2","0","1","","3","0.2","maho_talk_normal","5146062","surprise_talk"
"62042","vo_apg","","0","","","21","","vo_apg_0204","5146062","0"
"62043","131011","0","10","1","0","11","0","このパークの大人気\nアトラクションなんよ～\nあら？　どないしはりました？\n顔色が良くないような…","5146062","1"
"62044","0","","","","","91","","","5146062",""
"62045","131011","0.2","1","","","3","","surprise_idle","5146062",""
"62046","100911","0.2","1","","","3","","anger_talk_shy","5146062",""
"62047","1009","0.2","1","","","3","","anger_talk_shy","5146062",""
"62048","vo_apg","","0","","","21","","vo_apg_0205","5146062","0"
"62049","100911","0","10","1","0","11","0","べべべ、別に　お、怯えてなぞ…\nまったくもって、一向に構わぬが？","5146062","1"
"62050","0","","","","","91","","","5146062",""
"62051","100911","0.2","1","","","3","","anger_idle_shy","5146062",""
"62052","1009","0.2","1","","","3","","anger_idle_shy","5146062",""
"62053","131011","0.2","1","","","3","","worry_talk","5146062",""
"62054","vo_apg","","0","","","21","","vo_apg_0206","5146062","0"
"62055","131011","0","10","1","0","11","0","せやけど、無理はせん方が\nええんとちゃいます？","5146062","1"
"62056","0","","","","","91","","","5146062",""
"62057","131011","0.2","1","","","3","","wish_idle_shy","5146062",""
"62058","100911","0.2","1","","","3","","anger_talk_pain","5146062",""
"62059","1009","0.2","1","","","3","","anger_talk_pain","5146062",""
"62060","vo_apg","","0","","","21","","vo_apg_0207","5146062","0"
"62061","100911","0","10","1","0","11","0","ええい！　か、構わんと言っている！\nここまで案内させて引くわけには…\nいくぞ！　突撃だーーーー！","5146062","1"
"62062","0","","","","","91","","","5146062",""
"62063","0","","","","","22","","0","5146062",""
"62064","100911","0.2","1","","","3","","run_dash_anger2","5146062",""
"62065","1009","0.2","1","","","3","","run_dash_anger2","5146062",""
"62066","131011","0.2","1","","","3","","walk_surprise","5146062",""
"62067","100911","","-278","0","","2","","-129","5146062","2"
"62068","1009","","-278","0","","2","","-129","5146062","2"
"62069","131011","","-278","0","","2","","129","5146062","2"
"62070","14","","","","","32","","1","5146062",""
"62071","14","","","","","37","","left","5146062",""
"62072","14","","-278","0","","33","","-129","5146062","2"
"62073","1","","","","","93","","0","5146062",""
"62074","2","","","","","32","","1","5146062",""
"62075","1.5","","","","","93","","0","5146062",""
"62076","14","","","","","32","","0","5146062",""
"62077","100911","","-331","0","","2","","0","5146062","0"
"62078","20","","","","","37","","scale15","5146062",""
"62079","se_10055900","","1","","","23","","se_10055900_coaster_01","5146062",""
"62080","vo_apg","","0","","","21","","vo_apg_0208","5146062","0"
"62081","22","0","0","","","3","","0208_in","5146062",""
"62082","3.3","","","","","93","","1","5146062",""
"62083","22","0","0","","","3","","0208_mid","5146062",""
"62084","","","","","","92","","","5146062",""
"62085","22","0","0","","","3","","0208_out","5146062",""
"62086","0.2","","","","","93","","0","5146062",""
"62087","0.3","","","","","93","","0","5146062",""
"62088","20","","","","","37","","scale1","5146062",""
"62089","10","","","","","32","","1","5146062",""
"62090","se_10055900_coaster_01","","","","","24","","0.5","5146062",""
"62091","se_10055900","","1","","","23","","se_10055900_coaster_02","5146062",""
"62092","20","","0","0","","2","","0","5146062","0"
"62093","30","","0.5","","","122","","30","5146062",""
"62094","vo_apg","","0","","","21","","vo_apg_0209","5146062","0"
"62095","20","0","0","","","3","","0209_in","5146062",""
"62096","2.6","","","","","93","","1","5146062",""
"62097","20","0","0","","","3","","0209_mid","5146062",""
"62098","","","","","","92","","","5146062",""
"62099","20","0","0","","","3","","0209_out","5146062",""
"62100","0.2","","","","","93","","0","5146062",""
"62101","30","","1","","","122","","30","5146062",""
"62102","vo_apg","","0","","","21","","vo_apg_0210","5146062","0"
"62103","20","0","0","","","3","","0210_in","5146062",""
"62104","2.7","","","","","93","","1","5146062",""
"62105","20","0","0","","","3","","0210_mid","5146062",""
"62106","","","","","","92","","","5146062",""
"62107","20","0","0","","","3","","0210_out","5146062",""
"62108","0.2","","","","","93","","0","5146062",""
"62109","0","","","","","22","","0","5146062",""
"62110","20","0","1","","","3","","empty","5146062",""
"62111","1","","","","","93","","","5146062",""
"62112","11","","","","","32","","1","5146062",""
"62113","se_10055900","","0","","","23","","se_10055900_camera","5146062",""
"62114","0.2","","","","","93","","0","5146062",""
"62115","10","","","","","32","","0","5146062",""
"62116","1.8","","","","","93","","0","5146062",""
"62117","se_10055900_coaster_02","","","","","24","","0.5","5146062",""
"62118","2","","","","","37","","iris_out","5146062",""
"62119","100911","","-278","0","","2","","-129","5146062","0"
"62120","1009","","-278","0","","2","","-129","5146062","0"
"62121","131011","","-278","0","","2","","129","5146062","0"
"62122","100911","0.2","1","","","3","","anna_walk","5146062",""
"62123","1009","0.2","1","","","3","","anna_walk","5146062",""
"62124","131011","0.2","1","","","3","","walk_normal_joy","5146062",""
"62125","100911","","-278","0","","2","","-290","5146062","2"
"62126","1009","","-278","0","","2","","-290","5146062","2"
"62127","131011","","-278","0","","2","","290","5146062","2"
"62128","100911","","","","","4","","1","5146062",""
"62129","1009","","","","","4","","1","5146062",""
"62130","131011","","","","","4","","0","5146062",""
"62131","2","","","","","93","","0","5146062",""
"62132","100911","","","","","4","","0","5146062",""
"62133","1009","","","","","4","","0","5146062",""
"62134","131011","","","","","4","","1","5146062",""
"62135","100911","0.2","1","","","3","","anna_idle","5146062",""
"62136","1009","0.2","1","0","","3","","anna_idle","5146062",""
"62137","131011","0.2","1","","","3","","idle_normal","5146062",""
"62138","0.5","","","","","93","","0","5146062",""
"62139","131011","0.2","1","","","3","","talk_normal_surprise","5146062",""
"62140","vo_apg","","0","","","21","","vo_apg_0211","5146062","0"
"62141","131011","0","10","1","0","11","0","どないでした？\nえらい声出してはったけど","5146062","1"
"62142","0","","","","","91","","","5146062",""
"62143","131011","0.2","1","","","3","","idle_normal_surprise","5146062",""
"62144","100911","0.2","0","1","","3","0","anna_kukuku_in","5146062","anna_kukuku_loop"
"62145","1009","0.2","0","1","","3","0","anna_kukuku_in","5146062","anna_kukuku_loop"
"62146","vo_apg","","0","","","21","","vo_apg_0212","5146062","0"
"62147","100911","20","10","1","0","11","0","ふ、ふふふ…シグルドよ…\n私にも、刻が…見える！","5146062","1"
"62148","0","","","","","91","","","5146062",""
"62149","21","0","0","","","3","","coaster_2_in","5146062",""
"62150","se_10055900","","0","","","23","","se_10055900_photo","5146062",""
"62151","0.1","","","","","93","","0","5146062",""
"62152","100911","0.2","0","1","","3","0","anna_ahaha_in","5146062","anna_ahaha_loop"
"62153","1009","0.2","0","1","","3","0","anna_ahaha_in","5146062","anna_ahaha_loop"
"62154","vo_apg","","0","","","21","","vo_apg_0213","5146062","0"
"62155","100911","-30","10","1","0","11","0","今、冥姫は\n疾風を追い越した！","5146062","1"
"62156","0","","","","","91","","","5146062",""
"62157","131011","0.2","1","","","3","","wish_talk_joy","5146062",""
