28ded4e578b2c5f6eba44f2e23e2c13b14dc9523aeebaff9dbb9e8d61de0b856,2a0b9e3bd4b0343fc63e1819e909cf8f825b71396689c62589969fd15fb59e82,8f419d835804dfd09ad82c81999625bfd5614b659cce9dd3d9074813920b9431,5c4ec9fed546a25bfcf3019642567c36a47dc3739c2c0e671d74d08928c53c9b,d598a724aa4a8a7beeae76fa1f0d17f983178b092047111d2d38ccc7dc960097,a2e4755e12e9628b9000fc1e1035d61ba4b9d3166ea591bba805ae3e03ee50ae,954188fcacba0e0b5b48e1156fc9e44499298a8a16f40f7dd9de1c2e8ba39471,12228351dd9de3bfcde4354d6d37ec8dd696a79210145fc9b9eed2371a0b732b,2f20a1eb98517298d5f7a98e9c86e29a712d885966657bf16ca0b5a81d040f8b,6c13e51236487abd7ab11b510f1f275c1f83e19d77d6ff2aac20f5be86efcdcb
"1","0","ダイスの目を{0}回振りなおせる","4","1042","クリスティーナ","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","107101","3"
"7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","1043","ネネカ","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","107001","1"
"4","0","出目が{0}のダイスを同時に振って\nどちらか選択できる","5","1044","カヤ","出目が{0}のダイスを同時に振って\nどちらか選択できる","","106501","2"
"10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","1","1045","ユニ","","","111001","1"
"10002","0","最大2000マイルを入手する","2","1046","カノン","","","134901","1"
"1","0","福引券を{0}枚入手する","12","1047","ツムギ","","","105401","1"
"1","0","料理を{0}つ入手する","3","1048","ホウオウ","","","134701","1"
"0","0","ダイスの表と裏\nどちらを適用するか選択できる","8","1049","ヒヨリ","ダイスの表と裏\nどちらを適用するか選択できる","","100101","2"
"1","0","ダイスの目を{0}回振りなおせる","4","1050","ミヤコ","ダイスの目を{0}回振りなおせる\n（あと{1}回）","ダイスの目を{0}回振りなおせる\n振りなおせない場合、マイルを入手する","100701","3"
"7","0","出目の合計が{0}以上になるまで\nダイスを追加で振れる","6","1051","ニノン","出目の合計が{0}以上になるまで\nダイスを追加で振れる","","103001","1"
"2","1","出たダイスの目が{0}だった場合、\n+{1}進める","13","1052","カスミ","出たダイスの目が{0}だった場合、\n+{1}進める","","101401","3"
"10001","0","最大50％割引確定のショップを開く（1品100％割引あり）","1","1053","サツキ","","","135901","1"
"10002","0","最大2000マイルを入手する","2","1054","リン","","","102601","1"
"1","0","福引券を{0}枚入手する","12","1055","イロハ","","","132401","1"
"1","0","料理を{0}つ入手する","3","1056","ユキノ","","","135801","1"
