1d1d99e9dea2fd401ad8ec7609015ab69dfcfe82ddf4503cb78b50e49fb92795,5908880b4665ad9af3ef00ae52352fc52b486c26e1d35bf2a7c0ba596898bdbc,5896147a496502833bfd878331338229cbd6b51ec7c1368cbad057c5dad211e8,80c78d0c3a95f18d8fb55eb8a7225df6d1fca639575cea504347ba157e946b33,2cfff6402f3055c629091138cb2a0c12dc0dee41955c93d9d5e3a87fbbdbf6dc,a1a9242d75ad55f7f49054b4e41e093eeeedeec66fa9dadf429d5693cc5e215c,76af0af7aeafd72145d6c81d2ae94e223221e6fc0da3e73f8f6e1827aae9b4de,227350627fd21cc7c490cbf7a39eb61eb3931664f870543709edb4718302a4bc,8e88cefbaba53c52863c310bf6ed1239a8027d04cf3942a313e4b5a6c39db189
"-74","0","133","49","3","320030406","0.65","0","3"
"-49","0","134","13","1","320030407","0.7","502003408","1"
"-4","0","135","62","2","320030407","0.85","502003409","3"
"59","0","136","50","3","320030407","0.65","0","2"
"0","0","137","-10","1","320030408","1.05","0","1"
"-15","0","138","-10","1","320030409","1.05","0","1"
"-85","0","139","-45","1","320030410","0.43","0","1"
"85","0","140","-45","2","320030410","0.43","0","2"
"43.5","0","141","11","1","320030506","0.7","502003502","1"
"13","0","142","67","2","320030506","0.65","502003503","2"
"-74","0","143","49","3","320030506","0.65","0","3"
"-49","0","144","13","1","320030507","0.7","502003508","1"
"-4","0","145","62","2","320030507","0.85","502003509","3"
"59","0","146","50","3","320030507","0.65","0","2"
"0","0","147","-10","1","320030508","1.05","0","1"
"-15","0","148","-10","1","320030509","1.05","0","1"
"-85","0","149","-45","1","320030510","0.43","0","1"
"85","0","150","-45","2","320030510","0.43","0","2"
"-74","0","151","49","1","320040106","0.7","502004103","1"
"13","0","152","67","2","320040106","0.85","502004104","3"
"43.5","0","153","11","3","320040106","0.65","0","2"
"59","0","154","50","1","320040107","0.7","502004107","1"
"-4","0","155","62","2","320040107","0.85","502004109","3"
"-49","0","156","13","3","320040107","0.65","0","2"
"0","0","157","-10","1","320040108","0.8","0","1"
"30","0","158","20","1","320040109","0.9","0","1"
"20","0","159","-25","1","320040110","1","0","1"
"-74","0","160","49","1","320040206","0.7","502004203","1"
"13","0","161","67","2","320040206","0.85","502004204","3"
"43.5","0","162","11","3","320040206","0.65","0","2"
"59","0","163","50","1","320040207","0.7","502004207","1"
"-4","0","164","62","2","320040207","0.85","502004209","3"
"-49","0","165","13","3","320040207","0.65","0","2"
"0","0","166","-10","1","320040208","0.8","0","1"
"30","0","167","20","1","320040209","0.9","0","1"
"20","0","168","-25","1","320040210","1","0","1"
"-74","0","169","49","1","320040306","0.7","502004303","1"
"13","0","170","67","2","320040306","0.85","502004304","3"
"43.5","0","171","11","3","320040306","0.65","0","2"
"59","0","172","50","1","320040307","0.7","502004307","1"
"-4","0","173","62","2","320040307","0.85","502004309","3"
"-49","0","174","13","3","320040307","0.65","0","2"
"0","0","175","-10","1","320040308","0.8","0","1"
"30","0","176","20","1","320040309","0.9","0","1"
"20","0","177","-25","1","320040310","1","0","1"
"-74","0","178","49","1","320040406","0.7","502004403","1"
"13","0","179","67","2","320040406","0.85","502004404","3"
"43.5","0","180","11","3","320040406","0.65","0","2"
"59","0","181","50","1","320040407","0.7","502004407","1"
"-4","0","182","62","2","320040407","0.85","502004409","3"
"-49","0","183","13","3","320040407","0.65","0","2"
"0","0","184","-10","1","320040408","0.8","0","1"
"30","0","185","20","1","320040409","0.9","0","1"
"20","0","186","-25","1","320040410","1","0","1"
"-74","0","187","49","1","320040506","0.7","502004503","1"
"13","0","188","67","2","320040506","0.85","502004504","3"
"43.5","0","189","11","3","320040506","0.65","0","2"
"59","0","190","50","1","320040507","0.7","502004507","1"
"-4","0","191","62","2","320040507","0.85","502004509","3"
"-49","0","192","13","3","320040507","0.65","0","2"
"0","0","193","-10","1","320040508","0.8","0","1"
"30","0","194","20","1","320040509","0.9","0","1"
"20","0","195","-25","1","320040510","1","0","1"
"-74","0","196","40","1","320050106","0.7","502005101","2"
"13","0","197","67","2","320050106","1","502005103","3"
"43.5","0","198","11","3","320050106","0.65","0","1"
"59","0","199","50","1","320050107","0.7","502005106","2"
"30","0","200","62","2","320050107","0.9","502005108","3"
"-49","0","201","13","3","320050107","0.65","0","1"
"5","0","202","10","1","320050108","0.75","0","1"
"-10","0","203","10","1","320050109","0.75","0","1"
"20","0","204","-25","1","320050110","1","0","1"
"-74","0","205","40","1","320050206","0.7","502005201","2"
"13","0","206","67","2","320050206","1","502005203","3"
"43.5","0","207","11","3","320050206","0.65","0","1"
"59","0","208","50","1","320050207","0.7","502005206","2"
"30","0","209","62","2","320050207","0.9","502005208","3"
"-49","0","210","13","3","320050207","0.65","0","1"
"5","0","211","10","1","320050208","0.75","0","1"
"-10","0","212","10","1","320050209","0.75","0","1"
"20","0","213","-25","1","320050210","1","0","1"
"-74","0","214","40","1","320050306","0.7","502005301","2"
"13","0","215","67","2","320050306","1","502005303","3"
"43.5","0","216","11","3","320050306","0.65","0","1"
"59","0","217","50","1","320050307","0.7","502005306","2"
"30","0","218","62","2","320050307","0.9","502005308","3"
"-49","0","219","13","3","320050307","0.65","0","1"
"5","0","220","10","1","320050308","0.75","0","1"
"-10","0","221","10","1","320050309","0.75","0","1"
"20","0","222","-25","1","320050310","1","0","1"
"-74","0","223","40","1","320050406","0.7","502005401","2"
"13","0","224","67","2","320050406","1","502005403","3"
"43.5","0","225","11","3","320050406","0.65","0","1"
"59","0","226","50","1","320050407","0.7","502005406","2"
"30","0","227","62","2","320050407","0.9","502005408","3"
"-49","0","228","13","3","320050407","0.65","0","1"
"5","0","229","10","1","320050408","0.75","0","1"
"-10","0","230","10","1","320050409","0.75","0","1"
"20","0","231","-25","1","320050410","1","0","1"
"-74","0","232","40","1","320050506","0.7","502005501","2"
"13","0","233","67","2","320050506","1","502005503","3"
"43.5","0","234","11","3","320050506","0.65","0","1"
"59","0","235","50","1","320050507","0.7","502005506","2"
"30","0","236","62","2","320050507","0.9","502005508","3"
"-49","0","237","13","3","320050507","0.65","0","1"
"5","0","238","10","1","320050508","0.75","0","1"
"-10","0","239","10","1","320050509","0.75","0","1"
"20","0","240","-25","1","320050510","1","0","1"
"-74","0","241","40","1","320060106","0.7","502006101","2"
"13","0","242","67","2","320060106","0.7","502006103","3"
"43.5","0","243","11","3","320060106","0.65","0","1"
"59","0","244","50","1","320060107","0.7","502006106","2"
"30","0","245","62","2","320060107","0.9","502006108","3"
"-49","0","246","13","3","320060107","0.65","0","1"
"5","0","247","10","1","320060108","1","0","1"
"-10","0","248","10","1","320060109","1.2","0","1"
"20","0","249","-25","1","320060110","1","0","1"
"-74","0","250","40","1","320060206","0.7","502006201","2"
"13","0","251","67","2","320060206","0.7","502006203","3"
"43.5","0","252","11","3","320060206","0.65","0","1"
"59","0","253","50","1","320060207","0.7","502006206","2"
"30","0","254","62","2","320060207","0.9","502006208","3"
"-49","0","255","13","3","320060207","0.65","0","1"
"5","0","256","10","1","320060208","1","0","1"
"-10","0","257","10","1","320060209","1.2","0","1"
"20","0","258","-25","1","320060210","1","0","1"
"-74","0","259","40","1","320060306","0.7","502006301","2"
"13","0","260","67","2","320060306","0.7","502006303","3"
"43.5","0","261","11","3","320060306","0.65","0","1"
"59","0","262","50","1","320060307","0.7","502006306","2"
"30","0","263","62","2","320060307","0.9","502006308","3"
"-49","0","264","13","3","320060307","0.65","0","1"
"5","0","265","10","1","320060308","1","0","1"
"-10","0","266","10","1","320060309","1.2","0","1"
"20","0","267","-25","1","320060310","1","0","1"
"-74","0","268","40","1","320060406","0.7","502006401","2"
"13","0","269","67","2","320060406","0.7","502006403","3"
"43.5","0","270","11","3","320060406","0.65","0","1"
"59","0","271","50","1","320060407","0.7","502006406","2"
"30","0","272","62","2","320060407","0.9","502006408","3"
"-49","0","273","13","3","320060407","0.65","0","1"
"5","0","274","10","1","320060408","1","0","1"
"-10","0","275","10","1","320060409","1.2","0","1"
"20","0","276","-25","1","320060410","1","0","1"
"-74","0","277","40","1","320060506","0.7","502006501","2"
"13","0","278","67","2","320060506","0.7","502006503","3"
"43.5","0","279","11","3","320060506","0.65","0","1"
"59","0","280","50","1","320060507","0.7","502006506","2"
"30","0","281","62","2","320060507","0.9","502006508","3"
"-49","0","282","13","3","320060507","0.65","0","1"
"5","0","283","10","1","320060508","1","0","1"
"-10","0","284","10","1","320060509","1.2","0","1"
"20","0","285","-25","1","320060510","1","0","1"
"-74","0","286","40","1","320070106","0.7","502007101","2"
"43","0","287","67","2","320070106","0.7","502007103","3"
"43.5","0","288","11","3","320070106","0.65","0","1"
"59","0","289","50","1","320070107","0.7","502007106","2"
"30","0","290","62","2","320070107","0.9","502007108","3"
"-49","0","291","13","3","320070107","0.65","0","1"
"5","0","292","20","1","320070108","0.9","0","1"
"0","0","293","20","1","320070109","0.9","0","1"
"-20","0","294","-20","1","320070110","1","0","1"
"-74","0","295","40","1","320070206","0.7","502007201","2"
"43","0","296","67","2","320070206","0.7","502007203","3"
"43.5","0","297","11","3","320070206","0.65","0","1"
"59","0","298","50","1","320070207","0.7","502007206","2"
"30","0","299","62","2","320070207","0.9","502007208","3"
"-49","0","300","13","3","320070207","0.65","0","1"
"5","0","301","20","1","320070208","0.9","0","1"
"0","0","302","20","1","320070209","0.9","0","1"
"-20","0","303","-20","1","320070210","1","0","1"
"-74","0","304","40","1","320070306","0.7","502007301","2"
"43","0","305","67","2","320070306","0.7","502007303","3"
"43.5","0","306","11","3","320070306","0.65","0","1"
"59","0","307","50","1","320070307","0.7","502007306","2"
"30","0","308","62","2","320070307","0.9","502007308","3"
"-49","0","309","13","3","320070307","0.65","0","1"
"5","0","310","20","1","320070308","0.9","0","1"
"0","0","311","20","1","320070309","0.9","0","1"
"-20","0","312","-20","1","320070310","1","0","1"
"-74","0","313","40","1","320070406","0.7","502007401","2"
"43","0","314","67","2","320070406","0.7","502007403","3"
"43.5","0","315","11","3","320070406","0.65","0","1"
"59","0","316","50","1","320070407","0.7","502007406","2"
"30","0","317","62","2","320070407","0.9","502007408","3"
"-49","0","318","13","3","320070407","0.65","0","1"
"5","0","319","20","1","320070408","0.9","0","1"
"0","0","320","20","1","320070409","0.9","0","1"
"-20","0","321","-20","1","320070410","1","0","1"
"-74","0","322","40","1","320070506","0.7","502007501","2"
"43","0","323","67","2","320070506","0.7","502007503","3"
"43.5","0","324","11","3","320070506","0.65","0","1"
"59","0","325","50","1","320070507","0.7","502007506","2"
"30","0","326","62","2","320070507","0.9","502007508","3"
"-49","0","327","13","3","320070507","0.65","0","1"
"5","0","328","20","1","320070508","0.9","0","1"
"0","0","329","20","1","320070509","0.9","0","1"
"-20","0","330","-20","1","320070510","1","0","1"
"-74","0","331","40","1","320080106","0.7","502008101","2"
"43","0","332","67","2","320080106","0.9","502008103","3"
"43.5","0","333","11","3","320080106","0.65","0","1"
"59","0","334","50","1","320080107","0.7","502008106","2"
"30","0","335","62","2","320080107","0.9","502008108","3"
"-49","0","336","13","3","320080107","0.65","0","1"
"5","0","337","20","1","320080108","0.8","0","1"
"0","0","338","20","1","320080109","1.1","0","1"
"-20","0","339","-20","1","320080110","1","0","1"
"-74","0","340","40","1","320080206","0.7","502008201","2"
"43","0","341","67","2","320080206","0.9","502008203","3"
"43.5","0","342","11","3","320080206","0.65","0","1"
"59","0","343","50","1","320080207","0.7","502008206","2"
"30","0","344","62","2","320080207","0.9","502008208","3"
"-49","0","345","13","3","320080207","0.65","0","1"
"5","0","346","20","1","320080208","0.8","0","1"
"0","0","347","20","1","320080209","1.1","0","1"
"-20","0","348","-20","1","320080210","1","0","1"
"-74","0","349","40","1","320080306","0.7","502008301","2"
"43","0","350","67","2","320080306","0.9","502008303","3"
"43.5","0","351","11","3","320080306","0.65","0","1"
"59","0","352","50","1","320080307","0.7","502008306","2"
"30","0","353","62","2","320080307","0.9","502008308","3"
"-49","0","354","13","3","320080307","0.65","0","1"
"5","0","355","20","1","320080308","0.8","0","1"
"0","0","356","20","1","320080309","1.1","0","1"
"-20","0","357","-20","1","320080310","1","0","1"
"-74","0","358","40","1","320080406","0.7","502008401","2"
"43","0","359","67","2","320080406","0.9","502008403","3"
"43.5","0","360","11","3","320080406","0.65","0","1"
"59","0","361","50","1","320080407","0.7","502008406","2"
"30","0","362","62","2","320080407","0.9","502008408","3"
"-49","0","363","13","3","320080407","0.65","0","1"
"5","0","364","20","1","320080408","0.8","0","1"
"0","0","365","20","1","320080409","1.1","0","1"
"-20","0","366","-20","1","320080410","1","0","1"
"-74","0","367","40","1","320080506","0.7","502008501","2"
"43","0","368","67","2","320080506","0.9","502008503","3"
"43.5","0","369","11","3","320080506","0.65","0","1"
"59","0","370","50","1","320080507","0.7","502008506","2"
"30","0","371","62","2","320080507","0.9","502008508","3"
"-49","0","372","13","3","320080507","0.65","0","1"
"5","0","373","20","1","320080508","0.8","0","1"
"0","0","374","20","1","320080509","1.1","0","1"
"-20","0","375","-20","1","320080510","1","0","1"
"-74","0","376","40","1","320090106","0.7","502009101","2"
"13","0","377","67","2","320090106","1","502009103","3"
"43.5","0","378","11","3","320090106","0.65","0","1"
"-68","0","379","50","1","320090107","0.7","502009106","2"
"30","0","380","62","2","320090107","0.9","502009108","3"
"29","0","381","13","3","320090107","0.65","0","1"
"5","0","382","10","1","320090108","0.75","0","1"
"0","0","383","10","1","320090109","1","0","1"
"-20","0","384","-20","1","320090110","1","0","1"
"-74","0","385","40","1","320090206","0.7","502009201","2"
"13","0","386","67","2","320090206","1","502009203","3"
"43.5","0","387","11","3","320090206","0.65","0","1"
"-68","0","388","50","1","320090207","0.7","502009206","2"
"30","0","389","62","2","320090207","0.9","502009208","3"
"29","0","390","13","3","320090207","0.65","0","1"
"5","0","391","10","1","320090208","0.75","0","1"
"0","0","392","10","1","320090209","1","0","1"
"-20","0","393","-20","1","320090210","1","0","1"
"-74","0","394","40","1","320090306","0.7","502009301","2"
"13","0","395","67","2","320090306","1","502009303","3"
"43.5","0","396","11","3","320090306","0.65","0","1"
"-68","0","397","50","1","320090307","0.7","502009306","2"
"30","0","398","62","2","320090307","0.9","502009308","3"
"29","0","399","13","3","320090307","0.65","0","1"
"5","0","400","10","1","320090308","0.75","0","1"
"0","0","401","10","1","320090309","1","0","1"
"-20","0","402","-20","1","320090310","1","0","1"
"-74","0","403","40","1","320090406","0.7","502009401","2"
"13","0","404","67","2","320090406","1","502009403","3"
"43.5","0","405","11","3","320090406","0.65","0","1"
"-68","0","406","50","1","320090407","0.7","502009406","2"
"30","0","407","62","2","320090407","0.9","502009408","3"
"29","0","408","13","3","320090407","0.65","0","1"
"5","0","409","10","1","320090408","0.75","0","1"
"0","0","410","10","1","320090409","1","0","1"
"-20","0","411","-20","1","320090410","1","0","1"
"-74","0","412","40","1","320090506","0.7","502009501","2"
"13","0","413","67","2","320090506","1","502009503","3"
"43.5","0","414","11","3","320090506","0.65","0","1"
"-68","0","415","50","1","320090507","0.7","502009506","2"
"30","0","416","62","2","320090507","0.9","502009508","3"
"29","0","417","13","3","320090507","0.65","0","1"
"5","0","418","10","1","320090508","0.75","0","1"
"0","0","419","10","1","320090509","1","0","1"
"-20","0","420","-20","1","320090510","1","0","1"
"-74","0","421","40","1","320100106","0.7","502010101","2"
"13","0","422","67","2","320100106","1","502010103","3"
"43.5","0","423","11","3","320100106","0.65","0","1"
"-68","0","424","50","1","320100107","0.7","502010106","2"
"30","0","425","62","2","320100107","0.9","502010108","3"
"29","0","426","13","3","320100107","0.65","0","1"
"40","0","427","60","1","320100108","0.9","0","1"
"0","0","428","10","1","320100109","1","0","1"
"-20","0","429","-35","1","320100110","1","0","1"
"-74","0","430","40","1","320100206","0.7","502010201","2"
"13","0","431","67","2","320100206","1","502010203","3"
"43.5","0","432","11","3","320100206","0.65","0","1"
"-68","0","433","50","1","320100207","0.7","502010206","2"
"30","0","434","62","2","320100207","0.9","502010208","3"
"29","0","435","13","3","320100207","0.65","0","1"
"40","0","436","60","1","320100208","0.9","0","1"
"0","0","437","10","1","320100209","1","0","1"
"-20","0","438","-35","1","320100210","1","0","1"
"-74","0","439","40","1","320100306","0.7","502010301","2"
"13","0","440","67","2","320100306","1","502010303","3"
"43.5","0","441","11","3","320100306","0.65","0","1"
"-68","0","442","50","1","320100307","0.7","502010306","2"
"30","0","443","62","2","320100307","0.9","502010308","3"
"29","0","444","13","3","320100307","0.65","0","1"
"40","0","445","60","1","320100308","0.9","0","1"
"0","0","446","10","1","320100309","1","0","1"
"-20","0","447","-35","1","320100310","1","0","1"
"-74","0","448","40","1","320100406","0.7","502010401","2"
"13","0","449","67","2","320100406","1","502010403","3"
"43.5","0","450","11","3","320100406","0.65","0","1"
"-68","0","451","50","1","320100407","0.7","502010406","2"
"30","0","452","62","2","320100407","0.9","502010408","3"
"29","0","453","13","3","320100407","0.65","0","1"
"40","0","454","60","1","320100408","0.9","0","1"
"0","0","455","10","1","320100409","1","0","1"
"-20","0","456","-35","1","320100410","1","0","1"
"-74","0","457","40","1","320100506","0.7","502010501","2"
"13","0","458","67","2","320100506","1","502010503","3"
"43.5","0","459","11","3","320100506","0.65","0","1"
"-68","0","460","50","1","320100507","0.7","502010506","2"
"30","0","461","62","2","320100507","0.9","502010508","3"
"29","0","462","13","3","320100507","0.65","0","1"
"40","0","463","60","1","320100508","0.9","0","1"
"0","0","464","10","1","320100509","1","0","1"
"-20","0","465","-35","1","320100510","1","0","1"
"-74","0","466","40","1","320110106","0.7","502011101","2"
"13","0","467","67","2","320110106","1","502011103","3"
"43.5","0","468","11","3","320110106","0.65","0","1"
"-98","0","469","50","1","320110107","0.7","502011106","2"
"0","0","470","72","2","320110107","1.1","502011108","3"
"49","0","471","13","3","320110107","0.65","0","1"
"-40","0","472","30","1","320110108","0.75","0","1"
"20","0","473","50","1","320110109","1.2","0","1"
"-20","0","474","-35","1","320110110","1.1","0","1"
"-74","0","475","40","1","320110206","0.7","502011201","2"
"13","0","476","67","2","320110206","1","502011203","3"
"43.5","0","477","11","3","320110206","0.65","0","1"
"-98","0","478","50","1","320110207","0.7","502011206","2"
"0","0","479","72","2","320110207","1.1","502011208","3"
"49","0","480","13","3","320110207","0.65","0","1"
"-40","0","481","30","1","320110208","0.75","0","1"
"20","0","482","50","1","320110209","1.2","0","1"
"-20","0","483","-35","1","320110210","1.1","0","1"
"-74","0","484","40","1","320110306","0.7","502011301","2"
"13","0","485","67","2","320110306","1","502011303","3"
"43.5","0","486","11","3","320110306","0.65","0","1"
"-98","0","487","50","1","320110307","0.7","502011306","2"
"0","0","488","72","2","320110307","1.1","502011308","3"
"49","0","489","13","3","320110307","0.65","0","1"
"-40","0","490","30","1","320110308","0.75","0","1"
"20","0","491","50","1","320110309","1.2","0","1"
"-20","0","492","-35","1","320110310","1.1","0","1"
"-74","0","493","40","1","320110406","0.7","502011401","2"
"13","0","494","67","2","320110406","1","502011403","3"
"43.5","0","495","11","3","320110406","0.65","0","1"
"-98","0","496","50","1","320110407","0.7","502011406","2"
"0","0","497","72","2","320110407","1.1","502011408","3"
"49","0","498","13","3","320110407","0.65","0","1"
"-40","0","499","30","1","320110408","0.75","0","1"
"20","0","500","50","1","320110409","1.2","0","1"
"-20","0","501","-35","1","320110410","1.1","0","1"
"-74","0","502","40","1","320110506","0.7","502011501","2"
"13","0","503","67","2","320110506","1","502011503","3"
"43.5","0","504","11","3","320110506","0.65","0","1"
"-98","0","505","50","1","320110507","0.7","502011506","2"
"0","0","506","72","2","320110507","1.1","502011508","3"
"49","0","507","13","3","320110507","0.65","0","1"
"-40","0","508","30","1","320110508","0.75","0","1"
"20","0","509","50","1","320110509","1.2","0","1"
"-20","0","510","-35","1","320110510","1.1","0","1"
"-74","0","511","40","1","320120106","0.7","502012101","2"
"10","0","512","67","2","320120106","1","502012103","3"
"43.5","0","513","11","3","320120106","0.65","0","1"
"-98","0","514","50","1","320120107","0.7","502012106","2"
"0","0","515","72","2","320120107","1","502012108","3"
"49","0","516","13","3","320120107","0.65","0","1"
"10","0","517","30","1","320120108","1.2","0","1"
"40","0","518","40","1","320120109","0.9","0","1"
"-20","0","519","-35","1","320120110","1.1","0","1"
"-74","0","520","40","1","320120206","0.7","502012201","2"
