b96ac4958addcf79cd37d779b1dee954c4115eeaa9c960086794dc72104ab7bf,4ac744f05d084b1c5993dbfccc3564b195690ac58b5d6739534b72f402992628,88959a09891ba39b09d0b5ef55018589ee0db3d0b8d109bf4b6d8ca0d09521eb,0a9f34e0cd443a03d94d0f1437e5e58e84ad34682bbdd7e18bcfa86360ddb6c4,c10e9ddb43d10f49e6145d52bfe639f515f2cd4eb2e3000763fd48aac87a75ea,8a1d15f4443e70ba579f11aade27455b7c90a2cf4ea2763e38dbe288c6927636,5349ecbd065f80a85241c4176fe5880257ff722a65ad9bfb3c5636f3ddc3f4ab,8388d999819d0f948bbc92237e0773546d1dc92b0e76882d2657f97b31fe33da,002bd759a5000dd01b35b04ee1944db27ffa936823f6d092adbdae55a6dc3bf6,810a542ef41594619f087e0f83f2e56f34dae06c3558ce29f2487e14f82b89fb,82104135d5febd07e062630e26ced7624e660c97e2cfde5126d2097a1b37e352
"640","2","-15","","211","0","","3","102110038","1001004",""
"570","2","-90","","211","0","","3","102110039","1001005",""
"850","33","-90","","211","0","","3","102110040","1001001",""
"780","33","-15","","211","0","","3","102110041","1001002",""
"710","33","-105","","211","0","","3","102110042","1001003",""
"640","33","-15","","211","0","","3","102110043","1001004",""
"570","33","-90","","211","0","","3","102110044","1001005",""
"<weapon>_run","3","1","0","211","0","","","102110045","1002001",""
"<weapon>_run","3","1","0","211","0","","","102110046","1002002",""
"<weapon>_run","3","1","0","211","0","","","102110047","1002003",""
"<weapon>_run","3","1","0","211","0","","","102110048","1002004",""
"<weapon>_run","3","1","0","211","0","","","102110049","1002005",""
"450","2","-240","","211","0","","3","102110050","1002001",""
"380","2","-165","","211","0","","3","102110051","1002002",""
"310","2","-255","","211","0","","3","102110052","1002003",""
"240","2","-165","","211","0","","3","102110053","1002004",""
"170","2","-240","","211","0","","3","102110054","1002005",""
"450","33","-240","","211","0","","3","102110055","1002001",""
"380","33","-165","","211","0","","3","102110056","1002002",""
"310","33","-255","","211","0","","3","102110057","1002003",""
"240","33","-165","","211","0","","3","102110058","1002004",""
"170","33","-240","","211","0","","3","102110059","1002005",""
"1","32","","","211","","","","102110060","10020",""
"0","93","","","211","","","","102110061","2.5",""
"1","32","","","211","","","","102110062","10031",""
"0","93","","","211","","","","102110063","0.4",""
"0","91","","","211","","","","102110064","0",""
"se_travel_start_3pt","23","0","","311","","","","103110001","se_travel",""
"10010","31","0","1","311","1","","0","103110002","10010",""
"10011","31","0","1","311","1","","0","103110003","10011",""
"10020","31","0","0","311","1","","0","103110004","10020",""
"1001001","1","62","0.68","311","-240","0","0","103110005","2","<weapon>_idle"
"1001002","1","61","0.68","311","-165","0","-70","103110006","2","<weapon>_idle"
"1001003","1","63","0.68","311","-255","0","-140","103110007","2","<weapon>_idle"
"1001004","1","61","0.68","311","-165","0","-210","103110008","2","<weapon>_idle"
"1001005","1","62","0.68","311","-240","0","-280","103110009","2","<weapon>_idle"
"1001001","31","0","1","311","0.68","0","-240","103110010","10012",""
"1001002","31","-70","1","311","0.68","0","-165","103110011","10012",""
"1001003","31","-140","1","311","0.68","0","-255","103110012","10012",""
"1001004","31","-210","1","311","0.68","0","-165","103110013","10012",""
"1001005","31","-280","1","311","0.68","0","-240","103110014","10012",""
"1002001","1","52","0.68","311","-60","0","-250","103110015","2","<weapon>_idle"
"1002002","1","51","0.68","311","15","0","-320","103110016","2","<weapon>_idle"
"1002003","1","53","0.68","311","-75","0","-390","103110017","2","<weapon>_idle"
"1002004","1","51","0.68","311","15","0","-460","103110018","2","<weapon>_idle"
"1002005","1","52","0.68","311","-60","0","-530","103110019","2","<weapon>_idle"
"1002001","31","-250","1","311","0.68","0","-60","103110020","10012",""
"1002002","31","-320","1","311","0.68","0","15","103110021","10012",""
"1002003","31","-390","1","311","0.68","0","-75","103110022","10012",""
"1002004","31","-460","1","311","0.68","0","15","103110023","10012",""
"1002005","31","-530","1","311","0.68","0","-60","103110024","10012",""
"1003001","1","62","0.68","311","-250","0","-500","103110025","2","<weapon>_idle"
"1003002","1","61","0.68","311","-175","0","-570","103110026","2","<weapon>_idle"
"1003003","1","63","0.68","311","-265","0","-640","103110027","2","<weapon>_idle"
"1003004","1","61","0.68","311","-175","0","-710","103110028","2","<weapon>_idle"
"1003005","1","62","0.68","311","-250","0","-780","103110029","2","<weapon>_idle"
"1003001","31","-500","1","311","0.68","0","-250","103110030","10012",""
"1003002","31","-570","1","311","0.68","0","-175","103110031","10012",""
"1003003","31","-640","1","311","0.68","0","-265","103110032","10012",""
"1003004","31","-710","1","311","0.68","0","-175","103110033","10012",""
"1003005","31","-780","1","311","0.68","0","-250","103110034","10012",""
"10030","31","0","0","311","1","","0","103110035","10030",""
"10031","31","0","0","311","1","","0","103110036","10031",""
"0","91","","","311","","","","103110037","",""
"1","32","","","311","","","","103110038","10030",""
"0","91","","","311","","","","103110039","0",""
"<weapon>_run","3","1","0","311","0","","","103110040","1001001",""
"<weapon>_run","3","1","0","311","0","","","103110041","1001002",""
"<weapon>_run","3","1","0","311","0","","","103110042","1001003",""
"<weapon>_run","3","1","0","311","0","","","103110043","1001004",""
"<weapon>_run","3","1","0","311","0","","","103110044","1001005",""
"950","2","-240","","311","0","","3","103110045","1001001",""
"880","2","-165","","311","0","","3","103110046","1001002",""
"810","2","-255","","311","0","","3","103110047","1001003",""
"740","2","-165","","311","0","","3","103110048","1001004",""
"670","2","-240","","311","0","","3","103110049","1001005",""
"950","33","-240","","311","0","","3","103110050","1001001",""
"880","33","-165","","311","0","","3","103110051","1001002",""
"810","33","-255","","311","0","","3","103110052","1001003",""
"740","33","-165","","311","0","","3","103110053","1001004",""
"670","33","-240","","311","0","","3","103110054","1001005",""
"<weapon>_run","3","1","0","311","0","","","103110055","1002001",""
"<weapon>_run","3","1","0","311","0","","","103110056","1002002",""
"<weapon>_run","3","1","0","311","0","","","103110057","1002003",""
"<weapon>_run","3","1","0","311","0","","","103110058","1002004",""
"<weapon>_run","3","1","0","311","0","","","103110059","1002005",""
"700","2","-60","","311","0","","3","103110060","1002001",""
"630","2","15","","311","0","","3","103110061","1002002",""
"560","2","-75","","311","0","","3","103110062","1002003",""
"490","2","15","","311","0","","3","103110063","1002004",""
"420","2","-60","","311","0","","3","103110064","1002005",""
"700","33","-60","","311","0","","3","103110065","1002001",""
"630","33","15","","311","0","","3","103110066","1002002",""
"560","33","-75","","311","0","","3","103110067","1002003",""
"490","33","15","","311","0","","3","103110068","1002004",""
"420","33","-60","","311","0","","3","103110069","1002005",""
"<weapon>_run","3","1","0","311","0","","","103110070","1003001",""
"<weapon>_run","3","1","0","311","0","","","103110071","1003002",""
"<weapon>_run","3","1","0","311","0","","","103110072","1003003",""
"<weapon>_run","3","1","0","311","0","","","103110073","1003004",""
"<weapon>_run","3","1","0","311","0","","","103110074","1003005",""
"450","2","-250","","311","0","","3","103110075","1003001",""
"380","2","-175","","311","0","","3","103110076","1003002",""
"310","2","-265","","311","0","","3","103110077","1003003",""
"240","2","-175","","311","0","","3","103110078","1003004",""
"170","2","-250","","311","0","","3","103110079","1003005",""
"450","33","-250","","311","0","","3","103110080","1003001",""
"380","33","-175","","311","0","","3","103110081","1003002",""
"310","33","-265","","311","0","","3","103110082","1003003",""
"240","33","-175","","311","0","","3","103110083","1003004",""
"170","33","-250","","311","0","","3","103110084","1003005",""
"1","32","","","311","","","","103110085","10020",""
"0","93","","","311","","","","103110086","2.5",""
"1","32","","","311","","","","103110087","10031",""
"0","93","","","311","","","","103110088","0.4",""
"0","91","","","311","","","","103110089","0",""
