cbb8432234366cf32b15613316da2c5850a6880676bbb55d2ada9eadf6f2d49a,cbf5cbf6422d4cb26810c4a91f9a274ae9dfc3a386d3018ad6dddbbfd8ea4e23,69ab8bd9c86f5265882bc0359370691528afbcad98dcdd94aece31a0779934ae,203dc2f1825d4b99ae3e635b693b5e1d4810009bd92e547df0b4cd08ae66f767,07569e853600141ef66f070ad2a33e75d4576cc186ddaf82982453da210666e0,a7851828d13078bcfe48a971401e9a2bbd9c4b5f12bf3f92cd6ec38029129f18,ec30dc7dd6f1a1f7a430fd7739763bbec02c542752de10dc27088cd1e612dc9e,47aaaecc34dcccf0fb4a402165653de14513a8ae681ccc55e7784448369b14c3,1f5c7a382f396e51c09ec919b3912bee81a547ea68fb01c2731d1be8f8258fa0,a148286a74e73dfc193780aca8e5717d58d15b2860ec1e8d9234c8d6cc660b8a,7e50cf649ef420dc82b9b7cb5be32f2cdd8eed2b83440d05bf44c4a846bc9962
"","","","","1007401","101","","1007401186","1007401124","",""
"1","mhp_sit_idle","","0.2","1007401","3","","117531","1007401125","",""
"1","mhp_sit_talk_worry","","0.2","1007401","3","","100211","1007401126","",""
"0","vo_mhp_4012","","","1007401","21","0","vo_mhp_1007401","1007401127","",""
"8","あの、お薬とかは……","0","0","1007401","11","1","100211","1007401128","0","0.5"
"","","","","1007401","91","","0","1007401129","",""
"1","mhp_sit_idle_sad","","0.2","1007401","3","","100211","1007401130","",""
"1","mhp_sit_talk_thinking","","0.2","1007401","3","","117531","1007401131","",""
"0","vo_mhp_4013","","","1007401","21","0","vo_mhp_1007401","1007401132","",""
"5","必要ないわ。色々考えすぎるのが\nよくないの、だから心穏やかに\n過ごすのが一番よ。","0","0","1007401","11","1","117531","1007401133","0","0.5"
"","","","","1007401","91","","0","1007401134","",""
"","0","","","1007401","22","","0","1007401135","",""
"1","mhp_sit_idle","","0.2","1007401","3","","117531","1007401136","",""
"0","mhp_yui_sit_pekori","","0.2","1007401","3","","100211","1007401137","",""
"","","","","1007401","91","","0","1007401138","",""
"0","mhp_sit_out","","0.2","1007401","3","","100211","1007401139","",""
"","","","","1007401","91","","0","1007401140","",""
"","","","","1007401","101","","1007401186","1007401141","",""
"0","mhp_sit_out","0","0.2","1007401","3","mhp_idle_normal","117531","1007401142","1",""
"","0","","","1007401","93","","0.6","1007401143","",""
"0","mhp_sit_out","0","0.2","1007401","3","mhp_idle_normal","100211","1007401144","1",""
"","0","","","1007401","93","","0.2","1007401145","",""
"1","mhp_walk","","0.2","1007401","3","","100211","1007401146","0",""
"-220","35","","","1007401","2","1.5","100211","1007401147","0",""
"-220","35","","","1007401","2","1.5","31","1007401148","0",""
"-220","35","","","1007401","2","1.5","11","1007401149","0",""
"-220","35","","","1007401","2","1.5","12","1007401150","0",""
"","0","","","1007401","93","","0.3","1007401151","",""
"0","mhp_handover_in","0","0.2","1007401","3","mhp_handover_loop","117531","1007401152","1",""
"1","1","0","0","1007401","6","1","21","1007401153","1",""
"1","1","0","0","1007401","6","1","22","1007401154","1",""
"0","mhp_handover_in","0","0.2","1007401","3","mhp_handover_loop","21","1007401155","1",""
"0","mhp_item_EX0007_handover_in","0","0.2","1007401","3","mhp_item_EX0007_handover_loop","22","1007401156","1",""
"","0","","","1007401","93","","1.2","1007401157","",""
"0","mhp_handover_receive_in","0","0.2","1007401","3","mhp_handover_receive_loop","100211","1007401158","1",""
"1","1","0","0","1007401","6","1","11","1007401159","1",""
"1","1","0","0","1007401","6","1","12","1007401160","1",""
"0","mhp_receive_yui_in","0","0.2","1007401","3","mhp_receive_yui_loop","11","1007401161","1",""
"0","mhp_item_EX0007_receive_in","0","0.2","1007401","3","mhp_item_EX0007_receive_loop","12","1007401162","1",""
"","0","","","1007401","93","","0.6","1007401163","",""
"1","1","0","0.4","1007401","6","1","22","1007401164","1",""
"","0","","","1007401","93","","0.4","1007401165","",""
"0","mhp_handover_out","0","0.2","1007401","3","mhp_idle_normal","117531","1007401166","1",""
"0","mhp_handover_out","0","0.2","1007401","3","NoItem_idle","21","1007401167","1",""
"0","mhp_item_EX0007_handover_out","0","0.2","1007401","3","NoItem_idle","22","1007401168","1",""
"","0","","","1007401","93","","0.4","1007401169","",""
"0","mhp_handover_receive_out","0","0.2","1007401","3","mhp_idle_normal","100211","1007401170","1",""
"0","mhp_receive_yui_out","0","0.2","1007401","3","NoItem_idle","11","1007401171","1",""
"0","mhp_item_EX0007_receive_out","0","0.2","1007401","3","NoItem_idle","12","1007401172","1",""
"","0","","","1007401","93","","2","1007401173","",""
"1","mhp_talk_wish","","0.2","1007401","3","","100211","1007401174","",""
"0","vo_mhp_4014","","","1007401","21","0","vo_mhp_1007401","1007401175","",""
"5","カンポー……なんだかよく効きそう……\nありがとうございます、ミツキさん","0","0","1007401","11","1","100211","1007401176","0","0.5"
"","","","","1007401","91","","0","1007401177","",""
"1","mhp_idle_wish","","0.2","1007401","3","","100211","1007401178","",""
"1","mhp_talk_thinking","","0.2","1007401","3","","117531","1007401179","",""
"0","vo_mhp_4015","","","1007401","21","0","vo_mhp_1007401","1007401180","",""
"7","（まあ、滋養強壮のカンポーだから\n全然関係ないんだけどね）","0","0","1007401","11","1","117531","1007401181","0","0.5"
"","","","","1007401","91","","0","1007401182","",""
"","0","","","1007401","22","","0","1007401183","",""
"0","mhp_sit_in","0.2","0.2","1007401","3","mhp_sit_idle","117531","1007401184","1",""
"0","mhp_yui_pekori","","0.2","1007401","3","","100211","1007401185","",""
"","","","","1007401","91","","0","1007401186","",""
"1","mhp_walk","","0.2","1007401","3","","100211","1007401187","",""
"","1","","","1007401","4","","100211","1007401188","",""
"-220","-1000","","","1007401","2","5","100211","1007401189","0",""
"","0","","","1007401","93","","4","1007401190","",""
"1","mhp_sit_talk_worry","","0.2","1007401","3","","117631","1007401191","",""
"0","vo_mhp_4016","","","1007401","21","0","vo_mhp_1007401","1007401192","",""
"5","先生、あの人って本当に病気なの？","0","0","1007401","11","1","117631","1007401193","0","0.5"
"","","","","1007401","91","","0","1007401194","",""
"1","mhp_sit_idle","","0.2","1007401","3","","117631","1007401195","",""
"1","mhp_sit_talk_thinking","","0.2","1007401","3","","117531","1007401196","",""
"0","vo_mhp_4017","","","1007401","21","0","vo_mhp_1007401","1007401197","",""
"4","ええ、かなりの重病よ\nこれはしっかりと診てあげないとね\nふふ、若い子っていいわね♪","0","","1007401","11","1","117531","1007401198","0","0.5"
"","","","","1007401","91","","0","1007401199","",""
"","0.5","","","1007401","22","","0","1007401200","",""
"","","","","1007401","91","","0","1007401201","",""
"100","100211","0","1.7","1007402","1","-1000","1","1007402001","-240","mhp_idle_normal"
"100","117531","1","1.7","1007402","1","185","1","1007402002","-220","mhp_sit_idle"
"100","117631","1","1.7","1007402","1","365","1","1007402003","-200","mhp_sit_idle"
"-240","1","","1","1007402","31","-154","1","1007402004","0.85",""
"110","11","0","1.7","1007402","5","-200","1","1007402005","-220","NoItem"
"105","12","0","1.7","1007402","5","-200","1","1007402006","-220","NoItem"
"110","21","1","1.7","1007402","5","185","1","1007402007","-220","NoItem"
"105","22","1","1.7","1007402","5","185","1","1007402008","-220","NoItem"
"1","1","0","0","1007402","6","1","11","1007402009","0",""
"1","1","0","0","1007402","6","1","12","1007402010","0",""
"1","1","0","0","1007402","6","1","21","1007402011","0",""
"1","1","0","0","1007402","6","1","22","1007402012","0",""
"110","31","0","1.7","1007402","5","-1000","1","1007402013","-220","NoItem"
"","","","","1007402","91","","0","1007402014","",""
"1","mhp_sit_talk_normal","","0.2","1007402","3","","117531","1007402015","",""
"0","vo_mhp_4101","","","1007402","21","0","vo_mhp_1007402","1007402016","",""
"8","ユイちゃん、どうぞー","0","0","1007402","11","0","117531","1007402017","0","0.5"
"","","","","1007402","91","","0","1007402018","",""
"1","mhp_sit_idle","","0.2","1007402","3","","117531","1007402019","",""
"1","mhp_yui_walk_sad2","","0.2","1007402","3","","100211","1007402020","",""
"-220","-200","","","1007402","2","4","100211","1007402021","0",""
"","","","","1007402","91","","0","1007402022","",""
"0","mhp_yui_sit_in_sad","0.2","0.2","1007402","3","mhp_yui_sit_idle_sad","100211","1007402023","1",""
"","0","","","1007402","93","","1","1007402024","",""
"1","mhp_sit_talk_normal","","0.2","1007402","3","","117531","1007402025","",""
"0","vo_mhp_4102","","","1007402","21","0","vo_mhp_1007402","1007402026","",""
"5","よく来たわね\n今日はもしかして胸の苦しみ、かしら？","0","0","1007402","11","1","117531","1007402027","0","0.5"
"","","","","1007402","91","","0","1007402028","",""
"1","mhp_sit_idle","","0.2","1007402","3","","117531","1007402029","",""
"1","mhp_yui_sit_talk_surprise","","0.2","1007402","3","","100211","1007402030","",""
"0","vo_mhp_4103","","","1007402","21","0","vo_mhp_1007402","1007402031","",""
"6","ま、まだ何も言っていないのに！？\nさすがミツキさんですね……","0","0","1007402","11","1","100211","1007402032","0","0.5"
"","","","","1007402","91","","0","1007402033","",""
"1","mhp_yui_sit_talk_sad","","0.2","1007402","3","","100211","1007402034","",""
"0","vo_mhp_4104","","","1007402","21","0","vo_mhp_1007402","1007402035","",""
"4","そうなんです、胸が苦しくて\n仕方ないんです……\nや、やっぱり重病なんでしょうか……","0","0","1007402","11","1","100211","1007402036","0","0.5"
"","","","","1007402","91","","0","1007402037","",""
"1","mhp_yui_sit_idle_sad","","0.2","1007402","3","","100211","1007402038","",""
"1","mhp_sit_talk_sad2","","0.2","1007402","3","","117531","1007402039","",""
"0","vo_mhp_4105","","","1007402","21","0","vo_mhp_1007402","1007402040","",""
"6","前にも言ったけど、直接命にかかわる\nことはないわ。でも、時に死ぬよりも\n苦しいことになる可能性もあるわね。","0","0","1007402","11","1","117531","1007402041","0","0.5"
"","","","","1007402","91","","0","1007402042","",""
"1","mhp_sit_idle","","0.2","1007402","3","","117531","1007402043","",""
"1","mhp_yui_sit_talk_wish","","0.2","1007402","3","","100211","1007402044","",""
"0","vo_mhp_4106","","","1007402","21","0","vo_mhp_1007402","1007402045","",""
"6","そんな……\nわ、わたし、どうすれば……","0","0","1007402","11","1","100211","1007402046","0","0.5"
"","","","","1007402","91","","0","1007402047","",""
"1","mhp_yui_sit_idle_sad","","0.2","1007402","3","","100211","1007402048","",""
"1","mhp_sit_talk_wish","","0.2","1007402","3","","117531","1007402049","",""
"0","vo_mhp_4107","","","1007402","21","0","vo_mhp_1007402","1007402050","",""
"6","大丈夫、そのための医者ですもの\nさて、胸の苦しさには――","0","0","1007402","11","1","117531","1007402051","0","0.5"
"","","","","1007402","91","","0","1007402052","",""
"","0","","","1007402","22","","0","1007402053","",""
"0","1007402057","","","1007402","103","","動悸の薬を処方するわ。","1007402054","",""
"0","1007402102","","","1007402","103","","オーエド土産の甘いお菓子よ。","1007402055","",""
"0","1007402147","","","1007402","103","","羊の数でも数えなさい。","1007402056","",""
"0","mhp_sit_out","0","0.2","1007402","3","mhp_idle_normal","117531","1007402057","1",""
"","0","","","1007402","93","","0.6","1007402058","",""
"0","mhp_sit_out","0","0.2","1007402","3","mhp_idle_normal","100211","1007402059","1",""
"","0","","","1007402","93","","0.2","1007402060","",""
"1","mhp_walk","","0.2","1007402","3","","100211","1007402061","0",""
"-220","35","","","1007402","2","1.5","100211","1007402062","0",""
"-220","35","","","1007402","2","1.5","31","1007402063","0",""
"-220","35","","","1007402","2","1.5","11","1007402064","0",""
"-220","35","","","1007402","2","1.5","12","1007402065","0",""
"","0","","","1007402","93","","0.3","1007402066","",""
"0","mhp_handover_in","0","0.2","1007402","3","mhp_handover_loop","117531","1007402067","1",""
"1","1","0","0","1007402","6","1","21","1007402068","1",""
"1","1","0","0","1007402","6","1","22","1007402069","1",""
"0","mhp_handover_in","0","0.2","1007402","3","mhp_handover_loop","21","1007402070","1",""
"0","mhp_item_EX0009_handover_in","0","0.2","1007402","3","mhp_item_EX0009_handover_loop","22","1007402071","1",""
"","0","","","1007402","93","","1.2","1007402072","",""
"0","mhp_handover_receive_in","0","0.2","1007402","3","mhp_handover_receive_loop","100211","1007402073","1",""
"1","1","0","0","1007402","6","1","11","1007402074","1",""
"1","1","0","0","1007402","6","1","12","1007402075","1",""
"0","mhp_receive_yui_in","0","0.2","1007402","3","mhp_receive_yui_loop","11","1007402076","1",""
"0","mhp_item_EX0009_receive_in","0","0.2","1007402","3","mhp_item_EX0009_receive_loop","12","1007402077","1",""
"","0","","","1007402","93","","0.6","1007402078","",""
"1","1","0","0.4","1007402","6","1","22","1007402079","1",""
"","0","","","1007402","93","","0.4","1007402080","",""
"0","mhp_handover_out","0","0.2","1007402","3","mhp_idle_normal","117531","1007402081","1",""
"0","mhp_handover_out","0","0.2","1007402","3","NoItem_idle","21","1007402082","1",""
"0","mhp_item_EX0009_handover_out","0","0.2","1007402","3","NoItem_idle","22","1007402083","1",""
"","0","","","1007402","93","","0.4","1007402084","",""
"0","mhp_handover_receive_out","0","0.2","1007402","3","mhp_idle_normal","100211","1007402085","1",""
"0","mhp_receive_yui_out","0","0.2","1007402","3","NoItem_idle","11","1007402086","1",""
"0","mhp_item_EX0009_receive_out","0","0.2","1007402","3","NoItem_idle","12","1007402087","1",""
"","0","","","1007402","93","","2","1007402088","",""
"1","mhp_talk_sad","","0.2","1007402","3","","100211","1007402089","",""
"0","vo_mhp_4108","","","1007402","21","0","vo_mhp_1007402","1007402090","",""
"6","お薬もらえるとなんだか安心します\nこれで治るといいんですけど……","0","0","1007402","11","1","100211","1007402091","0","0.5"
"","","","","1007402","91","","0","1007402092","",""
"1","mhp_idle_sad","","0.2","1007402","3","","100211","1007402093","",""
"1","mhp_idle_thinking","","0.2","1007402","3","","117531","1007402094","",""
"0","vo_mhp_4109","","","1007402","21","0","vo_mhp_1007402","1007402095","",""
"6","（実際はただのラムネ菓子だけどね。\n本当の病気じゃないならこれが一番よ）","0","0","1007402","11","1","117531","1007402096","0","0.5"
"","","","","1007402","91","","0","1007402097","",""
"","0","","","1007402","22","","0","1007402098","",""
"0","mhp_sit_in","0.2","0.2","1007402","3","mhp_sit_idle","117531","1007402099","1",""
"","0","","","1007402","93","","1","1007402100","",""
"","","","","1007402","101","","1007402160","1007402101","",""
"0","mhp_sit_out","0","0.2","1007402","3","mhp_idle_normal","117531","1007402102","1",""
"","0","","","1007402","93","","0.6","1007402103","",""
"0","mhp_sit_out","0","0.2","1007402","3","mhp_idle_normal","100211","1007402104","1",""
"","0","","","1007402","93","","0.2","1007402105","",""
"1","mhp_walk","","0.2","1007402","3","","100211","1007402106","0",""
"-220","35","","","1007402","2","1.5","100211","1007402107","0",""
"-220","35","","","1007402","2","1.5","31","1007402108","0",""
"-220","35","","","1007402","2","1.5","11","1007402109","0",""
"-220","35","","","1007402","2","1.5","12","1007402110","0",""
"","0","","","1007402","93","","0.3","1007402111","",""
"0","mhp_handover_in","0","0.2","1007402","3","mhp_handover_loop","117531","1007402112","1",""
"1","1","0","0","1007402","6","1","21","1007402113","1",""
"1","1","0","0","1007402","6","1","22","1007402114","1",""
"0","mhp_handover_in","0","0.2","1007402","3","mhp_handover_loop","21","1007402115","1",""
"0","mhp_item_EX0010_handover_in","0","0.2","1007402","3","mhp_item_EX0010_handover_loop","22","1007402116","1",""
"","0","","","1007402","93","","1.2","1007402117","",""
"0","mhp_handover_receive_in","0","0.2","1007402","3","mhp_handover_receive_loop","100211","1007402118","1",""
"1","1","0","0","1007402","6","1","11","1007402119","1",""
"1","1","0","0","1007402","6","1","12","1007402120","1",""
"0","mhp_receive_yui_in","0","0.2","1007402","3","mhp_receive_yui_loop","11","1007402121","1",""
"0","mhp_item_EX0010_receive_in","0","0.2","1007402","3","mhp_item_EX0010_receive_loop","12","1007402122","1",""
"","0","","","1007402","93","","0.6","1007402123","",""
"1","1","0","0.4","1007402","6","1","22","1007402124","1",""
"","0","","","1007402","93","","0.4","1007402125","",""
"0","mhp_handover_out","0","0.2","1007402","3","mhp_idle_normal","117531","1007402126","1",""
"0","mhp_handover_out","0","0.2","1007402","3","NoItem_idle","21","1007402127","1",""
"0","mhp_item_EX0010_handover_out","0","0.2","1007402","3","NoItem_idle","22","1007402128","1",""
"","0","","","1007402","93","","0.4","1007402129","",""
"0","mhp_handover_receive_out","0","0.2","1007402","3","mhp_idle_normal","100211","1007402130","1",""
"0","mhp_receive_yui_out","0","0.2","1007402","3","NoItem_idle","11","1007402131","1",""
