5eaad30206855c95878521e031b5824a40e4c86a7a4f0ea5a9ad8cad43662f03,9870cd8d5cebc2a85815f63408b8ec904a7ac340db98a568f2055e76d40c0bd9,1c3077e91ec99658a12452b5f33ad1387a3bd81515e91926a14b213bf3e51822,b3da7871fa97d15fc352cf56241d7fab0922bfd80a6289707d9886e0af1e21a4,241e7fc391b711e877a686fbd8e836737176fb570373294ad9f4c0318a058aed,d1d2e65cb8c3be28b29664d17209762796033885516484b36d428e49a2b660b3,b0e44dd8042d9d8fbb4bf4738583062f46dea34987114b1547d63c02e449af94,2fa7276da0f79a41db693f9f911ed7ead27ad8a73760e38bd61599a05d8987e2,5d4d7fa3ff72b9492e6e364993bd8e82dfc10cfcca08550ea37b2752f8155515,7c836ff9f6bb4a375588476d47ce125f505b6c74922f4c05f68467f9aac5dbd5,eac26a56e0dde27d8ccb8da26c560c11e5677b357a41f6ac75b080d9e00002ba
"667","920","9500029","102101","151","-2","582","1358","-48","0","2"
"691","1048","9500030","102301","-70","-100","1048","1357","-30","40","2"
"667","835","9500031","102501","120","260","724","1324","-50","50","2"
"646","1024","9500032","102801","30","30","759","1665","-25","20","8"
"771","1024","9500033","101001","50","30","939","1631","-30","30","5"
"700","666","9500034","101401","20","55","621","1510","-40","40","4"
"686","969","9500035","101701","-20","-30","969","1608","-30","20","7"
"709","1120","9500036","104301","78","-130","803","1816","-40","30","10"
"783","889","9500037","102601","30","50","870","1360","-40","70","1"
"772","925","9500038","103301","70","20","797","1420","-20","70","2"
"622","864","9500039","103801","-90","35","504","1552","-30","40","7"
"752","1216","9500040","105201","-90","35","635","1874","-27","40","11"
"706","1194","9500041","103201","130","60","898","1635","-35","-40","5"
"705","819","9500042","103401","40","-30","512","1569","-40","20","6"
"651","739","9500043","104601","50","0","619","1563","-30","20","6"
"764","1490","9500044","104801","95","-255","969","1741","-38","30","8"
"632","1000","9500045","100901","65","107","996","1719","0","-50","8"
"806","973","9500046","101301","-40","-80","971","1883","-60","-100","7"
"734","933","9500047","102701","60","6","816","1719","-34","0","7"
"625","857","9500048","105101","-30","-20","753","1592","-34","0","7"
"622","915","9500049","105601","-60","-40","747","1737","-30","-20","9"
"697","935","9500050","101601","70","100","935","1609","-15","60","7"
"627","657","9500051","101801","50","110","549","1622","-30","20","8"
"806","1018","9500052","105001","40","100","918","1647","-30","109","3"
"672","912","9500053","100801","-14","-8","899","1590","0","0","5"
"633","1277","9500054","103001","-75","105","997","1561","-20","55","7"
"657","900","9500055","104501","-10","-50","850","1655","-35","30","8"
"668","1016","9500056","105301","10","95","922","1513","-20","50","5"
"716","998","9500057","105501","-40","-213","798","1572","-30","65","6"
"624","483","9500058","110801","20","20","438","1461","-30","40","4"
"676","805","9500059","110901","50","80","805","1523","-50","40","5"
"689","913","9500060","111001","140","-40","565","1402","-30","0","2"
"783","956","9500061","106501","10","20","956","1694","-40","30","7"
"806","763","9500062","106601","20","30","763","1593","-40","40","2"
"806","1169","9500063","106701","20","33","1169","1996","-40","0","10"
"629","1024","9500064","118101","-23","55","674","1821","-14","-50","10"
"634","796","9500065","118201","29","-66","651","1652","-28","0","8"
"794","1028","9500066","123301","40","15","928","1820","-30","0","8"
"629","1122","9500067","118001","-30","-110","998","1823","-40","-50","10"
"630","518","9500068","125801","10","5","456","1564","-40","0","6"
"624","659","9500069","126001","30","30","501","1496","-40","-20","4"
"625","775","9500070","126101","-10","-52","724","1424","7","42","3"
"635","1141","9500071","130001","-120","-105","1048","1653","-40","0","8"
"665","408","9500072","130101","0","15","315","1575","-8","0","6"
"656","945","9500073","130201","110","120","735","1429","-40","30","3"
"701","1064","9500074","132301","50","-30","907","1771","-40","-20","9"
"806","1167","9500075","132401","-10","-10","1167","2134","-30","0","9"
"631","593","9500076","132501","0","-39","545","1404","0","21","3"
"700","1360","9500077","126401","10","10","1059","1714","-77","0","9"
"806","1243","9500078","126501","10","2","1062","2156","-30","0","12"
"678","1019","9500079","127701","-100","-200","892","1526","-30","0","4"
"680","1150","9500080","127801","180","60","705","1527","-30","0","4"
"806","928","9500081","130901","-20","-40","928","1956","-40","0","7"
"621","869","9500082","129601","30","-36","605","1439","-21","53","4"
"755","1921","9500083","129701","-20","0","1319","1918","-40","0","11"
"706","1349","9500084","133601","-100","-70","1098","1613","-30","0","5"
"735","1300","9500085","134701","70","75","1255","1551","-30","0","3"
"689","999","9500086","134901","0","10","976","1647","-30","-60","5"
"806","1110","9500087","136201","15","10","1066","1688","-50","20","5"
"770","1779","9500088","136001","50","56","1319","2071","3","0","12"
"631","1756","9500089","133001","-50","65","1266","1735","-20","88","11"
"625","1543","9500090","133101","110","120","716","1739","-30","-50","9"
"712","1442","9500091","135801","6","-180","1056","2071","0","-120","11"
"777","931","9500092","135901","58","-20","555","1576","-30","40","3"
"652","1128","9500093","136901","-30","-60","553","1372","-30","0","2"
"754","862","9500095","106101","-15","-120","731","1592","-30","0","4"
"743","1041","9500096","107001","50","150","952","1456","-40","100","3"
"612","536","9500097","122301","30","60","525","1399","-20","55","3"
"740","1575","9500098","123001","190","110","1181","1627","-40","10","5"
"624","762","9500100","118501","30","70","699","1517","-40","0","5"
"624","1157","9500101","129001","42","15","443","1875","-30","-100","10"
"652","904","9500102","118601","40","70","881","1519","-30","400","13"
"740","1122","9500103","135501","32","72","632","1783","-49","4","9"
"620","1338","9500104","135601","42","300","784","1768","-30","-10","10"
"768","1072","9500105","140301","0","0","1072","1654","-20","0","5"
