f984420271d3f07f8214dd9860d63ad34eeb3b7ef55742c3ca4c60b25979e6f8,dd0197903836cb6f0411719179f12024b1015b2eda2dd4ed958a7c0113002799,ef211e5f22596f94ea1658c630bf7885961d0956d929fed210218b9943f57cfc,19af1b1f71c9b73ee259b99498b110024d7ab5a92b990a21b9224fa1d0be7968,05a4398c0712eba6749f29c8363e76ee239f6710e46580fe0867adcdd27515a1,32f714fda48bf32d21376fd49579d39d427839fe0874cd33146ba58f84e2d957,617a7ff3ac51745b884a7b1a2e148219a0803297109a8883c4a8be865932ebf4,c89073d0c514420e1e6586df72bc9508a049d00ebe095c7628abefb7f8d3d663,b596ff198e99fe56bd64e5ee7a6bc07dfdf2d6f9d6ba7627c82772db71d973c1,86e62ae5815cd607b51ab4873a5655f60fd2593358692db6976536aa7c197056,b57d0acd23a1875ad9d335fec8655db370d4ca0c9c2cf96e1d75e064bf7745d1,cb71e360003be992d10e242bba96e9784ba253990341f26d3eff85ce5e05a219,681729e9386770f60c396cd28f63b6c8f34e2bed2ef10dfb3fc1b57d42b580ca,70276c0ac6e678ffcc75335acdb3d991e097d5122a1bedeff7d40720af2661f0,cc2a34c0dcf0dc2bd40de8098bba41a52b82ec0c1cac0305133c200a663ef73f
"924113001","25","25","0","924112001","540","90","1","前哨クエスト","92411010","92411","0","25","92411020","924110100"
"924113002","25","25","0","924112002","540","90","2","前哨クエスト","92411020","92411","92411010","25","92411030","924110200"
"924113003","25","25","0","924112003","540","90","3","前哨クエスト","92411030","92411","92411020","25","0","924110300"
"924123001","25","25","0","924122001","540","90","1","前哨クエスト","92412010","92412","0","25","92412020","924120100"
"924123002","25","25","0","924122002","540","90","2","前哨クエスト","92412020","92412","92412010","25","92412030","924120200"
"924123003","25","25","0","924122003","540","90","3","前哨クエスト","92412030","92412","92412020","25","0","924120300"
"924143001","25","25","0","924142001","540","90","1","前哨クエスト","92414010","92414","0","25","92414020","924140100"
"924143002","25","25","0","924142002","540","90","2","前哨クエスト","92414020","92414","92414010","25","92414030","924140200"
"924143003","25","25","0","924142003","540","90","3","前哨クエスト","92414030","92414","92414020","25","0","924140300"
"924153001","25","25","0","924152001","540","90","1","前哨クエスト","92415010","92415","0","25","92415020","924150100"
"924153002","25","25","0","924152002","540","90","2","前哨クエスト","92415020","92415","92415010","25","92415030","924150200"
"924153003","25","25","0","924152003","540","90","3","前哨クエスト","92415030","92415","92415020","25","0","924150300"
"924163001","25","25","0","924162001","540","90","1","前哨クエスト","92416010","92416","0","25","92416020","924160100"
"924163002","25","25","0","924162002","540","90","2","前哨クエスト","92416020","92416","92416010","25","92416030","924160200"
"924163003","25","25","0","924162003","540","90","3","前哨クエスト","92416030","92416","92416020","25","0","924160300"
"924173001","25","25","0","924172001","540","90","1","前哨クエスト","92417010","92417","0","25","92417020","924170100"
"924173002","25","25","0","924172002","540","90","2","前哨クエスト","92417020","92417","92417010","25","92417030","924170200"
"924173003","25","25","0","924172003","540","90","3","前哨クエスト","92417030","92417","92417020","25","0","924170300"
"924183001","25","25","0","924182001","540","90","1","前哨クエスト","92418010","92418","0","25","92418020","924180100"
"924183002","25","25","0","924182002","540","90","2","前哨クエスト","92418020","92418","92418010","25","92418030","924180200"
"924183003","25","25","0","924182003","540","90","3","前哨クエスト","92418030","92418","92418020","25","0","924180300"
"924193001","25","25","0","924192001","540","90","1","前哨クエスト","92419010","92419","0","25","92419020","924190100"
"924193002","25","25","0","924192002","540","90","2","前哨クエスト","92419020","92419","92419010","25","92419030","924190200"
"924193003","25","25","0","924192003","540","90","3","前哨クエスト","92419030","92419","92419020","25","0","924190300"
"924203001","25","25","0","924202001","540","90","1","前哨クエスト","92420010","92420","0","25","92420020","924200100"
"924203002","25","25","0","924202002","540","90","2","前哨クエスト","92420020","92420","92420010","25","92420030","924200200"
"924203003","25","25","0","924202003","540","90","3","前哨クエスト","92420030","92420","92420020","25","0","924200300"
"924213001","25","25","0","924212001","540","90","1","前哨クエスト","92421010","92421","0","25","92421020","924010100"
"924213002","25","25","0","924212002","540","90","2","前哨クエスト","92421020","92421","92421010","25","92421030","924010200"
"924213003","25","25","0","924212003","540","90","3","前哨クエスト","92421030","92421","92421020","25","0","924010300"
"924223001","25","25","0","924222001","540","90","1","前哨クエスト","92422010","92422","0","25","92422020","924020100"
"924223002","25","25","0","924222002","540","90","2","前哨クエスト","92422020","92422","92422010","25","92422030","924020200"
"924223003","25","25","0","924222003","540","90","3","前哨クエスト","92422030","92422","92422020","25","0","924020300"
"924233001","25","25","0","924232001","540","90","1","前哨クエスト","92423010","92423","0","25","92423020","924040100"
"924233002","25","25","0","924232002","540","90","2","前哨クエスト","92423020","92423","92423010","25","92423030","924040200"
"924233003","25","25","0","924232003","540","90","3","前哨クエスト","92423030","92423","92423020","25","0","924040300"
"924243001","25","25","0","924242001","540","90","1","前哨クエスト","92424010","92424","0","25","92424020","924010100"
"924243002","25","25","0","924242002","540","90","2","前哨クエスト","92424020","92424","92424010","25","92424030","924010200"
"924243003","25","25","0","924242003","540","90","3","前哨クエスト","92424030","92424","92424020","25","0","924010300"
"924253001","25","25","0","924252001","540","90","1","前哨クエスト","92425010","92425","0","25","92425020","924030100"
"924253002","25","25","0","924252002","540","90","2","前哨クエスト","92425020","92425","92425010","25","92425030","924030200"
"924253003","25","25","0","924252003","540","90","3","前哨クエスト","92425030","92425","92425020","25","0","924030300"
"924263001","25","25","0","924262001","540","90","1","前哨クエスト","92426010","92426","0","25","92426020","924020100"
"924263002","25","25","0","924262002","540","90","2","前哨クエスト","92426020","92426","92426010","25","92426030","924020200"
"924263003","25","25","0","924262003","540","90","3","前哨クエスト","92426030","92426","92426020","25","0","924020300"
"925013001","25","25","0","925012001","540","90","1","前哨クエスト","92501010","92413","0","25","92501020","925010100"
"925013002","25","25","0","925012002","540","90","2","前哨クエスト","92501020","92413","92501010","25","92501030","925010200"
"925013003","25","25","0","925012003","540","90","3","前哨クエスト","92501030","92413","92501020","25","0","925010300"
