3244f5d0cee4d6edf741ee3b80e3fa5a77afd9a00af24b892c6ffa2018283073,477087b3b1eaee262f88213198e401ff9d50ad9a76016a5d064a4c1f1a3211da,87394c6e58c818db73594d64cde04a5d7f21fcd9139d04f1d6392e5f3e795821,0a021091a117886721188b1d08bd7041a7ff55c1511dd1a5cff4a680f4ee836f,51f68cd476eb513510dc3f9bd950b4bb1799eacb879177b8a1a1b64e4ae83211,cce55926e1bed4c15642c21ad8f7e6f4aabd94a134685d44f70dfc2ead0b06ef,cfeaa52591c380cca37dedd2099f6c48bb0b6849a67cdfcefd068e0749a3c011,1be9f106693ddade2de599ae13ce2646086e14606c9d088b6729428376142339,2bd684b1e6c18d97e44189e6f5d6b5c0b89299fd1218b9656830202f72b751d9,42ce5ccc8ed2396b5e606e2611dc4a33f665985864e54a71707d75a981625103,fb65e5b14118de9d3d887954d58190bb10dcb241bb9185065dfa5d932c90f877
"27","","1","pkb_idle_normal","","3","","","1","1270009","0.2"
"27","","1","pkb_talk_joy3","","3","","","113511","1270010","0.2"
"27","","0","vo_minigame_1006_top_talk_6_102","","21","","0","vo_minigame_1006","1270011",""
"27","0.5","6","私にできることを\nしただけですよ～\nみんなが気持ちよく\n練習できたらなって♪","0","11","0","0","113511","1270012","0"
"27","","","","","93","","","4","1270013",""
"27","","1","pkb_talk_wish","","3","","","113511","1270014","0.2"
"27","","","","","91","","","1270012","1270015",""
"27","","1","pkb_idle_normal","","3","","","113511","1270016","0.2"
"28","pkb_idle_normal","100","113411","1","1","-150","170","1","1280001","1.6"
"28","pkb_idle_normal","100","3","0","5","-130","-20","3","1280002","55"
"28","","0","pkb_talk_yell","0.2","3","1","pkb_talk_joy1","113411","1280003","0.2"
"28","","0","vo_minigame_1006_top_talk_7_201","","21","","0","vo_minigame_1006","1280004",""
"28","-0.5","8","みんな、頑張れ～♪\nかっこいいところ\n期待してるよー！\nファイトファイト～！","0","11","0","0","113411","1280005","0"
"28","","","","","93","","","4.6","1280006",""
"28","","0","pkb_talk_fun","0.2","3","1","pkb_idle_normal","113411","1280007","0.2"
"28","","","","","91","","","1280005","1280008",""
"28","","1","pkb_idle_normal","","3","","","113411","1280009","0.2"
"28","","0","pkb_talk_guts","","3","1","pkb_idle_guts","3","1280010","0.2"
"28","","0","vo_minigame_1006_top_talk_7_602","","21","","0","vo_minigame_1006","1280011",""
"28","0","8","応援が沁みるぜ…\nハツネちゃんに\nいいとこ見せるぞ！\nうおおぉぉ！！","0","11","0","0","3","1280012","0"
"28","","","","","93","","","5","1280013",""
"28","","0","pkb_talk_handsup","","3","1","pkb_idle_normal","3","1280014","0.2"
"28","","","","","91","","","1280012","1280015",""
"28","","1","pkb_idle_normal","","3","","","3","1280016","0.2"
"29","pkb_idle_normal","100","3","0","5","-130","-20","3","1290001","55"
"29","pkb_idle_normal","100","113411","1","1","-150","170","1","1290002","1.6"
"29","","0","pkb_talk_arm_crossed","0.2","3","1","pkb_idle_arm_crossed","3","1290003","0.2"
"29","","0","vo_minigame_1006_top_talk_8_601","","21","","0","vo_minigame_1006","1290004",""
"29","-1","8","かなりハードな練習に\nなりそうなんだ\nビシッと気合いが入る\n応援を頼むぜ！","0","11","0","0","3","1290005","0"
"29","","","","","93","","","2.8","1290006",""
"29","","0","pkb_talk_guts","","3","1","pkb_idle_guts","3","1290007","0.2"
"29","","","","","91","","","1290005","1290008",""
"29","","1","pkb_idle_normal","","3","","","3","1290009","0.2"
"29","","1","pkb_talk_joy1","","3","","","113411","1290010","0.2"
"29","","0","vo_minigame_1006_top_talk_8_202","","21","","0","vo_minigame_1006","1290011",""
"29","-0.5","8","任せてよ！\nいつもよりいっぱい\n応援しちゃうよ～！","0","11","0","0","113411","1290012","0"
"29","","","","","93","","","2.2","1290013",""
"29","","0","pkb_talk_fun","0.4","3","0","pkb_smile","113411","1290014","0.2"
"29","","","","","93","","","2.2","1290015",""
"29","","1","pkb_idle_normal","","3","","","113411","1290016","0.2"
"29","","","","","91","","","1290012","1290017",""
"29","","1","pkb_idle_normal","","3","","","113411","1290018","0.2"
"30","pkb_idle_normal","100","113411","1","1","-150","170","1","1300001","1.6"
"30","pkb_idle_normal","100","1","0","5","-130","-20","1","1300002","55"
"30","","1","pkb_talk_joy1","","3","","","113411","1300003","0.2"
"30","","0","vo_minigame_1006_top_talk_9_201","","21","","0","vo_minigame_1006","1300004",""
"30","1","8","いっぱい応援するから\n今日も練習頑張ってね\n目指せ、全国大会～！","0","11","0","0","113411","1300005","0"
"30","","","","","93","","","5","1300006",""
"30","","0","pkb_talk_handsup","","3","1","pkb_idle_normal","113411","1300007","0.2"
"30","","","","","91","","","1300005","1300008",""
"30","","1","pkb_idle_normal","","3","","","113411","1300009","0.2"
"30","","1","pkb_talk_normal","","3","","","1","1300010","0.2"
"30","","0","vo_minigame_1006_top_talk_9_702","","21","","0","vo_minigame_1006","1300011",""
"30","-1","8","ハツネちゃんの応援は\n俺たちの力に\nなってるよ\nいつもありがとう！","0","11","0","0","1","1300012","0"
"30","","","","","93","","","3.3","1300013",""
"30","","0","pkb_talk_guts","","3","1","pkb_idle_guts","1","1300014","0.2"
"30","","","","","91","","","1300012","1300015",""
"30","","1","pkb_idle_normal","","3","","","1","1300016","0.2"
"31","pkb_idle_normal","100","1","0","5","-130","-20","1","1310001","55"
"31","pkb_idle_normal","100","113411","1","1","-150","170","1","1310002","1.6"
"31","","0","pkb_talk_arm_crossed","0.2","3","1","pkb_idle_arm_crossed","1","1310003","0.2"
"31","","0","vo_minigame_1006_top_talk_10_701","","21","","0","vo_minigame_1006","1310004",""
"31","-1.5","8","キャプテンとして\nもっと上手くなって\nみんなを引っ張って\nいかないと！","0","11","0","0","1","1310005","0"
"31","","","","","93","","","3.6","1310006",""
"31","","0","pkb_talk_doya","","3","1","pkb_idle_doya","1","1310007","0.2"
"31","","","","","91","","","1310005","1310008",""
"31","","1","pkb_idle_normal","","3","","","1","1310009","0.2"
"31","","1","pkb_talk_joy1","","3","","","113411","1310010","0.2"
"31","","0","vo_minigame_1006_top_talk_10_202","","21","","0","vo_minigame_1006","1310011",""
"31","-0.5","8","おっ、アサヒくん！\n気合い入ってるね！\nその意気なのだ～！\n頑張れ頑張れ～☆","0","11","0","0","113411","1310012","0"
"31","","","","","93","","","3.6","1310013",""
"31","","0","pkb_talk_fun","","3","0","pkb_talk_fun","113411","1310014","0.2"
"31","","","","","93","","","3","1310015",""
"31","","1","pkb_idle_normal","","3","","","113411","1310016","0.2"
"31","","","","","91","","","1310012","1310017",""
"32","pkb_idle_normal","100","2","0","5","-130","-20","2","1320001","55"
"32","pkb_idle_normal","100","113411","1","1","-150","170","1","1320002","1.6"
"32","","0","pkb_talk_guts","","3","1","pkb_idle_guts","2","1320003","0.2"
"32","","0","vo_minigame_1006_top_talk_11_801","","21","","0","vo_minigame_1006","1320004",""
"32","0","8","ハツネちゃん…\nホームラン打つって\n約束するから\nしっかり見ててくれよ","0","11","0","0","2","1320005","0"
"32","","","","","93","","","5","1320006",""
"32","","0","pkb_talk_doya","","3","1","pkb_idle_doya","2","1320007","0.2"
"32","","","","","91","","","1320005","1320008",""
"32","","1","pkb_idle_normal","","3","","","2","1320009","0.2"
"32","","1","pkb_talk_joy2","","3","","","113411","1320010","0.2"
"32","","0","vo_minigame_1006_top_talk_11_202","","21","","0","vo_minigame_1006","1320011",""
"32","0","8","うん、わかった！\n特大ホームランを\nよろしくねー！\n期待してるよ～！","0","11","0","0","113411","1320012","0"
"32","","","","","93","","","4.6","1320013",""
"32","","0","pkb_hatsune_kiran","0.2","3","1","pkb_idle_normal","113411","1320014","0.2"
"32","","","","","91","","","1320012","1320015",""
"32","","1","pkb_idle_normal","","3","","","113411","1320016","0.2"
"33","pkb_idle_normal","100","102311","1","1","-150","170","1","1330001","1.6"
"33","pkb_idle_normal","100","2","0","5","-130","-20","2","1330002","55"
"33","","1","pkb_talk_normal","","3","","","102311","1330003","0.2"
"33","","0","vo_minigame_1006_top_talk_12_401","","21","","0","vo_minigame_1006","1330004",""
"33","-0.5","8","声出し練習やろうよ！\n「ぷうきち\nフルスイング」って\n大声で百回～！","0","11","0","0","102311","1330005","0"
"33","","","","","93","","","1.6","1330006",""
"33","","0","pkb_talk_yell","0.2","3","1","pkb_talk_joy1","102311","1330007","0.2"
"33","","","","","91","","","1330005","1330008",""
"33","","1","pkb_idle_normal","","3","","","102311","1330009","0.2"
"33","","0","vo_minigame_1006_top_talk_12_802","","21","","0","vo_minigame_1006","1330010",""
"33","0","8","ぷ、ぷうきち\nフルスイーング！\n…これはこれで\nキツい練習だな","0","11","0","0","2","1330011","0"
"33","","","","","93","","","0.5","1330012",""
