b1c13dd0a2e9d140e89426948d0c40aa5943b8303e957e6c855284c7fabf6ec3,dc14f5f637cf3b9607a1628d6e0c8eddcd1972fb388424d37315b29082e2cf93,ebbc4979f173d48fe3968782253270561ac5743c2d65da5bafeca61314a5a467,ec4c26319ef91e4cfd69698391699283cd32b7d9ff6fd2122abc434ce3aad0d1,2da97340ed1b1af527d7abfb3d9daf8b9dc8a6772f8bbc0ef046f74f925d62ba,94b0c6cc6c2bcce69959540dad13b6845748af5cebb8e94fcb8ad2bc90b9241d,11c25413dcac9cba2fa48719557b83333e29d76c6ffdd8d008c8994ca029c1d4,fa84cbe7f9535fa57ee5483030a42df97416187f5de07055f73d0449ee76bc36,428d1baf2c11478ccaf8ca42b80b254550f0153353c74bfb97935e685f0f0775,648ffbaf3b65b44d133b3216d7c518938b6365a0b6ba758133ff7143182fd7a2,7737e48a4704d51ec94be003b34a0b18ab6f7459a8bf6d40e33980b5242b7a88,832376dd777257b2ce289f22e5834d5a82f237a4cdc2b8637a421ce770c99d58
"54","13","0","1","0.981","1130054","8","0","248","360","0","0"
"55","13","1.862","4","0","1130055","0","0","0","0","1","0"
"56","13","5","4","0","1130056","0","0","0","0","3","0"
"57","13","0","2","0","1130057","0","vo_nyx","0","0","0","vo_nyx_0207"
"58","13","0","1","0.44","1130058","9","0","0","51","0","0"
"59","13","0.9","4","0","1130059","0","0","0","0","1","0"
"60","13","0","1","1.404","1130060","9","0","51","205","0","0"
"61","13","1.74","4","0","1130061","0","0","0","0","1","0"
"62","13","0","1","0.986","1130062","9","0","205","325","0","0"
"63","13","1.187","4","0","1130063","0","0","0","0","1","0"
"64","13","0","1","0.437","1130064","9","0","325","377","0","0"
"65","13","0.437","4","0","1130065","0","0","0","0","1","0"
"66","13","0","1","0.7","1130066","10","0","0","84","0","0"
"67","13","1.317","4","0","1130067","0","0","0","0","1","0"
"68","13","0","1","2.659","1130068","10","0","84","376","0","0"
"69","13","2.717","4","0","1130069","0","0","0","0","1","0"
"70","13","0","1","1.834","1130070","11","0","0","190","0","0"
"71","13","3.084","4","0","1130071","0","0","0","0","1","0"
"72","13","0","2","0","1130072","0","vo_nyx","0","0","0","vo_nyx_0208"
"73","13","0","1","1.574","1130073","12","0","0","122","0","0"
"74","13","2.083","4","0","1130074","0","0","0","0","1","0"
"75","13","0","1","1.236","1130075","12","0","122","252","0","0"
"76","13","1.443","4","0","1130076","0","0","0","0","1","0"
"77","13","0","1","0.869","1130077","12","0","252","345","0","0"
"78","13","1.288","4","0","1130078","0","0","0","0","1","0"
"79","13","0","1","0.48","1130079","13","0","0","58","0","0"
"80","13","0.81","4","0","1130080","0","0","0","0","1","0"
"81","13","0","1","0.789","1130081","13","0","58","160","0","0"
"82","13","1.627","4","0","1130082","0","0","0","0","1","0"
"83","13","0","2","0","1130083","0","vo_nyx","0","0","0","vo_nyx_0209"
"84","13","0","1","0.707","1130084","13","0","160","250","0","0"
"85","13","2.507","4","0","1130085","0","0","0","0","1","0"
"1","14","1","4","0","1140001","0","0","0","0","3","0"
"2","14","0","2","0","1140002","0","vo_nyx","0","0","0","vo_nyx_0301"
"3","14","0","1","1.075","1140003","1","0","0","97","0","0"
"4","14","1.692","4","0","1140004","0","0","0","0","1","0"
"5","14","0","1","2.843","1140005","1","0","97","360","0","0"
"6","14","4","4","0","1140006","0","0","0","0","1","0"
"7","14","0","2","0","1140007","0","vo_nyx","0","0","0","vo_nyx_0302"
"8","14","0","1","1.567","1140008","2","0","0","135","0","0"
"9","14","1.964","4","0","1140009","0","0","0","0","1","0"
"10","14","0","1","0.78","1140010","2","0","135","230","0","0"
"11","14","2.076","4","0","1140011","0","0","0","0","1","0"
"12","14","0","2","0","1140012","0","vo_nyx","0","0","0","vo_nyx_0303"
"13","14","0","1","1.037","1140013","3","0","0","74","0","0"
"14","14","1.629","4","0","1140014","0","0","0","0","1","0"
"15","14","0","1","2.027","1140015","3","0","74","270","0","0"
"16","14","3.568","4","0","1140016","0","0","0","0","1","0"
"17","14","2","4","0","1140017","0","0","0","0","3","0"
"18","14","0","2","0","1140018","0","vo_nyx","0","0","0","vo_nyx_0304"
"19","14","0","1","1.38","1140019","3","0","270","380","0","0"
"20","14","1.419","4","0","1140020","0","0","0","0","1","0"
"21","14","0","1","0.491","1140021","4","0","0","58","0","0"
"22","14","0.545","4","0","1140022","0","0","0","0","1","0"
"23","14","0","1","2.409","1140023","4","0","58","316","0","0"
"24","14","3.711","4","0","1140024","0","0","0","0","1","0"
"25","14","0","2","0","1140025","0","vo_nyx","0","0","0","vo_nyx_0305"
"26","14","0","1","0.892","1140026","5","0","0","65","0","0"
"27","14","1.458","4","0","1140027","0","0","0","0","1","0"
"28","14","0","1","2.495","1140028","5","0","65","293","0","0"
"29","14","3.134","4","0","1140029","0","0","0","0","1","0"
"30","14","0","1","0.599","1140030","6","0","0","66","0","0"
"31","14","0.599","4","0","1140031","0","0","0","0","1","0"
"32","14","0","1","1.855","1140032","6","0","66","245","0","0"
"33","14","3.373","4","0","1140033","0","0","0","0","1","0"
"34","14","0","2","0","1140034","0","vo_nyx","0","0","0","vo_nyx_0306"
"35","14","0","1","1.629","1140035","7","0","0","175","0","0"
"36","14","3.34","4","0","1140036","0","0","0","0","1","0"
"37","14","0","2","0","1140037","0","vo_nyx","0","0","0","vo_nyx_0307"
"38","14","0","1","1.079","1140038","8","0","0","89","0","0"
"39","14","1.6","4","0","1140039","0","0","0","0","1","0"
"40","14","0","1","2.353","1140040","8","0","89","325","0","0"
"41","14","3.511","4","0","1140041","0","0","0","0","1","0"
"42","14","0","2","0","1140042","0","vo_nyx","0","0","0","vo_nyx_0308"
"43","14","0","1","0.511","1140043","8","0","325","400","0","0"
"44","14","0.511","4","0","1140044","0","0","0","0","1","0"
"45","14","0","1","1.154","1140045","9","0","0","75","0","0"
"46","14","1.511","4","0","1140046","0","0","0","0","1","0"
"47","14","0","1","3.186","1140047","9","0","75","405","0","0"
"48","14","4.034","4","0","1140048","0","0","0","0","1","0"
"49","14","0","2","0","1140049","0","vo_nyx","0","0","0","vo_nyx_0309"
"50","14","0","1","3.486","1140050","10","0","0","342","0","0"
"51","14","4.563","4","0","1140051","0","0","0","0","1","0"
"52","14","0","2","0","1140052","0","vo_nyx","0","0","0","vo_nyx_0310"
"53","14","0","1","0.815","1140053","11","0","0","105","0","0"
"54","14","2.384","4","0","1140054","0","0","0","0","1","0"
"55","14","0","2","0","1140055","0","vo_nyx","0","0","0","vo_nyx_0311"
"56","14","0","1","1.726","1140056","12","0","0","139","0","0"
"57","14","2.212","4","0","1140057","0","0","0","0","1","0"
"58","14","0","1","2.239","1140058","12","0","139","348","0","0"
"59","14","2.898","4","0","1140059","0","0","0","0","1","0"
"60","14","0","1","0.691","1140060","12","0","348","398","0","0"
"61","14","3","4","0","1140061","0","0","0","0","3","0"
"62","14","0.691","4","0","1140062","0","0","0","0","1","0"
"63","14","0","1","0.499","1140063","13","0","0","55","0","0"
"64","14","1.799","4","0","1140064","0","0","0","0","1","0"
"65","14","4","4","0","1140065","0","0","0","0","3","0"
"66","14","0","2","0","1140066","0","vo_nyx","0","0","0","vo_nyx_0312"
"67","14","0","1","0.674","1140067","13","0","55","128","0","0"
"68","14","1.251","4","0","1140068","0","0","0","0","1","0"
"69","14","0","1","0.959","1140069","13","0","128","201","0","0"
"70","14","1.676","4","0","1140070","0","0","0","0","1","0"
"71","14","0","1","1.894","1140071","13","0","201","365","0","0"
"72","14","1.894","4","0","1140072","0","0","0","0","1","0"
"73","14","0","1","0.844","1140073","14","0","0","100","0","0"
"74","14","2.644","4","0","1140074","0","0","0","0","1","0"
"1","22","1","4","0","1220001","0","0","0","0","3","0"
"2","22","0","2","0","1220002","0","vo_nyx","0","0","0","vo_nyx_0401"
"3","22","0","1","1.578","1220003","1","0","0","181","0","0"
"4","22","2.06","4","0","1220004","0","0","0","0","1","0"
"5","22","0","1","1.339","1220005","1","0","181","325","0","0"
"6","22","1.417","4","0","1220006","0","0","0","0","1","0"
"7","22","0","1","1.412","1220007","2","0","0","140","0","0"
"8","22","2.549","4","0","1220008","0","0","0","0","1","0"
"9","22","0","2","0","1220009","0","vo_nyx","0","0","0","vo_nyx_0402"
"10","22","0","1","1.74","1220010","2","0","140","326","0","0"
"11","22","2.249","4","0","1220011","0","0","0","0","1","0"
"12","22","0","1","0.455","1220012","2","0","326","390","0","0"
"13","22","0.455","4","0","1220013","0","0","0","0","1","0"
"14","22","0","1","1.361","1220014","3","0","0","188","0","0"
"15","22","2.433","4","0","1220015","0","0","0","0","1","0"
"16","22","0","2","0","1220016","0","vo_nyx","0","0","0","vo_nyx_0403"
"17","22","0","1","0.438","1220017","4","0","0","55","0","0"
"18","22","0.976","4","0","1220018","0","0","0","0","1","0"
"19","22","0","1","1.414","1220019","4","0","55","256","0","0"
"20","22","2.433","4","0","1220020","0","0","0","0","1","0"
"21","22","0","2","0","1220021","0","vo_nyx","0","0","0","vo_nyx_0404"
"22","22","0","1","1.829","1220022","5","0","0","213","0","0"
"23","22","2.237","4","0","1220023","0","0","0","0","1","0"
"24","22","0","1","1.018","1220024","5","0","213","340","0","0"
"25","22","1.965","4","0","1220025","0","0","0","0","1","0"
"26","22","2","4","0","1220026","0","0","0","0","3","0"
"27","22","0","2","0","1220027","0","vo_nyx","0","0","0","vo_nyx_0405"
"28","22","0","1","0.455","1220028","5","0","340","392","0","0"
"29","22","0.455","4","0","1220029","0","0","0","0","1","0"
"30","22","0","1","0.586","1220030","6","0","0","40","0","0"
"31","22","1.124","4","0","1220031","0","0","0","0","1","0"
"32","22","0","1","1.953","1220032","6","0","40","225","0","0"
"33","22","2.356","4","0","1220033","0","0","0","0","1","0"
"34","22","0","1","1.083","1220034","6","0","225","375","0","0"
"35","22","1.083","4","0","1220035","0","0","0","0","1","0"
"36","22","0","1","0.71","1220036","7","0","0","74","0","0"
"37","22","1.533","4","0","1220037","0","0","0","0","1","0"
"38","22","0","1","0.947","1220038","7","0","74","187","0","0"
"39","22","2","4","0","1220039","0","0","0","0","3","0"
"40","22","1.349","4","0","1220040","0","0","0","0","1","0"
"41","22","0","1","0.87","1220041","7","0","187","329","0","0"
"42","22","0.87","4","0","1220042","0","0","0","0","1","0"
"43","22","0","1","1.758","1220043","8","0","0","206","0","0"
"44","22","2.198","4","0","1220044","0","0","0","0","1","0"
"45","22","0","1","1.601","1220045","8","0","206","342","0","0"
"46","22","2.097","4","0","1220046","0","0","0","0","1","0"
"47","22","0","1","0.546","1220047","8","0","342","393","0","0"
"48","22","0.546","4","0","1220048","0","0","0","0","1","0"
"49","22","0","1","1.277","1220049","9","0","0","155","0","0"
"50","22","1.656","4","0","1220050","0","0","0","0","1","0"
"51","22","0","1","2.113","1220051","9","0","155","390","0","0"
"52","22","3.362","4","0","1220052","0","0","0","0","1","0"
"53","22","3","4","0","1220053","0","0","0","0","3","0"
"54","22","0","2","0","1220054","0","vo_nyx","0","0","0","vo_nyx_0406"
"55","22","0","1","2.628","1220055","10","0","0","263","0","0"
"56","22","3.131","4","0","1220056","0","0","0","0","1","0"
"57","22","0","1","0.846","1220057","10","0","263","345","0","0"
"58","22","1.249","4","0","1220058","0","0","0","0","1","0"
"59","22","0","1","0.516","1220059","10","0","345","396","0","0"
"60","22","0.593","4","0","1220060","0","0","0","0","1","0"
"61","22","0","1","2.285","1220061","11","0","0","318","0","0"
"62","22","3.475","4","0","1220062","0","0","0","0","1","0"
"63","22","4","4","0","1220063","0","0","0","0","3","0"
"64","22","0","2","0","1220064","0","vo_nyx","0","0","0","vo_nyx_0407"
"65","22","0","1","2.326","1220065","12","0","0","258","0","0"
"66","22","2.872","4","0","1220066","0","0","0","0","1","0"
"67","22","0","1","1.488","1220067","12","0","258","395","0","0"
"68","22","1.488","4","0","1220068","0","0","0","0","1","0"
"69","22","0","1","1.728","1220069","13","0","0","220","0","0"
"70","22","2.711","4","0","1220070","0","0","0","0","1","0"
"71","22","0","2","0","1220071","0","vo_nyx","0","0","0","vo_nyx_0408"
"72","22","0","1","0.408","1220072","15","0","0","40","0","0"
"73","22","0.929","4","0","1220073","0","0","0","0","1","0"
"74","22","0","1","1.122","1220074","15","0","40","152","0","0"
"75","22","2.922","4","0","1220075","0","0","0","0","1","0"
"1","23","1","4","0","1230001","0","0","0","0","3","0"
"2","23","0","2","0","1230002","0","vo_nyx","0","0","0","vo_nyx_0501"
"3","23","0","1","3.048","1230003","1","0","0","390","0","0"
"4","23","3.048","4","0","1230004","0","0","0","0","1","0"
"5","23","0","1","0.731","1230005","2","0","0","85","0","0"
"6","23","1.507","4","0","1230006","0","0","0","0","1","0"
"7","23","0","2","0","1230007","0","vo_nyx","0","0","0","vo_nyx_0502"
"8","23","0","1","2.093","1230008","2","0","85","302","0","0"
"9","23","2.341","4","0","1230009","0","0","0","0","1","0"
"10","23","0","1","0.644","1230010","2","0","302","378","0","0"
"11","23","0.993","4","0","1230011","0","0","0","0","1","0"
"12","23","0","1","1.737","1230012","3","0","0","195","0","0"
"13","23","2.616","4","0","1230013","0","0","0","0","1","0"
"14","23","0","2","0","1230014","0","vo_nyx","0","0","0","vo_nyx_0503"
"15","23","0","1","1.866","1230015","3","0","195","395","0","0"
"16","23","1.866","4","0","1230016","0","0","0","0","1","0"
"17","23","0","1","1.039","1230017","4","0","0","123","0","0"
"18","23","1.496","4","0","1230018","0","0","0","0","1","0"
"19","23","0","1","1.355","1230019","4","0","123","305","0","0"
"20","23","2.334","4","0","1230020","0","0","0","0","1","0"
"21","23","0","2","0","1230021","0","vo_nyx","0","0","0","vo_nyx_0504"
"22","23","0","1","0.422","1230022","6","0","0","45","0","0"
"23","23","0.845","4","0","1230023","0","0","0","0","1","0"
"24","23","0","1","2.026","1230024","6","0","45","308","0","0"
"25","23","2.563","4","0","1230025","0","0","0","0","1","0"
"26","23","0","2","0","1230026","0","vo_nyx","0","0","0","vo_nyx_0505"
"27","23","0","1","0.865","1230027","8","0","0","80","0","0"
"28","23","1.207","4","0","1230028","0","0","0","0","1","0"
"29","23","0","1","1.873","1230029","8","0","80","360","0","0"
"30","23","2.166","4","0","1230030","0","0","0","0","1","0"
"31","23","0","1","2.558","1230031","9","0","0","345","0","0"
"32","23","2","4","0","1230032","0","0","0","0","3","0"
"33","23","3.202","4","0","1230033","0","0","0","0","1","0"
"34","23","0","1","2.381","1230034","10","0","0","215","0","0"
"35","23","2.938","4","0","1230035","0","0","0","0","1","0"
"36","23","0","2","0","1230036","0","vo_nyx","0","0","0","vo_nyx_0506"
"37","23","0","1","1.241","1230037","10","0","215","400","0","0"
"38","23","1.657","4","0","1230038","0","0","0","0","1","0"
"39","23","0","1","2.871","1230039","11","0","0","375","0","0"
"40","23","3","4","0","1230040","0","0","0","0","3","0"
"41","23","3.435","4","0","1230041","0","0","0","0","1","0"
"42","23","0","2","0","1230042","0","vo_nyx","0","0","0","vo_nyx_0507"
"43","23","0","1","0.717","1230043","12","0","0","64","0","0"
"44","23","1.026","4","0","1230044","0","0","0","0","1","0"
"45","23","0","1","2.843","1230045","12","0","64","395","0","0"
"46","23","3.603","4","0","1230046","0","0","0","0","1","0"
"47","23","0","2","0","1230047","0","vo_nyx","0","0","0","vo_nyx_0508"
"48","23","0","1","1.417","1230048","13","0","0","130","0","0"
"49","23","2.029","4","0","1230049","0","0","0","0","1","0"
"50","23","0","1","1.78","1230050","13","0","130","335","0","0"
"51","23","3.58","4","0","1230051","0","0","0","0","1","0"
"1","24","1","4","0","1240001","0","0","0","0","3","0"
"2","24","0","2","0","1240002","0","vo_nyx","0","0","0","vo_nyx_0601"
"3","24","0","1","0.945","1240003","1","0","0","92","0","0"
"4","24","1.808","4","0","1240004","0","0","0","0","1","0"
"5","24","0","2","0","1240005","0","vo_nyx","0","0","0","vo_nyx_0602"
"6","24","0","1","3.225","1240006","2","0","0","395","0","0"
"7","24","4.362","4","0","1240007","0","0","0","0","1","0"
"8","24","0","2","0","1240008","0","vo_nyx","0","0","0","vo_nyx_0603"
"9","24","0","1","2.828","1240009","3","0","0","392","0","0"
"10","24","4.36","4","0","1240010","0","0","0","0","1","0"
"11","24","0","2","0","1240011","0","vo_nyx","0","0","0","vo_nyx_0604"
"12","24","0","1","1.212","1240012","4","0","0","150","0","0"
"13","24","2.171","4","0","1240013","0","0","0","0","1","0"
"14","24","0","1","1.656","1240014","4","0","150","350","0","0"
"15","24","2.769","4","0","1240015","0","0","0","0","1","0"
"16","24","0","2","0","1240016","0","vo_nyx","0","0","0","vo_nyx_0605"
"17","24","0","1","0.168","1240017","5","0","0","24","0","0"
"18","24","1.256","4","0","1240018","0","0","0","0","1","0"
"19","24","0","1","0.478","1240019","5","0","24","59","0","0"
"20","24","0.535","4","0","1240020","0","0","0","0","1","0"
"21","24","0","1","0.735","1240021","5","0","59","150","0","0"
"22","24","2.444","4","0","1240022","0","0","0","0","1","0"
"23","24","0","2","0","1240023","0","vo_nyx","0","0","0","vo_nyx_0606"
"24","24","0","1","1.607","1240024","7","0","0","183","0","0"
"25","24","2.16","4","0","1240025","0","0","0","0","1","0"
"26","24","0","1","2.119","1240026","7","0","183","400","0","0"
"27","24","2.647","4","0","1240027","0","0","0","0","1","0"
"28","24","0","1","1.802","1240028","8","0","0","205","0","0"
"29","24","2","4","0","1240029","0","0","0","0","3","0"
"30","24","2.817","4","0","1240030","0","0","0","0","1","0"
"31","24","0","2","0","1240031","0","vo_nyx","0","0","0","vo_nyx_0607"
"32","24","0","1","1.981","1240032","8","0","205","395","0","0"
"33","24","2.842","4","0","1240033","0","0","0","0","1","0"
"34","24","0","1","1.894","1240034","9","0","0","180","0","0"
"35","24","3.737","4","0","1240035","0","0","0","0","1","0"
"36","24","0","2","0","1240036","0","vo_nyx","0","0","0","vo_nyx_0608"
"37","24","0","1","0.82","1240037","9","0","180","209","0","0"
"38","24","1.754","4","0","1240038","0","0","0","0","1","0"
"39","24","0","1","2.752","1240039","9","0","209","400","0","0"
"40","24","3.272","4","0","1240040","0","0","0","0","1","0"
"41","24","3","4","0","1240041","0","0","0","0","3","0"
"42","24","0","2","0","1240042","0","vo_nyx","0","0","0","vo_nyx_0609"
"43","24","0","1","1.283","1240043","11","0","0","100","0","0"
"44","24","2.322","4","0","1240044","0","0","0","0","1","0"
"45","24","4","4","0","1240045","0","0","0","0","3","0"
"46","24","0","2","0","1240046","0","vo_nyx","0","0","0","vo_nyx_0610"
"47","24","0","1","0.86","1240047","12","0","0","80","0","0"
"48","24","0.86","4","0","1240048","0","0","0","0","1","0"
"49","24","0","1","1.242","1240049","12","0","80","112","0","0"
"50","24","2.086","4","0","1240050","0","0","0","0","1","0"
"51","24","5","4","0","1240051","0","0","0","0","3","0"
"52","24","0","2","0","1240052","0","vo_nyx","0","0","0","vo_nyx_0611"
"53","24","0","1","0.735","1240053","12","0","112","242","0","0"
"54","24","1.789","4","0","1240054","0","0","0","0","1","0"
"55","24","0","2","0","1240055","0","vo_nyx","0","0","0","vo_nyx_0612"
"56","24","0","1","1","1240056","13","0","0","56","0","0"
"57","24","2.104","4","0","1240057","0","0","0","0","1","0"
"58","24","6","4","0","1240058","0","0","0","0","3","0"
