f2be95bddb5a8eddb3a59b32baa93f6031a9242adf51d035d15f18f5a3115044,878367eabda990d5adbcf95f9a651c4758955c9378ea4b751de817474f5d92a5,79934ff31c1c33b6004b3b3ba5ab08950e73d7eee18fdde9cf3a99d7db8422eb,2382cda98bdecfcf389565806065de3874d710a4eab1f9fa9e1a281ecebf4513
"【ブレイカー】クリティカルアップLv9","10202","9","82209"
"【ブレイカー】クリティカルアップLv10","10202","10","82210"
"【ブレイカー】クリダメアップLv1","10203","1","82301"
"【ブレイカー】クリダメアップLv2","10203","2","82302"
"【ブレイカー】クリダメアップLv3","10203","3","82303"
"【ブレイカー】クリダメアップLv4","10203","4","82304"
"【ブレイカー】クリダメアップLv5","10203","5","82305"
"【ブレイカー】クリダメアップLv6","10203","6","82306"
"【ブレイカー】クリダメアップLv7","10203","7","82307"
"【ブレイカー】クリダメアップLv8","10203","8","82308"
"【ブレイカー】クリダメアップLv9","10203","9","82309"
"【ブレイカー】クリダメアップLv10","10203","10","82310"
"【ブレイカー】通常攻撃強化Lv1","10204","1","82401"
"【ブレイカー】通常攻撃強化Lv2","10204","2","82402"
"【ブレイカー】通常攻撃強化Lv3","10204","3","82403"
"【ブレイカー】通常攻撃強化Lv4","10204","4","82404"
"【ブレイカー】通常攻撃強化Lv5","10204","5","82405"
"【ブレイカー】通常攻撃強化Lv6","10204","6","82406"
"【ブレイカー】通常攻撃強化Lv7","10204","7","82407"
"【ブレイカー】通常攻撃強化Lv8","10204","8","82408"
"【ブレイカー】通常攻撃強化Lv9","10204","9","82409"
"【ブレイカー】通常攻撃強化Lv10","10204","10","82410"
"【バッファー】ＨＰアップLv1","10301","1","83101"
"【バッファー】ＨＰアップLv2","10301","2","83102"
"【バッファー】ＨＰアップLv3","10301","3","83103"
"【バッファー】ＨＰアップLv4","10301","4","83104"
"【バッファー】ＨＰアップLv5","10301","5","83105"
"【バッファー】ＨＰアップLv6","10301","6","83106"
"【バッファー】ＨＰアップLv7","10301","7","83107"
"【バッファー】ＨＰアップLv8","10301","8","83108"
"【バッファー】ＨＰアップLv9","10301","9","83109"
"【バッファー】ＨＰアップLv10","10301","10","83110"
"【バッファー】物理防御力アップLv1","10302","1","83201"
"【バッファー】物理防御力アップLv2","10302","2","83202"
"【バッファー】物理防御力アップLv3","10302","3","83203"
"【バッファー】物理防御力アップLv4","10302","4","83204"
"【バッファー】物理防御力アップLv5","10302","5","83205"
"【バッファー】物理防御力アップLv6","10302","6","83206"
"【バッファー】物理防御力アップLv7","10302","7","83207"
"【バッファー】物理防御力アップLv8","10302","8","83208"
"【バッファー】物理防御力アップLv9","10302","9","83209"
"【バッファー】物理防御力アップLv10","10302","10","83210"
"【バッファー】魔法防御力アップLv1","10303","1","83301"
"【バッファー】魔法防御力アップLv2","10303","2","83302"
"【バッファー】魔法防御力アップLv3","10303","3","83303"
"【バッファー】魔法防御力アップLv4","10303","4","83304"
"【バッファー】魔法防御力アップLv5","10303","5","83305"
"【バッファー】魔法防御力アップLv6","10303","6","83306"
"【バッファー】魔法防御力アップLv7","10303","7","83307"
"【バッファー】魔法防御力アップLv8","10303","8","83308"
"【バッファー】魔法防御力アップLv9","10303","9","83309"
"【バッファー】魔法防御力アップLv10","10303","10","83310"
"【バッファー】バフ強化Lv1","10304","1","83401"
"【バッファー】バフ強化Lv2","10304","2","83402"
"【バッファー】バフ強化Lv3","10304","3","83403"
"【バッファー】バフ強化Lv4","10304","4","83404"
"【バッファー】バフ強化Lv5","10304","5","83405"
"【バッファー】バフ強化Lv6","10304","6","83406"
"【バッファー】バフ強化Lv7","10304","7","83407"
"【バッファー】バフ強化Lv8","10304","8","83408"
"【バッファー】バフ強化Lv9","10304","9","83409"
"【バッファー】バフ強化Lv10","10304","10","83410"
"【デバッファー】ＨＰアップLv1","10401","1","84101"
"【デバッファー】ＨＰアップLv2","10401","2","84102"
"【デバッファー】ＨＰアップLv3","10401","3","84103"
"【デバッファー】ＨＰアップLv4","10401","4","84104"
"【デバッファー】ＨＰアップLv5","10401","5","84105"
"【デバッファー】ＨＰアップLv6","10401","6","84106"
"【デバッファー】ＨＰアップLv7","10401","7","84107"
"【デバッファー】ＨＰアップLv8","10401","8","84108"
"【デバッファー】ＨＰアップLv9","10401","9","84109"
"【デバッファー】ＨＰアップLv10","10401","10","84110"
"【デバッファー】物理防御力アップLv1","10402","1","84201"
"【デバッファー】物理防御力アップLv2","10402","2","84202"
"【デバッファー】物理防御力アップLv3","10402","3","84203"
"【デバッファー】物理防御力アップLv4","10402","4","84204"
"【デバッファー】物理防御力アップLv5","10402","5","84205"
"【デバッファー】物理防御力アップLv6","10402","6","84206"
"【デバッファー】物理防御力アップLv7","10402","7","84207"
"【デバッファー】物理防御力アップLv8","10402","8","84208"
"【デバッファー】物理防御力アップLv9","10402","9","84209"
"【デバッファー】物理防御力アップLv10","10402","10","84210"
"【デバッファー】魔法防御力アップLv1","10403","1","84301"
"【デバッファー】魔法防御力アップLv2","10403","2","84302"
"【デバッファー】魔法防御力アップLv3","10403","3","84303"
"【デバッファー】魔法防御力アップLv4","10403","4","84304"
"【デバッファー】魔法防御力アップLv5","10403","5","84305"
"【デバッファー】魔法防御力アップLv6","10403","6","84306"
"【デバッファー】魔法防御力アップLv7","10403","7","84307"
"【デバッファー】魔法防御力アップLv8","10403","8","84308"
"【デバッファー】魔法防御力アップLv9","10403","9","84309"
"【デバッファー】魔法防御力アップLv10","10403","10","84310"
"【デバッファー】デバフ強化Lv1","10404","1","84401"
"【デバッファー】デバフ強化Lv2","10404","2","84402"
"【デバッファー】デバフ強化Lv3","10404","3","84403"
"【デバッファー】デバフ強化Lv4","10404","4","84404"
"【デバッファー】デバフ強化Lv5","10404","5","84405"
"【デバッファー】デバフ強化Lv6","10404","6","84406"
"【デバッファー】デバフ強化Lv7","10404","7","84407"
"【デバッファー】デバフ強化Lv8","10404","8","84408"
"【デバッファー】デバフ強化Lv9","10404","9","84409"
"【デバッファー】デバフ強化Lv10","10404","10","84410"
"【ブースター】ＨＰアップLv1","10501","1","85101"
"【ブースター】ＨＰアップLv2","10501","2","85102"
"【ブースター】ＨＰアップLv3","10501","3","85103"
"【ブースター】ＨＰアップLv4","10501","4","85104"
"【ブースター】ＨＰアップLv5","10501","5","85105"
"【ブースター】ＨＰアップLv6","10501","6","85106"
"【ブースター】ＨＰアップLv7","10501","7","85107"
"【ブースター】ＨＰアップLv8","10501","8","85108"
"【ブースター】ＨＰアップLv9","10501","9","85109"
"【ブースター】ＨＰアップLv10","10501","10","85110"
"【ブースター】物理防御力アップLv1","10502","1","85201"
"【ブースター】物理防御力アップLv2","10502","2","85202"
"【ブースター】物理防御力アップLv3","10502","3","85203"
"【ブースター】物理防御力アップLv4","10502","4","85204"
"【ブースター】物理防御力アップLv5","10502","5","85205"
"【ブースター】物理防御力アップLv6","10502","6","85206"
"【ブースター】物理防御力アップLv7","10502","7","85207"
"【ブースター】物理防御力アップLv8","10502","8","85208"
"【ブースター】物理防御力アップLv9","10502","9","85209"
"【ブースター】物理防御力アップLv10","10502","10","85210"
"【ブースター】魔法防御力アップLv1","10503","1","85301"
"【ブースター】魔法防御力アップLv2","10503","2","85302"
"【ブースター】魔法防御力アップLv3","10503","3","85303"
"【ブースター】魔法防御力アップLv4","10503","4","85304"
"【ブースター】魔法防御力アップLv5","10503","5","85305"
"【ブースター】魔法防御力アップLv6","10503","6","85306"
"【ブースター】魔法防御力アップLv7","10503","7","85307"
"【ブースター】魔法防御力アップLv8","10503","8","85308"
"【ブースター】魔法防御力アップLv9","10503","9","85309"
"【ブースター】魔法防御力アップLv10","10503","10","85310"
"【ブースター】ＴＰチャージLv1","10504","1","85401"
"【ブースター】ＴＰチャージLv2","10504","2","85402"
"【ブースター】ＴＰチャージLv3","10504","3","85403"
"【ブースター】ＴＰチャージLv4","10504","4","85404"
"【ブースター】ＴＰチャージLv5","10504","5","85405"
"【ブースター】ＴＰチャージLv6","10504","6","85406"
"【ブースター】ＴＰチャージLv7","10504","7","85407"
"【ブースター】ＴＰチャージLv8","10504","8","85408"
"【ブースター】ＴＰチャージLv9","10504","9","85409"
"【ブースター】ＴＰチャージLv10","10504","10","85410"
"【ヒーラー】ＨＰアップLv1","10601","1","86101"
"【ヒーラー】ＨＰアップLv2","10601","2","86102"
"【ヒーラー】ＨＰアップLv3","10601","3","86103"
"【ヒーラー】ＨＰアップLv4","10601","4","86104"
"【ヒーラー】ＨＰアップLv5","10601","5","86105"
"【ヒーラー】ＨＰアップLv6","10601","6","86106"
"【ヒーラー】ＨＰアップLv7","10601","7","86107"
"【ヒーラー】ＨＰアップLv8","10601","8","86108"
"【ヒーラー】ＨＰアップLv9","10601","9","86109"
"【ヒーラー】ＨＰアップLv10","10601","10","86110"
"【ヒーラー】物理防御力アップLv1","10602","1","86201"
"【ヒーラー】物理防御力アップLv2","10602","2","86202"
"【ヒーラー】物理防御力アップLv3","10602","3","86203"
"【ヒーラー】物理防御力アップLv4","10602","4","86204"
"【ヒーラー】物理防御力アップLv5","10602","5","86205"
"【ヒーラー】物理防御力アップLv6","10602","6","86206"
"【ヒーラー】物理防御力アップLv7","10602","7","86207"
"【ヒーラー】物理防御力アップLv8","10602","8","86208"
"【ヒーラー】物理防御力アップLv9","10602","9","86209"
"【ヒーラー】物理防御力アップLv10","10602","10","86210"
"【ヒーラー】魔法防御力アップLv1","10603","1","86301"
"【ヒーラー】魔法防御力アップLv2","10603","2","86302"
"【ヒーラー】魔法防御力アップLv3","10603","3","86303"
"【ヒーラー】魔法防御力アップLv4","10603","4","86304"
"【ヒーラー】魔法防御力アップLv5","10603","5","86305"
"【ヒーラー】魔法防御力アップLv6","10603","6","86306"
"【ヒーラー】魔法防御力アップLv7","10603","7","86307"
"【ヒーラー】魔法防御力アップLv8","10603","8","86308"
"【ヒーラー】魔法防御力アップLv9","10603","9","86309"
"【ヒーラー】魔法防御力アップLv10","10603","10","86310"
"【ヒーラー】回復強化Lv1","10604","1","86401"
"【ヒーラー】回復強化Lv2","10604","2","86402"
"【ヒーラー】回復強化Lv3","10604","3","86403"
"【ヒーラー】回復強化Lv4","10604","4","86404"
"【ヒーラー】回復強化Lv5","10604","5","86405"
"【ヒーラー】回復強化Lv6","10604","6","86406"
"【ヒーラー】回復強化Lv7","10604","7","86407"
"【ヒーラー】回復強化Lv8","10604","8","86408"
"【ヒーラー】回復強化Lv9","10604","9","86409"
"【ヒーラー】回復強化Lv10","10604","10","86410"
"【タンク】ＨＰアップLv1","10701","1","87101"
"【タンク】ＨＰアップLv2","10701","2","87102"
"【タンク】ＨＰアップLv3","10701","3","87103"
"【タンク】ＨＰアップLv4","10701","4","87104"
"【タンク】ＨＰアップLv5","10701","5","87105"
"【タンク】ＨＰアップLv6","10701","6","87106"
"【タンク】ＨＰアップLv7","10701","7","87107"
"【タンク】ＨＰアップLv8","10701","8","87108"
"【タンク】ＨＰアップLv9","10701","9","87109"
"【タンク】ＨＰアップLv10","10701","10","87110"
"【タンク】物理防御力アップLv1","10702","1","87201"
"【タンク】物理防御力アップLv2","10702","2","87202"
"【タンク】物理防御力アップLv3","10702","3","87203"
"【タンク】物理防御力アップLv4","10702","4","87204"
"【タンク】物理防御力アップLv5","10702","5","87205"
"【タンク】物理防御力アップLv6","10702","6","87206"
"【タンク】物理防御力アップLv7","10702","7","87207"
"【タンク】物理防御力アップLv8","10702","8","87208"
"【タンク】物理防御力アップLv9","10702","9","87209"
"【タンク】物理防御力アップLv10","10702","10","87210"
"【タンク】魔法防御力アップLv1","10703","1","87301"
"【タンク】魔法防御力アップLv2","10703","2","87302"
"【タンク】魔法防御力アップLv3","10703","3","87303"
"【タンク】魔法防御力アップLv4","10703","4","87304"
"【タンク】魔法防御力アップLv5","10703","5","87305"
"【タンク】魔法防御力アップLv6","10703","6","87306"
"【タンク】魔法防御力アップLv7","10703","7","87307"
"【タンク】魔法防御力アップLv8","10703","8","87308"
"【タンク】魔法防御力アップLv9","10703","9","87309"
"【タンク】魔法防御力アップLv10","10703","10","87310"
"【タンク】状態異常抵抗Lv1","10704","1","87401"
"【タンク】状態異常抵抗Lv2","10704","2","87402"
"【タンク】状態異常抵抗Lv3","10704","3","87403"
"【タンク】状態異常抵抗Lv4","10704","4","87404"
"【タンク】状態異常抵抗Lv5","10704","5","87405"
"【タンク】状態異常抵抗Lv6","10704","6","87406"
"【タンク】状態異常抵抗Lv7","10704","7","87407"
"【タンク】状態異常抵抗Lv8","10704","8","87408"
"【タンク】状態異常抵抗Lv9","10704","9","87409"
"【タンク】状態異常抵抗Lv10","10704","10","87410"
"【ジャマー】ＨＰアップLv1","10801","1","88101"
"【ジャマー】ＨＰアップLv2","10801","2","88102"
"【ジャマー】ＨＰアップLv3","10801","3","88103"
"【ジャマー】ＨＰアップLv4","10801","4","88104"
"【ジャマー】ＨＰアップLv5","10801","5","88105"
"【ジャマー】ＨＰアップLv6","10801","6","88106"
"【ジャマー】ＨＰアップLv7","10801","7","88107"
"【ジャマー】ＨＰアップLv8","10801","8","88108"
"【ジャマー】ＨＰアップLv9","10801","9","88109"
"【ジャマー】ＨＰアップLv10","10801","10","88110"
"【ジャマー】攻撃力アップLv1","10802","1","88201"
"【ジャマー】攻撃力アップLv2","10802","2","88202"
"【ジャマー】攻撃力アップLv3","10802","3","88203"
"【ジャマー】攻撃力アップLv4","10802","4","88204"
"【ジャマー】攻撃力アップLv5","10802","5","88205"
"【ジャマー】攻撃力アップLv6","10802","6","88206"
"【ジャマー】攻撃力アップLv7","10802","7","88207"
"【ジャマー】攻撃力アップLv8","10802","8","88208"
"【ジャマー】攻撃力アップLv9","10802","9","88209"
"【ジャマー】攻撃力アップLv10","10802","10","88210"
"【ジャマー】状態異常命中Lv1","10803","1","88301"
"【ジャマー】状態異常命中Lv2","10803","2","88302"
"【ジャマー】状態異常命中Lv3","10803","3","88303"
"【ジャマー】状態異常命中Lv4","10803","4","88304"
"【ジャマー】状態異常命中Lv5","10803","5","88305"
"【ジャマー】状態異常命中Lv6","10803","6","88306"
"【ジャマー】状態異常命中Lv7","10803","7","88307"
"【ジャマー】状態異常命中Lv8","10803","8","88308"
"【ジャマー】状態異常命中Lv9","10803","9","88309"
"【ジャマー】状態異常命中Lv10","10803","10","88310"
"【ジャマー】状態異常抵抗Lv1","10804","1","88401"
"【ジャマー】状態異常抵抗Lv2","10804","2","88402"
"【ジャマー】状態異常抵抗Lv3","10804","3","88403"
"【ジャマー】状態異常抵抗Lv4","10804","4","88404"
"【ジャマー】状態異常抵抗Lv5","10804","5","88405"
"【ジャマー】状態異常抵抗Lv6","10804","6","88406"
"【ジャマー】状態異常抵抗Lv7","10804","7","88407"
"【ジャマー】状態異常抵抗Lv8","10804","8","88408"
"【ジャマー】状態異常抵抗Lv9","10804","9","88409"
"【ジャマー】状態異常抵抗Lv10","10804","10","88410"
